unique_key,created_date,closed_date,agency,agency_name,complaint_type,descriptor,location_type,incident_zip,incident_address,street_name,cross_street_1,cross_street_2,intersection_street_1,intersection_street_2,address_type,city,landmark,status,resolution_description,resolution_action_updated_date,community_board,bbl,borough,x_coordinate_state_plane,y_coordinate_state_plane,open_data_channel_type,park_facility_name,park_borough,latitude,longitude,location,taxi_pick_up_location,facility_type,bridge_highway_name,road_ramp,bridge_highway_segment,due_date,taxi_company_borough,bridge_highway_direction
58837815,2023-09-17T13:27:24.000,2023-09-20T05:23:41.000,DSNY,Department of Sanitation,Missed Collection,Bulky Trash,Street,11412,120-40 201 STREET,201 STREET,120 AVENUE,NASHVILLE BOULEVARD,120 AVENUE,NASHVILLE BOULEVARD,ADDRESS,SAINT ALBANS,201 STREET,Closed,The Department of Sanitation collected the requested items.,2023-09-18T14:29:42.000,12 QUEENS,4126900023,QUEENS,1053803,190787,ONLINE,Unspecified,QUEENS,40.69006971909413,-73.74919745801897,"{'latitude': '40.69006971909413', 'longitude': '-73.74919745801897', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,
58841360,2023-09-17T13:27:12.000,2023-09-17T13:51:37.000,NYPD,New York City Police Department,Panhandling,N/A,Street/Sidewalk,10038,111 FULTON STREET,FULTON STREET,WILLIAM STREET,DUTCH STREET,WILLIAM STREET,DUTCH STREET,ADDRESS,NEW YORK,FULTON STREET,Closed,The Police Department responded to the complaint and took action to fix the condition.,2023-09-17T13:51:41.000,01 MANHATTAN,1000917502,MANHATTAN,982367,197857,MOBILE,Unspecified,MANHATTAN,40.70974831269426,-74.00679194227898,"{'latitude': '40.70974831269426', 'longitude': '-74.00679194227898', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,
58838652,2023-09-17T13:26:49.000,2023-09-18T13:55:20.000,DPR,Department of Parks and Recreation,Damaged Tree,Branch or Limb Has Fallen Down,Street,11433,108-28 172 STREET,172 STREET,108 AVENUE,109 AVENUE,108 AVENUE,109 AVENUE,ADDRESS,JAMAICA,172 STREET,Closed,NYC Parks performed the work necessary to correct the condition.,2023-09-18T13:55:26.000,12 QUEENS,4102550020,QUEENS,1044319,194012,ONLINE,Unspecified,QUEENS,40.69899101944412,-73.78336709192361,"{'latitude': '40.69899101944412', 'longitude': '-73.78336709192361', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,
58840483,2023-09-17T13:25:55.000,2023-09-17T13:54:35.000,NYPD,New York City Police Department,Noise - Street/Sidewalk,Loud Music/Party,Street/Sidewalk,10040,WEST  192 STREET,WEST  192 STREET,ST NICHOLAS AVENUE,WEST  192 STREET,ST NICHOLAS AVENUE,WEST  192 STREET,INTERSECTION,,,Closed,The Police Department responded to the complaint and took action to fix the condition.,2023-09-17T13:54:39.000,12 MANHATTAN,,MANHATTAN,1003970,251215,MOBILE,Unspecified,MANHATTAN,40.85617997928327,-73.92871375698074,"{'latitude': '40.85617997928327', 'longitude': '-73.92871375698074', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,
58843035,2023-09-17T13:25:39.000,2023-09-19T06:47:44.000,DSNY,Department of Sanitation,Dirty Condition,Trash,Sidewalk,10027,5 WEST  128 STREET,WEST  128 STREET,5 AVENUE,LENOX AVENUE,5 AVENUE,LENOX AVENUE,ADDRESS,NEW YORK,WEST  128 STREET,Closed,The Department of Sanitation investigated this complaint and found no condition at the location.,2023-09-19T06:47:51.000,10 MANHATTAN,1017260032,MANHATTAN,1000468,233869,MOBILE,Unspecified,MANHATTAN,40.80857733754409,-73.94141514288503,"{'latitude': '40.80857733754409', 'longitude': '-73.94141514288503', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,
58839282,2023-09-17T13:25:11.000,2023-09-17T13:26:25.000,NYPD,New York City Police Department,Noise - House of Worship,Loud Music/Party,House of Worship,10010,239 EAST   21 STREET,EAST   21 STREET,3 AVENUE,2 AVENUE,3 AVENUE,2 AVENUE,ADDRESS,NEW YORK,EAST   21 STREET,Closed,The Police Department responded to the complaint and determined that police action was not necessary.,2023-09-17T13:26:30.000,06 MANHATTAN,1009020024,MANHATTAN,988931,207839,ONLINE,Unspecified,MANHATTAN,40.73714544684182,-73.98310878668023,"{'latitude': '40.73714544684182', 'longitude': '-73.98310878668023', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,
58842408,2023-09-17T13:25:09.000,2023-09-17T15:14:08.000,NYPD,New York City Police Department,Non-Emergency Police Matter,Trespassing,Residential Building/House,11207,118 BRADFORD STREET,BRADFORD STREET,FULTON STREET,ATLANTIC AVENUE,FULTON STREET,ATLANTIC AVENUE,ADDRESS,BROOKLYN,BRADFORD STREET,Closed,The Police Department responded to the complaint and determined that police action was not necessary.,2023-09-17T15:14:13.000,05 BROOKLYN,3036730032,BROOKLYN,1013863,185859,ONLINE,Unspecified,BROOKLYN,40.67676724761071,-73.89323931467254,"{'latitude': '40.67676724761071', 'longitude': '-73.89323931467254', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,
58840600,2023-09-17T13:25:02.000,2023-09-17T13:29:14.000,NYPD,New York City Police Department,Noise - Street/Sidewalk,Loud Talking,Street/Sidewalk,11232,6 AVENUE,6 AVENUE,6 AVENUE,40 STREET,6 AVENUE,40 STREET,INTERSECTION,,,Closed,The Police Department responded to the complaint and determined that police action was not necessary.,2023-09-17T13:29:19.000,07 BROOKLYN,,BROOKLYN,983615,175862,ONLINE,Unspecified,BROOKLYN,40.6493772032253,-74.00228835941306,"{'latitude': '40.6493772032253', 'longitude': '-74.00228835941306', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,
58837140,2023-09-17T13:24:44.000,2023-09-17T14:39:12.000,NYPD,New York City Police Department,Blocked Driveway,No Access,Street/Sidewalk,10305,16 SCARBORO AVENUE,SCARBORO AVENUE,BAY STREET,KEELEY STREET,BAY STREET,KEELEY STREET,ADDRESS,STATEN ISLAND,SCARBORO AVENUE,Closed,The Police Department issued a summons in response to the complaint.,2023-09-17T14:39:17.000,01 STATEN ISLAND,5028320112,STATEN ISLAND,966354,162524,PHONE,Unspecified,STATEN ISLAND,40.6127491636849,-74.06445671425845,"{'latitude': '40.6127491636849', 'longitude': '-74.06445671425845', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,
58839973,2023-09-17T13:24:28.000,2023-09-17T13:48:57.000,NYPD,New York City Police Department,Illegal Parking,Blocked Crosswalk,Street/Sidewalk,11222,188 EAGLE STREET,EAGLE STREET,MANHATTAN AVENUE,MCGUINNESS BOULEVARD,MANHATTAN AVENUE,MCGUINNESS BOULEVARD,ADDRESS,BROOKLYN,EAGLE STREET,Closed,The Police Department issued a summons in response to the complaint.,2023-09-17T13:49:01.000,01 BROOKLYN,3025050027,BROOKLYN,997188,207175,MOBILE,Unspecified,BROOKLYN,40.73531470660981,-73.95331499198926,"{'latitude': '40.73531470660981', 'longitude': '-73.95331499198926', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,
58840858,2023-09-17T13:24:24.000,2023-10-16T10:34:54.000,DOT,Department of Transportation,Sidewalk Condition,Sidewalk Violation,Sidewalk,11420,149-50 LEFFERTS BOULEVARD,LEFFERTS BOULEVARD,149 AVENUE,150 AVENUE,149 AVENUE,150 AVENUE,ADDRESS,SOUTH OZONE PARK,LEFFERTS BOULEVARD,Closed,"The Department of Transportation inspected the condition you reported. You can find additional information in the ""Notes to Customer"" field.",2023-10-16T10:34:59.000,10 QUEENS,4118190063,QUEENS,1033702,182627,PHONE,Unspecified,QUEENS,40.66780755369429,-73.82173969003499,"{'latitude': '40.66780755369429', 'longitude': '-73.82173969003499', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,
58841001,2023-09-17T13:23:58.000,2023-09-17T13:48:43.000,NYPD,New York City Police Department,Illegal Parking,Blocked Crosswalk,Street/Sidewalk,11222,187 EAGLE STREET,EAGLE STREET,MANHATTAN AVENUE,MCGUINNESS BOULEVARD,MANHATTAN AVENUE,MCGUINNESS BOULEVARD,ADDRESS,BROOKLYN,EAGLE STREET,Closed,The Police Department issued a summons in response to the complaint.,2023-09-17T13:48:46.000,01 BROOKLYN,3024960041,BROOKLYN,997157,207177,MOBILE,Unspecified,BROOKLYN,40.73532024140883,-73.95342684740223,"{'latitude': '40.73532024140883', 'longitude': '-73.95342684740223', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,
58838957,2023-09-17T13:23:00.000,2023-09-22T16:10:00.000,DEP,Department of Environmental Protection,Noise,Noise: air condition/ventilation equipment (NV1),,10016,33 PARK AVENUE,PARK AVENUE,E 35 ST,E 36 ST,,,ADDRESS,NEW YORK,,Closed,"The Department of Environmental Protection attempted to contact the complainant by phone, but the phone number provided was incorrect. If the problem still exists, please call 311 and file a new complaint with the correct phone number. If you are outside of New York City, please call (212) NEW-YORK (212-639-9675).",2023-09-22T16:10:00.000,06 MANHATTAN,1008910003,MANHATTAN,989642,211853,ONLINE,Unspecified,MANHATTAN,40.7481624703757,-73.98053995211139,"{'latitude': '40.7481624703757', 'longitude': '-73.98053995211139', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,N/A,,,,,,
58838953,2023-09-17T13:23:00.000,2023-09-17T16:55:00.000,DEP,Department of Environmental Protection,Industrial Waste,Waterway-Sewage (IHA),,11249,420 KENT AVENUE,KENT AVENUE,S 8 ST,S 9 ST,,,ADDRESS,BROOKLYN,,Closed,The Department of Environmental Protection investigated this complaint and resolved the issue during a field inspection.,2023-09-17T16:55:00.000,01 BROOKLYN,3021340056,BROOKLYN,992976,197919,ONLINE,Unspecified,BROOKLYN,40.7099143854737,-73.96852541837481,"{'latitude': '40.7099143854737', 'longitude': '-73.96852541837481', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,N/A,,,,,,
58844199,2023-09-17T13:23:00.000,2023-09-24T16:00:00.000,DEP,Department of Environmental Protection,Noise,"Noise, Ice Cream Truck (NR4)",,11223,,,,,WEST 1 STREET,AVENUE Z,INTERSECTION,BROOKLYN,,Closed,"The Department of Environmental Protection (DEP) didn't observe a violation of the NYC Air or Noise Code at the time of inspection and couldn't issue a summons.  If the problem still exists, please go to nyc.gov/311 or call 311 to file a new Service Request. If you're outside of New York City, please call (212) NEW-YORK (212-639-9675).",2023-09-24T16:00:00.000,13 BROOKLYN,,BROOKLYN,992486,152848,PHONE,Unspecified,BROOKLYN,40.58620474932879,-73.9703478735989,"{'latitude': '40.58620474932879', 'longitude': '-73.9703478735989', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,N/A,,,,,,
58845146,2023-09-17T13:22:52.000,2023-09-17T16:37:02.000,NYPD,New York City Police Department,Illegal Parking,Paper License Plates,Street/Sidewalk,10454,325 BEEKMAN AVENUE,BEEKMAN AVENUE,EAST  141 STREET,OAK TERRACE,EAST  141 STREET,OAK TERRACE,ADDRESS,BRONX,BEEKMAN AVENUE,Closed,The Police Department responded to the complaint and took action to fix the condition.,2023-09-17T16:37:05.000,01 BRONX,2025550123,BRONX,1008013,233774,ONLINE,Unspecified,BRONX,40.80829951717071,-73.91416042251295,"{'latitude': '40.80829951717071', 'longitude': '-73.91416042251295', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,
58839091,2023-09-17T13:22:49.000,2023-09-17T13:45:06.000,NYPD,New York City Police Department,Illegal Parking,Posted Parking Sign Violation,Street/Sidewalk,10032,738 WEST  173 STREET,WEST  173 STREET,FORT WASHINGTON AVENUE,HAVEN AVENUE,FORT WASHINGTON AVENUE,HAVEN AVENUE,ADDRESS,NEW YORK,WEST  173 STREET,Closed,The Police Department responded to the complaint and took action to fix the condition.,2023-09-17T13:45:11.000,12 MANHATTAN,1021390322,MANHATTAN,1000462,247406,MOBILE,Unspecified,MANHATTAN,40.84573254399392,-73.94140410638643,"{'latitude': '40.84573254399392', 'longitude': '-73.94140410638643', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,
58843859,2023-09-17T13:22:41.000,2023-09-17T14:57:20.000,NYPD,New York City Police Department,Illegal Parking,Blocked Bike Lane,Street/Sidewalk,11201,197 SCHERMERHORN STREET,SCHERMERHORN STREET,HOYT STREET,BOND STREET,HOYT STREET,BOND STREET,ADDRESS,BROOKLYN,SCHERMERHORN STREET,Closed,The Police Department responded to the complaint and took action to fix the condition.,2023-09-17T14:57:23.000,02 BROOKLYN,3001657504,BROOKLYN,988181,190262,ONLINE,Unspecified,BROOKLYN,40.688901138138604,-73.98582539687166,"{'latitude': '40.688901138138604', 'longitude': '-73.98582539687166', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,
58844910,2023-09-17T13:22:40.000,2023-09-17T17:25:35.000,NYPD,New York City Police Department,Abandoned Vehicle,With License Plate,Street/Sidewalk,10301,1323 CLOVE ROAD,CLOVE ROAD,DUDLEY AVENUE,SCHOHARIE STREET,DUDLEY AVENUE,SCHOHARIE STREET,ADDRESS,STATEN ISLAND,CLOVE ROAD,Closed,The Police Department issued a summons in response to the complaint.,2023-09-17T17:25:39.000,01 STATEN ISLAND,5006060006,STATEN ISLAND,955813,163363,ONLINE,Unspecified,STATEN ISLAND,40.615024484264666,-74.1024261462242,"{'latitude': '40.615024484264666', 'longitude': '-74.1024261462242', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,
58837720,2023-09-17T13:22:11.000,,DOHMH,Department of Health and Mental Hygiene,Smoking,Smoking Violation,Residential Building,11372,35-46 74 STREET,74 STREET,35 AVENUE,37 AVENUE,35 AVENUE,37 AVENUE,ADDRESS,JACKSON HEIGHTS,74 STREET,In Progress,"The Department of Health and Mental Hygiene has sent official written notification to the Owner/Landlord warning them of potential violations and instructing them to correct the situation. If the situation persists 21 days after your initial complaint, please make a new complaint.",2023-09-19T11:58:27.000,03 QUEENS,4012730021,QUEENS,1014155,212772,ONLINE,Unspecified,QUEENS,40.75063596911893,-73.8920670469794,"{'latitude': '40.75063596911893', 'longitude': '-73.8920670469794', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,
58838256,2023-09-17T13:22:09.000,2023-09-17T13:44:32.000,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,Residential Building/House,10009,112 EAST    7 STREET,EAST    7 STREET,1 AVENUE,AVENUE A,1 AVENUE,AVENUE A,ADDRESS,NEW YORK,EAST    7 STREET,Closed,The Police Department reviewed your complaint and provided additional information below.,2023-09-17T13:44:36.000,03 MANHATTAN,1004340020,MANHATTAN,988529,203951,ONLINE,Unspecified,MANHATTAN,40.726474044356756,-73.98456186119967,"{'latitude': '40.726474044356756', 'longitude': '-73.98456186119967', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,
58842428,2023-09-17T13:22:00.000,2023-09-17T14:52:00.000,DOT,Department of Transportation,Street Light Condition,Lamppost Knocked Down,,11418,,,,,ATLANTIC AVENUE,127 STREET,INTERSECTION,QUEENS,,Closed,Service Request status for this request is available on the Department of Transportationâs website. Please click the âLearn Moreâ link below.,2023-09-17T14:52:00.000,09 QUEENS,,QUEENS,1033858,192834,UNKNOWN,Unspecified,QUEENS,40.69582251615469,-73.82110221420703,"{'latitude': '40.69582251615469', 'longitude': '-73.82110221420703', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,
58838129,2023-09-17T13:21:27.000,2023-09-17T13:35:23.000,NYPD,New York City Police Department,Blocked Driveway,No Access,Street/Sidewalk,11355,41-51 150 STREET,150 STREET,BARCLAY AVENUE,SANFORD AVENUE,BARCLAY AVENUE,SANFORD AVENUE,ADDRESS,FLUSHING,150 STREET,Closed,Your request can not be processed at this time because of insufficient contact information. Please create a new Service Request on NYC.gov and provide more detailed contact information.,2023-09-17T13:35:30.000,07 QUEENS,4050590010,QUEENS,1035943,216767,MOBILE,Unspecified,QUEENS,40.761500673291984,-73.81339939623913,"{'latitude': '40.761500673291984', 'longitude': '-73.81339939623913', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,
58839337,2023-09-17T13:21:16.000,2023-09-17T13:53:38.000,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,Residential Building/House,11237,215 HIMROD STREET,HIMROD STREET,MYRTLE AVENUE,KNICKERBOCKER AVENUE,MYRTLE AVENUE,KNICKERBOCKER AVENUE,ADDRESS,BROOKLYN,HIMROD STREET,Closed,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,2023-09-17T13:53:42.000,04 BROOKLYN,3032680050,BROOKLYN,1006270,194084,ONLINE,Unspecified,BROOKLYN,40.69936511928021,-73.92058667208777,"{'latitude': '40.69936511928021', 'longitude': '-73.92058667208777', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,
58841521,2023-09-17T13:21:15.000,2023-09-17T13:51:20.000,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,Residential Building/House,11204,2018 72 STREET,72 STREET,20 AVENUE,21 AVENUE,20 AVENUE,21 AVENUE,ADDRESS,BROOKLYN,72 STREET,Closed,The Police Department responded to the complaint and took action to fix the condition.,2023-09-17T13:51:24.000,11 BROOKLYN,3061960013,BROOKLYN,987201,162313,PHONE,Unspecified,BROOKLYN,40.612187593062615,-73.98937135969113,"{'latitude': '40.612187593062615', 'longitude': '-73.98937135969113', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,
58843393,2023-09-17T13:21:15.000,2023-09-17T14:55:01.000,NYPD,New York City Police Department,Blocked Driveway,No Access,Street/Sidewalk,11221,668 BUSHWICK AVENUE,BUSHWICK AVENUE,MYRTLE AVENUE,WILLOUGHBY AVENUE,MYRTLE AVENUE,WILLOUGHBY AVENUE,ADDRESS,BROOKLYN,BUSHWICK AVENUE,Closed,The Police Department responded and upon arrival those responsible for the condition were gone.,2023-09-17T14:55:06.000,04 BROOKLYN,3031940024,BROOKLYN,1003075,193299,ONLINE,Unspecified,BROOKLYN,40.69721785134117,-73.93211136718696,"{'latitude': '40.69721785134117', 'longitude': '-73.93211136718696', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,
58843306,2023-09-17T13:21:04.000,2023-09-17T13:23:41.000,NYPD,New York City Police Department,Illegal Parking,Double Parked Blocking Traffic,Street/Sidewalk,11374,95-12 63 ROAD,63 ROAD,63 DRIVE,97 STREET,63 DRIVE,97 STREET,ADDRESS,REGO PARK,63 ROAD,Closed,Your request can not be processed at this time because of insufficient contact information. Please create a new Service Request on NYC.gov and provide more detailed contact information.,2023-09-17T13:23:45.000,06 QUEENS,4020880001,QUEENS,1022535,205418,MOBILE,Unspecified,QUEENS,40.73041878121237,-73.86186389940733,"{'latitude': '40.73041878121237', 'longitude': '-73.86186389940733', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,
