unique_key,created_date,closed_date,agency,agency_name,complaint_type,descriptor,location_type,incident_zip,incident_address,street_name,cross_street_1,cross_street_2,intersection_street_1,intersection_street_2,address_type,city,landmark,status,resolution_description,resolution_action_updated_date,community_board,bbl,borough,x_coordinate_state_plane,y_coordinate_state_plane,open_data_channel_type,park_facility_name,park_borough,latitude,longitude,location,facility_type,due_date,taxi_pick_up_location,bridge_highway_name,bridge_highway_direction,road_ramp,bridge_highway_segment,vehicle_type,taxi_company_borough
58816753,2023-09-14T09:39:51.000,2023-09-14T09:53:02.000,NYPD,New York City Police Department,Illegal Parking,Blocked Bike Lane,Street/Sidewalk,11211,533 GRAND STREET,GRAND STREET,UNION AVENUE,LORIMER STREET,UNION AVENUE,LORIMER STREET,ADDRESS,BROOKLYN,GRAND STREET,Closed,The Police Department responded to the complaint and determined that police action was not necessary.,2023-09-14T09:53:06.000,01 BROOKLYN,3027790040,BROOKLYN,998117,198343,MOBILE,Unspecified,BROOKLYN,40.711071600892055,-73.94998102051204,"{'latitude': '40.711071600892055', 'longitude': '-73.94998102051204', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,,
58815888,2023-09-14T09:39:39.000,2023-09-14T10:18:50.000,NYPD,New York City Police Department,Encampment,N/A,Street/Sidewalk,10002,CANAL STREET,CANAL STREET,CANAL STREET,CHRYSTIE STREET,CANAL STREET,CHRYSTIE STREET,INTERSECTION,,,Closed,The Police Department visited the location and has referred the complaint to the Department of Homeless Services (DHS) for further action. DHS will inspect the condition and update your Service Request with more information.,2023-09-14T10:18:55.000,03 MANHATTAN,,MANHATTAN,985657,200079,PHONE,Unspecified,MANHATTAN,40.71584726179541,-73.9949245155469,"{'latitude': '40.71584726179541', 'longitude': '-73.9949245155469', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,,
58813606,2023-09-14T09:39:39.000,2023-09-17T09:13:08.000,DHS,Department of Homeless Services,Encampment,N/A,Street/Sidewalk,10002,CANAL STREET,CANAL STREET,CANAL STREET,CHRYSTIE STREET,CANAL STREET,CHRYSTIE STREET,INTERSECTION,,,Closed,The Department of Homeless Services (DHS) visited the location and is coordinating with their agency partners to address the condition. No further information will be available with 311.,2023-09-17T09:13:13.000,03 MANHATTAN,,MANHATTAN,985657,200079,PHONE,Unspecified,MANHATTAN,40.71584726179541,-73.9949245155469,"{'latitude': '40.71584726179541', 'longitude': '-73.9949245155469', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,,
58818684,2023-09-14T09:39:34.000,2023-09-14T17:11:06.000,NYPD,New York City Police Department,Blocked Driveway,No Access,Street/Sidewalk,11419,104-58 128 STREET,128 STREET,LIBERTY AVENUE,107 AVENUE,LIBERTY AVENUE,107 AVENUE,ADDRESS,SOUTH RICHMOND HILL,128 STREET,Closed,The Police Department responded and upon arrival those responsible for the condition were gone.,2023-09-14T17:11:09.000,10 QUEENS,4095810035,QUEENS,1035039,190190,PHONE,Unspecified,QUEENS,40.68855866366043,-73.81686320478205,"{'latitude': '40.68855866366043', 'longitude': '-73.81686320478205', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,,
58813334,2023-09-14T09:39:16.000,2023-09-14T09:43:15.000,NYPD,New York City Police Department,Abandoned Vehicle,With License Plate,Street/Sidewalk,11236,9806 FOSTER AVENUE,FOSTER AVENUE,EAST   98 STREET,EAST   99 STREET,EAST   98 STREET,EAST   99 STREET,ADDRESS,BROOKLYN,FOSTER AVENUE,Closed,The Police Department responded to the complaint and determined that police action was not necessary.,2023-09-14T09:43:18.000,18 BROOKLYN,3081480030,BROOKLYN,1010677,175710,PHONE,Unspecified,BROOKLYN,40.64892058856186,-73.90476524056929,"{'latitude': '40.64892058856186', 'longitude': '-73.90476524056929', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,,
58816981,2023-09-14T09:38:45.000,2023-09-21T08:16:01.000,DOT,Department of Transportation,Sidewalk Condition,Sidewalk Violation,Sidewalk,11234,2460 EAST   70 STREET,EAST   70 STREET,AVENUE X,AVENUE Y,AVENUE X,AVENUE Y,ADDRESS,BROOKLYN,EAST   70 STREET,Closed,The Department of Transportation has denied the request to dismiss the Sidewalk violation because there is no record of City repair.,2023-09-21T08:16:06.000,18 BROOKLYN,3084560001,BROOKLYN,1011474,162907,PHONE,Unspecified,BROOKLYN,40.61377666927729,-73.901944747039,"{'latitude': '40.61377666927729', 'longitude': '-73.901944747039', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,,
58816259,2023-09-14T09:38:33.000,2023-09-14T17:26:57.000,NYPD,New York City Police Department,Illegal Parking,Blocked Sidewalk,Street/Sidewalk,11223,18 WHITNEY PLACE,WHITNEY PLACE,MCDONALD AVENUE,WEST STREET,MCDONALD AVENUE,WEST STREET,ADDRESS,BROOKLYN,WHITNEY PLACE,Closed,The Police Department responded and upon arrival those responsible for the condition were gone.,2023-09-14T17:26:59.000,15 BROOKLYN,3071040237,BROOKLYN,991893,157090,MOBILE,Unspecified,BROOKLYN,40.59784871932182,-73.97247805692952,"{'latitude': '40.59784871932182', 'longitude': '-73.97247805692952', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,,
58817374,2023-09-14T09:38:32.000,2023-09-14T10:40:53.000,NYPD,New York City Police Department,Illegal Parking,Blocked Hydrant,Street/Sidewalk,10301,35 WITTEMAN PLACE,WITTEMAN PLACE,MILFORD DRIVE,OCEAN TERRACE,MILFORD DRIVE,OCEAN TERRACE,ADDRESS,STATEN ISLAND,WITTEMAN PLACE,Closed,The Police Department issued a summons in response to the complaint.,2023-09-14T10:40:57.000,02 STATEN ISLAND,5008370347,STATEN ISLAND,956014,161273,ONLINE,Unspecified,STATEN ISLAND,40.60928851139518,-74.10169343335903,"{'latitude': '40.60928851139518', 'longitude': '-74.10169343335903', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,,
58815974,2023-09-14T09:38:22.000,2023-09-16T15:16:33.000,DSNY,Department of Sanitation,Missed Collection,Trash,Street,11223,1855 WEST    8 STREET,WEST    8 STREET,HIGHLAWN AVENUE,AVENUE S,HIGHLAWN AVENUE,AVENUE S,ADDRESS,BROOKLYN,WEST    8 STREET,Closed,The Department of Sanitation collected the requested items.,2023-09-15T12:59:30.000,11 BROOKLYN,3066730066,BROOKLYN,989664,158609,ONLINE,Unspecified,BROOKLYN,40.60201970840366,-73.98050332238289,"{'latitude': '40.60201970840366', 'longitude': '-73.98050332238289', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,,
58819468,2023-09-14T09:38:17.000,2023-09-18T10:52:52.000,DSNY,Department of Sanitation,Litter Basket Request,Replacement Basket,Street,10026,1958 7 AVENUE,7 AVENUE,WEST  117 STREET,WEST  118 STREET,WEST  117 STREET,WEST  118 STREET,ADDRESS,NEW YORK,7 AVENUE,Closed,The location does not meet the criteria for Litter Basket placement.,2023-09-14T14:23:49.000,10 MANHATTAN,1019230035,MANHATTAN,997645,232375,PHONE,Unspecified,MANHATTAN,40.80448145146187,-73.95161574463825,"{'latitude': '40.80448145146187', 'longitude': '-73.95161574463825', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,,
58818560,2023-09-14T09:38:13.000,2023-09-14T15:54:53.000,NYPD,New York City Police Department,Illegal Parking,Posted Parking Sign Violation,Street/Sidewalk,11207,1037 HENDRIX STREET,HENDRIX STREET,COZINE AVENUE,FLATLANDS AVENUE,COZINE AVENUE,FLATLANDS AVENUE,ADDRESS,BROOKLYN,HENDRIX STREET,Closed,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,2023-09-14T15:54:56.000,05 BROOKLYN,3044200051,BROOKLYN,1017206,178321,ONLINE,Unspecified,BROOKLYN,40.656065318176886,-73.88122400542564,"{'latitude': '40.656065318176886', 'longitude': '-73.88122400542564', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,,
58813980,2023-09-14T09:38:03.000,2023-09-14T11:09:04.000,NYPD,New York City Police Department,Illegal Parking,Posted Parking Sign Violation,Street/Sidewalk,11219,1054 41 STREET,41 STREET,10 AVENUE,FORT HAMILTON PARKWAY,10 AVENUE,FORT HAMILTON PARKWAY,ADDRESS,BROOKLYN,41 STREET,Closed,The Police Department responded to the complaint and took action to fix the condition.,2023-09-14T11:09:08.000,12 BROOKLYN,3055910027,BROOKLYN,986211,173466,MOBILE,Unspecified,BROOKLYN,40.642800506192685,-73.99293381021816,"{'latitude': '40.642800506192685', 'longitude': '-73.99293381021816', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,,
58817915,2023-09-14T09:38:01.000,2023-09-14T11:00:06.000,DOHMH,Department of Health and Mental Hygiene,Mosquitoes,Large Number of Mosquitoes,Residential Property,10452,1219 SHAKESPEARE AVENUE,SHAKESPEARE AVENUE,ANDERSON AVENUE,WEST  168 STREET,ANDERSON AVENUE,WEST  168 STREET,ADDRESS,BRONX,SHAKESPEARE AVENUE,Closed,Thank you for your report. The Department of Health and Mental Hygiene will use the information that you provided to help track and control mosquito populations throughout the City. No further information will be available from 311 on your report.,2023-09-14T11:00:10.000,04 BRONX,2025100037,BRONX,1005477,244452,PHONE,Unspecified,BRONX,40.83761404779992,-73.92328748351815,"{'latitude': '40.83761404779992', 'longitude': '-73.92328748351815', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,,
58815027,2023-09-14T09:38:00.000,2023-09-19T11:04:00.000,DEP,Department of Environmental Protection,Noise,Noise: Construction Before/After Hours (NM1),,11222,ECKFORD STREET,ECKFORD STREET,ENGERT AVENUE,DRIGGS AVENUE,,,BLOCKFACE,BROOKLYN,,Closed,The Department of Environmental Protection determined that this complaint is a duplicate of a previously filed complaint. The original complaint is being addressed.,2023-09-19T11:04:00.000,01 BROOKLYN,,BROOKLYN,,,ONLINE,Unspecified,BROOKLYN,,,,N/A,,,,,,,,
58818419,2023-09-14T09:38:00.000,2023-09-15T10:15:00.000,DEP,Department of Environmental Protection,Air Quality,"Air: Odor/Fumes, Vehicle Idling (AD3)",,10128,,,,,1 AVENUE,EAST 95 STREET,INTERSECTION,MANHATTAN,,Closed,"The Department of Environmental Protection (DEP) didn't observe a violation of the NYC Air or Noise Code at the time of inspection and couldn't issue a summons.  If the problem still exists, please go to nyc.gov/311 or call 311 to file a new Service Request. If you're outside of New York City, please call (212) NEW-YORK (212-639-9675).",2023-09-15T10:15:00.000,08 MANHATTAN,,MANHATTAN,999423,224393,PHONE,Unspecified,MANHATTAN,40.78257014859958,-73.94521144226012,"{'latitude': '40.78257014859958', 'longitude': '-73.94521144226012', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",N/A,,,,,,,,
58810477,2023-09-14T09:38:00.000,2023-10-05T09:03:00.000,DEP,Department of Environmental Protection,Noise,"Noise, Barking Dog (NR5)",,11225,501 NEW YORK AVENUE,NEW YORK AVENUE,STERLING ST,LEFFERTS AVE,,,ADDRESS,BROOKLYN,,Closed,,2023-10-05T09:03:00.000,09 BROOKLYN,3013220001,BROOKLYN,998693,180792,ONLINE,Unspecified,BROOKLYN,40.6628972162775,-73.9479409830251,"{'latitude': '40.6628972162775', 'longitude': '-73.9479409830251', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",N/A,,,,,,,,
58813879,2023-09-14T09:38:00.000,2023-09-14T09:40:00.000,DEP,Department of Environmental Protection,Water System,Hydrant Running (WC3),,11201,13 PINEAPPLE STREET,PINEAPPLE STREET,COLUMBIA HGTS,WILLOW ST,,,ADDRESS,BROOKLYN,,Closed,The Department of Environmental Protection determined that this complaint is a duplicate of a previously filed complaint. The original complaint is being addressed.,2023-09-14T09:40:00.000,02 BROOKLYN,3002240021,BROOKLYN,985495,193898,MOBILE,Unspecified,BROOKLYN,40.69888190165242,-73.9955100425458,"{'latitude': '40.69888190165242', 'longitude': '-73.9955100425458', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,,
58815558,2023-09-14T09:37:50.000,2023-09-22T02:02:56.000,HPD,Department of Housing Preservation and Development,WATER LEAK,SLOW LEAK,RESIDENTIAL BUILDING,11238,404 FRANKLIN AVENUE,FRANKLIN AVENUE,,,,,ADDRESS,BROOKLYN,,Closed,The Department of Housing Preservation and Development inspected the following conditions. Violations were issued. Information about specific violations is available at www.nyc.gov/hpd,2023-09-22T00:00:00.000,03 BROOKLYN,3019850045,BROOKLYN,996328,188833,PHONE,Unspecified,BROOKLYN,40.68497149296924,-73.95645108777418,"{'latitude': '40.68497149296924', 'longitude': '-73.95645108777418', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,,
58814339,2023-09-14T09:37:50.000,2023-09-22T02:02:56.000,HPD,Department of Housing Preservation and Development,SAFETY,WINDOW GUARD BROKEN/MISSING,RESIDENTIAL BUILDING,11238,404 FRANKLIN AVENUE,FRANKLIN AVENUE,,,,,ADDRESS,BROOKLYN,,Closed,The Department of Housing Preservation and Development inspected the following conditions. No violations were issued. The complaint has been closed.,2023-09-22T00:00:00.000,03 BROOKLYN,3019850045,BROOKLYN,996328,188833,PHONE,Unspecified,BROOKLYN,40.68497149296924,-73.95645108777418,"{'latitude': '40.68497149296924', 'longitude': '-73.95645108777418', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,,
58811042,2023-09-14T09:37:50.000,2023-09-22T02:02:55.000,HPD,Department of Housing Preservation and Development,UNSANITARY CONDITION,SEWAGE,RESIDENTIAL BUILDING,11238,404 FRANKLIN AVENUE,FRANKLIN AVENUE,,,,,ADDRESS,BROOKLYN,,Closed,The Department of Housing Preservation and Development inspected the following conditions. No violations were issued. The complaint has been closed.,2023-09-22T00:00:00.000,03 BROOKLYN,3019850045,BROOKLYN,996328,188833,PHONE,Unspecified,BROOKLYN,40.68497149296924,-73.95645108777418,"{'latitude': '40.68497149296924', 'longitude': '-73.95645108777418', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,,
58810869,2023-09-14T09:37:50.000,2023-09-22T02:02:56.000,HPD,Department of Housing Preservation and Development,DOOR/WINDOW,DOOR,RESIDENTIAL BUILDING,11238,404 FRANKLIN AVENUE,FRANKLIN AVENUE,,,,,ADDRESS,BROOKLYN,,Closed,The Department of Housing Preservation and Development inspected the following conditions. No violations were issued. The complaint has been closed.,2023-09-22T00:00:00.000,03 BROOKLYN,3019850045,BROOKLYN,996328,188833,PHONE,Unspecified,BROOKLYN,40.68497149296924,-73.95645108777418,"{'latitude': '40.68497149296924', 'longitude': '-73.95645108777418', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,,
58815420,2023-09-14T09:37:50.000,2023-09-22T02:02:55.000,HPD,Department of Housing Preservation and Development,ELECTRIC,NO LIGHTING,RESIDENTIAL BUILDING,11238,404 FRANKLIN AVENUE,FRANKLIN AVENUE,,,,,ADDRESS,BROOKLYN,,Closed,The Department of Housing Preservation and Development inspected the following conditions. No violations were issued. The complaint has been closed.,2023-09-22T00:00:00.000,03 BROOKLYN,3019850045,BROOKLYN,996328,188833,PHONE,Unspecified,BROOKLYN,40.68497149296924,-73.95645108777418,"{'latitude': '40.68497149296924', 'longitude': '-73.95645108777418', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,,
58813197,2023-09-14T09:37:50.000,2023-09-22T02:02:56.000,HPD,Department of Housing Preservation and Development,SAFETY,SMOKE DETECTOR,RESIDENTIAL BUILDING,11238,404 FRANKLIN AVENUE,FRANKLIN AVENUE,,,,,ADDRESS,BROOKLYN,,Closed,The Department of Housing Preservation and Development inspected the following conditions. No violations were issued. The complaint has been closed.,2023-09-22T00:00:00.000,03 BROOKLYN,3019850045,BROOKLYN,996328,188833,PHONE,Unspecified,BROOKLYN,40.68497149296924,-73.95645108777418,"{'latitude': '40.68497149296924', 'longitude': '-73.95645108777418', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,,
58813169,2023-09-14T09:37:50.000,2023-09-22T02:02:56.000,HPD,Department of Housing Preservation and Development,PAINT/PLASTER,WALL,RESIDENTIAL BUILDING,11238,404 FRANKLIN AVENUE,FRANKLIN AVENUE,,,,,ADDRESS,BROOKLYN,,Closed,The Department of Housing Preservation and Development inspected the following conditions. No violations were issued. The complaint has been closed.,2023-09-22T00:00:00.000,03 BROOKLYN,3019850045,BROOKLYN,996328,188833,PHONE,Unspecified,BROOKLYN,40.68497149296924,-73.95645108777418,"{'latitude': '40.68497149296924', 'longitude': '-73.95645108777418', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,,
58816340,2023-09-14T09:37:45.000,2023-10-16T00:00:00.000,DOB,Department of Buildings,Building/Use,Illegal Conversion Of Residential Building/Space,,11694,233 BEACH  100 STREET,BEACH  100 STREET,,,,,ADDRESS,FAR ROCKAWAY,,Closed,The Department of Buildings has made an attempt execute an access warrant at this property that resulted in no access. Another attempt will be made.,2023-10-16T00:00:00.000,14 QUEENS,4161560081,QUEENS,1033806,152309,UNKNOWN,Unspecified,QUEENS,40.5845906076369,-73.82158739096587,"{'latitude': '40.5845906076369', 'longitude': '-73.82158739096587', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,,
58816054,2023-09-14T09:37:42.000,2023-11-13T11:57:27.000,DSNY,Department of Sanitation,Illegal Dumping,Chronic Dumping,Sidewalk,11201,268 LIVINGSTON STREET,LIVINGSTON STREET,ELM PLACE,BOND STREET,ELM PLACE,BOND STREET,ADDRESS,BROOKLYN,LIVINGSTON STREET,Closed,"The Department of Sanitation has investigated the complaint and addressed the issue. If the problem persists, call 311 to enter a new complaint. If you are outside of New York City, please call (212) NEW-YORK (212-639-9675).",2023-11-13T11:57:27.000,02 BROOKLYN,3001650029,BROOKLYN,988733,190254,ONLINE,Unspecified,BROOKLYN,40.68887891759485,-73.98383497208559,"{'latitude': '40.68887891759485', 'longitude': '-73.98383497208559', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,,
58816018,2023-09-14T09:37:37.000,2023-09-14T11:02:10.000,DSNY,Department of Sanitation,Vendor Enforcement,Non-Food Vendor,Street,11354,39-01 MAIN STREET,MAIN STREET,39 AVENUE,ROOSEVELT AVENUE,39 AVENUE,ROOSEVELT AVENUE,ADDRESS,FLUSHING,MAIN STREET,Closed,N/A,2023-09-14T11:02:15.000,07 QUEENS,4049800005,QUEENS,1031228,216272,ONLINE,Unspecified,QUEENS,40.76016833864922,-73.83042294583589,"{'latitude': '40.76016833864922', 'longitude': '-73.83042294583589', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,,
58810571,2023-09-14T09:37:27.000,2023-09-14T10:27:28.000,NYPD,New York City Police Department,Illegal Parking,Blocked Sidewalk,Street/Sidewalk,11201,301 GOLD STREET,GOLD STREET,TILLARY STREET,JOHNSON STREET,TILLARY STREET,JOHNSON STREET,ADDRESS,BROOKLYN,GOLD STREET,Closed,The Police Department responded to the complaint and determined that police action was not necessary.,2023-09-14T10:27:32.000,02 BROOKLYN,3001340006,BROOKLYN,988901,192647,ONLINE,Unspecified,BROOKLYN,40.69544706314867,-73.98322753703334,"{'latitude': '40.69544706314867', 'longitude': '-73.98322753703334', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,,
