unique_key,created_date,agency,agency_name,complaint_type,descriptor,location_type,incident_zip,incident_address,street_name,cross_street_1,cross_street_2,intersection_street_1,intersection_street_2,address_type,city,landmark,status,community_board,bbl,borough,x_coordinate_state_plane,y_coordinate_state_plane,open_data_channel_type,park_facility_name,park_borough,latitude,longitude,location,closed_date,resolution_description,resolution_action_updated_date,facility_type,due_date,taxi_pick_up_location,bridge_highway_name,bridge_highway_segment,road_ramp,bridge_highway_direction
58829535,2023-09-16T18:38:12.000,NYPD,New York City Police Department,Noise - Street/Sidewalk,Loud Music/Party,Street/Sidewalk,11226,957 FLATBUSH AVENUE,FLATBUSH AVENUE,SNYDER AVENUE,ALBEMARLE ROAD,SNYDER AVENUE,ALBEMARLE ROAD,ADDRESS,BROOKLYN,FLATBUSH AVENUE,Closed,14 BROOKLYN,3051090007,BROOKLYN,995849,175434,MOBILE,Unspecified,BROOKLYN,40.64819486298503,-73.95820124177172,"{'latitude': '40.64819486298503', 'longitude': '-73.95820124177172', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",2023-09-16T19:12:35.000,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,2023-09-16T19:12:40.000,,,,,,,
58826459,2023-09-16T18:38:07.000,NYPD,New York City Police Department,Illegal Parking,Blocked Sidewalk,Street/Sidewalk,10034,579 WEST  214 STREET,WEST  214 STREET,SEAMAN AVENUE,INDIAN ROAD,SEAMAN AVENUE,INDIAN ROAD,ADDRESS,NEW YORK,WEST  214 STREET,Closed,12 MANHATTAN,1022500027,MANHATTAN,1006537,256768,MOBILE,Unspecified,MANHATTAN,40.87141517089315,-73.91941579303254,"{'latitude': '40.87141517089315', 'longitude': '-73.91941579303254', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",2023-09-16T19:08:21.000,The Police Department issued a summons in response to the complaint.,2023-09-16T19:08:25.000,,,,,,,
58830783,2023-09-16T18:37:58.000,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,Residential Building/House,11436,117-21 147 STREET,147 STREET,FOCH BOULEVARD,119 AVENUE,FOCH BOULEVARD,119 AVENUE,ADDRESS,JAMAICA,147 STREET,Closed,12 QUEENS,4120220049,QUEENS,1041500,187085,ONLINE,Unspecified,QUEENS,40.67999673693487,-73.79359236262077,"{'latitude': '40.67999673693487', 'longitude': '-73.79359236262077', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",2023-09-16T19:23:00.000,The Police Department responded to the complaint and took action to fix the condition.,2023-09-16T19:23:06.000,,,,,,,
58830187,2023-09-16T18:37:54.000,NYPD,New York City Police Department,Illegal Parking,Blocked Crosswalk,Street/Sidewalk,10039,2753 FREDERICK DOUGLASS BOULEVARD,FREDERICK DOUGLASS BOULEVARD,WEST  146 STREET,WEST  147 STREET,WEST  146 STREET,WEST  147 STREET,ADDRESS,NEW YORK,8 AVENUE,Closed,10 MANHATTAN,1020450036,MANHATTAN,1000525,239431,MOBILE,Unspecified,MANHATTAN,40.82384336063692,-73.94119575214118,"{'latitude': '40.82384336063692', 'longitude': '-73.94119575214118', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",2023-09-16T18:58:43.000,The Police Department responded to the complaint and took action to fix the condition.,2023-09-16T18:58:45.000,,,,,,,
58832236,2023-09-16T18:37:45.000,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,Residential Building/House,10009,194 EAST    2 STREET,EAST    2 STREET,AVENUE A,AVENUE B,AVENUE A,AVENUE B,ADDRESS,NEW YORK,EAST    2 STREET,Closed,03 MANHATTAN,1003980035,MANHATTAN,988652,202437,ONLINE,Unspecified,MANHATTAN,40.7223184212318,-73.98411908167942,"{'latitude': '40.7223184212318', 'longitude': '-73.98411908167942', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",2023-09-16T18:49:36.000,The Police Department responded to the complaint but officers were unable to gain entry into the premises.,2023-09-16T18:49:40.000,,,,,,,
58828533,2023-09-16T18:37:37.000,DOT,Department of Transportation,Street Condition,Pothole,,11432,AVON STREET,AVON STREET,GRAND CENTRL PARKWAY,HENLEY ROAD,,,BLOCKFACE,QUEENS,,Closed,08 QUEENS,,QUEENS,,,UNKNOWN,Unspecified,QUEENS,,,,2023-09-18T09:25:00.000,The Department of Transportation inspected this complaint and repaired the problem.,2023-09-18T09:25:00.000,N/A,,,,,,
58826980,2023-09-16T18:37:27.000,NYPD,New York City Police Department,Noise - Street/Sidewalk,Loud Music/Party,Street/Sidewalk,10456,1011 SHERIDAN AVENUE,SHERIDAN AVENUE,EAST  164 STREET,CARROLL PLACE,EAST  164 STREET,CARROLL PLACE,ADDRESS,BRONX,SHERIDAN AVENUE,Closed,04 BRONX,2024610130,BRONX,1006531,241465,ONLINE,Unspecified,BRONX,40.829413000530494,-73.9194883436301,"{'latitude': '40.829413000530494', 'longitude': '-73.9194883436301', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",2023-09-16T19:45:12.000,The Police Department responded to the complaint and took action to fix the condition.,2023-09-16T19:45:16.000,,,,,,,
58829842,2023-09-16T18:37:17.000,NYPD,New York City Police Department,Abandoned Vehicle,With License Plate,Street/Sidewalk,11429,215-01 99 AVENUE,99 AVENUE,215 STREET,216 STREET,215 STREET,216 STREET,ADDRESS,QUEENS VILLAGE,99 AVENUE,Closed,13 QUEENS,,QUEENS,1055212,199702,ONLINE,Unspecified,QUEENS,40.71452801410437,-73.74402280635609,"{'latitude': '40.71452801410437', 'longitude': '-73.74402280635609', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",2023-09-16T19:19:00.000,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,2023-09-16T19:19:06.000,,,,,,,
58835770,2023-09-16T18:36:56.000,NYPD,New York City Police Department,Illegal Parking,Posted Parking Sign Violation,Street/Sidewalk,11417,93-01 107 AVENUE,107 AVENUE,93 STREET,CROSS BAY BOULEVARD,93 STREET,CROSS BAY BOULEVARD,ADDRESS,OZONE PARK,107 AVENUE,Closed,10 QUEENS,4091620030,QUEENS,1027233,186581,MOBILE,Unspecified,QUEENS,40.678694148793795,-73.84503331694258,"{'latitude': '40.678694148793795', 'longitude': '-73.84503331694258', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",2023-09-16T19:09:27.000,This complaint does not fall under the Police Department's jurisdiction.,2023-09-16T19:09:30.000,,,,,,,
58829214,2023-09-16T18:36:53.000,DPR,Department of Parks and Recreation,Violation of Park Rules,BBQ Outside Authorized Area,Park,11385,396 GRANDVIEW AVENUE,GRANDVIEW AVENUE,AMORY COURT,STANHOPE STREET,AMORY COURT,STANHOPE STREET,ADDRESS,RIDGEWOOD,GRANDVIEW AVENUE,Closed,05 QUEENS,4033780107,QUEENS,1009183,198367,ONLINE,Unspecified,QUEENS,40.711113211345086,-73.91006532448145,"{'latitude': '40.711113211345086', 'longitude': '-73.91006532448145', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",2023-09-16T20:30:27.000,"Upon inspection the reported condition was not found, and, therefore, no action was taken.",2023-09-16T20:30:32.000,,,,,,,
58834934,2023-09-16T18:36:37.000,NYPD,New York City Police Department,Noise - Street/Sidewalk,Loud Music/Party,Street/Sidewalk,10013,117 MULBERRY STREET,MULBERRY STREET,CANAL STREET,HESTER STREET,CANAL STREET,HESTER STREET,ADDRESS,NEW YORK,MULBERRY STREET,Closed,02 MANHATTAN,1002060021,MANHATTAN,984748,200768,ONLINE,Unspecified,MANHATTAN,40.71773849950475,-73.99820350889932,"{'latitude': '40.71773849950475', 'longitude': '-73.99820350889932', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",2023-09-16T18:40:25.000,The Police Department responded to the complaint and took action to fix the condition.,2023-09-16T18:40:30.000,,,,,,,
58829950,2023-09-16T18:36:28.000,EDC,Economic Development Corporation,Noise - Helicopter,Other,Above Address,10016,208 EAST   28 STREET,EAST   28 STREET,3 AVENUE,2 AVENUE,3 AVENUE,2 AVENUE,ADDRESS,NEW YORK,EAST   28 STREET,In Progress,06 MANHATTAN,1009080047,MANHATTAN,989655,209538,ONLINE,Unspecified,MANHATTAN,40.74180836717385,-73.98049489472714,"{'latitude': '40.74180836717385', 'longitude': '-73.98049489472714', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,,,
58829710,2023-09-16T18:36:19.000,NYPD,New York City Police Department,Noise - Vehicle,Car/Truck Music,Street/Sidewalk,10468,GOULDEN AVENUE,GOULDEN AVENUE,WEST  205 STREET,SEDGWICK AVENUE,WEST  205 STREET,SEDGWICK AVENUE,BLOCKFACE,,,Closed,Unspecified BRONX,,BRONX,,,ONLINE,Unspecified,BRONX,,,,2023-09-16T19:38:30.000,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,2023-09-16T19:38:33.000,,,,,,,
58833875,2023-09-16T18:36:19.000,HPD,Department of Housing Preservation and Development,UNSANITARY CONDITION,PESTS,RESIDENTIAL BUILDING,10474,621 MANIDA STREET,MANIDA STREET,,,,,ADDRESS,BRONX,,Closed,02 BRONX,2027650226,BRONX,1015279,235344,ONLINE,Unspecified,BRONX,40.81258619692701,-73.887906068052,"{'latitude': '40.81258619692701', 'longitude': '-73.887906068052', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",2023-11-08T20:18:04.000,The Department of Housing Preservation and Development inspected the following conditions. No violations were issued. The complaint has been closed.,2023-11-08T00:00:00.000,,,,,,,
58828522,2023-09-16T18:36:10.000,HPD,Department of Housing Preservation and Development,WATER LEAK,HEAVY FLOW,RESIDENTIAL BUILDING,10458,685 EAST  183 STREET,EAST  183 STREET,,,,,ADDRESS,BRONX,,Closed,06 BRONX,2030890001,BRONX,1015752,249769,ONLINE,Unspecified,BRONX,40.85217696517725,-73.88612959119928,"{'latitude': '40.85217696517725', 'longitude': '-73.88612959119928', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",2023-09-29T20:58:25.000,The Department of Housing Preservation and Development inspected the following conditions. No violations were issued. The complaint has been closed.,2023-09-29T00:00:00.000,,,,,,,
58827224,2023-09-16T18:35:46.000,DOT,Department of Transportation,Street Condition,Pothole,,11423,DUNTON STREET,DUNTON STREET,EPSOM COURSE,ROMEO COURT,,,BLOCKFACE,QUEENS,,Closed,08 QUEENS,,QUEENS,,,UNKNOWN,Unspecified,QUEENS,,,,2023-09-18T08:00:00.000,The Department of Transportation inspected this complaint and repaired the problem.,2023-09-18T08:00:00.000,N/A,,,,,,
58836119,2023-09-16T18:35:44.000,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,Residential Building/House,10303,69B ARLINGTON AVENUE,ARLINGTON AVENUE,RICHMOND TERRACE,BENJAMIN PLACE,RICHMOND TERRACE,BENJAMIN PLACE,ADDRESS,STATEN ISLAND,ARLINGTON AVENUE,Closed,01 STATEN ISLAND,5012630025,STATEN ISLAND,937793,172056,ONLINE,Unspecified,STATEN ISLAND,40.63880874030758,-74.16739140270063,"{'latitude': '40.63880874030758', 'longitude': '-74.16739140270063', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",2023-09-16T18:51:30.000,The Police Department responded to the complaint and took action to fix the condition.,2023-09-16T18:51:35.000,,,,,,,
58826595,2023-09-16T18:35:38.000,NYPD,New York City Police Department,Blocked Driveway,Partial Access,Street/Sidewalk,11433,109-02 153 STREET,153 STREET,109 AVENUE,109 ROAD,109 AVENUE,109 ROAD,ADDRESS,JAMAICA,153 STREET,Closed,12 QUEENS,4121400013,QUEENS,1040510,191393,MOBILE,Unspecified,QUEENS,40.691827527098596,-73.79712569781633,"{'latitude': '40.691827527098596', 'longitude': '-73.79712569781633', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",2023-09-16T19:26:09.000,The Police Department responded to the complaint and took action to fix the condition.,2023-09-16T19:26:11.000,,,,,,,
58829414,2023-09-16T18:35:07.000,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,Residential Building/House,11420,130-20 109 AVENUE,109 AVENUE,130 STREET,131 STREET,130 STREET,131 STREET,ADDRESS,SOUTH OZONE PARK,109 AVENUE,Closed,10 QUEENS,4116100011,QUEENS,1036088,188885,ONLINE,Unspecified,QUEENS,40.68497066402129,-73.8130907348983,"{'latitude': '40.68497066402129', 'longitude': '-73.8130907348983', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",2023-09-16T19:28:53.000,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,2023-09-16T19:28:56.000,,,,,,,
58834637,2023-09-16T18:34:12.000,NYPD,New York City Police Department,Noise - Commercial,Loud Music/Party,Store/Commercial,11237,258 STOCKHOLM STREET,STOCKHOLM STREET,KNICKERBOCKER AVENUE,IRVING AVENUE,KNICKERBOCKER AVENUE,IRVING AVENUE,ADDRESS,BROOKLYN,STOCKHOLM STREET,Closed,04 BROOKLYN,,BROOKLYN,1006245,194911,ONLINE,Unspecified,BROOKLYN,40.70163510213026,-73.92067413160846,"{'latitude': '40.70163510213026', 'longitude': '-73.92067413160846', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",2023-09-16T19:49:21.000,The Police Department responded to the complaint and took action to fix the condition.,2023-09-16T19:49:26.000,,,,,,,
58829043,2023-09-16T18:33:56.000,NYPD,New York City Police Department,Illegal Parking,Blocked Hydrant,Street/Sidewalk,10453,137 WEST TREMONT AVENUE,WEST TREMONT AVENUE,HARRISON AVENUE,UNIVERSITY AVENUE,HARRISON AVENUE,UNIVERSITY AVENUE,ADDRESS,BRONX,WEST TREMONT AVENUE,Closed,05 BRONX,2028680081,BRONX,1007950,248976,MOBILE,Unspecified,BRONX,40.85002480608151,-73.91433429495969,"{'latitude': '40.85002480608151', 'longitude': '-73.91433429495969', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",2023-09-16T18:46:20.000,The Police Department responded and upon arrival those responsible for the condition were gone.,2023-09-16T18:46:25.000,,,,,,,
58833354,2023-09-16T18:33:49.000,NYPD,New York City Police Department,Noise - Commercial,Loud Music/Party,Store/Commercial,10460,930 EAST  173 STREET,EAST  173 STREET,SOUTHERN BOULEVARD,HOE AVENUE,SOUTHERN BOULEVARD,HOE AVENUE,ADDRESS,BRONX,EAST  173 STREET,Closed,03 BRONX,2029820023,BRONX,1015172,243702,PHONE,Unspecified,BRONX,40.835526891502994,-73.88825409342327,"{'latitude': '40.835526891502994', 'longitude': '-73.88825409342327', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",2023-09-16T19:04:47.000,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,2023-09-16T19:04:50.000,,,,,,,
58834088,2023-09-16T18:33:46.000,DOT,Department of Transportation,Street Condition,Failed Street Repair,Street,11235,2828 CONEY ISLAND AVENUE,CONEY ISLAND AVENUE,KATHLEEN PLACE,AVENUE Z,KATHLEEN PLACE,AVENUE Z,ADDRESS,BROOKLYN,CONEY ISLAND AVENUE,Closed,13 BROOKLYN,3072240100,BROOKLYN,995253,153364,PHONE,Unspecified,BROOKLYN,40.58761806364197,-73.96038498585294,"{'latitude': '40.58761806364197', 'longitude': '-73.96038498585294', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",2023-09-22T07:38:57.000,The Department of Transportation inspected the condition you reported and found that the condition meets its standards and/or there is a valid permit to conduct work.,2023-09-22T07:39:01.000,,,,,,,
58829473,2023-09-16T18:33:30.000,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,Residential Building/House,11232,576 39 STREET,39 STREET,5 AVENUE,6 AVENUE,5 AVENUE,6 AVENUE,ADDRESS,BROOKLYN,39 STREET,Closed,07 BROOKLYN,3009130032,BROOKLYN,983586,176213,ONLINE,Unspecified,BROOKLYN,40.650340619909,-74.00239290171925,"{'latitude': '40.650340619909', 'longitude': '-74.00239290171925', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",2023-09-16T19:01:21.000,The Police Department responded to the complaint and took action to fix the condition.,2023-09-16T19:01:25.000,,,,,,,
58835763,2023-09-16T18:33:19.000,NYPD,New York City Police Department,Illegal Parking,Double Parked Blocking Traffic,Street/Sidewalk,10028,510 EAST   85 STREET,EAST   85 STREET,YORK AVENUE,EAST END AVENUE,YORK AVENUE,EAST END AVENUE,ADDRESS,NEW YORK,EAST   85 STREET,Closed,08 MANHATTAN,1015810045,MANHATTAN,998900,221641,MOBILE,Unspecified,MANHATTAN,40.77501751889754,-73.94710595575796,"{'latitude': '40.77501751889754', 'longitude': '-73.94710595575796', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",2023-09-16T19:07:00.000,The Police Department responded to the complaint and determined that police action was not necessary.,2023-09-16T19:07:02.000,,,,,,,
58835772,2023-09-16T18:33:14.000,NYPD,New York City Police Department,Illegal Parking,Posted Parking Sign Violation,Street/Sidewalk,11233,1804 STERLING PLACE,STERLING PLACE,HOWARD AVENUE,SARATOGA AVENUE,HOWARD AVENUE,SARATOGA AVENUE,ADDRESS,BROOKLYN,STERLING PLACE,Closed,16 BROOKLYN,3014710023,BROOKLYN,1006654,183688,MOBILE,Unspecified,BROOKLYN,40.67082952351085,-73.919236375767,"{'latitude': '40.67082952351085', 'longitude': '-73.919236375767', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",2023-09-16T19:07:53.000,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,2023-09-16T19:07:55.000,,,,,,,
58829249,2023-09-16T18:33:01.000,NYPD,New York City Police Department,Noise - Commercial,Loud Music/Party,Club/Bar/Restaurant,11236,1663 RALPH AVENUE,RALPH AVENUE,EAST   77 STREET,EAST   76 STREET,EAST   77 STREET,EAST   76 STREET,ADDRESS,BROOKLYN,RALPH AVENUE,Closed,18 BROOKLYN,3079817501,BROOKLYN,1006721,171099,ONLINE,Unspecified,BROOKLYN,40.63627531109799,-73.9190367941174,"{'latitude': '40.63627531109799', 'longitude': '-73.9190367941174', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",2023-09-16T19:04:09.000,The Police Department responded to the complaint and took action to fix the condition.,2023-09-16T19:04:12.000,,,,,,,
58836341,2023-09-16T18:33:01.000,NYPD,New York City Police Department,Noise - Vehicle,Car/Truck Music,Street/Sidewalk,10458,2645 BRIGGS AVENUE,BRIGGS AVENUE,EAST  194 STREET,EAST  196 STREET,EAST  194 STREET,EAST  196 STREET,ADDRESS,BRONX,BRIGGS AVENUE,Closed,07 BRONX,2033000001,BRONX,1013985,254569,MOBILE,Unspecified,BRONX,40.86535764249122,-73.892495473103,"{'latitude': '40.86535764249122', 'longitude': '-73.892495473103', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",2023-09-16T18:54:43.000,The Police Department responded to the complaint and took action to fix the condition.,2023-09-16T18:54:47.000,,,,,,,
58827013,2023-09-16T18:33:00.000,NYPD,New York City Police Department,Noise - Street/Sidewalk,Loud Music/Party,Street/Sidewalk,11237,498 JEFFERSON STREET,JEFFERSON STREET,SCOTT AVENUE,CYPRESS AVENUE,SCOTT AVENUE,CYPRESS AVENUE,ADDRESS,BROOKLYN,JEFFERSON STREET,Closed,04 BROOKLYN,3031780020,BROOKLYN,1006007,197604,ONLINE,Unspecified,BROOKLYN,40.709027338164255,-73.92152378678273,"{'latitude': '40.709027338164255', 'longitude': '-73.92152378678273', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",2023-09-16T19:43:25.000,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,2023-09-16T19:43:28.000,,,,,,,
