unique_key,created_date,closed_date,agency,agency_name,complaint_type,descriptor,location_type,incident_zip,incident_address,street_name,cross_street_1,cross_street_2,intersection_street_1,intersection_street_2,address_type,city,landmark,status,resolution_description,resolution_action_updated_date,community_board,borough,x_coordinate_state_plane,y_coordinate_state_plane,open_data_channel_type,park_facility_name,park_borough,latitude,longitude,location,bbl,vehicle_type,taxi_company_borough,taxi_pick_up_location,facility_type,bridge_highway_name,road_ramp,bridge_highway_segment,bridge_highway_direction,due_date
58943518,2023-09-27T20:23:03.000,2023-09-27T21:51:12.000,NYPD,New York City Police Department,Illegal Parking,Posted Parking Sign Violation,Street/Sidewalk,11249,65 KENT AVENUE,KENT AVENUE,NORTH   11 STREET,NORTH   10 STREET,NORTH   11 STREET,NORTH   10 STREET,ADDRESS,BROOKLYN,KENT AVENUE,Closed,The Police Department responded to the complaint and determined that police action was not necessary.,2023-09-27T21:51:16.000,01 BROOKLYN,BROOKLYN,995382,202344,MOBILE,Unspecified,BROOKLYN,40.72205724982195,-73.95983968760204,"{'latitude': '40.72205724982195', 'longitude': '-73.95983968760204', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,,,
58945707,2023-09-27T20:23:00.000,2023-10-02T05:03:50.000,DSNY,Department of Sanitation,Dirty Condition,Trash,Sidewalk,11208,548 MONTAUK AVENUE,MONTAUK AVENUE,LINDEN BOULEVARD,STANLEY AVENUE,LINDEN BOULEVARD,STANLEY AVENUE,ADDRESS,BROOKLYN,MONTAUK AVENUE,Closed,The Department of Sanitation cleaned the location.,2023-10-02T05:03:52.000,05 BROOKLYN,BROOKLYN,1019270,181525,ONLINE,Unspecified,BROOKLYN,40.66485166066784,-73.87376855803458,"{'latitude': '40.66485166066784', 'longitude': '-73.87376855803458', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",3045010022,,,,,,,,,
58941767,2023-09-27T20:22:51.000,2023-10-12T11:00:57.000,DOT,Department of Transportation,Sidewalk Condition,Broken Sidewalk,Sidewalk,10128,1575 3 AVENUE,3 AVENUE,EAST   88 STREET,EAST   89 STREET,EAST   88 STREET,EAST   89 STREET,ADDRESS,NEW YORK,3 AVENUE,Closed,The Department of Transportation requires 30 days to respond to this type of complaint. Please note your Service Request number for future reference.,2023-10-12T11:01:02.000,08 MANHATTAN,MANHATTAN,997317,223603,PHONE,Unspecified,MANHATTAN,40.780405172877686,-73.95281758421908,"{'latitude': '40.780405172877686', 'longitude': '-73.95281758421908', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,,,
58940434,2023-09-27T20:22:43.000,2023-11-16T10:55:05.000,TLC,Taxi and Limousine Commission,For Hire Vehicle Complaint,Car Service Company Complaint,Street,11419,104-09 109 STREET,109 STREET,LIBERTY AVENUE,107 AVENUE,LIBERTY AVENUE,107 AVENUE,ADDRESS,SOUTH RICHMOND HILL,109 STREET,Closed,"Based on the information provided by the customer, the Taxi and Limousine Commission has determined that a hearing is not necessary or not possible.",2023-11-16T10:55:08.000,10 QUEENS,QUEENS,1030628,188415,PHONE,Unspecified,QUEENS,40.68371091671155,-73.83278072407116,"{'latitude': '40.68371091671155', 'longitude': '-73.83278072407116', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,Car Service,QUEENS,"104-09 109 STREET, QUEENS (SOUTH RICHMOND HILL), NY, 11419",,,,,,
58936764,2023-09-27T20:22:37.000,2023-09-27T22:21:26.000,DSNY,Department of Sanitation,Dirty Condition,Trash,Sidewalk,10034,247 DYCKMAN STREET,DYCKMAN STREET,SEAMAN AVENUE,PAYSON AVENUE,SEAMAN AVENUE,PAYSON AVENUE,ADDRESS,NEW YORK,DYCKMAN STREET,Closed,The Department of Sanitation investigated this complaint and found no condition at the location.,2023-09-27T22:21:28.000,12 MANHATTAN,MANHATTAN,1004092,254930,MOBILE,Unspecified,MANHATTAN,40.86637625813613,-73.92826173870098,"{'latitude': '40.86637625813613', 'longitude': '-73.92826173870098', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,,,
58936406,2023-09-27T20:22:36.000,2023-09-27T20:58:06.000,NYPD,New York City Police Department,Drug Activity,Use Indoor,Other,11226,222 EAST   17 STREET,EAST   17 STREET,ALBEMARLE ROAD,BEVERLEY ROAD,ALBEMARLE ROAD,BEVERLEY ROAD,ADDRESS,BROOKLYN,EAST   17 STREET,Closed,The Police Department responded to the complaint and a report was prepared.,2023-09-27T20:58:10.000,14 BROOKLYN,BROOKLYN,994429,174456,ONLINE,Unspecified,BROOKLYN,40.64551221057018,-73.96331990259071,"{'latitude': '40.64551221057018', 'longitude': '-73.96331990259071', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",3051200026,,,,,,,,,
58945046,2023-09-27T20:22:23.000,2023-09-27T20:23:37.000,NYPD,New York City Police Department,Noise - Street/Sidewalk,Loud Talking,Street/Sidewalk,11226,1044 FLATBUSH AVENUE,FLATBUSH AVENUE,REGENT PLACE,DURYEA PLACE,REGENT PLACE,DURYEA PLACE,ADDRESS,BROOKLYN,FLATBUSH AVENUE,Closed,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,2023-09-27T20:23:40.000,14 BROOKLYN,BROOKLYN,995886,174516,MOBILE,Unspecified,BROOKLYN,40.64567510317057,-73.95806949019844,"{'latitude': '40.64567510317057', 'longitude': '-73.95806949019844', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,,,
58939970,2023-09-27T20:22:17.000,2023-09-27T21:16:40.000,NYPD,New York City Police Department,Noise - Street/Sidewalk,Loud Music/Party,Street/Sidewalk,10033,707 WEST  180 STREET,WEST  180 STREET,BROADWAY,FORT WASHINGTON AVENUE,BROADWAY,FORT WASHINGTON AVENUE,ADDRESS,NEW YORK,WEST  180 STREET,Closed,The Police Department responded to the complaint and took action to fix the condition.,2023-09-27T21:16:44.000,12 MANHATTAN,MANHATTAN,1001723,248831,ONLINE,Unspecified,MANHATTAN,40.84964134268999,-73.93684269510118,"{'latitude': '40.84964134268999', 'longitude': '-73.93684269510118', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,,,
58943617,2023-09-27T20:22:03.000,2023-09-27T20:42:07.000,NYPD,New York City Police Department,Blocked Driveway,No Access,Street/Sidewalk,10023,15 WEST   61 STREET,WEST   61 STREET,BROADWAY,COLUMBUS AVENUE,BROADWAY,COLUMBUS AVENUE,ADDRESS,NEW YORK,WEST   61 STREET,Closed,The Police Department issued a summons in response to the complaint.,2023-09-27T20:42:10.000,07 MANHATTAN,MANHATTAN,989099,219777,PHONE,Unspecified,MANHATTAN,40.76991213637934,-73.98249395600888,"{'latitude': '40.76991213637934', 'longitude': '-73.98249395600888', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,,,
58938175,2023-09-27T20:21:59.000,2023-11-01T04:02:50.000,DCWP,Department of Consumer and Worker Protection,Consumer Complaint,Supermarket or Grocery Store,Business,10029,1891 3 AVENUE,3 AVENUE,EAST  104 STREET,EAST  105 STREET,EAST  104 STREET,EAST  105 STREET,ADDRESS,NEW YORK,3 AVENUE,Closed,The Department of Consumer and Worker Protection (DCWP) closed your complaint. It was closed because you didn't submit a completed complaint form or requested documents within 30 days of DCWP's request.,2023-11-01T04:02:52.000,11 MANHATTAN,MANHATTAN,999366,227298,PHONE,Unspecified,MANHATTAN,40.79054369328178,-73.94541072786019,"{'latitude': '40.79054369328178', 'longitude': '-73.94541072786019', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,,,
58936084,2023-09-27T20:21:33.000,2023-09-27T20:32:19.000,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,Residential Building/House,11213,712 CROWN STREET,CROWN STREET,SCHENECTADY AVENUE,UTICA AVENUE,SCHENECTADY AVENUE,UTICA AVENUE,ADDRESS,BROOKLYN,CROWN STREET,Closed,The Police Department responded to the complaint and took action to fix the condition.,2023-09-27T20:32:25.000,09 BROOKLYN,BROOKLYN,1002613,181687,ONLINE,Unspecified,BROOKLYN,40.665346530124594,-73.93380912094888,"{'latitude': '40.665346530124594', 'longitude': '-73.93380912094888', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,,,
58937874,2023-09-27T20:21:17.000,2023-10-17T10:37:17.000,DOT,Department of Transportation,Sidewalk Condition,Broken Sidewalk,Sidewalk,10128,1571 3 AVENUE,3 AVENUE,EAST   88 STREET,EAST   89 STREET,EAST   88 STREET,EAST   89 STREET,ADDRESS,NEW YORK,3 AVENUE,Closed,"The Department of Transportation's inspectors could not find the address you reported. If you would like to pursue the complaint, please check the address and call 311 or (212) 639-9675 with updated location information.",2023-10-17T10:37:22.000,08 MANHATTAN,MANHATTAN,997291,223557,PHONE,Unspecified,MANHATTAN,40.78027895346999,-73.95291155447093,"{'latitude': '40.78027895346999', 'longitude': '-73.95291155447093', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,,,
58944820,2023-09-27T20:21:15.000,2023-09-28T00:49:27.000,NYPD,New York City Police Department,Blocked Driveway,No Access,Street/Sidewalk,11378,58-72 FRESH POND ROAD,FRESH POND ROAD,FLUSHING AVENUE,59 AVENUE,FLUSHING AVENUE,59 AVENUE,ADDRESS,MASPETH,FRESH POND ROAD,Closed,The Police Department issued a summons in response to the complaint.,2023-09-28T00:49:34.000,05 QUEENS,QUEENS,1011217,201662,PHONE,Unspecified,QUEENS,40.720151226726706,-73.90271538297449,"{'latitude': '40.720151226726706', 'longitude': '-73.90271538297449', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,,,
58945789,2023-09-27T20:21:06.000,2023-10-02T08:04:25.000,DSNY,Department of Sanitation,Sanitation Worker or Vehicle Complaint,Unsafe Driving,Street,11223,AVENUE U,AVENUE U,AVENUE U,EAST    2 STREET,AVENUE U,EAST    2 STREET,INTERSECTION,,,Closed,"The Department of Sanitation has investigated the complaint and addressed the issue. If the problem persists, call 311 to enter a new complaint. If you are outside of New York City, please call (212) NEW-YORK (212-639-9675).",2023-10-02T08:04:25.000,15 BROOKLYN,BROOKLYN,992684,156919,PHONE,Unspecified,BROOKLYN,40.59737864144757,-73.96962993137114,"{'latitude': '40.59737864144757', 'longitude': '-73.96962993137114', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,,,
58943682,2023-09-27T20:20:57.000,2023-09-27T20:39:42.000,NYPD,New York City Police Department,Noise - Commercial,Banging/Pounding,Club/Bar/Restaurant,10304,68 CANAL STREET,CANAL STREET,BAY STREET,WRIGHT STREET,BAY STREET,WRIGHT STREET,ADDRESS,STATEN ISLAND,CANAL STREET,Closed,The Police Department responded to the complaint and took action to fix the condition.,2023-09-27T20:39:45.000,01 STATEN ISLAND,STATEN ISLAND,963170,167584,ONLINE,Unspecified,STATEN ISLAND,40.6266308027576,-74.07594044427188,"{'latitude': '40.6266308027576', 'longitude': '-74.07594044427188', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,,,
58944966,2023-09-27T20:20:23.000,2023-09-28T01:42:09.000,NYPD,New York City Police Department,Noise - Residential,Banging/Pounding,Residential Building/House,11432,172-90 HIGHLAND AVENUE,HIGHLAND AVENUE,AVA PLACE,DALNY ROAD,AVA PLACE,DALNY ROAD,ADDRESS,JAMAICA,HIGHLAND AVENUE,Closed,The Police Department responded to the complaint but officers were unable to gain entry into the premises.,2023-09-28T01:42:16.000,08 QUEENS,QUEENS,1043032,199317,ONLINE,Unspecified,QUEENS,40.71356059282307,-73.7879622011086,"{'latitude': '40.71356059282307', 'longitude': '-73.7879622011086', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",4098450086,,,,,,,,,
58942457,2023-09-27T20:20:23.000,2023-09-27T20:49:29.000,NYPD,New York City Police Department,Noise - Residential,Banging/Pounding,Residential Building/House,11209,8801 SHORE ROAD,SHORE ROAD,88 STREET,NARROWS AVENUE,88 STREET,NARROWS AVENUE,ADDRESS,BROOKLYN,SHORE ROAD,Closed,The Police Department responded to the complaint and took action to fix the condition.,2023-09-27T20:49:34.000,10 BROOKLYN,BROOKLYN,972918,166639,ONLINE,Unspecified,BROOKLYN,40.62405480872863,-74.0408218133134,"{'latitude': '40.62405480872863', 'longitude': '-74.0408218133134', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,,,
58936541,2023-09-27T20:20:16.000,2023-09-27T20:20:16.000,DOHMH,Department of Health and Mental Hygiene,Rodent,Rat Sighting,Commercial Building,11225,1232 NOSTRAND AVENUE,NOSTRAND AVENUE,WINTHROP STREET,PARKSIDE AVENUE,WINTHROP STREET,PARKSIDE AVENUE,ADDRESS,BROOKLYN,NOSTRAND AVENUE,Closed,The Department of Health and Mental Hygiene inspected the property you reported and did not find any violations at the time of the inspection. The property passed inspection.,2023-09-27T20:20:16.000,09 BROOKLYN,BROOKLYN,998055,178632,ONLINE,Unspecified,BROOKLYN,40.656969510670535,-73.95024504141577,"{'latitude': '40.656969510670535', 'longitude': '-73.95024504141577', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",3050500043,,,,,,,,,
58941788,2023-09-27T20:20:00.000,2023-09-29T12:02:00.000,DSNY,Department of Sanitation,Electronics Waste Appointment,Ewaste appointment,Sidewalk,10303,42 MERSEREAU AVENUE,MERSEREAU AVENUE,RICHMOND TERRACE,CHRISTOPHER STREET,,,ADDRESS,STATEN ISLAND,,Closed,The Department of Sanitation collected the E-waste.,2023-09-29T12:02:00.000,01 STATEN ISLAND,STATEN ISLAND,938861,171644,PHONE,Unspecified,STATEN ISLAND,40.63768342758977,-74.1635404792022,"{'latitude': '40.63768342758977', 'longitude': '-74.1635404792022', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",5012520095,,,,,,,,,
58943642,2023-09-27T20:19:58.000,2023-09-28T01:04:20.000,NYPD,New York City Police Department,Drinking,In Public,Street/Sidewalk,10455,751 EAST  147 STREET,EAST  147 STREET,CONCORD AVENUE,WALES AVENUE,CONCORD AVENUE,WALES AVENUE,ADDRESS,BRONX,EAST  147 STREET,Closed,The Police Department responded to the complaint and determined that police action was not necessary.,2023-09-28T01:04:25.000,01 BRONX,BRONX,1009723,234924,ONLINE,Unspecified,BRONX,40.81145118163981,-73.90797899449959,"{'latitude': '40.81145118163981', 'longitude': '-73.90797899449959', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,,,
58940437,2023-09-27T20:19:57.000,2023-11-09T11:58:15.000,TLC,Taxi and Limousine Commission,For Hire Vehicle Complaint,Driver Complaint - Non Passenger,,10003,70 EAST   12 STREET,EAST   12 STREET,BROADWAY,4 AVENUE,BROADWAY,4 AVENUE,ADDRESS,NEW YORK,EAST   12 STREET,Closed,The Taxi and Limousine Commission (TLC) reviewed your complaint. The driver or owner pled guilty to a violation and paid a fine. TLC has sent you a written confirmation of this outcome.,2023-11-09T11:58:19.000,02 MANHATTAN,MANHATTAN,986830,206337,MOBILE,Unspecified,MANHATTAN,40.73302368960505,-73.99069074246523,"{'latitude': '40.73302368960505', 'longitude': '-73.99069074246523', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",1005570022,,,"70 EAST   12 STREET, MANHATTAN (NEW YORK), NY, 10003",,,,,,
58945012,2023-09-27T20:19:57.000,2023-09-27T21:31:36.000,NYPD,New York City Police Department,Noise - Street/Sidewalk,Loud Music/Party,Street/Sidewalk,10457,BERGEN TRIANGLE,BERGEN TRIANGLE,EAST  181 STREET,BEND,EAST  181 STREET,BEND,UNRECOGNIZED,BRONX,BERGEN TRIANGLE,Closed,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,2023-09-27T21:31:39.000,05 BRONX,BRONX,1011543,250693,ONLINE,Unspecified,BRONX,40.85472708280769,-73.90134010513819,"{'latitude': '40.85472708280769', 'longitude': '-73.90134010513819', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,,,
58942192,2023-09-27T20:19:54.000,2023-09-28T00:02:54.000,NYPD,New York City Police Department,Illegal Parking,Blocked Hydrant,Street/Sidewalk,11385,72-21 66 STREET,66 STREET,MYRTLE AVENUE,COOPER AVENUE,MYRTLE AVENUE,COOPER AVENUE,ADDRESS,RIDGEWOOD,66 STREET,Closed,The Police Department responded to the complaint and determined that police action was not necessary.,2023-09-28T00:02:58.000,05 QUEENS,QUEENS,1015345,194640,MOBILE,Unspecified,QUEENS,40.700863973250456,-73.8878558907511,"{'latitude': '40.700863973250456', 'longitude': '-73.8878558907511', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",4036990020,,,,,,,,,
58939058,2023-09-27T20:19:54.000,2023-10-06T08:37:50.000,DPR,Department of Parks and Recreation,Damaged Tree,Branch or Limb Has Fallen Down,Street,10314,RICHMOND AVENUE,RICHMOND AVENUE,RICHMOND AVENUE,CROFT PLACE,RICHMOND AVENUE,CROFT PLACE,INTERSECTION,,,Closed,No action was taken because NYC Parks determined that the issue is out of its jurisdiction. The condition may be on private property or in an area serviced by another organization.,2023-10-06T08:37:56.000,02 STATEN ISLAND,STATEN ISLAND,939207,159847,ONLINE,Unspecified,STATEN ISLAND,40.60530494564734,-74.16221510120992,"{'latitude': '40.60530494564734', 'longitude': '-74.16221510120992', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,,,
58945558,2023-09-27T20:19:21.000,2023-09-28T09:04:06.000,TLC,Taxi and Limousine Commission,Lost Property,Bag/Wallet,Taxi,10022,2 AVENUE,2 AVENUE,2 AVENUE,EAST   55 STREET,2 AVENUE,EAST   55 STREET,INTERSECTION,,,Closed,See notes for information.,2023-09-28T09:02:59.000,06 MANHATTAN,MANHATTAN,993603,215441,PHONE,Unspecified,MANHATTAN,40.758007317565976,-73.9662394784917,"{'latitude': '40.758007317565976', 'longitude': '-73.9662394784917', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,"2 AVENUE AND EAST   55 STREET, MANHATTAN, NY, 10022",,,,,,
58937779,2023-09-27T20:19:00.000,2023-09-27T20:19:00.000,DOHMH,Department of Health and Mental Hygiene,Rodent,Rat Sighting,1-2 Family Dwelling,10310,5 ALLEN COURT,ALLEN COURT,CLOVE ROAD,ELIZABETH STREET,CLOVE ROAD,ELIZABETH STREET,ADDRESS,STATEN ISLAND,ALLEN COURT,Closed,The Department of Health and Mental Hygiene inspected the property you reported and did not find any violations at the time of the inspection. The property passed inspection.,2023-09-27T20:19:00.000,01 STATEN ISLAND,STATEN ISLAND,950890,167824,ONLINE,Unspecified,STATEN ISLAND,40.62725181989395,-74.12018013619841,"{'latitude': '40.62725181989395', 'longitude': '-74.12018013619841', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",5003090010,,,,,,,,,
58937058,2023-09-27T20:18:58.000,2023-09-27T21:50:56.000,NYPD,New York City Police Department,Illegal Parking,Blocked Sidewalk,Street/Sidewalk,11249,55 KENT AVENUE,KENT AVENUE,NORTH   11 STREET,NORTH   10 STREET,NORTH   11 STREET,NORTH   10 STREET,ADDRESS,BROOKLYN,KENT AVENUE,Closed,The Police Department responded to the complaint and determined that police action was not necessary.,2023-09-27T21:51:01.000,01 BROOKLYN,BROOKLYN,995464,202445,MOBILE,Unspecified,BROOKLYN,40.72233436681444,-73.95954369240978,"{'latitude': '40.72233436681444', 'longitude': '-73.95954369240978', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,,,
