unique_key,created_date,closed_date,agency,agency_name,complaint_type,descriptor,location_type,incident_zip,incident_address,street_name,cross_street_1,cross_street_2,intersection_street_1,intersection_street_2,address_type,city,landmark,status,resolution_description,resolution_action_updated_date,community_board,bbl,borough,x_coordinate_state_plane,y_coordinate_state_plane,open_data_channel_type,park_facility_name,park_borough,latitude,longitude,location,facility_type,due_date,bridge_highway_name,road_ramp,bridge_highway_segment,taxi_pick_up_location,bridge_highway_direction
58914136,2023-09-24T21:19:50.000,2023-09-24T22:48:51.000,NYPD,New York City Police Department,Illegal Parking,Blocked Hydrant,Street/Sidewalk,11234,1845 EAST   33 STREET,EAST   33 STREET,AVENUE R,FILLMORE AVENUE,AVENUE R,FILLMORE AVENUE,ADDRESS,BROOKLYN,EAST   33 STREET,Closed,The Police Department issued a summons in response to the complaint.,2023-09-24T22:48:55.000,18 BROOKLYN,3084770022,BROOKLYN,1001957,161810,ONLINE,Unspecified,BROOKLYN,40.610789760886476,-73.93622588635034,"{'latitude': '40.610789760886476', 'longitude': '-73.93622588635034', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
58914150,2023-09-24T21:19:49.000,2023-09-24T21:51:55.000,NYPD,New York City Police Department,Illegal Parking,Blocked Hydrant,Street/Sidewalk,11370,31-48 78 STREET,78 STREET,31 AVENUE,32 AVENUE,31 AVENUE,32 AVENUE,ADDRESS,EAST ELMHURST,78 STREET,Closed,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,2023-09-24T21:52:00.000,03 QUEENS,4011480032,QUEENS,1014846,215355,MOBILE,Unspecified,QUEENS,40.757723278548255,-73.88956134294422,"{'latitude': '40.757723278548255', 'longitude': '-73.88956134294422', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
58910231,2023-09-24T21:19:44.000,2023-09-24T21:58:08.000,NYPD,New York City Police Department,Noise - Residential,Banging/Pounding,Residential Building/House,10002,410 GRAND STREET,GRAND STREET,CLINTON STREET,ATTORNEY STREET,CLINTON STREET,ATTORNEY STREET,ADDRESS,NEW YORK,GRAND STREET,Closed,The Police Department responded to the complaint and took action to fix the condition.,2023-09-24T21:58:11.000,03 MANHATTAN,1003410058,MANHATTAN,987973,200104,ONLINE,Unspecified,MANHATTAN,40.7159152093453,-73.98656997303071,"{'latitude': '40.7159152093453', 'longitude': '-73.98656997303071', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
58911652,2023-09-24T21:19:38.000,2023-09-25T01:26:57.000,NYPD,New York City Police Department,Illegal Parking,Commercial Overnight Parking,Street/Sidewalk,11379,61-12 69 PLACE,69 PLACE,ELIOT AVENUE,61 ROAD,ELIOT AVENUE,61 ROAD,ADDRESS,MIDDLE VILLAGE,69 PLACE,Closed,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,2023-09-25T01:27:00.000,05 QUEENS,4029220035,QUEENS,1014903,201547,ONLINE,Unspecified,QUEENS,40.719823575737706,-73.88941851580105,"{'latitude': '40.719823575737706', 'longitude': '-73.88941851580105', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
58911710,2023-09-24T21:19:38.000,,DSNY,Department of Sanitation,Graffiti,Graffiti,Residential,11385,1904 CORNELIA STREET,CORNELIA STREET,,,,,ADDRESS,RIDGEWOOD,,Open,"The City will notify the property owner within 5 days that the City will clean the graffiti unless the property owner responds within 35 days; the property owner may choose to keep the graffiti, clean the property him/herself or request a 15 day extension.",2023-11-09T07:42:06.000,05 QUEENS,4034830044,QUEENS,1011295,195510,UNKNOWN,Unspecified,QUEENS,40.70326522240948,-73.90245870785824,"{'latitude': '40.70326522240948', 'longitude': '-73.90245870785824', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",N/A,2023-11-14T07:42:06.000,,,,,
58911662,2023-09-24T21:19:28.000,2023-09-24T21:20:17.000,NYPD,New York City Police Department,Illegal Parking,Posted Parking Sign Violation,Street/Sidewalk,11368,35-10 109 STREET,109 STREET,35 AVENUE,36 AVENUE,35 AVENUE,36 AVENUE,ADDRESS,CORONA,109 STREET,Closed,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,2023-09-24T21:20:20.000,03 QUEENS,4017510114,QUEENS,1023255,214523,MOBILE,Unspecified,QUEENS,40.7554065559017,-73.85921327252963,"{'latitude': '40.7554065559017', 'longitude': '-73.85921327252963', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
58913291,2023-09-24T21:18:41.000,2023-09-24T21:52:11.000,NYPD,New York City Police Department,Illegal Parking,Blocked Hydrant,Street/Sidewalk,11204,1689 46 STREET,46 STREET,16 AVENUE,17 AVENUE,16 AVENUE,17 AVENUE,ADDRESS,BROOKLYN,46 STREET,Closed,The Police Department issued a summons in response to the complaint.,2023-09-24T21:52:15.000,12 BROOKLYN,3054340052,BROOKLYN,989289,169374,PHONE,Unspecified,BROOKLYN,40.63156762248881,-73.98184572291794,"{'latitude': '40.63156762248881', 'longitude': '-73.98184572291794', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
58910042,2023-09-24T21:18:41.000,2023-09-25T00:43:50.000,NYPD,New York City Police Department,Illegal Parking,Commercial Overnight Parking,Street/Sidewalk,11364,210-05 73 AVENUE,73 AVENUE,210 STREET,213 STREET,210 STREET,213 STREET,ADDRESS,OAKLAND GARDENS,73 AVENUE,Closed,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,2023-09-25T00:43:55.000,11 QUEENS,4076330001,QUEENS,1049849,208696,MOBILE,Unspecified,QUEENS,40.73925565404473,-73.7632806798152,"{'latitude': '40.73925565404473', 'longitude': '-73.7632806798152', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
58911598,2023-09-24T21:18:34.000,2023-09-24T22:29:59.000,NYPD,New York City Police Department,Illegal Parking,Blocked Hydrant,Street/Sidewalk,11228,8808 15 AVENUE,15 AVENUE,BATH AVENUE,CROPSEY AVENUE,BATH AVENUE,CROPSEY AVENUE,ADDRESS,BROOKLYN,15 AVENUE,Closed,The Police Department responded and upon arrival those responsible for the condition were gone.,2023-09-24T22:30:04.000,11 BROOKLYN,3064260059,BROOKLYN,980404,160513,ONLINE,Unspecified,BROOKLYN,40.607246619350185,-74.01385114379798,"{'latitude': '40.607246619350185', 'longitude': '-74.01385114379798', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
58915263,2023-09-24T21:18:31.000,2023-09-24T21:54:33.000,NYPD,New York City Police Department,Noise - Residential,Loud Talking,Residential Building/House,10458,2960 DECATUR AVENUE,DECATUR AVENUE,BEDFORD PARK BOULEVARD,EAST  201 STREET,BEDFORD PARK BOULEVARD,EAST  201 STREET,ADDRESS,BRONX,DECATUR AVENUE,Closed,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,2023-09-24T21:54:39.000,07 BRONX,2032800007,BRONX,1016421,255658,ONLINE,Unspecified,BRONX,40.86833807209636,-73.88368309082192,"{'latitude': '40.86833807209636', 'longitude': '-73.88368309082192', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
58916370,2023-09-24T21:18:24.000,2023-10-03T17:03:21.000,DOHMH,Department of Health and Mental Hygiene,Rodent,Condition Attracting Rodents,3+ Family Apt. Building,11421,90-06 PARK LANE SOUTH,PARK LANE SOUTH,90 STREET,91 STREET,90 STREET,91 STREET,ADDRESS,WOODHAVEN,PARK LANE SOUTH,Closed,This service request was closed because the Department of Health and Mental Hygiene received an earlier complaint about the same location.  You can find inspection results for this address by going to the online Rat Portal at www.nyc.gov/rats.,2023-09-24T21:18:24.000,09 QUEENS,4088770004,QUEENS,1024318,193316,MOBILE,Unspecified,QUEENS,40.69719382744706,-73.85550269743995,"{'latitude': '40.69719382744706', 'longitude': '-73.85550269743995', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
58914263,2023-09-24T21:18:15.000,2023-09-24T22:05:02.000,NYPD,New York City Police Department,Blocked Driveway,No Access,Street/Sidewalk,11233,151 CHAUNCEY STREET,CHAUNCEY STREET,STUYVESANT AVENUE,MALCOLM X BOULEVARD,STUYVESANT AVENUE,MALCOLM X BOULEVARD,ADDRESS,BROOKLYN,CHAUNCEY STREET,Closed,The Police Department responded to the complaint and took action to fix the condition.,2023-09-24T22:05:06.000,03 BROOKLYN,3016860053,BROOKLYN,1003768,187167,MOBILE,Unspecified,BROOKLYN,40.68038542454948,-73.9296299658923,"{'latitude': '40.68038542454948', 'longitude': '-73.9296299658923', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
58915024,2023-09-24T21:18:09.000,2023-09-24T23:38:40.000,NYPD,New York City Police Department,Blocked Driveway,No Access,Street/Sidewalk,10462,2013 BOGART AVENUE,BOGART AVENUE,NEILL AVENUE,BRADY AVENUE,NEILL AVENUE,BRADY AVENUE,ADDRESS,BRONX,BOGART AVENUE,Closed,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,2023-09-24T23:38:44.000,11 BRONX,2042950033,BRONX,1022667,249606,MOBILE,Unspecified,BRONX,40.85170219902305,-73.86113488443742,"{'latitude': '40.85170219902305', 'longitude': '-73.86113488443742', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
58916077,2023-09-24T21:18:07.000,2023-09-24T22:05:03.000,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,Residential Building/House,11420,134-11 111 AVENUE,111 AVENUE,134 STREET,135 STREET,134 STREET,135 STREET,ADDRESS,SOUTH OZONE PARK,111 AVENUE,Closed,The Police Department responded to the complaint and took action to fix the condition.,2023-09-24T22:05:06.000,10 QUEENS,4116140046,QUEENS,1037307,188572,MOBILE,Unspecified,QUEENS,40.68410432938696,-73.80869793588158,"{'latitude': '40.68410432938696', 'longitude': '-73.80869793588158', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
58915180,2023-09-24T21:18:02.000,2023-09-24T22:31:53.000,NYPD,New York City Police Department,Noise - Residential,Banging/Pounding,Residential Building/House,10467,765 EAST  214 STREET,EAST  214 STREET,HOLLAND AVENUE,BARNES AVENUE,HOLLAND AVENUE,BARNES AVENUE,ADDRESS,BRONX,EAST  214 STREET,Closed,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,2023-09-24T22:31:59.000,12 BRONX,2046620075,BRONX,1022244,259634,ONLINE,Unspecified,BRONX,40.87922781323706,-73.86260703747318,"{'latitude': '40.87922781323706', 'longitude': '-73.86260703747318', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
58921350,2023-09-24T21:18:01.000,2023-09-28T00:00:00.000,DOB,Department of Buildings,Emergency Response Team (ERT),After Hours Work - Illegal,,11222,217 ECKFORD STREET,ECKFORD STREET,,,,,ADDRESS,BROOKLYN,,Closed,The Department of Buildings investigated this complaint and determined that no further action was necessary.,2023-09-28T00:00:00.000,01 BROOKLYN,3026210020,BROOKLYN,997977,204059,UNKNOWN,Unspecified,BROOKLYN,40.72676086205583,-73.9504743506442,"{'latitude': '40.72676086205583', 'longitude': '-73.9504743506442', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",N/A,,,,,,
58911188,2023-09-24T21:17:20.000,,HPD,Department of Housing Preservation and Development,DOOR/WINDOW,DOOR FRAME,RESIDENTIAL BUILDING,10029,1695 LEXINGTON AVENUE,LEXINGTON AVENUE,,,,,ADDRESS,NEW YORK,,Open,The following complaint conditions are still open. HPD may attempt to contact you to verify the correction of the condition or may conduct an inspection.,2023-09-24T00:00:00.000,11 MANHATTAN,1016340022,MANHATTAN,999180,228011,ONLINE,Unspecified,MANHATTAN,40.79250100202552,-73.94608085514925,"{'latitude': '40.79250100202552', 'longitude': '-73.94608085514925', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
58911198,2023-09-24T21:17:20.000,,HPD,Department of Housing Preservation and Development,FLOORING/STAIRS,FLOOR,RESIDENTIAL BUILDING,10029,1695 LEXINGTON AVENUE,LEXINGTON AVENUE,,,,,ADDRESS,NEW YORK,,Open,The following complaint conditions are still open. HPD may attempt to contact you to verify the correction of the condition or may conduct an inspection.,2023-09-24T00:00:00.000,11 MANHATTAN,1016340022,MANHATTAN,999180,228011,ONLINE,Unspecified,MANHATTAN,40.79250100202552,-73.94608085514925,"{'latitude': '40.79250100202552', 'longitude': '-73.94608085514925', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
58914575,2023-09-24T21:17:20.000,,HPD,Department of Housing Preservation and Development,UNSANITARY CONDITION,PESTS,RESIDENTIAL BUILDING,10029,1695 LEXINGTON AVENUE,LEXINGTON AVENUE,,,,,ADDRESS,NEW YORK,,Open,The following complaint conditions are still open. HPD may attempt to contact you to verify the correction of the condition or may conduct an inspection.,2023-09-24T00:00:00.000,11 MANHATTAN,1016340022,MANHATTAN,999180,228011,ONLINE,Unspecified,MANHATTAN,40.79250100202552,-73.94608085514925,"{'latitude': '40.79250100202552', 'longitude': '-73.94608085514925', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
58911065,2023-09-24T21:17:19.000,2023-09-24T21:48:14.000,NYPD,New York City Police Department,Noise - Residential,Banging/Pounding,Residential Building/House,10039,2541 7 AVENUE,7 AVENUE,WEST  147 STREET,WEST  148 STREET,WEST  147 STREET,WEST  148 STREET,ADDRESS,NEW YORK,7 AVENUE,Closed,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,2023-09-24T21:48:19.000,10 MANHATTAN,1020160050,MANHATTAN,1001396,239133,ONLINE,Unspecified,MANHATTAN,40.82302378752941,-73.93804944859909,"{'latitude': '40.82302378752941', 'longitude': '-73.93804944859909', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
58911165,2023-09-24T21:17:19.000,2023-09-24T21:31:50.000,NYPD,New York City Police Department,Noise - Vehicle,Car/Truck Music,Street/Sidewalk,10452,1605 INWOOD AVENUE,INWOOD AVENUE,DEAD END,FEATHERBED LANE,DEAD END,FEATHERBED LANE,ADDRESS,BRONX,INWOOD AVENUE,Closed,The Police Department responded to the complaint and took action to fix the condition.,2023-09-24T21:31:55.000,05 BRONX,2028650110,BRONX,1007682,247354,ONLINE,Unspecified,BRONX,40.84557361166592,-73.91530867195758,"{'latitude': '40.84557361166592', 'longitude': '-73.91530867195758', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
58913023,2023-09-24T21:17:15.000,,DPR,Department of Parks and Recreation,New Tree Request,For One Address,Street,11237,373 PALMETTO STREET,PALMETTO STREET,IRVING AVENUE,RIDGEWOOD PLACE,IRVING AVENUE,RIDGEWOOD PLACE,ADDRESS,BROOKLYN,PALMETTO STREET,In Progress,,,04 BROOKLYN,3033457503,BROOKLYN,1008668,193818,UNKNOWN,Unspecified,BROOKLYN,40.69862871978383,-73.91193945125835,"{'latitude': '40.69862871978383', 'longitude': '-73.91193945125835', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
58912384,2023-09-24T21:17:00.000,2023-09-25T12:27:00.000,DEP,Department of Environmental Protection,Lead,Lead Kit Request (Residential) (L10),,11375,69-09 108 STREET,108 STREET,69 AVE,69 RD,,,ADDRESS,FOREST HILLS,,Closed,The Department of Environmental Protection (DEP) mailed you the free lead test kit you requested. The kit includes instructions for collecting a water sample and contact information for DEP's Lead Program Unit if you have any questions. Please use the included pre-paid label to mail the sample to the lab for analysis. It may take the lab up to 30 days to complete their analysis and mail you the test results. This Service Request is closed and no further status will be available from 311.,2023-09-25T12:27:00.000,06 QUEENS,4022190001,QUEENS,1027112,203347,PHONE,Unspecified,QUEENS,40.72471340480324,-73.84536285025247,"{'latitude': '40.72471340480324', 'longitude': '-73.84536285025247', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",N/A,,,,,,
58912372,2023-09-24T21:16:45.000,2023-09-26T13:22:32.000,DCWP,Department of Consumer and Worker Protection,Consumer Complaint,Tobacco Sales,Business,11385,66-28 FOREST AVENUE,FOREST AVENUE,GRANDVIEW AVENUE,WOODBINE STREET,GRANDVIEW AVENUE,WOODBINE STREET,ADDRESS,RIDGEWOOD,FOREST AVENUE,Closed,The Department of Consumer and Worker Protection (DCWP) determined this issue isn't within its jurisdiction.  You should contact the Department of Health and Mental Hygiene (DOHMH). NYC311 can help you file a complaint or contact the agency for further assistance.,2023-09-26T13:22:34.000,05 QUEENS,4034890032,QUEENS,1011111,196833,ONLINE,Unspecified,QUEENS,40.70689710411462,-73.90311704974741,"{'latitude': '40.70689710411462', 'longitude': '-73.90311704974741', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
58915607,2023-09-24T21:16:36.000,,DHS,Department of Homeless Services,Homeless Person Assistance,,Residential Building/House,11216,388 CLIFTON PLACE,CLIFTON PLACE,NOSTRAND AVENUE,MARCY AVENUE,NOSTRAND AVENUE,MARCY AVENUE,ADDRESS,BROOKLYN,CLIFTON PLACE,Closed,The mobile outreach response team went to the location provided but could not find the individual that you reported.,2023-09-25T05:04:51.000,03 BROOKLYN,3017940139,BROOKLYN,998385,190444,MOBILE,Unspecified,BROOKLYN,40.68939027201313,-73.9490309093311,"{'latitude': '40.68939027201313', 'longitude': '-73.9490309093311', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
58910572,2023-09-24T21:16:28.000,2023-09-28T08:47:07.000,DOHMH,Department of Health and Mental Hygiene,Rodent,Rat Sighting,3+ Family Apt. Building,10033,615 WEST  176 STREET,WEST  176 STREET,ST NICHOLAS AVENUE,WADSWORTH AVENUE,ST NICHOLAS AVENUE,WADSWORTH AVENUE,ADDRESS,NEW YORK,WEST  176 STREET,Closed,This service request was closed because the Department of Health and Mental Hygiene received an earlier complaint about the same location.  You can find inspection results for this address by going to the online Rat Portal at www.nyc.gov/rats.,2023-09-24T21:16:28.000,12 MANHATTAN,1021440011,MANHATTAN,1001792,247625,MOBILE,Unspecified,MANHATTAN,40.84633109241019,-73.93659644535875,"{'latitude': '40.84633109241019', 'longitude': '-73.93659644535875', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
58911648,2023-09-24T21:15:48.000,2023-09-24T23:14:18.000,NYPD,New York City Police Department,Illegal Parking,Commercial Overnight Parking,Street/Sidewalk,11367,61-11 THOMPSON PLACE,THOMPSON PLACE,HORACE HARDING EXPRESSWAY,DEAD END,HORACE HARDING EXPRESSWAY,DEAD END,ADDRESS,FLUSHING,THOMPSON PLACE,Closed,The Police Department responded to the complaint and determined that police action was not necessary.,2023-09-24T23:14:21.000,07 QUEENS,4064510048,QUEENS,1030552,209970,ONLINE,Unspecified,QUEENS,40.74287454016333,-73.83290649823347,"{'latitude': '40.74287454016333', 'longitude': '-73.83290649823347', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
