unique_key,created_date,closed_date,agency,agency_name,complaint_type,descriptor,location_type,incident_zip,incident_address,street_name,cross_street_1,cross_street_2,intersection_street_1,intersection_street_2,address_type,city,landmark,status,resolution_action_updated_date,community_board,bbl,borough,x_coordinate_state_plane,y_coordinate_state_plane,open_data_channel_type,park_facility_name,park_borough,latitude,longitude,location,facility_type,resolution_description,bridge_highway_name,bridge_highway_direction,road_ramp,bridge_highway_segment,taxi_pick_up_location,due_date
58968090,2023-09-29T12:00:00.000,2023-09-30T12:00:00.000,DSNY,Department of Sanitation,Derelict Vehicles,Derelict Vehicles,Street,10452,1400 PLIMPTON AVENUE,PLIMPTON AVENUE,EDWARD L GRANT HIGHWAY,WEST 172 STREET,,,ADDRESS,BRONX,,Closed,2023-09-30T12:00:00.000,04 BRONX,,BRONX,1005666,246441,PHONE,Unspecified,BRONX,40.843072814948506,-73.92259810298742,"{'latitude': '40.843072814948506', 'longitude': '-73.92259810298742', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,The Department of Sanitation does NOT have jurisdiction over vehicles (abandoned or otherwise) that have license plates affixed to them. Your request will be referred to the NYPD for further action.,,,,,,
58968091,2023-09-29T12:00:00.000,2023-09-30T12:00:00.000,DSNY,Department of Sanitation,Derelict Vehicles,Derelict Vehicles,Street,10312,185 MOSELY AVENUE,MOSELY AVENUE,SEGUINE PLACE,MAY PLACE,,,ADDRESS,STATEN ISLAND,,Closed,2023-09-30T12:00:00.000,03 STATEN ISLAND,5062090074,STATEN ISLAND,936453,136268,PHONE,Unspecified,STATEN ISLAND,40.54057090596154,-74.17196646082394,"{'latitude': '40.54057090596154', 'longitude': '-74.17196646082394', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,The Department of Sanitation does NOT have jurisdiction over vehicles (abandoned or otherwise) that have license plates affixed to them. Your request will be referred to the NYPD for further action.,,,,,,
58961848,2023-09-29T12:00:00.000,2023-10-06T12:00:00.000,DSNY,Department of Sanitation,Derelict Vehicles,Derelict Vehicles,Street,10469,1265 GIVAN AVENUE,GIVAN AVENUE,PEARSALL AVENUE,BOUCK AVENUE,,,ADDRESS,BRONX,,Closed,2023-10-06T12:00:00.000,12 BRONX,2047330027,BRONX,1025550,257366,PHONE,Unspecified,BRONX,40.87298801090066,-73.85066596604547,"{'latitude': '40.87298801090066', 'longitude': '-73.85066596604547', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,The vehicle you reported has been removed by the Department of Sanitation.,,,,,,
58957277,2023-09-29T12:00:00.000,2023-10-02T12:00:00.000,DSNY,Department of Sanitation,Derelict Vehicles,Derelict Vehicles,Street,11235,2620 EAST   13 STREET,EAST   13 STREET,AVENUE Z,SHORE PARKWAY,,,ADDRESS,BROOKLYN,,Closed,2023-10-02T12:00:00.000,15 BROOKLYN,3074570001,BROOKLYN,996449,153175,PHONE,Unspecified,BROOKLYN,40.58709773108003,-73.95607926965626,"{'latitude': '40.58709773108003', 'longitude': '-73.95607926965626', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,The Department of Sanitation (DSNY) couldn't find the condition. Please file a new Service Request with more details about the location.,,,,,,
58968099,2023-09-29T12:00:00.000,2023-09-30T12:00:00.000,DSNY,Department of Sanitation,Derelict Vehicles,Derelict Vehicles,Street,10468,112 EAST  196 STREET,EAST  196 STREET,CRESTON AVENUE,GRAND CONCOURSE,,,ADDRESS,BRONX,,Closed,2023-09-30T12:00:00.000,07 BRONX,,BRONX,1013587,255632,PHONE,Unspecified,BRONX,40.868276583851426,-73.89392975535922,"{'latitude': '40.868276583851426', 'longitude': '-73.89392975535922', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,The Department of Sanitation (DSNY) couldn't find the condition. Please file a new Service Request with more details about the location.,,,,,,
58966500,2023-09-29T12:00:00.000,2023-10-02T12:00:00.000,DSNY,Department of Sanitation,Derelict Vehicles,Derelict Vehicles,Street,11211,403 HEWES STREET,HEWES STREET,SOUTH 3 STREET,STAGG STREET,,,ADDRESS,BROOKLYN,,Closed,2023-10-02T12:00:00.000,01 BROOKLYN,3024250029,BROOKLYN,997790,197490,PHONE,Unspecified,BROOKLYN,40.70873082504776,-73.95116224142369,"{'latitude': '40.70873082504776', 'longitude': '-73.95116224142369', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,The Department of Sanitation does NOT have jurisdiction over vehicles (abandoned or otherwise) that have license plates affixed to them. Your request will be referred to the NYPD for further action.,,,,,,
58964941,2023-09-29T12:00:00.000,2023-09-30T12:00:00.000,DSNY,Department of Sanitation,Derelict Vehicles,Derelict Vehicles,Street,10457,2068 HUGHES AVENUE,HUGHES AVENUE,EAST 179 STREET,EAST 180 STREET,,,ADDRESS,BRONX,,Closed,2023-09-30T12:00:00.000,06 BRONX,2030800114,BRONX,1014462,248370,PHONE,Unspecified,BRONX,40.848341635650954,-73.89079885872107,"{'latitude': '40.848341635650954', 'longitude': '-73.89079885872107', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,The Department of Sanitation does NOT have jurisdiction over vehicles (abandoned or otherwise) that have license plates affixed to them. Your request will be referred to the NYPD for further action.,,,,,,
58963326,2023-09-29T12:00:00.000,2023-10-03T12:00:00.000,DSNY,Department of Sanitation,Derelict Vehicles,Derelict Vehicles,Street,10467,228 EAST  207 STREET,EAST  207 STREET,BAINBRIDGE AVENUE,PERRY AVENUE,,,ADDRESS,BRONX,,Closed,2023-10-03T12:00:00.000,07 BRONX,2033420008,BRONX,1017855,258321,PHONE,Unspecified,BRONX,40.875641840865896,-73.8784849954436,"{'latitude': '40.875641840865896', 'longitude': '-73.8784849954436', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,The owner claimed the vehicle.Â Your request is now closed and no further action will be taken.,,,,,,
58949394,2023-09-29T12:00:00.000,2023-10-04T12:00:00.000,DSNY,Department of Sanitation,Derelict Vehicles,Derelict Vehicles,Street,11423,90-02 187 STREET,187 STREET,90 AVENUE,91 AVENUE,,,ADDRESS,HOLLIS,,Closed,2023-10-04T12:00:00.000,12 QUEENS,4099080064,QUEENS,1047030,198775,PHONE,Unspecified,QUEENS,40.71204547105707,-73.77354577492625,"{'latitude': '40.71204547105707', 'longitude': '-73.77354577492625', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,The Department of Sanitation (DSNY) couldn't find the condition. Please file a new Service Request with more details about the location.,,,,,,
58968097,2023-09-29T12:00:00.000,2023-09-30T12:00:00.000,DSNY,Department of Sanitation,Derelict Vehicles,Derelict Vehicles,Street,11357,9-03 CLINTONVILLE STREET,CLINTONVILLE STREET,9 AVENUE,10 AVENUE,,,ADDRESS,WHITESTONE,,Closed,2023-09-30T12:00:00.000,07 QUEENS,4045260089,QUEENS,1035979,228440,PHONE,Unspecified,QUEENS,40.793539698951086,-73.81317957803003,"{'latitude': '40.793539698951086', 'longitude': '-73.81317957803003', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,The Department of Sanitation (DSNY) couldn't find the condition. Please file a new Service Request with more details about the location.,,,,,,
58964940,2023-09-29T12:00:00.000,2023-10-02T12:00:00.000,DSNY,Department of Sanitation,Derelict Vehicles,Derelict Vehicles,Street,,,,,,DIVISION AVENUE,DIVISION AVENUE,INTERSECTION,,,Closed,2023-10-02T12:00:00.000,01 BROOKLYN,,BROOKLYN,,,PHONE,Unspecified,BROOKLYN,,,,,The vehicle you reported exceeds the monetary value eligible for collection as junk. The Department of Sanitation has forwarded the request to the NYPD for further action.,,,,,,
58963325,2023-09-29T12:00:00.000,2023-10-02T12:00:00.000,DSNY,Department of Sanitation,Derelict Vehicles,Derelict Vehicles,Street,10033,50 OVERLOOK TERRACE,OVERLOOK TERRACE,WEST 186 STREET,WEST 187 STREET,,,ADDRESS,NEW YORK,,Closed,2023-10-02T12:00:00.000,12 MANHATTAN,1021800182,MANHATTAN,1001884,250533,PHONE,Unspecified,MANHATTAN,40.854312506190105,-73.93625627349432,"{'latitude': '40.854312506190105', 'longitude': '-73.93625627349432', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,The vehicle you reported has been removed by the Department of Sanitation.,,,,,,
58968093,2023-09-29T12:00:00.000,2023-10-02T12:00:00.000,DSNY,Department of Sanitation,Derelict Vehicles,Derelict Vehicles,Street,10470,4208 VAN CORTLANDT PARK EAST,VAN CORTLANDT PARK EAST,EAST 233 STREET,EAST 235 STREET,,,ADDRESS,BRONX,,Closed,2023-10-02T12:00:00.000,12 BRONX,,BRONX,1018260,265674,PHONE,Unspecified,BRONX,40.89582194967422,-73.8769831863507,"{'latitude': '40.89582194967422', 'longitude': '-73.8769831863507', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,DSNY already has a request to investigate this reportedly abandoned vehicle and cannot open multiple service requests for the same vehicle at once. Your request is being closed while we action the prior report.,,,,,,
58964942,2023-09-29T12:00:00.000,2023-09-30T12:00:00.000,DSNY,Department of Sanitation,Derelict Vehicles,Derelict Vehicles,Street,10461,1025 ESPLANADE,ESPLANADE,PAULDING AVENUE,HONE AVENUE,,,ADDRESS,BRONX,,Closed,2023-09-30T12:00:00.000,11 BRONX,2043280023,BRONX,1023099,250853,PHONE,Unspecified,BRONX,40.85512294839281,-73.85956611953316,"{'latitude': '40.85512294839281', 'longitude': '-73.85956611953316', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",DSNY Garage,The Department of Sanitation (DSNY) couldn't find the condition. Please file a new Service Request with more details about the location.,,,,,,
58966507,2023-09-29T12:00:00.000,2023-10-03T12:00:00.000,DSNY,Department of Sanitation,Derelict Vehicles,Derelict Vehicles,Street,11216,1227 PACIFIC STREET,PACIFIC STREET,BEDFORD AVENUE,NOSTRAND AVENUE,,,ADDRESS,BROOKLYN,,Closed,2023-10-03T12:00:00.000,08 BROOKLYN,3012000016,BROOKLYN,997550,186222,PHONE,Unspecified,BROOKLYN,40.67780314057835,-73.95205015061913,"{'latitude': '40.67780314057835', 'longitude': '-73.95205015061913', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",DSNY Garage,The owner claimed the vehicle.Â Your request is now closed and no further action will be taken.,,,,,,
58957280,2023-09-29T12:00:00.000,2023-09-30T12:00:00.000,DSNY,Department of Sanitation,Derelict Vehicles,Derelict Vehicles,Street,10469,2700 PAULDING AVENUE,PAULDING AVENUE,ALLERTON AVENUE,ARNOW AVENUE,,,ADDRESS,BRONX,,Closed,2023-09-30T12:00:00.000,11 BRONX,,BRONX,1023346,254754,PHONE,Unspecified,BRONX,40.8658289152347,-73.85865049476345,"{'latitude': '40.8658289152347', 'longitude': '-73.85865049476345', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",DSNY Garage,The owner claimed the vehicle.Â Your request is now closed and no further action will be taken.,,,,,,
58964943,2023-09-29T12:00:00.000,2023-09-30T12:00:00.000,DSNY,Department of Sanitation,Derelict Vehicles,Derelict Vehicles,Street,11434,174-42 126 AVENUE,126 AVENUE,174 PLACE,176 STREET,,,ADDRESS,JAMAICA,,Closed,2023-09-30T12:00:00.000,12 QUEENS,4125220110,QUEENS,1048495,187658,PHONE,Unspecified,QUEENS,40.68152148184284,-73.76836742282377,"{'latitude': '40.68152148184284', 'longitude': '-73.76836742282377', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,The owner claimed the vehicle.Â Your request is now closed and no further action will be taken.,,,,,,
58964933,2023-09-29T12:00:00.000,2023-09-30T12:00:00.000,DSNY,Department of Sanitation,Derelict Vehicles,Derelict Vehicles,Street,11378,60-80 71 STREET,71 STREET,60 AVENUE,ELIOT AVENUE,,,ADDRESS,MASPETH,,Closed,2023-09-30T12:00:00.000,05 QUEENS,4028410044,QUEENS,1015408,202233,PHONE,Unspecified,QUEENS,40.72170471453966,-73.88759354166261,"{'latitude': '40.72170471453966', 'longitude': '-73.88759354166261', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,The vehicle you reported exceeds the monetary value eligible for collection as junk. The Department of Sanitation has forwarded the request to the NYPD for further action.,,,,,,
58961854,2023-09-29T12:00:00.000,2023-10-03T12:00:00.000,DSNY,Department of Sanitation,Derelict Vehicles,Derelict Vehicles,Street,11208,1099 STANLEY AVENUE,STANLEY AVENUE,EUCLID AVENUE,PINE STREET,,,ADDRESS,BROOKLYN,,Closed,2023-10-03T12:00:00.000,05 BROOKLYN,3045060031,BROOKLYN,1020557,181666,PHONE,Unspecified,BROOKLYN,40.665233489885026,-73.86912874593614,"{'latitude': '40.665233489885026', 'longitude': '-73.86912874593614', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",DSNY Garage,The Department of Sanitation (DSNY) tagged the vehicle to confirm it was abandoned. The owner then claimed the vehicle. DSNY closed your Service Request. No further action will be taken.,,,,,,
58964931,2023-09-29T12:00:00.000,2023-10-02T12:00:00.000,DSNY,Department of Sanitation,Derelict Vehicles,Derelict Vehicles,Street,10030,2680 FREDERICK DOUGLASS BOULEVARD,FREDERICK DOUGLASS BOULEVARD,WEST 142 STREET,WEST 143 STREET,,,ADDRESS,NEW YORK,,Closed,2023-10-02T12:00:00.000,10 MANHATTAN,1020280001,MANHATTAN,999992,238457,PHONE,Unspecified,MANHATTAN,40.82117097289946,-73.9431238531268,"{'latitude': '40.82117097289946', 'longitude': '-73.9431238531268', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,The vehicle you reported exceeds the monetary value eligible for collection as junk. The Department of Sanitation has forwarded the request to the NYPD for further action.,,,,,,
58966506,2023-09-29T12:00:00.000,2023-10-02T12:00:00.000,DSNY,Department of Sanitation,Derelict Vehicles,Derelict Vehicles,Street,11355,142-30 58 AVENUE,58 AVENUE,142 STREET,146 STREET,,,ADDRESS,FLUSHING,,Closed,2023-10-02T12:00:00.000,07 QUEENS,4064070044,QUEENS,1033378,210675,PHONE,Unspecified,QUEENS,40.744794337501546,-73.82270297759636,"{'latitude': '40.744794337501546', 'longitude': '-73.82270297759636', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,The vehicle you reported exceeds the monetary value eligible for collection as junk. The Department of Sanitation has forwarded the request to the NYPD for further action.,,,,,,
58968088,2023-09-29T12:00:00.000,2023-09-29T12:00:00.000,DSNY,Department of Sanitation,Derelict Vehicles,Derelict Vehicles,Street,11360,209-40 23 AVENUE,23 AVENUE,CORPORAL KENNEDY STREET,211 STREET,,,ADDRESS,BAYSIDE,,Closed,2023-09-29T12:00:00.000,07 QUEENS,4058937501,QUEENS,1044573,223159,PHONE,Unspecified,QUEENS,40.77899032369357,-73.78218970022974,"{'latitude': '40.77899032369357', 'longitude': '-73.78218970022974', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,"The Department of Sanitation (DSNY) will only remove abandoned motor vehicles (no boats) without license plates from private property.Â  If a motor vehicle is left abandoned on your property, you may ask the DSNY to remove it. Vehicles owned by the property owner are not eligible for this service. The property owner must complete a waiver and email it to customerservice@dsny.nyc.gov.Â  Access to the property is required and there will be a fee for removal.",,,,,,
58966503,2023-09-29T12:00:00.000,2023-10-06T12:00:00.000,DSNY,Department of Sanitation,Derelict Vehicles,Derelict Vehicles,Street,11207,271 VAN SICLEN AVENUE,VAN SICLEN AVENUE,GLENMORE AVENUE,PITKIN AVENUE,,,ADDRESS,BROOKLYN,,Closed,2023-10-06T12:00:00.000,05 BROOKLYN,3039940004,BROOKLYN,1014631,184628,PHONE,Unspecified,BROOKLYN,40.67338582995605,-73.89047607545501,"{'latitude': '40.67338582995605', 'longitude': '-73.89047607545501', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",DSNY Garage,The Department of Sanitation (DSNY) tagged the vehicle to confirm it was abandoned. The owner then claimed the vehicle. DSNY closed your Service Request. No further action will be taken.,,,,,,
58958805,2023-09-29T12:00:00.000,2023-10-02T12:00:00.000,DSNY,Department of Sanitation,Derelict Vehicles,Derelict Vehicles,Street,10461,3039 ROBERTS AVENUE,ROBERTS AVENUE,HOBART AVENUE,JARVIS AVENUE,,,ADDRESS,BRONX,,Closed,2023-10-02T12:00:00.000,10 BRONX,2041750032,BRONX,1031320,247467,PHONE,Unspecified,BRONX,40.84578939659277,-73.82987215655804,"{'latitude': '40.84578939659277', 'longitude': '-73.82987215655804', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,The vehicle you reported exceeds the monetary value eligible for collection as junk. The Department of Sanitation has forwarded the request to the NYPD for further action.,,,,,,
58964935,2023-09-29T12:00:00.000,2023-09-30T12:00:00.000,DSNY,Department of Sanitation,Derelict Vehicles,Derelict Vehicles,Street,11378,59-74 54 AVENUE,54 AVENUE,UNNAMED STREET,MAURICE AVENUE,,,ADDRESS,MASPETH,,Closed,2023-09-30T12:00:00.000,02 QUEENS,4026560086,QUEENS,1010137,204868,PHONE,Unspecified,QUEENS,40.72895414028187,-73.90659919455221,"{'latitude': '40.72895414028187', 'longitude': '-73.90659919455221', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,The Department of Sanitation does NOT have jurisdiction over vehicles (abandoned or otherwise) that have license plates affixed to them. Your request will be referred to the NYPD for further action.,,,,,,
58968096,2023-09-29T12:00:00.000,2023-10-02T12:00:00.000,DSNY,Department of Sanitation,Derelict Vehicles,Derelict Vehicles,Street,10468,2531 DAVIDSON AVENUE,DAVIDSON AVENUE,WEST 190 STREET,WEST 192 STREET,,,ADDRESS,BRONX,,Closed,2023-10-02T12:00:00.000,07 BRONX,2032040040,BRONX,1011729,254397,PHONE,Unspecified,BRONX,40.86489286589889,-73.90065255960958,"{'latitude': '40.86489286589889', 'longitude': '-73.90065255960958', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,The Department of Sanitation does NOT have jurisdiction over vehicles (abandoned or otherwise) that have license plates affixed to them. Your request will be referred to the NYPD for further action.,,,,,,
58964936,2023-09-29T12:00:00.000,2023-09-30T12:00:00.000,DSNY,Department of Sanitation,Derelict Vehicles,Derelict Vehicles,Street,11415,85-24 ABINGDON ROAD,ABINGDON ROAD,BREVOORT STREET,124 PLACE,,,ADDRESS,KEW GARDENS,,Closed,2023-09-30T12:00:00.000,09 QUEENS,4092410524,QUEENS,1031758,196599,PHONE,Unspecified,QUEENS,40.706168062812644,-73.82864871523454,"{'latitude': '40.706168062812644', 'longitude': '-73.82864871523454', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",DSNY Garage,The Department of Sanitation does NOT have jurisdiction over vehicles (abandoned or otherwise) that have license plates affixed to them. Your request will be referred to the NYPD for further action.,,,,,,
58964932,2023-09-29T12:00:00.000,2023-10-04T12:00:00.000,DSNY,Department of Sanitation,Derelict Vehicles,Derelict Vehicles,Street,11412,118-39 190 STREET,190 STREET,118 ROAD,119 AVENUE,,,ADDRESS,SAINT ALBANS,,Closed,2023-10-04T12:00:00.000,12 QUEENS,4126060081,QUEENS,1050755,190600,PHONE,Unspecified,QUEENS,40.689579877319076,-73.7601900914957,"{'latitude': '40.689579877319076', 'longitude': '-73.7601900914957', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,The Department of Sanitation (DSNY) couldn't find the condition. Please file a new Service Request with more details about the location.,,,,,,
58961850,2023-09-29T12:00:00.000,2023-10-04T12:00:00.000,DSNY,Department of Sanitation,Derelict Vehicles,Derelict Vehicles,Street,11433,168-29 105 AVENUE,105 AVENUE,MERRICK BOULEVARD,169 STREET,,,ADDRESS,JAMAICA,,Closed,2023-10-04T12:00:00.000,12 QUEENS,4102250101,QUEENS,1042750,194739,PHONE,Unspecified,QUEENS,40.70099696998909,-73.78901919827582,"{'latitude': '40.70099696998909', 'longitude': '-73.78901919827582', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,The owner claimed the vehicle.Â Your request is now closed and no further action will be taken.,,,,,,
58961853,2023-09-29T12:00:00.000,2023-09-30T12:00:00.000,DSNY,Department of Sanitation,Derelict Vehicles,Derelict Vehicles,Street,10467,2500 MATTHEWS AVENUE,MATTHEWS AVENUE,MACE AVENUE,BOSTON ROAD,,,ADDRESS,BRONX,,Closed,2023-09-30T12:00:00.000,11 BRONX,2044410008,BRONX,1022246,253891,PHONE,Unspecified,BRONX,40.863465047877106,-73.86263237244943,"{'latitude': '40.863465047877106', 'longitude': '-73.86263237244943', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",DSNY Garage,The Department of Sanitation does NOT have jurisdiction over vehicles (abandoned or otherwise) that have license plates affixed to them. Your request will be referred to the NYPD for further action.,,,,,,
