unique_key,created_date,closed_date,agency,agency_name,complaint_type,descriptor,location_type,incident_zip,incident_address,street_name,cross_street_1,cross_street_2,intersection_street_1,intersection_street_2,address_type,city,landmark,status,resolution_description,resolution_action_updated_date,community_board,bbl,borough,x_coordinate_state_plane,y_coordinate_state_plane,open_data_channel_type,park_facility_name,park_borough,latitude,longitude,location,facility_type,bridge_highway_name,bridge_highway_direction,bridge_highway_segment,taxi_pick_up_location
58916153,2023-09-24T02:57:48.000,2023-09-24T03:26:24.000,NYPD,New York City Police Department,Noise - Vehicle,Car/Truck Music,Street/Sidewalk,10453,1501 UNDERCLIFF AVENUE,UNDERCLIFF AVENUE,CROSS BRONX EP ET    1 D-1 C WB,WEST  174 STREET,CROSS BRONX EP ET    1 D-1 C WB,WEST  174 STREET,ADDRESS,BRONX,UNDERCLIFF AVENUE,Closed,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,2023-09-24T03:26:28.000,05 BRONX,2028800061,BRONX,1005240,247416,MOBILE,Unspecified,BRONX,40.845749925937085,-73.92413470328373,"{'latitude': '40.845749925937085', 'longitude': '-73.92413470328373', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,
58913300,2023-09-24T02:57:06.000,2023-09-24T16:21:37.000,NYPD,New York City Police Department,Illegal Parking,Blocked Hydrant,Street/Sidewalk,11414,153-39 80 STREET,80 STREET,153 AVENUE,155 AVENUE,153 AVENUE,155 AVENUE,ADDRESS,HOWARD BEACH,80 STREET,Closed,The Police Department responded and upon arrival those responsible for the condition were gone.,2023-09-24T16:21:42.000,10 QUEENS,4114420043,QUEENS,1024738,181765,ONLINE,Unspecified,QUEENS,40.66548709020105,-73.85405745558171,"{'latitude': '40.66548709020105', 'longitude': '-73.85405745558171', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,
58916496,2023-09-24T02:57:03.000,2023-09-24T03:11:15.000,NYPD,New York City Police Department,Illegal Parking,Blocked Crosswalk,Street/Sidewalk,11368,103-26 ALSTYNE AVENUE,ALSTYNE AVENUE,104 STREET,51 AVENUE,104 STREET,51 AVENUE,ADDRESS,CORONA,ALSTYNE AVENUE,Closed,The Police Department responded to the complaint and determined that police action was not necessary.,2023-09-24T03:11:23.000,04 QUEENS,4019340023,QUEENS,1023462,210111,MOBILE,Unspecified,QUEENS,40.743295828261495,-73.85849184271237,"{'latitude': '40.743295828261495', 'longitude': '-73.85849184271237', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,
58913349,2023-09-24T02:56:56.000,2023-09-24T04:50:54.000,NYPD,New York City Police Department,Illegal Parking,Double Parked Blocking Traffic,Street/Sidewalk,11421,76-02 ROCKAWAY BOULEVARD,ROCKAWAY BOULEVARD,76 STREET,77 STREET,76 STREET,77 STREET,ADDRESS,WOODHAVEN,ROCKAWAY BOULEVARD,Closed,The Police Department responded and upon arrival those responsible for the condition were gone.,2023-09-24T04:50:59.000,09 QUEENS,4089470001,QUEENS,1021937,189091,MOBILE,Unspecified,QUEENS,40.685607651103865,-73.86411292405556,"{'latitude': '40.685607651103865', 'longitude': '-73.86411292405556', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,
58916155,2023-09-24T02:56:15.000,2023-09-24T03:23:55.000,NYPD,New York City Police Department,Noise - Vehicle,Car/Truck Music,Street/Sidewalk,10453,1514 SEDGWICK AVENUE,SEDGWICK AVENUE,CROSS BRONX EXPWY WB ET    1 C,WEST  176 STREET,CROSS BRONX EXPWY WB ET    1 C,WEST  176 STREET,ADDRESS,BRONX,SEDGWICK AVENUE,Closed,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,2023-09-24T03:24:03.000,05 BRONX,2028800009,BRONX,1005011,247773,MOBILE,Unspecified,BRONX,40.846730326976626,-73.92496128467603,"{'latitude': '40.846730326976626', 'longitude': '-73.92496128467603', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,
58916152,2023-09-24T02:55:48.000,2023-09-24T03:08:38.000,NYPD,New York City Police Department,Noise - Vehicle,Car/Truck Music,Street/Sidewalk,10128,419 EAST   93 STREET,EAST   93 STREET,1 AVENUE,FRANKLIN D ROOSEVELT DRIVE,1 AVENUE,FRANKLIN D ROOSEVELT DRIVE,ADDRESS,NEW YORK,EAST   93 STREET,Closed,The Police Department responded to the complaint and took action to fix the condition.,2023-09-24T03:08:43.000,08 MANHATTAN,1015730001,MANHATTAN,999518,223748,ONLINE,Unspecified,MANHATTAN,40.780799631416215,-73.94486987032776,"{'latitude': '40.780799631416215', 'longitude': '-73.94486987032776', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,
58915940,2023-09-24T02:55:00.000,2023-09-26T13:01:00.000,DOT,Department of Transportation,Street Light Condition,Fixture/Luminaire Out Of Position,,11385,561 ONDERDONK AVENUE,ONDERDONK AVENUE,BLEECKER ST,MENAHAN ST,ONDERDONK AVENUE,BLEECKER STREET,INTERSECTION,QUEENS,,Closed,Service Request status for this request is available on the Department of Transportationâs website. Please click the âLearn Moreâ link below.,2023-09-26T13:01:00.000,05 QUEENS,4034060006,QUEENS,1009073,196470,UNKNOWN,Unspecified,QUEENS,40.705906707380066,-73.91046909376254,"{'latitude': '40.705906707380066', 'longitude': '-73.91046909376254', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,
58910357,2023-09-24T02:54:11.000,2023-09-24T04:18:53.000,NYPD,New York City Police Department,Noise - Street/Sidewalk,Loud Music/Party,Street/Sidewalk,10452,1435 DR MARTIN LUTHER KING JR BLVD,DR MARTIN LUTHER KING JR BLVD,MERRIAM AVENUE,BOSCOBEL PLACE,MERRIAM AVENUE,BOSCOBEL PLACE,ADDRESS,BRONX,UNIVERSITY AVENUE,Closed,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,2023-09-24T04:18:59.000,04 BRONX,2025370038,BRONX,1005174,246677,MOBILE,Unspecified,BRONX,40.843721745138744,-73.92437555648263,"{'latitude': '40.843721745138744', 'longitude': '-73.92437555648263', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,
58916097,2023-09-24T02:53:36.000,2023-09-24T03:33:31.000,NYPD,New York City Police Department,Noise - Residential,Loud Talking,Residential Building/House,10019,200 CENTRAL PARK SOUTH,CENTRAL PARK SOUTH,CENTRAL PARK EXIT    7 AVENUE,COLUMBUS CIRCLE,CENTRAL PARK EXIT    7 AVENUE,COLUMBUS CIRCLE,ADDRESS,NEW YORK,CENTRAL PARK SOUTH,Closed,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,2023-09-24T03:33:38.000,05 MANHATTAN,1010300029,MANHATTAN,989944,218723,ONLINE,Unspecified,MANHATTAN,40.76701867632725,-73.97944419795122,"{'latitude': '40.76701867632725', 'longitude': '-73.97944419795122', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,
58910381,2023-09-24T02:53:10.000,2023-09-24T04:19:12.000,NYPD,New York City Police Department,Noise - Vehicle,Car/Truck Music,Street/Sidewalk,10452,1387 UNIVERSITY AVENUE,UNIVERSITY AVENUE,HIGHBRIDGE PARK PATH,WEST  171 STREET,HIGHBRIDGE PARK PATH,WEST  171 STREET,ADDRESS,BRONX,UNIVERSITY AVENUE,Closed,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,2023-09-24T04:19:19.000,04 BRONX,2025330029,BRONX,1004835,246321,MOBILE,Unspecified,BRONX,40.842745426453526,-73.92560187743368,"{'latitude': '40.842745426453526', 'longitude': '-73.92560187743368', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,
58911084,2023-09-24T02:52:44.000,2023-09-24T05:01:08.000,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,Residential Building/House,10469,2917 GUNTHER AVENUE,GUNTHER AVENUE,ARNOW AVENUE,ADEE AVENUE,ARNOW AVENUE,ADEE AVENUE,ADDRESS,BRONX,GUNTHER AVENUE,Closed,The Police Department responded to the complaint and took action to fix the condition.,2023-09-24T05:01:14.000,12 BRONX,2047880025,BRONX,1028929,256019,ONLINE,Unspecified,BRONX,40.86927445711626,-73.8384570642796,"{'latitude': '40.86927445711626', 'longitude': '-73.8384570642796', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,
58913613,2023-09-24T02:52:17.000,2023-09-24T03:50:01.000,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,Residential Building/House,11365,158-40 JEWEL AVENUE,JEWEL AVENUE,PARSONS BOULEVARD,161 STREET,PARSONS BOULEVARD,161 STREET,ADDRESS,FRESH MEADOWS,JEWEL AVENUE,Closed,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,2023-09-24T03:50:03.000,08 QUEENS,4067890015,QUEENS,1037041,206099,ONLINE,Unspecified,QUEENS,40.73221327339134,-73.8095196031239,"{'latitude': '40.73221327339134', 'longitude': '-73.8095196031239', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,
58914475,2023-09-24T02:52:17.000,2023-09-24T02:55:35.000,NYPD,New York City Police Department,Noise - Vehicle,Car/Truck Music,Street/Sidewalk,10029,3 AVENUE,3 AVENUE,3 AVENUE,EAST  102 STREET,3 AVENUE,EAST  102 STREET,INTERSECTION,,,Closed,This complaint does not fall under the Police Department's jurisdiction.,2023-09-24T02:55:38.000,11 MANHATTAN,,MANHATTAN,999049,226734,ONLINE,Unspecified,MANHATTAN,40.78899620161923,-73.94655677039485,"{'latitude': '40.78899620161923', 'longitude': '-73.94655677039485', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,
58912709,2023-09-24T02:51:44.000,2023-09-24T04:42:23.000,NYPD,New York City Police Department,Noise - Residential,Banging/Pounding,Residential Building/House,11207,17 PENNSYLVANIA AVENUE,PENNSYLVANIA AVENUE,JACKIE ROBINSON PARKWAY,FULTON STREET,JACKIE ROBINSON PARKWAY,FULTON STREET,ADDRESS,BROOKLYN,PENNSYLVANIA AVENUE,Closed,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,2023-09-24T04:42:29.000,05 BROOKLYN,3036600007,BROOKLYN,1012724,186200,PHONE,Unspecified,BROOKLYN,40.67770695189979,-73.89734418899498,"{'latitude': '40.67770695189979', 'longitude': '-73.89734418899498', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,
58911457,2023-09-24T02:51:28.000,2023-09-27T08:00:25.000,DHS,Department of Homeless Services,Homeless Person Assistance,,Subway,,,,,,,,ADDRESS,,,Closed,The mobile outreach response team went to the location provided but could not find the individual that you reported.,2023-09-26T13:00:37.000,Unspecified MANHATTAN,,MANHATTAN,986727,212657,MOBILE,Unspecified,MANHATTAN,40.75037054471354,-73.9910600637942,"{'latitude': '40.75037054471354', 'longitude': '-73.9910600637942', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,1,1 Local Uptown & The Bronx,Platform,
58910834,2023-09-24T02:51:21.000,2023-09-24T03:32:13.000,NYPD,New York City Police Department,Illegal Parking,Blocked Hydrant,Street/Sidewalk,11385,551 WOODWARD AVENUE,WOODWARD AVENUE,BLEECKER STREET,MENAHAN STREET,BLEECKER STREET,MENAHAN STREET,ADDRESS,RIDGEWOOD,WOODWARD AVENUE,Closed,The Police Department issued a summons in response to the complaint.,2023-09-24T03:32:18.000,05 QUEENS,4033900011,QUEENS,1009424,196860,MOBILE,Unspecified,QUEENS,40.706976173141044,-73.90920165957775,"{'latitude': '40.706976173141044', 'longitude': '-73.90920165957775', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,
58911840,2023-09-24T02:51:01.000,2023-09-24T04:30:36.000,NYPD,New York City Police Department,Noise - Residential,Banging/Pounding,Residential Building/House,10468,2754 CLAFLIN AVENUE,CLAFLIN AVENUE,WEST  195 STREET,WEST  197 STREET,WEST  195 STREET,WEST  197 STREET,ADDRESS,BRONX,CLAFLIN AVENUE,Closed,The Police Department responded to the complaint and took action to fix the condition.,2023-09-24T04:30:44.000,08 BRONX,2032490065,BRONX,1011773,256475,ONLINE,Unspecified,BRONX,40.87059620244032,-73.9004849474432,"{'latitude': '40.87059620244032', 'longitude': '-73.9004849474432', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,
58914424,2023-09-24T02:50:56.000,2023-09-24T02:58:19.000,NYPD,New York City Police Department,Noise - Residential,Loud Talking,Residential Building/House,11205,470 DEKALB AVENUE,DEKALB AVENUE,KENT AVENUE,FRANKLIN AVENUE,KENT AVENUE,FRANKLIN AVENUE,ADDRESS,BROOKLYN,DEKALB AVENUE,Closed,The Police Department responded to the complaint and determined that police action was not necessary.,2023-09-24T02:58:28.000,03 BROOKLYN,3019380001,BROOKLYN,995861,190879,ONLINE,Unspecified,BROOKLYN,40.690587917840816,-73.95813139506514,"{'latitude': '40.690587917840816', 'longitude': '-73.95813139506514', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,
58915199,2023-09-24T02:50:53.000,2023-09-24T12:11:37.000,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,Residential Building/House,11420,115-27 134 STREET,134 STREET,115 AVENUE,116 AVENUE,115 AVENUE,116 AVENUE,ADDRESS,SOUTH OZONE PARK,134 STREET,Closed,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,2023-09-24T12:11:41.000,10 QUEENS,4116770044,QUEENS,1037817,187062,MOBILE,Unspecified,QUEENS,40.67995666119088,-73.80687109182593,"{'latitude': '40.67995666119088', 'longitude': '-73.80687109182593', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,
58914936,2023-09-24T02:50:47.000,2023-09-24T07:28:29.000,NYPD,New York City Police Department,Illegal Parking,Blocked Hydrant,Street/Sidewalk,10473,2060 LACOMBE AVENUE,LACOMBE AVENUE,SCREVIN AVENUE,OLMSTEAD AVENUE,SCREVIN AVENUE,OLMSTEAD AVENUE,ADDRESS,BRONX,LACOMBE AVENUE,Closed,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,2023-09-24T07:28:32.000,09 BRONX,2035070030,BRONX,1025361,236739,MOBILE,Unspecified,BRONX,40.81637391286769,-73.85147581719096,"{'latitude': '40.81637391286769', 'longitude': '-73.85147581719096', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,
58914990,2023-09-24T02:50:34.000,2023-09-24T03:26:00.000,NYPD,New York City Police Department,Illegal Parking,Posted Parking Sign Violation,Street/Sidewalk,11385,566 ONDERDONK AVENUE,ONDERDONK AVENUE,BLEECKER STREET,MENAHAN STREET,BLEECKER STREET,MENAHAN STREET,ADDRESS,RIDGEWOOD,ONDERDONK AVENUE,Closed,The Police Department issued a summons in response to the complaint.,2023-09-24T03:26:03.000,05 QUEENS,4034350039,QUEENS,1009198,196369,MOBILE,Unspecified,QUEENS,40.70562913478158,-73.91001862175295,"{'latitude': '40.70562913478158', 'longitude': '-73.91001862175295', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,
58913124,2023-09-24T02:50:21.000,2023-09-27T08:00:51.000,DHS,Department of Homeless Services,Homeless Person Assistance,,Subway,,,,,,,,ADDRESS,,,Closed,The mobile outreach response team went to the location provided but could not find the individual that you reported.,2023-09-26T13:00:28.000,Unspecified MANHATTAN,,MANHATTAN,986727,212657,MOBILE,Unspecified,MANHATTAN,40.75037054471354,-73.9910600637942,"{'latitude': '40.75037054471354', 'longitude': '-73.9910600637942', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,1,1 Local Uptown & The Bronx,Platform,
58911035,2023-09-24T02:50:13.000,2023-09-24T03:49:29.000,NYPD,New York City Police Department,Noise - Commercial,Loud Music/Party,Store/Commercial,11237,1545 MYRTLE AVENUE,MYRTLE AVENUE,LINDEN STREET,GATES AVENUE,LINDEN STREET,GATES AVENUE,ADDRESS,BROOKLYN,MYRTLE AVENUE,Closed,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,2023-09-24T03:49:33.000,04 BROOKLYN,3033370006,BROOKLYN,1008259,194072,MOBILE,Unspecified,BROOKLYN,40.699327009277525,-73.91341355362138,"{'latitude': '40.699327009277525', 'longitude': '-73.91341355362138', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,
58910200,2023-09-24T02:50:00.000,2023-09-24T02:57:32.000,NYPD,New York City Police Department,Noise - Commercial,Loud Music/Party,Club/Bar/Restaurant,11211,353 BEDFORD AVENUE,BEDFORD AVENUE,SOUTH    4 STREET,SOUTH    5 STREET,SOUTH    4 STREET,SOUTH    5 STREET,ADDRESS,BROOKLYN,BEDFORD AVENUE,Closed,The Police Department responded to the complaint and took action to fix the condition.,2023-09-24T02:57:38.000,01 BROOKLYN,3024440004,BROOKLYN,994502,198593,ONLINE,Unspecified,BROOKLYN,40.71176271864057,-73.96302012822102,"{'latitude': '40.71176271864057', 'longitude': '-73.96302012822102', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,
