unique_key,created_date,closed_date,agency,agency_name,complaint_type,descriptor,location_type,incident_zip,incident_address,street_name,cross_street_1,cross_street_2,intersection_street_1,intersection_street_2,address_type,status,resolution_description,resolution_action_updated_date,community_board,borough,x_coordinate_state_plane,y_coordinate_state_plane,open_data_channel_type,park_facility_name,park_borough,latitude,longitude,location,city,landmark,bbl,taxi_pick_up_location,bridge_highway_name,bridge_highway_direction,road_ramp,bridge_highway_segment,facility_type,due_date
58819877,2023-09-15T22:01:05.000,2023-09-15T22:26:15.000,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,Residential Building/House,10453,1740 GRAND AVENUE,GRAND AVENUE,WEST  176 STREET,WEST TREMONT AVENUE,WEST  176 STREET,WEST TREMONT AVENUE,ADDRESS,Closed,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,2023-09-15T22:26:18.000,05 BRONX,BRONX,1008178,248685,PHONE,Unspecified,BRONX,40.84922548258086,-73.91351120825729,"{'latitude': '40.84922548258086', 'longitude': '-73.91351120825729', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",BRONX,GRAND AVENUE,2028670108,,,,,,,
58823938,2023-09-15T22:00:59.000,2023-09-15T23:25:19.000,NYPD,New York City Police Department,Illegal Parking,Blocked Hydrant,Street/Sidewalk,11220,443 63 STREET,63 STREET,4 AVENUE,5 AVENUE,4 AVENUE,5 AVENUE,ADDRESS,Closed,The Police Department issued a summons in response to the complaint.,2023-09-15T23:25:22.000,07 BROOKLYN,BROOKLYN,978941,171902,MOBILE,Unspecified,BROOKLYN,40.63850628727777,-74.01912900951835,"{'latitude': '40.63850628727777', 'longitude': '-74.01912900951835', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",BROOKLYN,63 STREET,,,,,,,,
58823171,2023-09-15T22:00:56.000,2023-09-15T22:30:52.000,NYPD,New York City Police Department,Drinking,In Public,Park/Playground,11205,WASHINGTON HALL PARK,WASHINGTON HALL PARK,WASHINGTON AVENUE,HALL STREET,WASHINGTON AVENUE,HALL STREET,UNRECOGNIZED,Closed,The Police Department responded to the complaint and took action to fix the condition.,2023-09-15T22:30:56.000,02 BROOKLYN,BROOKLYN,993461,192610,ONLINE,Unspecified,BROOKLYN,40.695341935440865,-73.96678329057282,"{'latitude': '40.695341935440865', 'longitude': '-73.96678329057282', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",BROOKLYN,WASHINGTON HALL PARK,3018900026,,,,,,,
58825092,2023-09-15T22:00:56.000,2023-09-15T22:17:48.000,NYPD,New York City Police Department,Noise - Street/Sidewalk,Loud Music/Party,Street/Sidewalk,11231,752 HENRY STREET,HENRY STREET,MILL STREET,CENTRE MALL,MILL STREET,CENTRE MALL,ADDRESS,Closed,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,2023-09-15T22:17:52.000,06 BROOKLYN,BROOKLYN,983239,185317,ONLINE,Unspecified,BROOKLYN,40.67532905343268,-74.00364477420754,"{'latitude': '40.67532905343268', 'longitude': '-74.00364477420754', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",BROOKLYN,HENRY STREET,3005380001,,,,,,,
58823101,2023-09-15T22:00:38.000,2023-09-15T22:37:13.000,NYPD,New York City Police Department,Illegal Parking,Posted Parking Sign Violation,Street/Sidewalk,11223,1777 OCEAN PARKWAY,OCEAN PARKWAY,KINGS HIGHWAY,AVENUE R,KINGS HIGHWAY,AVENUE R,ADDRESS,Closed,The Police Department responded to the complaint and took action to fix the condition.,2023-09-15T22:37:18.000,15 BROOKLYN,BROOKLYN,993444,159826,PHONE,Unspecified,BROOKLYN,40.60535700995135,-73.9668892838691,"{'latitude': '40.60535700995135', 'longitude': '-73.9668892838691', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",BROOKLYN,OCEAN PARKWAY,3066630063,,,,,,,
58820811,2023-09-15T22:00:16.000,2023-09-15T22:07:28.000,NYPD,New York City Police Department,Noise - Street/Sidewalk,Loud Music/Party,Street/Sidewalk,10454,205 ALEXANDER AVENUE,ALEXANDER AVENUE,EAST  135 STREET,EAST  137 STREET,EAST  135 STREET,EAST  137 STREET,ADDRESS,Closed,The Police Department responded to the complaint and took action to fix the condition.,2023-09-15T22:07:30.000,01 BRONX,BRONX,1004737,233993,ONLINE,Unspecified,BRONX,40.808908815253446,-73.92599371078327,"{'latitude': '40.808908815253446', 'longitude': '-73.92599371078327', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",BRONX,ALEXANDER AVENUE,2023110001,,,,,,,
58824029,2023-09-15T22:00:08.000,2023-09-15T23:07:01.000,NYPD,New York City Police Department,Blocked Driveway,No Access,Street/Sidewalk,11368,99-09 CHRISTIE AVENUE,CHRISTIE AVENUE,99 STREET,101 STREET,99 STREET,101 STREET,ADDRESS,Closed,The Police Department issued a summons in response to the complaint.,2023-09-15T23:07:07.000,04 QUEENS,QUEENS,1022606,209550,PHONE,Unspecified,QUEENS,40.74175977915752,-73.8615841669936,"{'latitude': '40.74175977915752', 'longitude': '-73.8615841669936', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",CORONA,CHRISTIE AVENUE,4018920090,,,,,,,
58821510,2023-09-15T21:59:56.000,2023-09-15T22:07:43.000,NYPD,New York City Police Department,Noise - Commercial,Banging/Pounding,Store/Commercial,10454,832 EAST  132 STREET,EAST  132 STREET,WALNUT AVENUE,LOCUST AVENUE,WALNUT AVENUE,LOCUST AVENUE,ADDRESS,Closed,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,2023-09-15T22:07:46.000,01 BRONX,BRONX,1008713,230389,MOBILE,Unspecified,BRONX,40.79900671611397,-73.91164413329294,"{'latitude': '40.79900671611397', 'longitude': '-73.91164413329294', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",BRONX,EAST  132 STREET,2025830030,,,,,,,
58824226,2023-09-15T21:59:52.000,2023-09-15T22:31:35.000,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,Residential Building/House,11412,118-15 FARMERS BOULEVARD,FARMERS BOULEVARD,118 AVENUE,118 ROAD,118 AVENUE,118 ROAD,ADDRESS,Closed,The Police Department responded to the complaint and took action to fix the condition.,2023-09-15T22:31:41.000,12 QUEENS,QUEENS,1050215,190677,MOBILE,Unspecified,QUEENS,40.68979526501246,-73.76213651011513,"{'latitude': '40.68979526501246', 'longitude': '-73.76213651011513', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",SAINT ALBANS,FARMERS BOULEVARD,4126030071,,,,,,,
58821981,2023-09-15T21:59:51.000,2023-10-20T12:44:22.000,DOHMH,Department of Health and Mental Hygiene,Indoor Sewage,Sewage Leak,1-2 Family Dwelling,11421,91-43 87 STREET,87 STREET,91 AVENUE,ATLANTIC AVENUE,91 AVENUE,ATLANTIC AVENUE,ADDRESS,Closed,The Department of Health and Mental Hygiene could not access the site to complete an investigation. Call 311 and file another service request to provide additional access information.,2023-10-20T12:44:26.000,09 QUEENS,QUEENS,1024377,189757,PHONE,Unspecified,QUEENS,40.68742494054375,-73.8553111259477,"{'latitude': '40.68742494054375', 'longitude': '-73.8553111259477', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",WOODHAVEN,87 STREET,4089810043,,,,,,,
58822053,2023-09-15T21:59:46.000,,DHS,Department of Homeless Services,Homeless Person Assistance,,Residential Building/House,10022,131 EAST   60 STREET,EAST   60 STREET,PARK AVENUE,LEXINGTON AVENUE,PARK AVENUE,LEXINGTON AVENUE,ADDRESS,Closed,The mobile outreach response team went to the location provided but could not find the individual that you reported.,2023-09-16T02:12:56.000,08 MANHATTAN,MANHATTAN,993100,217261,ONLINE,Unspecified,MANHATTAN,40.76300326818226,-73.96805270758198,"{'latitude': '40.76300326818226', 'longitude': '-73.96805270758198', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",NEW YORK,EAST   60 STREET,1013950017,,,,,,,
58820365,2023-09-15T21:59:41.000,,TLC,Taxi and Limousine Commission,Taxi Complaint,Driver Complaint - Passenger,Highway,11430,JOHN F KENNEDY AIRPORT,JOHN F KENNEDY AIRPORT,BEND,AIRTRAIN-HOWARD BCH/JAMAICA LINE,BEND,AIRTRAIN-HOWARD BCH/JAMAICA LINE,UNRECOGNIZED,In Progress,"The Taxi and Limousine Commission (TLC) has received your complaint. Within 30 days, the TLC representative who will be handling your case will contact you.",2023-11-27T10:24:44.000,83 QUEENS,QUEENS,1043001,175548,ONLINE,Unspecified,QUEENS,40.64832048620134,-73.78828125130184,"{'latitude': '40.64832048620134', 'longitude': '-73.78828125130184', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",JAMAICA,JOHN F KENNEDY AIRPORT,4142600001,"JOHN F KENNEDY AIRPORT, QUEENS (JAMAICA) ,NY, 11430",Van Wyck Expwy,North/Bronx Bound,Ramp,College Pt Blvd Long Is Expwy Eastern Long Is (I-495) (Exit 12A),,
58823346,2023-09-15T21:59:40.000,2023-09-15T22:12:50.000,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,Residential Building/House,11691,1047 BEACH   21 STREET,BEACH   21 STREET,CORNAGA AVENUE,CENTRAL AVENUE,CORNAGA AVENUE,CENTRAL AVENUE,ADDRESS,Closed,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,2023-09-15T22:12:56.000,14 QUEENS,QUEENS,1052597,159192,ONLINE,Unspecified,QUEENS,40.60335801790573,-73.75386629508971,"{'latitude': '40.60335801790573', 'longitude': '-73.75386629508971', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",FAR ROCKAWAY,BEACH   21 STREET,4157050069,,,,,,,
58821656,2023-09-15T21:59:31.000,2023-09-15T22:13:18.000,NYPD,New York City Police Department,Noise - Street/Sidewalk,Loud Music/Party,Street/Sidewalk,11372,34-02 78 STREET,78 STREET,34 AVENUE,35 AVENUE,34 AVENUE,35 AVENUE,ADDRESS,Closed,The Police Department responded to the complaint and took action to fix the condition.,2023-09-15T22:13:21.000,03 QUEENS,QUEENS,1015078,213687,ONLINE,Unspecified,QUEENS,40.753144240834764,-73.88873156943392,"{'latitude': '40.753144240834764', 'longitude': '-73.88873156943392', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",JACKSON HEIGHTS,78 STREET,4012640001,,,,,,,
58826140,2023-09-15T21:58:56.000,2023-09-15T22:42:39.000,NYPD,New York City Police Department,Drug Activity,Use Outside,Street/Sidewalk,11426,242-11 88 ROAD,88 ROAD,242 STREET,CROSS ISLAND PARKWAY,242 STREET,CROSS ISLAND PARKWAY,ADDRESS,Closed,The Police Department responded to the complaint and took action to fix the condition.,2023-09-15T22:42:41.000,13 QUEENS,QUEENS,1060480,205056,PHONE,Unspecified,QUEENS,40.729179556681785,-73.72495932964493,"{'latitude': '40.729179556681785', 'longitude': '-73.72495932964493', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",BELLEROSE,88 ROAD,4079810019,,,,,,,
58822136,2023-09-15T21:58:56.000,2023-09-15T22:34:19.000,NYPD,New York City Police Department,Illegal Parking,License Plate Obscured,Street/Sidewalk,11412,111 AVENUE,111 AVENUE,111 AVENUE,194 STREET,111 AVENUE,194 STREET,INTERSECTION,Closed,The Police Department issued a summons in response to the complaint.,2023-09-15T22:34:23.000,12 QUEENS,QUEENS,1050152,195326,ONLINE,Unspecified,QUEENS,40.70255611224285,-73.76231819492881,"{'latitude': '40.70255611224285', 'longitude': '-73.76231819492881', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,,,
58823371,2023-09-15T21:58:47.000,2023-09-15T22:24:36.000,NYPD,New York City Police Department,Noise - Street/Sidewalk,Loud Music/Party,Street/Sidewalk,10457,1831 WEBSTER AVENUE,WEBSTER AVENUE,EAST  175 STREET,EAST  176 STREET,EAST  175 STREET,EAST  176 STREET,ADDRESS,Closed,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,2023-09-15T22:24:41.000,05 BRONX,BRONX,1011431,247612,ONLINE,Unspecified,BRONX,40.846271000977616,-73.90175745794757,"{'latitude': '40.846271000977616', 'longitude': '-73.90175745794757', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",BRONX,WEBSTER AVENUE,2028920077,,,,,,,
58821717,2023-09-15T21:58:39.000,2023-09-15T22:30:32.000,NYPD,New York City Police Department,Noise - Vehicle,Car/Truck Music,Street/Sidewalk,10452,1080 ANDERSON AVENUE,ANDERSON AVENUE,WEST  165 STREET,WEST  166 STREET,WEST  165 STREET,WEST  166 STREET,ADDRESS,Closed,The Police Department responded to the complaint and took action to fix the condition.,2023-09-15T22:30:36.000,04 BRONX,BRONX,1004806,243197,ONLINE,Unspecified,BRONX,40.83417102437764,-73.92571626362835,"{'latitude': '40.83417102437764', 'longitude': '-73.92571626362835', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",BRONX,ANDERSON AVENUE,2025050006,,,,,,,
58823349,2023-09-15T21:58:36.000,2023-09-15T22:07:41.000,NYPD,New York City Police Department,Noise - Residential,Loud Talking,Residential Building/House,11221,1118 BUSHWICK AVENUE,BUSHWICK AVENUE,WOODBINE STREET,MADISON STREET,WOODBINE STREET,MADISON STREET,ADDRESS,Closed,The Police Department responded to the complaint and took action to fix the condition.,2023-09-15T22:07:46.000,04 BROOKLYN,BROOKLYN,1006820,190585,ONLINE,Unspecified,BROOKLYN,40.689759793721834,-73.91861486719412,"{'latitude': '40.689759793721834', 'longitude': '-73.91861486719412', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",BROOKLYN,BUSHWICK AVENUE,3033570040,,,,,,,
58821115,2023-09-15T21:57:38.000,2023-09-22T13:36:51.000,TLC,Taxi and Limousine Commission,Lost Property,Other,Taxi,10023,1900 BROADWAY,BROADWAY,WEST   63 STREET,WEST   64 STREET,WEST   63 STREET,WEST   64 STREET,ADDRESS,Closed,See notes for information.,2023-09-22T13:36:52.000,07 MANHATTAN,MANHATTAN,989194,220360,ONLINE,Unspecified,MANHATTAN,40.771512266762976,-73.98215055452675,"{'latitude': '40.771512266762976', 'longitude': '-73.98215055452675', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",NEW YORK,BROADWAY,1011167501,"1900 BROADWAY, MANHATTAN (NEW YORK), NY, 10023",,,,,,
58820194,2023-09-15T21:57:33.000,2023-10-12T06:57:45.000,HPD,Department of Housing Preservation and Development,UNSANITARY CONDITION,SEWAGE,RESIDENTIAL BUILDING,11421,91-43 87 STREET,87 STREET,,,,,ADDRESS,Closed,"The Department of Housing Preservation and Development was not able to gain access to inspect the following conditions. The complaint has been closed. If the condition still exists, please file a new complaint.",2023-10-12T00:00:00.000,09 QUEENS,QUEENS,1024377,189757,PHONE,Unspecified,QUEENS,40.68742494054375,-73.8553111259477,"{'latitude': '40.68742494054375', 'longitude': '-73.8553111259477', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",WOODHAVEN,,4089810043,,,,,,,
58825209,2023-09-15T21:57:31.000,2023-09-17T16:44:42.000,HPD,Department of Housing Preservation and Development,HEAT/HOT WATER,ENTIRE BUILDING,RESIDENTIAL BUILDING,10457,701 CROTONA PARK NORTH,CROTONA PARK NORTH,,,,,ADDRESS,Closed,The Department of Housing Preservation and Development inspected the following conditions. No violations were issued. The complaint has been closed.,2023-09-17T00:00:00.000,06 BRONX,BRONX,1013592,246100,ONLINE,Unspecified,BRONX,40.842114090661205,-73.89395339976453,"{'latitude': '40.842114090661205', 'longitude': '-73.89395339976453', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",BRONX,,2029480028,,,,,,,
58822560,2023-09-15T21:57:30.000,2023-09-15T22:19:14.000,NYPD,New York City Police Department,Noise - Street/Sidewalk,Loud Music/Party,Street/Sidewalk,11419,104-64 128 STREET,128 STREET,LIBERTY AVENUE,107 AVENUE,LIBERTY AVENUE,107 AVENUE,ADDRESS,Closed,The Police Department responded to the complaint and took action to fix the condition.,2023-09-15T22:19:22.000,10 QUEENS,QUEENS,1035040,190188,MOBILE,Unspecified,QUEENS,40.68855316839335,-73.81685961403421,"{'latitude': '40.68855316839335', 'longitude': '-73.81685961403421', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",SOUTH RICHMOND HILL,128 STREET,4095810038,,,,,,,
58830477,2023-09-15T21:57:25.000,2023-09-26T00:00:00.000,DOB,Department of Buildings,Emergency Response Team (ERT),After Hours Work - Illegal,,10065,317 EAST   67 STREET,EAST   67 STREET,,,,,ADDRESS,Closed,The Department of Buildings investigated this complaint and determined that no further action was necessary.,2023-09-26T00:00:00.000,08 MANHATTAN,MANHATTAN,995314,218120,UNKNOWN,Unspecified,MANHATTAN,40.76535850783223,-73.96005905680126,"{'latitude': '40.76535850783223', 'longitude': '-73.96005905680126', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",NEW YORK,,1014420001,,,,,,N/A,
58825847,2023-09-15T21:56:47.000,2023-09-15T22:15:16.000,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,Residential Building/House,11385,58-23 79 AVENUE,79 AVENUE,CYPRESS AVENUE,60 STREET,CYPRESS AVENUE,60 STREET,ADDRESS,Closed,The Police Department responded to the complaint and took action to fix the condition.,2023-09-15T22:15:21.000,05 QUEENS,QUEENS,1012715,192466,ONLINE,Unspecified,QUEENS,40.6949057045138,-73.89735016380179,"{'latitude': '40.6949057045138', 'longitude': '-73.89735016380179', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",RIDGEWOOD,79 AVENUE,4035700074,,,,,,,
58823406,2023-09-15T21:56:42.000,2023-09-16T00:37:23.000,NYPD,New York City Police Department,Noise - Street/Sidewalk,Loud Music/Party,Street/Sidewalk,11367,70-05 KISSENA BOULEVARD,KISSENA BOULEVARD,JEWEL AVENUE,70 ROAD,JEWEL AVENUE,70 ROAD,ADDRESS,Closed,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,2023-09-16T00:37:28.000,08 QUEENS,QUEENS,1035546,205989,ONLINE,Unspecified,QUEENS,40.73192014757893,-73.81491468192326,"{'latitude': '40.73192014757893', 'longitude': '-73.81491468192326', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",FLUSHING,KISSENA BOULEVARD,4067920001,,,,,,,
58825033,2023-09-15T21:56:42.000,2023-09-15T22:42:07.000,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,Residential Building/House,11238,537 CLINTON AVENUE,CLINTON AVENUE,FULTON STREET,ATLANTIC AVENUE,FULTON STREET,ATLANTIC AVENUE,ADDRESS,Closed,The Police Department responded to the complaint and took action to fix the condition.,2023-09-15T22:42:11.000,02 BROOKLYN,BROOKLYN,993493,187906,ONLINE,Unspecified,BROOKLYN,40.68243050406261,-73.96667434582992,"{'latitude': '40.68243050406261', 'longitude': '-73.96667434582992', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",BROOKLYN,CLINTON AVENUE,3020110007,,,,,,,
58824604,2023-09-15T21:56:38.000,,DHS,Department of Homeless Services,Homeless Person Assistance,,Subway,,,,,,,,ADDRESS,Closed,The mobile outreach response team went to the location provided but could not find the individual that you reported.,2023-09-27T22:31:32.000,Unspecified MANHATTAN,MANHATTAN,990496,217613,MOBILE,Unspecified,MANHATTAN,40.76397164061828,-73.97745246469351,"{'latitude': '40.76397164061828', 'longitude': '-73.97745246469351', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,F,,,Mezzanine,,
