unique_key,created_date,agency,agency_name,complaint_type,descriptor,location_type,incident_zip,incident_address,street_name,cross_street_1,cross_street_2,intersection_street_1,intersection_street_2,address_type,city,landmark,status,community_board,bbl,borough,x_coordinate_state_plane,y_coordinate_state_plane,open_data_channel_type,park_facility_name,park_borough,latitude,longitude,location,closed_date,resolution_description,resolution_action_updated_date,facility_type,taxi_pick_up_location,due_date
58800160,2023-09-13T12:05:52.000,NYPD,New York City Police Department,Illegal Parking,Blocked Sidewalk,Street/Sidewalk,11356,23-18 130 STREET,130 STREET,23 AVENUE,25 AVENUE,23 AVENUE,25 AVENUE,ADDRESS,COLLEGE POINT,130 STREET,Closed,07 QUEENS,4042340044,QUEENS,1028867,222802,PHONE,Unspecified,QUEENS,40.77810369025931,-73.83890210677579,"{'latitude': '40.77810369025931', 'longitude': '-73.83890210677579', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",2023-09-13T12:36:11.000,The Police Department responded to the complaint and determined that police action was not necessary.,2023-09-13T12:36:14.000,,,
58808587,2023-09-13T12:05:47.000,DOB,Department of Buildings,Elevator,Elevator - Single Device On Property/No Alternate Service,,11415,83-80 118 STREET,118 STREET,,,,,ADDRESS,KEW GARDENS,,Closed,09 QUEENS,4033210100,QUEENS,1030237,196203,UNKNOWN,Unspecified,QUEENS,40.70508917376559,-73.83413733088446,"{'latitude': '40.70508917376559', 'longitude': '-73.83413733088446', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",2023-09-13T12:05:47.000,The Department of Buildings investigated this complaint and issued an Office of Administrative Trials and Hearings (OATH) summons.,2023-09-13T00:00:00.000,,,
58804811,2023-09-13T12:05:19.000,DPR,Department of Parks and Recreation,Illegal Tree Damage,Bicycle Chained to Tree,Street,11211,56 AINSLIE STREET,AINSLIE STREET,RODNEY STREET,KEAP STREET,RODNEY STREET,KEAP STREET,ADDRESS,BROOKLYN,AINSLIE STREET,Closed,01 BROOKLYN,3023740016,BROOKLYN,997357,198986,ONLINE,Unspecified,BROOKLYN,40.71283764113783,-73.95272112708898,"{'latitude': '40.71283764113783', 'longitude': '-73.95272112708898', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",2023-09-14T08:45:00.000,"The Service Request submitted did not have sufficient location or complaint information for NYC Parks to respond.  Please submit a new Service Request with adequate site details, including a full street address and descriptive location information.",2023-09-14T08:45:04.000,,,
58803952,2023-09-13T12:05:00.000,DEP,Department of Environmental Protection,Noise,Noise: air condition/ventilation equipment (NV1),,10016,28 EAST   28 STREET,EAST   28 STREET,MADISON AVE,PARK AVE S,,,ADDRESS,NEW YORK,,Closed,05 MANHATTAN,1008570024,MANHATTAN,988294,210291,ONLINE,Unspecified,MANHATTAN,40.74387589132928,-73.98540590318675,"{'latitude': '40.74387589132928', 'longitude': '-73.98540590318675', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",2023-10-10T11:30:00.000,"The Department of Environmental Protection (DEP) didn't observe a violation of the NYC Air or Noise Code at the time of inspection and couldn't issue a summons.  If the problem still exists, please go to nyc.gov/311 or call 311 to file a new Service Request. If you're outside of New York City, please call (212) NEW-YORK (212-639-9675).",2023-10-10T11:30:00.000,N/A,,
58805414,2023-09-13T12:04:56.000,NYPD,New York City Police Department,Illegal Parking,Double Parked Blocking Traffic,Street/Sidewalk,11101,10-31 51 AVENUE,51 AVENUE,JACKSON AVENUE,11 STREET,JACKSON AVENUE,11 STREET,ADDRESS,LONG ISLAND CITY,51 AVENUE,Closed,02 QUEENS,4000400012,QUEENS,997214,209547,ONLINE,Unspecified,QUEENS,40.74182521965099,-73.95321660339515,"{'latitude': '40.74182521965099', 'longitude': '-73.95321660339515', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",2023-09-13T14:05:24.000,The Police Department responded and upon arrival those responsible for the condition were gone.,2023-09-13T14:05:28.000,,,
58806724,2023-09-13T12:04:54.000,NYPD,New York City Police Department,Illegal Parking,Double Parked Blocking Vehicle,Street/Sidewalk,11229,2662 OCEAN AVENUE,OCEAN AVENUE,AVENUE V,GRAVESEND NECK ROAD,AVENUE V,GRAVESEND NECK ROAD,ADDRESS,BROOKLYN,OCEAN AVENUE,Closed,15 BROOKLYN,3073800013,BROOKLYN,997883,156677,PHONE,Unspecified,BROOKLYN,40.59670792799608,-73.95090929569977,"{'latitude': '40.59670792799608', 'longitude': '-73.95090929569977', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",2023-09-13T14:49:59.000,The Police Department responded and upon arrival those responsible for the condition were gone.,2023-09-13T14:50:04.000,,,
58809301,2023-09-13T12:04:31.000,NYPD,New York City Police Department,Illegal Parking,Double Parked Blocking Traffic,Street/Sidewalk,11231,3 PLACE,3 PLACE,3 PLACE,HENRY STREET,3 PLACE,HENRY STREET,INTERSECTION,,,Closed,06 BROOKLYN,,BROOKLYN,983830,186929,ONLINE,Unspecified,BROOKLYN,40.67975367692947,-74.00151424998282,"{'latitude': '40.67975367692947', 'longitude': '-74.00151424998282', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",2023-09-13T12:57:28.000,The Police Department responded and upon arrival those responsible for the condition were gone.,2023-09-13T12:57:32.000,,,
58803781,2023-09-13T12:04:11.000,DSNY,Department of Sanitation,Missed Collection,Recycling - Paper,Street,11207,141 SCHENCK AVENUE,SCHENCK AVENUE,FULTON STREET,ATLANTIC AVENUE,FULTON STREET,ATLANTIC AVENUE,ADDRESS,BROOKLYN,SCHENCK AVENUE,Closed,05 BROOKLYN,3039490012,BROOKLYN,1014837,186228,PHONE,Unspecified,BROOKLYN,40.67777675660824,-73.88972618218676,"{'latitude': '40.67777675660824', 'longitude': '-73.88972618218676', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",2023-09-14T14:27:44.000,The Department of Sanitation collected the requested items.,2023-09-14T10:56:35.000,,,
58802895,2023-09-13T12:04:10.000,NYPD,New York City Police Department,Blocked Driveway,No Access,Street/Sidewalk,11419,120-10 ATLANTIC AVENUE,ATLANTIC AVENUE,120 STREET,121 STREET,120 STREET,121 STREET,ADDRESS,SOUTH RICHMOND HILL,ATLANTIC AVENUE,Closed,09 QUEENS,4094380005,QUEENS,1032296,192299,MOBILE,Unspecified,QUEENS,40.69436268617851,-73.8267389443442,"{'latitude': '40.69436268617851', 'longitude': '-73.8267389443442', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",2023-09-13T12:29:24.000,The Police Department responded to the complaint and determined that police action was not necessary.,2023-09-13T12:29:29.000,,,
58800314,2023-09-13T12:04:02.000,NYPD,New York City Police Department,Blocked Driveway,No Access,Street/Sidewalk,11367,152-19 79 AVENUE,79 AVENUE,152 STREET,153 STREET,152 STREET,153 STREET,ADDRESS,FLUSHING,79 AVENUE,Closed,08 QUEENS,4067110010,QUEENS,1036422,201812,PHONE,Unspecified,QUEENS,40.72045020114344,-73.81178630660129,"{'latitude': '40.72045020114344', 'longitude': '-73.81178630660129', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",2023-09-13T12:37:35.000,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,2023-09-13T12:37:40.000,,,
58809796,2023-09-13T12:04:01.000,HPD,Department of Housing Preservation and Development,UNSANITARY CONDITION,MOLD,RESIDENTIAL BUILDING,10027,148 WEST  124 STREET,WEST  124 STREET,,,,,ADDRESS,NEW YORK,,Closed,10 MANHATTAN,1019080054,MANHATTAN,998820,233540,PHONE,Unspecified,MANHATTAN,40.80767719518998,-73.94736898433382,"{'latitude': '40.80767719518998', 'longitude': '-73.94736898433382', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",2023-09-19T13:16:50.000,The Department of Housing Preservation and Development inspected the following conditions. No violations were issued. The complaint has been closed.,2023-09-19T00:00:00.000,,,
58809700,2023-09-13T12:03:53.000,HPD,Department of Housing Preservation and Development,GENERAL,JANITOR/SUPER,RESIDENTIAL BUILDING,10032,894 RIVERSIDE DRIVE,RIVERSIDE DRIVE,,,,,ADDRESS,NEW YORK,,Closed,12 MANHATTAN,1021360111,MANHATTAN,998955,244508,PHONE,Unspecified,MANHATTAN,40.83778101984579,-73.94685728972303,"{'latitude': '40.83778101984579', 'longitude': '-73.94685728972303', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",2023-09-25T11:34:10.000,The Department of Housing Preservation and Development inspected the following conditions. Violations were issued. Information about specific violations is available at www.nyc.gov/hpd,2023-09-25T00:00:00.000,,,
58809793,2023-09-13T12:03:42.000,HPD,Department of Housing Preservation and Development,UNSANITARY CONDITION,GARBAGE/RECYCLING STORAGE,RESIDENTIAL BUILDING,10453,2240 WALTON AVENUE,WALTON AVENUE,,,,,ADDRESS,BRONX,,Closed,05 BRONX,2031820004,BRONX,1010976,251658,ONLINE,Unspecified,BRONX,40.85737745245203,-73.90338587172995,"{'latitude': '40.85737745245203', 'longitude': '-73.90338587172995', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",2023-10-24T20:18:45.000,The Department of Housing Preservation and Development inspected the following conditions. No violations were issued. The complaint has been closed.,2023-10-24T00:00:00.000,,,
58804948,2023-09-13T12:03:41.000,DOT,Department of Transportation,Street Condition,Failed Street Repair,Street,11434,115 AVENUE,115 AVENUE,115 AVENUE,165 STREET,115 AVENUE,165 STREET,INTERSECTION,,,Closed,12 QUEENS,,QUEENS,1044375,190051,PHONE,Unspecified,QUEENS,40.688118644112414,-73.78320048888443,"{'latitude': '40.688118644112414', 'longitude': '-73.78320048888443', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",2023-09-25T16:12:50.000,The Department of Transportation inspected and has requested the Department of Environmental Protection address the issue. The condition will be re-inspected in 60 days.,2023-09-25T16:12:54.000,,,
58805953,2023-09-13T12:03:40.000,HPD,Department of Housing Preservation and Development,WATER LEAK,HEAVY FLOW,RESIDENTIAL BUILDING,10463,2750 KINGSBRIDGE TERRACE,KINGSBRIDGE TERRACE,,,,,ADDRESS,BRONX,,Closed,08 BRONX,2032530046,BRONX,1010969,256998,PHONE,Unspecified,BRONX,40.872034146753045,-73.90338988640322,"{'latitude': '40.872034146753045', 'longitude': '-73.90338988640322', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",2023-09-15T20:06:01.000,The Department of Housing Preservation and Development inspected the following conditions. No violations were issued. The complaint has been closed.,2023-09-15T00:00:00.000,,,
58809766,2023-09-13T12:03:40.000,HPD,Department of Housing Preservation and Development,PLUMBING,BATHTUB/SHOWER,RESIDENTIAL BUILDING,10463,2750 KINGSBRIDGE TERRACE,KINGSBRIDGE TERRACE,,,,,ADDRESS,BRONX,,Closed,08 BRONX,2032530046,BRONX,1010969,256998,PHONE,Unspecified,BRONX,40.872034146753045,-73.90338988640322,"{'latitude': '40.872034146753045', 'longitude': '-73.90338988640322', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",2023-09-15T20:06:02.000,The Department of Housing Preservation and Development inspected the following conditions. Violations were issued. Information about specific violations is available at www.nyc.gov/hpd,2023-09-15T00:00:00.000,,,
58804482,2023-09-13T12:03:40.000,HPD,Department of Housing Preservation and Development,ELECTRIC,OUTLET/SWITCH,RESIDENTIAL BUILDING,10463,2750 KINGSBRIDGE TERRACE,KINGSBRIDGE TERRACE,,,,,ADDRESS,BRONX,,Closed,08 BRONX,2032530046,BRONX,1010969,256998,PHONE,Unspecified,BRONX,40.872034146753045,-73.90338988640322,"{'latitude': '40.872034146753045', 'longitude': '-73.90338988640322', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",2023-09-15T20:06:01.000,The Department of Housing Preservation and Development inspected the following conditions. Violations were issued. Information about specific violations is available at www.nyc.gov/hpd,2023-09-15T00:00:00.000,,,
58807114,2023-09-13T12:03:40.000,HPD,Department of Housing Preservation and Development,PLUMBING,TOILET,RESIDENTIAL BUILDING,10463,2750 KINGSBRIDGE TERRACE,KINGSBRIDGE TERRACE,,,,,ADDRESS,BRONX,,Closed,08 BRONX,2032530046,BRONX,1010969,256998,PHONE,Unspecified,BRONX,40.872034146753045,-73.90338988640322,"{'latitude': '40.872034146753045', 'longitude': '-73.90338988640322', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",2023-09-15T20:06:02.000,The Department of Housing Preservation and Development inspected the following conditions. Violations were issued. Information about specific violations is available at www.nyc.gov/hpd,2023-09-15T00:00:00.000,,,
58805908,2023-09-13T12:03:40.000,HPD,Department of Housing Preservation and Development,UNSANITARY CONDITION,MOLD,RESIDENTIAL BUILDING,10463,2750 KINGSBRIDGE TERRACE,KINGSBRIDGE TERRACE,,,,,ADDRESS,BRONX,,Closed,08 BRONX,2032530046,BRONX,1010969,256998,PHONE,Unspecified,BRONX,40.872034146753045,-73.90338988640322,"{'latitude': '40.872034146753045', 'longitude': '-73.90338988640322', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",2023-09-15T20:06:02.000,The Department of Housing Preservation and Development inspected the following conditions. Violations were issued. Information about specific violations is available at www.nyc.gov/hpd,2023-09-15T00:00:00.000,,,
58809649,2023-09-13T12:03:40.000,HPD,Department of Housing Preservation and Development,DOOR/WINDOW,DOOR,RESIDENTIAL BUILDING,10463,2750 KINGSBRIDGE TERRACE,KINGSBRIDGE TERRACE,,,,,ADDRESS,BRONX,,Closed,08 BRONX,2032530046,BRONX,1010969,256998,PHONE,Unspecified,BRONX,40.872034146753045,-73.90338988640322,"{'latitude': '40.872034146753045', 'longitude': '-73.90338988640322', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",2023-09-15T20:06:03.000,The Department of Housing Preservation and Development inspected the following conditions. Violations were issued. Information about specific violations is available at www.nyc.gov/hpd,2023-09-15T00:00:00.000,,,
58808367,2023-09-13T12:03:40.000,HPD,Department of Housing Preservation and Development,DOOR/WINDOW,WINDOW FRAME,RESIDENTIAL BUILDING,10463,2750 KINGSBRIDGE TERRACE,KINGSBRIDGE TERRACE,,,,,ADDRESS,BRONX,,Closed,08 BRONX,2032530046,BRONX,1010969,256998,PHONE,Unspecified,BRONX,40.872034146753045,-73.90338988640322,"{'latitude': '40.872034146753045', 'longitude': '-73.90338988640322', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",2023-09-15T20:06:03.000,The Department of Housing Preservation and Development inspected the following conditions. Violations were issued. Information about specific violations is available at www.nyc.gov/hpd,2023-09-15T00:00:00.000,,,
58808376,2023-09-13T12:03:40.000,HPD,Department of Housing Preservation and Development,FLOORING/STAIRS,FLOOR,RESIDENTIAL BUILDING,10463,2750 KINGSBRIDGE TERRACE,KINGSBRIDGE TERRACE,,,,,ADDRESS,BRONX,,Closed,08 BRONX,2032530046,BRONX,1010969,256998,PHONE,Unspecified,BRONX,40.872034146753045,-73.90338988640322,"{'latitude': '40.872034146753045', 'longitude': '-73.90338988640322', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",2023-09-15T20:06:02.000,The Department of Housing Preservation and Development inspected the following conditions. No violations were issued. The complaint has been closed.,2023-09-15T00:00:00.000,,,
58807276,2023-09-13T12:03:40.000,NYPD,New York City Police Department,Abandoned Vehicle,With License Plate,Street/Sidewalk,11419,100-98 129 STREET,129 STREET,97 AVENUE,101 AVENUE,97 AVENUE,101 AVENUE,ADDRESS,SOUTH RICHMOND HILL,129 STREET,Closed,09 QUEENS,,QUEENS,1034626,191566,ONLINE,Unspecified,QUEENS,40.69233781890619,-73.81834212134432,"{'latitude': '40.69233781890619', 'longitude': '-73.81834212134432', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",2023-09-13T12:34:50.000,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,2023-09-13T12:34:57.000,,,
58809817,2023-09-13T12:03:31.000,HPD,Department of Housing Preservation and Development,UNSANITARY CONDITION,PESTS,RESIDENTIAL BUILDING,10032,894 RIVERSIDE DRIVE,RIVERSIDE DRIVE,,,,,ADDRESS,NEW YORK,,Closed,12 MANHATTAN,1021360111,MANHATTAN,998955,244508,PHONE,Unspecified,MANHATTAN,40.83778101984579,-73.94685728972303,"{'latitude': '40.83778101984579', 'longitude': '-73.94685728972303', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",2023-09-25T11:34:10.000,The Department of Housing Preservation and Development inspected the following conditions. Violations were issued. Information about specific violations is available at www.nyc.gov/hpd,2023-09-25T00:00:00.000,,,
58807132,2023-09-13T12:03:31.000,HPD,Department of Housing Preservation and Development,UNSANITARY CONDITION,GARBAGE/RECYCLING STORAGE,RESIDENTIAL BUILDING,10032,894 RIVERSIDE DRIVE,RIVERSIDE DRIVE,,,,,ADDRESS,NEW YORK,,Closed,12 MANHATTAN,1021360111,MANHATTAN,998955,244508,PHONE,Unspecified,MANHATTAN,40.83778101984579,-73.94685728972303,"{'latitude': '40.83778101984579', 'longitude': '-73.94685728972303', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",2023-09-25T11:34:10.000,The Department of Housing Preservation and Development inspected the following conditions. Violations were issued. Information about specific violations is available at www.nyc.gov/hpd,2023-09-25T00:00:00.000,,,
58804512,2023-09-13T12:03:26.000,HPD,Department of Housing Preservation and Development,GENERAL,JANITOR/SUPER,RESIDENTIAL BUILDING,10453,2240 WALTON AVENUE,WALTON AVENUE,,,,,ADDRESS,BRONX,,Closed,05 BRONX,2031820004,BRONX,1010976,251658,ONLINE,Unspecified,BRONX,40.85737745245203,-73.90338587172995,"{'latitude': '40.85737745245203', 'longitude': '-73.90338587172995', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",2023-10-24T20:18:45.000,The Department of Housing Preservation and Development inspected the following conditions. No violations were issued. The complaint has been closed.,2023-10-24T00:00:00.000,,,
58808459,2023-09-13T12:03:26.000,HPD,Department of Housing Preservation and Development,UNSANITARY CONDITION,GARBAGE/RECYCLING STORAGE,RESIDENTIAL BUILDING,10453,2240 WALTON AVENUE,WALTON AVENUE,,,,,ADDRESS,BRONX,,Closed,05 BRONX,2031820004,BRONX,1010976,251658,ONLINE,Unspecified,BRONX,40.85737745245203,-73.90338587172995,"{'latitude': '40.85737745245203', 'longitude': '-73.90338587172995', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",2023-10-24T20:18:45.000,The Department of Housing Preservation and Development inspected the following conditions. Violations were issued. Information about specific violations is available at www.nyc.gov/hpd,2023-10-24T00:00:00.000,,,
58810029,2023-09-13T12:03:24.000,DPR,Department of Parks and Recreation,Overgrown Tree/Branches,Hitting Building,Street,11208,41 LINCOLN AVENUE,LINCOLN AVENUE,JAMAICA AVENUE,ETNA STREET,JAMAICA AVENUE,ETNA STREET,ADDRESS,BROOKLYN,LINCOLN AVENUE,In Progress,05 BROOKLYN,3041090031,BROOKLYN,1020121,190440,PHONE,Unspecified,BROOKLYN,40.68931788873002,-73.8706536379287,"{'latitude': '40.68931788873002', 'longitude': '-73.8706536379287', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,
58805906,2023-09-13T12:03:24.000,HPD,Department of Housing Preservation and Development,UNSANITARY CONDITION,MOLD,RESIDENTIAL BUILDING,10027,148 WEST  124 STREET,WEST  124 STREET,,,,,ADDRESS,NEW YORK,,Closed,10 MANHATTAN,1019080054,MANHATTAN,998820,233540,PHONE,Unspecified,MANHATTAN,40.80767719518998,-73.94736898433382,"{'latitude': '40.80767719518998', 'longitude': '-73.94736898433382', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",2023-09-19T13:16:50.000,The Department of Housing Preservation and Development inspected the following conditions. Violations were issued. Information about specific violations is available at www.nyc.gov/hpd,2023-09-19T00:00:00.000,,,
58804779,2023-09-13T12:03:20.000,HPD,Department of Housing Preservation and Development,APPLIANCE,ELECTRIC/GAS RANGE,RESIDENTIAL BUILDING,10003,67 2 AVENUE,2 AVENUE,,,,,ADDRESS,NEW YORK,,Closed,03 MANHATTAN,1004590028,MANHATTAN,987159,203815,PHONE,Unspecified,MANHATTAN,40.726101314064515,-73.98950472202321,"{'latitude': '40.726101314064515', 'longitude': '-73.98950472202321', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",2023-11-03T16:51:08.000,The Department of Housing Preservation and Development inspected the following conditions. No violations were issued. The complaint has been closed.,2023-11-03T00:00:00.000,,,
