unique_key,created_date,closed_date,agency,agency_name,complaint_type,descriptor,location_type,incident_zip,incident_address,street_name,address_type,city,status,resolution_description,resolution_action_updated_date,community_board,bbl,borough,x_coordinate_state_plane,y_coordinate_state_plane,open_data_channel_type,park_facility_name,park_borough,latitude,longitude,location,cross_street_1,cross_street_2,intersection_street_1,intersection_street_2,landmark,taxi_company_borough,taxi_pick_up_location,facility_type,bridge_highway_name,bridge_highway_segment,bridge_highway_direction,road_ramp
58966116,2023-09-29T17:21:13.000,2023-10-06T18:48:52.000,HPD,Department of Housing Preservation and Development,WATER LEAK,HEAVY FLOW,RESIDENTIAL BUILDING,10458,384 EAST  194 STREET,EAST  194 STREET,ADDRESS,BRONX,Closed,The Department of Housing Preservation and Development inspected the following conditions. Violations were issued. Information about specific violations is available at www.nyc.gov/hpd,2023-10-06T00:00:00.000,07 BRONX,2032760005,BRONX,1014700,253831,ONLINE,Unspecified,BRONX,40.86332962016092,-73.88991380335999,"{'latitude': '40.86332962016092', 'longitude': '-73.88991380335999', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,,,,,
58964197,2023-09-29T17:21:13.000,2023-10-04T14:45:55.000,HPD,Department of Housing Preservation and Development,DOOR/WINDOW,DOOR,RESIDENTIAL BUILDING,11221,461 JEFFERSON AVENUE,JEFFERSON AVENUE,ADDRESS,BROOKLYN,Closed,"The Department of Housing Preservation and Development contacted an occupant of the apartment and verified that the following conditions were corrected. The complaint has been closed. If the condition still exists, please file a new complaint.",2023-10-04T00:00:00.000,03 BROOKLYN,3018310062,BROOKLYN,1001005,188662,ONLINE,Unspecified,BROOKLYN,40.68449451941104,-73.93958794229248,"{'latitude': '40.68449451941104', 'longitude': '-73.93958794229248', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,,,,,
58966044,2023-09-29T17:21:13.000,2023-10-04T14:45:55.000,HPD,Department of Housing Preservation and Development,UNSANITARY CONDITION,MOLD,RESIDENTIAL BUILDING,11221,461 JEFFERSON AVENUE,JEFFERSON AVENUE,ADDRESS,BROOKLYN,Closed,"The Department of Housing Preservation and Development contacted an occupant of the apartment and verified that the following conditions were corrected. The complaint has been closed. If the condition still exists, please file a new complaint.",2023-10-04T00:00:00.000,03 BROOKLYN,3018310062,BROOKLYN,1001005,188662,ONLINE,Unspecified,BROOKLYN,40.68449451941104,-73.93958794229248,"{'latitude': '40.68449451941104', 'longitude': '-73.93958794229248', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,,,,,
58962699,2023-09-29T17:21:13.000,2023-11-02T15:44:18.000,HPD,Department of Housing Preservation and Development,ELECTRIC,POWER OUTAGE,RESIDENTIAL BUILDING,11221,461 JEFFERSON AVENUE,JEFFERSON AVENUE,ADDRESS,BROOKLYN,Closed,The Department of Housing Preservation and Development inspected the following conditions. No violations were issued. The complaint has been closed.,2023-11-02T00:00:00.000,03 BROOKLYN,3018310062,BROOKLYN,1001005,188662,ONLINE,Unspecified,BROOKLYN,40.68449451941104,-73.93958794229248,"{'latitude': '40.68449451941104', 'longitude': '-73.93958794229248', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,,,,,
59453080,2023-09-29T17:21:12.000,2023-10-08T00:00:00.000,HPD,Department of Housing Preservation and Development,Water Leak,Heavy Flow,Apartment,11216,1446 PACIFIC STREET,PACIFIC STREET,ADDRESS,BROOKLYN,Closed,,2023-10-08T00:00:00.000,08 BROOKLYN,3012090034,BROOKLYN,1000261,186017,PHONE,Unspecified,BROOKLYN,40.67723597372279,-73.94227680251228,"{'latitude': '40.67723597372279', 'longitude': '-73.94227680251228', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",BROOKLYN AVENUE,KINGSTON AVENUE,BROOKLYN AVENUE,KINGSTON AVENUE,PACIFIC STREET,,,,,,,
59453815,2023-09-29T17:21:00.000,2023-10-01T00:00:00.000,HPD,Department of Housing Preservation and Development,Heat/Hot Water,Apartment Only,Apartment,11418,85-28 102 STREET,102 STREET,ADDRESS,RICHMOND HILL,Closed,,2023-10-01T00:00:00.000,09 QUEENS,4091790009,QUEENS,1026849,193383,PHONE,Unspecified,QUEENS,40.69736590510668,-73.84637474186614,"{'latitude': '40.69736590510668', 'longitude': '-73.84637474186614', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",85 ROAD,85 DRIVE,85 ROAD,85 DRIVE,102 STREET,,,,,,,
59460399,2023-09-29T17:21:00.000,2023-10-14T00:00:00.000,HPD,Department of Housing Preservation and Development,Door/Window,Door,Public Area,10472,1060 WHEELER AVENUE,WHEELER AVENUE,ADDRESS,BRONX,Closed,,2023-10-14T00:00:00.000,09 BRONX,2037130032,BRONX,1017662,239863,ONLINE,Unspecified,BRONX,40.82498087739449,-73.87927486382391,"{'latitude': '40.82498087739449', 'longitude': '-73.87927486382391', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",BRUCKNER BOULEVARD,WATSON AVENUE,BRUCKNER BOULEVARD,WATSON AVENUE,WHEELER AVENUE,,,,,,,
58957200,2023-09-29T17:20:57.000,,TLC,Taxi and Limousine Commission,For Hire Vehicle Complaint,Driver Complaint - Passenger,Street,11237,110 WYCKOFF AVENUE,WYCKOFF AVENUE,ADDRESS,BROOKLYN,In Progress,"The Taxi and Limousine Commission (TLC) has received your complaint. Within 30 days, the TLC representative who will be handling your case will contact you.",2023-10-12T11:17:43.000,04 BROOKLYN,3032480037,BROOKLYN,1006794,195760,ONLINE,Unspecified,BROOKLYN,40.70396402527991,-73.91869129960794,"{'latitude': '40.70396402527991', 'longitude': '-73.91869129960794', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",DEKALB AVENUE,STOCKHOLM STREET,DEKALB AVENUE,STOCKHOLM STREET,WYCKOFF AVENUE,BROOKLYN,"110 WYCKOFF AVENUE, BROOKLYN, NY, 11237",,,,,
58960920,2023-09-29T17:20:27.000,2023-09-29T18:06:09.000,NYPD,New York City Police Department,Blocked Driveway,No Access,Street/Sidewalk,11220,711 58 STREET,58 STREET,ADDRESS,BROOKLYN,Closed,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,2023-09-29T18:06:12.000,07 BROOKLYN,3008500001,BROOKLYN,981453,171599,MOBILE,Unspecified,BROOKLYN,40.63767576642505,-74.01007782509187,"{'latitude': '40.63767576642505', 'longitude': '-74.01007782509187', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",7 AVENUE,8 AVENUE,7 AVENUE,8 AVENUE,58 STREET,,,,,,,
58956137,2023-09-29T17:20:00.000,2023-11-09T00:00:00.000,DOB,Department of Buildings,General Construction/Plumbing,Cons - Contrary/Beyond Approved Plans/Permits,,11354,33-73 154 STREET,154 STREET,ADDRESS,FLUSHING,Closed,The Department of Buildings investigated this complaint and determined that no further action was necessary.,2023-11-09T00:00:00.000,07 QUEENS,4052390009,QUEENS,1036733,219158,UNKNOWN,Unspecified,QUEENS,40.7680586811793,-73.81052900646795,"{'latitude': '40.7680586811793', 'longitude': '-73.81052900646795', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,,,,,
58957563,2023-09-29T17:20:00.000,2023-09-30T03:55:00.000,DEP,Department of Environmental Protection,Sewer,Sewer Backup (Use Comments) (SA),,11422,253-23 149 DRIVE,149 DRIVE,ADDRESS,ROSEDALE,Closed,The Department of Environmental Protection has investigated this complaint. Surcharge conditions have been confirmed due to rain intensity or volume.,2023-10-01T05:55:00.000,13 QUEENS,4136560075,QUEENS,1057363,176782,ONLINE,Unspecified,QUEENS,40.65160060975132,-73.73651236249657,"{'latitude': '40.65160060975132', 'longitude': '-73.73651236249657', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",253 ST,254 ST,,,,,,,,,,
58963607,2023-09-29T17:20:00.000,2023-09-30T03:35:00.000,DEP,Department of Environmental Protection,Sewer,Sewer Backup (Use Comments) (SA),,11422,259-82 148 DRIVE,148 DRIVE,ADDRESS,ROSEDALE,Closed,The Department of Environmental Protection has investigated this complaint. Surcharge conditions have been confirmed due to rain intensity or volume.,2023-10-01T05:25:00.000,13 QUEENS,4136890040,QUEENS,1059409,177505,ONLINE,Unspecified,QUEENS,40.653567949297674,-73.72913089291026,"{'latitude': '40.653567949297674', 'longitude': '-73.72913089291026', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",259 ST,HOOK CREEK BLVD,,,,,,,,,,
58966973,2023-09-29T17:20:00.000,2023-09-30T08:10:00.000,DOT,Department of Transportation,Traffic Signal Condition,Veh Signal Lamp,,11208,,,INTERSECTION,BROOKLYN,Closed,Service Request status for this request is available on the Department of Transportationâs website. Please click the âLearn Moreâ link below.,2023-09-30T08:10:00.000,05 BROOKLYN,,BROOKLYN,1018785,190202,UNKNOWN,Unspecified,BROOKLYN,40.68866994798084,-73.87547230106438,"{'latitude': '40.68866994798084', 'longitude': '-73.87547230106438', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,EUCLID AVENUE,JAMAICA AVENUE,,,,N/A,,,,
58966782,2023-09-29T17:20:00.000,2023-09-30T12:55:00.000,DEP,Department of Environmental Protection,Sewer,Sewer Backup (Use Comments) (SA),,11104,44-12 BARNETT AVENUE,BARNETT AVENUE,ADDRESS,SUNNYSIDE,Closed,The Department of Environmental Protection has investigated this complaint. Surcharge conditions have been confirmed due to rain intensity or volume.,2023-09-30T12:55:00.000,02 QUEENS,4001550056,QUEENS,1006736,212330,ONLINE,Unspecified,QUEENS,40.749444769483844,-73.91884511895537,"{'latitude': '40.749444769483844', 'longitude': '-73.91884511895537', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",44 ST,39 AVE,,,,,,,,,,
58965232,2023-09-29T17:20:00.000,2023-09-30T03:41:00.000,DEP,Department of Environmental Protection,Sewer,Sewer Backup (Use Comments) (SA),,11422,253-27 149 DRIVE,149 DRIVE,ADDRESS,ROSEDALE,Closed,The Department of Environmental Protection has investigated this complaint. Surcharge conditions have been confirmed due to rain intensity or volume.,2023-10-01T05:40:00.000,13 QUEENS,4136560073,QUEENS,1057371,176782,ONLINE,Unspecified,QUEENS,40.65160054369858,-73.73648353194133,"{'latitude': '40.65160054369858', 'longitude': '-73.73648353194133', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",253 ST,254 ST,,,,,,,,,,
58955847,2023-09-29T17:20:00.000,2023-09-29T17:53:00.000,DEP,Department of Environmental Protection,Sewer,Catch Basin Clogged/Flooding (Use Comments) (SC),,10306,141 HAVEN AVENUE,HAVEN AVENUE,ADDRESS,STATEN ISLAND,Closed,"The Department of Environmental Protection has determined that this issue was previously reported by another customer The original complaint is being addressed. If the condition persists, please call 311 (or 212-639-9675 if calling from a non-New York City area code) to submit a new complaint.",2023-09-29T17:53:00.000,02 STATEN ISLAND,5036730019,STATEN ISLAND,956932,150202,ONLINE,Unspecified,STATEN ISLAND,40.57890373939722,-74.09834244727871,"{'latitude': '40.57890373939722', 'longitude': '-74.09834244727871', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",ADAMS AVE,HUNTER AVE,,,,,,,,,,
58956061,2023-09-29T17:20:00.000,2023-10-01T13:00:00.000,DEP,Department of Environmental Protection,Sewer,Street Flooding (SJ),,11385,72-27 73 STREET,73 STREET,ADDRESS,RIDGEWOOD,Closed,NYC DEP investigated and determined the sewer or catchbasin was overtaxed due to heavy rain and no further action is required.,2023-10-01T13:00:00.000,05 QUEENS,4036960074,QUEENS,1018395,195578,ONLINE,Unspecified,QUEENS,40.7034273177543,-73.87685132455958,"{'latitude': '40.7034273177543', 'longitude': '-73.87685132455958', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",COOPER AVE,MYRTLE AVE,,,,,,,,,,
58966569,2023-09-29T17:19:53.000,2023-10-02T15:39:57.000,DSNY,Department of Sanitation,Missed Collection,Recycling - Paper,Street,11230,16 AVENUE J,AVENUE J,ADDRESS,BROOKLYN,Closed,The Department of Sanitation collected the requested items.,2023-09-30T14:23:16.000,12 BROOKLYN,3054830007,BROOKLYN,990754,166435,ONLINE,Unspecified,BROOKLYN,40.623499731470154,-73.97657052071153,"{'latitude': '40.623499731470154', 'longitude': '-73.97657052071153', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",DAHILL ROAD,MCDONALD AVENUE,DAHILL ROAD,MCDONALD AVENUE,AVENUE J,,,,,,,
59449687,2023-09-29T17:19:37.000,2023-10-16T00:00:00.000,HPD,Department of Housing Preservation and Development,Water Leak,Heavy Flow,Apartment,10033,1 CABRINI BOULEVARD,CABRINI BOULEVARD,ADDRESS,NEW YORK,Closed,,2023-10-16T00:00:00.000,12 MANHATTAN,1021770003,MANHATTAN,1000493,248369,ONLINE,Unspecified,MANHATTAN,40.848375637852776,-73.94128972865543,"{'latitude': '40.848375637852776', 'longitude': '-73.94128972865543', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",WEST  177 STREET,WEST  178 STREET,WEST  177 STREET,WEST  178 STREET,CABRINI BOULEVARD,,,,,,,
58956855,2023-09-29T17:19:27.000,2023-10-16T08:45:17.000,HPD,Department of Housing Preservation and Development,WATER LEAK,DAMP SPOT,RESIDENTIAL BUILDING,10025,964 AMSTERDAM AVENUE,AMSTERDAM AVENUE,ADDRESS,NEW YORK,Closed,The Department of Housing Preservation and Development inspected the following conditions. Violations were issued. Information about specific violations is available at www.nyc.gov/hpd,2023-10-16T00:00:00.000,07 MANHATTAN,1018790031,MANHATTAN,993922,231227,PHONE,Unspecified,MANHATTAN,40.80133536650071,-73.96506529386701,"{'latitude': '40.80133536650071', 'longitude': '-73.96506529386701', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,,,,,
59449564,2023-09-29T17:19:23.000,2023-10-06T00:00:00.000,HPD,Department of Housing Preservation and Development,Water Leak,Heavy Flow,Apartment,10458,384 EAST  194 STREET,EAST  194 STREET,ADDRESS,BRONX,Closed,,2023-10-06T00:00:00.000,07 BRONX,2032760005,BRONX,1014700,253831,ONLINE,Unspecified,BRONX,40.86332962016092,-73.88991380335999,"{'latitude': '40.86332962016092', 'longitude': '-73.88991380335999', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",DECATUR AVENUE,WEBSTER AVENUE,DECATUR AVENUE,WEBSTER AVENUE,EAST  194 STREET,,,,,,,
59446382,2023-09-29T17:19:22.000,2023-10-01T05:25:00.000,DEP,Department of Environmental Protection,Water Maintenance,Leak,N/A,11422,259-82 148 DRIVE,148 DRIVE,ADDRESS,ROSEDALE,Closed,,2023-10-01T05:25:00.000,13 QUEENS,4136890040,QUEENS,1059409,177505,ONLINE,Unspecified,QUEENS,40.653567949297674,-73.72913089291026,"{'latitude': '40.653567949297674', 'longitude': '-73.72913089291026', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",259 STREET,HOOK CREEK BOULEVARD,259 STREET,HOOK CREEK BOULEVARD,148 DRIVE,,,,,,,
58957260,2023-09-29T17:19:16.000,2023-10-04T09:07:32.000,DOT,Department of Transportation,Street Sign - Damaged,Other/Unknown,Street,11411,216-01 115 COURT,115 COURT,ADDRESS,CAMBRIA HEIGHTS,Closed,The Department of Transportation has completed the request or corrected the condition.,2023-10-04T09:07:37.000,13 QUEENS,4112800059,QUEENS,1055926,194684,MOBILE,Unspecified,QUEENS,40.70074909467474,-73.74150066588479,"{'latitude': '40.70074909467474', 'longitude': '-73.74150066588479', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",SPRINGFIELD BOULEVARD,DEAD END,SPRINGFIELD BOULEVARD,DEAD END,115 COURT,,,,,,,
59460378,2023-09-29T17:19:04.000,2023-10-04T00:00:00.000,HPD,Department of Housing Preservation and Development,Door/Window,Door,Apartment,11224,2960 WEST   29 STREET,WEST   29 STREET,ADDRESS,BROOKLYN,Closed,,2023-10-04T00:00:00.000,13 BROOKLYN,3070510033,BROOKLYN,985613,148341,PHONE,Unspecified,BROOKLYN,40.57383764550772,-73.99509369056491,"{'latitude': '40.57383764550772', 'longitude': '-73.99509369056491', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",MERMAID AVENUE,SURF AVENUE,MERMAID AVENUE,SURF AVENUE,WEST   29 STREET,,,,,,,
59459510,2023-09-29T17:19:02.000,2023-09-29T17:53:00.000,DEP,Department of Environmental Protection,Sewer Maintenance,Catch Basin Sunken,Sewer,10306,141 HAVEN AVENUE,HAVEN AVENUE,ADDRESS,STATEN ISLAND,Closed,,2023-09-29T17:53:00.000,02 STATEN ISLAND,5036730019,STATEN ISLAND,956932,150202,ONLINE,Unspecified,STATEN ISLAND,40.57890373939722,-74.09834244727871,"{'latitude': '40.57890373939722', 'longitude': '-74.09834244727871', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",ADAMS AVENUE,HUNTER AVENUE,ADAMS AVENUE,HUNTER AVENUE,HAVEN AVENUE,,,,,,,
58957135,2023-09-29T17:18:59.000,2023-10-05T13:09:37.000,DPR,Department of Parks and Recreation,Damaged Tree,Branch or Limb Has Fallen Down,Street,11366,76-21 172 STREET,172 STREET,ADDRESS,FRESH MEADOWS,Closed,NYC Parks performed the work necessary to correct the condition.,2023-10-05T09:09:10.000,08 QUEENS,4070080074,QUEENS,1040462,203794,MOBILE,Unspecified,QUEENS,40.725865548624824,-73.79719525469454,"{'latitude': '40.725865548624824', 'longitude': '-73.79719525469454', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",76 AVENUE,UNION TURNPIKE,76 AVENUE,UNION TURNPIKE,172 STREET,,,,,,,
59436233,2023-09-29T17:18:54.000,2023-10-04T00:00:00.000,HPD,Department of Housing Preservation and Development,Appliance,Refrigerator,Apartment,11221,461 JEFFERSON AVENUE,JEFFERSON AVENUE,ADDRESS,BROOKLYN,Closed,,2023-10-04T00:00:00.000,03 BROOKLYN,3018310062,BROOKLYN,1001005,188662,ONLINE,Unspecified,BROOKLYN,40.68449451941104,-73.93958794229248,"{'latitude': '40.68449451941104', 'longitude': '-73.93958794229248', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",THROOP AVENUE,MARCUS GARVEY BOULEVARD,THROOP AVENUE,MARCUS GARVEY BOULEVARD,JEFFERSON AVENUE,,,,,,,
59460707,2023-09-29T17:18:54.000,2023-10-04T00:00:00.000,HPD,Department of Housing Preservation and Development,General,Bell/Buzzer/Intercom,Apartment,11221,461 JEFFERSON AVENUE,JEFFERSON AVENUE,ADDRESS,BROOKLYN,Closed,,2023-10-04T00:00:00.000,03 BROOKLYN,3018310062,BROOKLYN,1001005,188662,ONLINE,Unspecified,BROOKLYN,40.68449451941104,-73.93958794229248,"{'latitude': '40.68449451941104', 'longitude': '-73.93958794229248', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",THROOP AVENUE,MARCUS GARVEY BOULEVARD,THROOP AVENUE,MARCUS GARVEY BOULEVARD,JEFFERSON AVENUE,,,,,,,
