unique_key,created_date,closed_date,agency,agency_name,complaint_type,descriptor,location_type,incident_zip,incident_address,street_name,cross_street_1,cross_street_2,intersection_street_1,intersection_street_2,address_type,city,landmark,status,resolution_description,resolution_action_updated_date,community_board,bbl,borough,x_coordinate_state_plane,y_coordinate_state_plane,open_data_channel_type,park_facility_name,park_borough,latitude,longitude,location,bridge_highway_name,bridge_highway_segment,facility_type,taxi_company_borough,taxi_pick_up_location,due_date,bridge_highway_direction,road_ramp
58862796,2023-09-19T13:09:27.000,2023-09-21T12:56:05.000,DSNY,Department of Sanitation,Missed Collection,Trash,Street,11217,276 HOYT STREET,HOYT STREET,DEGRAW STREET,SACKETT STREET,DEGRAW STREET,SACKETT STREET,ADDRESS,BROOKLYN,HOYT STREET,Closed,The Department of Sanitation collected the requested items.,2023-09-21T11:26:57.000,06 BROOKLYN,3004220042,BROOKLYN,986721,187655,ONLINE,Unspecified,BROOKLYN,40.68174604715727,-73.9910908964184,"{'latitude': '40.68174604715727', 'longitude': '-73.9910908964184', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,
58858384,2023-09-19T13:09:21.000,2023-09-19T14:19:11.000,DOHMH,Department of Health and Mental Hygiene,Asbestos,N/A,3+ Family Apartment Building,10458,2735 MARION AVENUE,MARION AVENUE,EAST 196 STREET,EAST 197 STREET,EAST  196 STREET,EAST  197 STREET,ADDRESS,BRONX,MARION AVENUE,Closed,"The owner or manager of the property was sent an advisory to correct the condition. If the condition persists, please call 311 or go online to www.nyc.gov/311 and submit another complaint.",2023-09-19T14:19:11.000,07 BRONX,2032880035,BRONX,1015068,254879,PHONE,Unspecified,BRONX,40.866204783245244,-73.88857855130807,"{'latitude': '40.866204783245244', 'longitude': '-73.88857855130807', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,
58856509,2023-09-19T13:09:18.000,,DPR,Department of Parks and Recreation,Damaged Tree,Branch Cracked and Will Fall,Street,11215,73 8 AVENUE,8 AVENUE,UNION STREET,PRESIDENT STREET,UNION STREET,PRESIDENT STREET,ADDRESS,BROOKLYN,8 AVENUE,In Progress,"NYC Parks reviewed this request and will visit the location to investigate the condition.  Under NYC Parksâ Tree Risk Management Program, all trees under the agency's jurisdiction are assessed for risk, and work is prioritized to address the conditions with the highest risk first.  For more information about the Tree Risk Management Program, visit the NYC Urban Forest page on the NYC Parks website at nyc.gov/parks/trees.   To learn more about the trees in your neighborhood, visit the NYC Tree Map at nyc.gov/parks/treemap.",2023-09-28T09:31:30.000,06 BROOKLYN,3010660009,BROOKLYN,991737,184611,ONLINE,Unspecified,BROOKLYN,40.67338813396922,-73.97300926728148,"{'latitude': '40.67338813396922', 'longitude': '-73.97300926728148', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,
58870091,2023-09-19T13:09:14.000,2023-09-22T11:00:11.000,DPR,Department of Parks and Recreation,Dead/Dying Tree,Planted More Than 2 Years Ago,Street,11365,174-09 JEWEL AVENUE,JEWEL AVENUE,174 STREET,175 STREET,174 STREET,175 STREET,ADDRESS,FRESH MEADOWS,JEWEL AVENUE,Closed,"The Service Request submitted did not have sufficient location or complaint information for NYC Parks to respond.  Please submit a new Service Request with adequate site details, including a full street address and descriptive location information.",2023-09-22T11:00:15.000,08 QUEENS,4069490006,QUEENS,1040855,205784,PHONE,Unspecified,QUEENS,40.731325091950744,-73.79576063299263,"{'latitude': '40.731325091950744', 'longitude': '-73.79576063299263', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,
58864184,2023-09-19T13:09:07.000,2023-09-19T14:25:52.000,NYPD,New York City Police Department,Abandoned Vehicle,With License Plate,Street/Sidewalk,11239,516 SCHROEDERS AVENUE,SCHROEDERS AVENUE,ASHFORD STREET,ELTON STREET,ASHFORD STREET,ELTON STREET,ADDRESS,BROOKLYN,SCHROEDERS AVENUE,Closed,The Police Department responded to the complaint and determined that police action was not necessary.,2023-09-19T14:25:56.000,05 BROOKLYN,3044520423,BROOKLYN,1019422,177846,ONLINE,Unspecified,BROOKLYN,40.65475302381683,-73.87323985668276,"{'latitude': '40.65475302381683', 'longitude': '-73.87323985668276', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,
58856552,2023-09-19T13:09:00.000,2023-09-19T13:42:47.000,DOHMH,Department of Health and Mental Hygiene,Mold,Public Complaint - Comm Location,Commercial Building,10453,UNIVERSITY AVENUE,UNIVERSITY AVENUE,UNIVERSITY AVENUE,WEST  181 STREET,UNIVERSITY AVENUE,WEST 181 STREET,INTERSECTION,BRONX,,Closed,,2023-09-19T13:42:47.000,05 BRONX,,BRONX,1009238,251695,PHONE,Unspecified,BRONX,40.85748409656854,-73.90966857566818,"{'latitude': '40.85748409656854', 'longitude': '-73.90966857566818', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,
58862506,2023-09-19T13:08:49.000,2023-09-22T13:23:38.000,DPR,Department of Parks and Recreation,Maintenance or Facility,Structure - Outdoors,Park,10463,751 WEST  232 STREET,WEST  232 STREET,INDEPENDENCE AVENUE,PALISADE AVENUE,INDEPENDENCE AVENUE,PALISADE AVENUE,ADDRESS,BRONX,WEST  232 STREET,Closed,NYC Parks has completed the requested work order and corrected the problem.,2023-09-22T13:23:35.000,08 BRONX,2059150090,BRONX,1006816,261892,MOBILE,Seton Park,BRONX,40.885478248520414,-73.91838973869731,"{'latitude': '40.885478248520414', 'longitude': '-73.91838973869731', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,
58869791,2023-09-19T13:08:41.000,2023-11-06T07:58:42.000,HPD,Department of Housing Preservation and Development,PLUMBING,BASIN/SINK,RESIDENTIAL BUILDING,10452,1041 NELSON AVENUE,NELSON AVENUE,,,,,ADDRESS,BRONX,,Closed,"The Department of Housing Preservation and Development was not able to gain access to inspect the following conditions. The complaint has been closed. If the condition still exists, please file a new complaint.",2023-11-06T00:00:00.000,04 BRONX,2025120015,BRONX,1004134,243003,PHONE,Unspecified,BRONX,40.83364008903812,-73.92814526096437,"{'latitude': '40.83364008903812', 'longitude': '-73.92814526096437', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,
58865992,2023-09-19T13:08:41.000,2023-11-06T07:58:42.000,HPD,Department of Housing Preservation and Development,UNSANITARY CONDITION,PESTS,RESIDENTIAL BUILDING,10452,1041 NELSON AVENUE,NELSON AVENUE,,,,,ADDRESS,BRONX,,Closed,"The Department of Housing Preservation and Development was not able to gain access to inspect the following conditions. The complaint has been closed. If the condition still exists, please file a new complaint.",2023-11-06T00:00:00.000,04 BRONX,2025120015,BRONX,1004134,243003,PHONE,Unspecified,BRONX,40.83364008903812,-73.92814526096437,"{'latitude': '40.83364008903812', 'longitude': '-73.92814526096437', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,
58860065,2023-09-19T13:08:41.000,2023-11-06T07:58:42.000,HPD,Department of Housing Preservation and Development,PLUMBING,BASIN/SINK,RESIDENTIAL BUILDING,10452,1041 NELSON AVENUE,NELSON AVENUE,,,,,ADDRESS,BRONX,,Closed,"The Department of Housing Preservation and Development was not able to gain access to inspect the following conditions. The complaint has been closed. If the condition still exists, please file a new complaint.",2023-11-06T00:00:00.000,04 BRONX,2025120015,BRONX,1004134,243003,PHONE,Unspecified,BRONX,40.83364008903812,-73.92814526096437,"{'latitude': '40.83364008903812', 'longitude': '-73.92814526096437', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,
58863861,2023-09-19T13:08:41.000,2023-11-06T07:58:42.000,HPD,Department of Housing Preservation and Development,APPLIANCE,ELECTRIC/GAS RANGE,RESIDENTIAL BUILDING,10452,1041 NELSON AVENUE,NELSON AVENUE,,,,,ADDRESS,BRONX,,Closed,"The Department of Housing Preservation and Development was not able to gain access to inspect the following conditions. The complaint has been closed. If the condition still exists, please file a new complaint.",2023-11-06T00:00:00.000,04 BRONX,2025120015,BRONX,1004134,243003,PHONE,Unspecified,BRONX,40.83364008903812,-73.92814526096437,"{'latitude': '40.83364008903812', 'longitude': '-73.92814526096437', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,
58865846,2023-09-19T13:08:41.000,2023-11-06T07:58:42.000,HPD,Department of Housing Preservation and Development,FLOORING/STAIRS,FLOOR,RESIDENTIAL BUILDING,10452,1041 NELSON AVENUE,NELSON AVENUE,,,,,ADDRESS,BRONX,,Closed,"The Department of Housing Preservation and Development was not able to gain access to inspect the following conditions. The complaint has been closed. If the condition still exists, please file a new complaint.",2023-11-06T00:00:00.000,04 BRONX,2025120015,BRONX,1004134,243003,PHONE,Unspecified,BRONX,40.83364008903812,-73.92814526096437,"{'latitude': '40.83364008903812', 'longitude': '-73.92814526096437', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,
58860057,2023-09-19T13:08:41.000,2023-11-06T07:58:42.000,HPD,Department of Housing Preservation and Development,PAINT/PLASTER,WALL,RESIDENTIAL BUILDING,10452,1041 NELSON AVENUE,NELSON AVENUE,,,,,ADDRESS,BRONX,,Closed,"The Department of Housing Preservation and Development was not able to gain access to inspect the following conditions. The complaint has been closed. If the condition still exists, please file a new complaint.",2023-11-06T00:00:00.000,04 BRONX,2025120015,BRONX,1004134,243003,PHONE,Unspecified,BRONX,40.83364008903812,-73.92814526096437,"{'latitude': '40.83364008903812', 'longitude': '-73.92814526096437', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,
58863947,2023-09-19T13:08:41.000,2023-11-06T07:58:42.000,HPD,Department of Housing Preservation and Development,PAINT/PLASTER,WALL,RESIDENTIAL BUILDING,10452,1041 NELSON AVENUE,NELSON AVENUE,,,,,ADDRESS,BRONX,,Closed,"The Department of Housing Preservation and Development was not able to gain access to inspect the following conditions. The complaint has been closed. If the condition still exists, please file a new complaint.",2023-11-06T00:00:00.000,04 BRONX,2025120015,BRONX,1004134,243003,PHONE,Unspecified,BRONX,40.83364008903812,-73.92814526096437,"{'latitude': '40.83364008903812', 'longitude': '-73.92814526096437', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,
58863228,2023-09-19T13:08:35.000,2023-09-19T13:23:39.000,NYPD,New York City Police Department,Illegal Parking,Posted Parking Sign Violation,Street/Sidewalk,11101,1-50 50 AVENUE,50 AVENUE,CENTER BOULEVARD,2 STREET,CENTER BOULEVARD,2 STREET,ADDRESS,LONG ISLAND CITY,50 AVENUE,Closed,The Police Department responded to the complaint and took action to fix the condition.,2023-09-19T13:23:44.000,02 QUEENS,4000067502,QUEENS,995645,210208,ONLINE,Unspecified,QUEENS,40.74364166035955,-73.95887755839249,"{'latitude': '40.74364166035955', 'longitude': '-73.95887755839249', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,
58858159,2023-09-19T13:08:28.000,2023-09-27T19:00:41.000,HPD,Department of Housing Preservation and Development,UNSANITARY CONDITION,GARBAGE/RECYCLING STORAGE,RESIDENTIAL BUILDING,11374,62-40 99 STREET,99 STREET,,,,,ADDRESS,REGO PARK,,Closed,The Department of Housing Preservation and Development inspected the following conditions. No violations were issued. The complaint has been closed.,2023-09-27T00:00:00.000,06 QUEENS,4020930239,QUEENS,1023663,206691,ONLINE,Unspecified,QUEENS,40.73390789489832,-73.85778651301219,"{'latitude': '40.73390789489832', 'longitude': '-73.85778651301219', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,
58869941,2023-09-19T13:08:28.000,2023-09-19T13:08:28.000,HPD,Department of Housing Preservation and Development,GENERAL,SIGNAGE MISSING,RESIDENTIAL BUILDING,11374,62-40 99 STREET,99 STREET,,,,,ADDRESS,REGO PARK,,Closed,The following complaint conditions are still open. HPD may attempt to contact you to verify the correction of the condition or may conduct an inspection.,2023-09-19T00:00:00.000,06 QUEENS,4020930239,QUEENS,1023663,206691,ONLINE,Unspecified,QUEENS,40.73390789489832,-73.85778651301219,"{'latitude': '40.73390789489832', 'longitude': '-73.85778651301219', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,
58858195,2023-09-19T13:08:26.000,2023-09-21T15:06:06.000,HPD,Department of Housing Preservation and Development,UNSANITARY CONDITION,PESTS,RESIDENTIAL BUILDING,10033,644 WEST  185 STREET,WEST  185 STREET,,,,,ADDRESS,NEW YORK,,Closed,The Department of Housing Preservation and Development inspected the following conditions. No violations were issued. The complaint has been closed.,2023-09-21T00:00:00.000,12 MANHATTAN,1021670010,MANHATTAN,1002655,249803,ONLINE,Unspecified,MANHATTAN,40.852307300334104,-73.93347125287488,"{'latitude': '40.852307300334104', 'longitude': '-73.93347125287488', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,
58863974,2023-09-19T13:08:26.000,2023-09-21T15:06:05.000,HPD,Department of Housing Preservation and Development,PLUMBING,BATHTUB/SHOWER,RESIDENTIAL BUILDING,10033,644 WEST  185 STREET,WEST  185 STREET,,,,,ADDRESS,NEW YORK,,Closed,The Department of Housing Preservation and Development inspected the following conditions. No violations were issued. The complaint has been closed.,2023-09-21T00:00:00.000,12 MANHATTAN,1021670010,MANHATTAN,1002655,249803,ONLINE,Unspecified,MANHATTAN,40.852307300334104,-73.93347125287488,"{'latitude': '40.852307300334104', 'longitude': '-73.93347125287488', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,
58869804,2023-09-19T13:08:26.000,2023-09-21T15:06:05.000,HPD,Department of Housing Preservation and Development,PLUMBING,BATHTUB/SHOWER,RESIDENTIAL BUILDING,10033,644 WEST  185 STREET,WEST  185 STREET,,,,,ADDRESS,NEW YORK,,Closed,The Department of Housing Preservation and Development inspected the following conditions. No violations were issued. The complaint has been closed.,2023-09-21T00:00:00.000,12 MANHATTAN,1021670010,MANHATTAN,1002655,249803,ONLINE,Unspecified,MANHATTAN,40.852307300334104,-73.93347125287488,"{'latitude': '40.852307300334104', 'longitude': '-73.93347125287488', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,
58867937,2023-09-19T13:08:26.000,2023-09-21T15:06:05.000,HPD,Department of Housing Preservation and Development,DOOR/WINDOW,WINDOW FRAME,RESIDENTIAL BUILDING,10033,644 WEST  185 STREET,WEST  185 STREET,,,,,ADDRESS,NEW YORK,,Closed,The Department of Housing Preservation and Development inspected the following conditions. No violations were issued. The complaint has been closed.,2023-09-21T00:00:00.000,12 MANHATTAN,1021670010,MANHATTAN,1002655,249803,ONLINE,Unspecified,MANHATTAN,40.852307300334104,-73.93347125287488,"{'latitude': '40.852307300334104', 'longitude': '-73.93347125287488', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,
58860169,2023-09-19T13:08:26.000,2023-09-21T15:06:06.000,HPD,Department of Housing Preservation and Development,PLUMBING,STEAM PIPE/RISER,RESIDENTIAL BUILDING,10033,644 WEST  185 STREET,WEST  185 STREET,,,,,ADDRESS,NEW YORK,,Closed,The Department of Housing Preservation and Development inspected the following conditions. No violations were issued. The complaint has been closed.,2023-09-21T00:00:00.000,12 MANHATTAN,1021670010,MANHATTAN,1002655,249803,ONLINE,Unspecified,MANHATTAN,40.852307300334104,-73.93347125287488,"{'latitude': '40.852307300334104', 'longitude': '-73.93347125287488', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,
58863946,2023-09-19T13:08:26.000,2023-09-21T15:06:06.000,HPD,Department of Housing Preservation and Development,PAINT/PLASTER,WALL,RESIDENTIAL BUILDING,10033,644 WEST  185 STREET,WEST  185 STREET,,,,,ADDRESS,NEW YORK,,Closed,The Department of Housing Preservation and Development inspected the following conditions. No violations were issued. The complaint has been closed.,2023-09-21T00:00:00.000,12 MANHATTAN,1021670010,MANHATTAN,1002655,249803,ONLINE,Unspecified,MANHATTAN,40.852307300334104,-73.93347125287488,"{'latitude': '40.852307300334104', 'longitude': '-73.93347125287488', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,
58861188,2023-09-19T13:08:19.000,2023-09-19T18:57:19.000,NYPD,New York City Police Department,Illegal Parking,Blocked Sidewalk,Street/Sidewalk,11221,791 BUSHWICK AVENUE,BUSHWICK AVENUE,DODWORTH STREET,DEKALB AVENUE,DODWORTH STREET,DEKALB AVENUE,ADDRESS,BROOKLYN,BUSHWICK AVENUE,Closed,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,2023-09-19T18:57:22.000,04 BROOKLYN,3032310044,BROOKLYN,1004055,192599,ONLINE,Unspecified,BROOKLYN,40.695294375694054,-73.92857925110687,"{'latitude': '40.695294375694054', 'longitude': '-73.92857925110687', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,
58862414,2023-09-19T13:08:17.000,,DOHMH,Department of Health and Mental Hygiene,Unsanitary Pigeon Condition,Pigeon Waste,Commercial Building,10309,AMBOY ROAD,AMBOY ROAD,AMBOY ROAD,SEGUINE AVENUE,AMBOY ROAD,SEGUINE AVENUE,INTERSECTION,,,In Progress,,,03 STATEN ISLAND,,STATEN ISLAND,928225,131074,PHONE,Unspecified,STATEN ISLAND,40.52626623027633,-74.20152648617247,"{'latitude': '40.52626623027633', 'longitude': '-74.20152648617247', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,
58861199,2023-09-19T13:08:16.000,2023-09-19T13:47:51.000,NYPD,New York City Police Department,Illegal Parking,Blocked Sidewalk,Street/Sidewalk,11373,95-01 43 AVENUE,43 AVENUE,95 STREET,JUNCTION BOULEVARD,95 STREET,JUNCTION BOULEVARD,ADDRESS,ELMHURST,43 AVENUE,Closed,The Police Department responded to the complaint and determined that police action was not necessary.,2023-09-19T13:47:56.000,04 QUEENS,4015990062,QUEENS,1020518,210838,PHONE,Unspecified,QUEENS,40.745303822829136,-73.86911220515161,"{'latitude': '40.745303822829136', 'longitude': '-73.86911220515161', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,
58868272,2023-09-19T13:08:14.000,2023-09-19T13:13:05.000,NYPD,New York City Police Department,Illegal Parking,Posted Parking Sign Violation,Street/Sidewalk,10019,438 WEST   52 STREET,WEST   52 STREET,9 AVENUE,10 AVENUE,9 AVENUE,10 AVENUE,ADDRESS,NEW YORK,WEST   52 STREET,Closed,The Police Department responded to the complaint and took action to fix the condition.,2023-09-19T13:13:08.000,04 MANHATTAN,1010610052,MANHATTAN,987232,218072,MOBILE,Unspecified,MANHATTAN,40.76523318058915,-73.98923502669295,"{'latitude': '40.76523318058915', 'longitude': '-73.98923502669295', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,
58860293,2023-09-19T13:08:13.000,2023-09-19T13:42:51.000,NYPD,New York City Police Department,Abandoned Vehicle,With License Plate,Street/Sidewalk,11205,70 KOSCIUSZKO STREET,KOSCIUSZKO STREET,SPENCER COURT,NOSTRAND AVENUE,SPENCER COURT,NOSTRAND AVENUE,ADDRESS,BROOKLYN,KOSCIUSZKO STREET,Closed,The Police Department responded to the complaint and determined that police action was not necessary.,2023-09-19T13:42:48.000,03 BROOKLYN,3017830043,BROOKLYN,997392,190838,MOBILE,Unspecified,BROOKLYN,40.690473241348315,-73.95261077722803,"{'latitude': '40.690473241348315', 'longitude': '-73.95261077722803', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,
