unique_key,created_date,closed_date,agency,agency_name,complaint_type,descriptor,location_type,incident_zip,incident_address,street_name,cross_street_1,cross_street_2,intersection_street_1,intersection_street_2,address_type,city,landmark,status,resolution_description,resolution_action_updated_date,community_board,bbl,borough,x_coordinate_state_plane,y_coordinate_state_plane,open_data_channel_type,park_facility_name,park_borough,latitude,longitude,location,facility_type,bridge_highway_name,bridge_highway_segment,taxi_pick_up_location,bridge_highway_direction,due_date,road_ramp,taxi_company_borough
58883807,2023-09-21T22:42:53.000,2023-09-22T00:02:06.000,DSNY,Department of Sanitation,Vendor Enforcement,Non-Food Vendor,Street,11249,103 NORTH   10 STREET,NORTH   10 STREET,WYTHE AVENUE,BERRY STREET,WYTHE AVENUE,BERRY STREET,ADDRESS,BROOKLYN,NORTH   10 STREET,Closed,N/A,2023-09-22T00:02:10.000,01 BROOKLYN,3022967501,BROOKLYN,995947,201836,PHONE,Unspecified,BROOKLYN,40.720662183580416,-73.95780225091474,"{'latitude': '40.720662183580416', 'longitude': '-73.95780225091474', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,
58885613,2023-09-21T22:42:36.000,2023-09-21T23:11:48.000,NYPD,New York City Police Department,Noise - Residential,Banging/Pounding,Residential Building/House,10467,3176 DECATUR AVENUE,DECATUR AVENUE,EAST  204 STREET,EAST  205 STREET,EAST  204 STREET,EAST  205 STREET,ADDRESS,BRONX,DECATUR AVENUE,Closed,The Police Department responded to the complaint and took action to fix the condition.,2023-09-21T23:11:51.000,07 BRONX,2033530033,BRONX,1018472,257371,ONLINE,Unspecified,BRONX,40.87303201506249,-73.87625879137308,"{'latitude': '40.87303201506249', 'longitude': '-73.87625879137308', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,
58888394,2023-09-21T22:42:28.000,2023-09-21T23:17:03.000,NYPD,New York City Police Department,Noise - Vehicle,Car/Truck Music,Street/Sidewalk,11207,333 GEORGIA AVENUE,GEORGIA AVENUE,SUTTER AVENUE,BLAKE AVENUE,SUTTER AVENUE,BLAKE AVENUE,ADDRESS,BROOKLYN,GEORGIA AVENUE,Closed,The Police Department responded to the complaint and took action to fix the condition.,2023-09-21T23:17:07.000,05 BROOKLYN,3037700001,BROOKLYN,1012838,182860,ONLINE,Unspecified,BROOKLYN,40.66853904068325,-73.89694735727659,"{'latitude': '40.66853904068325', 'longitude': '-73.89694735727659', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,
58888242,2023-09-21T22:42:11.000,2023-09-21T22:56:12.000,NYPD,New York City Police Department,Noise - Commercial,Loud Music/Party,Club/Bar/Restaurant,10004,58 STONE STREET,STONE STREET,COENTIES ALLEY,MILL LANE,COENTIES ALLEY,MILL LANE,ADDRESS,NEW YORK,STONE STREET,Closed,The Police Department responded to the complaint and took action to fix the condition.,2023-09-21T22:56:16.000,01 MANHATTAN,1000290029,MANHATTAN,981432,195926,ONLINE,Unspecified,MANHATTAN,40.70444792543079,-74.01016365988858,"{'latitude': '40.70444792543079', 'longitude': '-74.01016365988858', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,
58890830,2023-09-21T22:41:54.000,2023-09-21T23:10:47.000,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,Residential Building/House,10030,330 WEST  141 STREET,WEST  141 STREET,EDGECOMBE AVENUE,ST NICHOLAS AVENUE,EDGECOMBE AVENUE,ST NICHOLAS AVENUE,ADDRESS,NEW YORK,WEST  141 STREET,Closed,The Police Department responded to the complaint and took action to fix the condition.,2023-09-21T23:10:51.000,10 MANHATTAN,1020480040,MANHATTAN,999374,238376,MOBILE,Unspecified,MANHATTAN,40.82094973055104,-73.94535688090521,"{'latitude': '40.82094973055104', 'longitude': '-73.94535688090521', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,
58884897,2023-09-21T22:41:52.000,2023-09-22T02:03:13.000,NYPD,New York City Police Department,Illegal Parking,Posted Parking Sign Violation,Street/Sidewalk,11435,147-37 CHARTER ROAD,CHARTER ROAD,VILLAGE ROAD,150 STREET,VILLAGE ROAD,150 STREET,ADDRESS,JAMAICA,CHARTER ROAD,Closed,The Police Department responded to the complaint and determined that police action was not necessary.,2023-09-22T02:03:19.000,08 QUEENS,4067150002,QUEENS,1036112,200893,ONLINE,Unspecified,QUEENS,40.717929595772354,-73.81291172806417,"{'latitude': '40.717929595772354', 'longitude': '-73.81291172806417', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,
58888326,2023-09-21T22:41:38.000,2023-09-21T23:16:12.000,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,Residential Building/House,10469,2705 COLDEN AVENUE,COLDEN AVENUE,ALLERTON AVENUE,ARNOW AVENUE,ALLERTON AVENUE,ARNOW AVENUE,ADDRESS,BRONX,COLDEN AVENUE,Closed,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,2023-09-21T23:16:16.000,11 BRONX,2045160048,BRONX,1023080,254771,ONLINE,Unspecified,BRONX,40.865876749100075,-73.85961210343733,"{'latitude': '40.865876749100075', 'longitude': '-73.85961210343733', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,
58887033,2023-09-21T22:41:34.000,2023-09-21T23:09:03.000,NYPD,New York City Police Department,Noise - Street/Sidewalk,Loud Music/Party,Street/Sidewalk,10034,165 SHERMAN AVENUE,SHERMAN AVENUE,ACADEMY STREET,WEST  204 STREET,ACADEMY STREET,WEST  204 STREET,ADDRESS,NEW YORK,SHERMAN AVENUE,Closed,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,2023-09-21T23:09:09.000,12 MANHATTAN,1022210011,MANHATTAN,1005613,254344,ONLINE,Unspecified,MANHATTAN,40.86476431663921,-73.92276447154296,"{'latitude': '40.86476431663921', 'longitude': '-73.92276447154296', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,
58884310,2023-09-21T22:41:34.000,2023-09-21T22:44:27.000,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,Residential Building/House,10016,201 EAST   30 STREET,EAST   30 STREET,3 AVENUE,2 AVENUE,3 AVENUE,2 AVENUE,ADDRESS,NEW YORK,EAST   30 STREET,Closed,The Police Department responded to the complaint and determined that police action was not necessary.,2023-09-21T22:44:33.000,06 MANHATTAN,1009110001,MANHATTAN,989866,210016,ONLINE,Unspecified,MANHATTAN,40.74312022646331,-73.97973305676466,"{'latitude': '40.74312022646331', 'longitude': '-73.97973305676466', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,
58885060,2023-09-21T22:41:28.000,2023-10-10T11:01:18.000,DSNY,Department of Sanitation,Litter Basket Request,New Basket,Sidewalk,10014,501 HUDSON STREET,HUDSON STREET,CHRISTOPHER STREET,WEST   10 STREET,CHRISTOPHER STREET,WEST   10 STREET,ADDRESS,NEW YORK,HUDSON STREET,Closed,A Litter Basket was placed at the location.,2023-09-23T13:25:04.000,02 MANHATTAN,1006300048,MANHATTAN,982476,206386,ONLINE,Unspecified,MANHATTAN,40.73315838094328,-74.00640102954736,"{'latitude': '40.73315838094328', 'longitude': '-74.00640102954736', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,
58881896,2023-09-21T22:41:22.000,2023-09-24T11:16:15.000,HPD,Department of Housing Preservation and Development,HEAT/HOT WATER,ENTIRE BUILDING,RESIDENTIAL BUILDING,10461,1870 HOBART AVENUE,HOBART AVENUE,,,,,ADDRESS,BRONX,,Closed,The complaint you filed is a duplicate of a condition already reported by another tenant for a building-wide condition. The original complaint is still open. HPD may attempt to contact you to verify the correction of the condition or may conduct an inspection of your unit if the original complainant is not available for verification.,2023-09-24T00:00:00.000,10 BRONX,2041950010,BRONX,1030911,248609,ONLINE,Unspecified,BRONX,40.848926015095934,-73.83134247825568,"{'latitude': '40.848926015095934', 'longitude': '-73.83134247825568', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,
58890121,2023-09-21T22:41:15.000,2023-09-22T03:42:04.000,NYPD,New York City Police Department,Illegal Parking,Blocked Sidewalk,Street/Sidewalk,11226,213 EAST   29 STREET,EAST   29 STREET,BEVERLEY ROAD,CORTELYOU ROAD,BEVERLEY ROAD,CORTELYOU ROAD,ADDRESS,BROOKLYN,EAST   29 STREET,Closed,The Police Department responded and upon arrival those responsible for the condition were gone.,2023-09-22T03:42:12.000,17 BROOKLYN,3051730069,BROOKLYN,998157,174174,MOBILE,Unspecified,BROOKLYN,40.64473311212905,-73.94988661250912,"{'latitude': '40.64473311212905', 'longitude': '-73.94988661250912', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,
58888241,2023-09-21T22:41:10.000,2023-09-21T23:12:25.000,NYPD,New York City Police Department,Noise - Commercial,Loud Music/Party,Club/Bar/Restaurant,11206,253 BUSHWICK AVENUE,BUSHWICK AVENUE,MONTROSE AVENUE,JOHNSON AVENUE,MONTROSE AVENUE,JOHNSON AVENUE,ADDRESS,BROOKLYN,BUSHWICK AVENUE,Closed,The Police Department responded to the complaint and determined that police action was not necessary.,2023-09-21T23:12:29.000,01 BROOKLYN,3030640027,BROOKLYN,1000949,196975,ONLINE,Unspecified,BROOKLYN,40.7073118741198,-73.9397692472213,"{'latitude': '40.7073118741198', 'longitude': '-73.9397692472213', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,
58881765,2023-09-21T22:41:09.000,2023-09-21T23:17:42.000,NYPD,New York City Police Department,Noise - Street/Sidewalk,Loud Music/Party,Street/Sidewalk,11101,9-19 40 AVENUE,40 AVENUE,9 STREET,10 STREET,9 STREET,10 STREET,ADDRESS,LONG ISLAND CITY,40 AVENUE,Closed,The Police Department responded and upon arrival those responsible for the condition were gone.,2023-09-21T23:17:46.000,01 QUEENS,4004750001,QUEENS,999526,215153,ONLINE,Unspecified,QUEENS,40.75720858174855,-73.94486051922772,"{'latitude': '40.75720858174855', 'longitude': '-73.94486051922772', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,
58885708,2023-09-21T22:40:31.000,2023-09-21T22:53:37.000,NYPD,New York City Police Department,Noise - Street/Sidewalk,Loud Music/Party,Street/Sidewalk,11225,NOSTRAND AVENUE,NOSTRAND AVENUE,NOSTRAND AVENUE,STERLING STREET,NOSTRAND AVENUE,STERLING STREET,INTERSECTION,,,Closed,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,2023-09-21T22:53:40.000,09 BROOKLYN,,BROOKLYN,997874,180875,ONLINE,Unspecified,BROOKLYN,40.663126330972496,-73.95089285614004,"{'latitude': '40.663126330972496', 'longitude': '-73.95089285614004', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,
58889692,2023-09-21T22:40:07.000,2023-09-21T23:08:34.000,NYPD,New York City Police Department,Noise - Street/Sidewalk,Loud Music/Party,Street/Sidewalk,10034,165 SHERMAN AVENUE,SHERMAN AVENUE,ACADEMY STREET,WEST  204 STREET,ACADEMY STREET,WEST  204 STREET,ADDRESS,NEW YORK,SHERMAN AVENUE,Closed,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,2023-09-21T23:08:39.000,12 MANHATTAN,1022210011,MANHATTAN,1005613,254344,ONLINE,Unspecified,MANHATTAN,40.86476431663921,-73.92276447154296,"{'latitude': '40.86476431663921', 'longitude': '-73.92276447154296', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,
58881652,2023-09-21T22:39:57.000,2023-09-21T22:44:36.000,NYPD,New York City Police Department,Noise - Commercial,Loud Music/Party,Store/Commercial,10457,1791 WEBSTER AVENUE,WEBSTER AVENUE,CARTER AVENUE,WEBSTER AVENUE,CARTER AVENUE,WEBSTER AVENUE,ADDRESS,BRONX,WEBSTER AVENUE,Closed,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,2023-09-21T22:44:40.000,05 BRONX,2028900060,BRONX,1011238,247386,MOBILE,Unspecified,BRONX,40.84565128979029,-73.90245594287677,"{'latitude': '40.84565128979029', 'longitude': '-73.90245594287677', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,
58885015,2023-09-21T22:39:56.000,,DHS,Department of Homeless Services,Homeless Person Assistance,,Store/Commercial,10169,230 PARK AVENUE,PARK AVENUE,EAST 45 STREET,EAST 46 STREET,EAST   45 STREET,EAST   46 STREET,ADDRESS,NEW YORK,PARK AVENUE,Closed,"Based on the information you provided, the Department of Homeless Services has referred this request to the New York City Police Department.",2023-09-22T01:05:56.000,05 MANHATTAN,1013000001,MANHATTAN,990913,214165,MOBILE,Unspecified,MANHATTAN,40.75450745921105,-73.97595054706579,"{'latitude': '40.75450745921105', 'longitude': '-73.97595054706579', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,
58884044,2023-09-21T22:39:36.000,2023-09-21T22:53:16.000,NYPD,New York City Police Department,Illegal Parking,Blocked Sidewalk,Street/Sidewalk,11208,144 LINCOLN AVENUE,LINCOLN AVENUE,ETNA STREET,O'BRIEN PLACE,ETNA STREET,O'BRIEN PLACE,ADDRESS,BROOKLYN,LINCOLN AVENUE,Closed,The Police Department responded to the complaint and determined that police action was not necessary.,2023-09-21T22:53:21.000,05 BROOKLYN,3041210045,BROOKLYN,1020278,189542,PHONE,Unspecified,BROOKLYN,40.686852449859835,-73.87009231839481,"{'latitude': '40.686852449859835', 'longitude': '-73.87009231839481', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,
58886845,2023-09-21T22:39:30.000,2023-09-21T22:43:07.000,NYPD,New York City Police Department,Blocked Driveway,Partial Access,Street/Sidewalk,11226,25 ST PAULS PLACE,ST PAULS PLACE,WOODRUFF AVENUE,CROOKE AVENUE,WOODRUFF AVENUE,CROOKE AVENUE,ADDRESS,BROOKLYN,ST PAULS PLACE,Closed,The Police Department responded to the complaint and determined that police action was not necessary.,2023-09-21T22:43:13.000,14 BROOKLYN,3050597501,BROOKLYN,994309,177237,ONLINE,Unspecified,BROOKLYN,40.653145588824096,-73.96374817607351,"{'latitude': '40.653145588824096', 'longitude': '-73.96374817607351', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,
58890656,2023-09-21T22:39:29.000,2023-09-21T23:21:13.000,NYPD,New York City Police Department,Noise - Residential,Loud Television,Residential Building/House,11209,9108 COLONIAL ROAD,COLONIAL ROAD,91 STREET,92 STREET,91 STREET,92 STREET,ADDRESS,BROOKLYN,COLONIAL ROAD,Closed,The Police Department responded to the complaint and took action to fix the condition.,2023-09-21T23:21:19.000,10 BROOKLYN,3060830041,BROOKLYN,973728,165575,ONLINE,Unspecified,BROOKLYN,40.62113535034136,-74.03790225295022,"{'latitude': '40.62113535034136', 'longitude': '-74.03790225295022', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,
58888029,2023-09-21T22:39:29.000,2023-09-22T01:21:43.000,NYPD,New York City Police Department,Illegal Parking,Commercial Overnight Parking,Street/Sidewalk,11204,2148 72 STREET,72 STREET,21 AVENUE,BAY PARKWAY,21 AVENUE,BAY PARKWAY,ADDRESS,BROOKLYN,72 STREET,Closed,The Police Department responded to the complaint and determined that police action was not necessary.,2023-09-22T01:21:50.000,11 BROOKLYN,3061970023,BROOKLYN,987947,161722,MOBILE,Unspecified,BROOKLYN,40.61056513982001,-73.98668480911876,"{'latitude': '40.61056513982001', 'longitude': '-73.98668480911876', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,
58884915,2023-09-21T22:39:06.000,2023-09-22T02:23:41.000,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,Residential Building/House,10468,2829 SEDGWICK AVENUE,SEDGWICK AVENUE,WEST  197 STREET,WEST  229 STREET,WEST  197 STREET,WEST  229 STREET,ADDRESS,BRONX,SEDGWICK AVENUE,Closed,The Police Department responded to the complaint but officers were unable to gain entry into the premises.,2023-09-22T02:23:46.000,08 BRONX,2032530099,BRONX,1011365,257383,MOBILE,Unspecified,BRONX,40.87308964533921,-73.90195647932322,"{'latitude': '40.87308964533921', 'longitude': '-73.90195647932322', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,
58888167,2023-09-21T22:38:54.000,2023-09-21T23:15:43.000,NYPD,New York City Police Department,Blocked Driveway,Partial Access,Street/Sidewalk,10457,3821 3 AVENUE,3 AVENUE,EAST  171 STREET,CLAREMONT PARKWAY,EAST  171 STREET,CLAREMONT PARKWAY,ADDRESS,BRONX,3 AVENUE,Closed,The Police Department issued a summons in response to the complaint.,2023-09-21T23:15:49.000,03 BRONX,2029120140,BRONX,1011505,244522,PHONE,Unspecified,BRONX,40.83778963082752,-73.90150255202727,"{'latitude': '40.83778963082752', 'longitude': '-73.90150255202727', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,
58882737,2023-09-21T22:38:50.000,2023-09-21T23:14:35.000,NYPD,New York City Police Department,Illegal Parking,Blocked Hydrant,Street/Sidewalk,11234,1535 EAST   32 STREET,EAST   32 STREET,EAST   31 STREET,AVENUE P,EAST   31 STREET,AVENUE P,ADDRESS,BROOKLYN,EAST   32 STREET,Closed,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,2023-09-21T23:14:39.000,18 BROOKLYN,3076940022,BROOKLYN,1000206,163470,MOBILE,Unspecified,BROOKLYN,40.61534944364019,-73.9425284210727,"{'latitude': '40.61534944364019', 'longitude': '-73.9425284210727', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,
58891389,2023-09-21T22:38:48.000,2023-09-22T03:05:57.000,NYPD,New York City Police Department,Illegal Parking,Blocked Hydrant,Street/Sidewalk,11103,32-34 44 STREET,44 STREET,BROADWAY,34 AVENUE,BROADWAY,34 AVENUE,ADDRESS,ASTORIA,44 STREET,Closed,The Police Department responded and upon arrival those responsible for the condition were gone.,2023-09-22T03:06:01.000,01 QUEENS,4006910054,QUEENS,1007366,214922,MOBILE,Unspecified,QUEENS,40.75655752470631,-73.91656245823343,"{'latitude': '40.75655752470631', 'longitude': '-73.91656245823343', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,
58887034,2023-09-21T22:38:35.000,2023-09-21T23:09:51.000,NYPD,New York City Police Department,Noise - Street/Sidewalk,Loud Music/Party,Street/Sidewalk,10013,148 MULBERRY STREET,MULBERRY STREET,HESTER STREET,GRAND STREET,HESTER STREET,GRAND STREET,ADDRESS,NEW YORK,MULBERRY STREET,Closed,The Police Department responded to the complaint and took action to fix the condition.,2023-09-21T23:09:56.000,02 MANHATTAN,1002370012,MANHATTAN,984950,201204,ONLINE,Unspecified,MANHATTAN,40.71893520107021,-73.99747476636496,"{'latitude': '40.71893520107021', 'longitude': '-73.99747476636496', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,
58887146,2023-09-21T22:38:21.000,2023-09-24T11:16:15.000,HPD,Department of Housing Preservation and Development,HEAT/HOT WATER,ENTIRE BUILDING,RESIDENTIAL BUILDING,10461,1870 HOBART AVENUE,HOBART AVENUE,,,,,ADDRESS,BRONX,,Closed,"The Department of Housing Preservation and Development responded to a complaint of no heat or hot water and was advised by a tenant in the building that heat and hot water had been restored. If the condition still exists, please file a new complaint.",2023-09-24T00:00:00.000,10 BRONX,2041950010,BRONX,1030911,248609,ONLINE,Unspecified,BRONX,40.848926015095934,-73.83134247825568,"{'latitude': '40.848926015095934', 'longitude': '-73.83134247825568', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,
