unique_key,created_date,closed_date,agency,agency_name,complaint_type,descriptor,location_type,incident_zip,incident_address,street_name,address_type,city,status,resolution_description,resolution_action_updated_date,community_board,bbl,borough,x_coordinate_state_plane,y_coordinate_state_plane,open_data_channel_type,park_facility_name,park_borough,latitude,longitude,location,bridge_highway_name,bridge_highway_direction,bridge_highway_segment,intersection_street_1,intersection_street_2,cross_street_1,cross_street_2,landmark,facility_type,taxi_pick_up_location,vehicle_type,taxi_company_borough,due_date,road_ramp
58918948,2023-09-25T11:51:17.000,2023-09-25T13:12:40.000,NYPD,New York City Police Department,Illegal Parking,Double Parked Blocking Traffic,Street/Sidewalk,11217,131 FORT GREENE PLACE,FORT GREENE PLACE,ADDRESS,BROOKLYN,Closed,The Police Department responded to the complaint and took action to fix the condition.,2023-09-25T13:12:43.000,02 BROOKLYN,3021130009,BROOKLYN,990817,189190,MOBILE,Unspecified,BROOKLYN,40.68595718075608,-73.97632141698018,"{'latitude': '40.68595718075608', 'longitude': '-73.97632141698018', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,LAFAYETTE AVENUE,HANSON PLACE,LAFAYETTE AVENUE,HANSON PLACE,FORT GREENE PLACE,,,,,,
58928875,2023-09-25T11:51:09.000,2023-10-31T05:10:51.000,DOT,Department of Transportation,Broken Parking Meter,No Receipt,Street,10463,JOHNSON AVENUE,JOHNSON AVENUE,BLOCKFACE,,Closed,The Department of Transportation has completed the request or corrected the condition.,2023-10-31T05:10:55.000,Unspecified BRONX,,BRONX,1009128,261830,PHONE,Unspecified,BRONX,40.88530186317001,-73.91002859358409,"{'latitude': '40.88530186317001', 'longitude': '-73.91002859358409', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,CAMBRIDGE AVENUE,WEST  235 STREET,CAMBRIDGE AVENUE,WEST  235 STREET,,,,,,,
58920725,2023-09-25T11:51:02.000,,DPR,Department of Parks and Recreation,Root/Sewer/Sidewalk Condition,Trees and Sidewalks Program,Street,11357,160-38 24 ROAD,24 ROAD,ADDRESS,WHITESTONE,In Progress,,,07 QUEENS,4048830024,QUEENS,1038719,221897,PHONE,Unspecified,QUEENS,40.77556448847131,-73.80333709175765,"{'latitude': '40.77556448847131', 'longitude': '-73.80333709175765', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,160 STREET,163 STREET,160 STREET,163 STREET,24 ROAD,,,,,,
58923364,2023-09-25T11:50:00.000,2023-09-25T12:30:00.000,DEP,Department of Environmental Protection,Sewer,Sewer Backup (Use Comments) (SA),,11216,853 PROSPECT PLACE,PROSPECT PLACE,ADDRESS,BROOKLYN,Closed,The Department of Environmental Protection investigated this complaint and found there was no sewer back up in the city system at the time of the inspection.,2023-09-25T12:30:00.000,08 BROOKLYN,3012270055,BROOKLYN,998580,184919,PHONE,Unspecified,BROOKLYN,40.674225092522576,-73.94833951249696,"{'latitude': '40.674225092522576', 'longitude': '-73.94833951249696', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,NOSTRAND AVE,NEW YORK AVE,,,,,,,
58917746,2023-09-25T11:50:00.000,2023-09-25T13:30:00.000,DEP,Department of Environmental Protection,Sewer,Catch Basin Sunken/Damaged/Raised (SC1),,11378,,,INTERSECTION,QUEENS,Closed,"The Department of Environment Protection inspected your complaint but could not find the problem you reported. If the condition persists, please call 311 (or 212-639-9675 if calling from a non-New York City area code) with more detailed information to submit a new complaint.",2023-09-25T13:30:00.000,02 QUEENS,,QUEENS,1006986,204700,PHONE,Unspecified,QUEENS,40.728501681985875,-73.9179686250886,"{'latitude': '40.728501681985875', 'longitude': '-73.9179686250886', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,55 AVENUE,50 STREET,,,,,,,,,
58925287,2023-09-25T11:49:54.000,2023-09-25T11:49:54.000,DOHMH,Department of Health and Mental Hygiene,Rodent,Rat Sighting,3+ Family Apt. Building,11207,2156 LINDEN BOULEVARD,LINDEN BOULEVARD,ADDRESS,BROOKLYN,Closed,The Department of Health and Mental Hygiene found violations on the property you reported. Follow-up inspections will be scheduled.,2023-09-25T11:49:54.000,05 BROOKLYN,3043550001,BROOKLYN,1016679,180410,PHONE,Unspecified,BROOKLYN,40.66180110434489,-73.88311330593771,"{'latitude': '40.66180110434489', 'longitude': '-73.88311330593771', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,BARBEY STREET,JEROME STREET,BARBEY STREET,JEROME STREET,LINDEN BOULEVARD,,,,,,
58919659,2023-09-25T11:49:50.000,2023-09-25T12:57:05.000,NYPD,New York City Police Department,Non-Emergency Police Matter,Other (complaint details),Residential Building/House,11233,2185 PACIFIC STREET,PACIFIC STREET,ADDRESS,BROOKLYN,Closed,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,2023-09-25T12:57:13.000,16 BROOKLYN,3014330043,BROOKLYN,1008052,185470,PHONE,Unspecified,BROOKLYN,40.67571706277107,-73.91419047056506,"{'latitude': '40.67571706277107', 'longitude': '-73.91419047056506', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,SARATOGA AVENUE,THOMAS S BOYLAND STREET,SARATOGA AVENUE,THOMAS S BOYLAND STREET,PACIFIC STREET,,,,,,
58923206,2023-09-25T11:49:30.000,2023-09-27T15:30:26.000,DSNY,Department of Sanitation,Missed Collection,Recycling - Metal/Glass/Rigid Plastic,Street,11206,31 DEBEVOISE STREET,DEBEVOISE STREET,ADDRESS,BROOKLYN,Closed,The Department of Sanitation collected the requested items.,2023-09-26T14:21:45.000,01 BROOKLYN,3031207501,BROOKLYN,1000422,194930,ONLINE,Unspecified,BROOKLYN,40.701699810381555,-73.94167496666226,"{'latitude': '40.701699810381555', 'longitude': '-73.94167496666226', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,GRAHAM AVENUE,HUMBOLDT STREET,GRAHAM AVENUE,HUMBOLDT STREET,DEBEVOISE STREET,,,,,,
58917772,2023-09-25T11:49:15.000,2023-09-29T00:00:00.000,DOB,Department of Buildings,General Construction/Plumbing,Building Permit - None,,11209,152 73 STREET,73 STREET,ADDRESS,BROOKLYN,Closed,The Department of Buildings investigated this complaint and determined that no further action was necessary.,2023-09-29T00:00:00.000,10 BROOKLYN,3059160019,BROOKLYN,975467,170216,UNKNOWN,Unspecified,BROOKLYN,40.6338758129582,-74.03164408273823,"{'latitude': '40.6338758129582', 'longitude': '-74.03164408273823', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,,N/A,,,,,
58916777,2023-09-25T11:49:14.000,2023-10-02T00:00:00.000,DOB,Department of Buildings,Plumbing,Sprinkler System - Inadequate,,11232,4473 1 AVENUE,1 AVENUE,ADDRESS,BROOKLYN,Closed,The Department of Buildings investigated this complaint and determined that no further action was necessary.,2023-10-02T00:00:00.000,07 BROOKLYN,3007350020,BROOKLYN,979750,177257,UNKNOWN,Unspecified,BROOKLYN,40.653205054193386,-74.01621765079541,"{'latitude': '40.653205054193386', 'longitude': '-74.01621765079541', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,,,,,,,
58916854,2023-09-25T11:49:04.000,2023-09-25T13:14:13.000,DPR,Department of Parks and Recreation,Damaged Tree,Branch or Limb Has Fallen Down,Street,10314,124 DICKIE AVENUE,DICKIE AVENUE,ADDRESS,STATEN ISLAND,Closed,"NYC Parks created a work order for the tree condition.  Please note that addressing this work can take up to a year or more depending on the higher priority work identified during this period and resources available to address this work.    NYC Parks work priority categories range from Category A through D, with A being the most critical and time-sensitive. We will complete all work in Category A first and address work in lower priority categories in accordance with available resources. For more information about the Tree Risk Management Program, visit the NYC Urban Forest page on the NYC Parks website at nyc.gov/parks/trees.   Alternatively, you may choose complete the work yourself by hiring an independent contractor. The contractor must complete a Tree Work Permit application on the NYC Parks website at nyc.gov/parks/trees.",2023-09-25T13:14:18.000,01 STATEN ISLAND,5004120019,STATEN ISLAND,946234,165559,PHONE,Unspecified,STATEN ISLAND,40.621016119807685,-74.13694069722804,"{'latitude': '40.621016119807685', 'longitude': '-74.13694069722804', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,COLLEGE AVENUE,MAINE AVENUE,COLLEGE AVENUE,MAINE AVENUE,DICKIE AVENUE,,,,,,
58920163,2023-09-25T11:49:00.000,2023-09-20T11:49:00.000,DOT,Department of Transportation,Street Light Condition,Street Light Out,,,CLEARVIEW EXPY,CLEARVIEW EXPY,BLOCKFACE,,Pending,"Service Request status for this request is available on the Department of Transportation's website. Please click the ""Learn More"" link below.",2023-09-20T11:49:00.000,Unspecified QUEENS,,QUEENS,,,UNKNOWN,Unspecified,QUEENS,,,,,,,,,35 AVE,,,,,,,,
58919060,2023-09-25T11:49:00.000,2023-09-25T14:00:00.000,DOT,Department of Transportation,Traffic Signal Condition,Pedestrian Signal,,11104,,,INTERSECTION,QUEENS,Closed,Service Request status for this request is available on the Department of Transportationâs website. Please click the âLearn Moreâ link below.,2023-09-25T14:00:00.000,02 QUEENS,,QUEENS,1006778,210039,UNKNOWN,Unspecified,QUEENS,40.7431564450354,-73.91870120960044,"{'latitude': '40.7431564450354', 'longitude': '-73.91870120960044', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,QUEENS BOULEVARD,46 STREET,,,,N/A,,,,,
58921370,2023-09-25T11:49:00.000,2023-09-25T13:05:00.000,DOT,Department of Transportation,Traffic Signal Condition,Controller Cabinet,,10312,,,INTERSECTION,STATEN ISLAND,Closed,Service Request status for this request is available on the Department of Transportationâs website. Please click the âLearn Moreâ link below.,2023-09-25T13:05:00.000,02 STATEN ISLAND,,STATEN ISLAND,937062,143743,UNKNOWN,Unspecified,STATEN ISLAND,40.56109157965003,-74.16982751543821,"{'latitude': '40.56109157965003', 'longitude': '-74.16982751543821', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,RICHMOND AVENUE,ARTHUR KILL ROAD,,,,N/A,,,,,
58923642,2023-09-25T11:49:00.000,2023-10-05T11:49:00.000,DOT,Department of Transportation,Street Light Condition,Street Light Out,,,BELT PKWY,BELT PKWY,BLOCKFACE,,Closed,Service Request status for this request is available on the Department of Transportationâs website. Please click the âLearn Moreâ link below.,2023-10-05T11:49:00.000,Unspecified BROOKLYN,,BROOKLYN,,,UNKNOWN,Unspecified,BROOKLYN,,,,,,,,,INDEPENDENCE AVE,,,,,,,,
58921397,2023-09-25T11:48:57.000,2023-09-25T12:13:07.000,NYPD,New York City Police Department,Noise - Residential,Banging/Pounding,Residential Building/House,11229,3012 AVENUE W,AVENUE W,ADDRESS,BROOKLYN,Closed,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,2023-09-25T12:13:12.000,15 BROOKLYN,3074080001,BROOKLYN,1001538,156521,ONLINE,Unspecified,BROOKLYN,40.59627336370729,-73.93774850732719,"{'latitude': '40.59627336370729', 'longitude': '-73.93774850732719', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,BATCHELDER STREET,BRAGG STREET,BATCHELDER STREET,BRAGG STREET,AVENUE W,,,,,,
59009618,2023-09-25T11:48:40.000,2023-11-14T14:28:20.000,DOE,Department of Education,School Maintenance,Other School Condition,School,10003,331 EAST   15 STREET,EAST   15 STREET,ADDRESS,NEW YORK,Closed,The Department of Education completed the work and corrected the condition.,2023-11-14T14:28:23.000,06 MANHATTAN,1009220008,MANHATTAN,988901,206156,ONLINE,Unspecified,MANHATTAN,40.73252604252034,-73.98321820402269,"{'latitude': '40.73252604252034', 'longitude': '-73.98321820402269', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,NATHAN D PERLMAN PLACE,1 AVENUE,NATHAN D PERLMAN PLACE,1 AVENUE,EAST   15 STREET,,,,,,
58921877,2023-09-25T11:48:36.000,2023-11-14T12:08:52.000,DPR,Department of Parks and Recreation,Dead/Dying Tree,Planted Less Than 2 Years Ago,Street,10314,57 SANFORD PLACE,SANFORD PLACE,ADDRESS,STATEN ISLAND,Closed,"NYC Parks created a work order for the tree condition.  Please note that addressing this work can take up to a year or more depending on the higher priority work identified during this period and resources available to address this work.    NYC Parks work priority categories range from Category A through D, with A being the most critical and time-sensitive. We will complete all work in Category A first and address work in lower priority categories in accordance with available resources. For more information about the Tree Risk Management Program, visit the NYC Urban Forest page on the NYC Parks website at nyc.gov/parks/trees.   Alternatively, you may choose complete the work yourself by hiring an independent contractor. The contractor must complete a Tree Work Permit application on the NYC Parks website at nyc.gov/parks/trees.",2023-11-14T12:08:56.000,01 STATEN ISLAND,5003290005,STATEN ISLAND,951961,163357,PHONE,Unspecified,STATEN ISLAND,40.61499481542238,-74.1163004741538,"{'latitude': '40.61499481542238', 'longitude': '-74.1163004741538', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,BRENTON PLACE,SLOSSON AVENUE,BRENTON PLACE,SLOSSON AVENUE,SANFORD PLACE,,,,,,
58921346,2023-09-25T11:48:30.000,2023-09-25T12:43:04.000,DPR,Department of Parks and Recreation,Damaged Tree,Branch or Limb Has Fallen Down,Street,11249,120 SOUTH    2 STREET,SOUTH    2 STREET,ADDRESS,BROOKLYN,Closed,"The Service Request submitted did not have sufficient location or complaint information for NYC Parks to respond.  Please submit a new Service Request with adequate site details, including a full street address and descriptive location information.",2023-09-25T12:43:07.000,01 BROOKLYN,3024177501,BROOKLYN,994534,199248,ONLINE,Unspecified,BROOKLYN,40.713560500323354,-73.96290370085248,"{'latitude': '40.713560500323354', 'longitude': '-73.96290370085248', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,BERRY STREET,BEDFORD AVENUE,BERRY STREET,BEDFORD AVENUE,SOUTH    2 STREET,,,,,,
58921155,2023-09-25T11:47:58.000,2023-09-25T17:17:46.000,NYPD,New York City Police Department,Illegal Parking,Blocked Sidewalk,Street/Sidewalk,11356,9-11 125 STREET,125 STREET,ADDRESS,COLLEGE POINT,Closed,The Police Department responded and upon arrival those responsible for the condition were gone.,2023-09-25T17:17:51.000,07 QUEENS,4039730040,QUEENS,1027781,226834,PHONE,Unspecified,QUEENS,40.7891758549116,-73.84279717480631,"{'latitude': '40.7891758549116', 'longitude': '-73.84279717480631', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,9 AVENUE,10 AVENUE,9 AVENUE,10 AVENUE,125 STREET,,,,,,
58920198,2023-09-25T11:47:57.000,2023-09-25T13:28:58.000,NYPD,New York City Police Department,Noise - Residential,Banging/Pounding,Residential Building/House,11375,102-30 QUEENS BOULEVARD,QUEENS BOULEVARD,ADDRESS,FOREST HILLS,Closed,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,2023-09-25T13:29:02.000,06 QUEENS,4031737501,QUEENS,1025568,203636,PHONE,Unspecified,QUEENS,40.725513985000454,-73.85093149470026,"{'latitude': '40.725513985000454', 'longitude': '-73.85093149470026', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,68 AVENUE,68 ROAD,68 AVENUE,68 ROAD,QUEENS BOULEVARD,,,,,,
58923679,2023-09-25T11:47:44.000,2023-09-25T11:56:58.000,NYPD,New York City Police Department,Noise - Residential,Banging/Pounding,Residential Building/House,10027,212 WEST  129 STREET,WEST  129 STREET,ADDRESS,NEW YORK,Closed,The Police Department responded to the complaint and determined that police action was not necessary.,2023-09-25T11:57:01.000,10 MANHATTAN,1019330001,MANHATTAN,999019,234959,PHONE,Unspecified,MANHATTAN,40.81157162558579,-73.9466470174785,"{'latitude': '40.81157162558579', 'longitude': '-73.9466470174785', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,ADAM CLAYTON POWELL JR BOULEVARD,FREDERICK DOUGLASS BOULEVARD,ADAM CLAYTON POWELL JR BOULEVARD,FREDERICK DOUGLASS BOULEVARD,WEST  129 STREET,,,,,,
58918761,2023-09-25T11:47:39.000,2023-09-25T21:03:16.000,DSNY,Department of Sanitation,Commercial Disposal Complaint,Waste Left in Front of Residence,Sidewalk,11223,110 VAN SICKLEN STREET,VAN SICKLEN STREET,ADDRESS,BROOKLYN,Closed,The Department of Sanitation investigated this complaint and found no violation at the location.,2023-09-25T21:03:21.000,11 BROOKLYN,3066780029,BROOKLYN,991373,158525,PHONE,Unspecified,BROOKLYN,40.6017879366397,-73.9743490296603,"{'latitude': '40.6017879366397', 'longitude': '-73.9743490296603', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,LLOYD COURT,AVENUE S,LLOYD COURT,AVENUE S,VAN SICKLEN STREET,,,,,,
58918724,2023-09-25T11:47:08.000,2023-09-25T12:07:00.000,NYPD,New York City Police Department,Illegal Parking,Paper License Plates,Street/Sidewalk,11211,81 DEVOE STREET,DEVOE STREET,ADDRESS,BROOKLYN,Closed,The Police Department responded to the complaint and determined that police action was not necessary.,2023-09-25T12:07:07.000,01 BROOKLYN,3027620021,BROOKLYN,998689,199212,ONLINE,Unspecified,BROOKLYN,40.71345588362353,-73.94791592393616,"{'latitude': '40.71345588362353', 'longitude': '-73.94791592393616', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,LORIMER STREET,LEONARD STREET,LORIMER STREET,LEONARD STREET,DEVOE STREET,,,,,,
58916864,2023-09-25T11:47:05.000,2023-09-25T12:26:54.000,TLC,Taxi and Limousine Commission,Lost Property,Other,Taxi,11430,JFK,JFK,UNRECOGNIZED,JAMAICA,Closed,See notes for information.,2023-09-25T12:26:57.000,83 QUEENS,4142600001,QUEENS,1043001,175548,UNKNOWN,Unspecified,QUEENS,40.64832048620134,-73.78828125130184,"{'latitude': '40.64832048620134', 'longitude': '-73.78828125130184', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,BEND,AIRTRAIN-HOWARD BCH/JAMAICA LINE,BEND,AIRTRAIN-HOWARD BCH/JAMAICA LINE,JOHN F KENNEDY AIRPORT,,"JOHN F KENNEDY AIRPORT, QUEENS (JAMAICA) ,NY, 11430",,,,
58923640,2023-09-25T11:47:00.000,2023-09-20T11:47:00.000,DOT,Department of Transportation,Street Light Condition,Multiple Street Lights Out,,,CLEARVIEW EXPY,CLEARVIEW EXPY,BLOCKFACE,,Pending,"Service Request status for this request is available on the Department of Transportation's website. Please click the ""Learn More"" link below.",2023-09-20T11:47:00.000,Unspecified QUEENS,,QUEENS,,,UNKNOWN,Unspecified,QUEENS,,,,,,,,,35 AVE,,,,,,,,
