unique_key,created_date,closed_date,agency,agency_name,complaint_type,descriptor,location_type,status,resolution_description,resolution_action_updated_date,community_board,borough,x_coordinate_state_plane,y_coordinate_state_plane,open_data_channel_type,park_facility_name,park_borough,bridge_highway_name,bridge_highway_segment,latitude,longitude,location,incident_zip,incident_address,street_name,cross_street_1,cross_street_2,intersection_street_1,intersection_street_2,address_type,city,landmark,bbl,facility_type,due_date,taxi_pick_up_location
58906448,2023-09-23T23:37:28.000,2023-09-24T00:28:41.000,NYPD,New York City Police Department,Noise - Street/Sidewalk,Loud Music/Party,Street/Sidewalk,Closed,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,2023-09-24T00:28:47.000,17 BROOKLYN,BROOKLYN,997828,178044,MOBILE,Unspecified,BROOKLYN,,,40.65535593070498,-73.95106436172432,"{'latitude': '40.65535593070498', 'longitude': '-73.95106436172432', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",11226,270 CLARKSON AVENUE,CLARKSON AVENUE,ROGERS AVENUE,NOSTRAND AVENUE,ROGERS AVENUE,NOSTRAND AVENUE,ADDRESS,BROOKLYN,CLARKSON AVENUE,3050660039,,,
58905679,2023-09-23T23:37:21.000,2023-09-24T01:50:13.000,NYPD,New York City Police Department,Noise - Vehicle,Car/Truck Horn,Street/Sidewalk,Closed,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,2023-09-24T01:50:17.000,04 BROOKLYN,BROOKLYN,1004236,195273,PHONE,Unspecified,BROOKLYN,,,40.70263347243155,-73.92791859464346,"{'latitude': '40.70263347243155', 'longitude': '-73.92791859464346', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",11237,231 JEFFERSON STREET,JEFFERSON STREET,WILSON AVENUE,KNICKERBOCKER AVENUE,WILSON AVENUE,KNICKERBOCKER AVENUE,ADDRESS,BROOKLYN,JEFFERSON STREET,3031650050,,,
58907674,2023-09-23T23:37:12.000,2023-09-25T12:04:34.000,DOHMH,Department of Health and Mental Hygiene,Rodent,Rat Sighting,Other (Explain Below),Closed,This service request was closed because the Department of Health and Mental Hygiene received an earlier complaint about the same location.  You can find inspection results for this address by going to the online Rat Portal at www.nyc.gov/rats.,2023-09-23T23:37:12.000,03 BROOKLYN,BROOKLYN,996419,190145,ONLINE,Unspecified,BROOKLYN,,,40.688572507312585,-73.95612060498519,"{'latitude': '40.688572507312585', 'longitude': '-73.95612060498519', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",11216,206 CLIFTON PLACE,CLIFTON PLACE,FRANKLIN AVENUE,BEDFORD AVENUE,FRANKLIN AVENUE,BEDFORD AVENUE,ADDRESS,BROOKLYN,CLIFTON PLACE,3019540012,,,
58906796,2023-09-23T23:37:06.000,2023-09-24T01:32:50.000,NYPD,New York City Police Department,Illegal Parking,Commercial Overnight Parking,Street/Sidewalk,Closed,The Police Department issued a summons in response to the complaint.,2023-09-24T01:32:52.000,12 BROOKLYN,BROOKLYN,991337,165821,MOBILE,Unspecified,BROOKLYN,,,40.62181398263515,-73.97447101376616,"{'latitude': '40.62181398263515', 'longitude': '-73.97447101376616', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",11230,5015 BAY PARKWAY,BAY PARKWAY,EAST    2 STREET,MCDONALD AVENUE,EAST    2 STREET,MCDONALD AVENUE,ADDRESS,BROOKLYN,BAY PARKWAY,3065240040,,,
58909152,2023-09-23T23:37:04.000,2023-10-09T02:02:39.000,HPD,Department of Housing Preservation and Development,ELECTRIC,WIRING,RESIDENTIAL BUILDING,Closed,The Department of Housing Preservation and Development inspected the following conditions. No violations were issued. The complaint has been closed.,2023-10-09T00:00:00.000,09 BROOKLYN,BROOKLYN,995593,180120,PHONE,Unspecified,BROOKLYN,,,40.66105723901385,-73.95911589501321,"{'latitude': '40.66105723901385', 'longitude': '-73.95911589501321', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",11225,101 LINCOLN ROAD,LINCOLN ROAD,,,,,ADDRESS,BROOKLYN,,3013270077,,,
58909162,2023-09-23T23:37:04.000,2023-09-27T14:57:44.000,HPD,Department of Housing Preservation and Development,GENERAL,BELL/BUZZER/INTERCOM,RESIDENTIAL BUILDING,Closed,"The Department of Housing Preservation and Development contacted an occupant of the apartment and verified that the following conditions were corrected. The complaint has been closed. If the condition still exists, please file a new complaint.",2023-09-27T00:00:00.000,09 BROOKLYN,BROOKLYN,995593,180120,PHONE,Unspecified,BROOKLYN,,,40.66105723901385,-73.95911589501321,"{'latitude': '40.66105723901385', 'longitude': '-73.95911589501321', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",11225,101 LINCOLN ROAD,LINCOLN ROAD,,,,,ADDRESS,BROOKLYN,,3013270077,,,
58907637,2023-09-23T23:37:04.000,2023-10-09T02:02:39.000,HPD,Department of Housing Preservation and Development,GENERAL,SIGNAGE MISSING,RESIDENTIAL BUILDING,Closed,The Department of Housing Preservation and Development inspected the following conditions. Violations were issued. Information about specific violations is available at www.nyc.gov/hpd,2023-10-09T00:00:00.000,09 BROOKLYN,BROOKLYN,995593,180120,PHONE,Unspecified,BROOKLYN,,,40.66105723901385,-73.95911589501321,"{'latitude': '40.66105723901385', 'longitude': '-73.95911589501321', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",11225,101 LINCOLN ROAD,LINCOLN ROAD,,,,,ADDRESS,BROOKLYN,,3013270077,,,
58909106,2023-09-23T23:36:26.000,2023-09-24T00:08:13.000,NYPD,New York City Police Department,Noise - Street/Sidewalk,Loud Music/Party,Street/Sidewalk,Closed,The Police Department responded to the complaint and determined that police action was not necessary.,2023-09-24T00:08:17.000,01 BROOKLYN,BROOKLYN,996630,201034,ONLINE,Unspecified,BROOKLYN,,,40.71845995748251,-73.95533975595121,"{'latitude': '40.71845995748251', 'longitude': '-73.95533975595121', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",11211,500 DRIGGS AVENUE,DRIGGS AVENUE,BEDFORD AVENUE,DRIGGS AVENUE,BEDFORD AVENUE,DRIGGS AVENUE,ADDRESS,BROOKLYN,DRIGGS AVENUE,3023050018,,,
58907832,2023-09-23T23:36:25.000,2023-09-24T00:22:43.000,NYPD,New York City Police Department,Illegal Parking,Posted Parking Sign Violation,Street/Sidewalk,Closed,The Police Department responded to the complaint and took action to fix the condition.,2023-09-24T00:22:47.000,10 BROOKLYN,BROOKLYN,981946,167477,ONLINE,Unspecified,BROOKLYN,,,40.62636189091083,-74.0083000975799,"{'latitude': '40.62636189091083', 'longitude': '-74.0083000975799', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",11219,11 AVENUE,11 AVENUE,11 AVENUE,BAY RIDGE AVENUE,11 AVENUE,BAY RIDGE AVENUE,INTERSECTION,,,,,,
58911707,2023-09-23T23:36:15.000,2023-09-25T00:00:00.000,DOB,Department of Buildings,General Construction/Plumbing,Building Shaking/Vibrating/Structural Stability,,Closed,"The Department of Buildings determined that the conditions described in this complaint were addressed under another service request number. Click on ""Learn More"" in the ""Did You Know"" section below for more information.",2023-09-25T00:00:00.000,04 MANHATTAN,MANHATTAN,986331,219371,UNKNOWN,Unspecified,MANHATTAN,,,40.768798856949296,-73.99248722038149,"{'latitude': '40.768798856949296', 'longitude': '-73.99248722038149', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",10019,790 11 AVENUE,11 AVENUE,,,,,ADDRESS,NEW YORK,,1010830001,N/A,,
58907448,2023-09-23T23:36:06.000,2023-09-24T00:52:42.000,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,Residential Building/House,Closed,The Police Department responded to the complaint and took action to fix the condition.,2023-09-24T00:52:50.000,08 BRONX,BRONX,1011202,256628,ONLINE,Unspecified,BRONX,,,40.87101790233987,-73.90254889792364,"{'latitude': '40.87101790233987', 'longitude': '-73.90254889792364', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",10468,2741 SEDGWICK AVENUE,SEDGWICK AVENUE,WEST  195 STREET,WEST  197 STREET,WEST  195 STREET,WEST  197 STREET,ADDRESS,BRONX,SEDGWICK AVENUE,2032530063,,,
58909108,2023-09-23T23:35:45.000,2023-09-24T00:39:58.000,NYPD,New York City Police Department,Noise - Street/Sidewalk,Loud Music/Party,Street/Sidewalk,Closed,The Police Department responded to the complaint and a report was prepared.,2023-09-24T00:40:02.000,04 BRONX,BRONX,1008199,245050,ONLINE,Unspecified,BRONX,,,40.83924842108658,-73.9134482849396,"{'latitude': '40.83924842108658', 'longitude': '-73.9134482849396', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",10456,1420 GRAND CONCOURSE,GRAND CONCOURSE,EAST  170 STREET,EAST  171 STREET,EAST  170 STREET,EAST  171 STREET,ADDRESS,BRONX,GRAND CONCOURSE,2028320008,,,
58906306,2023-09-23T23:35:36.000,2023-09-24T00:00:34.000,NYPD,New York City Police Department,Panhandling,N/A,Store/Commercial,Closed,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,2023-09-24T00:00:40.000,05 MANHATTAN,MANHATTAN,986882,207751,MOBILE,Unspecified,MANHATTAN,,,40.73690475571935,-73.99050256084735,"{'latitude': '40.73690475571935', 'longitude': '-73.99050256084735', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",10003,39 UNION SQUARE WEST,UNION SQUARE WEST,EAST   16 STREET,BROADWAY,EAST   16 STREET,BROADWAY,ADDRESS,NEW YORK,UNION SQUARE WEST,1008440025,,,
58909813,2023-09-23T23:35:22.000,2023-09-24T02:33:13.000,NYPD,New York City Police Department,Blocked Driveway,No Access,Street/Sidewalk,Closed,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,2023-09-24T02:33:17.000,01 STATEN ISLAND,STATEN ISLAND,950487,171543,PHONE,Unspecified,STATEN ISLAND,,,40.63745815074818,-74.12165055687633,"{'latitude': '40.63745815074818', 'longitude': '-74.12165055687633', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",10310,1 BARKER STREET,BARKER STREET,WOODRUFF LANE,TRINITY PLACE,WOODRUFF LANE,TRINITY PLACE,ADDRESS,STATEN ISLAND,BARKER STREET,5001970058,,,
58908049,2023-09-23T23:35:16.000,2023-09-24T00:09:13.000,NYPD,New York City Police Department,Noise - Street/Sidewalk,Loud Music/Party,Street/Sidewalk,Closed,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,2023-09-24T00:09:16.000,04 MANHATTAN,MANHATTAN,987595,216089,ONLINE,Unspecified,MANHATTAN,,,40.75979022599973,-73.98792558913458,"{'latitude': '40.75979022599973', 'longitude': '-73.98792558913458', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",10036,8 AVENUE,8 AVENUE,8 AVENUE,WEST   46 STREET,8 AVENUE,WEST   46 STREET,INTERSECTION,,,,,,
58907559,2023-09-23T23:35:07.000,2023-09-25T20:42:45.000,HPD,Department of Housing Preservation and Development,HEAT/HOT WATER,ENTIRE BUILDING,RESIDENTIAL BUILDING,Closed,The complaint you filed is a duplicate of a condition already reported by another tenant for a building-wide condition. The original complaint is still open. HPD may attempt to contact you to verify the correction of the condition or may conduct an inspection of your unit if the original complainant is not available for verification.,2023-09-25T00:00:00.000,04 BRONX,BRONX,1003936,242233,PHONE,Unspecified,BRONX,,,40.8315271048226,-73.92886303221528,"{'latitude': '40.8315271048226', 'longitude': '-73.92886303221528', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",10452,957 WOODYCREST AVENUE,WOODYCREST AVENUE,,,,,ADDRESS,BRONX,,2025110068,,,
