unique_key,created_date,closed_date,agency,agency_name,complaint_type,descriptor,location_type,incident_zip,incident_address,street_name,cross_street_1,cross_street_2,intersection_street_1,intersection_street_2,address_type,city,landmark,status,resolution_description,resolution_action_updated_date,community_board,bbl,borough,x_coordinate_state_plane,y_coordinate_state_plane,open_data_channel_type,park_facility_name,park_borough,latitude,longitude,location,facility_type,taxi_pick_up_location,bridge_highway_name,bridge_highway_segment,bridge_highway_direction,road_ramp,taxi_company_borough,due_date
58917099,2023-09-25T20:55:29.000,2023-09-26T19:16:52.000,HPD,Department of Housing Preservation and Development,PAINT/PLASTER,CEILING,RESIDENTIAL BUILDING,11207,2158 PITKIN AVENUE,PITKIN AVENUE,,,,,ADDRESS,BROOKLYN,,Closed,The Department of Housing Preservation and Development inspected the following conditions. No violations were issued. The complaint has been closed.,2023-09-26T00:00:00.000,05 BROOKLYN,3037410018,BROOKLYN,1013985,184246,ONLINE,Unspecified,BROOKLYN,40.67233951986064,-73.89280659721143,"{'latitude': '40.67233951986064', 'longitude': '-73.89280659721143', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,
58924774,2023-09-25T20:55:22.000,2023-09-25T21:11:52.000,NYPD,New York City Police Department,Noise - Residential,Banging/Pounding,Residential Building/House,10462,2075 ST RAYMOND AVENUE,ST RAYMOND AVENUE,OLMSTEAD AVENUE,ODELL STREET,OLMSTEAD AVENUE,ODELL STREET,ADDRESS,BRONX,ST RAYMOND AVENUE,Closed,The Police Department responded to the complaint and determined that police action was not necessary.,2023-09-25T21:11:57.000,09 BRONX,2039437501,BRONX,1024349,244438,PHONE,Unspecified,BRONX,40.83751009555891,-73.85508590936654,"{'latitude': '40.83751009555891', 'longitude': '-73.85508590936654', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,
58924793,2023-09-25T20:55:18.000,2023-09-25T21:06:44.000,NYPD,New York City Police Department,Noise - Residential,Banging/Pounding,Residential Building/House,11375,102-30 QUEENS BOULEVARD,QUEENS BOULEVARD,68 AVENUE,68 ROAD,68 AVENUE,68 ROAD,ADDRESS,FOREST HILLS,QUEENS BOULEVARD,Closed,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,2023-09-25T21:06:52.000,06 QUEENS,4031737501,QUEENS,1025568,203636,ONLINE,Unspecified,QUEENS,40.725513985000454,-73.85093149470026,"{'latitude': '40.725513985000454', 'longitude': '-73.85093149470026', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,
58923598,2023-09-25T20:55:00.000,2023-09-26T15:20:00.000,DOT,Department of Transportation,Traffic Signal Condition,Veh Signal Lamp,,11377,,,,,WOODSIDE AVENUE,61 STREET,INTERSECTION,QUEENS,,Closed,Service Request status for this request is available on the Department of Transportationâs website. Please click the âLearn Moreâ link below.,2023-09-26T15:20:00.000,02 QUEENS,,QUEENS,1010938,210684,UNKNOWN,Unspecified,QUEENS,40.74491523212667,-73.90368610073882,"{'latitude': '40.74491523212667', 'longitude': '-73.90368610073882', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",N/A,,,,,,,
58923741,2023-09-25T20:54:43.000,2023-09-25T21:40:51.000,NYPD,New York City Police Department,Noise - Residential,Loud Talking,Residential Building/House,10456,1232 FULTON AVENUE,FULTON AVENUE,EAST  168 STREET,EAST  169 STREET,EAST  168 STREET,EAST  169 STREET,ADDRESS,BRONX,FULTON AVENUE,Closed,The Police Department responded to the complaint and took action to fix the condition.,2023-09-25T21:40:54.000,03 BRONX,2026120003,BRONX,1010754,242055,ONLINE,Unspecified,BRONX,40.83102071753187,-73.90422635309031,"{'latitude': '40.83102071753187', 'longitude': '-73.90422635309031', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,
58918445,2023-09-25T20:54:41.000,2023-09-25T21:06:18.000,NYPD,New York City Police Department,Abandoned Vehicle,With License Plate,Street/Sidewalk,11231,89 WOLCOTT STREET,WOLCOTT STREET,RICHARDS STREET,VAN BRUNT STREET,RICHARDS STREET,VAN BRUNT STREET,ADDRESS,BROOKLYN,WOLCOTT STREET,Closed,The Police Department responded to the complaint and determined that police action was not necessary.,2023-09-25T21:06:22.000,06 BROOKLYN,3005760008,BROOKLYN,980778,185942,PHONE,Unspecified,BROOKLYN,40.67704391432293,-74.01251729128043,"{'latitude': '40.67704391432293', 'longitude': '-74.01251729128043', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,
58920248,2023-09-25T20:53:46.000,2023-09-25T21:15:02.000,NYPD,New York City Police Department,Noise - Residential,Loud Talking,Residential Building/House,10031,620 WEST  141 STREET,WEST  141 STREET,BROADWAY,RIVERSIDE DRIVE,BROADWAY,RIVERSIDE DRIVE,ADDRESS,NEW YORK,WEST  141 STREET,Closed,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,2023-09-25T21:15:07.000,09 MANHATTAN,1020880043,MANHATTAN,997264,239545,MOBILE,Unspecified,MANHATTAN,40.82416166479311,-73.95297805704422,"{'latitude': '40.82416166479311', 'longitude': '-73.95297805704422', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,
58919546,2023-09-25T20:53:45.000,2023-10-02T14:23:43.000,DPR,Department of Parks and Recreation,Damaged Tree,Tree Leaning/Uprooted,Street,11366,73-51 196 STREET,196 STREET,73 AVENUE,75 AVENUE,73 AVENUE,75 AVENUE,ADDRESS,FRESH MEADOWS,196 STREET,Closed,NYC Parks performed the work necessary to correct the condition.,2023-10-02T14:23:48.000,08 QUEENS,4071830056,QUEENS,1046135,207026,PHONE,Unspecified,QUEENS,40.734698699902765,-73.77669825291203,"{'latitude': '40.734698699902765', 'longitude': '-73.77669825291203', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,
58916697,2023-09-25T20:53:38.000,2023-09-25T20:59:24.000,NYPD,New York City Police Department,Illegal Parking,Commercial Overnight Parking,Street/Sidewalk,11357,157-20 24 ROAD,24 ROAD,157 STREET,160 STREET,157 STREET,160 STREET,ADDRESS,WHITESTONE,24 ROAD,Closed,The Police Department responded to the complaint and determined that police action was not necessary.,2023-09-25T20:59:27.000,07 QUEENS,4048640015,QUEENS,1037938,221977,PHONE,Unspecified,QUEENS,40.77578884505618,-73.80615628085113,"{'latitude': '40.77578884505618', 'longitude': '-73.80615628085113', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,
58922458,2023-09-25T20:53:17.000,2023-09-25T21:38:27.000,NYPD,New York City Police Department,Blocked Driveway,No Access,Street/Sidewalk,11368,37-02 97 STREET,97 STREET,37 AVENUE,38 AVENUE,37 AVENUE,38 AVENUE,ADDRESS,CORONA,97 STREET,Closed,The Police Department responded to the complaint and took action to fix the condition.,2023-09-25T21:38:30.000,03 QUEENS,4017590008,QUEENS,1020332,213087,PHONE,Unspecified,QUEENS,40.75147751582738,-73.8697713941525,"{'latitude': '40.75147751582738', 'longitude': '-73.8697713941525', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,
58922260,2023-09-25T20:53:00.000,2023-09-26T00:45:00.000,DEP,Department of Environmental Protection,Water System,Dirty Water (WE),,10035,2319 3 AVENUE,3 AVENUE,E 125 ST,E 126 ST,,,ADDRESS,NEW YORK,,Closed,The Department of Environmental Protection investigated this complaint and opened fire hydrants to flush water mains in the area.,2023-09-26T00:45:00.000,11 MANHATTAN,1017907501,MANHATTAN,1002139,232298,ONLINE,Unspecified,MANHATTAN,40.804262151685556,-73.93538311855296,"{'latitude': '40.804262151685556', 'longitude': '-73.93538311855296', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,
58916698,2023-09-25T20:52:49.000,2023-09-25T20:55:35.000,NYPD,New York City Police Department,Illegal Parking,Commercial Overnight Parking,Street/Sidewalk,11361,36-04 215 PLACE,215 PLACE,36 AVENUE,38 AVENUE,36 AVENUE,38 AVENUE,ADDRESS,BAYSIDE,215 PLACE,Closed,The Police Department responded to the complaint and determined that police action was not necessary.,2023-09-25T20:55:37.000,11 QUEENS,4061820007,QUEENS,1048272,219353,PHONE,Unspecified,QUEENS,40.76851786805595,-73.76886991595082,"{'latitude': '40.76851786805595', 'longitude': '-73.76886991595082', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,
58922643,2023-09-25T20:52:40.000,2023-09-25T21:57:27.000,NYPD,New York City Police Department,Non-Emergency Police Matter,Other (complaint details),Residential Building/House,10032,61 AUDUBON AVENUE,AUDUBON AVENUE,WEST  168 STREET,WEST  169 STREET,WEST  168 STREET,WEST  169 STREET,ADDRESS,NEW YORK,AUDUBON AVENUE,Closed,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,2023-09-25T21:57:32.000,12 MANHATTAN,1021250028,MANHATTAN,1001346,245565,PHONE,Unspecified,MANHATTAN,40.84067787174882,-73.93821371259875,"{'latitude': '40.84067787174882', 'longitude': '-73.93821371259875', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,
58916902,2023-09-25T20:51:58.000,2023-09-25T20:54:33.000,NYPD,New York City Police Department,Noise - Residential,Banging/Pounding,Residential Building/House,11224,2832 WEST   23 STREET,WEST   23 STREET,NEPTUNE AVENUE,MERMAID AVENUE,NEPTUNE AVENUE,MERMAID AVENUE,ADDRESS,BROOKLYN,WEST   23 STREET,Closed,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,2023-09-25T20:54:37.000,13 BROOKLYN,3070150015,BROOKLYN,986923,149719,ONLINE,Unspecified,BROOKLYN,40.577619686746154,-73.99037761720334,"{'latitude': '40.577619686746154', 'longitude': '-73.99037761720334', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,
58922388,2023-09-25T20:51:54.000,2023-09-25T22:38:41.000,NYPD,New York City Police Department,Illegal Parking,Posted Parking Sign Violation,Street/Sidewalk,11220,8 AVENUE,8 AVENUE,8 AVENUE,68 STREET,8 AVENUE,68 STREET,INTERSECTION,,,Closed,The Police Department responded to the complaint and determined that police action was not necessary.,2023-09-25T22:38:46.000,10 BROOKLYN,,BROOKLYN,980275,169135,ONLINE,Unspecified,BROOKLYN,40.630912159384216,-74.0143208062021,"{'latitude': '40.630912159384216', 'longitude': '-74.0143208062021', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,
58921466,2023-09-25T20:51:50.000,2023-09-25T21:10:56.000,NYPD,New York City Police Department,Noise - Residential,Loud Talking,Residential Building/House,10456,1260 WEBSTER AVENUE,WEBSTER AVENUE,EAST  168 STREET,EAST  169 STREET,EAST  168 STREET,EAST  169 STREET,ADDRESS,BRONX,WEBSTER AVENUE,Closed,The Police Department responded to the complaint and took action to fix the condition.,2023-09-25T21:11:02.000,03 BRONX,2023950001,BRONX,1009396,242823,ONLINE,Unspecified,BRONX,40.83313262646111,-73.90913067753257,"{'latitude': '40.83313262646111', 'longitude': '-73.90913067753257', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,
58919552,2023-09-25T20:51:50.000,2023-10-17T15:16:47.000,DPR,Department of Parks and Recreation,Dead/Dying Tree,Planted More Than 2 Years Ago,Street,11230,1129 EAST    8 STREET,EAST    8 STREET,AVENUE K,AVENUE L,AVENUE K,AVENUE L,ADDRESS,BROOKLYN,EAST    8 STREET,Closed,NYC Parks visited the site and inspected the condition. No work is necessary at this time.,2023-10-17T15:16:54.000,12 BROOKLYN,3065340081,BROOKLYN,993289,165677,PHONE,Unspecified,BROOKLYN,40.621416956199596,-73.96743965909123,"{'latitude': '40.621416956199596', 'longitude': '-73.96743965909123', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,
58922584,2023-09-25T20:51:47.000,2023-09-25T21:22:57.000,NYPD,New York City Police Department,Noise - Residential,Banging/Pounding,Residential Building/House,11233,320 KINGSBOROUGH    3 WALK,KINGSBOROUGH    3 WALK,PACIFIC STREET,BERGEN STREET,PACIFIC STREET,BERGEN STREET,ADDRESS,BROOKLYN,KINGSBOROUGH    3 WALK,Closed,The Police Department responded to the complaint and determined that police action was not necessary.,2023-09-25T21:23:02.000,08 BROOKLYN,3013440001,BROOKLYN,1004842,185506,ONLINE,Unspecified,BROOKLYN,40.675823923542566,-73.9257628522692,"{'latitude': '40.675823923542566', 'longitude': '-73.9257628522692', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,
58920278,2023-09-25T20:51:21.000,2023-09-25T22:17:46.000,NYPD,New York City Police Department,Noise - Vehicle,Car/Truck Music,Street/Sidewalk,10456,724 EAST  158 STREET,EAST  158 STREET,JACKSON AVENUE,FOREST AVENUE,JACKSON AVENUE,FOREST AVENUE,ADDRESS,BRONX,EAST  158 STREET,Closed,The Police Department responded and upon arrival those responsible for the condition were gone.,2023-09-25T22:17:49.000,01 BRONX,2026460116,BRONX,1010220,237901,ONLINE,Unspecified,BRONX,40.81962076162456,-73.9061720680657,"{'latitude': '40.81962076162456', 'longitude': '-73.9061720680657', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,
58924828,2023-09-25T20:51:08.000,2023-09-25T21:14:42.000,NYPD,New York City Police Department,Noise - Residential,Banging/Pounding,Residential Building/House,11224,2850 WEST   24 STREET,WEST   24 STREET,NEPTUNE AVENUE,MERMAID AVENUE,NEPTUNE AVENUE,MERMAID AVENUE,ADDRESS,BROOKLYN,WEST   24 STREET,Closed,The Police Department responded to the complaint and took action to fix the condition.,2023-09-25T21:14:47.000,13 BROOKLYN,3070140002,BROOKLYN,986651,149516,ONLINE,Unspecified,BROOKLYN,40.57706256952672,-73.99135684684707,"{'latitude': '40.57706256952672', 'longitude': '-73.99135684684707', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,
58921208,2023-09-25T20:50:54.000,2023-09-25T21:14:32.000,NYPD,New York City Police Department,Illegal Parking,Posted Parking Sign Violation,Street/Sidewalk,10040,570 WEST  190 STREET,WEST  190 STREET,AUDUBON AVENUE,ST NICHOLAS AVENUE,AUDUBON AVENUE,ST NICHOLAS AVENUE,ADDRESS,NEW YORK,WEST  190 STREET,Closed,The Police Department responded to the complaint and took action to fix the condition.,2023-09-25T21:14:37.000,12 MANHATTAN,1021580067,MANHATTAN,1003895,250647,ONLINE,Unspecified,MANHATTAN,40.85462115652687,-73.9289865404921,"{'latitude': '40.85462115652687', 'longitude': '-73.9289865404921', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,
58916805,2023-09-25T20:50:48.000,2023-09-25T21:07:00.000,NYPD,New York City Police Department,Blocked Driveway,No Access,Street/Sidewalk,11103,25-51 41 STREET,41 STREET,25 AVENUE,28 AVENUE,25 AVENUE,28 AVENUE,ADDRESS,ASTORIA,41 STREET,Closed,The Police Department responded to the complaint and took action to fix the condition.,2023-09-25T21:07:02.000,01 QUEENS,4006850024,QUEENS,1008844,218788,MOBILE,Unspecified,QUEENS,40.7671647078648,-73.91121345521398,"{'latitude': '40.7671647078648', 'longitude': '-73.91121345521398', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,
58918725,2023-09-25T20:50:40.000,2023-09-25T21:15:11.000,NYPD,New York City Police Department,Illegal Parking,Paper License Plates,Street/Sidewalk,10040,599 WEST  190 STREET,WEST  190 STREET,AUDUBON AVENUE,ST NICHOLAS AVENUE,AUDUBON AVENUE,ST NICHOLAS AVENUE,ADDRESS,NEW YORK,WEST  190 STREET,Closed,The Police Department responded to the complaint and took action to fix the condition.,2023-09-25T21:15:13.000,12 MANHATTAN,1021610001,MANHATTAN,1003772,250722,ONLINE,Unspecified,MANHATTAN,40.85482728192759,-73.92943094675587,"{'latitude': '40.85482728192759', 'longitude': '-73.92943094675587', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,
58917815,2023-09-25T20:50:31.000,2023-09-25T21:14:51.000,NYPD,New York City Police Department,Illegal Parking,Blocked Hydrant,Street/Sidewalk,10040,599 WEST  190 STREET,WEST  190 STREET,AUDUBON AVENUE,ST NICHOLAS AVENUE,AUDUBON AVENUE,ST NICHOLAS AVENUE,ADDRESS,NEW YORK,WEST  190 STREET,Closed,The Police Department responded to the complaint and took action to fix the condition.,2023-09-25T21:14:53.000,12 MANHATTAN,1021610001,MANHATTAN,1003772,250722,ONLINE,Unspecified,MANHATTAN,40.85482728192759,-73.92943094675587,"{'latitude': '40.85482728192759', 'longitude': '-73.92943094675587', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,
58916826,2023-09-25T20:50:02.000,2023-09-25T22:26:24.000,NYPD,New York City Police Department,Blocked Driveway,Partial Access,Street/Sidewalk,11235,2541 EAST   12 STREET,EAST   12 STREET,AVENUE Y,AVENUE Z,AVENUE Y,AVENUE Z,ADDRESS,BROOKLYN,EAST   12 STREET,Closed,The Police Department responded to the complaint and took action to fix the condition.,2023-09-25T22:26:29.000,15 BROOKLYN,3074330162,BROOKLYN,995801,153774,ONLINE,Unspecified,BROOKLYN,40.58874273454093,-73.95841127542032,"{'latitude': '40.58874273454093', 'longitude': '-73.95841127542032', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,
58924454,2023-09-25T20:50:00.000,2023-09-26T18:00:00.000,DEP,Department of Environmental Protection,Noise,Noise: Alarms (NR3),,10035,160 EAST  120 STREET,EAST  120 STREET,LEXINGTON AVE,SYLVAN PL,,,ADDRESS,NEW YORK,,Closed,The Department of Environmental Protection researched this complaint and determined that it could be closed.,2023-09-26T18:00:00.000,11 MANHATTAN,1017680021,MANHATTAN,1001042,231111,ONLINE,Unspecified,MANHATTAN,40.80100631591135,-73.93934856111623,"{'latitude': '40.80100631591135', 'longitude': '-73.93934856111623', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",N/A,,,,,,,
58924531,2023-09-25T20:49:57.000,2023-09-26T01:09:31.000,NYPD,New York City Police Department,Illegal Parking,Blocked Hydrant,Street/Sidewalk,11364,219-15 74 AVENUE,74 AVENUE,75 AVENUE,,75 AVENUE,,ADDRESS,OAKLAND GARDENS,74 AVENUE,Closed,The Police Department responded and upon arrival those responsible for the condition were gone.,2023-09-26T01:09:34.000,11 QUEENS,4077390003,QUEENS,1052057,208774,ONLINE,Unspecified,QUEENS,40.739453090830146,-73.75531218699408,"{'latitude': '40.739453090830146', 'longitude': '-73.75531218699408', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,
58921121,2023-09-25T20:49:49.000,2023-09-25T21:57:50.000,NYPD,New York City Police Department,Illegal Parking,Blocked Hydrant,Street/Sidewalk,11419,113-03 95 AVENUE,95 AVENUE,113 STREET,114 STREET,113 STREET,114 STREET,ADDRESS,SOUTH RICHMOND HILL,95 AVENUE,Closed,The Police Department responded to the complaint and took action to fix the condition.,2023-09-25T21:57:53.000,09 QUEENS,4093990033,QUEENS,1030812,191118,MOBILE,Unspecified,QUEENS,40.69112905225382,-73.83209861992081,"{'latitude': '40.69112905225382', 'longitude': '-73.83209861992081', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,
