unique_key,created_date,closed_date,agency,agency_name,complaint_type,descriptor,incident_zip,incident_address,street_name,address_type,city,facility_type,status,resolution_description,resolution_action_updated_date,community_board,bbl,borough,x_coordinate_state_plane,y_coordinate_state_plane,open_data_channel_type,park_facility_name,park_borough,latitude,longitude,location,location_type,cross_street_1,cross_street_2,intersection_street_1,intersection_street_2,landmark,taxi_pick_up_location,due_date,bridge_highway_name,bridge_highway_direction,bridge_highway_segment,taxi_company_borough
58850667,2023-09-18T15:57:00.000,2023-09-18T16:50:00.000,DOT,Department of Transportation,Traffic Signal Condition,Controller,11429,,,INTERSECTION,QUEENS,N/A,Closed,Service Request status for this request is available on the Department of Transportationâs website. Please click the âLearn Moreâ link below.,2023-09-18T16:50:00.000,13 QUEENS,,QUEENS,1059275,198658,UNKNOWN,Unspecified,QUEENS,40.7116289753834,-73.7293783023471,"{'latitude': '40.7116289753834', 'longitude': '-73.7293783023471', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,HEMPSTEAD AVENUE,225 STREET,,,,,,,
58847561,2023-09-18T15:56:47.000,,DHS,Department of Homeless Services,Homeless Person Assistance,,10128,1656 3 AVENUE,3 AVENUE,ADDRESS,NEW YORK,,Closed,"The mobile outreach response team offered services to the individual, but the individual did not accept assistance.",2023-09-18T18:54:33.000,08 MANHATTAN,1015210040,MANHATTAN,997848,224571,ONLINE,Unspecified,MANHATTAN,40.78306127473259,-73.95089828683493,"{'latitude': '40.78306127473259', 'longitude': '-73.95089828683493', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",Street/Sidewalk,EAST 92 STREET,EAST 93 STREET,EAST   92 STREET,EAST   93 STREET,3 AVENUE,,,,,,
58848642,2023-09-18T15:56:47.000,2023-09-18T15:56:47.000,DOHMH,Department of Health and Mental Hygiene,Rodent,Rat Sighting,10451,300 EAST  150 STREET,EAST  150 STREET,ADDRESS,BRONX,,Closed,The Department of Health and Mental Hygiene found violations on the property you reported. Follow-up inspections will be scheduled.,2023-09-18T15:56:47.000,01 BRONX,2023310019,BRONX,1006068,237200,PHONE,Unspecified,BRONX,40.817707945495755,-73.92117524594491,"{'latitude': '40.817707945495755', 'longitude': '-73.92117524594491', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",Parking Lot/Garage,MORRIS AVENUE,COURTLANDT AVENUE,MORRIS AVENUE,COURTLANDT AVENUE,EAST  150 STREET,,,,,,
58851483,2023-09-18T15:56:32.000,2023-09-19T07:06:35.000,DSNY,Department of Sanitation,Residential Disposal Complaint,Waste Set Out Too Early or Too Late,10029,204 EAST  112 STREET,EAST  112 STREET,ADDRESS,NEW YORK,,Closed,The Department of Sanitation investigated this complaint and found no violation at the location.,2023-09-19T07:06:41.000,11 MANHATTAN,1016610044,MANHATTAN,1000399,229036,PHONE,Unspecified,MANHATTAN,40.79531220567817,-73.94167601812121,"{'latitude': '40.79531220567817', 'longitude': '-73.94167601812121', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",Sidewalk,3 AVENUE,2 AVENUE,3 AVENUE,2 AVENUE,EAST  112 STREET,,,,,,
58848762,2023-09-18T15:56:31.000,2023-09-27T08:51:37.000,DOT,Department of Transportation,Street Condition,"Rough, Pitted or Cracked Roads",11237,1549 GATES AVENUE,GATES AVENUE,ADDRESS,BROOKLYN,,Closed,"The Department of Transportation inspected the condition you reported. You can find additional information in the ""Notes to Customer"" field.",2023-09-27T08:51:43.000,04 BROOKLYN,3033370033,BROOKLYN,1008596,194155,ONLINE,Unspecified,BROOKLYN,40.69955390405511,-73.91219789214018,"{'latitude': '40.69955390405511', 'longitude': '-73.91219789214018', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",Street,MYRTLE AVENUE,WYCKOFF AVENUE,MYRTLE AVENUE,WYCKOFF AVENUE,GATES AVENUE,,,,,,
58846177,2023-09-18T15:56:25.000,2023-09-22T11:02:31.000,TLC,Taxi and Limousine Commission,Lost Property,Bag/Wallet,10036,BRYANT PARK,BRYANT PARK,UNRECOGNIZED,NEW YORK,,Closed,See notes for information.,2023-09-22T11:02:35.000,05 MANHATTAN,1012570002,MANHATTAN,988970,213796,ONLINE,Unspecified,MANHATTAN,40.75349589860186,-73.98296387612416,"{'latitude': '40.75349589860186', 'longitude': '-73.98296387612416', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",Taxi,5 AVENUE,AVENUE OF THE AMERICAS,5 AVENUE,AVENUE OF THE AMERICAS,BRYANT PARK,"BRYANT PARK, MANHATTAN (NEW YORK) ,NY, 10036",,,,,
58849564,2023-09-18T15:56:24.000,,HPD,Department of Housing Preservation and Development,ELECTRIC,NO LIGHTING,10459,995 EAST  167 STREET,EAST  167 STREET,ADDRESS,BRONX,,Open,The following complaint conditions are still open. HPD may attempt to contact you to verify the correction of the condition or may conduct an inspection.,2023-09-18T00:00:00.000,03 BRONX,2027520005,BRONX,1014620,240526,PHONE,Unspecified,BRONX,40.826811605481495,-73.89026328685836,"{'latitude': '40.826811605481495', 'longitude': '-73.89026328685836', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",RESIDENTIAL BUILDING,,,,,,,,,,,
58849653,2023-09-18T15:56:24.000,,HPD,Department of Housing Preservation and Development,PLUMBING,BASIN/SINK,10459,995 EAST  167 STREET,EAST  167 STREET,ADDRESS,BRONX,,Open,The following complaint conditions are still open. HPD may attempt to contact you to verify the correction of the condition or may conduct an inspection.,2023-09-18T00:00:00.000,03 BRONX,2027520005,BRONX,1014620,240526,PHONE,Unspecified,BRONX,40.826811605481495,-73.89026328685836,"{'latitude': '40.826811605481495', 'longitude': '-73.89026328685836', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",RESIDENTIAL BUILDING,,,,,,,,,,,
58852035,2023-09-18T15:56:24.000,,HPD,Department of Housing Preservation and Development,ELECTRIC,OUTLET/SWITCH,10459,995 EAST  167 STREET,EAST  167 STREET,ADDRESS,BRONX,,Open,The following complaint conditions are still open. HPD may attempt to contact you to verify the correction of the condition or may conduct an inspection.,2023-09-18T00:00:00.000,03 BRONX,2027520005,BRONX,1014620,240526,PHONE,Unspecified,BRONX,40.826811605481495,-73.89026328685836,"{'latitude': '40.826811605481495', 'longitude': '-73.89026328685836', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",RESIDENTIAL BUILDING,,,,,,,,,,,
58854577,2023-09-18T15:56:24.000,,HPD,Department of Housing Preservation and Development,FLOORING/STAIRS,FLOOR,10459,995 EAST  167 STREET,EAST  167 STREET,ADDRESS,BRONX,,Open,The following complaint conditions are still open. HPD may attempt to contact you to verify the correction of the condition or may conduct an inspection.,2023-09-18T00:00:00.000,03 BRONX,2027520005,BRONX,1014620,240526,PHONE,Unspecified,BRONX,40.826811605481495,-73.89026328685836,"{'latitude': '40.826811605481495', 'longitude': '-73.89026328685836', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",RESIDENTIAL BUILDING,,,,,,,,,,,
58846022,2023-09-18T15:56:19.000,2023-09-18T21:03:31.000,NYPD,New York City Police Department,Abandoned Vehicle,With License Plate,11360,21 AVENUE,21 AVENUE,INTERSECTION,,,Closed,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,2023-09-18T21:03:34.000,07 QUEENS,,QUEENS,1042117,223168,PHONE,Unspecified,QUEENS,40.77903144667073,-73.79105755077344,"{'latitude': '40.77903144667073', 'longitude': '-73.79105755077344', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",Street/Sidewalk,21 AVENUE,202 STREET,21 AVENUE,202 STREET,,,,,,,
58846777,2023-09-18T15:56:14.000,2023-09-18T16:38:00.000,NYPD,New York City Police Department,Blocked Driveway,No Access,11206,562 PARK AVENUE,PARK AVENUE,ADDRESS,BROOKLYN,,Closed,The Police Department responded to the complaint and took action to fix the condition.,2023-09-18T16:38:04.000,03 BROOKLYN,3017380001,BROOKLYN,997324,193290,PHONE,Unspecified,BROOKLYN,40.69720351339984,-73.95285122185803,"{'latitude': '40.69720351339984', 'longitude': '-73.95285122185803', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",Street/Sidewalk,NOSTRAND AVENUE,MARCY AVENUE,NOSTRAND AVENUE,MARCY AVENUE,PARK AVENUE,,,,,,
58847663,2023-09-18T15:56:12.000,2023-09-25T12:32:47.000,DSNY,Department of Sanitation,Obstruction,Weeds or Grass,11354,146-05 33 AVENUE,33 AVENUE,ADDRESS,FLUSHING,,Closed,The Department of Sanitation investigated this complaint and issued a Notice of Violation.,2023-09-19T09:47:34.000,07 QUEENS,4047990001,QUEENS,1033773,219347,ONLINE,Unspecified,QUEENS,40.768594513434174,-73.82121359859264,"{'latitude': '40.768594513434174', 'longitude': '-73.82121359859264', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",Sidewalk,146 STREET,147 STREET,146 STREET,147 STREET,33 AVENUE,,,,,,
58845769,2023-09-18T15:56:08.000,2023-09-23T14:44:36.000,HPD,Department of Housing Preservation and Development,FLOORING/STAIRS,FLOOR,11207,330 MILLER AVENUE,MILLER AVENUE,ADDRESS,BROOKLYN,,Closed,The Department of Housing Preservation and Development inspected the following conditions. No violations were issued. The complaint has been closed.,2023-09-23T00:00:00.000,05 BROOKLYN,3037250001,BROOKLYN,1014410,184400,PHONE,Unspecified,BROOKLYN,40.672760777297405,-73.89127380288578,"{'latitude': '40.672760777297405', 'longitude': '-73.89127380288578', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",RESIDENTIAL BUILDING,,,,,,,,,,,
58852270,2023-09-18T15:56:08.000,2023-09-18T16:08:53.000,NYPD,New York City Police Department,Illegal Parking,Blocked Bike Lane,10016,40 EAST   29 STREET,EAST   29 STREET,ADDRESS,NEW YORK,,Closed,The Police Department responded to the complaint and determined that police action was not necessary.,2023-09-18T16:08:57.000,05 MANHATTAN,1008580049,MANHATTAN,988468,210490,MOBILE,Unspecified,MANHATTAN,40.744422015285174,-73.98477784248558,"{'latitude': '40.744422015285174', 'longitude': '-73.98477784248558', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",Street/Sidewalk,MADISON AVENUE,PARK AVENUE SOUTH,MADISON AVENUE,PARK AVENUE SOUTH,EAST   29 STREET,,,,,,
58849732,2023-09-18T15:56:08.000,2023-09-23T14:44:35.000,HPD,Department of Housing Preservation and Development,WATER LEAK,HEAVY FLOW,11207,330 MILLER AVENUE,MILLER AVENUE,ADDRESS,BROOKLYN,,Closed,The Department of Housing Preservation and Development inspected the following conditions. No violations were issued. The complaint has been closed.,2023-09-23T00:00:00.000,05 BROOKLYN,3037250001,BROOKLYN,1014410,184400,PHONE,Unspecified,BROOKLYN,40.672760777297405,-73.89127380288578,"{'latitude': '40.672760777297405', 'longitude': '-73.89127380288578', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",RESIDENTIAL BUILDING,,,,,,,,,,,
58854614,2023-09-18T15:56:08.000,2023-09-23T14:44:36.000,HPD,Department of Housing Preservation and Development,PAINT/PLASTER,CEILING,11207,330 MILLER AVENUE,MILLER AVENUE,ADDRESS,BROOKLYN,,Closed,The Department of Housing Preservation and Development inspected the following conditions. No violations were issued. The complaint has been closed.,2023-09-23T00:00:00.000,05 BROOKLYN,3037250001,BROOKLYN,1014410,184400,PHONE,Unspecified,BROOKLYN,40.672760777297405,-73.89127380288578,"{'latitude': '40.672760777297405', 'longitude': '-73.89127380288578', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",RESIDENTIAL BUILDING,,,,,,,,,,,
58846523,2023-09-18T15:56:00.000,,DEP,Department of Environmental Protection,Sewer,Catch Basin Clogged/Flooding (Use Comments) (SC),11417,88-02 103 AVENUE,103 AVENUE,ADDRESS,OZONE PARK,,Started,The Department of Environmental Protection has inspected your complaint and determined that further investigation is required. More information will be available once the condition is resolved. Please visit nyc.gov/311 or call 311 at a later time to check the status of your complaint.,2023-09-19T11:00:00.000,10 QUEENS,4091080001,QUEENS,1025618,187273,PHONE,Unspecified,QUEENS,40.680601223854936,-73.85085161980726,"{'latitude': '40.680601223854936', 'longitude': '-73.85085161980726', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,88 ST,89 ST,,,,,,,,,
58847434,2023-09-18T15:55:57.000,2023-09-21T10:52:38.000,DOT,Department of Transportation,Sidewalk Condition,Broken Sidewalk,10036,353 WEST   45 STREET,WEST   45 STREET,ADDRESS,NEW YORK,,Closed,"The Department of Transportation inspected the location more than six months ago and has notified the property owner of any defective sidewalk conditions. The property owner is responsible for maintaining, repairing and installing sidewalks adjoining their property, according to Section 19-152 of the New York City Administrative Code.",2023-09-21T10:52:30.000,04 MANHATTAN,1010360005,MANHATTAN,987057,216089,MOBILE,Unspecified,MANHATTAN,40.759790413175594,-73.98986760198423,"{'latitude': '40.759790413175594', 'longitude': '-73.98986760198423', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",Sidewalk,8 AVENUE,9 AVENUE,8 AVENUE,9 AVENUE,WEST   45 STREET,,,,,,
58848768,2023-09-18T15:55:52.000,2023-09-20T08:41:53.000,DOT,Department of Transportation,Street Sign - Missing,Other/Unknown,11215,187 17 STREET,17 STREET,ADDRESS,BROOKLYN,,Closed,The Department of Transportation inspected the condition you reported and found that the condition meets its standards and/or there is a valid permit to conduct work.,2023-09-20T08:41:57.000,07 BROOKLYN,3006280072,BROOKLYN,986144,181502,MOBILE,Unspecified,BROOKLYN,40.66485758630018,-73.99317297858889,"{'latitude': '40.66485758630018', 'longitude': '-73.99317297858889', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",Street,4 AVENUE,PROSPECT EXPWY EB EN   17 ST,4 AVENUE,PROSPECT EXPWY EB EN   17 ST,17 STREET,,,,,,
58846747,2023-09-18T15:55:32.000,2023-09-19T00:00:00.000,DOB,Department of Buildings,General Construction/Plumbing,Sidewalk Shed/Pipe Scafford - Inadequate Defective/None,10023,233 WEST   74 STREET,WEST   74 STREET,ADDRESS,NEW YORK,,Closed,The Department of Buildings investigated this complaint and determined that no further action was necessary.,2023-09-19T00:00:00.000,07 MANHATTAN,1011660013,MANHATTAN,989092,223712,UNKNOWN,Unspecified,MANHATTAN,40.780712681827325,-73.982516392229,"{'latitude': '40.780712681827325', 'longitude': '-73.982516392229', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,,,,,
58854832,2023-09-18T15:55:29.000,2023-09-22T10:31:24.000,TLC,Taxi and Limousine Commission,Lost Property,Electronics/Phones,11201,10 FLATBUSH AVENUE EXTENSION,FLATBUSH AVENUE EXTENSION,ADDRESS,BROOKLYN,,Closed,See notes for information.,2023-09-22T10:31:27.000,02 BROOKLYN,,BROOKLYN,988342,193402,ONLINE,Unspecified,BROOKLYN,40.69751963875461,-73.98524294733294,"{'latitude': '40.69751963875461', 'longitude': '-73.98524294733294', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",Taxi,CONCORD STREET,BRIDGE STREET,CONCORD STREET,BRIDGE STREET,FLATBUSH AVENUE EXTENSION,"10 FLATBUSH AVENUE EXTENSION, BROOKLYN, NY, 11201",,,,,
58855174,2023-09-18T15:55:27.000,2023-09-18T21:27:23.000,DSNY,Department of Sanitation,Obstruction,Cone,11373,90-23 51 AVENUE,51 AVENUE,ADDRESS,ELMHURST,,Closed,The Department of Sanitation removed the items.,2023-09-18T21:27:26.000,04 QUEENS,4018520070,QUEENS,1019257,208755,PHONE,Unspecified,QUEENS,40.73959159492857,-73.87367386986676,"{'latitude': '40.73959159492857', 'longitude': '-73.87367386986676', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",Street,90 STREET,92 STREET,90 STREET,92 STREET,51 AVENUE,,,,,,
58851171,2023-09-18T15:55:11.000,2023-09-18T15:55:11.000,DOHMH,Department of Health and Mental Hygiene,Rodent,Rat Sighting,11377,66-26 GARFIELD AVENUE,GARFIELD AVENUE,ADDRESS,WOODSIDE,,Closed,The Department of Health and Mental Hygiene inspected the property you reported and did not find any violations at the time of the inspection. The property passed inspection.,2023-09-18T15:55:11.000,02 QUEENS,4024150027,QUEENS,1012352,207324,MOBILE,Unspecified,QUEENS,40.73568849308769,-73.89859717996022,"{'latitude': '40.73568849308769', 'longitude': '-73.89859717996022', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",1-2 Family Dwelling,51 AVENUE,67 STREET,51 AVENUE,67 STREET,GARFIELD AVENUE,,,,,,
58848150,2023-09-18T15:54:57.000,2023-09-18T16:08:28.000,NYPD,New York City Police Department,Noise - Residential,Banging/Pounding,10002,69 COLUMBIA STREET,COLUMBIA STREET,ADDRESS,NEW YORK,,Closed,The Police Department responded to the complaint and took action to fix the condition.,2023-09-18T16:08:32.000,03 MANHATTAN,1003330001,MANHATTAN,989766,200628,ONLINE,Unspecified,MANHATTAN,40.71735252752486,-73.9801016313048,"{'latitude': '40.71735252752486', 'longitude': '-73.9801016313048', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",Residential Building/House,DELANCEY STREET,RIVINGTON STREET,DELANCEY STREET,RIVINGTON STREET,COLUMBIA STREET,,,,,,
58848188,2023-09-18T15:54:53.000,2023-09-18T16:14:50.000,NYPD,New York City Police Department,Noise - Street/Sidewalk,Loud Music/Party,11109,45-45 CENTER BOULEVARD,CENTER BOULEVARD,ADDRESS,LONG ISLAND CITY,,Closed,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,2023-09-18T16:14:54.000,02 QUEENS,4000210020,QUEENS,996256,211821,MOBILE,Unspecified,QUEENS,40.74806813205304,-73.95666969367451,"{'latitude': '40.74806813205304', 'longitude': '-73.95666969367451', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",Street/Sidewalk,BEND,46 AVENUE,BEND,46 AVENUE,CENTER BOULEVARD,,,,,,
58853935,2023-09-18T15:54:35.000,2023-09-20T15:37:00.000,DSNY,Department of Sanitation,Illegal Dumping,Removal Request,11416,75-16 95 AVENUE,95 AVENUE,ADDRESS,OZONE PARK,,Closed,The Department of Sanitation investigated this complaint and found no condition at the location.,2023-09-19T04:17:09.000,09 QUEENS,4090000008,QUEENS,1022118,187975,PHONE,Unspecified,QUEENS,40.68254371693492,-73.8634665698234,"{'latitude': '40.68254371693492', 'longitude': '-73.8634665698234', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",Street,75 STREET,76 STREET,75 STREET,76 STREET,95 AVENUE,,,,,,
58851921,2023-09-18T15:54:21.000,2023-09-18T16:27:50.000,NYPD,New York City Police Department,Noise - Residential,Banging/Pounding,11210,2205 FOSTER AVENUE,FOSTER AVENUE,ADDRESS,BROOKLYN,,Closed,The Police Department responded to the complaint and took action to fix the condition.,2023-09-18T16:27:54.000,14 BROOKLYN,3052220093,BROOKLYN,996347,171461,ONLINE,Unspecified,BROOKLYN,40.637289166803775,-73.95641374736688,"{'latitude': '40.637289166803775', 'longitude': '-73.95641374736688', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",Residential Building/House,EAST   22 STREET,EAST   23 STREET,EAST   22 STREET,EAST   23 STREET,FOSTER AVENUE,,,,,,
