unique_key,created_date,closed_date,agency,agency_name,complaint_type,descriptor,location_type,incident_zip,incident_address,street_name,cross_street_1,cross_street_2,intersection_street_1,intersection_street_2,address_type,city,landmark,status,resolution_description,resolution_action_updated_date,community_board,bbl,borough,x_coordinate_state_plane,y_coordinate_state_plane,open_data_channel_type,park_facility_name,park_borough,latitude,longitude,location,facility_type,due_date,bridge_highway_name,bridge_highway_direction,bridge_highway_segment,road_ramp,vehicle_type,taxi_company_borough,taxi_pick_up_location
58913995,2023-09-24T14:36:38.000,2023-09-25T08:46:16.000,DSNY,Department of Sanitation,Dirty Condition,Trash,Sidewalk,11205,306 PARK AVENUE,PARK AVENUE,RYERSON STREET,GRAND AVENUE,RYERSON STREET,GRAND AVENUE,ADDRESS,BROOKLYN,PARK AVENUE,Closed,The Department of Sanitation investigated this complaint and issued a Notice of Violation.,2023-09-25T08:46:21.000,02 BROOKLYN,3018920030,BROOKLYN,993883,192709,ONLINE,Unspecified,BROOKLYN,40.69561321815918,-73.96526133269073,"{'latitude': '40.69561321815918', 'longitude': '-73.96526133269073', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,,
58911923,2023-09-24T14:36:26.000,2023-09-24T15:07:18.000,NYPD,New York City Police Department,Noise - Residential,Loud Talking,Residential Building/House,11238,487 CARLTON AVENUE,CARLTON AVENUE,FULTON STREET,ATLANTIC AVENUE,FULTON STREET,ATLANTIC AVENUE,ADDRESS,BROOKLYN,CARLTON AVENUE,Closed,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,2023-09-24T15:07:20.000,02 BROOKLYN,3020070001,BROOKLYN,992341,188129,ONLINE,Unspecified,BROOKLYN,40.68304371623181,-73.9708276159393,"{'latitude': '40.68304371623181', 'longitude': '-73.9708276159393', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,,
58910928,2023-09-24T14:36:21.000,2023-09-24T16:49:49.000,NYPD,New York City Police Department,Blocked Driveway,No Access,Street/Sidewalk,11375,87-32 69 AVENUE,69 AVENUE,SYBILLA STREET,METROPOLITAN AVENUE,SYBILLA STREET,METROPOLITAN AVENUE,ADDRESS,FOREST HILLS,69 AVENUE,Closed,The Police Department issued a summons in response to the complaint.,2023-09-24T16:49:52.000,06 QUEENS,4038920055,QUEENS,1024244,198150,ONLINE,Unspecified,QUEENS,40.71046233805281,-73.8557408540795,"{'latitude': '40.71046233805281', 'longitude': '-73.8557408540795', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,,
58910709,2023-09-24T14:36:10.000,2023-09-24T15:08:41.000,NYPD,New York City Police Department,Illegal Parking,Blocked Crosswalk,Street/Sidewalk,11374,61-15 97 STREET,97 STREET,HORACE HARDING EXPRESSWAY,62 DRIVE,HORACE HARDING EXPRESSWAY,62 DRIVE,ADDRESS,REGO PARK,97 STREET,Closed,The Police Department responded to the complaint and took action to fix the condition.,2023-09-24T15:08:46.000,06 QUEENS,4020820107,QUEENS,1022375,206719,MOBILE,Unspecified,QUEENS,40.733990393571226,-73.86243382256829,"{'latitude': '40.733990393571226', 'longitude': '-73.86243382256829', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,,
58914301,2023-09-24T14:36:00.000,2023-09-24T17:10:00.000,DOT,Department of Transportation,Traffic Signal Condition,Controller,,11233,,,,,RALPH AVENUE,FULTON STREET,INTERSECTION,BROOKLYN,,Closed,Service Request status for this request is available on the Department of Transportationâs website. Please click the âLearn Moreâ link below.,2023-09-24T17:10:00.000,03 BROOKLYN,,BROOKLYN,1005983,186617,UNKNOWN,Unspecified,BROOKLYN,40.678870638669714,-73.92164580117114,"{'latitude': '40.678870638669714', 'longitude': '-73.92164580117114', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",N/A,,,,,,,,
58915163,2023-09-24T14:35:58.000,2023-09-24T19:24:41.000,NYPD,New York City Police Department,Noise - Residential,Banging/Pounding,Residential Building/House,10463,3880 ORLOFF AVENUE,ORLOFF AVENUE,CANNON PLACE,CHARLES HALLEY PLACE,CANNON PLACE,CHARLES HALLEY PLACE,ADDRESS,BRONX,ORLOFF AVENUE,Closed,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,2023-09-24T19:24:45.000,08 BRONX,2032630185,BRONX,1013068,261498,MOBILE,Unspecified,BRONX,40.884378641037145,-73.89578100570972,"{'latitude': '40.884378641037145', 'longitude': '-73.89578100570972', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,,
58910697,2023-09-24T14:35:57.000,2023-09-26T12:15:37.000,DSNY,Department of Sanitation,Missed Collection,Trash,Street,11230,1550 EAST    4 STREET,EAST    4 STREET,RYDER AVENUE,AVENUE O,RYDER AVENUE,AVENUE O,ADDRESS,BROOKLYN,EAST    4 STREET,Closed,The Department of Sanitation collected the requested items.,2023-09-25T10:31:04.000,12 BROOKLYN,3065850035,BROOKLYN,992397,162514,ONLINE,Unspecified,BROOKLYN,40.612736042661425,-73.9706566433683,"{'latitude': '40.612736042661425', 'longitude': '-73.9706566433683', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,,
58910713,2023-09-24T14:35:50.000,2023-09-26T13:58:38.000,DSNY,Department of Sanitation,Missed Collection,Compost,Street,10023,101 WEST   75 STREET,WEST   75 STREET,COLUMBUS AVENUE,AMSTERDAM AVENUE,COLUMBUS AVENUE,AMSTERDAM AVENUE,ADDRESS,NEW YORK,WEST   75 STREET,Closed,The Department of Sanitation collected the requested items.,2023-09-25T11:36:00.000,07 MANHATTAN,1011470029,MANHATTAN,990423,223277,ONLINE,Unspecified,MANHATTAN,40.77951789257778,-73.97771078589851,"{'latitude': '40.77951789257778', 'longitude': '-73.97771078589851', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,,
58912703,2023-09-24T14:35:43.000,2023-09-24T16:46:27.000,NYPD,New York City Police Department,Noise - Residential,Banging/Pounding,Residential Building/House,10304,692 VAN DUZER STREET,VAN DUZER STREET,BROAD STREET,JAKE COURT,BROAD STREET,JAKE COURT,ADDRESS,STATEN ISLAND,VAN DUZER STREET,Closed,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,2023-09-24T16:46:32.000,01 STATEN ISLAND,5006157501,STATEN ISLAND,960576,166159,ONLINE,Unspecified,STATEN ISLAND,40.62271292587398,-74.08528029445972,"{'latitude': '40.62271292587398', 'longitude': '-74.08528029445972', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,,
58913875,2023-09-24T14:35:23.000,2023-09-26T10:48:16.000,DPR,Department of Parks and Recreation,Overgrown Tree/Branches,Hitting Building,Street,10456,546 EAST  170 STREET,EAST  170 STREET,3 AVENUE,FULTON AVENUE,3 AVENUE,FULTON AVENUE,ADDRESS,BRONX,EAST  170 STREET,Closed,NYC Parks visited the site and inspected the condition. No work is necessary at this time.,2023-09-26T06:48:13.000,03 BRONX,2029250040,BRONX,1011152,243443,ONLINE,Unspecified,BRONX,40.83482917232561,-73.90278259315465,"{'latitude': '40.83482917232561', 'longitude': '-73.90278259315465', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,,
58913773,2023-09-24T14:35:05.000,2023-09-29T10:15:07.000,HPD,Department of Housing Preservation and Development,UNSANITARY CONDITION,MOLD,RESIDENTIAL BUILDING,11368,96-02 57 AVENUE,57 AVENUE,,,,,ADDRESS,CORONA,,Closed,The Department of Housing Preservation and Development inspected the following conditions. No violations were issued. The complaint has been closed.,2023-09-29T00:00:00.000,04 QUEENS,4019180050,QUEENS,1021645,207759,ONLINE,Unspecified,QUEENS,40.736848050167545,-73.86506209170804,"{'latitude': '40.736848050167545', 'longitude': '-73.86506209170804', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,,
58916478,2023-09-24T14:35:02.000,2023-09-26T12:28:53.000,DSNY,Department of Sanitation,Missed Collection,Recycling - Paper,Street,11229,1870 EAST   12 STREET,EAST   12 STREET,AVENUE R,AVENUE S,AVENUE R,AVENUE S,ADDRESS,BROOKLYN,EAST   12 STREET,Closed,The Department of Sanitation collected the requested items.,2023-09-25T11:19:55.000,15 BROOKLYN,3068170035,BROOKLYN,995184,159314,ONLINE,Unspecified,BROOKLYN,40.60394969840599,-73.96062378262397,"{'latitude': '40.60394969840599', 'longitude': '-73.96062378262397', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,,
58909949,2023-09-24T14:35:00.000,,DEP,Department of Environmental Protection,Hazardous Materials,Chemical Odor (HD1),,10466,4238 BRONX BOULEVARD,BRONX BOULEVARD,E 234 ST,E 236 ST,,,ADDRESS,BRONX,,Started,The Department of Environmental Protection has inspected your complaint and determined that further investigation is required. More information will be available once the condition is resolved. Please visit nyc.gov/311 or call 311 at a later time to check the status of your complaint.,2023-09-24T14:50:00.000,12 BRONX,2049930034,BRONX,1022837,265679,ONLINE,Unspecified,BRONX,40.89581684399717,-73.86042781911532,"{'latitude': '40.89581684399717', 'longitude': '-73.86042781911532', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",N/A,,,,,,,,
58911570,2023-09-24T14:35:00.000,2023-09-24T17:10:00.000,DEP,Department of Environmental Protection,Sewer,Sewer Backup (Use Comments) (SA),,11375,99-24 ASCAN AVENUE,ASCAN AVENUE,MANSE ST,LOUBET ST,,,ADDRESS,FOREST HILLS,,Closed,"The Department of Environmental Protection has investigated this complaint. Upon investigation, there was no indication of a city sewer issue and there is a suspected sewer backup due to an internal plumbing issue.",2023-09-24T17:10:00.000,06 QUEENS,4032770024,QUEENS,1027100,198209,ONLINE,Unspecified,QUEENS,40.71061090815999,-73.84543885098222,"{'latitude': '40.71061090815999', 'longitude': '-73.84543885098222', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,,
58913495,2023-09-24T14:34:55.000,2023-09-24T14:51:28.000,NYPD,New York City Police Department,Panhandling,N/A,Street/Sidewalk,10003,353 EAST   17 STREET,EAST   17 STREET,NATHAN D PERLMAN PLACE,1 AVENUE,NATHAN D PERLMAN PLACE,1 AVENUE,ADDRESS,NEW YORK,EAST   17 STREET,Closed,The Police Department responded to the complaint and determined that police action was not necessary.,2023-09-24T14:51:30.000,06 MANHATTAN,1009237501,MANHATTAN,989220,206561,MOBILE,Unspecified,MANHATTAN,40.73363749446277,-73.98206688512487,"{'latitude': '40.73363749446277', 'longitude': '-73.98206688512487', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,,
58915366,2023-09-24T14:34:45.000,,HPD,Department of Housing Preservation and Development,PAINT/PLASTER,CEILING,RESIDENTIAL BUILDING,10471,5775 MOSHOLU AVENUE,MOSHOLU AVENUE,,,,,ADDRESS,BRONX,,Open,The following complaint conditions are still open. HPD may attempt to contact you to verify the correction of the condition or may conduct an inspection.,2023-09-24T00:00:00.000,08 BRONX,2058577501,BRONX,1012454,269191,PHONE,Unspecified,BRONX,40.90549544759693,-73.8979691013358,"{'latitude': '40.90549544759693', 'longitude': '-73.8979691013358', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,,
58910415,2023-09-24T14:34:39.000,2023-09-26T14:17:35.000,HPD,Department of Housing Preservation and Development,HEAT/HOT WATER,ENTIRE BUILDING,RESIDENTIAL BUILDING,10030,134 EDGECOMBE AVENUE,EDGECOMBE AVENUE,,,,,ADDRESS,NEW YORK,,Closed,"The Department of Housing Preservation and Development was not able to gain access to your apartment to inspect for a lack of heat or hot water. However, HPD was able to verify that heat or hot water was inadequate by inspecting another apartment and a violation was issued. Information about specific violations is available at www.nyc.gov/hpd.",2023-09-26T00:00:00.000,10 MANHATTAN,1020430004,MANHATTAN,999494,238436,MOBILE,Unspecified,MANHATTAN,40.82111420730099,-73.94492318386848,"{'latitude': '40.82111420730099', 'longitude': '-73.94492318386848', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,,
58910904,2023-09-24T14:34:27.000,2023-09-24T15:08:30.000,NYPD,New York City Police Department,Illegal Parking,Double Parked Blocking Vehicle,Street/Sidewalk,10023,150 WEST END AVENUE,WEST END AVENUE,WEST   66 STREET,WEST   70 STREET,WEST   66 STREET,WEST   70 STREET,ADDRESS,NEW YORK,WEST END AVENUE,Closed,The Police Department responded to the complaint and took action to fix the condition.,2023-09-24T15:08:34.000,07 MANHATTAN,1011587503,MANHATTAN,987926,222252,PHONE,Unspecified,MANHATTAN,40.776705929123764,-73.98672741122267,"{'latitude': '40.776705929123764', 'longitude': '-73.98672741122267', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,,
58911116,2023-09-24T14:34:01.000,2023-09-24T14:46:35.000,NYPD,New York City Police Department,Noise - Street/Sidewalk,Loud Music/Party,Street/Sidewalk,10034,569 ACADEMY STREET,ACADEMY STREET,NAGLE AVENUE,POST AVENUE,NAGLE AVENUE,POST AVENUE,ADDRESS,NEW YORK,ACADEMY STREET,Closed,The Police Department responded to the complaint and took action to fix the condition.,2023-09-24T14:46:39.000,12 MANHATTAN,1022180001,MANHATTAN,1005541,253797,MOBILE,Unspecified,MANHATTAN,40.86326314171466,-73.92302651709883,"{'latitude': '40.86326314171466', 'longitude': '-73.92302651709883', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,,
58912884,2023-09-24T14:33:46.000,2023-09-25T13:03:54.000,HPD,Department of Housing Preservation and Development,HEAT/HOT WATER,ENTIRE BUILDING,RESIDENTIAL BUILDING,11208,790 ELDERT LANE,ELDERT LANE,,,,,ADDRESS,BROOKLYN,,Closed,"The Department of Housing Preservation and Development contacted an occupant of the apartment and verified that the following conditions were corrected. The complaint has been closed. If the condition still exists, please file a new complaint.",2023-09-25T00:00:00.000,05 BROOKLYN,3042719001,BROOKLYN,1022225,183607,ONLINE,Unspecified,BROOKLYN,40.67055409879978,-73.8631053928292,"{'latitude': '40.67055409879978', 'longitude': '-73.8631053928292', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,,
58912523,2023-09-24T14:33:25.000,2023-09-24T14:51:16.000,NYPD,New York City Police Department,Illegal Parking,Double Parked Blocking Vehicle,Street/Sidewalk,11224,NEPTUNE AVENUE,NEPTUNE AVENUE,NEPTUNE AVENUE,WEST    6 STREET,NEPTUNE AVENUE,WEST    6 STREET,INTERSECTION,,,Closed,The Police Department responded to the complaint and took action to fix the condition.,2023-09-24T14:51:19.000,13 BROOKLYN,,BROOKLYN,991291,150577,PHONE,Unspecified,BROOKLYN,40.57997233445759,-73.97465260582312,"{'latitude': '40.57997233445759', 'longitude': '-73.97465260582312', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,,
58910716,2023-09-24T14:33:21.000,2023-09-24T15:06:14.000,NYPD,New York City Police Department,Illegal Parking,Paper License Plates,Street/Sidewalk,11215,227 FOURTH AVENUE,FOURTH AVENUE,UNION STREET,PRESIDENT STREET,UNION STREET,PRESIDENT STREET,ADDRESS,BROOKLYN,4 AVENUE,Closed,The Police Department responded and upon arrival those responsible for the condition were gone.,2023-09-24T15:06:19.000,06 BROOKLYN,3009550001,BROOKLYN,988873,185914,MOBILE,Unspecified,BROOKLYN,40.67696653437602,-73.98333313058772,"{'latitude': '40.67696653437602', 'longitude': '-73.98333313058772', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,,
58915594,2023-09-24T14:33:15.000,2023-09-25T11:01:24.000,DCWP,Department of Consumer and Worker Protection,Consumer Complaint,Home Improvement Contractor,Business,11366,159-16 UNION TURNPIKE,UNION TURNPIKE,159 STREET,160 STREET,159 STREET,160 STREET,ADDRESS,FRESH MEADOWS,UNION TURNPIKE,Closed,"The Department of Consumer and Worker Protection (DCWP) determined this issue isn't within its jurisdiction.  Unfortunately, DCWP doesn't know of any agency that can act on the complaint and can't provide further assistance.",2023-09-25T11:01:29.000,08 QUEENS,4068540031,QUEENS,1037551,201777,ONLINE,Unspecified,QUEENS,40.72034740454125,-73.80771365989055,"{'latitude': '40.72034740454125', 'longitude': '-73.80771365989055', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,,
