unique_key,created_date,closed_date,agency,agency_name,complaint_type,descriptor,location_type,incident_zip,incident_address,street_name,cross_street_1,cross_street_2,intersection_street_1,intersection_street_2,address_type,city,landmark,status,resolution_description,resolution_action_updated_date,community_board,bbl,borough,x_coordinate_state_plane,y_coordinate_state_plane,open_data_channel_type,park_facility_name,park_borough,latitude,longitude,location,taxi_pick_up_location,facility_type,bridge_highway_name,bridge_highway_direction,bridge_highway_segment,road_ramp,due_date,vehicle_type
58964180,2023-09-29T22:48:21.000,2023-09-29T23:02:46.000,NYPD,New York City Police Department,Non-Emergency Police Matter,Other (complaint details),Store/Commercial,10308,18 NELSON AVENUE,NELSON AVENUE,AMBOY ROAD,LOCUST PLACE,AMBOY ROAD,LOCUST PLACE,ADDRESS,STATEN ISLAND,NELSON AVENUE,Closed,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,2023-09-29T23:02:49.000,03 STATEN ISLAND,5052150024,STATEN ISLAND,942359,139514,ONLINE,Unspecified,STATEN ISLAND,40.54951040706744,-74.15073769721619,"{'latitude': '40.54951040706744', 'longitude': '-74.15073769721619', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,
58966513,2023-09-29T22:48:12.000,,TLC,Taxi and Limousine Commission,For Hire Vehicle Complaint,Driver Complaint - Non Passenger,Street,10018,517 WEST   38 STREET,WEST   38 STREET,10 AVENUE,AMTRAK-NORTHEAST LINE,10 AVENUE,AMTRAK-NORTHEAST LINE,ADDRESS,NEW YORK,WEST   38 STREET,In Progress,,,04 MANHATTAN,1007107501,MANHATTAN,984750,215254,ONLINE,Unspecified,MANHATTAN,40.75749898318502,-73.99819521741526,"{'latitude': '40.75749898318502', 'longitude': '-73.99819521741526', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}","517 WEST   38 STREET, MANHATTAN (NEW YORK), NY, 10018",,,,,,,
59459408,2023-09-29T22:48:10.000,2023-09-30T19:10:00.000,DEP,Department of Environmental Protection,Sewer Maintenance,Backup,Sewer,11694,306 BEACH  102 STREET,BEACH  102 STREET,ROCKAWAY FREEWAY,BEACH CHANNEL DRIVE,ROCKAWAY FREEWAY,BEACH CHANNEL DRIVE,ADDRESS,FAR ROCKAWAY,BEACH  102 STREET,Closed,,2023-09-30T19:10:00.000,14 QUEENS,4161570029,QUEENS,1033295,152342,ONLINE,Unspecified,QUEENS,40.58468402788436,-73.82342685999265,"{'latitude': '40.58468402788436', 'longitude': '-73.82342685999265', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,
58964512,2023-09-29T22:47:53.000,,HPD,Department of Housing Preservation and Development,WATER LEAK,DAMP SPOT,RESIDENTIAL BUILDING,11237,187 STOCKHOLM STREET,STOCKHOLM STREET,,,,,ADDRESS,BROOKLYN,,Open,The following complaint conditions are still open. HPD may attempt to contact you to verify the correction of the condition or may conduct an inspection.,2023-09-29T00:00:00.000,04 BROOKLYN,3032460042,BROOKLYN,1005791,194313,ONLINE,Unspecified,BROOKLYN,40.69999484949539,-73.92231341303949,"{'latitude': '40.69999484949539', 'longitude': '-73.92231341303949', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,
58959637,2023-09-29T22:47:53.000,,HPD,Department of Housing Preservation and Development,DOOR/WINDOW,WINDOW PANE,RESIDENTIAL BUILDING,11237,187 STOCKHOLM STREET,STOCKHOLM STREET,,,,,ADDRESS,BROOKLYN,,Open,The following complaint conditions are still open. HPD may attempt to contact you to verify the correction of the condition or may conduct an inspection.,2023-09-29T00:00:00.000,04 BROOKLYN,3032460042,BROOKLYN,1005791,194313,ONLINE,Unspecified,BROOKLYN,40.69999484949539,-73.92231341303949,"{'latitude': '40.69999484949539', 'longitude': '-73.92231341303949', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,
58964482,2023-09-29T22:47:53.000,,HPD,Department of Housing Preservation and Development,UNSANITARY CONDITION,PESTS,RESIDENTIAL BUILDING,11237,187 STOCKHOLM STREET,STOCKHOLM STREET,,,,,ADDRESS,BROOKLYN,,Open,The following complaint conditions are still open. HPD may attempt to contact you to verify the correction of the condition or may conduct an inspection.,2023-09-29T00:00:00.000,04 BROOKLYN,3032460042,BROOKLYN,1005791,194313,ONLINE,Unspecified,BROOKLYN,40.69999484949539,-73.92231341303949,"{'latitude': '40.69999484949539', 'longitude': '-73.92231341303949', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,
58960820,2023-09-29T22:47:49.000,2023-09-29T23:11:18.000,NYPD,New York City Police Department,Illegal Parking,Blocked Sidewalk,Street/Sidewalk,10458,231 EAST  197 STREET,EAST  197 STREET,VALENTINE AVENUE,BRIGGS AVENUE,VALENTINE AVENUE,BRIGGS AVENUE,ADDRESS,BRONX,EAST  197 STREET,Closed,The Police Department issued a summons in response to the complaint.,2023-09-29T23:11:21.000,07 BRONX,2033010037,BRONX,1014556,255804,ONLINE,Unspecified,BRONX,40.86874539737843,-73.89042548488557,"{'latitude': '40.86874539737843', 'longitude': '-73.89042548488557', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,
58960132,2023-09-29T22:47:40.000,2023-09-29T23:10:52.000,NYPD,New York City Police Department,Illegal Parking,Blocked Bike Lane,Street/Sidewalk,10018,517 WEST   38 STREET,WEST   38 STREET,10 AVENUE,AMTRAK-NORTHEAST LINE,10 AVENUE,AMTRAK-NORTHEAST LINE,ADDRESS,NEW YORK,WEST   38 STREET,Closed,The Police Department responded and upon arrival those responsible for the condition were gone.,2023-09-29T23:10:55.000,04 MANHATTAN,1007107501,MANHATTAN,984750,215254,ONLINE,Unspecified,MANHATTAN,40.75749898318502,-73.99819521741526,"{'latitude': '40.75749898318502', 'longitude': '-73.99819521741526', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,
59452961,2023-09-29T22:47:36.000,,HPD,Department of Housing Preservation and Development,Water Leak,Damp Spot,Public Area,11237,187 STOCKHOLM STREET,STOCKHOLM STREET,WILSON AVENUE,KNICKERBOCKER AVENUE,WILSON AVENUE,KNICKERBOCKER AVENUE,ADDRESS,BROOKLYN,STOCKHOLM STREET,In Progress,,,04 BROOKLYN,3032460042,BROOKLYN,1005791,194313,ONLINE,Unspecified,BROOKLYN,40.69999484949539,-73.92231341303949,"{'latitude': '40.69999484949539', 'longitude': '-73.92231341303949', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,
59460450,2023-09-29T22:47:34.000,,HPD,Department of Housing Preservation and Development,Door/Window,Window Pane,Public Area,11237,187 STOCKHOLM STREET,STOCKHOLM STREET,WILSON AVENUE,KNICKERBOCKER AVENUE,WILSON AVENUE,KNICKERBOCKER AVENUE,ADDRESS,BROOKLYN,STOCKHOLM STREET,In Progress,,,04 BROOKLYN,3032460042,BROOKLYN,1005791,194313,ONLINE,Unspecified,BROOKLYN,40.69999484949539,-73.92231341303949,"{'latitude': '40.69999484949539', 'longitude': '-73.92231341303949', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,
58965779,2023-09-29T22:47:22.000,2023-09-29T23:27:44.000,NYPD,New York City Police Department,Noise - Street/Sidewalk,Loud Music/Party,Street/Sidewalk,11238,435 GRAND AVENUE,GRAND AVENUE,GATES AVENUE,PUTNAM AVENUE,GATES AVENUE,PUTNAM AVENUE,ADDRESS,BROOKLYN,GRAND AVENUE,Closed,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,2023-09-29T23:27:49.000,02 BROOKLYN,3019820001,BROOKLYN,994866,188122,ONLINE,Unspecified,BROOKLYN,40.68302183461124,-73.96172365199637,"{'latitude': '40.68302183461124', 'longitude': '-73.96172365199637', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,
58964874,2023-09-29T22:47:19.000,2023-09-30T04:13:09.000,NYPD,New York City Police Department,Illegal Parking,Blocked Hydrant,Street/Sidewalk,11378,66-25 52 AVENUE,52 AVENUE,66 STREET,67 STREET,66 STREET,67 STREET,ADDRESS,MASPETH,52 AVENUE,Closed,The Police Department responded and upon arrival those responsible for the condition were gone.,2023-09-30T04:13:11.000,05 QUEENS,4024130001,QUEENS,1012325,206575,ONLINE,Unspecified,QUEENS,40.733632759746,-73.89869773178044,"{'latitude': '40.733632759746', 'longitude': '-73.89869773178044', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,
58961984,2023-09-29T22:47:00.000,2023-10-02T16:02:00.000,DEP,Department of Environmental Protection,Noise,Noise: Alarms (NR3),,11356,118-02 14 ROAD,14 ROAD,118 ST,119 ST,,,ADDRESS,COLLEGE POINT,,Closed,The Department of Environmental Protection researched this complaint and determined that it could be closed.,2023-10-02T16:02:00.000,07 QUEENS,4040700025,QUEENS,1025977,225220,ONLINE,Unspecified,QUEENS,40.78475456500263,-73.84932194482406,"{'latitude': '40.78475456500263', 'longitude': '-73.84932194482406', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,N/A,,,,,,
58966667,2023-09-29T22:47:00.000,2023-10-25T08:40:00.000,DEP,Department of Environmental Protection,Noise,"Noise, Barking Dog (NR5)",,11432,152-11 89 AVENUE,89 AVENUE,150 ST,153 ST,,,ADDRESS,JAMAICA,,Closed,The Department of Environmental Protection determined that this complaint is a duplicate of a previously filed complaint. The original complaint is being addressed.,2023-10-25T08:40:00.000,12 QUEENS,4096950014,QUEENS,1038607,196239,ONLINE,Unspecified,QUEENS,40.70514052646012,-73.80394880749206,"{'latitude': '40.70514052646012', 'longitude': '-73.80394880749206', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,N/A,,,,,,
58959597,2023-09-29T22:46:32.000,2023-09-29T23:19:06.000,NYPD,New York City Police Department,Noise - Street/Sidewalk,Loud Talking,Street/Sidewalk,10032,76 ST NICHOLAS PLACE,ST NICHOLAS PLACE,WEST  153 STREET,EDGECOMBE AVENUE,WEST  153 STREET,EDGECOMBE AVENUE,ADDRESS,NEW YORK,ST NICHOLAS PLACE,Closed,The Police Department responded to the complaint and took action to fix the condition.,2023-09-29T23:19:11.000,09 MANHATTAN,1020540079,MANHATTAN,1000634,241478,ONLINE,Unspecified,MANHATTAN,40.829461589531974,-73.94079691863257,"{'latitude': '40.829461589531974', 'longitude': '-73.94079691863257', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,
58967327,2023-09-29T22:46:30.000,2023-09-30T00:25:09.000,NYPD,New York City Police Department,Noise - Street/Sidewalk,Loud Music/Party,Street/Sidewalk,10451,77 EAST  161 STREET,EAST  161 STREET,RIVER AVENUE,GERARD AVENUE,RIVER AVENUE,GERARD AVENUE,ADDRESS,BRONX,EAST  161 STREET,Closed,The Police Department responded to the complaint and took action to fix the condition.,2023-09-30T00:25:13.000,04 BRONX,2024840035,BRONX,1004969,240795,MOBILE,Unspecified,BRONX,40.82757784502502,-73.92513464523896,"{'latitude': '40.82757784502502', 'longitude': '-73.92513464523896', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,
58958087,2023-09-29T22:46:17.000,2023-09-29T23:09:00.000,NYPD,New York City Police Department,Noise - Street/Sidewalk,Loud Music/Party,Street/Sidewalk,10031,556 WEST  146 STREET,WEST  146 STREET,AMSTERDAM AVENUE,BROADWAY,AMSTERDAM AVENUE,BROADWAY,ADDRESS,NEW YORK,WEST  146 STREET,Closed,The Police Department responded to the complaint and took action to fix the condition.,2023-09-29T23:09:04.000,09 MANHATTAN,1020770059,MANHATTAN,998467,240410,ONLINE,Unspecified,MANHATTAN,40.82653398904319,-73.94862956789706,"{'latitude': '40.82653398904319', 'longitude': '-73.94862956789706', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,
58967226,2023-09-29T22:46:14.000,2023-09-29T23:22:04.000,NYPD,New York City Police Department,Noise - Residential,Banging/Pounding,Residential Building/House,10040,4580 BROADWAY,BROADWAY,BENNETT AVENUE,WEST  196 STREET,BENNETT AVENUE,WEST  196 STREET,ADDRESS,NEW YORK,BROADWAY,Closed,The Police Department responded to the complaint and took action to fix the condition.,2023-09-29T23:22:09.000,12 MANHATTAN,1021720004,MANHATTAN,1003335,252644,MOBILE,Unspecified,MANHATTAN,40.86010355018393,-73.93100516216545,"{'latitude': '40.86010355018393', 'longitude': '-73.93100516216545', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,
58965797,2023-09-29T22:45:38.000,2023-09-29T23:24:43.000,NYPD,New York City Police Department,Noise - Vehicle,Car/Truck Music,Street/Sidewalk,10032,645 WEST  160 STREET,WEST  160 STREET,FORT WASHINGTON AVENUE,RIVERSIDE DRIVE,FORT WASHINGTON AVENUE,RIVERSIDE DRIVE,ADDRESS,NEW YORK,WEST  160 STREET,Closed,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,2023-09-29T23:24:47.000,12 MANHATTAN,1021360090,MANHATTAN,999363,244122,ONLINE,Unspecified,MANHATTAN,40.83672087313633,-73.9453836800344,"{'latitude': '40.83672087313633', 'longitude': '-73.9453836800344', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,
58967388,2023-09-29T22:45:30.000,2023-10-05T09:49:00.000,HPD,Department of Housing Preservation and Development,DOOR/WINDOW,WINDOW FRAME,RESIDENTIAL BUILDING,10452,957 WOODYCREST AVENUE,WOODYCREST AVENUE,,,,,ADDRESS,BRONX,,Closed,The Department of Housing Preservation and Development inspected the following conditions. No violations were issued. The complaint has been closed.,2023-10-05T00:00:00.000,04 BRONX,2025110068,BRONX,1003936,242233,ONLINE,Unspecified,BRONX,40.8315271048226,-73.92886303221528,"{'latitude': '40.8315271048226', 'longitude': '-73.92886303221528', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,
58960985,2023-09-29T22:45:00.000,2023-09-30T05:15:00.000,DOT,Department of Transportation,Traffic Signal Condition,Controller,,10304,,,,,VAN DUZER STREET,WRIGHT STREET,INTERSECTION,STATEN ISLAND,,Closed,"Service Request status for this request is available on the Department of Transportation's website. Please click the ""Learn More"" link below.",2023-09-30T05:15:00.000,01 STATEN ISLAND,,STATEN ISLAND,961938,168179,UNKNOWN,Unspecified,STATEN ISLAND,40.628260934680235,-74.08038067379611,"{'latitude': '40.628260934680235', 'longitude': '-74.08038067379611', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,N/A,,,,,,
58957288,2023-09-29T22:44:54.000,2023-11-09T11:52:52.000,TLC,Taxi and Limousine Commission,For Hire Vehicle Complaint,Driver Complaint - Non Passenger,Street,10036,560 11 AVENUE,11 AVENUE,WEST   42 STREET,WEST   43 STREET,WEST   42 STREET,WEST   43 STREET,ADDRESS,NEW YORK,11 AVENUE,Closed,The Taxi and Limousine Commission (TLC) reviewed your complaint. The driver or owner pled guilty to a violation and paid a fine. TLC has sent you a written confirmation of this outcome.,2023-11-09T11:52:56.000,04 MANHATTAN,1010710001,MANHATTAN,984789,216587,ONLINE,Unspecified,MANHATTAN,40.76115772460374,-73.99805433750213,"{'latitude': '40.76115772460374', 'longitude': '-73.99805433750213', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}","560 11 AVENUE, MANHATTAN (NEW YORK), NY, 10036",,,,,,,
58964418,2023-09-29T22:44:48.000,2023-10-04T13:33:35.000,HPD,Department of Housing Preservation and Development,PLUMBING,WATER SUPPLY,RESIDENTIAL BUILDING,10033,625 WEST  175 STREET,WEST  175 STREET,,,,,ADDRESS,NEW YORK,,Closed,The Department of Housing Preservation and Development contacted an occupant of the apartment or building and verified that the complaint was addressed.  The complaint has been closed.,2023-10-04T00:00:00.000,12 MANHATTAN,,MANHATTAN,1001589,247416,ONLINE,Unspecified,MANHATTAN,40.845757849955945,-73.93733070584908,"{'latitude': '40.845757849955945', 'longitude': '-73.93733070584908', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,
58956771,2023-09-29T22:44:34.000,2023-10-20T17:17:04.000,HPD,Department of Housing Preservation and Development,UNSANITARY CONDITION,GARBAGE/RECYCLING STORAGE,RESIDENTIAL BUILDING,11218,102 ALBEMARLE ROAD,ALBEMARLE ROAD,,,,,ADDRESS,BROOKLYN,,Closed,The Department of Housing Preservation and Development inspected the following conditions. No violations were issued. The complaint has been closed.,2023-10-20T00:00:00.000,12 BROOKLYN,3053340001,BROOKLYN,989898,174314,PHONE,Unspecified,BROOKLYN,40.64512649981427,-73.97964751072021,"{'latitude': '40.64512649981427', 'longitude': '-73.97964751072021', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,
59445373,2023-09-29T22:44:32.000,2023-10-04T00:00:00.000,HPD,Department of Housing Preservation and Development,Plumbing,Water Supply,Building-Wide,10033,625 WEST  175 STREET,WEST  175 STREET,ST NICHOLAS AVENUE,WADSWORTH AVENUE,ST NICHOLAS AVENUE,WADSWORTH AVENUE,ADDRESS,NEW YORK,WEST  175 STREET,Closed,,2023-10-04T00:00:00.000,12 MANHATTAN,,MANHATTAN,1001589,247416,ONLINE,Unspecified,MANHATTAN,40.845757849955945,-73.93733070584908,"{'latitude': '40.845757849955945', 'longitude': '-73.93733070584908', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,
59453597,2023-09-29T22:44:23.000,2023-10-05T00:00:00.000,HPD,Department of Housing Preservation and Development,Door/Window,Window Frame,Apartment,10452,957 WOODYCREST AVENUE,WOODYCREST AVENUE,WEST  162 STREET,WEST  163 STREET,WEST  162 STREET,WEST  163 STREET,ADDRESS,BRONX,WOODYCREST AVENUE,Closed,,2023-10-05T00:00:00.000,04 BRONX,2025110068,BRONX,1003936,242233,ONLINE,Unspecified,BRONX,40.8315271048226,-73.92886303221528,"{'latitude': '40.8315271048226', 'longitude': '-73.92886303221528', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,
58965783,2023-09-29T22:44:12.000,2023-09-29T22:46:23.000,NYPD,New York City Police Department,Noise - Street/Sidewalk,Loud Music/Party,Street/Sidewalk,10459,1365 LYMAN PLACE,LYMAN PLACE,EAST  169 STREET,FREEMAN STREET,EAST  169 STREET,FREEMAN STREET,ADDRESS,BRONX,LYMAN PLACE,Closed,The Police Department responded to the complaint and took action to fix the condition.,2023-09-29T22:46:27.000,03 BRONX,2029700031,BRONX,1012879,241521,ONLINE,Unspecified,BRONX,40.829548409045366,-73.89654983563152,"{'latitude': '40.829548409045366', 'longitude': '-73.89654983563152', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,
58966356,2023-09-29T22:43:49.000,2023-09-29T23:04:20.000,NYPD,New York City Police Department,Animal-Abuse,Neglected,Residential Building/House,10463,233 WEST  233 STREET,WEST  233 STREET,BROADWAY,KINGSBRIDGE AVENUE,BROADWAY,KINGSBRIDGE AVENUE,ADDRESS,BRONX,WEST  233 STREET,Closed,The Police Department responded to the complaint and took action to fix the condition.,2023-09-29T23:04:24.000,08 BRONX,2057550019,BRONX,1010716,260377,ONLINE,Unspecified,BRONX,40.88130921465627,-73.90429132976345,"{'latitude': '40.88130921465627', 'longitude': '-73.90429132976345', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,
