unique_key,created_date,closed_date,agency,agency_name,complaint_type,descriptor,location_type,incident_zip,incident_address,street_name,address_type,city,status,resolution_description,resolution_action_updated_date,community_board,bbl,borough,x_coordinate_state_plane,y_coordinate_state_plane,open_data_channel_type,park_facility_name,park_borough,latitude,longitude,location,cross_street_1,cross_street_2,intersection_street_1,intersection_street_2,landmark,facility_type,due_date,bridge_highway_name,bridge_highway_segment,bridge_highway_direction,road_ramp,taxi_pick_up_location
58846664,2023-09-18T05:27:33.000,2023-09-18T05:53:59.000,NYPD,New York City Police Department,Illegal Parking,Double Parked Blocking Traffic,Street/Sidewalk,10032,525 WEST  158 STREET,WEST  158 STREET,ADDRESS,NEW YORK,Closed,The Police Department issued a summons in response to the complaint.,2023-09-18T05:54:06.000,12 MANHATTAN,1021170051,MANHATTAN,1000175,243082,MOBILE,Unspecified,MANHATTAN,40.83386494734227,-73.94245169279591,"{'latitude': '40.83386494734227', 'longitude': '-73.94245169279591', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",AMSTERDAM AVENUE,BROADWAY,AMSTERDAM AVENUE,BROADWAY,WEST  158 STREET,,,,,,,
58851362,2023-09-18T05:27:20.000,,DHS,Department of Homeless Services,Homeless Person Assistance,,Street/Sidewalk,10036,1530 BROADWAY,BROADWAY,ADDRESS,NEW YORK,Closed,The individual was found and outreach assistance was offered.,2023-09-18T08:06:22.000,05 MANHATTAN,1009970001,MANHATTAN,988372,215318,ONLINE,Unspecified,MANHATTAN,40.75767370013583,-73.98512133327421,"{'latitude': '40.75767370013583', 'longitude': '-73.98512133327421', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",AVENUE OF THE AMERICAS,7 AVENUE,AVENUE OF THE AMERICAS,7 AVENUE,BROADWAY,,,,,,,
58853029,2023-09-18T05:27:10.000,2023-09-18T06:33:55.000,NYPD,New York City Police Department,Illegal Parking,Posted Parking Sign Violation,Street/Sidewalk,11201,23 PIERREPONT STREET,PIERREPONT STREET,ADDRESS,BROOKLYN,Closed,The Police Department responded to the complaint and took action to fix the condition.,2023-09-18T06:34:02.000,02 BROOKLYN,3002340002,BROOKLYN,985204,192914,MOBILE,Unspecified,BROOKLYN,40.69618108689035,-73.99655964185348,"{'latitude': '40.69618108689035', 'longitude': '-73.99655964185348', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",PIERREPONT PLACE,WILLOW STREET,PIERREPONT PLACE,WILLOW STREET,PIERREPONT STREET,,,,,,,
58851930,2023-09-18T05:26:59.000,2023-09-18T06:32:27.000,NYPD,New York City Police Department,Noise - Residential,Banging/Pounding,Residential Building/House,11385,1812 MENAHAN STREET,MENAHAN STREET,ADDRESS,RIDGEWOOD,Closed,The Police Department responded to the complaint but officers were unable to gain entry into the premises.,2023-09-18T06:32:37.000,05 QUEENS,4034380016,QUEENS,1009106,196084,MOBILE,Unspecified,QUEENS,40.70484713622943,-73.91035149517833,"{'latitude': '40.70484713622943', 'longitude': '-73.91035149517833', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",SENECA AVENUE,ONDERDONK AVENUE,SENECA AVENUE,ONDERDONK AVENUE,MENAHAN STREET,,,,,,,
58852288,2023-09-18T05:26:50.000,2023-09-19T00:00:00.000,DOB,Department of Buildings,Elevator,Elevator - Single Device On Property/No Alternate Service,,10461,3063 BUHRE AVENUE,BUHRE AVENUE,ADDRESS,BRONX,Closed,The Department of Buildings investigated this complaint and issued an Office of Administrative Trials and Hearings (OATH) summons.,2023-09-19T00:00:00.000,10 BRONX,2041960034,BRONX,1031092,248129,UNKNOWN,Unspecified,BRONX,40.84760760081556,-73.83069160355709,"{'latitude': '40.84760760081556', 'longitude': '-73.83069160355709', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,,,,,
58853261,2023-09-18T05:26:24.000,2023-09-18T16:24:35.000,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,Residential Building/House,10467,2812 BRONX PARK EAST,BRONX PARK EAST,ADDRESS,BRONX,Closed,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,2023-09-18T16:24:39.000,11 BRONX,2045060040,BRONX,1020081,255155,ONLINE,Unspecified,BRONX,40.86694339382272,-73.87045276623726,"{'latitude': '40.86694339382272', 'longitude': '-73.87045276623726', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",BRITTON STREET,ARNOW AVENUE,BRITTON STREET,ARNOW AVENUE,BRONX PARK EAST,,,,,,,
58847525,2023-09-18T05:24:29.000,2023-09-18T05:33:16.000,NYPD,New York City Police Department,Encampment,N/A,Street/Sidewalk,10023,BROADWAY,BROADWAY,INTERSECTION,,Closed,The Police Department visited the location and no Encampment was found.,2023-09-18T05:33:25.000,07 MANHATTAN,,MANHATTAN,989207,222394,PHONE,Unspecified,MANHATTAN,40.77709505617554,-73.98210211990181,"{'latitude': '40.77709505617554', 'longitude': '-73.98210211990181', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",BROADWAY,WEST   70 STREET,BROADWAY,WEST   70 STREET,,,,,,,,
58845294,2023-09-18T05:24:28.000,2023-09-18T08:37:44.000,NYPD,New York City Police Department,Illegal Parking,Unauthorized Bus Layover,Street/Sidewalk,11204,1702 BAY RIDGE PARKWAY,BAY RIDGE PARKWAY,ADDRESS,BROOKLYN,Closed,The Police Department responded and upon arrival those responsible for the condition were gone.,2023-09-18T08:37:57.000,11 BROOKLYN,3062260010,BROOKLYN,984731,163249,MOBILE,Unspecified,BROOKLYN,40.61475719829092,-73.99826751176839,"{'latitude': '40.61475719829092', 'longitude': '-73.99826751176839', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",17 AVENUE,18 AVENUE,17 AVENUE,18 AVENUE,BAY RIDGE PARKWAY,,,,,,,
58847981,2023-09-18T05:24:06.000,2023-09-22T00:00:00.000,DSNY,Department of Sanitation,Graffiti,Graffiti,Comercial,10002,147 CANAL STREET,CANAL STREET,ADDRESS,NEW YORK,Closed,The City has removed the graffiti from this property.,2023-09-25T08:32:33.000,03 MANHATTAN,1003030004,MANHATTAN,985446,200299,UNKNOWN,Unspecified,MANHATTAN,40.71645114015213,-73.99568561876087,"{'latitude': '40.71645114015213', 'longitude': '-73.99568561876087', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,N/A,2023-10-18T05:24:06.000,,,,,
58849338,2023-09-18T05:24:02.000,2023-09-18T05:53:35.000,NYPD,New York City Police Department,Blocked Driveway,No Access,Street/Sidewalk,10032,525 WEST  158 STREET,WEST  158 STREET,ADDRESS,NEW YORK,Closed,The Police Department issued a summons in response to the complaint.,2023-09-18T05:53:41.000,12 MANHATTAN,1021170051,MANHATTAN,1000175,243082,MOBILE,Unspecified,MANHATTAN,40.83386494734227,-73.94245169279591,"{'latitude': '40.83386494734227', 'longitude': '-73.94245169279591', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",AMSTERDAM AVENUE,BROADWAY,AMSTERDAM AVENUE,BROADWAY,WEST  158 STREET,,,,,,,
58848831,2023-09-18T05:24:01.000,2023-09-18T05:39:15.000,NYPD,New York City Police Department,Encampment,N/A,Subway,,,,,,Closed,The Police Department visited the location and no Encampment was found.,2023-09-18T05:39:25.000,Unspecified BROOKLYN,,BROOKLYN,987954,191485,ONLINE,Unspecified,BROOKLYN,40.692258089240866,-73.98664325277377,"{'latitude': '40.692258089240866', 'longitude': '-73.98664325277377', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,A,Platform,,,
58849284,2023-09-18T05:23:52.000,2023-10-31T00:00:00.000,DOB,Department of Buildings,Building/Use,Illegal Conversion Of Residential Building/Space,,11225,11 MAPLE STREET,MAPLE STREET,ADDRESS,BROOKLYN,Closed,"The Department of Buildings attempted to investigate this complaint twice but could not gain access to the location. If the problem still exists, please call 311 and file a new complaint with additional access information. If you are outside of New York City, please call (212) NEW-YORK (212-639-9675).",2023-10-31T00:00:00.000,09 BROOKLYN,3050280001,BROOKLYN,995396,179830,UNKNOWN,Unspecified,BROOKLYN,40.66026150321047,-73.9598264305932,"{'latitude': '40.66026150321047', 'longitude': '-73.9598264305932', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,,,,,
58853416,2023-09-18T05:22:50.000,2023-10-04T21:45:40.000,HPD,Department of Housing Preservation and Development,PAINT/PLASTER,WALL,RESIDENTIAL BUILDING,11225,441 BROOKLYN AVENUE,BROOKLYN AVENUE,ADDRESS,BROOKLYN,Closed,The Department of Housing Preservation and Development inspected the following conditions. No violations were issued. The complaint has been closed.,2023-10-04T00:00:00.000,09 BROOKLYN,3013230017,BROOKLYN,999381,181248,PHONE,Unspecified,BROOKLYN,40.66414768607463,-73.94546010128431,"{'latitude': '40.66414768607463', 'longitude': '-73.94546010128431', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,,,,,
58852239,2023-09-18T05:22:50.000,2023-10-04T21:45:39.000,HPD,Department of Housing Preservation and Development,DOOR/WINDOW,WINDOW FRAME,RESIDENTIAL BUILDING,11225,441 BROOKLYN AVENUE,BROOKLYN AVENUE,ADDRESS,BROOKLYN,Closed,The Department of Housing Preservation and Development inspected the following conditions. No violations were issued. The complaint has been closed.,2023-10-04T00:00:00.000,09 BROOKLYN,3013230017,BROOKLYN,999381,181248,PHONE,Unspecified,BROOKLYN,40.66414768607463,-73.94546010128431,"{'latitude': '40.66414768607463', 'longitude': '-73.94546010128431', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,,,,,
58847175,2023-09-18T05:22:50.000,2023-10-04T21:45:39.000,HPD,Department of Housing Preservation and Development,WATER LEAK,HEAVY FLOW,RESIDENTIAL BUILDING,11225,441 BROOKLYN AVENUE,BROOKLYN AVENUE,ADDRESS,BROOKLYN,Closed,The Department of Housing Preservation and Development inspected the following conditions. No violations were issued. The complaint has been closed.,2023-10-04T00:00:00.000,09 BROOKLYN,3013230017,BROOKLYN,999381,181248,PHONE,Unspecified,BROOKLYN,40.66414768607463,-73.94546010128431,"{'latitude': '40.66414768607463', 'longitude': '-73.94546010128431', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,,,,,
58854408,2023-09-18T05:21:00.000,2023-09-18T07:10:00.000,DOT,Department of Transportation,Traffic Signal Condition,Controller,,11365,,,INTERSECTION,QUEENS,Closed,Service Request status for this request is available on the Department of Transportationâs website. Please click the âLearn Moreâ link below.,2023-09-18T07:10:00.000,08 QUEENS,,QUEENS,1039323,204651,UNKNOWN,Unspecified,QUEENS,40.72822496350315,-73.80129757368344,"{'latitude': '40.72822496350315', 'longitude': '-73.80129757368344', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,73 AVENUE,168 STREET,,N/A,,,,,,
58854360,2023-09-18T05:20:31.000,2023-09-18T06:58:07.000,NYPD,New York City Police Department,Blocked Driveway,No Access,Street/Sidewalk,11214,8801 20 AVENUE,20 AVENUE,ADDRESS,BROOKLYN,Closed,The Police Department responded to the complaint and took action to fix the condition.,2023-09-18T06:58:17.000,11 BROOKLYN,3064420012,BROOKLYN,983584,158089,PHONE,Unspecified,BROOKLYN,40.60059404267213,-74.00239832100644,"{'latitude': '40.60059404267213', 'longitude': '-74.00239832100644', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",BATH AVENUE,CROPSEY AVENUE,BATH AVENUE,CROPSEY AVENUE,20 AVENUE,,,,,,,
58848220,2023-09-18T05:20:15.000,2023-09-18T05:43:42.000,NYPD,New York City Police Department,Noise - Vehicle,Car/Truck Music,Street/Sidewalk,11373,42-41 JUDGE STREET,JUDGE STREET,ADDRESS,ELMHURST,Closed,The Police Department responded and upon arrival those responsible for the condition were gone.,2023-09-18T05:43:50.000,04 QUEENS,4015160044,QUEENS,1017475,210411,ONLINE,Unspecified,QUEENS,40.744143772196075,-73.88009620043174,"{'latitude': '40.744143772196075', 'longitude': '-73.88009620043174', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",VIETOR AVENUE,ELMHURST AVENUE,VIETOR AVENUE,ELMHURST AVENUE,JUDGE STREET,,,,,,,
58851703,2023-09-18T05:17:04.000,2023-09-18T05:54:49.000,NYPD,New York City Police Department,Illegal Parking,Commercial Overnight Parking,Street/Sidewalk,10314,170 QUINLAN AVENUE,QUINLAN AVENUE,ADDRESS,STATEN ISLAND,Closed,The Police Department responded to the complaint and took action to fix the condition.,2023-09-18T05:54:56.000,02 STATEN ISLAND,5007640053,STATEN ISLAND,948517,160691,MOBILE,Unspecified,STATEN ISLAND,40.60766398186747,-74.12869115743761,"{'latitude': '40.60766398186747', 'longitude': '-74.12869115743761', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",SOUTH GANNON AVENUE,WESTWOOD AVENUE,SOUTH GANNON AVENUE,WESTWOOD AVENUE,QUINLAN AVENUE,,,,,,,
58854496,2023-09-18T05:16:31.000,2023-09-18T05:30:52.000,NYPD,New York City Police Department,Noise - Street/Sidewalk,Loud Music/Party,Street/Sidewalk,10040,570 WEST  190 STREET,WEST  190 STREET,ADDRESS,NEW YORK,Closed,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,2023-09-18T05:31:00.000,12 MANHATTAN,1021580067,MANHATTAN,1003895,250647,MOBILE,Unspecified,MANHATTAN,40.85462115652687,-73.9289865404921,"{'latitude': '40.85462115652687', 'longitude': '-73.9289865404921', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",AUDUBON AVENUE,ST NICHOLAS AVENUE,AUDUBON AVENUE,ST NICHOLAS AVENUE,WEST  190 STREET,,,,,,,
58855176,2023-09-18T05:16:30.000,2023-09-18T07:01:31.000,DSNY,Department of Sanitation,Vendor Enforcement,Food Vendor,Street,10010,60 WEST   23 STREET,WEST   23 STREET,ADDRESS,NEW YORK,Closed,N/A,2023-09-18T07:01:37.000,05 MANHATTAN,1008240011,MANHATTAN,986625,209724,ONLINE,Unspecified,MANHATTAN,40.74232022359292,-73.99142923577988,"{'latitude': '40.74232022359292', 'longitude': '-73.99142923577988', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",5 AVENUE,AVENUE OF THE AMERICAS,5 AVENUE,AVENUE OF THE AMERICAS,WEST   23 STREET,,,,,,,
58845706,2023-09-18T05:14:18.000,2023-09-18T05:37:42.000,NYPD,New York City Police Department,Noise - Vehicle,Car/Truck Music,Street/Sidewalk,11385,69-08 69 PLACE,69 PLACE,ADDRESS,RIDGEWOOD,Closed,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,2023-09-18T05:37:50.000,05 QUEENS,4036580014,QUEENS,1016515,196520,ONLINE,Unspecified,QUEENS,40.706019938478846,-73.88362728343544,"{'latitude': '40.706019938478846', 'longitude': '-73.88362728343544', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",OTTO ROAD,70 AVENUE,OTTO ROAD,70 AVENUE,69 PLACE,,,,,,,
58850101,2023-09-18T05:13:46.000,,DHS,Department of Homeless Services,Homeless Person Assistance,,Street/Sidewalk,10036,208 WEST   41 STREET,WEST   41 STREET,ADDRESS,NEW YORK,Closed,"The mobile outreach response team offered services to the individual, but the individual did not accept assistance.",2023-09-18T08:30:24.000,05 MANHATTAN,1010120038,MANHATTAN,987564,214568,MOBILE,Unspecified,MANHATTAN,40.75561548114431,-73.98803823923103,"{'latitude': '40.75561548114431', 'longitude': '-73.98803823923103', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",7 AVENUE,8 AVENUE,7 AVENUE,8 AVENUE,WEST   41 STREET,,,,,,,
58853652,2023-09-18T05:12:33.000,,DPR,Department of Parks and Recreation,Damaged Tree,Entire Tree Has Fallen Down,Street,11235,SHORE PARKWAY,SHORE PARKWAY,BLOCKFACE,,In Progress,"NYC Parks reviewed this request and will visit the location to investigate the condition.  Under NYC Parksâ Tree Risk Management Program, all trees under the agency's jurisdiction are assessed for risk, and work is prioritized to address the conditions with the highest risk first.  For more information about the Tree Risk Management Program, visit the NYC Urban Forest page on the NYC Parks website at nyc.gov/parks/trees.   To learn more about the trees in your neighborhood, visit the NYC Tree Map at nyc.gov/parks/treemap.",2023-10-30T13:22:11.000,Unspecified BROOKLYN,,BROOKLYN,,,PHONE,Unspecified,BROOKLYN,,,,BEDFORD AVENUE,NOSTRAND AVENUE,BEDFORD AVENUE,NOSTRAND AVENUE,,,,,,,,
58848944,2023-09-18T05:11:09.000,2023-09-18T07:01:29.000,DSNY,Department of Sanitation,Vendor Enforcement,Food Vendor,Street,10010,60 WEST   23 STREET,WEST   23 STREET,ADDRESS,NEW YORK,Closed,N/A,2023-09-18T07:01:37.000,05 MANHATTAN,1008240011,MANHATTAN,986625,209724,ONLINE,Unspecified,MANHATTAN,40.74232022359292,-73.99142923577988,"{'latitude': '40.74232022359292', 'longitude': '-73.99142923577988', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",5 AVENUE,AVENUE OF THE AMERICAS,5 AVENUE,AVENUE OF THE AMERICAS,WEST   23 STREET,,,,,,,
58846774,2023-09-18T05:11:03.000,2023-09-18T05:45:12.000,NYPD,New York City Police Department,Blocked Driveway,No Access,Street/Sidewalk,11375,108-14 67 AVENUE,67 AVENUE,ADDRESS,FOREST HILLS,Closed,The Police Department issued a summons in response to the complaint.,2023-09-18T05:45:21.000,06 QUEENS,4021760011,QUEENS,1026584,204920,ONLINE,Unspecified,QUEENS,40.729033442913526,-73.84725786465239,"{'latitude': '40.729033442913526', 'longitude': '-73.84725786465239', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",108 STREET,110 STREET,108 STREET,110 STREET,67 AVENUE,,,,,,,
58846767,2023-09-18T05:10:42.000,2023-09-18T06:16:08.000,NYPD,New York City Police Department,Blocked Driveway,No Access,Street/Sidewalk,11370,80-18 GRAND CENTRAL PARKWAY SR EB,GRAND CENTRAL PARKWAY SR EB,ADDRESS,EAST ELMHURST,Closed,The Police Department issued a summons in response to the complaint.,2023-09-18T06:16:16.000,03 QUEENS,4010330009,QUEENS,1015022,218418,MOBILE,Unspecified,QUEENS,40.76612980856549,-73.88891203681796,"{'latitude': '40.76612980856549', 'longitude': '-73.88891203681796', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",80 STREET,81 STREET,80 STREET,81 STREET,GRAND CENTRAL PARKWAY,,,,,,,
58849160,2023-09-18T05:08:57.000,2023-09-18T08:21:11.000,NYPD,New York City Police Department,Illegal Parking,Blocked Hydrant,Street/Sidewalk,11385,67 PLACE,67 PLACE,INTERSECTION,,Closed,The Police Department issued a summons in response to the complaint.,2023-09-18T08:21:18.000,05 QUEENS,,QUEENS,1015470,196518,PHONE,Unspecified,QUEENS,40.7060181977481,-73.88739637228674,"{'latitude': '40.7060181977481', 'longitude': '-73.88739637228674', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",67 PLACE,OTTO ROAD,67 PLACE,OTTO ROAD,,,,,,,,
58846292,2023-09-18T05:08:15.000,,DHS,Department of Homeless Services,Homeless Person Assistance,,Street/Sidewalk,10036,234 WEST   42 STREET,WEST   42 STREET,ADDRESS,NEW YORK,Closed,The mobile outreach response team went to the location provided but could not find the individual that you reported.,2023-09-18T05:53:09.000,05 MANHATTAN,1010130012,MANHATTAN,987392,214980,MOBILE,Unspecified,MANHATTAN,40.75674637896318,-73.98865887434677,"{'latitude': '40.75674637896318', 'longitude': '-73.98865887434677', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",7 AVENUE,8 AVENUE,7 AVENUE,8 AVENUE,WEST   42 STREET,,,,,,,
