unique_key,created_date,closed_date,agency,agency_name,complaint_type,descriptor,incident_zip,incident_address,street_name,address_type,city,status,resolution_description,resolution_action_updated_date,community_board,bbl,borough,x_coordinate_state_plane,y_coordinate_state_plane,open_data_channel_type,park_facility_name,park_borough,latitude,longitude,location,facility_type,location_type,cross_street_1,cross_street_2,intersection_street_1,intersection_street_2,landmark,due_date,bridge_highway_name,bridge_highway_direction,road_ramp,bridge_highway_segment,taxi_pick_up_location,taxi_company_borough
58885833,2023-09-21T12:14:42.000,2023-09-22T16:24:35.000,HPD,Department of Housing Preservation and Development,PAINT/PLASTER,CEILING,11428,93-45 222 STREET,222 STREET,ADDRESS,QUEENS VILLAGE,Closed,The Department of Housing Preservation and Development inspected the following conditions. Violations were issued. Information about specific violations is available at www.nyc.gov/hpd,2023-09-22T00:00:00.000,13 QUEENS,4107410184,QUEENS,1058225,202454,PHONE,Unspecified,QUEENS,40.72205687833085,-73.7331240042316,"{'latitude': '40.72205687833085', 'longitude': '-73.7331240042316', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,RESIDENTIAL BUILDING,,,,,,,,,,,,
58893025,2023-09-21T12:14:26.000,2023-09-22T12:29:29.000,DSNY,Department of Sanitation,Illegal Dumping,Chronic Dumping,11418,85-12 115 STREET,115 STREET,ADDRESS,RICHMOND HILL,Closed,The Department of Sanitation investigated this complaint and found no condition at the location.,2023-09-22T12:29:33.000,09 QUEENS,4092220011,QUEENS,1029877,194899,PHONE,Unspecified,QUEENS,40.701511869952945,-73.83544458555444,"{'latitude': '40.701511869952945', 'longitude': '-73.83544458555444', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,Sidewalk,85 AVENUE,MYRTLE AVENUE,85 AVENUE,MYRTLE AVENUE,115 STREET,,,,,,,
58885403,2023-09-21T12:14:26.000,2023-09-21T12:30:38.000,NYPD,New York City Police Department,Illegal Parking,Posted Parking Sign Violation,10031,469 WEST  141 STREET,WEST  141 STREET,ADDRESS,NEW YORK,Closed,The Police Department responded to the complaint and took action to fix the condition.,2023-09-21T12:30:43.000,09 MANHATTAN,1020580104,MANHATTAN,998439,238901,MOBILE,Unspecified,MANHATTAN,40.82239225827165,-73.94873393161495,"{'latitude': '40.82239225827165', 'longitude': '-73.94873393161495', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,Street/Sidewalk,CONVENT AVENUE,AMSTERDAM AVENUE,CONVENT AVENUE,AMSTERDAM AVENUE,WEST  141 STREET,,,,,,,
58883802,2023-09-21T12:14:17.000,2023-09-27T15:50:42.000,DSNY,Department of Sanitation,Street Sweeping Complaint,Inadequate Sweeping,11221,1047 DEKALB AVENUE,DEKALB AVENUE,ADDRESS,BROOKLYN,Closed,The Department of Sanitation investigated this complaint and issued a Notice of Violation.,2023-09-25T10:38:06.000,03 BROOKLYN,3015990101,BROOKLYN,1002651,191915,PHONE,Unspecified,BROOKLYN,40.693419985348235,-73.93364421941473,"{'latitude': '40.693419985348235', 'longitude': '-73.93364421941473', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,Street,STUYVESANT AVENUE,MALCOLM X BOULEVARD,STUYVESANT AVENUE,MALCOLM X BOULEVARD,DEKALB AVENUE,,,,,,,
58888896,2023-09-21T12:14:09.000,2023-09-25T07:35:38.000,DOT,Department of Transportation,Street Condition,Blocked - Construction,11205,52 SPENCER STREET,SPENCER STREET,ADDRESS,BROOKLYN,Closed,The Department of Transportation inspected the condition you reported and found that the condition meets its standards and/or there is a valid permit to conduct work.,2023-09-25T07:35:41.000,03 BROOKLYN,3017150003,BROOKLYN,996513,193405,PHONE,Unspecified,BROOKLYN,40.69752032256965,-73.95577572200784,"{'latitude': '40.69752032256965', 'longitude': '-73.95577572200784', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,Street,FLUSHING AVENUE,PARK AVENUE,FLUSHING AVENUE,PARK AVENUE,SPENCER STREET,,,,,,,
58887932,2023-09-21T12:14:00.000,2023-10-12T07:00:00.000,DEP,Department of Environmental Protection,Water Quality,"Cloudy Or Milky, Other (Use Comments) (QBZ)",10003,345 EAST   15 STREET,EAST   15 STREET,ADDRESS,NEW YORK,Closed,The Department of Environmental Protection sent a report to the complainant.,2023-10-12T07:00:00.000,06 MANHATTAN,1009220008,MANHATTAN,988953,206127,PHONE,Unspecified,MANHATTAN,40.7324464171464,-73.98303059725197,"{'latitude': '40.7324464171464', 'longitude': '-73.98303059725197', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",N/A,,N D PERLMAN PL,1 AVE,,,,,,,,,,
58882675,2023-09-21T12:14:00.000,2023-09-21T13:20:00.000,DEP,Department of Environmental Protection,Sewer,Sewer Backup (Use Comments) (SA),11232,321 39 STREET,39 STREET,ADDRESS,BROOKLYN,Closed,The Department of Environmental Protection resolved this complaint by speaking to the complainant on the phone.,2023-09-21T13:20:00.000,07 BROOKLYN,3007040063,BROOKLYN,982175,177339,ONLINE,Unspecified,BROOKLYN,40.653431026570026,-74.0074781642738,"{'latitude': '40.653431026570026', 'longitude': '-74.0074781642738', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,3 AVE,4 AVE,,,,,,,,,,
58884480,2023-09-21T12:13:49.000,2023-09-21T20:37:44.000,HPD,Department of Housing Preservation and Development,HEAT/HOT WATER,ENTIRE BUILDING,10456,530 EAST  169 STREET,EAST  169 STREET,ADDRESS,BRONX,Closed,The Department of Housing Preservation and Development conducted or attempted to conduct an inspection.  More information about inspection results can be found through HPD's website at www.nyc.gov/hpd by using HPDONLINE (enter your address on the home page) and entering your SR number under the complaint status option.,2023-09-21T00:00:00.000,03 BRONX,2026100012,BRONX,1010629,242635,PHONE,Unspecified,BRONX,40.83261302416413,-73.90467576630016,"{'latitude': '40.83261302416413', 'longitude': '-73.90467576630016', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,RESIDENTIAL BUILDING,,,,,,,,,,,,
58890650,2023-09-21T12:13:23.000,2023-09-21T13:17:20.000,NYPD,New York City Police Department,Traffic,Truck Route Violation,,,,,,Closed,The Police Department responded and upon arrival those responsible for the condition were gone.,2023-09-21T13:17:24.000,Unspecified BRONX,,BRONX,,,PHONE,Unspecified,BRONX,,,,,Highway,,,,,,,Throgs Neck Expwy,South/Queens Bound,Roadway,Randall Ave - Throgs Neck Br Approach (I-295),,
58881394,2023-09-21T12:12:53.000,2023-09-21T14:03:52.000,NYPD,New York City Police Department,Illegal Parking,Blocked Sidewalk,11369,88-01 23 AVENUE,23 AVENUE,ADDRESS,EAST ELMHURST,Closed,The Police Department responded and upon arrival those responsible for the condition were gone.,2023-09-21T14:03:57.000,03 QUEENS,4010640002,QUEENS,1016984,218914,MOBILE,Unspecified,QUEENS,40.76748415180807,-73.8818267430608,"{'latitude': '40.76748415180807', 'longitude': '-73.8818267430608', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,Street/Sidewalk,88 STREET,89 STREET,88 STREET,89 STREET,23 AVENUE,,,,,,,
58890707,2023-09-21T12:12:49.000,2023-09-21T13:46:35.000,NYPD,New York City Police Department,Blocked Driveway,No Access,11230,818 EAST   15 STREET,EAST   15 STREET,ADDRESS,BROOKLYN,Closed,The Police Department issued a summons in response to the complaint.,2023-09-21T13:46:40.000,14 BROOKLYN,3066980014,BROOKLYN,994729,168651,PHONE,Unspecified,BROOKLYN,40.6295783754503,-73.96224786590199,"{'latitude': '40.6295783754503', 'longitude': '-73.96224786590199', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,Street/Sidewalk,AVENUE H,EAST   15 ST FOOTBRIDGE,AVENUE H,EAST   15 ST FOOTBRIDGE,EAST   15 STREET,,,,,,,
58881334,2023-09-21T12:12:28.000,2023-09-22T00:00:00.000,DOB,Department of Buildings,General Construction/Plumbing,Building Permit - None,11361,39-22 216 STREET,216 STREET,ADDRESS,BAYSIDE,Closed,"The Department of Buildings reviewed this complaint and closed it. If the problem still exists, please call 311 and file a new complaint. If you are outside of New York City, please call (212) NEW-YORK (212-639-9675).",2023-09-22T00:00:00.000,11 QUEENS,4062480027,QUEENS,1048758,218353,UNKNOWN,Unspecified,QUEENS,40.76576960391083,-73.76712498074833,"{'latitude': '40.76576960391083', 'longitude': '-73.76712498074833', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,,,,,,,
58883384,2023-09-21T12:12:21.000,2023-09-21T12:38:17.000,NYPD,New York City Police Department,Illegal Parking,Blocked Bike Lane,11101,JACKSON AVENUE,JACKSON AVENUE,INTERSECTION,,Closed,The Police Department issued a summons in response to the complaint.,2023-09-21T12:38:23.000,02 QUEENS,,QUEENS,996938,209473,PHONE,Unspecified,QUEENS,40.741622508392936,-73.95421274846342,"{'latitude': '40.741622508392936', 'longitude': '-73.95421274846342', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,Street/Sidewalk,JACKSON AVENUE,VERNON BOULEVARD,JACKSON AVENUE,VERNON BOULEVARD,,,,,,,,
58882545,2023-09-21T12:12:17.000,2023-09-23T13:22:12.000,DSNY,Department of Sanitation,Street Sweeping Complaint,Inadequate Sweeping,11207,762 SNEDIKER AVENUE,SNEDIKER AVENUE,ADDRESS,BROOKLYN,Closed,The Department of Sanitation investigated this complaint and issued a Notice of Violation.,2023-09-22T12:49:52.000,05 BROOKLYN,3038730053,BROOKLYN,1012593,178311,ONLINE,Unspecified,BROOKLYN,40.65605383719984,-73.8978496429699,"{'latitude': '40.65605383719984', 'longitude': '-73.8978496429699', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,Street,VAN SINDEREN AVENUE,SNEDIKER AVENUE,VAN SINDEREN AVENUE,SNEDIKER AVENUE,SNEDIKER AVENUE,,,,,,,
58885368,2023-09-21T12:12:15.000,2023-09-21T12:45:39.000,NYPD,New York City Police Department,Illegal Parking,Blocked Sidewalk,10007,1 ELK STREET,ELK STREET,ADDRESS,NEW YORK,Closed,The Police Department responded to the complaint and took action to fix the condition.,2023-09-21T12:45:43.000,01 MANHATTAN,1001550001,MANHATTAN,983033,199442,MOBILE,Unspecified,MANHATTAN,40.714098877240865,-74.00438998049293,"{'latitude': '40.714098877240865', 'longitude': '-74.00438998049293', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,Street/Sidewalk,READE STREET,DUANE STREET,READE STREET,DUANE STREET,ELK STREET,,,,,,,
58885524,2023-09-21T12:12:02.000,2023-09-21T12:48:31.000,NYPD,New York City Police Department,Blocked Driveway,Partial Access,11412,111-47 205 STREET,205 STREET,ADDRESS,SAINT ALBANS,Closed,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,2023-09-21T12:48:39.000,12 QUEENS,4109640127,QUEENS,1053115,195974,ONLINE,Unspecified,QUEENS,40.70431214989155,-73.75162528426215,"{'latitude': '40.70431214989155', 'longitude': '-73.75162528426215', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,Street/Sidewalk,111 ROAD,112 AVENUE,111 ROAD,112 AVENUE,205 STREET,,,,,,,
58884130,2023-09-21T12:12:00.000,2023-09-21T18:40:00.000,DOT,Department of Transportation,Traffic Signal Condition,Door Lock,10309,,,INTERSECTION,STATEN ISLAND,Closed,Service Request status for this request is available on the Department of Transportationâs website. Please click the âLearn Moreâ link below.,2023-09-21T18:40:00.000,03 STATEN ISLAND,,STATEN ISLAND,924562,136598,UNKNOWN,Unspecified,STATEN ISLAND,40.541404646595886,-74.21475125762251,"{'latitude': '40.541404646595886', 'longitude': '-74.21475125762251', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",N/A,,,,WOODROW ROAD,WINANT AVENUE,,,,,,,,
58889059,2023-09-21T12:11:54.000,2023-09-23T14:15:38.000,DSNY,Department of Sanitation,Missed Collection,Trash,11412,190-29 118 AVENUE,118 AVENUE,ADDRESS,SAINT ALBANS,Closed,The Department of Sanitation investigated this complaint and found no condition at the location.,2023-09-22T10:15:49.000,12 QUEENS,4126020030,QUEENS,1050750,191042,ONLINE,Unspecified,QUEENS,40.69079309856981,-73.76020375786223,"{'latitude': '40.69079309856981', 'longitude': '-73.76020375786223', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,Street,190 STREET,192 STREET,190 STREET,192 STREET,118 AVENUE,,,,,,,
58887625,2023-09-21T12:11:54.000,2023-09-21T15:32:32.000,DOHMH,Department of Health and Mental Hygiene,Indoor Air Quality,Sewage Odor,11367,136-77 68 DRIVE,68 DRIVE,ADDRESS,FLUSHING,Closed,"The owner or manager of the property was sent an advisory to correct the condition. If the condition persists, please call 311 or go online to www.nyc.gov/311 and submit another complaint.",2023-09-21T15:32:32.000,08 QUEENS,4064820003,QUEENS,1031534,205496,PHONE,Unspecified,QUEENS,40.73058934336497,-73.82939413554027,"{'latitude': '40.73058934336497', 'longitude': '-73.82939413554027', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,3+ Family Apt. Building,136 STREET,138 STREET,136 STREET,138 STREET,68 DRIVE,,,,,,,
58883424,2023-09-21T12:11:51.000,2023-09-21T12:13:46.000,NYPD,New York City Police Department,Abandoned Vehicle,With License Plate,11219,1165 56 STREET,56 STREET,ADDRESS,BROOKLYN,Closed,The Police Department responded and upon arrival those responsible for the condition were gone.,2023-09-21T12:13:53.000,12 BROOKLYN,3056820054,BROOKLYN,984457,169882,PHONE,Unspecified,BROOKLYN,40.632963405726976,-73.9992542143427,"{'latitude': '40.632963405726976', 'longitude': '-73.9992542143427', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,Street/Sidewalk,11 AVENUE,12 AVENUE,11 AVENUE,12 AVENUE,56 STREET,,,,,,,
58886312,2023-09-21T12:11:48.000,,DHS,Department of Homeless Services,Homeless Person Assistance,,10463,5821 BROADWAY,BROADWAY,ADDRESS,BRONX,Closed,The mobile outreach response team went to the location provided but could not find the individual that you reported.,2023-09-21T13:32:24.000,08 BRONX,2057730340,BRONX,1011736,261803,MOBILE,Unspecified,BRONX,40.88522001915507,-73.90059686758416,"{'latitude': '40.88522001915507', 'longitude': '-73.90059686758416', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,Other,WEST 238 STREET,IRT-1-BROADWAY/7 AVENUE LINE,WEST  238 STREET,IRT-1-BROADWAY/7 AVENUE LINE,BROADWAY,,,,,,,
58884211,2023-09-21T12:11:48.000,2023-09-21T13:29:53.000,NYPD,New York City Police Department,Blocked Driveway,Partial Access,11375,67-10 AUSTIN STREET,AUSTIN STREET,ADDRESS,FOREST HILLS,Closed,The Police Department responded to the complaint and took action to fix the condition.,2023-09-21T13:29:56.000,06 QUEENS,4031660021,QUEENS,1024401,203060,PHONE,Unspecified,QUEENS,40.72393838086423,-73.8551452662161,"{'latitude': '40.72393838086423', 'longitude': '-73.8551452662161', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,Street/Sidewalk,67 AVENUE,67 ROAD,67 AVENUE,67 ROAD,AUSTIN STREET,,,,,,,
58889236,2023-09-21T12:11:00.000,2023-10-01T13:35:00.000,DEP,Department of Environmental Protection,Sewer,Catch Basin Clogged/Flooding (Use Comments) (SC),10471,,,INTERSECTION,BRONX,Closed,"The Department of Environmental Protection inspected your complaint and determined that the catch basin is now functioning properly.  If the condition returns, please call 311 (or 212-639-9675 if calling from a non-New York City area code) to submit a new complaint.",2023-10-01T13:35:00.000,08 BRONX,,BRONX,1012582,269489,PHONE,Unspecified,BRONX,40.90631295039103,-73.89750478707354,"{'latitude': '40.90631295039103', 'longitude': '-73.89750478707354', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,WEST 259 STREET,POST ROAD,,,,,,,,
58882679,2023-09-21T12:11:00.000,2023-09-21T12:14:00.000,DEP,Department of Environmental Protection,Sewer,Street Flooding (SJ),11363,600 WEST DRIVE,WEST DRIVE,ADDRESS,LITTLE NECK,Closed,"The Department of Environmental Protection has determined that this issue was previously reported by another customer The original complaint is being addressed. If the condition persists, please call 311 (or 212-639-9675 if calling from a non-New York City area code) to submit a new complaint.",2023-09-21T12:14:00.000,11 QUEENS,4080310001,QUEENS,1052705,222214,ONLINE,Unspecified,QUEENS,40.776337318178996,-73.75283698654631,"{'latitude': '40.776337318178996', 'longitude': '-73.75283698654631', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,WESTMORELAND PL,MANOR RD,,,,,,,,,,
58889212,2023-09-21T12:11:00.000,2023-09-22T05:26:00.000,DEP,Department of Environmental Protection,Air Quality,"Air: Odor/Fumes, Vehicle Idling (AD3)",10036,640 8 AVENUE,8 AVENUE,ADDRESS,NEW YORK,Closed,The Department of Environmental Protection will keep the location under observation for idling commercial vehicles.Â Summonses will be issued when warranted.,2023-09-22T05:26:00.000,05 MANHATTAN,1010137501,MANHATTAN,986967,214950,ONLINE,Unspecified,MANHATTAN,40.75666417742652,-73.99019293432467,"{'latitude': '40.75666417742652', 'longitude': '-73.99019293432467', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",N/A,,W 41 ST,W 42 ST,,,,,,,,,,
58887703,2023-09-21T12:10:45.000,2023-09-21T13:55:19.000,NYPD,New York City Police Department,Illegal Parking,Blocked Crosswalk,11103,25 AVENUE,25 AVENUE,INTERSECTION,,Closed,The Police Department issued a summons in response to the complaint.,2023-09-21T13:55:25.000,01 QUEENS,,QUEENS,1010258,218123,ONLINE,Unspecified,QUEENS,40.765335409195416,-73.90611136538831,"{'latitude': '40.765335409195416', 'longitude': '-73.90611136538831', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,Street/Sidewalk,25 AVENUE,47 STREET,25 AVENUE,47 STREET,,,,,,,,
58881478,2023-09-21T12:10:40.000,2023-09-21T13:30:33.000,NYPD,New York City Police Department,Illegal Parking,Posted Parking Sign Violation,10036,600 WEST   43 STREET,WEST   43 STREET,ADDRESS,NEW YORK,Closed,The Police Department responded to the complaint and took action to fix the condition.,2023-09-21T13:30:36.000,04 MANHATTAN,1010907502,MANHATTAN,984750,216766,MOBILE,Unspecified,MANHATTAN,40.76164903591636,-73.99819510496296,"{'latitude': '40.76164903591636', 'longitude': '-73.99819510496296', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,Street/Sidewalk,11 AVENUE,12 AVENUE,11 AVENUE,12 AVENUE,WEST   43 STREET,,,,,,,
58891645,2023-09-21T12:10:14.000,2023-09-23T10:49:06.000,DSNY,Department of Sanitation,Street Sweeping Complaint,Street Not Swept,11232,271 40 STREET,40 STREET,ADDRESS,BROOKLYN,Closed,The Department of Sanitation investigated this complaint and found no condition at the location.,2023-09-22T05:25:44.000,07 BROOKLYN,3007070048,BROOKLYN,981565,177491,PHONE,Unspecified,BROOKLYN,40.653848069448564,-74.00967662487146,"{'latitude': '40.653848069448564', 'longitude': '-74.00967662487146', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,Street,2 AVENUE,3 AVENUE,2 AVENUE,3 AVENUE,40 STREET,,,,,,,
58885160,2023-09-21T12:10:09.000,2023-09-21T14:01:44.000,DSNY,Department of Sanitation,Vendor Enforcement,Food Vendor,11229,1683 EAST   15 STREET,EAST   15 STREET,ADDRESS,BROOKLYN,Closed,N/A,2023-09-21T14:01:47.000,15 BROOKLYN,3067980103,BROOKLYN,995872,160819,ONLINE,Unspecified,BROOKLYN,40.6080797399496,-73.95814352377444,"{'latitude': '40.6080797399496', 'longitude': '-73.95814352377444', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,Street,KINGS HIGHWAY,AVENUE R,KINGS HIGHWAY,AVENUE R,EAST   15 STREET,,,,,,,
