unique_key,created_date,closed_date,agency,agency_name,complaint_type,descriptor,location_type,incident_zip,incident_address,street_name,cross_street_1,cross_street_2,intersection_street_1,intersection_street_2,address_type,status,resolution_description,resolution_action_updated_date,community_board,borough,x_coordinate_state_plane,y_coordinate_state_plane,open_data_channel_type,park_facility_name,park_borough,latitude,longitude,location,city,landmark,bbl,facility_type,bridge_highway_name,road_ramp,bridge_highway_segment,taxi_pick_up_location,bridge_highway_direction,due_date,vehicle_type,taxi_company_borough
58806113,2023-09-13T10:47:54.000,,DPR,Department of Parks and Recreation,Overgrown Tree/Branches,Blocking Street,Street,11233,1814 ST JOHNS PLACE,ST JOHNS PLACE,EASTERN PARKWAY,SARATOGA AVENUE,EASTERN PARKWAY,SARATOGA AVENUE,ADDRESS,In Progress,,,16 BROOKLYN,BROOKLYN,1007160,183324,ONLINE,Unspecified,BROOKLYN,40.66982913037185,-73.91741354709367,"{'latitude': '40.66982913037185', 'longitude': '-73.91741354709367', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",BROOKLYN,ST JOHNS PLACE,3014747501,,,,,,,,,
58808414,2023-09-13T10:47:51.000,2023-09-14T20:16:36.000,HPD,Department of Housing Preservation and Development,PAINT/PLASTER,CEILING,RESIDENTIAL BUILDING,10453,1926 WALTON AVENUE,WALTON AVENUE,,,,,ADDRESS,Closed,The Department of Housing Preservation and Development inspected the following conditions. No violations were issued. The complaint has been closed.,2023-09-14T00:00:00.000,05 BRONX,BRONX,1009446,249185,PHONE,Unspecified,BRONX,40.85059430663057,-73.90892609159013,"{'latitude': '40.85059430663057', 'longitude': '-73.90892609159013', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",BRONX,,2028280011,,,,,,,,,
58809735,2023-09-13T10:47:51.000,2023-09-14T20:16:35.000,HPD,Department of Housing Preservation and Development,PAINT/PLASTER,WALL,RESIDENTIAL BUILDING,10453,1926 WALTON AVENUE,WALTON AVENUE,,,,,ADDRESS,Closed,The Department of Housing Preservation and Development inspected the following conditions. No violations were issued. The complaint has been closed.,2023-09-14T00:00:00.000,05 BRONX,BRONX,1009446,249185,PHONE,Unspecified,BRONX,40.85059430663057,-73.90892609159013,"{'latitude': '40.85059430663057', 'longitude': '-73.90892609159013', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",BRONX,,2028280011,,,,,,,,,
58804448,2023-09-13T10:47:51.000,2023-09-14T20:16:35.000,HPD,Department of Housing Preservation and Development,DOOR/WINDOW,DOOR,RESIDENTIAL BUILDING,10453,1926 WALTON AVENUE,WALTON AVENUE,,,,,ADDRESS,Closed,The Department of Housing Preservation and Development inspected the following conditions. No violations were issued. The complaint has been closed.,2023-09-14T00:00:00.000,05 BRONX,BRONX,1009446,249185,PHONE,Unspecified,BRONX,40.85059430663057,-73.90892609159013,"{'latitude': '40.85059430663057', 'longitude': '-73.90892609159013', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",BRONX,,2028280011,,,,,,,,,
58802092,2023-09-13T10:47:51.000,2023-09-14T20:16:35.000,HPD,Department of Housing Preservation and Development,DOOR/WINDOW,WINDOW FRAME,RESIDENTIAL BUILDING,10453,1926 WALTON AVENUE,WALTON AVENUE,,,,,ADDRESS,Closed,The Department of Housing Preservation and Development inspected the following conditions. No violations were issued. The complaint has been closed.,2023-09-14T00:00:00.000,05 BRONX,BRONX,1009446,249185,PHONE,Unspecified,BRONX,40.85059430663057,-73.90892609159013,"{'latitude': '40.85059430663057', 'longitude': '-73.90892609159013', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",BRONX,,2028280011,,,,,,,,,
58803440,2023-09-13T10:47:31.000,2023-09-13T11:50:04.000,NYPD,New York City Police Department,Animal-Abuse,Neglected,Street/Sidewalk,10029,2176 2 AVENUE,2 AVENUE,EAST  111 STREET,EAST  112 STREET,EAST  111 STREET,EAST  112 STREET,ADDRESS,Closed,The Police Department responded to the complaint and took action to fix the condition.,2023-09-13T11:50:08.000,11 MANHATTAN,MANHATTAN,1000949,228692,PHONE,Unspecified,MANHATTAN,40.794366996824714,-73.93969048547831,"{'latitude': '40.794366996824714', 'longitude': '-73.93969048547831', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",NEW YORK,2 AVENUE,1016830049,,,,,,,,,
58808057,2023-09-13T10:47:29.000,2023-09-13T11:58:40.000,NYPD,New York City Police Department,Noise - Vehicle,Engine Idling,Street/Sidewalk,11375,102-30 66 ROAD,66 ROAD,102 STREET,103 STREET,102 STREET,103 STREET,ADDRESS,Closed,Your request can not be processed at this time because of insufficient contact information. Please create a new Service Request on NYC.gov and provide more detailed contact information.,2023-09-13T11:58:44.000,06 QUEENS,QUEENS,1025432,204746,PHONE,Unspecified,QUEENS,40.728561294530536,-73.85141536638729,"{'latitude': '40.728561294530536', 'longitude': '-73.85141536638729', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",FOREST HILLS,66 ROAD,4021330016,,,,,,,,,
58808536,2023-09-13T10:47:21.000,2023-10-11T21:27:05.000,HPD,Department of Housing Preservation and Development,APPLIANCE,REFRIGERATOR,RESIDENTIAL BUILDING,10460,1441 BOSTON ROAD,BOSTON ROAD,,,,,ADDRESS,Closed,The Department of Housing Preservation and Development inspected the following conditions. No violations were issued. The complaint has been closed.,2023-10-11T00:00:00.000,03 BRONX,BRONX,1013103,243080,PHONE,Unspecified,BRONX,40.83382668422997,-73.89573371268594,"{'latitude': '40.83382668422997', 'longitude': '-73.89573371268594', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",BRONX,,2029380049,,,,,,,,,
58809647,2023-09-13T10:47:21.000,2023-10-11T21:27:06.000,HPD,Department of Housing Preservation and Development,APPLIANCE,ELECTRIC/GAS RANGE,RESIDENTIAL BUILDING,10460,1441 BOSTON ROAD,BOSTON ROAD,,,,,ADDRESS,Closed,The Department of Housing Preservation and Development inspected the following conditions. No violations were issued. The complaint has been closed.,2023-10-11T00:00:00.000,03 BRONX,BRONX,1013103,243080,PHONE,Unspecified,BRONX,40.83382668422997,-73.89573371268594,"{'latitude': '40.83382668422997', 'longitude': '-73.89573371268594', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",BRONX,,2029380049,,,,,,,,,
58803285,2023-09-13T10:47:21.000,2023-10-11T21:27:05.000,HPD,Department of Housing Preservation and Development,UNSANITARY CONDITION,PESTS,RESIDENTIAL BUILDING,10460,1441 BOSTON ROAD,BOSTON ROAD,,,,,ADDRESS,Closed,The Department of Housing Preservation and Development inspected the following conditions. Violations were issued. Information about specific violations is available at www.nyc.gov/hpd,2023-10-11T00:00:00.000,03 BRONX,BRONX,1013103,243080,PHONE,Unspecified,BRONX,40.83382668422997,-73.89573371268594,"{'latitude': '40.83382668422997', 'longitude': '-73.89573371268594', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",BRONX,,2029380049,,,,,,,,,
58809140,2023-09-13T10:47:20.000,2023-10-14T00:02:17.000,DCWP,Department of Consumer and Worker Protection,Consumer Complaint,Employment Agency,Business,11372,88-14 ROOSEVELT AVENUE,ROOSEVELT AVENUE,88 STREET,89 STREET,88 STREET,89 STREET,ADDRESS,Closed,The Department of Consumer and Worker Protection (DCWP) closed your complaint. It was closed because you didn't submit a completed complaint form or requested documents within 30 days of DCWP's request.,2023-10-14T00:02:24.000,04 QUEENS,QUEENS,1018088,211912,PHONE,Unspecified,QUEENS,40.74826131238743,-73.87787643075939,"{'latitude': '40.74826131238743', 'longitude': '-73.87787643075939', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",JACKSON HEIGHTS,ROOSEVELT AVENUE,4015100060,,,,,,,,,
58809891,2023-09-13T10:47:17.000,2023-09-13T11:03:37.000,NYPD,New York City Police Department,Drug Activity,Use Outside,Street/Sidewalk,11432,82-68 164 STREET,164 STREET,82 ROAD,GRAND CENTRAL PARKWAY,82 ROAD,GRAND CENTRAL PARKWAY,ADDRESS,Closed,The Police Department responded to the complaint and determined that police action was not necessary.,2023-09-13T11:03:42.000,08 QUEENS,QUEENS,1038740,200651,ONLINE,Unspecified,QUEENS,40.71724956934783,-73.80343340538089,"{'latitude': '40.71724956934783', 'longitude': '-73.80343340538089', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",JAMAICA,164 STREET,4068580001,,,,,,,,,
58808782,2023-09-13T10:47:11.000,2023-11-08T15:05:13.000,DPR,Department of Parks and Recreation,Maintenance or Facility,Structure - Outdoors,Park,10025,RIVERSIDE PARK,RIVERSIDE PARK,HENRY HUDSON PY SB EN W   96 ST,HENRY HUDSON PARKWAY ET   12 NB,HENRY HUDSON PY SB EN W   96 ST,HENRY HUDSON PARKWAY ET   12 NB,UNRECOGNIZED,Closed,NYC Parks reviewed your complaint and determined that the issue needs to be handled by the Department of Transportation (DOT). Please report it to DOT by contacting 311.,2023-11-08T15:05:20.000,07 MANHATTAN,MANHATTAN,991626,230829,PHONE,Unspecified,MANHATTAN,40.800245180318555,-73.97335875005403,"{'latitude': '40.800245180318555', 'longitude': '-73.97335875005403', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",NEW YORK,RIVERSIDE PARK,1012540002,,,,,,,,,
58800116,2023-09-13T10:47:08.000,2023-09-13T16:16:48.000,NYPD,New York City Police Department,Illegal Parking,Blocked Hydrant,Street/Sidewalk,10461,1025 ESPLANADE,ESPLANADE,PAULDING AVENUE,HONE AVENUE,PAULDING AVENUE,HONE AVENUE,ADDRESS,Closed,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,2023-09-13T16:16:52.000,11 BRONX,BRONX,1023099,250853,ONLINE,Unspecified,BRONX,40.85512294839281,-73.85956611953316,"{'latitude': '40.85512294839281', 'longitude': '-73.85956611953316', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",BRONX,ESPLANADE,2043280023,,,,,,,,,
58807821,2023-09-13T10:47:00.000,2023-09-13T12:00:00.000,DEP,Department of Environmental Protection,Hazardous Materials,Chemical Odor (HD1),,10014,76 HORATIO STREET,HORATIO STREET,GREENWICH ST,WASHINGTON ST,,,ADDRESS,Closed,The Department of Environmental Protection investigated this complaint and determined that no further action is required.,2023-09-13T12:00:00.000,02 MANHATTAN,MANHATTAN,982294,208422,PHONE,Unspecified,MANHATTAN,40.73874665991905,-74.00705832238405,"{'latitude': '40.73874665991905', 'longitude': '-74.00705832238405', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",NEW YORK,,1006420050,N/A,,,,,,,,
58805287,2023-09-13T10:47:00.000,2023-09-13T12:00:00.000,DEP,Department of Environmental Protection,Sewer,Sewer Backup (Use Comments) (SA),,11237,302 IRVING AVENUE,IRVING AVENUE,MYRTLE AVE,LINDEN ST,,,ADDRESS,Closed,"The Department of Environmental Protection has investigated this complaint. Upon investigation, there was no indication of a city sewer issue and there is a suspected sewer backup due to an internal plumbing issue.",2023-09-13T12:00:00.000,04 BROOKLYN,BROOKLYN,1008008,193944,PHONE,Unspecified,BROOKLYN,40.698976356744375,-73.91431921502723,"{'latitude': '40.698976356744375', 'longitude': '-73.91431921502723', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",BROOKLYN,,3033260040,,,,,,,,,
58801347,2023-09-13T10:47:00.000,2023-09-13T13:49:00.000,DEP,Department of Environmental Protection,Noise,Noise: Alarms (NR3),,10301,186 WEST BUCHANAN STREET,WEST BUCHANAN STREET,DEAD END,LAFAYETTE AVE,,,ADDRESS,Closed,The Department of Environmental Protection researched this complaint and determined that it could be closed.,2023-09-13T13:49:00.000,01 STATEN ISLAND,STATEN ISLAND,957993,173490,ONLINE,Unspecified,STATEN ISLAND,40.64282767693323,-74.09461349134453,"{'latitude': '40.64282767693323', 'longitude': '-74.09461349134453', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",STATEN ISLAND,,5000660051,N/A,,,,,,,,
58801336,2023-09-13T10:47:00.000,2023-09-14T03:00:00.000,DEP,Department of Environmental Protection,Noise,Noise: Construction Before/After Hours (NM1),,11372,71-12 35 AVENUE,35 AVENUE,71 ST,72 ST,,,ADDRESS,Closed,"The Department of Environmental Protection (DEP) didn't observe a violation of the NYC Air or Noise Code at the time of inspection and couldn't issue a summons.  If the problem still exists, please go to nyc.gov/311 or call 311 to file a new Service Request. If you're outside of New York City, please call (212) NEW-YORK (212-639-9675).",2023-09-14T03:00:00.000,03 QUEENS,QUEENS,1013431,212806,PHONE,Unspecified,QUEENS,40.75073170934898,-73.89467995350213,"{'latitude': '40.75073170934898', 'longitude': '-73.89467995350213', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",JACKSON HEIGHTS,,4012710005,N/A,,,,,,,,
58801058,2023-09-13T10:47:00.000,2023-09-14T12:11:00.000,DSNY,Department of Sanitation,Electronics Waste Appointment,Ewaste appointment,Sidewalk,10301,138 ONTARIO AVENUE,ONTARIO AVENUE,OSWEGO STREET,TIOGA STREET,,,ADDRESS,Closed,The Department of Sanitation collected the E-waste.,2023-09-14T12:11:00.000,01 STATEN ISLAND,STATEN ISLAND,955621,162268,PHONE,Unspecified,STATEN ISLAND,40.61201831899058,-74.10311306043592,"{'latitude': '40.61201831899058', 'longitude': '-74.10311306043592', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",STATEN ISLAND,,5006660015,,,,,,,,,
58807847,2023-09-13T10:47:00.000,2023-09-13T12:38:00.000,DEP,Department of Environmental Protection,Water Conservation,Water Meter Broken/Leaking - Private Residence (CMR),,11377,32-31 53 PLACE,53 PLACE,32 AVE,BROADWAY,,,ADDRESS,Closed,The Department of Environmental Protection researched this complaint and determined that it could be closed.,2023-09-13T12:38:00.000,01 QUEENS,QUEENS,1009792,214165,PHONE,Unspecified,QUEENS,40.75447307814516,-73.90780865743935,"{'latitude': '40.75447307814516', 'longitude': '-73.90780865743935', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",WOODSIDE,,4011550065,,,,,,,,,
58800098,2023-09-13T10:47:00.000,2023-09-13T10:56:00.000,DEP,Department of Environmental Protection,Water System,Leak (Use Comments) (WA2),,11217,40 8 AVENUE,8 AVENUE,LINCOLN PL,BERKELEY PL,,,ADDRESS,Closed,The Department of Environmental Protection determined that this complaint is a duplicate of a previously filed complaint. The original complaint is being addressed.,2023-09-13T10:56:00.000,06 BROOKLYN,BROOKLYN,991924,184988,PHONE,Unspecified,BROOKLYN,40.67442275405431,-73.97233470065201,"{'latitude': '40.67442275405431', 'longitude': '-73.97233470065201', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",BROOKLYN,,3010610042,,,,,,,,,
58807347,2023-09-13T10:46:59.000,,DPR,Department of Parks and Recreation,Dead/Dying Tree,Planted More Than 2 Years Ago,Street,11234,1176 EAST   73 STREET,EAST   73 STREET,AVENUE K,AVENUE L,AVENUE K,AVENUE L,ADDRESS,In Progress,"NYC Parks reviewed this request and will visit the location to investigate the condition.  Under NYC Parksâ Tree Risk Management Program, all trees under the agency's jurisdiction are assessed for risk, and work is prioritized to address the conditions with the highest risk first.  For more information about the Tree Risk Management Program, visit the NYC Urban Forest page on the NYC Parks website at nyc.gov/parks/trees.   To learn more about the trees in your neighborhood, visit the NYC Tree Map at nyc.gov/parks/treemap.",2023-10-13T09:26:48.000,18 BROOKLYN,BROOKLYN,1007915,167830,ONLINE,Unspecified,BROOKLYN,40.62729949249266,-73.91474626764406,"{'latitude': '40.62729949249266', 'longitude': '-73.91474626764406', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",BROOKLYN,EAST   73 STREET,3083500062,,,,,,,,,
58805062,2023-09-13T10:46:44.000,2023-09-14T04:35:04.000,DSNY,Department of Sanitation,Dirty Condition,Trash,Sidewalk,10009,353 EAST    8 STREET,EAST    8 STREET,AVENUE C,AVENUE D,AVENUE C,AVENUE D,ADDRESS,Closed,The Department of Sanitation cleaned the location.,2023-09-14T04:35:11.000,03 MANHATTAN,MANHATTAN,990318,203260,MOBILE,Unspecified,MANHATTAN,40.72457637097015,-73.97810797868455,"{'latitude': '40.72457637097015', 'longitude': '-73.97810797868455', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",NEW YORK,EAST    8 STREET,1003780001,,,,,,,,,
58807876,2023-09-13T10:46:13.000,2023-09-13T10:46:13.000,DOB,Department of Buildings,General Construction/Plumbing,Working Contrary To Stop Work Order,,11414,100-20 159 AVENUE,159 AVENUE,,,,,ADDRESS,Closed,The Department of Buildings investigated this complaint and determined that no further action was necessary.,2023-09-13T00:00:00.000,10 QUEENS,QUEENS,1030559,179827,UNKNOWN,Unspecified,QUEENS,40.660139185641505,-73.83308850933759,"{'latitude': '40.660139185641505', 'longitude': '-73.83308850933759', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",HOWARD BEACH,,4141800010,,,,,,,,,
58808589,2023-09-13T10:46:12.000,2023-09-22T00:00:00.000,DOB,Department of Buildings,Elevator,Elevator - Single Device On Property/No Alternate Service,,11226,312 EAST   21 STREET,EAST   21 STREET,,,,,ADDRESS,Closed,"The Department of Buildings determined that the conditions described in this complaint were addressed under another service request number. Click on ""Learn More"" in the ""Did You Know"" section below for more information.",2023-09-22T00:00:00.000,14 BROOKLYN,BROOKLYN,995532,174933,UNKNOWN,Unspecified,BROOKLYN,40.64682013602747,-73.95934443718791,"{'latitude': '40.64682013602747', 'longitude': '-73.95934443718791', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",BROOKLYN,,3051240012,,,,,,,,,
58802151,2023-09-13T10:46:12.000,2023-10-11T00:00:00.000,DOB,Department of Buildings,Elevator,Elevator - Single Device On Property/No Alternate Service,,11372,35-64 84 STREET,84 STREET,,,,,ADDRESS,Closed,The Department of Buildings investigated this complaint and issued an Office of Administrative Trials and Hearings (OATH) summons.,2023-10-11T00:00:00.000,03 QUEENS,QUEENS,1016732,213124,UNKNOWN,Unspecified,QUEENS,40.75159302851327,-73.8827644638668,"{'latitude': '40.75159302851327', 'longitude': '-73.8827644638668', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",JACKSON HEIGHTS,,4014570034,,,,,,,,,
58805539,2023-09-13T10:46:08.000,2023-09-13T12:28:18.000,NYPD,New York City Police Department,Blocked Driveway,No Access,Street/Sidewalk,11368,34-64 110 STREET,110 STREET,34 AVENUE,37 AVENUE,34 AVENUE,37 AVENUE,ADDRESS,Closed,The Police Department issued a summons in response to the complaint.,2023-09-13T12:28:21.000,03 QUEENS,QUEENS,1023583,214378,MOBILE,Unspecified,QUEENS,40.7550071152975,-73.85803022213098,"{'latitude': '40.7550071152975', 'longitude': '-73.85803022213098', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",CORONA,110 STREET,4017530052,,,,,,,,,
58807894,2023-09-13T10:45:57.000,2023-09-13T18:34:12.000,NYPD,New York City Police Department,Illegal Parking,Blocked Hydrant,Street/Sidewalk,11223,1794 WEST   12 STREET,WEST   12 STREET,QUENTIN ROAD,HIGHLAWN AVENUE,QUENTIN ROAD,HIGHLAWN AVENUE,ADDRESS,Closed,The Police Department responded and upon arrival those responsible for the condition were gone.,2023-09-13T18:34:16.000,11 BROOKLYN,BROOKLYN,988540,159073,ONLINE,Unspecified,BROOKLYN,40.60329390942182,-73.98455073088493,"{'latitude': '40.60329390942182', 'longitude': '-73.98455073088493', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",BROOKLYN,WEST   12 STREET,3066440045,,,,,,,,,
58810039,2023-09-13T10:45:49.000,2023-09-13T10:45:49.000,DOHMH,Department of Health and Mental Hygiene,Rodent,Rat Sighting,Other (Explain Below),10009,366 EAST    8 STREET,EAST    8 STREET,AVENUE C,AVENUE D,AVENUE C,AVENUE D,ADDRESS,Closed,The Department of Health and Mental Hygiene inspected the property you reported and did not find any violations at the time of the inspection. The property passed inspection.,2023-09-13T10:45:49.000,03 MANHATTAN,MANHATTAN,990454,203177,MOBILE,Unspecified,MANHATTAN,40.72434846177185,-73.97761739686415,"{'latitude': '40.72434846177185', 'longitude': '-73.97761739686415', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",NEW YORK,EAST    8 STREET,1003777501,,,,,,,,,
