unique_key,created_date,closed_date,agency,agency_name,complaint_type,descriptor,location_type,incident_zip,incident_address,street_name,cross_street_1,cross_street_2,intersection_street_1,intersection_street_2,address_type,city,landmark,status,resolution_action_updated_date,community_board,bbl,borough,x_coordinate_state_plane,y_coordinate_state_plane,open_data_channel_type,park_facility_name,park_borough,latitude,longitude,location,resolution_description,facility_type,bridge_highway_name,bridge_highway_segment,taxi_pick_up_location,bridge_highway_direction,road_ramp
58960274,2023-09-30T01:18:21.000,2023-09-30T02:15:58.000,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,Residential Building/House,11370,30-09 84 STREET,84 STREET,30 AVENUE,31 AVENUE,30 AVENUE,31 AVENUE,ADDRESS,EAST ELMHURST,84 STREET,Closed,2023-09-30T02:16:08.000,03 QUEENS,4013820001,QUEENS,1016256,216580,ONLINE,Unspecified,QUEENS,40.76108059528884,-73.88446601141956,"{'latitude': '40.76108059528884', 'longitude': '-73.88446601141956', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",The Police Department responded to the complaint and took action to fix the condition.,,,,,,
58962604,2023-09-30T01:18:01.000,2023-09-30T01:33:56.000,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,Residential Building/House,10014,12 PERRY STREET,PERRY STREET,GREENWICH AVENUE,7 AVENUE SOUTH,GREENWICH AVENUE,7 AVENUE SOUTH,ADDRESS,NEW YORK,PERRY STREET,Closed,2023-09-30T01:34:01.000,02 MANHATTAN,1006120051,MANHATTAN,983901,207360,ONLINE,Unspecified,MANHATTAN,40.73583194205154,-74.0012593286058,"{'latitude': '40.73583194205154', 'longitude': '-74.0012593286058', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",The Police Department responded to the complaint but officers were unable to gain entry into the premises.,,,,,,
58966348,2023-09-30T01:17:48.000,2023-09-30T01:20:01.000,NYPD,New York City Police Department,Abandoned Vehicle,With License Plate,Street/Sidewalk,11239,516 SCHROEDERS AVENUE,SCHROEDERS AVENUE,ASHFORD STREET,ELTON STREET,ASHFORD STREET,ELTON STREET,ADDRESS,BROOKLYN,SCHROEDERS AVENUE,Closed,2023-09-30T01:20:05.000,05 BROOKLYN,3044520423,BROOKLYN,1019422,177846,ONLINE,Unspecified,BROOKLYN,40.65475302381683,-73.87323985668276,"{'latitude': '40.65475302381683', 'longitude': '-73.87323985668276', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",The Police Department responded to the complaint and determined that police action was not necessary.,,,,,,
58965792,2023-09-30T01:17:40.000,2023-09-30T01:24:31.000,NYPD,New York City Police Department,Noise - Street/Sidewalk,Loud Talking,Street/Sidewalk,10026,1925 7 AVENUE,7 AVENUE,WEST  116 STREET,WEST  117 STREET,WEST  116 STREET,WEST  117 STREET,ADDRESS,NEW YORK,7 AVENUE,Closed,2023-09-30T01:24:36.000,10 MANHATTAN,1019010001,MANHATTAN,997439,231993,ONLINE,Unspecified,MANHATTAN,40.803433276488676,-73.95236059020847,"{'latitude': '40.803433276488676', 'longitude': '-73.95236059020847', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",The Police Department responded to the complaint and took action to fix the condition.,,,,,,
59437013,2023-09-30T01:17:39.000,2023-10-02T00:00:00.000,DOB,Department of Buildings,Unstable Building,Shaking/Vibrating,Street,10037,2235 5 AVENUE,5 AVENUE,EAST  135 STREET,WEST  136 STREET,EAST  135 STREET,WEST  136 STREET,ADDRESS,NEW YORK,5 AVENUE,Closed,2023-10-02T00:00:00.000,11 MANHATTAN,1017600001,MANHATTAN,1001617,235569,PHONE,Unspecified,MANHATTAN,40.813241180098736,-73.93726017241876,"{'latitude': '40.813241180098736', 'longitude': '-73.93726017241876', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
58967931,2023-09-30T01:17:12.000,2023-09-30T01:47:14.000,NYPD,New York City Police Department,Drug Activity,Use Outside,Street/Sidewalk,11355,140-11 ASH AVENUE,ASH AVENUE,KISSENA BOULEVARD,BOWNE STREET,KISSENA BOULEVARD,BOWNE STREET,ADDRESS,FLUSHING,ASH AVENUE,Closed,2023-09-30T01:47:22.000,07 QUEENS,4051820074,QUEENS,1033114,214432,ONLINE,Unspecified,QUEENS,40.75510779637202,-73.82362841987063,"{'latitude': '40.75510779637202', 'longitude': '-73.82362841987063', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,,,,,,
58962635,2023-09-30T01:17:10.000,2023-09-30T01:32:39.000,NYPD,New York City Police Department,Noise - Street/Sidewalk,Loud Music/Party,Street/Sidewalk,11221,940 GATES AVENUE,GATES AVENUE,PATCHEN AVENUE,RALPH AVENUE,PATCHEN AVENUE,RALPH AVENUE,ADDRESS,BROOKLYN,GATES AVENUE,Closed,2023-09-30T01:32:42.000,03 BROOKLYN,3016380006,BROOKLYN,1004743,190315,ONLINE,Unspecified,BROOKLYN,40.689023758970876,-73.92610513628088,"{'latitude': '40.689023758970876', 'longitude': '-73.92610513628088', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",The Police Department responded to the complaint and took action to fix the condition.,,,,,,
58956398,2023-09-30T01:17:07.000,2023-09-30T01:19:11.000,NYPD,New York City Police Department,Noise - Commercial,Loud Music/Party,Store/Commercial,11105,20-30 STEINWAY STREET,STEINWAY STREET,20 AVENUE,20 ROAD,20 AVENUE,20 ROAD,ADDRESS,ASTORIA,STEINWAY STREET,Closed,2023-09-30T01:19:15.000,01 QUEENS,4008090045,QUEENS,1011258,221933,MOBILE,Unspecified,QUEENS,40.775789861408725,-73.90248606662297,"{'latitude': '40.775789861408725', 'longitude': '-73.90248606662297', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",The Police Department responded to the complaint and took action to fix the condition.,,,,,,
58964086,2023-09-30T01:16:54.000,2023-09-30T01:18:20.000,NYPD,New York City Police Department,Noise - Residential,Banging/Pounding,Residential Building/House,11201,177 SANDS STREET,SANDS STREET,BQE WESTBOUND ENTRANCE SANDS ST,BIKE PATH,BQE WESTBOUND ENTRANCE SANDS ST,BIKE PATH,ADDRESS,BROOKLYN,SANDS STREET,Closed,2023-09-30T01:18:25.000,02 BROOKLYN,3000680001,BROOKLYN,988793,194233,ONLINE,Unspecified,BROOKLYN,40.699800319891985,-73.98361593748928,"{'latitude': '40.699800319891985', 'longitude': '-73.98361593748928', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,,,,,,
58961019,2023-09-30T01:16:40.000,2023-09-30T01:43:15.000,NYPD,New York City Police Department,Noise - Commercial,Loud Talking,Store/Commercial,10030,2400 7 AVENUE,7 AVENUE,WEST  140 STREET,WEST  141 STREET,WEST  140 STREET,WEST  141 STREET,ADDRESS,NEW YORK,7 AVENUE,Closed,2023-09-30T01:43:18.000,10 MANHATTAN,1020260029,MANHATTAN,1000482,237497,ONLINE,Unspecified,MANHATTAN,40.81853515725049,-73.94135579635707,"{'latitude': '40.81853515725049', 'longitude': '-73.94135579635707', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,,,,,,
58965777,2023-09-30T01:16:24.000,2023-09-30T01:39:14.000,NYPD,New York City Police Department,Noise - Street/Sidewalk,Loud Music/Party,Street/Sidewalk,10467,3540 ROCHAMBEAU AVENUE,ROCHAMBEAU AVENUE,EAST GUN HILL ROAD,EAST  212 STREET,EAST GUN HILL ROAD,EAST  212 STREET,ADDRESS,BRONX,ROCHAMBEAU AVENUE,Closed,2023-09-30T01:39:17.000,07 BRONX,2033280082,BRONX,1017708,260820,ONLINE,Unspecified,BRONX,40.88250137283987,-73.87900406214986,"{'latitude': '40.88250137283987', 'longitude': '-73.87900406214986', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",The Police Department responded and upon arrival those responsible for the condition were gone.,,,,,,
58956388,2023-09-30T01:15:57.000,2023-09-30T01:19:36.000,NYPD,New York City Police Department,Noise - Commercial,Loud Music/Party,Club/Bar/Restaurant,11211,511 GRAND STREET,GRAND STREET,UNION AVENUE,LORIMER STREET,UNION AVENUE,LORIMER STREET,ADDRESS,BROOKLYN,GRAND STREET,Closed,2023-09-30T01:19:40.000,01 BROOKLYN,3027790048,BROOKLYN,997964,198324,ONLINE,Unspecified,BROOKLYN,40.711019688887404,-73.95053293793498,"{'latitude': '40.711019688887404', 'longitude': '-73.95053293793498', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",The Police Department responded to the complaint and took action to fix the condition.,,,,,,
58968054,2023-09-30T01:15:41.000,2023-09-30T02:15:39.000,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,Residential Building/House,11370,30-06 85 STREET,85 STREET,30 AVENUE,31 AVENUE,30 AVENUE,31 AVENUE,ADDRESS,EAST ELMHURST,85 STREET,Closed,2023-09-30T02:15:43.000,03 QUEENS,4013820008,QUEENS,1016511,216597,ONLINE,Unspecified,QUEENS,40.76112632907916,-73.88354544203823,"{'latitude': '40.76112632907916', 'longitude': '-73.88354544203823', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",The Police Department responded to the complaint and took action to fix the condition.,,,,,,
58958003,2023-09-30T01:15:37.000,2023-09-30T01:25:48.000,NYPD,New York City Police Department,Noise - Residential,Banging/Pounding,Residential Building/House,10040,35 HILLSIDE AVENUE,HILLSIDE AVENUE,BOGARDUS PLACE,ELLWOOD STREET,BOGARDUS PLACE,ELLWOOD STREET,ADDRESS,NEW YORK,HILLSIDE AVENUE,Closed,2023-09-30T01:25:52.000,12 MANHATTAN,1021700112,MANHATTAN,1003721,252074,ONLINE,Unspecified,MANHATTAN,40.8585382289902,-73.92961137673909,"{'latitude': '40.8585382289902', 'longitude': '-73.92961137673909', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",The Police Department responded to the complaint but officers were unable to gain entry into the premises.,,,,,,
58963278,2023-09-30T01:15:16.000,2023-09-30T02:12:47.000,NYPD,New York City Police Department,Illegal Parking,Posted Parking Sign Violation,Street/Sidewalk,10463,5935 BROADWAY,BROADWAY,VAN CORTLANDT PARK SOUTH,WEST  242 STREET,VAN CORTLANDT PARK SOUTH,WEST  242 STREET,ADDRESS,BRONX,BROADWAY,Closed,2023-09-30T02:12:58.000,08 BRONX,2057760632,BRONX,1012234,262973,MOBILE,Unspecified,BRONX,40.88842973448887,-73.89879096312006,"{'latitude': '40.88842973448887', 'longitude': '-73.89879096312006', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",The Police Department responded and upon arrival those responsible for the condition were gone.,,,,,,
58958081,2023-09-30T01:14:33.000,2023-09-30T01:36:10.000,NYPD,New York City Police Department,Noise - Street/Sidewalk,Loud Music/Party,Street/Sidewalk,10019,358 WEST   52 STREET,WEST   52 STREET,8 AVENUE,9 AVENUE,8 AVENUE,9 AVENUE,ADDRESS,NEW YORK,WEST   52 STREET,Closed,2023-09-30T01:36:12.000,04 MANHATTAN,1010420054,MANHATTAN,987811,217752,ONLINE,Unspecified,MANHATTAN,40.764354648974255,-73.9871450153127,"{'latitude': '40.764354648974255', 'longitude': '-73.9871450153127', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,,,,,,
58964907,2023-09-30T01:14:32.000,2023-09-30T03:28:10.000,NYPD,New York City Police Department,Noise - Street/Sidewalk,Loud Talking,Street/Sidewalk,11208,3024 FULTON STREET,FULTON STREET,LINWOOD STREET,ESSEX STREET,LINWOOD STREET,ESSEX STREET,ADDRESS,BROOKLYN,FULTON STREET,Closed,2023-09-30T03:28:16.000,05 BROOKLYN,3039560048,BROOKLYN,1016639,187183,MOBILE,Unspecified,BROOKLYN,40.68039160308014,-73.88322493719589,"{'latitude': '40.68039160308014', 'longitude': '-73.88322493719589', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",The Police Department responded to the complaint and took action to fix the condition.,,,,,,
58958090,2023-09-30T01:12:55.000,2023-09-30T02:04:58.000,NYPD,New York City Police Department,Noise - Street/Sidewalk,Loud Music/Party,Street/Sidewalk,10301,353 VICTORY BOULEVARD,VICTORY BOULEVARD,CEBRA AVENUE,AUSTIN PLACE,CEBRA AVENUE,AUSTIN PLACE,ADDRESS,STATEN ISLAND,VICTORY BOULEVARD,Closed,2023-09-30T02:05:03.000,01 STATEN ISLAND,5001150069,STATEN ISLAND,960343,170088,ONLINE,Unspecified,STATEN ISLAND,40.633496572873746,-74.08613354119923,"{'latitude': '40.633496572873746', 'longitude': '-74.08613354119923', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",The Police Department responded to the complaint and took action to fix the condition.,,,,,,
58958748,2023-09-30T01:12:02.000,2023-09-30T02:16:57.000,NYPD,New York City Police Department,Illegal Parking,Blocked Hydrant,Street/Sidewalk,11421,84-13 90 STREET,90 STREET,PARK LANE SOUTH,85 ROAD,PARK LANE SOUTH,85 ROAD,ADDRESS,WOODHAVEN,90 STREET,Closed,2023-09-30T02:17:03.000,09 QUEENS,4088770044,QUEENS,1024293,193195,ONLINE,Unspecified,QUEENS,40.6968618242028,-73.8555935741777,"{'latitude': '40.6968618242028', 'longitude': '-73.8555935741777', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",The Police Department issued a summons in response to the complaint.,,,,,,
58964169,2023-09-30T01:11:49.000,2023-09-30T01:18:46.000,NYPD,New York City Police Department,Noise - Street/Sidewalk,Loud Talking,Street/Sidewalk,10026,1925 7 AVENUE,7 AVENUE,WEST  116 STREET,WEST  117 STREET,WEST  116 STREET,WEST  117 STREET,ADDRESS,NEW YORK,7 AVENUE,Closed,2023-09-30T01:18:50.000,10 MANHATTAN,1019010001,MANHATTAN,997439,231993,ONLINE,Unspecified,MANHATTAN,40.803433276488676,-73.95236059020847,"{'latitude': '40.803433276488676', 'longitude': '-73.95236059020847', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",The Police Department responded to the complaint and took action to fix the condition.,,,,,,
58967269,2023-09-30T01:11:07.000,2023-09-30T01:35:11.000,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,Residential Building/House,11374,85-84 ELIOT AVENUE,ELIOT AVENUE,WOODHAVEN BOULEVARD,AUSTIN STREET,WOODHAVEN BOULEVARD,AUSTIN STREET,ADDRESS,REGO PARK,ELIOT AVENUE,Closed,2023-09-30T01:35:16.000,06 QUEENS,,QUEENS,1020017,205171,MOBILE,Unspecified,QUEENS,40.72975136770425,-73.8709503940087,"{'latitude': '40.72975136770425', 'longitude': '-73.8709503940087', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,,,,,,
58974426,2023-09-30T01:11:00.000,2023-09-30T02:10:00.000,DEP,Department of Environmental Protection,Sewer,Sewer Backup (Use Comments) (SA),,11224,145 SEA BREEZE AVENUE,SEA BREEZE AVENUE,W 1 ST,W 2 ST,,,ADDRESS,BROOKLYN,,Closed,2023-09-30T02:10:00.000,13 BROOKLYN,3072810182,BROOKLYN,992529,149005,ONLINE,Unspecified,BROOKLYN,40.575656434461635,-73.97019776768168,"{'latitude': '40.575656434461635', 'longitude': '-73.97019776768168', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",The Department of Environmental Protection has investigated this complaint. Surcharge conditions have been confirmed due to rain intensity or volume.,,,,,,
58967343,2023-09-30T01:10:57.000,2023-09-30T01:28:33.000,NYPD,New York City Police Department,Noise - Street/Sidewalk,Loud Talking,Street/Sidewalk,10032,853 RIVERSIDE DRIVE,RIVERSIDE DRIVE,EDWARD M MORGAN PLACE,WEST  160 STREET,EDWARD M MORGAN PLACE,WEST  160 STREET,ADDRESS,NEW YORK,RIVERSIDE DRIVE,Closed,2023-09-30T01:28:37.000,12 MANHATTAN,1021350020,MANHATTAN,998977,244083,MOBILE,Unspecified,MANHATTAN,40.83661448157966,-73.9467787166514,"{'latitude': '40.83661448157966', 'longitude': '-73.9467787166514', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,,,,,,
58963872,2023-09-30T01:10:40.000,2023-09-30T01:34:45.000,NYPD,New York City Police Department,Illegal Parking,Posted Parking Sign Violation,Street/Sidewalk,10459,806 JENNINGS STREET,JENNINGS STREET,CHISHOLM STREET,BRISTOW STREET,CHISHOLM STREET,BRISTOW STREET,ADDRESS,BRONX,JENNINGS STREET,Closed,2023-09-30T01:34:47.000,03 BRONX,2029720032,BRONX,1013165,242442,PHONE,Unspecified,BRONX,40.83207535635764,-73.89551241316109,"{'latitude': '40.83207535635764', 'longitude': '-73.89551241316109', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",The Police Department issued a summons in response to the complaint.,,,,,,
58958064,2023-09-30T01:10:34.000,2023-09-30T01:19:49.000,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,Residential Building/House,10460,1778 SOUTHERN BOULEVARD,SOUTHERN BOULEVARD,CROTONA PARK EAST,EAST  175 STREET,CROTONA PARK EAST,EAST  175 STREET,ADDRESS,BRONX,SOUTHERN BOULEVARD,Closed,2023-09-30T01:19:52.000,03 BRONX,2029847501,BRONX,1015467,244714,ONLINE,Unspecified,BRONX,40.83830349819146,-73.88718331368973,"{'latitude': '40.83830349819146', 'longitude': '-73.88718331368973', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",The Police Department responded to the complaint but officers were unable to gain entry into the premises.,,,,,,
58967347,2023-09-30T01:10:25.000,2023-09-30T01:38:22.000,NYPD,New York City Police Department,Noise - Street/Sidewalk,Loud Talking,Street/Sidewalk,11373,79-02 45 AVENUE,45 AVENUE,79 STREET,80 STREET,79 STREET,80 STREET,ADDRESS,ELMHURST,45 AVENUE,Closed,2023-09-30T01:38:26.000,04 QUEENS,4015320001,QUEENS,1015955,209372,ONLINE,Unspecified,QUEENS,40.7412975589001,-73.88558653243682,"{'latitude': '40.7412975589001', 'longitude': '-73.88558653243682', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,,,,,,
58960264,2023-09-30T01:09:59.000,2023-09-30T02:22:04.000,NYPD,New York City Police Department,Illegal Parking,Commercial Overnight Parking,Street/Sidewalk,11365,49-49 FRESH MEADOW LANE,FRESH MEADOW LANE,UNDERHILL AVENUE,PECK AVENUE,UNDERHILL AVENUE,PECK AVENUE,ADDRESS,FRESH MEADOWS,FRESH MEADOW LANE,Closed,2023-09-30T02:22:08.000,11 QUEENS,4055900005,QUEENS,1041175,211251,ONLINE,Unspecified,QUEENS,40.7463285563307,-73.79455976661873,"{'latitude': '40.7463285563307', 'longitude': '-73.79455976661873', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",The Police Department issued a summons in response to the complaint.,,,,,,
58961049,2023-09-30T01:09:57.000,2023-09-30T01:35:28.000,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,Residential Building/House,10002,46 CANAL STREET,CANAL STREET,LUDLOW STREET,ORCHARD STREET,LUDLOW STREET,ORCHARD STREET,ADDRESS,NEW YORK,CANAL STREET,Closed,2023-09-30T01:35:32.000,03 MANHATTAN,1002940024,MANHATTAN,986591,199693,MOBILE,Unspecified,MANHATTAN,40.71478758627731,-73.99155542273216,"{'latitude': '40.71478758627731', 'longitude': '-73.99155542273216', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",The Police Department responded to the complaint and took action to fix the condition.,,,,,,
