unique_key,created_date,closed_date,agency,agency_name,complaint_type,descriptor,location_type,incident_zip,incident_address,street_name,address_type,city,status,resolution_description,resolution_action_updated_date,community_board,bbl,borough,x_coordinate_state_plane,y_coordinate_state_plane,open_data_channel_type,park_facility_name,park_borough,latitude,longitude,location,cross_street_1,cross_street_2,facility_type,intersection_street_1,intersection_street_2,landmark,bridge_highway_name,bridge_highway_segment,bridge_highway_direction,taxi_pick_up_location,due_date
58896317,2023-09-23T01:56:17.000,2023-09-23T02:03:04.000,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,Residential Building/House,10459,854 BECK STREET,BECK STREET,ADDRESS,BRONX,Closed,The Police Department responded to the complaint and took action to fix the condition.,2023-09-23T02:03:08.000,02 BRONX,2027090017,BRONX,1012818,237386,ONLINE,Unspecified,BRONX,40.818199212519055,-73.89678786256798,"{'latitude': '40.818199212519055', 'longitude': '-73.89678786256798', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",LONGWOOD AVENUE,INTERVALE AVENUE,,LONGWOOD AVENUE,INTERVALE AVENUE,BECK STREET,,,,,
58908335,2023-09-23T01:56:00.000,2023-09-25T15:58:00.000,DEP,Department of Environmental Protection,Noise,Noise: Construction Before/After Hours (NM1),,10038,135 WILLIAM STREET,WILLIAM STREET,ADDRESS,NEW YORK,Closed,The Department of Environmental Protection determined that this complaint is a duplicate of a previously filed complaint. The original complaint is being addressed.,2023-09-25T15:58:00.000,01 MANHATTAN,1000780001,MANHATTAN,982407,197715,ONLINE,Unspecified,MANHATTAN,40.70935856478214,-74.00664762423266,"{'latitude': '40.70935856478214', 'longitude': '-74.00664762423266', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",JOHN ST,FULTON ST,N/A,,,,,,,,
58896885,2023-09-23T01:55:58.000,2023-09-23T02:35:34.000,NYPD,New York City Police Department,Illegal Parking,Commercial Overnight Parking,Street/Sidewalk,11436,129-08 143 STREET,143 STREET,ADDRESS,JAMAICA,Closed,The Police Department issued a summons in response to the complaint.,2023-09-23T02:35:38.000,12 QUEENS,4120660032,QUEENS,1040872,183992,ONLINE,Unspecified,QUEENS,40.671511211452206,-73.79588251377764,"{'latitude': '40.671511211452206', 'longitude': '-73.79588251377764', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",129 AVENUE,130 AVENUE,,129 AVENUE,130 AVENUE,143 STREET,,,,,
58898277,2023-09-23T01:55:51.000,2023-09-23T02:26:05.000,NYPD,New York City Police Department,Illegal Parking,Blocked Bike Lane,Street/Sidewalk,10457,2268 GRAND CONCOURSE,GRAND CONCOURSE,ADDRESS,BRONX,Closed,The Police Department responded to the complaint and took action to fix the condition.,2023-09-23T02:26:08.000,05 BRONX,2031580016,BRONX,1011859,251521,ONLINE,Unspecified,BRONX,40.856998711504126,-73.90019440567549,"{'latitude': '40.856998711504126', 'longitude': '-73.90019440567549', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",EAST  182 STREET,EAST  183 STREET,,EAST  182 STREET,EAST  183 STREET,GRAND CONCOURSE,,,,,
58899747,2023-09-23T01:55:38.000,2023-09-23T02:09:31.000,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,Residential Building/House,10474,1262 SPOFFORD AVENUE,SPOFFORD AVENUE,ADDRESS,BRONX,Closed,The Police Department responded to the complaint and took action to fix the condition.,2023-09-23T02:09:34.000,02 BRONX,2027650259,BRONX,1015221,235950,ONLINE,Unspecified,BRONX,40.8142497000345,-73.88811279968965,"{'latitude': '40.8142497000345', 'longitude': '-73.88811279968965', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",MANIDA STREET,COSTER STREET,,MANIDA STREET,COSTER STREET,SPOFFORD AVENUE,,,,,
58899751,2023-09-23T01:55:38.000,2023-09-23T02:36:43.000,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,Residential Building/House,10023,110 WEST END AVENUE,WEST END AVENUE,ADDRESS,NEW YORK,Closed,The Police Department responded to the complaint and determined that police action was not necessary.,2023-09-23T02:36:46.000,07 MANHATTAN,1011560001,MANHATTAN,987604,221669,ONLINE,Unspecified,MANHATTAN,40.77510587540059,-73.9878903174361,"{'latitude': '40.77510587540059', 'longitude': '-73.9878903174361', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",WEST   64 STREET,WEST   65 STREET,,WEST   64 STREET,WEST   65 STREET,WEST END AVENUE,,,,,
58900055,2023-09-23T01:55:35.000,2023-09-25T16:57:03.000,DCWP,Department of Consumer and Worker Protection,Consumer Complaint,"Bodega, Deli, or Convenience Store",Business,11214,2620 CROPSEY AVENUE,CROPSEY AVENUE,ADDRESS,BROOKLYN,Closed,The Department of Consumer and Worker Protection (DCWP) determined this issue isn't within its jurisdiction.  You should contact the New York State Office of the Attorney General. Call (800) 771-7755 or visit ag.ny.gov.,2023-09-25T16:57:08.000,13 BROOKLYN,3069330051,BROOKLYN,986700,154201,ONLINE,Unspecified,BROOKLYN,40.589921951995294,-73.99117875761043,"{'latitude': '40.589921951995294', 'longitude': '-73.99117875761043', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",26 AVENUE,BAY   43 STREET,,26 AVENUE,BAY   43 STREET,CROPSEY AVENUE,,,,,
58897754,2023-09-23T01:55:33.000,2023-09-23T02:05:03.000,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,Residential Building/House,10033,360 AUDUBON AVENUE,AUDUBON AVENUE,ADDRESS,NEW YORK,Closed,The Police Department responded to the complaint but officers were unable to gain entry into the premises.,2023-09-23T02:05:06.000,12 MANHATTAN,1021540088,MANHATTAN,1003232,248983,ONLINE,Unspecified,MANHATTAN,40.850055422459945,-73.93138788739994,"{'latitude': '40.850055422459945', 'longitude': '-73.93138788739994', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",WEST  183 STREET,WEST  184 STREET,,WEST  183 STREET,WEST  184 STREET,AUDUBON AVENUE,,,,,
58895521,2023-09-23T01:55:30.000,2023-09-23T02:11:01.000,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,Residential Building/House,10031,514 WEST  148 STREET,WEST  148 STREET,ADDRESS,NEW YORK,Closed,The Police Department responded to the complaint and took action to fix the condition.,2023-09-23T02:11:06.000,09 MANHATTAN,1020790042,MANHATTAN,998947,240738,ONLINE,Unspecified,MANHATTAN,40.827433469707145,-73.9468944608828,"{'latitude': '40.827433469707145', 'longitude': '-73.9468944608828', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",AMSTERDAM AVENUE,BROADWAY,,AMSTERDAM AVENUE,BROADWAY,WEST  148 STREET,,,,,
58896867,2023-09-23T01:55:16.000,2023-09-23T02:25:42.000,NYPD,New York City Police Department,Illegal Parking,Blocked Bike Lane,Street/Sidewalk,10458,2304 GRAND CONCOURSE,GRAND CONCOURSE,ADDRESS,BRONX,Closed,The Police Department responded to the complaint and took action to fix the condition.,2023-09-23T02:25:48.000,05 BRONX,,BRONX,1011970,251769,ONLINE,Unspecified,BRONX,40.85767904898755,-73.8997921192323,"{'latitude': '40.85767904898755', 'longitude': '-73.8997921192323', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",EAST  183 STREET,FIELD PLACE,,EAST  183 STREET,FIELD PLACE,GRAND CONCOURSE,,,,,
58899476,2023-09-23T01:55:10.000,2023-09-26T12:25:00.000,DOT,Department of Transportation,Street Condition,Pothole,,10021,EAST   75 STREET,EAST   75 STREET,BLOCKFACE,MANHATTAN,Closed,The Department of Transportation inspected this complaint and repaired the problem.,2023-09-26T12:25:00.000,08 MANHATTAN,,MANHATTAN,,,UNKNOWN,Unspecified,MANHATTAN,,,,3 AVENUE,LEXINGTON AVENUE,N/A,,,,,,,,
58898282,2023-09-23T01:55:08.000,2023-09-23T02:41:24.000,NYPD,New York City Police Department,Illegal Parking,Blocked Sidewalk,Street/Sidewalk,11104,41-19 39 STREET,39 STREET,ADDRESS,SUNNYSIDE,Closed,The Police Department issued a summons in response to the complaint.,2023-09-23T02:41:32.000,02 QUEENS,4001870015,QUEENS,1004890,211496,MOBILE,Unspecified,QUEENS,40.74716015167127,-73.92551012787364,"{'latitude': '40.74716015167127', 'longitude': '-73.92551012787364', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",SKILLMAN AVENUE,43 AVENUE,,SKILLMAN AVENUE,43 AVENUE,39 STREET,,,,,
58899742,2023-09-23T01:54:59.000,2023-09-23T10:53:53.000,NYPD,New York City Police Department,Noise - Commercial,Loud Music/Party,Club/Bar/Restaurant,10458,481 EAST  185 STREET,EAST  185 STREET,ADDRESS,BRONX,Closed,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,2023-09-23T10:53:57.000,06 BRONX,2030530081,BRONX,1014119,251293,ONLINE,Unspecified,BRONX,40.85636556337237,-73.89202560658173,"{'latitude': '40.85636556337237', 'longitude': '-73.89202560658173', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",WASHINGTON AVENUE,BASSFORD AVENUE,,WASHINGTON AVENUE,BASSFORD AVENUE,EAST  185 STREET,,,,,
58899745,2023-09-23T01:54:47.000,2023-09-23T02:25:55.000,NYPD,New York City Police Department,Noise - Commercial,Loud Music/Party,Store/Commercial,11219,5918 FORT HAMILTON PARKWAY,FORT HAMILTON PARKWAY,ADDRESS,BROOKLYN,Closed,The Police Department responded to the complaint and took action to fix the condition.,2023-09-23T02:26:03.000,12 BROOKLYN,3057080034,BROOKLYN,982852,170059,MOBILE,Unspecified,BROOKLYN,40.633449125301,-74.00503679197081,"{'latitude': '40.633449125301', 'longitude': '-74.00503679197081', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",59 STREET,60 STREET,,59 STREET,60 STREET,FORT HAMILTON PARKWAY,,,,,
58898398,2023-09-23T01:54:47.000,2023-09-25T08:00:38.000,DHS,Department of Homeless Services,Homeless Person Assistance,,Subway,,,,ADDRESS,,Closed,The individual was found and outreach assistance was offered.,2023-09-24T07:27:32.000,Unspecified MANHATTAN,,MANHATTAN,986727,212657,MOBILE,Unspecified,MANHATTAN,40.75037054471354,-73.9910600637942,"{'latitude': '40.75037054471354', 'longitude': '-73.9910600637942', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,1,Platform,1 Local Downtown & Brooklyn,,
58898312,2023-09-23T01:54:42.000,2023-09-23T02:11:22.000,NYPD,New York City Police Department,Noise - Street/Sidewalk,Loud Music/Party,Street/Sidewalk,10024,426 AMSTERDAM AVENUE,AMSTERDAM AVENUE,ADDRESS,NEW YORK,Closed,The Police Department responded to the complaint and took action to fix the condition.,2023-09-23T02:11:28.000,07 MANHATTAN,1012280032,MANHATTAN,990447,224956,ONLINE,Unspecified,MANHATTAN,40.784126285235565,-73.9776225789855,"{'latitude': '40.784126285235565', 'longitude': '-73.9776225789855', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",WEST   80 STREET,WEST   81 STREET,,WEST   80 STREET,WEST   81 STREET,AMSTERDAM AVENUE,,,,,
58902489,2023-09-23T01:54:40.000,2023-09-23T02:25:22.000,NYPD,New York City Police Department,Illegal Parking,Blocked Bike Lane,Street/Sidewalk,10458,2320 GRAND CONCOURSE,GRAND CONCOURSE,ADDRESS,BRONX,Closed,The Police Department responded to the complaint and took action to fix the condition.,2023-09-23T02:25:24.000,05 BRONX,2031590007,BRONX,1012018,251876,ONLINE,Unspecified,BRONX,40.857972580891314,-73.89961815598576,"{'latitude': '40.857972580891314', 'longitude': '-73.89961815598576', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",EAST  183 STREET,FIELD PLACE,,EAST  183 STREET,FIELD PLACE,GRAND CONCOURSE,,,,,
58896868,2023-09-23T01:54:04.000,2023-09-23T02:25:06.000,NYPD,New York City Police Department,Illegal Parking,Blocked Bike Lane,Street/Sidewalk,10457,2166 ANTHONY AVENUE,ANTHONY AVENUE,ADDRESS,BRONX,Closed,The Police Department responded to the complaint and took action to fix the condition.,2023-09-23T02:25:13.000,05 BRONX,,BRONX,1011585,250662,ONLINE,Unspecified,BRONX,40.854641867167786,-73.90118840829037,"{'latitude': '40.854641867167786', 'longitude': '-73.90118840829037', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",EAST  181 STREET,BEND,,EAST  181 STREET,BEND,ANTHONY AVENUE,,,,,
58894276,2023-09-23T01:53:23.000,,TLC,Taxi and Limousine Commission,For Hire Vehicle Complaint,Driver Complaint - Non Passenger,Street,10457,2256 GRAND CONCOURSE,GRAND CONCOURSE,ADDRESS,BRONX,In Progress,"The Taxi and Limousine Commission has issued a notice to the driver, asking the driver to plead guilty to an appropriate charge. If a hearing is needed, you will be notified by mail or email of your hearing date.",2023-11-17T13:45:32.000,05 BRONX,2031580016,BRONX,1011808,251409,ONLINE,Unspecified,BRONX,40.8566914645503,-73.90037922922777,"{'latitude': '40.8566914645503', 'longitude': '-73.90037922922777', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",EAST  182 STREET,EAST  183 STREET,,EAST  182 STREET,EAST  183 STREET,GRAND CONCOURSE,,,,"2256 GRAND CONCOURSE, BRONX, NY, 10457",
58896900,2023-09-23T01:53:09.000,2023-09-23T03:08:10.000,NYPD,New York City Police Department,Noise - Commercial,Loud Music/Party,Club/Bar/Restaurant,10461,3363 EAST TREMONT AVENUE,EAST TREMONT AVENUE,ADDRESS,BRONX,Closed,The Police Department responded to the complaint and took action to fix the condition.,2023-09-23T03:08:14.000,10 BRONX,2053110002,BRONX,1031498,243335,ONLINE,Unspecified,BRONX,40.83444733074226,-73.82925791234483,"{'latitude': '40.83444733074226', 'longitude': '-73.82925791234483', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",BAISLEY AVENUE,HASKIN STREET,,BAISLEY AVENUE,HASKIN STREET,EAST TREMONT AVENUE,,,,,
58895629,2023-09-23T01:52:57.000,2023-09-25T08:00:38.000,DHS,Department of Homeless Services,Homeless Person Assistance,,Subway,,,,ADDRESS,,Closed,The individual was found and outreach assistance was offered.,2023-09-24T07:25:41.000,Unspecified MANHATTAN,,MANHATTAN,986727,212657,MOBILE,Unspecified,MANHATTAN,40.75037054471354,-73.9910600637942,"{'latitude': '40.75037054471354', 'longitude': '-73.9910600637942', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,1,Platform,1 Local Downtown & Brooklyn,,
58901125,2023-09-23T01:52:53.000,2023-09-23T02:38:18.000,NYPD,New York City Police Department,Noise - Street/Sidewalk,Loud Music/Party,Street/Sidewalk,11207,441 ALABAMA AVENUE,ALABAMA AVENUE,ADDRESS,BROOKLYN,Closed,The Police Department responded to the complaint and took action to fix the condition.,2023-09-23T02:38:21.000,05 BROOKLYN,3038030011,BROOKLYN,1012809,181657,ONLINE,Unspecified,BROOKLYN,40.66523716918889,-73.89705699119021,"{'latitude': '40.66523716918889', 'longitude': '-73.89705699119021', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",DUMONT AVENUE,LIVONIA AVENUE,,DUMONT AVENUE,LIVONIA AVENUE,ALABAMA AVENUE,,,,,
58896864,2023-09-23T01:52:49.000,2023-09-23T02:24:50.000,NYPD,New York City Police Department,Illegal Parking,Blocked Bike Lane,Street/Sidewalk,10457,2256 GRAND CONCOURSE,GRAND CONCOURSE,ADDRESS,BRONX,Closed,The Police Department responded to the complaint and took action to fix the condition.,2023-09-23T02:24:53.000,05 BRONX,2031580016,BRONX,1011808,251409,ONLINE,Unspecified,BRONX,40.8566914645503,-73.90037922922777,"{'latitude': '40.8566914645503', 'longitude': '-73.90037922922777', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",EAST  182 STREET,EAST  183 STREET,,EAST  182 STREET,EAST  183 STREET,GRAND CONCOURSE,,,,,
58901119,2023-09-23T01:52:14.000,2023-09-23T02:14:00.000,NYPD,New York City Police Department,Noise - Residential,Loud Talking,Residential Building/House,10031,620 WEST  141 STREET,WEST  141 STREET,ADDRESS,NEW YORK,Closed,The Police Department responded to the complaint and determined that police action was not necessary.,2023-09-23T02:14:03.000,09 MANHATTAN,1020880043,MANHATTAN,997264,239545,MOBILE,Unspecified,MANHATTAN,40.82416166479311,-73.95297805704422,"{'latitude': '40.82416166479311', 'longitude': '-73.95297805704422', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",BROADWAY,RIVERSIDE DRIVE,,BROADWAY,RIVERSIDE DRIVE,WEST  141 STREET,,,,,
