unique_key,created_date,closed_date,agency,agency_name,complaint_type,descriptor,location_type,incident_zip,incident_address,street_name,cross_street_1,cross_street_2,intersection_street_1,intersection_street_2,address_type,city,landmark,status,resolution_description,resolution_action_updated_date,community_board,bbl,borough,x_coordinate_state_plane,y_coordinate_state_plane,open_data_channel_type,park_facility_name,park_borough,latitude,longitude,location,facility_type,due_date,bridge_highway_name,bridge_highway_direction,bridge_highway_segment,taxi_pick_up_location,road_ramp
58801204,2023-09-13T13:43:58.000,2023-09-14T12:58:01.000,DSNY,Department of Sanitation,Residential Disposal Complaint,Waste Left in Front of Other Residence,Sidewalk,10469,3699 LACONIA AVENUE,LACONIA AVENUE,EAST  215 STREET,EAST  216 STREET,EAST  215 STREET,EAST  216 STREET,ADDRESS,BRONX,LACONIA AVENUE,Closed,The Department of Sanitation investigated this complaint and found no violation at the location.,2023-09-14T12:58:05.000,12 BRONX,,BRONX,1024778,259195,PHONE,Unspecified,BRONX,40.878011623461354,-73.8534463218997,"{'latitude': '40.878011623461354', 'longitude': '-73.8534463218997', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
58809999,2023-09-13T13:43:57.000,2023-09-18T10:36:42.000,DPR,Department of Parks and Recreation,Dead/Dying Tree,Planted More Than 2 Years Ago,Street,11233,787 HERKIMER STREET,HERKIMER STREET,ROCHESTER AVENUE,SUYDAM PLACE,ROCHESTER AVENUE,SUYDAM PLACE,ADDRESS,BROOKLYN,HERKIMER STREET,Closed,"NYC Parks created a work order for the tree condition.  Please note that addressing this work can take up to a year or more depending on the higher priority work identified during this period and resources available to address this work.    NYC Parks work priority categories range from Category A through D, with A being the most critical and time-sensitive. We will complete all work in Category A first and address work in lower priority categories in accordance with available resources. For more information about the Tree Risk Management Program, visit the NYC Urban Forest page on the NYC Parks website at nyc.gov/parks/trees.   Alternatively, you may choose complete the work yourself by hiring an independent contractor. The contractor must complete a Tree Work Permit application on the NYC Parks website at nyc.gov/parks/trees.",2023-09-18T10:36:47.000,03 BROOKLYN,3017030073,BROOKLYN,1004432,186453,PHONE,Unspecified,BROOKLYN,40.67842416800699,-73.92723812520127,"{'latitude': '40.67842416800699', 'longitude': '-73.92723812520127', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
58802224,2023-09-13T13:43:52.000,,DPR,Department of Parks and Recreation,New Tree Request,For One Address,Street,11235,2856 HARING STREET,HARING STREET,DUNNE PLACE,EMMONS AVENUE,DUNNE PLACE,EMMONS AVENUE,ADDRESS,BROOKLYN,HARING STREET,In Progress,,,15 BROOKLYN,3087960171,BROOKLYN,1001610,152268,UNKNOWN,Unspecified,BROOKLYN,40.58459959195039,-73.93750017291751,"{'latitude': '40.58459959195039', 'longitude': '-73.93750017291751', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
58810007,2023-09-13T13:43:50.000,,DPR,Department of Parks and Recreation,New Tree Request,For One Address,Street,11235,2852 HARING STREET,HARING STREET,DUNNE PLACE,EMMONS AVENUE,DUNNE PLACE,EMMONS AVENUE,ADDRESS,BROOKLYN,HARING STREET,In Progress,,,15 BROOKLYN,3087960170,BROOKLYN,1001601,152282,UNKNOWN,Unspecified,BROOKLYN,40.58463803678133,-73.93753253894708,"{'latitude': '40.58463803678133', 'longitude': '-73.93753253894708', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
58810008,2023-09-13T13:43:50.000,,DPR,Department of Parks and Recreation,New Tree Request,For One Address,Street,11235,2848 HARING STREET,HARING STREET,DUNNE PLACE,EMMONS AVENUE,DUNNE PLACE,EMMONS AVENUE,ADDRESS,BROOKLYN,HARING STREET,In Progress,,,15 BROOKLYN,3087960168,BROOKLYN,1001592,152295,UNKNOWN,Unspecified,BROOKLYN,40.58467373680234,-73.93756490758,"{'latitude': '40.58467373680234', 'longitude': '-73.93756490758', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
58800913,2023-09-13T13:43:50.000,,DPR,Department of Parks and Recreation,New Tree Request,For One Address,Street,11235,2850 HARING STREET,HARING STREET,DUNNE PLACE,EMMONS AVENUE,DUNNE PLACE,EMMONS AVENUE,ADDRESS,BROOKLYN,HARING STREET,In Progress,,,15 BROOKLYN,3087960169,BROOKLYN,1001597,152288,UNKNOWN,Unspecified,BROOKLYN,40.58465451341418,-73.93754692443149,"{'latitude': '40.58465451341418', 'longitude': '-73.93754692443149', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
58804828,2023-09-13T13:43:49.000,,DPR,Department of Parks and Recreation,New Tree Request,For One Address,Street,11235,2838 HARING STREET,HARING STREET,DUNNE PLACE,EMMONS AVENUE,DUNNE PLACE,EMMONS AVENUE,ADDRESS,BROOKLYN,HARING STREET,In Progress,,,15 BROOKLYN,3087960165,BROOKLYN,1001569,152330,UNKNOWN,Unspecified,BROOKLYN,40.58476984979299,-73.93764762302104,"{'latitude': '40.58476984979299', 'longitude': '-73.93764762302104', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
58806108,2023-09-13T13:43:48.000,,DPR,Department of Parks and Recreation,New Tree Request,For One Address,Street,11235,2836 HARING STREET,HARING STREET,DUNNE PLACE,EMMONS AVENUE,DUNNE PLACE,EMMONS AVENUE,ADDRESS,BROOKLYN,HARING STREET,In Progress,,,15 BROOKLYN,3087960164,BROOKLYN,1001565,152337,UNKNOWN,Unspecified,BROOKLYN,40.58478907121191,-73.93766200600014,"{'latitude': '40.58478907121191', 'longitude': '-73.93766200600014', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
58810017,2023-09-13T13:43:47.000,,DPR,Department of Parks and Recreation,New Tree Request,For One Address,Street,11235,2842 HARING STREET,HARING STREET,DUNNE PLACE,EMMONS AVENUE,DUNNE PLACE,EMMONS AVENUE,ADDRESS,BROOKLYN,HARING STREET,In Progress,,,15 BROOKLYN,3087960166,BROOKLYN,1001578,152316,UNKNOWN,Unspecified,BROOKLYN,40.58473140499492,-73.93761525686132,"{'latitude': '40.58473140499492', 'longitude': '-73.93761525686132', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
58807399,2023-09-13T13:43:42.000,2023-10-30T15:31:20.000,DPR,Department of Parks and Recreation,Root/Sewer/Sidewalk Condition,Trees and Sidewalks Program,Street,11358,35-11 168 STREET,168 STREET,35 AVENUE,CROCHERON AVENUE,35 AVENUE,CROCHERON AVENUE,ADDRESS,FLUSHING,168 STREET,Unspecified,NYC Parks inspected and determined that the site is ineligible for the Trees and Sidewalks Program because of one or more of the following reasons:  - The property adjacent to the sidewalk is not in Tax Class 1 - The property adjacent to the sidewalk is not owner-occupied - The property adjacent to the sidewalk contains a place of business  You can repair the sidewalk yourself by hiring an independent contractor. The contractor must complete a Tree Work Permit application on the NYC Parks website.,2023-10-30T15:31:24.000,07 QUEENS,4052920036,QUEENS,1040276,217868,PHONE,Unspecified,QUEENS,40.76449623041433,-73.7977490759879,"{'latitude': '40.76449623041433', 'longitude': '-73.7977490759879', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
58806469,2023-09-13T13:43:19.000,2023-09-22T09:48:51.000,DSNY,Department of Sanitation,Sanitation Worker or Vehicle Complaint,Inappropriate Behavior,Street,11225,EAST NEW YORK AVENUE,EAST NEW YORK AVENUE,EAST NEW YORK AVENUE,KINGSTON AVENUE,EAST NEW YORK AVENUE,KINGSTON AVENUE,INTERSECTION,,,Closed,The Department of Sanitation will address the situation at the location by providing educational outreach about proper sanitation procedures.,2023-09-19T11:58:42.000,09 BROOKLYN,,BROOKLYN,1000129,180488,PHONE,Unspecified,BROOKLYN,40.66206034477082,-73.94276571558008,"{'latitude': '40.66206034477082', 'longitude': '-73.94276571558008', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
58808660,2023-09-13T13:43:15.000,2023-09-18T10:37:00.000,DPR,Department of Parks and Recreation,Dead/Dying Tree,Planted More Than 2 Years Ago,Street,11233,790 HERKIMER STREET,HERKIMER STREET,ROCHESTER AVENUE,SUYDAM PLACE,ROCHESTER AVENUE,SUYDAM PLACE,ADDRESS,BROOKLYN,HERKIMER STREET,Closed,"NYC Parks created a work order for the tree condition.  Please note that addressing this work can take up to a year or more depending on the higher priority work identified during this period and resources available to address this work.    NYC Parks work priority categories range from Category A through D, with A being the most critical and time-sensitive. We will complete all work in Category A first and address work in lower priority categories in accordance with available resources. For more information about the Tree Risk Management Program, visit the NYC Urban Forest page on the NYC Parks website at nyc.gov/parks/trees.   Alternatively, you may choose complete the work yourself by hiring an independent contractor. The contractor must complete a Tree Work Permit application on the NYC Parks website at nyc.gov/parks/trees.",2023-09-18T10:37:02.000,03 BROOKLYN,3017090012,BROOKLYN,1004444,186447,PHONE,Unspecified,BROOKLYN,40.678407672003075,-73.92719487977237,"{'latitude': '40.678407672003075', 'longitude': '-73.92719487977237', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
58808543,2023-09-13T13:42:59.000,2023-09-13T22:15:00.000,DOT,Department of Transportation,Street Condition,Pothole,,11213,EMPIRE BOULEVARD,EMPIRE BOULEVARD,ALBANY AVENUE,TROY AVENUE,,,BLOCKFACE,BROOKLYN,,Closed,The Department of Transportation inspected this complaint and repaired the problem.,2023-09-13T22:15:00.000,09 BROOKLYN,,BROOKLYN,,,UNKNOWN,Unspecified,BROOKLYN,,,,N/A,,,,,,
58805677,2023-09-13T13:42:55.000,2023-09-13T17:52:11.000,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,Residential Building/House,11420,126-13 115 AVENUE,115 AVENUE,126 STREET,127 STREET,126 STREET,127 STREET,ADDRESS,SOUTH OZONE PARK,115 AVENUE,Closed,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,2023-09-13T17:52:15.000,10 QUEENS,4116530034,QUEENS,1036046,186645,ONLINE,Unspecified,QUEENS,40.67882263332505,-73.81325938922684,"{'latitude': '40.67882263332505', 'longitude': '-73.81325938922684', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
58808731,2023-09-13T13:42:42.000,2023-10-12T08:10:29.000,DOT,Department of Transportation,Curb Condition,Defacement,Curb,10457,4501 PARK AVENUE,PARK AVENUE,EAST  182 STREET,EAST  182 STREET,EAST  182 STREET,EAST  182 STREET,ADDRESS,BRONX,PARK AVENUE,Closed,The Department of Transportation inspected the condition you reported and issued a notice to the responsible party to correct the condition.,2023-10-12T08:10:57.000,06 BRONX,2030300174,BRONX,1013185,250653,ONLINE,Unspecified,BRONX,40.854612066156946,-73.89540471197628,"{'latitude': '40.854612066156946', 'longitude': '-73.89540471197628', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
58809692,2023-09-13T13:42:32.000,,HPD,Department of Housing Preservation and Development,GENERAL,BELL/BUZZER/INTERCOM,RESIDENTIAL BUILDING,10036,453 WEST   48 STREET,WEST   48 STREET,,,,,ADDRESS,NEW YORK,,Open,The following complaint conditions are still open. HPD may attempt to contact you to verify the correction of the condition or may conduct an inspection.,2023-09-13T00:00:00.000,04 MANHATTAN,1010580104,MANHATTAN,986489,217299,PHONE,Unspecified,MANHATTAN,40.76311171441717,-73.99191750251904,"{'latitude': '40.76311171441717', 'longitude': '-73.99191750251904', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
58809745,2023-09-13T13:42:26.000,2023-09-26T13:07:26.000,HPD,Department of Housing Preservation and Development,PAINT/PLASTER,WALL,RESIDENTIAL BUILDING,10467,3642 HOLLAND AVENUE,HOLLAND AVENUE,,,,,ADDRESS,BRONX,,Closed,The Department of Housing Preservation and Development inspected the following conditions. No violations were issued. The complaint has been closed.,2023-09-26T00:00:00.000,12 BRONX,2046620039,BRONX,1022010,259823,PHONE,Unspecified,BRONX,40.8797475632119,-73.86345215572506,"{'latitude': '40.8797475632119', 'longitude': '-73.86345215572506', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
58802506,2023-09-13T13:42:24.000,2023-09-14T08:49:59.000,DSNY,Department of Sanitation,Missed Collection,Trash,Street,11230,960 EAST   12 STREET,EAST   12 STREET,AVENUE I,AVENUE J,AVENUE I,AVENUE J,ADDRESS,BROOKLYN,EAST   12 STREET,Closed,The Department of Sanitation collected the requested items.,2023-09-14T05:24:56.000,14 BROOKLYN,3067040032,BROOKLYN,994136,167323,ONLINE,Unspecified,BROOKLYN,40.62593397680336,-73.96438618024132,"{'latitude': '40.62593397680336', 'longitude': '-73.96438618024132', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
58810318,2023-09-13T13:42:15.000,2023-09-14T04:30:59.000,DSNY,Department of Sanitation,Obstruction,Trash or Recycling,Sidewalk,11215,557 UNION STREET,UNION STREET,NEVINS STREET,3 AVENUE,NEVINS STREET,3 AVENUE,ADDRESS,BROOKLYN,UNION STREET,Closed,The Department of Sanitation investigated this complaint and found no condition at the location.,2023-09-14T04:31:03.000,06 BROOKLYN,3004330056,BROOKLYN,987934,186601,PHONE,Unspecified,BROOKLYN,40.67885263460761,-73.98671804384253,"{'latitude': '40.67885263460761', 'longitude': '-73.98671804384253', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
58804508,2023-09-13T13:41:59.000,2023-10-01T02:03:50.000,HPD,Department of Housing Preservation and Development,GENERAL,CABINET,RESIDENTIAL BUILDING,11226,520 EAST   21 STREET,EAST   21 STREET,,,,,ADDRESS,BROOKLYN,,Closed,The Department of Housing Preservation and Development inspected the following conditions. No violations were issued. The complaint has been closed.,2023-10-01T00:00:00.000,14 BROOKLYN,3051840006,BROOKLYN,995824,172912,PHONE,Unspecified,BROOKLYN,40.64127254993023,-73.95829565997418,"{'latitude': '40.64127254993023', 'longitude': '-73.95829565997418', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
58804499,2023-09-13T13:41:59.000,2023-10-01T02:03:50.000,HPD,Department of Housing Preservation and Development,FLOORING/STAIRS,FLOOR,RESIDENTIAL BUILDING,11226,520 EAST   21 STREET,EAST   21 STREET,,,,,ADDRESS,BROOKLYN,,Closed,The Department of Housing Preservation and Development inspected the following conditions. No violations were issued. The complaint has been closed.,2023-10-01T00:00:00.000,14 BROOKLYN,3051840006,BROOKLYN,995824,172912,PHONE,Unspecified,BROOKLYN,40.64127254993023,-73.95829565997418,"{'latitude': '40.64127254993023', 'longitude': '-73.95829565997418', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
58800657,2023-09-13T13:41:59.000,2023-10-01T02:03:50.000,HPD,Department of Housing Preservation and Development,PLUMBING,TOILET,RESIDENTIAL BUILDING,11226,520 EAST   21 STREET,EAST   21 STREET,,,,,ADDRESS,BROOKLYN,,Closed,The Department of Housing Preservation and Development inspected the following conditions. Violations were issued. Information about specific violations is available at www.nyc.gov/hpd,2023-10-01T00:00:00.000,14 BROOKLYN,3051840006,BROOKLYN,995824,172912,PHONE,Unspecified,BROOKLYN,40.64127254993023,-73.95829565997418,"{'latitude': '40.64127254993023', 'longitude': '-73.95829565997418', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
58803254,2023-09-13T13:41:59.000,2023-10-01T02:03:50.000,HPD,Department of Housing Preservation and Development,SAFETY,CARBON MONOXIDE DETECTOR,RESIDENTIAL BUILDING,11226,520 EAST   21 STREET,EAST   21 STREET,,,,,ADDRESS,BROOKLYN,,Closed,The Department of Housing Preservation and Development inspected the following conditions. Violations were issued. Information about specific violations is available at www.nyc.gov/hpd,2023-10-01T00:00:00.000,14 BROOKLYN,3051840006,BROOKLYN,995824,172912,PHONE,Unspecified,BROOKLYN,40.64127254993023,-73.95829565997418,"{'latitude': '40.64127254993023', 'longitude': '-73.95829565997418', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
58802055,2023-09-13T13:41:59.000,2023-10-01T02:03:50.000,HPD,Department of Housing Preservation and Development,UNSANITARY CONDITION,PESTS,RESIDENTIAL BUILDING,11226,520 EAST   21 STREET,EAST   21 STREET,,,,,ADDRESS,BROOKLYN,,Closed,The Department of Housing Preservation and Development inspected the following conditions. Violations were issued. Information about specific violations is available at www.nyc.gov/hpd,2023-10-01T00:00:00.000,14 BROOKLYN,3051840006,BROOKLYN,995824,172912,PHONE,Unspecified,BROOKLYN,40.64127254993023,-73.95829565997418,"{'latitude': '40.64127254993023', 'longitude': '-73.95829565997418', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
58809783,2023-09-13T13:41:59.000,2023-10-01T02:03:50.000,HPD,Department of Housing Preservation and Development,SAFETY,SMOKE DETECTOR,RESIDENTIAL BUILDING,11226,520 EAST   21 STREET,EAST   21 STREET,,,,,ADDRESS,BROOKLYN,,Closed,The Department of Housing Preservation and Development inspected the following conditions. Violations were issued. Information about specific violations is available at www.nyc.gov/hpd,2023-10-01T00:00:00.000,14 BROOKLYN,3051840006,BROOKLYN,995824,172912,PHONE,Unspecified,BROOKLYN,40.64127254993023,-73.95829565997418,"{'latitude': '40.64127254993023', 'longitude': '-73.95829565997418', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
58805868,2023-09-13T13:41:59.000,2023-10-01T02:03:50.000,HPD,Department of Housing Preservation and Development,PAINT/PLASTER,WALL,RESIDENTIAL BUILDING,11226,520 EAST   21 STREET,EAST   21 STREET,,,,,ADDRESS,BROOKLYN,,Closed,The Department of Housing Preservation and Development inspected the following conditions. Violations were issued. Information about specific violations is available at www.nyc.gov/hpd,2023-10-01T00:00:00.000,14 BROOKLYN,3051840006,BROOKLYN,995824,172912,PHONE,Unspecified,BROOKLYN,40.64127254993023,-73.95829565997418,"{'latitude': '40.64127254993023', 'longitude': '-73.95829565997418', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
58805814,2023-09-13T13:41:58.000,2023-09-26T13:07:26.000,HPD,Department of Housing Preservation and Development,FLOORING/STAIRS,FLOOR,RESIDENTIAL BUILDING,10467,3642 HOLLAND AVENUE,HOLLAND AVENUE,,,,,ADDRESS,BRONX,,Closed,The Department of Housing Preservation and Development inspected the following conditions. No violations were issued. The complaint has been closed.,2023-09-26T00:00:00.000,12 BRONX,2046620039,BRONX,1022010,259823,PHONE,Unspecified,BRONX,40.8797475632119,-73.86345215572506,"{'latitude': '40.8797475632119', 'longitude': '-73.86345215572506', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
