unique_key,created_date,closed_date,agency,agency_name,complaint_type,descriptor,location_type,incident_zip,incident_address,street_name,address_type,city,status,resolution_description,resolution_action_updated_date,community_board,bbl,borough,x_coordinate_state_plane,y_coordinate_state_plane,open_data_channel_type,park_facility_name,park_borough,latitude,longitude,location,cross_street_1,cross_street_2,intersection_street_1,intersection_street_2,landmark,taxi_pick_up_location,facility_type,due_date,bridge_highway_name,bridge_highway_direction,road_ramp,bridge_highway_segment
58954833,2023-09-28T15:05:40.000,2023-09-28T20:01:05.000,NYPD,New York City Police Department,Blocked Driveway,No Access,Street/Sidewalk,11369,25-48 88 STREET,88 STREET,ADDRESS,EAST ELMHURST,Closed,The Police Department responded and upon arrival those responsible for the condition were gone.,2023-09-28T20:01:09.000,03 QUEENS,4013610031,QUEENS,1017208,217244,MOBILE,Unspecified,QUEENS,40.76289960529934,-73.88102626834755,"{'latitude': '40.76289960529934', 'longitude': '-73.88102626834755', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",25 AVENUE,30 AVENUE,25 AVENUE,30 AVENUE,88 STREET,,,,,,,
58949381,2023-09-28T15:05:20.000,2023-10-02T13:07:01.000,DOT,Department of Transportation,Street Condition,Plate Condition - Noisy,Street,10022,235 EAST   55 STREET,EAST   55 STREET,ADDRESS,NEW YORK,Closed,"The Department of Transportation inspected the condition and issued a Corrective Action Repair (CAR) to the contractor or utility company. The responsible party has a maximum of 30 days to correct the condition. If the condition still exists, a summons will be issued. In some cases, the Department of Transportation will make the repairs and charge the responsible party for the costs.",2023-10-02T13:07:05.000,06 MANHATTAN,1013297501,MANHATTAN,993227,215652,PHONE,Unspecified,MANHATTAN,40.75858684834482,-73.96759640352336,"{'latitude': '40.75858684834482', 'longitude': '-73.96759640352336', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",3 AVENUE,2 AVENUE,3 AVENUE,2 AVENUE,EAST   55 STREET,,,,,,,
58949404,2023-09-28T15:05:14.000,2023-11-09T11:55:19.000,TLC,Taxi and Limousine Commission,For Hire Vehicle Complaint,Driver Complaint - Non Passenger,Street,10011,120 5 AVENUE,5 AVENUE,ADDRESS,NEW YORK,Closed,The Taxi and Limousine Commission (TLC) reviewed your complaint. The driver or owner pled guilty to a violation and paid a fine. TLC has sent you a written confirmation of this outcome.,2023-11-09T11:55:23.000,05 MANHATTAN,,MANHATTAN,986433,208178,ONLINE,Unspecified,MANHATTAN,40.73807688727065,-73.9921226161142,"{'latitude': '40.73807688727065', 'longitude': '-73.9921226161142', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",EAST   17 STREET,EAST   18 STREET,EAST   17 STREET,EAST   18 STREET,5 AVENUE,"120 5 AVENUE, MANHATTAN (NEW YORK), NY, 10011",,,,,,
58954636,2023-09-28T15:05:00.000,2023-10-01T18:00:00.000,DEP,Department of Environmental Protection,Water System,Excessive Water In Basement (WEFB),,11237,215 HIMROD STREET,HIMROD STREET,ADDRESS,BROOKLYN,Closed,"The Department of Environment Protection inspected your complaint but could not find the problem you reported. If the condition persists, please call 311 (or 212-639-9675 if calling from a non-New York City area code) with more detailed information to submit a new complaint.",2023-10-01T18:00:00.000,04 BROOKLYN,3032680050,BROOKLYN,1006270,194084,ONLINE,Unspecified,BROOKLYN,40.69936511928021,-73.92058667208777,"{'latitude': '40.69936511928021', 'longitude': '-73.92058667208777', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",MYRTLE AVE,KNICKERBOCKER AVE,,,,,,,,,,
58947192,2023-09-28T15:05:00.000,2023-09-28T15:05:00.000,DEP,Department of Environmental Protection,Sewer,Street Flooding (SJ),,11218,,,INTERSECTION,BROOKLYN,Closed,"The Department of Environmental Protection has determined that this issue was previously reported by another customer The original complaint is being addressed. If the condition persists, please call 311 (or 212-639-9675 if calling from a non-New York City area code) to submit a new complaint.",2023-09-28T15:05:00.000,12 BROOKLYN,,BROOKLYN,992073,171964,PHONE,Unspecified,BROOKLYN,40.63867460037581,-73.9718126539253,"{'latitude': '40.63867460037581', 'longitude': '-73.9718126539253', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,CORTELYOU ROAD,EAST 7 STREET,,,,,,,,
58953199,2023-09-28T15:04:39.000,2023-09-28T17:02:19.000,DSNY,Department of Sanitation,Vendor Enforcement,Food Vendor,Street,10018,70 WEST   37 STREET,WEST   37 STREET,ADDRESS,NEW YORK,Closed,N/A,2023-09-28T17:02:25.000,05 MANHATTAN,1008380001,MANHATTAN,988334,212964,PHONE,Unspecified,MANHATTAN,40.75121258596499,-73.9852599268968,"{'latitude': '40.75121258596499', 'longitude': '-73.9852599268968', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",5 AVENUE,AVENUE OF THE AMERICAS,5 AVENUE,AVENUE OF THE AMERICAS,WEST   37 STREET,,,,,,,
58948167,2023-09-28T15:04:26.000,2023-11-14T14:40:03.000,TLC,Taxi and Limousine Commission,For Hire Vehicle Complaint,Driver Complaint - Non Passenger,Street,10011,26 WEST   17 STREET,WEST   17 STREET,ADDRESS,NEW YORK,Closed,A hearing was scheduled at the OATH/Taxi and Limousine Tribunal.,2023-11-14T14:40:07.000,05 MANHATTAN,1008180066,MANHATTAN,986113,208277,ONLINE,Unspecified,MANHATTAN,40.738348690939894,-73.99327731285354,"{'latitude': '40.738348690939894', 'longitude': '-73.99327731285354', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",5 AVENUE,AVENUE OF THE AMERICAS,5 AVENUE,AVENUE OF THE AMERICAS,WEST   17 STREET,"26 WEST   17 STREET, MANHATTAN (NEW YORK), NY, 10011",,,,,,
58954851,2023-09-28T15:04:25.000,2023-09-28T18:36:39.000,NYPD,New York City Police Department,Blocked Driveway,Partial Access,Street/Sidewalk,11214,75 BAY   19 STREET,BAY   19 STREET,ADDRESS,BROOKLYN,Closed,The Police Department issued a summons in response to the complaint.,2023-09-28T18:36:43.000,11 BROOKLYN,,BROOKLYN,983332,159866,PHONE,Unspecified,BROOKLYN,40.605471523628054,-74.00330603533033,"{'latitude': '40.605471523628054', 'longitude': '-74.00330603533033', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",86 STREET,BENSON AVENUE,86 STREET,BENSON AVENUE,BAY   19 STREET,,,,,,,
58949879,2023-09-28T15:04:22.000,2023-09-28T15:27:16.000,NYPD,New York City Police Department,Blocked Driveway,No Access,Street/Sidewalk,10128,225 EAST   93 STREET,EAST   93 STREET,ADDRESS,NEW YORK,Closed,The Police Department responded and upon arrival those responsible for the condition were gone.,2023-09-28T15:27:22.000,08 MANHATTAN,1015390010,MANHATTAN,998214,224469,PHONE,Unspecified,MANHATTAN,40.782780741203254,-73.94957689102979,"{'latitude': '40.782780741203254', 'longitude': '-73.94957689102979', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",3 AVENUE,2 AVENUE,3 AVENUE,2 AVENUE,EAST   93 STREET,,,,,,,
58950252,2023-09-28T15:04:17.000,2023-10-09T17:34:17.000,HPD,Department of Housing Preservation and Development,UNSANITARY CONDITION,PESTS,RESIDENTIAL BUILDING,11225,2110 WESTBURY COURT,WESTBURY COURT,ADDRESS,BROOKLYN,Closed,The Department of Housing Preservation and Development inspected the following conditions. No violations were issued. The complaint has been closed.,2023-10-09T00:00:00.000,09 BROOKLYN,3050260250,BROOKLYN,995229,178537,PHONE,Unspecified,BROOKLYN,40.65671271138298,-73.96043045442053,"{'latitude': '40.65671271138298', 'longitude': '-73.96043045442053', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,,,,,
58950096,2023-09-28T15:04:17.000,2023-10-09T17:34:16.000,HPD,Department of Housing Preservation and Development,DOOR/WINDOW,WINDOW FRAME,RESIDENTIAL BUILDING,11225,2110 WESTBURY COURT,WESTBURY COURT,ADDRESS,BROOKLYN,Closed,The Department of Housing Preservation and Development inspected the following conditions. No violations were issued. The complaint has been closed.,2023-10-09T00:00:00.000,09 BROOKLYN,3050260250,BROOKLYN,995229,178537,PHONE,Unspecified,BROOKLYN,40.65671271138298,-73.96043045442053,"{'latitude': '40.65671271138298', 'longitude': '-73.96043045442053', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,,,,,
58950207,2023-09-28T15:04:17.000,2023-10-09T17:34:17.000,HPD,Department of Housing Preservation and Development,SAFETY,FIRE ESCAPE,RESIDENTIAL BUILDING,11225,2110 WESTBURY COURT,WESTBURY COURT,ADDRESS,BROOKLYN,Closed,The Department of Housing Preservation and Development inspected the following conditions. No violations were issued. The complaint has been closed.,2023-10-09T00:00:00.000,09 BROOKLYN,3050260250,BROOKLYN,995229,178537,PHONE,Unspecified,BROOKLYN,40.65671271138298,-73.96043045442053,"{'latitude': '40.65671271138298', 'longitude': '-73.96043045442053', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,,,,,
58947142,2023-09-28T15:04:17.000,2023-10-25T15:28:37.000,DCWP,Department of Consumer and Worker Protection,Consumer Complaint,Tobacco Sales,Business,11217,255 LIVINGSTON STREET,LIVINGSTON STREET,ADDRESS,BROOKLYN,Closed,The Department of Consumer and Worker Protection (DCWP) finished reviewing your complaint. DCWP will contact you directly to report its status.,2023-10-25T15:28:46.000,02 BROOKLYN,3001600001,BROOKLYN,988843,190205,PHONE,Unspecified,BROOKLYN,40.68874436745647,-73.9834383619423,"{'latitude': '40.68874436745647', 'longitude': '-73.9834383619423', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",BOND STREET,HANOVER PLACE,BOND STREET,HANOVER PLACE,LIVINGSTON STREET,,,,,,,
58947685,2023-09-28T15:04:17.000,2023-10-09T17:34:16.000,HPD,Department of Housing Preservation and Development,GENERAL,BELL/BUZZER/INTERCOM,RESIDENTIAL BUILDING,11225,2110 WESTBURY COURT,WESTBURY COURT,ADDRESS,BROOKLYN,Closed,The Department of Housing Preservation and Development inspected the following conditions. No violations were issued. The complaint has been closed.,2023-10-09T00:00:00.000,09 BROOKLYN,3050260250,BROOKLYN,995229,178537,PHONE,Unspecified,BROOKLYN,40.65671271138298,-73.96043045442053,"{'latitude': '40.65671271138298', 'longitude': '-73.96043045442053', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,,,,,
58946117,2023-09-28T15:04:13.000,2023-11-01T00:00:00.000,DOB,Department of Buildings,Building/Use,Illegal Conversion Of Residential Building/Space,,11420,111-14 117 STREET,117 STREET,ADDRESS,SOUTH OZONE PARK,Closed,"The Department of Buildings attempted to investigate this complaint twice but could not gain access to the location. If the problem still exists, please call 311 and file a new complaint with additional access information. If you are outside of New York City, please call (212) NEW-YORK (212-639-9675).",2023-11-01T00:00:00.000,10 QUEENS,4116210014,QUEENS,1033366,186973,UNKNOWN,Unspecified,QUEENS,40.67973819304783,-73.82291920109579,"{'latitude': '40.67973819304783', 'longitude': '-73.82291920109579', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,,,,,
58949681,2023-09-28T15:04:08.000,2023-09-28T15:19:40.000,NYPD,New York City Police Department,Illegal Parking,Unauthorized Bus Layover,Street/Sidewalk,10019,660 12 AVENUE,12 AVENUE,ADDRESS,NEW YORK,Closed,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,2023-09-28T15:19:45.000,04 MANHATTAN,,MANHATTAN,985001,218369,MOBILE,Unspecified,MANHATTAN,40.76604883981489,-73.99728886856309,"{'latitude': '40.76604883981489', 'longitude': '-73.99728886856309', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",WEST   48 STREET,WEST   49 STREET,WEST   48 STREET,WEST   49 STREET,12 AVENUE,,,,,,,
58951106,2023-09-28T15:04:06.000,2023-09-29T00:00:00.000,DOB,Department of Buildings,General Construction/Plumbing,Cons - Contrary/Beyond Approved Plans/Permits,,10011,14 5 AVENUE,5 AVENUE,ADDRESS,NEW YORK,Closed,The Department of Buildings investigated this complaint and determined that no further action was necessary.,2023-09-29T00:00:00.000,02 MANHATTAN,1005720041,MANHATTAN,985319,206166,UNKNOWN,Unspecified,MANHATTAN,40.73255464829997,-73.99614281928679,"{'latitude': '40.73255464829997', 'longitude': '-73.99614281928679', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,,,,,
58946137,2023-09-28T15:04:06.000,2023-10-20T00:00:00.000,DOB,Department of Buildings,General Construction/Plumbing,Fence - None/Inadequate,,11419,104-29 117 STREET,117 STREET,ADDRESS,SOUTH RICHMOND HILL,Assigned,The Department of Buildings attempted to investigate this complaint but could not gain access to the location. Please schedule an appointment for a follow up inspection by contacting the appropriate unit at Department of Buildings. You can find contact information at https://www1.nyc.gov/site/buildings/about/contact-us.page.,2023-10-20T00:00:00.000,10 QUEENS,4095710060,QUEENS,1032571,189113,UNKNOWN,Unspecified,QUEENS,40.685616369631525,-73.82577010770048,"{'latitude': '40.685616369631525', 'longitude': '-73.82577010770048', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,,,,,
58951721,2023-09-28T15:04:06.000,,DPR,Department of Parks and Recreation,Overgrown Tree/Branches,Dead Branches in Tree,Street,11104,46-01 39 AVENUE,39 AVENUE,ADDRESS,SUNNYSIDE,In Progress,"NYC Parks created a work order for the tree condition and expects to address the issue within 120 days from the date of the tree assessment, barring any weather-related requests.   NYC Parks work priority categories range from Category A through D, with A being the most critical and time-sensitive. We will complete all work in Category A first and address work in lower priority categories in accordance with available resources. For more information about the Tree Risk Management Program, visit the NYC Urban Forest page on the NYC Parks website at nyc.gov/parks/trees.",2023-11-01T11:53:23.000,02 QUEENS,,QUEENS,1007134,212299,ONLINE,Unspecified,QUEENS,40.74935866131142,-73.91740879183394,"{'latitude': '40.74935866131142', 'longitude': '-73.91740879183394', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",46 STREET,47 STREET,46 STREET,47 STREET,39 AVENUE,,,,,,,
58953001,2023-09-28T15:04:00.000,2023-09-28T17:00:00.000,DOT,Department of Transportation,Street Light Condition,Lamppost Knocked Down,,10467,3321 ROCHAMBEAU AVENUE,ROCHAMBEAU AVENUE,INTERSECTION,BRONX,Closed,Service Request status for this request is available on the Department of Transportationâs website. Please click the âLearn Moreâ link below.,2023-09-28T17:00:00.000,07 BRONX,2033370047,BRONX,1017290,259184,UNKNOWN,Unspecified,BRONX,40.87801264013154,-73.88052376527659,"{'latitude': '40.87801264013154', 'longitude': '-73.88052376527659', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",208 ST E,210 ST E,ROCHAMBEAU AVENUE,EAST 208 STREET,,,,,,,,
58949939,2023-09-28T15:04:00.000,2023-09-29T00:30:00.000,DOT,Department of Transportation,Street Light Condition,Street Light Out,,10032,,,INTERSECTION,MANHATTAN,Closed,Service Request status for this request is available on the Department of Transportationâs website. Please click the âLearn Moreâ link below.,2023-09-29T00:30:00.000,12 MANHATTAN,,MANHATTAN,999328,243540,UNKNOWN,Unspecified,MANHATTAN,40.835123511608636,-73.94551147353238,"{'latitude': '40.835123511608636', 'longitude': '-73.94551147353238', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,RIVERSIDE DRIVE,WEST 158 STREET,,,,,,,,
58954032,2023-09-28T15:03:53.000,2023-09-28T15:34:36.000,NYPD,New York City Police Department,Illegal Parking,Blocked Bike Lane,Street/Sidewalk,10011,26 WEST   17 STREET,WEST   17 STREET,ADDRESS,NEW YORK,Closed,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,2023-09-28T15:34:40.000,05 MANHATTAN,1008180066,MANHATTAN,986113,208277,ONLINE,Unspecified,MANHATTAN,40.738348690939894,-73.99327731285354,"{'latitude': '40.738348690939894', 'longitude': '-73.99327731285354', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",5 AVENUE,AVENUE OF THE AMERICAS,5 AVENUE,AVENUE OF THE AMERICAS,WEST   17 STREET,,,,,,,
58952873,2023-09-28T15:03:49.000,,DPR,Department of Parks and Recreation,New Tree Request,For One Address,Street,10310,36 DEGROOT PLACE,DEGROOT PLACE,ADDRESS,STATEN ISLAND,In Progress,,,01 STATEN ISLAND,,STATEN ISLAND,949657,170786,PHONE,Unspecified,STATEN ISLAND,40.63537714636964,-74.12463722271376,"{'latitude': '40.63537714636964', 'longitude': '-74.12463722271376', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",DONGAN STREET,BODINE STREET,DONGAN STREET,BODINE STREET,DE GROOT PLACE,,,,,,,
58947905,2023-09-28T15:03:47.000,2023-09-28T15:23:20.000,NYPD,New York City Police Department,Abandoned Vehicle,With License Plate,Street/Sidewalk,11234,1545 RYDER STREET,RYDER STREET,ADDRESS,BROOKLYN,Closed,The Police Department responded to the complaint and took action to fix the condition.,2023-09-28T15:23:25.000,18 BROOKLYN,3078580023,BROOKLYN,1001621,164644,PHONE,Unspecified,BROOKLYN,40.61856916828446,-73.93742874364384,"{'latitude': '40.61856916828446', 'longitude': '-73.93742874364384', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",FLATLANDS AVENUE,AVENUE P,FLATLANDS AVENUE,AVENUE P,RYDER STREET,,,,,,,
58946545,2023-09-28T15:03:44.000,2023-10-03T15:02:53.000,HPD,Department of Housing Preservation and Development,UNSANITARY CONDITION,MOLD,RESIDENTIAL BUILDING,10037,657 LENOX AVENUE,LENOX AVENUE,ADDRESS,NEW YORK,Closed,The Department of Housing Preservation and Development inspected the following conditions. No violations were issued. The complaint has been closed.,2023-10-03T00:00:00.000,10 MANHATTAN,1020110036,MANHATTAN,1001608,237673,PHONE,Unspecified,MANHATTAN,40.81901608679031,-73.93728724406722,"{'latitude': '40.81901608679031', 'longitude': '-73.93728724406722', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,,,,,
58952729,2023-09-28T15:03:44.000,2023-10-02T16:24:26.000,HPD,Department of Housing Preservation and Development,WATER LEAK,HEAVY FLOW,RESIDENTIAL BUILDING,10037,657 LENOX AVENUE,LENOX AVENUE,ADDRESS,NEW YORK,Closed,The Department of Housing Preservation and Development inspected the following conditions. Violations were issued. Information about specific violations is available at www.nyc.gov/hpd,2023-10-02T00:00:00.000,10 MANHATTAN,1020110036,MANHATTAN,1001608,237673,PHONE,Unspecified,MANHATTAN,40.81901608679031,-73.93728724406722,"{'latitude': '40.81901608679031', 'longitude': '-73.93728724406722', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,,,,,
58946570,2023-09-28T15:03:44.000,2023-10-07T18:00:04.000,HPD,Department of Housing Preservation and Development,UNSANITARY CONDITION,PESTS,RESIDENTIAL BUILDING,10037,657 LENOX AVENUE,LENOX AVENUE,ADDRESS,NEW YORK,Closed,The Department of Housing Preservation and Development inspected the following conditions. No violations were issued. The complaint has been closed.,2023-10-07T00:00:00.000,10 MANHATTAN,1020110036,MANHATTAN,1001608,237673,PHONE,Unspecified,MANHATTAN,40.81901608679031,-73.93728724406722,"{'latitude': '40.81901608679031', 'longitude': '-73.93728724406722', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,,,,,
