unique_key,created_date,closed_date,agency,agency_name,complaint_type,descriptor,location_type,incident_zip,incident_address,street_name,cross_street_1,cross_street_2,intersection_street_1,intersection_street_2,address_type,city,landmark,status,resolution_description,resolution_action_updated_date,community_board,borough,x_coordinate_state_plane,y_coordinate_state_plane,open_data_channel_type,park_facility_name,park_borough,latitude,longitude,location,bbl,taxi_pick_up_location,facility_type,bridge_highway_name,road_ramp,bridge_highway_segment,bridge_highway_direction,due_date
58954627,2023-09-28T08:17:00.000,2023-09-28T09:20:00.000,DEP,Department of Environmental Protection,Water Conservation,Illegal Use Of A Hydrant (CIN),,11423,93-02 183 STREET,183 STREET,BEND,LIRR MAIN LINE,,,ADDRESS,HOLLIS,,Closed,The Department of Environmental Protection scheduled an inspection.,2023-09-28T09:20:00.000,12 QUEENS,QUEENS,1046026,197540,PHONE,Unspecified,QUEENS,40.708662767270475,-73.77717862697581,"{'latitude': '40.708662767270475', 'longitude': '-73.77717862697581', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",4103280044,,,,,,,
58950946,2023-09-28T08:16:49.000,2023-09-28T09:55:24.000,NYPD,New York City Police Department,Illegal Parking,Blocked Hydrant,Street/Sidewalk,11201,14 PRINCE STREET,PRINCE STREET,CONCORD STREET,DEAD END,CONCORD STREET,DEAD END,ADDRESS,BROOKLYN,PRINCE STREET,Closed,The Police Department responded to the complaint and took action to fix the condition.,2023-09-28T09:55:31.000,02 BROOKLYN,BROOKLYN,989156,193255,MOBILE,Unspecified,BROOKLYN,40.697115744146465,-73.98230751174427,"{'latitude': '40.697115744146465', 'longitude': '-73.98230751174427', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",3001220032,,,,,,,
58952349,2023-09-28T08:16:44.000,2023-09-28T08:18:13.000,NYPD,New York City Police Department,Blocked Driveway,No Access,Street/Sidewalk,11207,2322 PITKIN AVENUE,PITKIN AVENUE,JEROME STREET,WARWICK STREET,JEROME STREET,WARWICK STREET,ADDRESS,BROOKLYN,PITKIN AVENUE,Closed,Your request can not be processed at this time because of insufficient contact information. Please create a new Service Request on NYC.gov and provide more detailed contact information.,2023-09-28T08:18:18.000,05 BROOKLYN,BROOKLYN,1015709,184583,PHONE,Unspecified,BROOKLYN,40.673258550022176,-73.88659008486596,"{'latitude': '40.673258550022176', 'longitude': '-73.88659008486596', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",3040140011,,,,,,,
58951812,2023-09-28T08:16:30.000,2023-10-04T09:16:07.000,DOT,Department of Transportation,Street Condition,Defective Hardware,Street,11375,78 AVENUE,78 AVENUE,78 AVENUE,QUEENS BOULEVARD,78 AVENUE,QUEENS BOULEVARD,INTERSECTION,,,Closed,"The Department of Transportation inspected the condition you reported. You can find additional information in the ""Notes to Customer"" field.",2023-10-04T09:16:13.000,06 QUEENS,QUEENS,1030758,199858,UNKNOWN,Unspecified,QUEENS,40.715118540089534,-73.83223298198979,"{'latitude': '40.715118540089534', 'longitude': '-73.83223298198979', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,
58947347,2023-09-28T08:16:14.000,2023-09-28T18:49:08.000,NYPD,New York City Police Department,Illegal Parking,Posted Parking Sign Violation,Street/Sidewalk,11379,66-83 70 STREET,70 STREET,66 DRIVE,METROPOLITAN AVENUE,66 DRIVE,METROPOLITAN AVENUE,ADDRESS,MIDDLE VILLAGE,70 STREET,Closed,This complaint does not fall under the Police Department's jurisdiction.,2023-09-28T18:49:14.000,05 QUEENS,QUEENS,1016098,198915,MOBILE,Unspecified,QUEENS,40.712595150970465,-73.88511997977173,"{'latitude': '40.712595150970465', 'longitude': '-73.88511997977173', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,
58946125,2023-09-28T08:16:14.000,2023-10-02T00:00:00.000,DOB,Department of Buildings,Electrical,Electrical Wiring Defective/Exposed,,,55 STREET,55 STREET,,,,,ADDRESS,,,Closed,"The Department of Buildings attempted to investigate this complaint but could not locate the premises. If the problem still exists, please call 311 and file a new complaint with additional information about how to locate the building. If you are outside of New York City, please call (212) NEW-YORK (212-639-9675).",2023-10-02T00:00:00.000,Unspecified QUEENS,QUEENS,,,UNKNOWN,Unspecified,QUEENS,,,,,,,,,,,
58949412,2023-09-28T08:16:10.000,2023-09-28T08:20:35.000,DHS,Department of Homeless Services,Homeless Person Assistance,,Street/Sidewalk,10036,511 WEST   44 STREET,WEST   44 STREET,AMTRAK-NORTHEAST LINE,11 AVENUE,AMTRAK-NORTHEAST LINE,11 AVENUE,ADDRESS,NEW YORK,WEST   44 STREET,Closed,The Department of Homeless Services did not have enough information to act on your request.,2023-09-28T08:20:35.000,04 MANHATTAN,MANHATTAN,985471,216669,MOBILE,Unspecified,MANHATTAN,40.761382725662514,-73.9955924639408,"{'latitude': '40.761382725662514', 'longitude': '-73.9955924639408', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",1010737503,,,,,,,
58949783,2023-09-28T08:16:03.000,2023-09-28T09:31:48.000,NYPD,New York City Police Department,Illegal Parking,Posted Parking Sign Violation,Street/Sidewalk,11368,43-18 97 PLACE,97 PLACE,43 AVENUE,44 AVENUE,43 AVENUE,44 AVENUE,ADDRESS,CORONA,97 PLACE,Closed,The Police Department responded and upon arrival those responsible for the condition were gone.,2023-09-28T09:31:53.000,04 QUEENS,QUEENS,1021277,211091,MOBILE,Unspecified,QUEENS,40.74599509823053,-73.86637165702145,"{'latitude': '40.74599509823053', 'longitude': '-73.86637165702145', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",4016130017,,,,,,,
58947013,2023-09-28T08:16:02.000,2023-10-14T13:24:30.000,DSNY,Department of Sanitation,Missed Collection,Trash,Street,10022,155 EAST   52 STREET,EAST   52 STREET,LEXINGTON AVENUE,3 AVENUE,LEXINGTON AVENUE,3 AVENUE,ADDRESS,NEW YORK,EAST   52 STREET,Closed,The Department of Sanitation collected the requested items.,2023-09-28T21:43:42.000,06 MANHATTAN,MANHATTAN,992317,215262,ONLINE,Unspecified,MANHATTAN,40.75751727517092,-73.97088162924723,"{'latitude': '40.75751727517092', 'longitude': '-73.97088162924723', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,
58953416,2023-09-28T08:15:50.000,2023-09-28T12:07:56.000,NYPD,New York City Police Department,Illegal Parking,Blocked Sidewalk,Street/Sidewalk,10461,2824 SAINT THERESA AVENUE,SAINT THERESA AVENUE,MULFORD AVENUE,MAYFLOWER AVENUE,MULFORD AVENUE,MAYFLOWER AVENUE,ADDRESS,BRONX,ST THERESA AVENUE,Closed,The Police Department responded and upon arrival those responsible for the condition were gone.,2023-09-28T12:08:00.000,10 BRONX,BRONX,1029963,248852,PHONE,Unspecified,BRONX,40.849597935990275,-73.83476738643972,"{'latitude': '40.849597935990275', 'longitude': '-73.83476738643972', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",2041910033,,,,,,,
58950719,2023-09-28T08:15:49.000,2023-09-29T11:38:33.000,DSNY,Department of Sanitation,Missed Collection,Recycling - Paper/Metal/Glass/Rigid Plastic,Street,11235,2585 EAST   21 STREET,EAST   21 STREET,AVENUE Y,AVENUE Z,AVENUE Y,AVENUE Z,ADDRESS,BROOKLYN,EAST   21 STREET,Closed,The Department of Sanitation collected the requested items.,2023-09-29T10:07:45.000,15 BROOKLYN,BROOKLYN,998571,153995,ONLINE,Unspecified,BROOKLYN,40.589345292738926,-73.94843758022363,"{'latitude': '40.589345292738926', 'longitude': '-73.94843758022363', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",3074410349,,,,,,,
58949471,2023-09-28T08:15:48.000,2023-10-14T13:21:09.000,DSNY,Department of Sanitation,Illegal Dumping,Removal Request,Sidewalk,10009,68 AVENUE C,AVENUE C,EAST    4 STREET,EAST    5 STREET,EAST    4 STREET,EAST    5 STREET,ADDRESS,NEW YORK,AVENUE C,Closed,The Department of Sanitation cleaned the location.,2023-09-28T09:27:16.000,03 MANHATTAN,MANHATTAN,989857,202619,UNKNOWN,Unspecified,MANHATTAN,40.72281728551516,-73.97977170016765,"{'latitude': '40.72281728551516', 'longitude': '-73.97977170016765', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,
58948585,2023-09-28T08:15:47.000,2023-09-28T18:48:46.000,NYPD,New York City Police Department,Illegal Parking,Posted Parking Sign Violation,Street/Sidewalk,11379,65-02 70 STREET,70 STREET,65 DRIVE,JUNIPER VALLEY ROAD,65 DRIVE,JUNIPER VALLEY ROAD,ADDRESS,MIDDLE VILLAGE,70 STREET,Closed,This complaint does not fall under the Police Department's jurisdiction.,2023-09-28T18:48:49.000,05 QUEENS,QUEENS,1016110,199816,MOBILE,Unspecified,QUEENS,40.715068135639875,-73.88507243017243,"{'latitude': '40.715068135639875', 'longitude': '-73.88507243017243', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",4030270037,,,,,,,
58949528,2023-09-28T08:15:46.000,2023-09-29T15:34:05.000,DSNY,Department of Sanitation,Dead Animal,Raccoon,Street,11421,93-16 86 AVENUE,86 AVENUE,WOODHAVEN BOULEVARD,94 STREET,WOODHAVEN BOULEVARD,94 STREET,ADDRESS,WOODHAVEN,86 AVENUE,Closed,The Department of Sanitation investigated this complaint and found no condition at the location.,2023-09-28T23:15:07.000,09 QUEENS,QUEENS,1025232,192707,PHONE,Unspecified,QUEENS,40.695518080864254,-73.85221024911486,"{'latitude': '40.695518080864254', 'longitude': '-73.85221024911486', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",4088820003,,,,,,,
58946304,2023-09-28T08:15:28.000,2023-09-28T09:06:56.000,NYPD,New York City Police Department,Noise - Residential,Banging/Pounding,Residential Building/House,10030,152 WEST  140 STREET,WEST  140 STREET,LENOX AVENUE,ADAM CLAYTON POWELL JR BOULEVARD,LENOX AVENUE,ADAM CLAYTON POWELL JR BOULEVARD,ADDRESS,NEW YORK,WEST  140 STREET,Closed,The Police Department responded to the complaint and took action to fix the condition.,2023-09-28T09:06:58.000,10 MANHATTAN,MANHATTAN,1000812,237285,ONLINE,Unspecified,MANHATTAN,40.81795266444151,-73.94016407082721,"{'latitude': '40.81795266444151', 'longitude': '-73.94016407082721', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,
58954252,2023-09-28T08:15:21.000,2023-09-28T08:17:02.000,NYPD,New York City Police Department,Noise - Street/Sidewalk,Loud Music/Party,Street/Sidewalk,10457,500 EAST  171 STREET,EAST  171 STREET,WASHINGTON AVENUE,3 AVENUE,WASHINGTON AVENUE,3 AVENUE,ADDRESS,BRONX,EAST  171 STREET,Closed,The Police Department responded to the complaint and determined that police action was not necessary.,2023-09-28T08:17:04.000,03 BRONX,BRONX,1011114,244412,ONLINE,Unspecified,BRONX,40.83748891098481,-73.90291603500285,"{'latitude': '40.83748891098481', 'longitude': '-73.90291603500285', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",2029110001,,,,,,,
58952350,2023-09-28T08:15:08.000,2023-09-28T09:12:42.000,NYPD,New York City Police Department,Blocked Driveway,No Access,Street/Sidewalk,11219,972 51 STREET,51 STREET,9 AVENUE,10 AVENUE,9 AVENUE,10 AVENUE,ADDRESS,BROOKLYN,51 STREET,Closed,The Police Department issued a summons in response to the complaint.,2023-09-28T09:12:45.000,12 BROOKLYN,BROOKLYN,984074,171839,PHONE,Unspecified,BROOKLYN,40.63833495506896,-74.00063414899309,"{'latitude': '40.63833495506896', 'longitude': '-74.00063414899309', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",3056520036,,,,,,,
58947913,2023-09-28T08:15:08.000,2023-09-28T12:00:06.000,NYPD,New York City Police Department,Abandoned Vehicle,With License Plate,Street/Sidewalk,10461,1614 EDISON AVENUE,EDISON AVENUE,MIDDLETOWN ROAD,ROBERTS AVENUE,MIDDLETOWN ROAD,ROBERTS AVENUE,ADDRESS,BRONX,EDISON AVENUE,Closed,The Police Department responded to the complaint and took action to fix the condition.,2023-09-28T12:00:10.000,10 BRONX,BRONX,1030493,246808,ONLINE,Unspecified,BRONX,40.843985007991236,-73.83286576807468,"{'latitude': '40.843985007991236', 'longitude': '-73.83286576807468', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,
58946602,2023-09-28T08:14:58.000,2023-10-01T13:39:58.000,HPD,Department of Housing Preservation and Development,WATER LEAK,SLOW LEAK,RESIDENTIAL BUILDING,10460,1553 BRYANT AVENUE,BRYANT AVENUE,,,,,ADDRESS,BRONX,,Closed,The Department of Housing Preservation and Development inspected the following conditions. No violations were issued. The complaint has been closed.,2023-10-01T00:00:00.000,03 BRONX,BRONX,1015582,243040,PHONE,Unspecified,BRONX,40.83370844901697,-73.886775529518,"{'latitude': '40.83370844901697', 'longitude': '-73.886775529518', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",2029960027,,,,,,,
58946885,2023-09-28T08:14:56.000,,TLC,Taxi and Limousine Commission,For Hire Vehicle Complaint,Driver Complaint - Non Passenger,Street,10452,1350 JEROME AVENUE,JEROME AVENUE,MARCY PLACE,ELLIOT PLACE,MARCY PLACE,ELLIOT PLACE,ADDRESS,BRONX,JEROME AVENUE,In Progress,"The Taxi and Limousine Commission (TLC) has received your complaint. Within 30 days, the TLC representative who will be handling your case will contact you.",2023-10-12T11:15:48.000,04 BRONX,BRONX,1006813,245014,PHONE,Unspecified,BRONX,40.839153261593644,-73.91845740875023,"{'latitude': '40.839153261593644', 'longitude': '-73.91845740875023', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",2028410001,"1350 JEROME AVENUE, BRONX, NY, 10452",,,,,,
58952255,2023-09-28T08:14:55.000,2023-09-28T08:37:06.000,NYPD,New York City Police Department,Illegal Parking,Posted Parking Sign Violation,Street/Sidewalk,10001,371 7 AVENUE,7 AVENUE,WEST   30 STREET,WEST   31 STREET,WEST   30 STREET,WEST   31 STREET,ADDRESS,NEW YORK,7 AVENUE,Closed,The Police Department responded to the complaint and took action to fix the condition.,2023-09-28T08:37:09.000,05 MANHATTAN,MANHATTAN,986410,212087,ONLINE,Unspecified,MANHATTAN,40.748806121566346,-73.9922043565897,"{'latitude': '40.748806121566346', 'longitude': '-73.9922043565897', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",1008060076,,,,,,,
58954403,2023-09-28T08:14:54.000,2023-09-29T06:29:21.000,DSNY,Department of Sanitation,Dirty Condition,Trash,Sidewalk,10309,1742 DRUMGOOLE ROAD WEST,DRUMGOOLE ROAD WEST,VERNON AVENUE,FOSTER ROAD,VERNON AVENUE,FOSTER ROAD,ADDRESS,STATEN ISLAND,DRUMGOOLE ROAD WEST,Closed,The Department of Sanitation will address the situation at the location by providing educational outreach about proper sanitation procedures.,2023-09-29T06:29:27.000,03 STATEN ISLAND,STATEN ISLAND,928255,133508,ONLINE,Unspecified,STATEN ISLAND,40.532947279857645,-74.20143870776586,"{'latitude': '40.532947279857645', 'longitude': '-74.20143870776586', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,
58946061,2023-09-28T08:14:53.000,2023-09-28T18:48:16.000,NYPD,New York City Police Department,Illegal Parking,Posted Parking Sign Violation,Street/Sidewalk,11379,64-33 70 STREET,70 STREET,65 DRIVE,JUNIPER VALLEY ROAD,65 DRIVE,JUNIPER VALLEY ROAD,ADDRESS,MIDDLE VILLAGE,70 STREET,Closed,This complaint does not fall under the Police Department's jurisdiction.,2023-09-28T18:48:18.000,05 QUEENS,QUEENS,1016116,199882,MOBILE,Unspecified,QUEENS,40.71524926809419,-73.88505047416704,"{'latitude': '40.71524926809419', 'longitude': '-73.88505047416704', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",4030280089,,,,,,,
58949492,2023-09-28T08:14:29.000,2023-09-30T12:44:45.000,DSNY,Department of Sanitation,Missed Collection,Trash,Street,11229,2743 OCEAN AVENUE,OCEAN AVENUE,AVENUE W,AVENUE X,AVENUE W,AVENUE X,ADDRESS,BROOKLYN,OCEAN AVENUE,Closed,The Department of Sanitation collected the requested items.,2023-09-30T12:04:16.000,15 BROOKLYN,BROOKLYN,998015,155801,ONLINE,Unspecified,BROOKLYN,40.59430328080031,-73.95043576534016,"{'latitude': '40.59430328080031', 'longitude': '-73.95043576534016', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",3074050066,,,,,,,
58954449,2023-09-28T08:14:26.000,2023-09-28T18:47:57.000,NYPD,New York City Police Department,Illegal Parking,Blocked Crosswalk,Street/Sidewalk,11379,64-29 70 STREET,70 STREET,PENELOPE AVENUE,65 DRIVE,PENELOPE AVENUE,65 DRIVE,ADDRESS,MIDDLE VILLAGE,70 STREET,Closed,This complaint does not fall under the Police Department's jurisdiction.,2023-09-28T18:48:00.000,05 QUEENS,QUEENS,1016117,199959,MOBILE,Unspecified,QUEENS,40.715460610893714,-73.88504650238934,"{'latitude': '40.715460610893714', 'longitude': '-73.88504650238934', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",4030280091,,,,,,,
58957358,2023-09-28T08:14:17.000,2023-09-29T12:35:36.000,DSNY,Department of Sanitation,Missed Collection,Bulky Trash,Street,11103,28-45 36 STREET,36 STREET,28 AVENUE,30 AVENUE,28 AVENUE,30 AVENUE,ADDRESS,ASTORIA,36 STREET,Closed,The Department of Sanitation investigated and found this complaint to be out of jurisdiction. The Department of Sanitation reviewed this and found it not to be meeting the criteria for a complaint or service request.,2023-09-29T12:35:36.000,01 QUEENS,QUEENS,1007429,218478,ONLINE,Unspecified,QUEENS,40.76631766184794,-73.91632279790832,"{'latitude': '40.76631766184794', 'longitude': '-73.91632279790832', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",4006300003,,,,,,,
58951427,2023-09-28T08:13:54.000,2023-09-29T13:27:41.000,HPD,Department of Housing Preservation and Development,HEAT/HOT WATER,ENTIRE BUILDING,RESIDENTIAL BUILDING,10033,725 WEST  184 STREET,WEST  184 STREET,,,,,ADDRESS,NEW YORK,,Closed,The complaint you filed is a duplicate of a condition already reported by another tenant for a building-wide condition. The original complaint is still open. HPD may attempt to contact you to verify the correction of the condition or may conduct an inspection of your unit if the original complainant is not available for verification.,2023-09-29T00:00:00.000,12 MANHATTAN,MANHATTAN,1001985,249838,PHONE,Unspecified,MANHATTAN,40.85240473614685,-73.935893015454,"{'latitude': '40.85240473614685', 'longitude': '-73.935893015454', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",1021800157,,,,,,,
58955756,2023-09-28T08:13:50.000,2023-10-05T09:39:19.000,DSNY,Department of Sanitation,Sanitation Worker or Vehicle Complaint,Spilled Garbage,Street,11435,145-25 109 AVENUE,109 AVENUE,INWOOD STREET,LIVERPOOL STREET,INWOOD STREET,LIVERPOOL STREET,ADDRESS,JAMAICA,109 AVENUE,Closed,The Department of Sanitation cleaned the location.,2023-09-29T23:10:48.000,12 QUEENS,QUEENS,1039247,190500,ONLINE,Unspecified,QUEENS,40.68938439271407,-73.8016873669132,"{'latitude': '40.68938439271407', 'longitude': '-73.8016873669132', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,
58946036,2023-09-28T08:13:43.000,2023-09-28T10:48:00.000,NYPD,New York City Police Department,Illegal Parking,Double Parked Blocking Traffic,Street/Sidewalk,11218,557 MCDONALD AVENUE,MCDONALD AVENUE,CHURCH AVENUE,AVENUE C,CHURCH AVENUE,AVENUE C,ADDRESS,BROOKLYN,MCDONALD AVENUE,Closed,The Police Department responded and upon arrival those responsible for the condition were gone.,2023-09-28T10:48:05.000,12 BROOKLYN,BROOKLYN,990062,172682,MOBILE,Unspecified,BROOKLYN,40.64064690458578,-73.97905794498479,"{'latitude': '40.64064690458578', 'longitude': '-73.97905794498479', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,
