unique_key,created_date,closed_date,agency,agency_name,complaint_type,descriptor,location_type,incident_zip,incident_address,street_name,cross_street_1,cross_street_2,intersection_street_1,intersection_street_2,address_type,city,landmark,status,resolution_description,resolution_action_updated_date,community_board,bbl,borough,x_coordinate_state_plane,y_coordinate_state_plane,open_data_channel_type,park_facility_name,park_borough,latitude,longitude,location,taxi_pick_up_location,facility_type,bridge_highway_name,bridge_highway_direction,bridge_highway_segment,road_ramp
58888957,2023-09-21T20:07:20.000,2023-11-20T10:44:13.000,TLC,Taxi and Limousine Commission,For Hire Vehicle Complaint,Driver Complaint - Non Passenger,Street,11222,652 LEONARD STREET,LEONARD STREET,NORMAN AVENUE,MESEROLE AVENUE,NORMAN AVENUE,MESEROLE AVENUE,ADDRESS,BROOKLYN,LEONARD STREET,Closed,The Taxi and Limousine Commission (TLC) reviewed your complaint. The driver or owner pled guilty to a violation and paid a fine. TLC has sent you a written confirmation of this outcome.,2023-11-20T10:44:20.000,01 BROOKLYN,3026210053,BROOKLYN,997697,204077,ONLINE,Unspecified,BROOKLYN,40.72681069774735,-73.95148452659095,"{'latitude': '40.72681069774735', 'longitude': '-73.95148452659095', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}","652 LEONARD STREET, BROOKLYN, NY, 11222",,,,,
58884905,2023-09-21T20:07:14.000,2023-09-25T09:40:02.000,DPR,Department of Parks and Recreation,Maintenance or Facility,Structure - Outdoors,Park,10305,280 FR CAPODANNO BOULEVARD,FR CAPODANNO BOULEVARD,SUNNYMEADE VILLAGE,SAND LANE,SUNNYMEADE VILLAGE,SAND LANE,ADDRESS,STATEN ISLAND,FATHER CAPODANNO BOULEVARD,Closed,NYC Parks has completed the requested work order and corrected the problem.,2023-09-25T09:40:07.000,95 STATEN ISLAND,5031250003,STATEN ISLAND,965875,154500,MOBILE,Franklin D. Roosevelt Boardwalk and Beach,STATEN ISLAND,40.59072393932942,-74.06616011865943,"{'latitude': '40.59072393932942', 'longitude': '-74.06616011865943', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,
58882808,2023-09-21T20:07:06.000,2023-09-21T20:48:45.000,NYPD,New York City Police Department,Illegal Parking,Posted Parking Sign Violation,Street/Sidewalk,11230,34 WALDORF COURT,WALDORF COURT,RUGBY ROAD,DEAD END,RUGBY ROAD,DEAD END,ADDRESS,BROOKLYN,WALDORF COURT,Closed,The Police Department responded and upon arrival those responsible for the condition were gone.,2023-09-21T20:48:48.000,14 BROOKLYN,3066900023,BROOKLYN,994623,169365,MOBILE,Unspecified,BROOKLYN,40.63153827921176,-73.96262864899042,"{'latitude': '40.63153827921176', 'longitude': '-73.96262864899042', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,
58887306,2023-09-21T20:06:56.000,2023-09-21T20:38:57.000,NYPD,New York City Police Department,Drug Activity,Use Indoor,Other,10473,740 BEACH AVENUE,BEACH AVENUE,SEWARD AVENUE,LAFAYETTE AVENUE,SEWARD AVENUE,LAFAYETTE AVENUE,ADDRESS,BRONX,BEACH AVENUE,Closed,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,2023-09-21T20:39:01.000,09 BRONX,2035980017,BRONX,1022009,238046,PHONE,Unspecified,BRONX,40.819976219579004,-73.86357841506774,"{'latitude': '40.819976219579004', 'longitude': '-73.86357841506774', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,
58884297,2023-09-21T20:06:56.000,2023-09-21T20:50:47.000,NYPD,New York City Police Department,Noise - Residential,Banging/Pounding,Residential Building/House,10451,875 MELROSE AVENUE,MELROSE AVENUE,EAST  161 STREET,EAST  162 STREET,EAST  161 STREET,EAST  162 STREET,ADDRESS,BRONX,MELROSE AVENUE,Closed,The Police Department responded to the complaint and took action to fix the condition.,2023-09-21T20:50:51.000,03 BRONX,2024080001,BRONX,1008107,239598,ONLINE,Unspecified,BRONX,40.824284503815676,-73.91380016204445,"{'latitude': '40.824284503815676', 'longitude': '-73.91380016204445', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,
58886009,2023-09-21T20:06:46.000,2023-09-21T20:25:28.000,NYPD,New York City Police Department,Illegal Parking,Blocked Bike Lane,Street/Sidewalk,11222,652 LEONARD STREET,LEONARD STREET,NORMAN AVENUE,MESEROLE AVENUE,NORMAN AVENUE,MESEROLE AVENUE,ADDRESS,BROOKLYN,LEONARD STREET,Closed,The Police Department responded and upon arrival those responsible for the condition were gone.,2023-09-21T20:25:32.000,01 BROOKLYN,3026210053,BROOKLYN,997697,204077,ONLINE,Unspecified,BROOKLYN,40.72681069774735,-73.95148452659095,"{'latitude': '40.72681069774735', 'longitude': '-73.95148452659095', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,
58891386,2023-09-21T20:06:13.000,2023-09-22T02:32:23.000,NYPD,New York City Police Department,Illegal Parking,Blocked Hydrant,Street/Sidewalk,11379,64-33 ADMIRAL AVENUE,ADMIRAL AVENUE,BEND,65 STREET,BEND,65 STREET,ADDRESS,MIDDLE VILLAGE,ADMIRAL AVENUE,Closed,The Police Department responded and upon arrival those responsible for the condition were gone.,2023-09-22T02:32:30.000,05 QUEENS,4036010038,QUEENS,1012852,198665,MOBILE,Unspecified,QUEENS,40.711920049933525,-73.89682978908638,"{'latitude': '40.711920049933525', 'longitude': '-73.89682978908638', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,
58902775,2023-09-21T20:06:02.000,2023-09-21T20:06:02.000,DOB,Department of Buildings,Real Time Enforcement,Work Without A Permit - Occupied Multiple Dwelling,,11205,242 ADELPHI STREET,ADELPHI STREET,,,,,ADDRESS,BROOKLYN,,Closed,"The Department of Buildings determined that the conditions described in this complaint were addressed under another service request number. Click on ""Learn More"" in the ""Did You Know"" section below for more information.",2023-09-21T00:00:00.000,02 BROOKLYN,3020907501,BROOKLYN,992198,190840,UNKNOWN,Unspecified,BROOKLYN,40.690484919341486,-73.97134000936643,"{'latitude': '40.690484919341486', 'longitude': '-73.97134000936643', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,
58887065,2023-09-21T20:05:58.000,2023-09-21T22:40:05.000,NYPD,New York City Police Department,Non-Emergency Police Matter,Other (complaint details),Street/Sidewalk,10301,51 STUYVESANT PLACE,STUYVESANT PLACE,HAMILTON AVENUE,WALL STREET,HAMILTON AVENUE,WALL STREET,ADDRESS,STATEN ISLAND,STUYVESANT PLACE,Closed,The Police Department responded to the complaint and took action to fix the condition.,2023-09-21T22:40:10.000,01 STATEN ISLAND,5000090009,STATEN ISLAND,962520,174235,ONLINE,Unspecified,STATEN ISLAND,40.64488480471895,-74.07830347821358,"{'latitude': '40.64488480471895', 'longitude': '-74.07830347821358', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,
58883670,2023-09-21T20:05:31.000,2023-09-24T13:41:39.000,DHS,Department of Homeless Services,Encampment,N/A,Residential Building/House,10014,19 GREENWICH AVENUE,GREENWICH AVENUE,CHRISTOPHER STREET,WEST   10 STREET,CHRISTOPHER STREET,WEST   10 STREET,ADDRESS,NEW YORK,GREENWICH AVENUE,Closed,"The Department of Homeless Services (DHS) visited the location but could not find the condition you reported. If it still exists, please submit a new Service Request.",2023-09-24T13:41:44.000,02 MANHATTAN,1006100054,MANHATTAN,984277,206886,MOBILE,Unspecified,MANHATTAN,40.734530935772995,-73.9999025753339,"{'latitude': '40.734530935772995', 'longitude': '-73.9999025753339', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,
58883091,2023-09-21T20:05:31.000,2023-09-21T20:52:29.000,NYPD,New York City Police Department,Noise - Street/Sidewalk,Loud Music/Party,Street/Sidewalk,11207,1216 HALSEY STREET,HALSEY STREET,WILSON AVENUE,KNICKERBOCKER AVENUE,WILSON AVENUE,KNICKERBOCKER AVENUE,ADDRESS,BROOKLYN,HALSEY STREET,Closed,The Police Department made an arrest in response to the complaint.,2023-09-21T20:52:33.000,04 BROOKLYN,3034120011,BROOKLYN,1009444,191367,MOBILE,Unspecified,BROOKLYN,40.69189912184161,-73.90915007101779,"{'latitude': '40.69189912184161', 'longitude': '-73.90915007101779', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,
58891514,2023-09-21T20:05:31.000,2023-09-21T20:31:17.000,NYPD,New York City Police Department,Encampment,N/A,Residential Building/House,10014,19 GREENWICH AVENUE,GREENWICH AVENUE,CHRISTOPHER STREET,WEST   10 STREET,CHRISTOPHER STREET,WEST   10 STREET,ADDRESS,NEW YORK,GREENWICH AVENUE,Closed,The Police Department visited the location and has referred the complaint to the Department of Homeless Services (DHS) for further action. DHS will inspect the condition and update your Service Request with more information.,2023-09-21T20:31:20.000,02 MANHATTAN,1006100054,MANHATTAN,984277,206886,MOBILE,Unspecified,MANHATTAN,40.734530935772995,-73.9999025753339,"{'latitude': '40.734530935772995', 'longitude': '-73.9999025753339', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,
58885983,2023-09-21T20:05:18.000,2023-09-21T21:21:42.000,NYPD,New York City Police Department,Illegal Parking,Parking Permit Improper Use,Street/Sidewalk,11234,3918 AVENUE R,AVENUE R,RYDER STREET,KIMBALL STREET,RYDER STREET,KIMBALL STREET,ADDRESS,BROOKLYN,AVENUE R,Closed,The Police Department issued a summons in response to the complaint.,2023-09-21T21:21:46.000,18 BROOKLYN,3084830043,BROOKLYN,1002960,163176,PHONE,Unspecified,BROOKLYN,40.61453708717493,-73.9326096650198,"{'latitude': '40.61453708717493', 'longitude': '-73.9326096650198', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,
58889534,2023-09-21T20:05:14.000,2023-09-21T20:38:54.000,NYPD,New York City Police Department,Panhandling,N/A,Residential Building/House,10014,10 GAY STREET,GAY STREET,WAVERLY PLACE,CHRISTOPHER STREET,WAVERLY PLACE,CHRISTOPHER STREET,ADDRESS,NEW YORK,GAY STREET,Closed,The Police Department responded to the complaint and took action to fix the condition.,2023-09-21T20:38:57.000,02 MANHATTAN,1005930029,MANHATTAN,984102,206506,MOBILE,Unspecified,MANHATTAN,40.733487928105156,-74.00053402314398,"{'latitude': '40.733487928105156', 'longitude': '-74.00053402314398', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,
58889644,2023-09-21T20:05:07.000,2023-09-21T20:30:29.000,NYPD,New York City Police Department,Noise - Street/Sidewalk,Loud Music/Party,Street/Sidewalk,11361,215-32 CORBETT ROAD,CORBETT ROAD,215 PLACE,35 AVENUE,215 PLACE,35 AVENUE,ADDRESS,BAYSIDE,CORBETT ROAD,Closed,The Police Department responded to the complaint and took action to fix the condition.,2023-09-21T20:30:33.000,11 QUEENS,4061800004,QUEENS,1048210,219869,ONLINE,Unspecified,QUEENS,40.769934597746655,-73.76908883468664,"{'latitude': '40.769934597746655', 'longitude': '-73.76908883468664', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,
58886854,2023-09-21T20:05:00.000,2023-09-21T20:50:24.000,DPR,Department of Parks and Recreation,Violation of Park Rules,Biking/Rollerblading off Path,Park,11375,62 DRIVE,62 DRIVE,62 DRIVE,GRAND CENTRAL PARKWAY,62 DRIVE,GRAND CENTRAL PARKWAY,INTERSECTION,,,Closed,"NYC Parks couldnât respond to your complaint because they didn't have enough information about the condition or location.  If the problem still exists and you would like to pursue this complaint, please submit a new Service Request with a more detailed description of the condition and/or location.",2023-09-21T20:50:28.000,06 QUEENS,,QUEENS,1026912,207859,PHONE,Unspecified,QUEENS,40.73709868724493,-73.8460557993149,"{'latitude': '40.73709868724493', 'longitude': '-73.8460557993149', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,
