unique_key,created_date,closed_date,agency,agency_name,complaint_type,descriptor,location_type,incident_zip,incident_address,street_name,cross_street_1,cross_street_2,intersection_street_1,intersection_street_2,address_type,city,landmark,status,resolution_description,resolution_action_updated_date,community_board,bbl,borough,x_coordinate_state_plane,y_coordinate_state_plane,open_data_channel_type,park_facility_name,park_borough,latitude,longitude,location,facility_type,due_date,taxi_pick_up_location,bridge_highway_name,bridge_highway_segment,bridge_highway_direction,road_ramp,taxi_company_borough
58877308,2023-09-20T10:29:00.000,2023-09-27T08:15:00.000,DEP,Department of Environmental Protection,Sewer,Catch Basin Clogged/Flooding (Use Comments) (SC),,10457,1639 WEBSTER AVENUE,WEBSTER AVENUE,E MT EDEN AVE,E 173 ST,,,ADDRESS,BRONX,,Closed,"The status of this Service Request is currently not available online. Please call 311 for further assistance. If you are outside of New York City, please call (212) NEW-YORK (212-639-9675).",2023-09-27T08:15:00.000,04 BRONX,2028880058,BRONX,1010803,246133,PHONE,Unspecified,BRONX,40.84221349278388,-73.90403314501256,"{'latitude': '40.84221349278388', 'longitude': '-73.90403314501256', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,
58874678,2023-09-20T10:29:00.000,2023-09-22T10:00:00.000,DEP,Department of Environmental Protection,Noise,Noise: Alarms (NR3),,11369,32-48 97 STREET,97 STREET,32 AVE,NORTHERN BLVD,,,ADDRESS,EAST ELMHURST,,Closed,"The Department of Environmental Protection (DEP) didn't observe a violation of the NYC Air or Noise Code at the time of inspection and couldn't issue a summons.  If the problem still exists, please go to nyc.gov/311 or call 311 to file a new Service Request. If you're outside of New York City, please call (212) NEW-YORK (212-639-9675).",2023-09-22T10:00:00.000,03 QUEENS,4014260030,QUEENS,1019849,215453,ONLINE,Unspecified,QUEENS,40.75797353513372,-73.87150212799017,"{'latitude': '40.75797353513372', 'longitude': '-73.87150212799017', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",N/A,,,,,,,
58878565,2023-09-20T10:29:00.000,2023-09-20T13:00:00.000,DEP,Department of Environmental Protection,Asbestos,Asbestos Complaint (B1),,11236,10401 FOSTER AVENUE,FOSTER AVENUE,E 101 ST,E 105 ST,,,ADDRESS,BROOKLYN,,Closed,The Department of Environmental Protection investigated this complaint and found that no asbestos was disturbed.,2023-09-20T13:00:00.000,18 BROOKLYN,3081340301,BROOKLYN,1011783,176658,PHONE,Unspecified,BROOKLYN,40.651519271535754,-73.90077569118175,"{'latitude': '40.651519271535754', 'longitude': '-73.90077569118175', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",N/A,,,,,,,
58879928,2023-09-20T10:29:00.000,2023-09-28T08:44:00.000,DEP,Department of Environmental Protection,Noise,"Noise, Barking Dog (NR5)",,11385,1680 MADISON STREET,MADISON STREET,MYRTLE AVE,CYPRESS AVE,,,ADDRESS,RIDGEWOOD,,Closed,"The Department of Environmental Protection (DEP) closed your Service Request because it didn't include enough dog owner location information to respond to the complaint.  If the excessive dog barking continues, please file a new Service Request. You must include an NYC address for the dog's owner so DEP can send them a letter.",2023-09-28T08:44:00.000,05 QUEENS,4034510007,QUEENS,1009798,194428,ONLINE,Unspecified,QUEENS,40.700299836296374,-73.90786193263344,"{'latitude': '40.700299836296374', 'longitude': '-73.90786193263344', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",N/A,,,,,,,
58877272,2023-09-20T10:29:00.000,2023-09-21T06:19:00.000,DEP,Department of Environmental Protection,Air Quality,"Air: Odor/Fumes, Vehicle Idling (AD3)",,10036,640 8 AVENUE,8 AVENUE,W 41 ST,W 42 ST,,,ADDRESS,NEW YORK,,Closed,The Department of Environmental Protection determined that this complaint is a duplicate of a previously filed complaint. The original complaint is being addressed.,2023-09-21T06:19:00.000,05 MANHATTAN,1010137501,MANHATTAN,986967,214950,ONLINE,Unspecified,MANHATTAN,40.75666417742652,-73.99019293432467,"{'latitude': '40.75666417742652', 'longitude': '-73.99019293432467', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",N/A,,,,,,,
58870725,2023-09-20T10:29:00.000,2023-09-21T11:20:00.000,DEP,Department of Environmental Protection,Lead,Lead Kit Request (Residential) (L10),,10303,274 MORNINGSTAR ROAD,MORNINGSTAR ROAD,DR MLK EP NB EN MORNINGSTAR RD,WALKER ST,,,ADDRESS,STATEN ISLAND,,Closed,The Department of Environmental Protection (DEP) mailed you the free lead test kit you requested. The kit includes instructions for collecting a water sample and contact information for DEP's Lead Program Unit if you have any questions. Please use the included pre-paid label to mail the sample to the lab for analysis. It may take the lab up to 30 days to complete their analysis and mail you the test results. This Service Request is closed and no further status will be available from 311.,2023-09-21T11:20:00.000,01 STATEN ISLAND,5011540023,STATEN ISLAND,943485,169316,ONLINE,Unspecified,STATEN ISLAND,40.63131605930245,-74.14686577833594,"{'latitude': '40.63131605930245', 'longitude': '-74.14686577833594', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",N/A,,,,,,,
58874461,2023-09-20T10:28:52.000,2023-09-21T11:45:43.000,DSNY,Department of Sanitation,Dirty Condition,Trash,Sidewalk,11225,204 ROGERS AVENUE,ROGERS AVENUE,UNION STREET,PRESIDENT STREET,UNION STREET,PRESIDENT STREET,ADDRESS,BROOKLYN,ROGERS AVENUE,Closed,The Department of Sanitation investigated this complaint and issued a Notice of Violation.,2023-09-21T11:45:48.000,09 BROOKLYN,3012740035,BROOKLYN,997179,182947,MOBILE,Unspecified,BROOKLYN,40.668814551964616,-73.95339398080144,"{'latitude': '40.668814551964616', 'longitude': '-73.95339398080144', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,
58880969,2023-09-20T10:28:51.000,2023-09-26T16:52:47.000,DOT,Department of Transportation,Street Condition,Failed Street Repair,Street,11422,130 AVENUE,130 AVENUE,130 AVENUE,233 STREET,130 AVENUE,233 STREET,INTERSECTION,,,Closed,The Department of Transportation inspected and has requested the Department of Environmental Protection address the issue. The condition will be re-inspected in 60 days.,2023-09-26T16:52:52.000,13 QUEENS,,QUEENS,1058028,187286,PHONE,Unspecified,QUEENS,40.680426107453854,-73.73400087282788,"{'latitude': '40.680426107453854', 'longitude': '-73.73400087282788', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,
58881144,2023-09-20T10:28:44.000,2023-09-27T13:30:41.000,DSNY,Department of Sanitation,Street Sweeping Complaint,Street Not Swept,Street,11236,1018 EAST  103 STREET,EAST  103 STREET,AVENUE J,AVENUE K,AVENUE J,AVENUE K,ADDRESS,BROOKLYN,EAST  103 STREET,Closed,The Department of Sanitation cleaned the location.,2023-09-27T12:25:39.000,18 BROOKLYN,3082290051,BROOKLYN,1013727,174073,ONLINE,Unspecified,BROOKLYN,40.64441775387184,-73.89378114454622,"{'latitude': '40.64441775387184', 'longitude': '-73.89378114454622', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,
58876766,2023-09-20T10:28:35.000,2023-09-20T12:10:28.000,NYPD,New York City Police Department,Abandoned Vehicle,With License Plate,Street/Sidewalk,11421,93-34 92 AVENUE,92 AVENUE,WOODHAVEN BOULEVARD,95 STREET,WOODHAVEN BOULEVARD,95 STREET,ADDRESS,WOODHAVEN,92 AVENUE,Closed,The Police Department responded to the complaint and a report was prepared.,2023-09-20T12:10:34.000,09 QUEENS,4089900166,QUEENS,1026091,190483,ONLINE,Unspecified,QUEENS,40.689409704180264,-73.84912633333957,"{'latitude': '40.689409704180264', 'longitude': '-73.84912633333957', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,
58875682,2023-09-20T10:28:22.000,2023-10-04T12:47:14.000,DOT,Department of Transportation,Street Condition,Failed Street Repair,Street,11208,255 NICHOLS AVENUE,NICHOLS AVENUE,FULTON STREET,ATLANTIC AVENUE,FULTON STREET,ATLANTIC AVENUE,ADDRESS,BROOKLYN,NICHOLS AVENUE,Closed,"The Department of Transportation will inspect the condition to determine if the location can be added to a curb contract (3-5 years). The property owner will be notified if there are sidewalk defects. Property owners are responsible for repairing and installing sidewalks adjoining their property, according to Section 19-152 of the NYC Administrative Code. Community Boards and elected officials may contribute funding for curb, affecting timeframe for construction.",2023-10-04T12:47:20.000,05 BROOKLYN,3041510025,BROOKLYN,1020702,188580,ONLINE,Unspecified,BROOKLYN,40.684210246748506,-73.8685686904506,"{'latitude': '40.684210246748506', 'longitude': '-73.8685686904506', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,
58877131,2023-09-20T10:28:20.000,2023-09-21T12:53:05.000,DSNY,Department of Sanitation,Missed Collection,Trash,Street,11226,197 RUGBY ROAD,RUGBY ROAD,ALBEMARLE ROAD,BEVERLEY ROAD,ALBEMARLE ROAD,BEVERLEY ROAD,ADDRESS,BROOKLYN,RUGBY ROAD,Closed,The Department of Sanitation collected the requested items.,2023-09-21T05:46:56.000,14 BROOKLYN,3051180052,BROOKLYN,993664,174270,ONLINE,Unspecified,BROOKLYN,40.64500252692316,-73.9660768446969,"{'latitude': '40.64500252692316', 'longitude': '-73.9660768446969', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,
58875324,2023-09-20T10:28:19.000,2023-09-25T19:10:56.000,HPD,Department of Housing Preservation and Development,UNSANITARY CONDITION,MOLD,RESIDENTIAL BUILDING,11207,380 COZINE AVENUE,COZINE AVENUE,,,,,ADDRESS,BROOKLYN,,Closed,The Department of Housing Preservation and Development inspected the following conditions. No violations were issued. The complaint has been closed.,2023-09-25T00:00:00.000,05 BROOKLYN,3044237501,BROOKLYN,1017951,178996,PHONE,Unspecified,BROOKLYN,40.657915239335544,-73.87853559740857,"{'latitude': '40.657915239335544', 'longitude': '-73.87853559740857', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,
58872706,2023-09-20T10:28:19.000,2023-09-25T19:10:56.000,HPD,Department of Housing Preservation and Development,WATER LEAK,HEAVY FLOW,RESIDENTIAL BUILDING,11207,380 COZINE AVENUE,COZINE AVENUE,,,,,ADDRESS,BROOKLYN,,Closed,The Department of Housing Preservation and Development inspected the following conditions. No violations were issued. The complaint has been closed.,2023-09-25T00:00:00.000,05 BROOKLYN,3044237501,BROOKLYN,1017951,178996,PHONE,Unspecified,BROOKLYN,40.657915239335544,-73.87853559740857,"{'latitude': '40.657915239335544', 'longitude': '-73.87853559740857', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,
58873886,2023-09-20T10:28:15.000,2023-10-02T02:03:31.000,HPD,Department of Housing Preservation and Development,FLOORING/STAIRS,FLOOR,RESIDENTIAL BUILDING,11226,2505 BEDFORD AVENUE,BEDFORD AVENUE,,,,,ADDRESS,BROOKLYN,,Closed,The Department of Housing Preservation and Development inspected the following conditions. Violations were issued. Information about specific violations is available at www.nyc.gov/hpd,2023-10-02T00:00:00.000,17 BROOKLYN,3051900075,BROOKLYN,996893,173256,PHONE,Unspecified,BROOKLYN,40.64221529454029,-73.9544431117716,"{'latitude': '40.64221529454029', 'longitude': '-73.9544431117716', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,
58871303,2023-09-20T10:28:15.000,2023-09-25T13:34:06.000,HPD,Department of Housing Preservation and Development,PAINT/PLASTER,WALL,RESIDENTIAL BUILDING,11226,2505 BEDFORD AVENUE,BEDFORD AVENUE,,,,,ADDRESS,BROOKLYN,,Closed,"The Department of Housing Preservation and Development contacted an occupant of the apartment and verified that the following conditions were corrected. The complaint has been closed. If the condition still exists, please file a new complaint.",2023-09-25T00:00:00.000,17 BROOKLYN,3051900075,BROOKLYN,996893,173256,PHONE,Unspecified,BROOKLYN,40.64221529454029,-73.9544431117716,"{'latitude': '40.64221529454029', 'longitude': '-73.9544431117716', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,
58879183,2023-09-20T10:28:15.000,2023-10-02T02:03:31.000,HPD,Department of Housing Preservation and Development,PAINT/PLASTER,WALL,RESIDENTIAL BUILDING,11226,2505 BEDFORD AVENUE,BEDFORD AVENUE,,,,,ADDRESS,BROOKLYN,,Closed,The Department of Housing Preservation and Development inspected the following conditions. No violations were issued. The complaint has been closed.,2023-10-02T00:00:00.000,17 BROOKLYN,3051900075,BROOKLYN,996893,173256,PHONE,Unspecified,BROOKLYN,40.64221529454029,-73.9544431117716,"{'latitude': '40.64221529454029', 'longitude': '-73.9544431117716', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,
58871223,2023-09-20T10:28:15.000,2023-09-25T13:34:06.000,HPD,Department of Housing Preservation and Development,DOOR/WINDOW,DOOR FRAME,RESIDENTIAL BUILDING,11226,2505 BEDFORD AVENUE,BEDFORD AVENUE,,,,,ADDRESS,BROOKLYN,,Closed,"The Department of Housing Preservation and Development contacted an occupant of the apartment and verified that the following conditions were corrected. The complaint has been closed. If the condition still exists, please file a new complaint.",2023-09-25T00:00:00.000,17 BROOKLYN,3051900075,BROOKLYN,996893,173256,PHONE,Unspecified,BROOKLYN,40.64221529454029,-73.9544431117716,"{'latitude': '40.64221529454029', 'longitude': '-73.9544431117716', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,
58872667,2023-09-20T10:28:15.000,2023-10-02T02:03:31.000,HPD,Department of Housing Preservation and Development,UNSANITARY CONDITION,MOLD,RESIDENTIAL BUILDING,11226,2505 BEDFORD AVENUE,BEDFORD AVENUE,,,,,ADDRESS,BROOKLYN,,Closed,The Department of Housing Preservation and Development inspected the following conditions. No violations were issued. The complaint has been closed.,2023-10-02T00:00:00.000,17 BROOKLYN,3051900075,BROOKLYN,996893,173256,PHONE,Unspecified,BROOKLYN,40.64221529454029,-73.9544431117716,"{'latitude': '40.64221529454029', 'longitude': '-73.9544431117716', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,
58873007,2023-09-20T10:28:13.000,2023-09-26T10:44:35.000,DOT,Department of Transportation,Sidewalk Condition,Sidewalk Violation,Sidewalk,10303,15 AMITY PLACE,AMITY PLACE,FOREST AVENUE,WEMPLE STREET,FOREST AVENUE,WEMPLE STREET,ADDRESS,STATEN ISLAND,AMITY PLACE,Closed,"The Department of Transportation inspected the condition you reported. You can find additional information in the ""Notes to Customer"" field.",2023-09-26T10:44:39.000,01 STATEN ISLAND,5016900031,STATEN ISLAND,939491,167434,PHONE,Unspecified,STATEN ISLAND,40.6261310941042,-74.16124261811659,"{'latitude': '40.6261310941042', 'longitude': '-74.16124261811659', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,
58876746,2023-09-20T10:28:05.000,2023-09-20T12:53:42.000,NYPD,New York City Police Department,Illegal Parking,Blocked Bike Lane,Street/Sidewalk,11201,63 HOYT STREET,HOYT STREET,SCHERMERHORN STREET,STATE STREET,SCHERMERHORN STREET,STATE STREET,ADDRESS,BROOKLYN,HOYT STREET,Closed,The Police Department responded to the complaint and determined that police action was not necessary.,2023-09-20T12:53:47.000,02 BROOKLYN,3001710201,BROOKLYN,988045,190213,ONLINE,Unspecified,BROOKLYN,40.68876670375913,-73.98631582029952,"{'latitude': '40.68876670375913', 'longitude': '-73.98631582029952', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,
58877121,2023-09-20T10:28:05.000,2023-10-04T11:33:57.000,DSNY,Department of Sanitation,Missed Collection,Bulky Recycling,Street,11358,47-28 195 STREET,195 STREET,47 AVENUE,48 AVENUE,47 AVENUE,48 AVENUE,ADDRESS,FLUSHING,195 STREET,Closed,The Department of Sanitation collected the requested items.,2023-09-20T20:32:27.000,11 QUEENS,4056130052,QUEENS,1043597,213228,PHONE,Unspecified,QUEENS,40.751738984442625,-73.7858014449951,"{'latitude': '40.751738984442625', 'longitude': '-73.7858014449951', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,
58872875,2023-09-20T10:28:03.000,2023-09-25T11:50:15.000,DPR,Department of Parks and Recreation,Overgrown Tree/Branches,Blocking Street,Street,10306,119 GUYON AVENUE,GUYON AVENUE,SOUTH RAILROAD AVENUE,ACORN STREET,SOUTH RAILROAD AVENUE,ACORN STREET,ADDRESS,STATEN ISLAND,GUYON AVENUE,Closed,"Under NYC Parksâ Tree Risk Management Program, work is prioritized to address the conditions with the highest risk first.  NYC Parks determined that the issue will be addressed in the next pruning cycle through the routine block pruning program.  For more information about the Tree Risk Management Program, visit the NYC Urban Forest page on the NYC Parks website at nyc.gov/parks/trees.   To learn more about the trees in your neighborhood, visit the NYC Tree Map at nyc.gov/parks/treemap.",2023-09-25T11:50:20.000,03 STATEN ISLAND,5042860006,STATEN ISLAND,949133,144868,ONLINE,Unspecified,STATEN ISLAND,40.56423550337183,-74.1263904352849,"{'latitude': '40.56423550337183', 'longitude': '-74.1263904352849', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,
58872363,2023-09-20T10:27:53.000,2023-09-20T10:31:40.000,NYPD,New York City Police Department,Noise - Park,Loud Talking,Park/Playground,11214,BATH BEACH PARK,BATH BEACH PARK,17 AVENUE PEDESTRIAN OVERPASS,BAY   16 STREET,17 AVENUE PEDESTRIAN OVERPASS,BAY   16 STREET,UNRECOGNIZED,BROOKLYN,BATH BEACH PARK,Closed,The Police Department responded to the complaint and determined that police action was not necessary.,2023-09-20T10:31:39.000,11 BROOKLYN,3064620100,BROOKLYN,981181,158743,ONLINE,Bath Beach Park,BROOKLYN,40.6023886335096,-74.01105201956037,"{'latitude': '40.6023886335096', 'longitude': '-74.01105201956037', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,
58879614,2023-09-20T10:27:47.000,,TLC,Taxi and Limousine Commission,Taxi Complaint,Driver Complaint - Non Passenger,Street,,,,,,,,,,,In Progress,"The Taxi and Limousine Commission (TLC) has received your complaint. Within 30 days, the TLC representative who will be handling your case will contact you.",2023-09-21T11:25:53.000,0 Unspecified,,Unspecified,,,PHONE,Unspecified,Unspecified,,,,,,,,,,,
58874863,2023-09-20T10:27:44.000,2023-09-20T13:34:59.000,NYPD,New York City Police Department,Traffic,Congestion/Gridlock,Street/Sidewalk,11432,DALNY ROAD,DALNY ROAD,DALNY ROAD,HIGHLAND AVENUE,DALNY ROAD,HIGHLAND AVENUE,INTERSECTION,,,Closed,The Police Department responded to the complaint and determined that police action was not necessary.,2023-09-20T13:35:03.000,08 QUEENS,,QUEENS,1043174,199361,PHONE,Unspecified,QUEENS,40.713680417389526,-73.78744959712557,"{'latitude': '40.713680417389526', 'longitude': '-73.78744959712557', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,
58871670,2023-09-20T10:27:44.000,2023-09-21T10:20:37.000,NYPD,New York City Police Department,Illegal Parking,Posted Parking Sign Violation,Street/Sidewalk,11414,102-14 159 ROAD,159 ROAD,102 STREET,COLEMAN SQUARE,102 STREET,COLEMAN SQUARE,ADDRESS,HOWARD BEACH,159 ROAD,Closed,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,2023-09-21T10:20:42.000,10 QUEENS,4141820091,QUEENS,1031187,179693,MOBILE,Unspecified,QUEENS,40.65976807911837,-73.83082594780097,"{'latitude': '40.65976807911837', 'longitude': '-73.83082594780097', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,
58875764,2023-09-20T10:27:14.000,,DHS,Department of Homeless Services,Homeless Person Assistance,,Street/Sidewalk,10019,30 WEST   52 STREET,WEST   52 STREET,5 AVENUE,AVENUE OF THE AMERICAS,5 AVENUE,AVENUE OF THE AMERICAS,ADDRESS,NEW YORK,WEST   52 STREET,Closed,The mobile outreach response team went to the location provided but could not find the individual that you reported.,2023-09-20T11:36:34.000,05 MANHATTAN,1012670022,MANHATTAN,990359,216340,MOBILE,Unspecified,MANHATTAN,40.76047767886974,-73.9779481800204,"{'latitude': '40.76047767886974', 'longitude': '-73.9779481800204', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,
