unique_key,created_date,closed_date,agency,agency_name,complaint_type,descriptor,location_type,incident_zip,incident_address,street_name,cross_street_1,cross_street_2,intersection_street_1,intersection_street_2,address_type,city,landmark,status,resolution_description,resolution_action_updated_date,community_board,bbl,borough,x_coordinate_state_plane,y_coordinate_state_plane,open_data_channel_type,park_facility_name,park_borough,latitude,longitude,location,taxi_pick_up_location,bridge_highway_name,bridge_highway_direction,road_ramp,bridge_highway_segment,facility_type,due_date,vehicle_type
58945105,2023-09-27T15:56:50.000,2023-10-05T09:54:15.000,HPD,Department of Housing Preservation and Development,ELECTRIC,LIGHTING,RESIDENTIAL BUILDING,10469,2456 MORGAN AVENUE,MORGAN AVENUE,,,,,ADDRESS,BRONX,,Closed,The Department of Housing Preservation and Development inspected the following conditions. No violations were issued. The complaint has been closed.,2023-10-05T00:00:00.000,11 BRONX,2044730029,BRONX,1027014,253352,ONLINE,Unspecified,BRONX,40.86196384809795,-73.84539800863867,"{'latitude': '40.86196384809795', 'longitude': '-73.84539800863867', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,
58940088,2023-09-27T15:56:50.000,2023-10-05T09:54:14.000,HPD,Department of Housing Preservation and Development,GENERAL,COOKING GAS,RESIDENTIAL BUILDING,10469,2456 MORGAN AVENUE,MORGAN AVENUE,,,,,ADDRESS,BRONX,,Closed,The Department of Housing Preservation and Development inspected the following conditions. No violations were issued. The complaint has been closed.,2023-10-05T00:00:00.000,11 BRONX,2044730029,BRONX,1027014,253352,ONLINE,Unspecified,BRONX,40.86196384809795,-73.84539800863867,"{'latitude': '40.86196384809795', 'longitude': '-73.84539800863867', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,
58943942,2023-09-27T15:56:50.000,2023-10-05T09:54:15.000,HPD,Department of Housing Preservation and Development,PLUMBING,BASIN/SINK,RESIDENTIAL BUILDING,10469,2456 MORGAN AVENUE,MORGAN AVENUE,,,,,ADDRESS,BRONX,,Closed,The Department of Housing Preservation and Development inspected the following conditions. No violations were issued. The complaint has been closed.,2023-10-05T00:00:00.000,11 BRONX,2044730029,BRONX,1027014,253352,ONLINE,Unspecified,BRONX,40.86196384809795,-73.84539800863867,"{'latitude': '40.86196384809795', 'longitude': '-73.84539800863867', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,
58940118,2023-09-27T15:56:50.000,2023-10-05T09:54:15.000,HPD,Department of Housing Preservation and Development,PAINT/PLASTER,CEILING,RESIDENTIAL BUILDING,10469,2456 MORGAN AVENUE,MORGAN AVENUE,,,,,ADDRESS,BRONX,,Closed,The Department of Housing Preservation and Development inspected the following conditions. No violations were issued. The complaint has been closed.,2023-10-05T00:00:00.000,11 BRONX,2044730029,BRONX,1027014,253352,ONLINE,Unspecified,BRONX,40.86196384809795,-73.84539800863867,"{'latitude': '40.86196384809795', 'longitude': '-73.84539800863867', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,
58938850,2023-09-27T15:56:50.000,2023-10-05T09:54:15.000,HPD,Department of Housing Preservation and Development,PLUMBING,TOILET,RESIDENTIAL BUILDING,10469,2456 MORGAN AVENUE,MORGAN AVENUE,,,,,ADDRESS,BRONX,,Closed,The Department of Housing Preservation and Development inspected the following conditions. No violations were issued. The complaint has been closed.,2023-10-05T00:00:00.000,11 BRONX,2044730029,BRONX,1027014,253352,ONLINE,Unspecified,BRONX,40.86196384809795,-73.84539800863867,"{'latitude': '40.86196384809795', 'longitude': '-73.84539800863867', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,
58945312,2023-09-27T15:56:50.000,2023-10-05T09:54:14.000,HPD,Department of Housing Preservation and Development,APPLIANCE,REFRIGERATOR,RESIDENTIAL BUILDING,10469,2456 MORGAN AVENUE,MORGAN AVENUE,,,,,ADDRESS,BRONX,,Closed,The Department of Housing Preservation and Development inspected the following conditions. No violations were issued. The complaint has been closed.,2023-10-05T00:00:00.000,11 BRONX,2044730029,BRONX,1027014,253352,ONLINE,Unspecified,BRONX,40.86196384809795,-73.84539800863867,"{'latitude': '40.86196384809795', 'longitude': '-73.84539800863867', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,
58941695,2023-09-27T15:56:44.000,,TLC,Taxi and Limousine Commission,Taxi Complaint,Driver Complaint - Passenger,Street,10018,42 WEST   38 STREET,WEST   38 STREET,5 AVENUE,AVENUE OF THE AMERICAS,5 AVENUE,AVENUE OF THE AMERICAS,ADDRESS,NEW YORK,WEST   38 STREET,In Progress,"The Taxi and Limousine Commission (TLC) has received your complaint. Within 30 days, the TLC representative who will be handling your case will contact you.",2023-10-19T14:36:42.000,05 MANHATTAN,,MANHATTAN,988641,213088,PHONE,Unspecified,MANHATTAN,40.751552787483334,-73.98415181401009,"{'latitude': '40.751552787483334', 'longitude': '-73.98415181401009', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}","42 WEST   38 STREET, MANHATTAN (NEW YORK), NY, 10018",,,,,,,
58939268,2023-09-27T15:56:41.000,2023-09-27T16:09:49.000,NYPD,New York City Police Department,Encampment,N/A,Store/Commercial,10011,406 AVENUE OF THE AMERICAS,AVENUE OF THE AMERICAS,GREENWICH AVENUE,CHRISTOPHER STREET,GREENWICH AVENUE,CHRISTOPHER STREET,ADDRESS,NEW YORK,AVENUE OF THE AMERICAS,Closed,The Police Department visited the location and no Encampment was found.,2023-09-27T16:09:53.000,02 MANHATTAN,1005720003,MANHATTAN,984415,206623,ONLINE,Unspecified,MANHATTAN,40.733809064023305,-73.99940463349043,"{'latitude': '40.733809064023305', 'longitude': '-73.99940463349043', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,
58941488,2023-09-27T15:56:36.000,,HPD,Department of Housing Preservation and Development,DOOR/WINDOW,DOOR,RESIDENTIAL BUILDING,11238,388 ST MARKS AVENUE,ST MARKS AVENUE,,,,,ADDRESS,BROOKLYN,,Open,The following complaint conditions are still open. HPD may attempt to contact you to verify the correction of the condition or may conduct an inspection.,2023-09-27T00:00:00.000,08 BROOKLYN,3011550014,BROOKLYN,994813,185981,PHONE,Unspecified,BROOKLYN,40.67714533920554,-73.96191810121151,"{'latitude': '40.67714533920554', 'longitude': '-73.96191810121151', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,
58936511,2023-09-27T15:56:36.000,2023-11-08T12:44:02.000,DPR,Department of Parks and Recreation,Illegal Tree Damage,Unauthorized Tree Pruning,Street,11222,170 FREEMAN STREET,FREEMAN STREET,MANHATTAN AVENUE,MCGUINNESS BOULEVARD,MANHATTAN AVENUE,MCGUINNESS BOULEVARD,ADDRESS,BROOKLYN,FREEMAN STREET,Closed,NYC Parks visited the site and inspected the condition. No work is necessary at this time.,2023-11-08T12:44:06.000,01 BROOKLYN,3025130006,BROOKLYN,996851,206871,UNKNOWN,Unspecified,BROOKLYN,40.734480788197935,-73.95453157967617,"{'latitude': '40.734480788197935', 'longitude': '-73.95453157967617', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,
58937022,2023-09-27T15:56:33.000,2023-09-27T18:52:03.000,NYPD,New York City Police Department,Illegal Parking,Blocked Hydrant,Street/Sidewalk,11427,89-27 PONTIAC STREET,PONTIAC STREET,88 AVENUE,BRADDOCK AVENUE,88 AVENUE,BRADDOCK AVENUE,ADDRESS,QUEENS VILLAGE,PONTIAC STREET,Closed,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,2023-09-27T18:52:08.000,13 QUEENS,,QUEENS,1057941,205027,PHONE,Unspecified,QUEENS,40.72912147599084,-73.73412039626918,"{'latitude': '40.72912147599084', 'longitude': '-73.73412039626918', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,
58936216,2023-09-27T15:56:29.000,,HPD,Department of Housing Preservation and Development,GENERAL,COOKING GAS,RESIDENTIAL BUILDING,10024,142 WEST   88 STREET,WEST   88 STREET,,,,,ADDRESS,NEW YORK,,Open,The following complaint conditions are still open. HPD may attempt to contact you to verify the correction of the condition or may conduct an inspection.,2023-09-27T00:00:00.000,07 MANHATTAN,1012180046,MANHATTAN,991863,226486,ONLINE,Unspecified,MANHATTAN,40.78832462003261,-73.97250765697883,"{'latitude': '40.78832462003261', 'longitude': '-73.97250765697883', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,
58939802,2023-09-27T15:56:17.000,2023-09-27T16:23:27.000,NYPD,New York City Police Department,Blocked Driveway,Partial Access,Street/Sidewalk,10314,72 FURNESS PLACE,FURNESS PLACE,LEWISTON STREET,BRIDGETOWN STREET,LEWISTON STREET,BRIDGETOWN STREET,ADDRESS,STATEN ISLAND,FURNESS PLACE,Closed,The Police Department responded and upon arrival those responsible for the condition were gone.,2023-09-27T16:23:30.000,02 STATEN ISLAND,5023920009,STATEN ISLAND,941808,152678,ONLINE,Unspecified,STATEN ISLAND,40.58564035353796,-74.1528030023214,"{'latitude': '40.58564035353796', 'longitude': '-74.1528030023214', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,
58937807,2023-09-27T15:56:05.000,2023-10-23T07:23:36.000,DOT,Department of Transportation,Curb Condition,Defacement,Curb,11106,14-31 31 AVENUE,31 AVENUE,14 STREET,21 STREET,14 STREET,21 STREET,ADDRESS,ASTORIA,31 AVENUE,Closed,The Department of Transportation inspected the condition you reported and issued a notice to the responsible party to correct the condition.,2023-10-23T07:23:39.000,01 QUEENS,4005347502,QUEENS,1003371,219020,ONLINE,Unspecified,QUEENS,40.767815019278274,-73.93097080649684,"{'latitude': '40.767815019278274', 'longitude': '-73.93097080649684', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,
58941230,2023-09-27T15:55:43.000,2023-09-27T18:30:21.000,NYPD,New York City Police Department,Noise - Street/Sidewalk,Loud Music/Party,Street/Sidewalk,10458,2387 HUGHES AVENUE,HUGHES AVENUE,EAST  186 STREET,EAST  187 STREET,EAST  186 STREET,EAST  187 STREET,ADDRESS,BRONX,HUGHES AVENUE,Closed,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,2023-09-27T18:30:25.000,06 BRONX,2030730050,BRONX,1015485,250782,MOBILE,Unspecified,BRONX,40.85495829501458,-73.88708999631807,"{'latitude': '40.85495829501458', 'longitude': '-73.88708999631807', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,
58935929,2023-09-27T15:55:38.000,2023-09-27T16:32:51.000,NYPD,New York City Police Department,Blocked Driveway,No Access,Street/Sidewalk,11373,41-34 JUDGE STREET,JUDGE STREET,41 AVENUE,PETTIT AVENUE,41 AVENUE,PETTIT AVENUE,ADDRESS,ELMHURST,JUDGE STREET,Closed,The Police Department responded to the complaint and determined that police action was not necessary.,2023-09-27T16:32:56.000,04 QUEENS,4015070022,QUEENS,1016687,210862,PHONE,Unspecified,QUEENS,40.74538457865468,-73.88293779001623,"{'latitude': '40.74538457865468', 'longitude': '-73.88293779001623', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,
58936806,2023-09-27T15:55:08.000,2023-10-11T08:18:32.000,DSNY,Department of Sanitation,Missed Collection,Trash,Street,11422,149-53 257 STREET,257 STREET,149 ROAD,CRAFT AVENUE,149 ROAD,CRAFT AVENUE,ADDRESS,ROSEDALE,257 STREET,Closed,The Department of Sanitation collected the requested items.,2023-09-28T12:18:14.000,13 QUEENS,4136780019,QUEENS,1058590,176773,ONLINE,Unspecified,QUEENS,40.65156569153577,-73.73209057595949,"{'latitude': '40.65156569153577', 'longitude': '-73.73209057595949', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,
58943652,2023-09-27T15:55:00.000,2023-09-29T09:42:00.000,DOT,Department of Transportation,Street Light Condition,Street Light Out,,11368,50-32 97 STREET,97 STREET,50 AVE,CHRISTIE AVE,,,ADDRESS,CORONA,,Closed,Service Request status for this request is available on the Department of Transportationâs website. Please click the âLearn Moreâ link below.,2023-09-29T09:42:00.000,04 QUEENS,4018880052,QUEENS,1021408,209524,UNKNOWN,Unspecified,QUEENS,40.74169353040562,-73.86590754309428,"{'latitude': '40.74169353040562', 'longitude': '-73.86590754309428', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,
58939005,2023-09-27T15:54:49.000,2023-09-27T17:20:22.000,NYPD,New York City Police Department,Abandoned Vehicle,With License Plate,Street/Sidewalk,11360,16-52 BELL BOULEVARD,BELL BOULEVARD,16 AVENUE,18 AVENUE,16 AVENUE,18 AVENUE,ADDRESS,BAYSIDE,BELL BOULEVARD,Closed,The Police Department responded to the complaint and determined that police action was not necessary.,2023-09-27T17:20:25.000,07 QUEENS,4058650127,QUEENS,1045606,225386,MOBILE,Unspecified,QUEENS,40.78509571781686,-73.77843948950671,"{'latitude': '40.78509571781686', 'longitude': '-73.77843948950671', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,
58945593,2023-09-27T15:54:41.000,2023-10-02T10:38:23.000,DOT,Department of Transportation,Street Condition,Failed Street Repair,Street,11370,25-46 75 STREET,75 STREET,25 AVENUE,30 AVENUE,25 AVENUE,30 AVENUE,ADDRESS,EAST ELMHURST,75 STREET,Closed,The Department of Transportation inspected and has requested the Department of Environmental Protection address the issue. The condition will be re-inspected in 60 days.,2023-10-02T10:38:26.000,03 QUEENS,4010500002,QUEENS,1013837,216936,PHONE,Unspecified,QUEENS,40.76206614919818,-73.89319644577355,"{'latitude': '40.76206614919818', 'longitude': '-73.89319644577355', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,
58943780,2023-09-27T15:54:32.000,2023-09-27T16:25:55.000,NYPD,New York City Police Department,Noise - Street/Sidewalk,Loud Music/Party,Street/Sidewalk,10457,500 EAST  171 STREET,EAST  171 STREET,WASHINGTON AVENUE,3 AVENUE,WASHINGTON AVENUE,3 AVENUE,ADDRESS,BRONX,EAST  171 STREET,Closed,The Police Department responded to the complaint and determined that police action was not necessary.,2023-09-27T16:25:58.000,03 BRONX,,BRONX,1011114,244412,ONLINE,Unspecified,BRONX,40.83748891098481,-73.90291603500285,"{'latitude': '40.83748891098481', 'longitude': '-73.90291603500285', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,
58945361,2023-09-27T15:54:30.000,2023-10-17T00:00:00.000,DOB,Department of Buildings,Elevator,Elevator - Multiple Devices On Property,,10473,2045 STORY AVENUE,STORY AVENUE,,,,,ADDRESS,BRONX,,Closed,"The Department of Buildings determined that the conditions described in this complaint were addressed under another service request number. Click on ""Learn More"" in the ""Did You Know"" section below for more information.",2023-10-17T00:00:00.000,09 BRONX,2036810001,BRONX,1024593,239819,UNKNOWN,Unspecified,BRONX,40.82483117267298,-73.85423189520691,"{'latitude': '40.82483117267298', 'longitude': '-73.85423189520691', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,
58938289,2023-09-27T15:54:23.000,2023-09-27T18:13:52.000,NYPD,New York City Police Department,Illegal Parking,Blocked Hydrant,Street/Sidewalk,11201,198 JORALEMON STREET,JORALEMON STREET,CLINTON STREET,COURT STREET,CLINTON STREET,COURT STREET,ADDRESS,BROOKLYN,JORALEMON STREET,Closed,The Police Department responded and upon arrival those responsible for the condition were gone.,2023-09-27T18:13:57.000,02 BROOKLYN,3002650043,BROOKLYN,986604,191615,MOBILE,Unspecified,BROOKLYN,40.69261537124351,-73.99151135221918,"{'latitude': '40.69261537124351', 'longitude': '-73.99151135221918', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,
58944270,2023-09-27T15:54:22.000,,DOE,Department of Education,School Maintenance,Unclean Condition,School,11228,7805 7 AVENUE,7 AVENUE,78 STREET,79 STREET,78 STREET,79 STREET,ADDRESS,BROOKLYN,7 AVENUE,In Progress,,,10 BROOKLYN,3059730001,BROOKLYN,979054,166698,PHONE,P.S. 127 Mckinley Park,BROOKLYN,40.62422247511744,-74.01871784934262,"{'latitude': '40.62422247511744', 'longitude': '-74.01871784934262', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,
58941070,2023-09-27T15:54:19.000,2023-09-27T16:30:56.000,NYPD,New York City Police Department,Blocked Driveway,Partial Access,Street/Sidewalk,11355,56-08 137 STREET,137 STREET,56 AVENUE,BOOTH MEMORIAL AVENUE,56 AVENUE,BOOTH MEMORIAL AVENUE,ADDRESS,FLUSHING,137 STREET,Closed,The Police Department responded to the complaint and took action to fix the condition.,2023-09-27T16:31:00.000,07 QUEENS,,QUEENS,1031934,211901,MOBILE,Unspecified,QUEENS,40.748167297425034,-73.82790549331459,"{'latitude': '40.748167297425034', 'longitude': '-73.82790549331459', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,
58938432,2023-09-27T15:54:12.000,2023-10-30T00:00:00.000,DOB,Department of Buildings,Building/Use,Illegal Conversion Of Residential Building/Space,,11219,1016 60 STREET,60 STREET,,,,,ADDRESS,BROOKLYN,,Closed,"The Department of Buildings attempted to investigate this complaint twice but could not gain access to the location. If the problem still exists, please call 311 and file a new complaint with additional access information. If you are outside of New York City, please call (212) NEW-YORK (212-639-9675).",2023-10-30T00:00:00.000,12 BROOKLYN,3057160012,BROOKLYN,982980,169704,UNKNOWN,Unspecified,BROOKLYN,40.63247474481687,-74.00457555966125,"{'latitude': '40.63247474481687', 'longitude': '-74.00457555966125', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,
58939731,2023-09-27T15:54:09.000,2023-09-27T16:35:46.000,NYPD,New York City Police Department,Noise - Vehicle,Engine Idling,Street/Sidewalk,10455,758 KELLY STREET,KELLY STREET,EAST  156 STREET,LONGWOOD AVENUE,EAST  156 STREET,LONGWOOD AVENUE,ADDRESS,BRONX,KELLY STREET,Closed,The Police Department responded to the complaint and took action to fix the condition.,2023-09-27T16:34:45.000,02 BRONX,2027080040,BRONX,1012269,237104,MOBILE,Unspecified,BRONX,40.81742696066114,-73.89877249737724,"{'latitude': '40.81742696066114', 'longitude': '-73.89877249737724', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,
58944359,2023-09-27T15:53:56.000,2023-09-27T16:09:47.000,NYPD,New York City Police Department,Encampment,N/A,Store/Commercial,10023,2025 BROADWAY,BROADWAY,WEST   69 STREET,WEST   70 STREET,WEST   69 STREET,WEST   70 STREET,ADDRESS,NEW YORK,BROADWAY,Closed,The Police Department visited the location and no Encampment was found.,2023-09-27T16:09:49.000,07 MANHATTAN,,MANHATTAN,989198,222223,MOBILE,Unspecified,MANHATTAN,40.77662571123505,-73.98213474146851,"{'latitude': '40.77662571123505', 'longitude': '-73.98213474146851', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,
58939278,2023-09-27T15:53:52.000,,DHS,Department of Homeless Services,Homeless Person Assistance,,Street/Sidewalk,10036,1155 AVENUE OF THE AMERICAS,AVENUE OF THE AMERICAS,WEST 44 STREET,WEST 45 STREET,WEST   44 STREET,WEST   45 STREET,ADDRESS,NEW YORK,AVENUE OF THE AMERICAS,Closed,The mobile outreach response team went to the location provided but could not find the individual that you reported.,2023-09-27T18:24:10.000,05 MANHATTAN,1009970029,MANHATTAN,989008,214938,ONLINE,Unspecified,MANHATTAN,40.75663037773601,-73.98282591276873,"{'latitude': '40.75663037773601', 'longitude': '-73.98282591276873', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,
