unique_key,created_date,closed_date,agency,agency_name,complaint_type,descriptor,location_type,incident_zip,incident_address,street_name,cross_street_1,cross_street_2,intersection_street_1,intersection_street_2,address_type,city,landmark,status,resolution_description,resolution_action_updated_date,community_board,bbl,borough,x_coordinate_state_plane,y_coordinate_state_plane,open_data_channel_type,park_facility_name,park_borough,latitude,longitude,location,facility_type,taxi_pick_up_location,bridge_highway_name,bridge_highway_direction,road_ramp,bridge_highway_segment
58893608,2023-09-22T23:39:55.000,2023-09-22T23:55:51.000,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,Residential Building/House,10016,378 3 AVENUE,3 AVENUE,EAST   27 STREET,EAST   28 STREET,EAST   27 STREET,EAST   28 STREET,ADDRESS,NEW YORK,3 AVENUE,Closed,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,2023-09-22T23:55:55.000,06 MANHATTAN,1008830045,MANHATTAN,989465,209441,ONLINE,Unspecified,MANHATTAN,40.74154224042086,-73.98118062578386,"{'latitude': '40.74154224042086', 'longitude': '-73.98118062578386', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,
58899226,2023-09-22T23:39:34.000,2023-09-22T23:58:26.000,NYPD,New York City Police Department,Noise - Street/Sidewalk,Loud Music/Party,Street/Sidewalk,10452,1122 ANDERSON AVENUE,ANDERSON AVENUE,WEST  166 STREET,WEST  167 STREET,WEST  166 STREET,WEST  167 STREET,ADDRESS,BRONX,ANDERSON AVENUE,Closed,The Police Department responded to the complaint and took action to fix the condition.,2023-09-22T23:58:30.000,04 BRONX,2025050045,BRONX,1005000,243529,ONLINE,Unspecified,BRONX,40.83508181454018,-73.92501417424235,"{'latitude': '40.83508181454018', 'longitude': '-73.92501417424235', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,
58899189,2023-09-22T23:39:29.000,2023-09-23T00:24:01.000,NYPD,New York City Police Department,Noise - Street/Sidewalk,Loud Music/Party,Street/Sidewalk,11208,1306 LORING AVENUE,LORING AVENUE,AUTUMN AVENUE,ELDERT LANE,AUTUMN AVENUE,ELDERT LANE,ADDRESS,BROOKLYN,LORING AVENUE,Closed,The Police Department responded to the complaint and took action to fix the condition.,2023-09-23T00:24:06.000,05 BROOKLYN,3045100001,BROOKLYN,1022061,182528,PHONE,Unspecified,BROOKLYN,40.66759319014919,-73.86370264123177,"{'latitude': '40.66759319014919', 'longitude': '-73.86370264123177', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,
58902623,2023-09-22T23:39:17.000,2023-09-22T23:56:44.000,NYPD,New York City Police Department,Encampment,N/A,Store/Commercial,10075,188 EAST   80 STREET,EAST   80 STREET,LEXINGTON AVENUE,3 AVENUE,LEXINGTON AVENUE,3 AVENUE,ADDRESS,NEW YORK,EAST   80 STREET,Closed,The Police Department visited the location and no Encampment was found.,2023-09-22T23:56:49.000,08 MANHATTAN,1015080040,MANHATTAN,996088,221689,ONLINE,Unspecified,MANHATTAN,40.77515347950308,-73.957258637477,"{'latitude': '40.77515347950308', 'longitude': '-73.957258637477', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,
58894904,2023-09-22T23:39:11.000,2023-09-23T00:10:33.000,NYPD,New York City Police Department,Noise - Residential,Banging/Pounding,Residential Building/House,11377,55-05 WOODSIDE AVENUE,WOODSIDE AVENUE,55 STREET,56 STREET,55 STREET,56 STREET,ADDRESS,WOODSIDE,WOODSIDE AVENUE,Closed,The Police Department responded to the complaint but officers were unable to gain entry into the premises.,2023-09-23T00:10:39.000,02 QUEENS,4012260001,QUEENS,1009545,211323,ONLINE,Unspecified,QUEENS,40.74667322018189,-73.90871086930225,"{'latitude': '40.74667322018189', 'longitude': '-73.90871086930225', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,
58896237,2023-09-22T23:39:04.000,2023-09-22T23:58:06.000,NYPD,New York City Police Department,Noise - Commercial,Loud Music/Party,Club/Bar/Restaurant,11354,138-12 NORTHERN BOULEVARD,NORTHERN BOULEVARD,UNION STREET,BOWNE STREET,UNION STREET,BOWNE STREET,ADDRESS,FLUSHING,NORTHERN BOULEVARD,Closed,The Police Department responded to the complaint and took action to fix the condition.,2023-09-22T23:58:10.000,07 QUEENS,4050107505,QUEENS,1031993,217679,PHONE,Unspecified,QUEENS,40.764026086471304,-73.82765153045546,"{'latitude': '40.764026086471304', 'longitude': '-73.82765153045546', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,
58894691,2023-09-22T23:38:45.000,2023-09-22T23:41:15.000,NYPD,New York City Police Department,Illegal Parking,Posted Parking Sign Violation,Street/Sidewalk,11205,14 AUBURN PLACE,AUBURN PLACE,ST EDWARDS STREET,NORTH ELLIOTT PLACE,ST EDWARDS STREET,NORTH ELLIOTT PLACE,ADDRESS,BROOKLYN,AUBURN PLACE,Closed,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,2023-09-22T23:41:20.000,02 BROOKLYN,3020400001,BROOKLYN,990600,192236,PHONE,Unspecified,BROOKLYN,40.694317907496355,-73.97710098115013,"{'latitude': '40.694317907496355', 'longitude': '-73.97710098115013', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,
58895061,2023-09-22T23:38:43.000,2023-09-23T00:00:36.000,NYPD,New York City Police Department,Noise - Street/Sidewalk,Loud Music/Party,Street/Sidewalk,11234,AVENUE R,AVENUE R,AVENUE R,FLATBUSH AVENUE,AVENUE R,FLATBUSH AVENUE,INTERSECTION,,,Closed,The Police Department responded to the complaint and took action to fix the condition.,2023-09-23T00:00:41.000,18 BROOKLYN,,BROOKLYN,1003712,163817,ONLINE,Unspecified,BROOKLYN,40.61629487915584,-73.92989923852197,"{'latitude': '40.61629487915584', 'longitude': '-73.92989923852197', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,
58899081,2023-09-22T23:38:43.000,2023-09-22T23:55:29.000,NYPD,New York City Police Department,Noise - Residential,Banging/Pounding,Residential Building/House,10017,333 EAST   43 STREET,EAST   43 STREET,2 AVENUE,TUDOR CITY PLACE,2 AVENUE,TUDOR CITY PLACE,ADDRESS,NEW YORK,EAST   43 STREET,Closed,The Police Department responded to the complaint and determined that police action was not necessary.,2023-09-22T23:55:34.000,06 MANHATTAN,1013360015,MANHATTAN,992467,212495,PHONE,Unspecified,MANHATTAN,40.74992242472087,-73.9703435757232,"{'latitude': '40.74992242472087', 'longitude': '-73.9703435757232', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,
58896749,2023-09-22T23:38:38.000,2023-09-23T12:31:50.000,NYPD,New York City Police Department,Blocked Driveway,Partial Access,Street/Sidewalk,11223,1658 WEST   11 STREET,WEST   11 STREET,AVENUE P,KINGS HIGHWAY,AVENUE P,KINGS HIGHWAY,ADDRESS,BROOKLYN,WEST   11 STREET,Closed,The Police Department responded and upon arrival those responsible for the condition were gone.,2023-09-23T12:31:52.000,11 BROOKLYN,3066200029,BROOKLYN,988641,160187,ONLINE,Unspecified,BROOKLYN,40.60635156272451,-73.98418628260644,"{'latitude': '40.60635156272451', 'longitude': '-73.98418628260644', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,
58900445,2023-09-22T23:38:30.000,2023-09-23T00:08:40.000,NYPD,New York City Police Department,Noise - Commercial,Loud Music/Party,Club/Bar/Restaurant,10004,62 STONE STREET,STONE STREET,MILL LANE,HANOVER SQUARE,MILL LANE,HANOVER SQUARE,ADDRESS,NEW YORK,STONE STREET,Closed,The Police Department responded to the complaint and took action to fix the condition.,2023-09-23T00:08:44.000,01 MANHATTAN,1000297502,MANHATTAN,981474,195972,ONLINE,Unspecified,MANHATTAN,40.70457419788357,-74.01001219776154,"{'latitude': '40.70457419788357', 'longitude': '-74.01001219776154', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,
58899009,2023-09-22T23:38:30.000,2023-09-22T23:45:11.000,NYPD,New York City Police Department,Noise - Commercial,Loud Music/Party,Club/Bar/Restaurant,11226,774 FLATBUSH AVENUE,FLATBUSH AVENUE,CLARKSON AVENUE,LENOX ROAD,CLARKSON AVENUE,LENOX ROAD,ADDRESS,BROOKLYN,FLATBUSH AVENUE,Closed,The Police Department responded to the complaint and determined that police action was not necessary.,2023-09-22T23:45:15.000,14 BROOKLYN,3050630051,BROOKLYN,995473,177567,ONLINE,Unspecified,BROOKLYN,40.6540499680012,-73.95955266546295,"{'latitude': '40.6540499680012', 'longitude': '-73.95955266546295', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,
58900557,2023-09-22T23:38:19.000,2023-09-23T00:02:55.000,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,Residential Building/House,10011,241 WEST   16 STREET,WEST   16 STREET,7 AVENUE,8 AVENUE,7 AVENUE,8 AVENUE,ADDRESS,NEW YORK,WEST   16 STREET,Closed,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,2023-09-23T00:02:59.000,04 MANHATTAN,1007660018,MANHATTAN,984265,209028,ONLINE,Unspecified,MANHATTAN,40.74041019575823,-73.99994587040945,"{'latitude': '40.74041019575823', 'longitude': '-73.99994587040945', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,
58894156,2023-09-22T23:38:11.000,2023-09-23T04:32:51.000,NYPD,New York City Police Department,Illegal Parking,Commercial Overnight Parking,Street/Sidewalk,11418,86-22 124 STREET,124 STREET,HILLSIDE AVENUE,JAMAICA AVENUE,HILLSIDE AVENUE,JAMAICA AVENUE,ADDRESS,RICHMOND HILL,124 STREET,Closed,The Police Department responded to the complaint and determined that police action was not necessary.,2023-09-23T04:32:55.000,09 QUEENS,4092770066,QUEENS,1032260,195079,ONLINE,Unspecified,QUEENS,40.70199331880952,-73.8268489490792,"{'latitude': '40.70199331880952', 'longitude': '-73.8268489490792', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,
58901139,2023-09-22T23:38:09.000,,DOHMH,Department of Health and Mental Hygiene,Smoking,Smoking Violation,Residential Building,11101,11-38 44 DRIVE,44 DRIVE,11 STREET,21 STREET,11 STREET,21 STREET,ADDRESS,LONG ISLAND CITY,44 DRIVE,In Progress,"The Department of Health and Mental Hygiene has sent official written notification to the Owner/Landlord warning them of potential violations and instructing them to correct the situation. If the situation persists 21 days after your initial complaint, please make a new complaint.",2023-09-25T13:53:19.000,02 QUEENS,4000520036,QUEENS,998303,211967,ONLINE,Unspecified,QUEENS,40.74846584910902,-73.94928165590004,"{'latitude': '40.74846584910902', 'longitude': '-73.94928165590004', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,
58892223,2023-09-22T23:37:41.000,2023-09-23T01:08:45.000,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,Residential Building/House,10460,2136 MAPES AVENUE,MAPES AVENUE,EAST  181 STREET,EAST  182 STREET,EAST  181 STREET,EAST  182 STREET,ADDRESS,BRONX,MAPES AVENUE,Closed,The Police Department responded to the complaint but officers were unable to gain entry into the premises.,2023-09-23T01:08:50.000,06 BRONX,2031110040,BRONX,1016188,248157,ONLINE,Unspecified,BRONX,40.84775093956182,-73.88456126091586,"{'latitude': '40.84775093956182', 'longitude': '-73.88456126091586', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,
58892178,2023-09-22T23:37:39.000,2023-09-23T00:20:07.000,NYPD,New York City Police Department,Noise - Residential,Banging/Pounding,Residential Building/House,11203,150 EAST   53 STREET,EAST   53 STREET,CLARKSON AVENUE,LENOX ROAD,CLARKSON AVENUE,LENOX ROAD,ADDRESS,BROOKLYN,EAST   53 STREET,Closed,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,2023-09-23T00:20:11.000,17 BROOKLYN,,BROOKLYN,1004238,178433,ONLINE,Unspecified,BROOKLYN,40.65641150134623,-73.92796132906203,"{'latitude': '40.65641150134623', 'longitude': '-73.92796132906203', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,
58894189,2023-09-22T23:37:32.000,2023-09-23T11:54:43.000,NYPD,New York City Police Department,Noise - Residential,Loud Talking,Residential Building/House,10466,630 EAST  236 STREET,EAST  236 STREET,CARPENTER AVENUE,MATILDA AVENUE,CARPENTER AVENUE,MATILDA AVENUE,ADDRESS,BRONX,EAST  236 STREET,Closed,The Police Department responded to the complaint and took action to fix the condition.,2023-09-23T11:54:47.000,12 BRONX,2049960054,BRONX,1023362,265865,PHONE,Unspecified,BRONX,40.89632504249033,-73.8585277699989,"{'latitude': '40.89632504249033', 'longitude': '-73.8585277699989', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,
58892318,2023-09-22T23:37:27.000,2023-09-23T00:05:16.000,NYPD,New York City Police Department,Noise - Street/Sidewalk,Loud Music/Party,Street/Sidewalk,10019,306 WEST   51 STREET,WEST   51 STREET,8 AVENUE,9 AVENUE,8 AVENUE,9 AVENUE,ADDRESS,NEW YORK,WEST   51 STREET,Closed,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,2023-09-23T00:05:20.000,04 MANHATTAN,1010410038,MANHATTAN,988105,217292,ONLINE,Unspecified,MANHATTAN,40.76309194426985,-73.9860839577368,"{'latitude': '40.76309194426985', 'longitude': '-73.9860839577368', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,
58900064,2023-09-22T23:37:21.000,2023-09-25T12:07:02.000,DCWP,Department of Consumer and Worker Protection,Consumer Complaint,"Clothing, Shoe, or Accessories Store",Business,11235,2626 HOMECREST AVENUE,HOMECREST AVENUE,AVENUE Z,WILLIAMS COURT,AVENUE Z,WILLIAMS COURT,ADDRESS,BROOKLYN,HOMECREST AVENUE,Closed,The Department of Consumer and Worker Protection (DCWP) determined this issue isn't within its jurisdiction.  You should contact the New York State Department of State. Call (800) 697-1220 or visit dos.ny.gov.,2023-09-25T12:07:07.000,15 BROOKLYN,3074560006,BROOKLYN,996188,153163,ONLINE,Unspecified,BROOKLYN,40.587065148827286,-73.9570189833512,"{'latitude': '40.587065148827286', 'longitude': '-73.9570189833512', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,
58892140,2023-09-22T23:36:45.000,2023-09-23T00:32:03.000,NYPD,New York City Police Department,Noise - Commercial,Loud Music/Party,Store/Commercial,10458,2476 ARTHUR AVENUE,ARTHUR AVENUE,EAST  188 STREET,EAST  189 STREET,EAST  188 STREET,EAST  189 STREET,ADDRESS,BRONX,ARTHUR AVENUE,Closed,The Police Department responded to the complaint and took action to fix the condition.,2023-09-23T00:32:06.000,06 BRONX,2030770043,BRONX,1015750,251609,MOBILE,Unspecified,BRONX,40.857227219488365,-73.88612817457927,"{'latitude': '40.857227219488365', 'longitude': '-73.88612817457927', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,
