unique_key,created_date,closed_date,agency,agency_name,complaint_type,descriptor,location_type,incident_zip,incident_address,street_name,address_type,city,status,resolution_description,resolution_action_updated_date,community_board,bbl,borough,x_coordinate_state_plane,y_coordinate_state_plane,open_data_channel_type,park_facility_name,park_borough,latitude,longitude,location,cross_street_1,cross_street_2,intersection_street_1,intersection_street_2,landmark,facility_type,taxi_pick_up_location,due_date,taxi_company_borough,bridge_highway_name,bridge_highway_segment
58813330,2023-09-14T11:07:31.000,2023-09-14T13:13:25.000,NYPD,New York City Police Department,Abandoned Vehicle,With License Plate,Street/Sidewalk,11212,1843 PITKIN AVENUE,PITKIN AVENUE,ADDRESS,BROOKLYN,Closed,The Police Department issued a summons in response to the complaint.,2023-09-14T13:13:29.000,16 BROOKLYN,3037090136,BROOKLYN,1010658,183601,PHONE,Unspecified,BROOKLYN,40.67057968993692,-73.90480280675851,"{'latitude': '40.67057968993692', 'longitude': '-73.90480280675851', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",SACKMAN STREET,POWELL STREET,SACKMAN STREET,POWELL STREET,PITKIN AVENUE,,,,,,
58818584,2023-09-14T11:07:28.000,2023-09-14T12:14:55.000,NYPD,New York City Police Department,Illegal Parking,Posted Parking Sign Violation,Street/Sidewalk,11217,29 FORT GREEN PLACE,FORT GREEN PLACE,ADDRESS,BROOKLYN,Closed,The Police Department responded to the complaint and determined that police action was not necessary.,2023-09-14T12:14:57.000,02 BROOKLYN,3020980013,BROOKLYN,990655,190238,PHONE,Unspecified,BROOKLYN,40.68883381906261,-73.97690454285608,"{'latitude': '40.68883381906261', 'longitude': '-73.97690454285608', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",DEKALB AVENUE,FULTON STREET,DEKALB AVENUE,FULTON STREET,FORT GREENE PLACE,,,,,,
58813087,2023-09-14T11:07:20.000,2023-09-14T13:16:17.000,DPR,Department of Parks and Recreation,Animal in a Park,Dog Off Leash,Park,11361,JOHN GOLDEN PARK,JOHN GOLDEN PARK,UNRECOGNIZED,BAYSIDE,Closed,"Upon inspection the reported condition was not found, and, therefore, no action was taken.",2023-09-14T13:16:21.000,11 QUEENS,4060720001,QUEENS,1048443,221310,PHONE,Unspecified,QUEENS,40.77388806369652,-73.76823388744751,"{'latitude': '40.77388806369652', 'longitude': '-73.76823388744751', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",32 ROAD,33 AVENUE,32 ROAD,33 AVENUE,JOHN GOLDEN PARK,,,,,,
58814044,2023-09-14T11:07:19.000,2023-09-14T12:03:09.000,NYPD,New York City Police Department,Noise - Vehicle,Engine Idling,Street/Sidewalk,11249,76 BERRY STREET,BERRY STREET,ADDRESS,BROOKLYN,Closed,The Police Department responded to the complaint and determined that police action was not necessary.,2023-09-14T12:03:14.000,01 BROOKLYN,3023030024,BROOKLYN,995997,201572,MOBILE,Unspecified,BROOKLYN,40.71993750103475,-73.95762233318088,"{'latitude': '40.71993750103475', 'longitude': '-73.95762233318088', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",NORTH   10 STREET,NORTH    9 STREET,NORTH   10 STREET,NORTH    9 STREET,BERRY STREET,,,,,,
58816294,2023-09-14T11:07:08.000,2023-09-14T12:40:35.000,NYPD,New York City Police Department,Illegal Parking,Posted Parking Sign Violation,Street/Sidewalk,10463,2287 JOHNSON AVENUE,JOHNSON AVENUE,ADDRESS,BRONX,Closed,The Police Department responded and upon arrival those responsible for the condition were gone.,2023-09-14T12:40:38.000,08 BRONX,2057237501,BRONX,1006636,259032,MOBILE,Unspecified,BRONX,40.87762890078425,-73.91905026920644,"{'latitude': '40.87762890078425', 'longitude': '-73.91905026920644', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",EDSALL AVENUE,BEND,EDSALL AVENUE,BEND,JOHNSON AVENUE,,,,,,
58824072,2023-09-14T11:06:59.000,2023-09-14T11:55:00.000,DOT,Department of Transportation,Street Condition,Pothole,,10017,919 2 AVENUE,2 AVENUE,ADDRESS,NEW YORK,Closed,The Department of Transportation inspected this complaint and repaired the problem.,2023-09-14T11:55:00.000,06 MANHATTAN,1013227502,MANHATTAN,992815,214024,UNKNOWN,Unspecified,MANHATTAN,40.75411881221638,-73.96908564246124,"{'latitude': '40.75411881221638', 'longitude': '-73.96908564246124', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",EAST   48 STREET,EAST   49 STREET,,,,N/A,,,,,
58811887,2023-09-14T11:06:49.000,2023-09-14T11:17:23.000,NYPD,New York City Police Department,Noise - Residential,Banging/Pounding,Residential Building/House,11201,177 SANDS STREET,SANDS STREET,ADDRESS,BROOKLYN,Closed,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,2023-09-14T11:17:28.000,02 BROOKLYN,3000680001,BROOKLYN,988793,194233,ONLINE,Unspecified,BROOKLYN,40.699800319891985,-73.98361593748928,"{'latitude': '40.699800319891985', 'longitude': '-73.98361593748928', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",BQE WESTBOUND ENTRANCE SANDS ST,BIKE PATH,BQE WESTBOUND ENTRANCE SANDS ST,BIKE PATH,SANDS STREET,,,,,,
58822349,2023-09-14T11:06:40.000,2023-09-14T11:00:00.000,DOT,Department of Transportation,Street Condition,Pothole,,10025,801 AMSTERDAM AVENUE,AMSTERDAM AVENUE,ADDRESS,NEW YORK,Closed,The Department of Transportation inspected this complaint and repaired the problem.,2023-09-14T11:00:00.000,07 MANHATTAN,1018527502,MANHATTAN,992892,229355,UNKNOWN,Unspecified,MANHATTAN,40.796198304413394,-73.96878800335192,"{'latitude': '40.796198304413394', 'longitude': '-73.96878800335192', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",WEST   99 STREET,WEST  100 STREET,,,,N/A,,,,,
58817183,2023-09-14T11:06:28.000,2023-09-15T09:39:42.000,DSNY,Department of Sanitation,Obstruction,Cone,Street,11434,155 STREET,155 STREET,INTERSECTION,,Closed,The Department of Sanitation investigated this complaint and found no violation at the location.,2023-09-15T09:39:02.000,12 QUEENS,,QUEENS,1043338,185313,PHONE,Unspecified,QUEENS,40.67512093352753,-73.78698124775336,"{'latitude': '40.67512093352753', 'longitude': '-73.78698124775336', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",155 STREET,SUTPHIN BOULEVARD,155 STREET,SUTPHIN BOULEVARD,,,,,,,
58820631,2023-09-14T11:06:18.000,2023-09-14T10:50:00.000,DOT,Department of Transportation,Street Condition,Pothole,,10024,587 AMSTERDAM AVENUE,AMSTERDAM AVENUE,ADDRESS,NEW YORK,Closed,The Department of Transportation inspected this complaint and repaired the problem.,2023-09-14T10:50:00.000,07 MANHATTAN,1012190001,MANHATTAN,991477,226804,UNKNOWN,Unspecified,MANHATTAN,40.78919776878578,-73.97390125201348,"{'latitude': '40.78919776878578', 'longitude': '-73.97390125201348', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",WEST   88 STREET,WEST   89 STREET,,,,N/A,,,,,
58814853,2023-09-14T11:06:12.000,2023-09-20T05:22:42.000,DSNY,Department of Sanitation,Missed Collection,Recycling - Paper/Metal/Glass/Rigid Plastic,Street,11423,190-03 JAMAICA AVENUE,JAMAICA AVENUE,ADDRESS,HOLLIS,Closed,The Department of Sanitation collected the requested items.,2023-09-16T11:27:38.000,12 QUEENS,4104460037,QUEENS,1048196,198791,ONLINE,Unspecified,QUEENS,40.7120810366985,-73.7693397545733,"{'latitude': '40.7120810366985', 'longitude': '-73.7693397545733', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",190 STREET,191 STREET,190 STREET,191 STREET,JAMAICA AVENUE,,,,,,
58811128,2023-09-14T11:06:05.000,2023-09-14T11:54:07.000,NYPD,New York City Police Department,Abandoned Vehicle,With License Plate,Street/Sidewalk,10463,18 JACOBUS PLACE,JACOBUS PLACE,ADDRESS,NEW YORK,Closed,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,2023-09-14T11:54:11.000,08 BRONX,1022150481,MANHATTAN,1008706,258285,ONLINE,Unspecified,MANHATTAN,40.875573124449986,-73.91156770028746,"{'latitude': '40.875573124449986', 'longitude': '-73.91156770028746', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",WEST  225 STREET,FORT CHARLES PLACE,WEST  225 STREET,FORT CHARLES PLACE,JACOBUS PLACE,,,,,,
58813996,2023-09-14T11:06:04.000,2023-09-14T19:19:46.000,NYPD,New York City Police Department,Illegal Parking,Posted Parking Sign Violation,Street/Sidewalk,11105,46-99 19 AVENUE,19 AVENUE,ADDRESS,ASTORIA,Closed,The Police Department responded to the complaint and determined that police action was not necessary.,2023-09-14T19:19:52.000,80 QUEENS,,QUEENS,1013268,221762,PHONE,Unspecified,QUEENS,40.775314141646724,-73.89522959144152,"{'latitude': '40.775314141646724', 'longitude': '-73.89522959144152', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",46 STREET,47 STREET,46 STREET,47 STREET,19 AVENUE,,,,,,
58815192,2023-09-14T11:06:03.000,2023-09-14T16:07:17.000,NYPD,New York City Police Department,Illegal Parking,Posted Parking Sign Violation,Street/Sidewalk,11377,69-15 CALAMUS AVENUE,CALAMUS AVENUE,ADDRESS,WOODSIDE,Closed,The Police Department responded to the complaint and took action to fix the condition.,2023-09-14T16:07:22.000,02 QUEENS,4024550005,QUEENS,1013199,207085,MOBILE,Unspecified,QUEENS,40.73502976574331,-73.89554190957965,"{'latitude': '40.73502976574331', 'longitude': '-73.89554190957965', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",69 STREET,69 PLACE,69 STREET,69 PLACE,CALAMUS AVENUE,,,,,,
58813588,2023-09-14T11:05:55.000,2023-11-02T13:43:59.000,TLC,Taxi and Limousine Commission,For Hire Vehicle Complaint,Driver Complaint - Non Passenger,Street,10004,13 BROADWAY,BROADWAY,ADDRESS,NEW YORK,Closed,The Taxi and Limousine Commission (TLC) reviewed your complaint. The driver or owner pled guilty to a violation and paid a fine. TLC has sent you a written confirmation of this outcome.,2023-11-02T13:44:06.000,01 MANHATTAN,1000130027,MANHATTAN,980453,196270,ONLINE,Unspecified,MANHATTAN,40.70539175849976,-74.01369480591245,"{'latitude': '40.70539175849976', 'longitude': '-74.01369480591245', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",BATTERY PLACE,MORRIS STREET,BATTERY PLACE,MORRIS STREET,BROADWAY,,"13 BROADWAY, MANHATTAN (NEW YORK), NY, 10004",,,,
58810916,2023-09-14T11:05:55.000,2023-09-15T15:37:29.000,HPD,Department of Housing Preservation and Development,HEAT/HOT WATER,APARTMENT ONLY,RESIDENTIAL BUILDING,10457,2105 RYER AVENUE,RYER AVENUE,ADDRESS,BRONX,Closed,The complaint you filed is a duplicate of a condition already reported by another tenant for a building-wide condition. The original complaint is still open. HPD may attempt to contact you to verify the correction of the condition or may conduct an inspection of your unit if the original complainant is not available for verification.,2023-09-15T00:00:00.000,05 BRONX,2031560155,BRONX,1011723,250206,PHONE,Unspecified,BRONX,40.85338985543013,-73.90069142984217,"{'latitude': '40.85338985543013', 'longitude': '-73.90069142984217', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,,,,
58816500,2023-09-14T11:05:55.000,2023-09-14T11:43:06.000,NYPD,New York City Police Department,Noise - Street/Sidewalk,Loud Music/Party,Street/Sidewalk,11238,461 ST JOHNS PLACE,ST JOHNS PLACE,ADDRESS,BROOKLYN,Closed,The Police Department responded to the complaint and took action to fix the condition.,2023-09-14T11:43:10.000,08 BROOKLYN,3011740063,BROOKLYN,994671,184648,MOBILE,Unspecified,BROOKLYN,40.673486723082746,-73.96243210289688,"{'latitude': '40.673486723082746', 'longitude': '-73.96243210289688', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",WASHINGTON AVENUE,CLASSON AVENUE,WASHINGTON AVENUE,CLASSON AVENUE,ST JOHNS PLACE,,,,,,
58813476,2023-09-14T11:05:52.000,2023-11-09T13:58:04.000,DPR,Department of Parks and Recreation,Maintenance or Facility,Grass/Weeds,Park,11365,KISSENA CORRIDOR PARK EAST,KISSENA CORRIDOR PARK EAST,UNRECOGNIZED,FRESH MEADOWS,Closed,NYC Parks has completed the requested work order and corrected the problem.,2023-11-09T13:58:08.000,11 QUEENS,4056610002,QUEENS,1043405,210558,ONLINE,Unspecified,QUEENS,40.74441181443794,-73.78651790499485,"{'latitude': '40.74441181443794', 'longitude': '-73.78651790499485', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",189 STREET,190 STREET,189 STREET,190 STREET,KISSENA CORRIDOR PARK EAST,,,,,,
58823185,2023-09-14T11:05:43.000,2023-09-14T10:20:00.000,DOT,Department of Transportation,Street Condition,Pothole,,10024,,,INTERSECTION,MANHATTAN,Closed,The Department of Transportation inspected this complaint and repaired the problem.,2023-09-14T10:20:00.000,07 MANHATTAN,,MANHATTAN,991305,226498,UNKNOWN,Unspecified,MANHATTAN,40.78835801987836,-73.97452271419073,"{'latitude': '40.78835801987836', 'longitude': '-73.97452271419073', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,AMSTERDAM AVENUE,WEST 87 STREET,,N/A,,,,,
58818530,2023-09-14T11:05:41.000,2023-09-14T19:06:18.000,NYPD,New York City Police Department,Illegal Parking,Blocked Sidewalk,Street/Sidewalk,10456,1157 MORRIS AVENUE,MORRIS AVENUE,ADDRESS,BRONX,Closed,This complaint does not fall under the Police Department's jurisdiction.,2023-09-14T19:06:22.000,04 BRONX,2024490075,BRONX,1007840,242471,MOBILE,Unspecified,BRONX,40.83217078142704,-73.9147547807977,"{'latitude': '40.83217078142704', 'longitude': '-73.9147547807977', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",MCCLELLAN STREET,EAST  167 STREET,MCCLELLAN STREET,EAST  167 STREET,MORRIS AVENUE,,,,,,
58813761,2023-09-14T11:05:39.000,2023-09-20T05:19:38.000,DSNY,Department of Sanitation,Obstruction,Trash or Recycling,Street,11434,155 STREET,155 STREET,INTERSECTION,,Closed,The Department of Sanitation investigated this complaint and found no violation at the location.,2023-09-15T09:40:06.000,12 QUEENS,,QUEENS,1043338,185313,PHONE,Unspecified,QUEENS,40.67512093352753,-73.78698124775336,"{'latitude': '40.67512093352753', 'longitude': '-73.78698124775336', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",155 STREET,SUTPHIN BOULEVARD,155 STREET,SUTPHIN BOULEVARD,,,,,,,
58816948,2023-09-14T11:05:31.000,,DPR,Department of Parks and Recreation,Maintenance or Facility,Unsecured Facility,Park,11218,83 EAST    5 STREET,EAST    5 STREET,ADDRESS,BROOKLYN,In Progress,,,07 BROOKLYN,3052740053,BROOKLYN,990646,176423,ONLINE,Unspecified,BROOKLYN,40.65091473941851,-73.9769501035021,"{'latitude': '40.65091473941851', 'longitude': '-73.9769501035021', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",GREENWOOD AVENUE,PROSPECT EXPRESSWAY EXIT    5 EB,GREENWOOD AVENUE,PROSPECT EXPRESSWAY EXIT    5 EB,EAST    5 STREET,,,,,,
58813033,2023-09-14T11:05:31.000,2023-09-14T11:17:37.000,NYPD,New York City Police Department,Noise - Residential,Banging/Pounding,Residential Building/House,11201,177 SANDS STREET,SANDS STREET,ADDRESS,BROOKLYN,Closed,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,2023-09-14T11:17:40.000,02 BROOKLYN,3000680001,BROOKLYN,988793,194233,ONLINE,Unspecified,BROOKLYN,40.699800319891985,-73.98361593748928,"{'latitude': '40.699800319891985', 'longitude': '-73.98361593748928', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",BQE WESTBOUND ENTRANCE SANDS ST,BIKE PATH,BQE WESTBOUND ENTRANCE SANDS ST,BIKE PATH,SANDS STREET,,,,,,
58812593,2023-09-14T11:05:25.000,2023-09-14T13:15:29.000,DSNY,Department of Sanitation,Illegal Dumping,Chronic Dumping,Street,11379,67-46 80 STREET,80 STREET,ADDRESS,MIDDLE VILLAGE,Closed,The Department of Sanitation investigated this complaint and found no condition at the location.,2023-09-14T13:15:32.000,05 QUEENS,4037810043,QUEENS,1019909,198753,MOBILE,Unspecified,QUEENS,40.71213596103052,-73.87137406687111,"{'latitude': '40.71213596103052', 'longitude': '-73.87137406687111', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",67 ROAD,67 DRIVE,67 ROAD,67 DRIVE,80 STREET,,,,,,
58815609,2023-09-14T11:05:20.000,2023-09-14T11:35:07.000,NYPD,New York City Police Department,Illegal Parking,Blocked Bike Lane,Street/Sidewalk,10004,13 BROADWAY,BROADWAY,ADDRESS,NEW YORK,Closed,The Police Department responded and upon arrival those responsible for the condition were gone.,2023-09-14T11:35:10.000,01 MANHATTAN,1000130027,MANHATTAN,980453,196270,ONLINE,Unspecified,MANHATTAN,40.70539175849976,-74.01369480591245,"{'latitude': '40.70539175849976', 'longitude': '-74.01369480591245', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",BATTERY PLACE,MORRIS STREET,BATTERY PLACE,MORRIS STREET,BROADWAY,,,,,,
58810939,2023-09-14T11:05:19.000,2023-11-26T18:23:22.000,HPD,Department of Housing Preservation and Development,PAINT/PLASTER,CEILING,RESIDENTIAL BUILDING,10030,142 WEST  139 STREET,WEST  139 STREET,ADDRESS,NEW YORK,Closed,The Department of Housing Preservation and Development inspected the following conditions. Violations were issued. Information about specific violations is available at www.nyc.gov/hpd,2023-11-26T00:00:00.000,10 MANHATTAN,1020070059,MANHATTAN,1000512,237153,PHONE,Unspecified,MANHATTAN,40.817590918970026,-73.94124824367849,"{'latitude': '40.817590918970026', 'longitude': '-73.94124824367849', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,,,,
58817726,2023-09-14T11:05:19.000,2023-11-26T18:23:22.000,HPD,Department of Housing Preservation and Development,FLOORING/STAIRS,FLOOR,RESIDENTIAL BUILDING,10030,142 WEST  139 STREET,WEST  139 STREET,ADDRESS,NEW YORK,Closed,The Department of Housing Preservation and Development inspected the following conditions. Violations were issued. Information about specific violations is available at www.nyc.gov/hpd,2023-11-26T00:00:00.000,10 MANHATTAN,1020070059,MANHATTAN,1000512,237153,PHONE,Unspecified,MANHATTAN,40.817590918970026,-73.94124824367849,"{'latitude': '40.817590918970026', 'longitude': '-73.94124824367849', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,,,,
58819492,2023-09-14T11:05:14.000,2023-09-16T12:10:31.000,DSNY,Department of Sanitation,Dead Animal,Rat or Mouse,Street,10011,341 WEST   22 STREET,WEST   22 STREET,ADDRESS,NEW YORK,Closed,The Department of Sanitation investigated this complaint and found no condition at the location.,2023-09-15T07:04:58.000,04 MANHATTAN,1007460015,MANHATTAN,984194,210757,ONLINE,Unspecified,MANHATTAN,40.74515586920728,-74.0002020981997,"{'latitude': '40.74515586920728', 'longitude': '-74.0002020981997', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",8 AVENUE,9 AVENUE,8 AVENUE,9 AVENUE,WEST   22 STREET,,,,,,
58812172,2023-09-14T11:05:00.000,2023-09-14T11:15:00.000,DEP,Department of Environmental Protection,Water System,No Water (WNW),,11234,7214 BERGEN COVE,BERGEN COVE,ADDRESS,BROOKLYN,Closed,The Department of Environmental Protection investigated this complaint and determined it is an inside condition within the complainant's property.,2023-09-14T11:15:00.000,18 BROOKLYN,3083930043,BROOKLYN,1009476,166321,PHONE,Unspecified,BROOKLYN,40.623153298594154,-73.90912837087815,"{'latitude': '40.623153298594154', 'longitude': '-73.90912837087815', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",DEAD END,E 73 ST,,,,,,,,,
