unique_key,created_date,closed_date,agency,agency_name,complaint_type,descriptor,incident_zip,incident_address,street_name,address_type,city,status,resolution_description,resolution_action_updated_date,community_board,bbl,borough,x_coordinate_state_plane,y_coordinate_state_plane,open_data_channel_type,park_facility_name,park_borough,latitude,longitude,location,location_type,intersection_street_1,intersection_street_2,cross_street_1,cross_street_2,landmark,facility_type,taxi_pick_up_location,bridge_highway_name,bridge_highway_segment,bridge_highway_direction,road_ramp,due_date,vehicle_type,taxi_company_borough
58865741,2023-09-15T15:01:28.000,2023-09-15T15:18:02.000,NYPD,New York City Police Department,Noise - Street/Sidewalk,Loud Talking,,,,,,Closed,The Police Department responded to the complaint and took action to fix the condition.,2023-09-15T15:18:05.000,0 Unspecified,,Unspecified,1002077,248215,MOBILE,Unspecified,Unspecified,40.84794989741764,-73.93556477716565,"{'latitude': '40.84794989741764', 'longitude': '-73.93556477716565', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",Street/Sidewalk,,,,,,,,,,,,,,
58868438,2023-09-15T15:01:22.000,2023-09-15T15:14:05.000,DHS,Department of Homeless Services,Encampment,N/A,,,,,,Closed,The Department of Homeless Services (DHS) visited the location and is coordinating with their agency partners to address the condition. No further information will be available with 311.,2023-09-15T15:14:08.000,0 Unspecified,,Unspecified,981666,208257,MOBILE,Unspecified,Unspecified,40.73829361463025,-74.00932442793497,"{'latitude': '40.73829361463025', 'longitude': '-74.00932442793497', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",Street/Sidewalk,,,,,,,,,,,,,,
58858762,2023-09-15T15:01:22.000,2023-09-15T15:08:10.000,NYPD,New York City Police Department,Encampment,N/A,,,,,,Closed,The Police Department visited the location and has referred the complaint to the Department of Homeless Services (DHS) for further action. DHS will inspect the condition and update your Service Request with more information.,2023-09-15T15:08:15.000,0 Unspecified,,Unspecified,981666,208257,MOBILE,Unspecified,Unspecified,40.73829361463025,-74.00932442793497,"{'latitude': '40.73829361463025', 'longitude': '-74.00932442793497', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",Street/Sidewalk,,,,,,,,,,,,,,
58867390,2023-09-15T15:01:20.000,2023-09-15T15:30:32.000,DPR,Department of Parks and Recreation,Violation of Park Rules,Obstructing Public Use,,,,,,Closed,"Upon inspection the reported condition was not found, and, therefore, no action was taken.",2023-09-15T15:30:35.000,0 Unspecified,,Unspecified,,222604,ONLINE,Unspecified,Unspecified,,,,Park,,,,,,,,,,,,,,
58821226,2023-09-15T15:01:09.000,2023-09-15T17:36:01.000,NYPD,New York City Police Department,Illegal Parking,Paper License Plates,,,,,,Closed,The Police Department reviewed your complaint and provided additional information below.,2023-09-15T17:36:05.000,0 Unspecified,,Unspecified,,236152,ONLINE,Unspecified,Unspecified,,,,Street/Sidewalk,,,,,,,,,,,,,,
58820625,2023-09-15T15:01:00.000,2023-09-16T11:40:00.000,DOT,Department of Transportation,Traffic Signal Condition,Veh Sgnl Mult Lamps,11358,,,INTERSECTION,QUEENS,Closed,Service Request status for this request is available on the Department of Transportationâs website. Please click the âLearn Moreâ link below.,2023-09-16T11:40:00.000,11 QUEENS,,QUEENS,1042522,218473,UNKNOWN,Unspecified,QUEENS,40.76614227548946,-73.78963591936582,"{'latitude': '40.76614227548946', 'longitude': '-73.78963591936582', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,FRANCIS LEWIS BOULEVARD,34 AVENUE,,,,N/A,,,,,,,,
58866503,2023-09-15T15:00:49.000,2023-09-28T14:27:57.000,TLC,Taxi and Limousine Commission,For Hire Vehicle Complaint,Driver Complaint - Non Passenger,10014,98 GANSEVOORT STREET,GANSEVOORT STREET,ADDRESS,NEW YORK,Closed,"Based on the information provided by the customer, the Taxi and Limousine Commission has determined that a hearing is not necessary or not possible.",2023-09-28T14:28:00.000,02 MANHATTAN,1006430001,MANHATTAN,981733,208649,ONLINE,Unspecified,MANHATTAN,40.739369576740245,-74.00908280345033,"{'latitude': '40.739369576740245', 'longitude': '-74.00908280345033', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",Street,HIGH LINE,10 AVENUE,HIGH LINE,10 AVENUE,GANSEVOORT STREET,,"98 GANSEVOORT STREET, MANHATTAN (NEW YORK), NY, 10014",,,,,,,
58821055,2023-09-15T15:00:45.000,2023-09-18T08:20:00.000,DOT,Department of Transportation,Street Condition,Pothole,10040,,,INTERSECTION,MANHATTAN,Closed,The Department of Transportation inspected this complaint and did not find the reported problem.,2023-09-18T08:20:00.000,12 MANHATTAN,,MANHATTAN,1004094,251444,UNKNOWN,Unspecified,MANHATTAN,40.85680823776297,-73.92826482905474,"{'latitude': '40.85680823776297', 'longitude': '-73.92826482905474', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,FORT GEORGE AVENUE,ST NICHOLAS AVENUE,,,,N/A,,,,,,,,
58855538,2023-09-15T15:00:43.000,2023-09-15T15:14:54.000,NYPD,New York City Police Department,Illegal Parking,Commercial Overnight Parking,,,,,,Closed,The Police Department reviewed your complaint and provided additional information below.,2023-09-15T15:14:57.000,0 Unspecified,,Unspecified,1031248,189482,ONLINE,Unspecified,Unspecified,40.68663631208235,-73.83053783167027,"{'latitude': '40.68663631208235', 'longitude': '-73.83053783167027', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",Street/Sidewalk,,,,,,,,,,,,,,
58825263,2023-09-15T15:00:41.000,2023-09-18T20:48:58.000,HPD,Department of Housing Preservation and Development,UNSANITARY CONDITION,GARBAGE/RECYCLING STORAGE,11434,114-05 170 STREET,170 STREET,ADDRESS,JAMAICA,Closed,The Department of Housing Preservation and Development inspected the following conditions. No violations were issued. The complaint has been closed.,2023-09-18T00:00:00.000,12 QUEENS,4123340273,QUEENS,1045326,191122,PHONE,Unspecified,QUEENS,40.691051772028466,-73.77976166554551,"{'latitude': '40.691051772028466', 'longitude': '-73.77976166554551', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",RESIDENTIAL BUILDING,,,,,,,,,,,,,,
58824764,2023-09-15T15:00:26.000,2023-09-15T17:21:13.000,NYPD,New York City Police Department,Illegal Parking,Blocked Hydrant,,,,,,Closed,The Police Department responded and upon arrival those responsible for the condition were gone.,2023-09-15T17:21:17.000,0 Unspecified,,Unspecified,,243044,ONLINE,Unspecified,Unspecified,,,,Street/Sidewalk,,,,,,,,,,,,,,
58860742,2023-09-15T15:00:23.000,,DHS,Department of Homeless Services,Homeless Person Assistance,,,,,ADDRESS,,Closed,The mobile outreach response team went to the location provided but could not find the individual that you reported.,2023-10-22T16:39:43.000,Unspecified BROOKLYN,,BROOKLYN,1013409,181438,MOBILE,Unspecified,BROOKLYN,40.664634107499644,-73.89489519644042,"{'latitude': '40.664634107499644', 'longitude': '-73.89489519644042', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",Subway,,,,,,,,3,Mezzanine,,,,,
58835442,2023-09-15T15:00:22.000,2023-09-16T11:21:24.000,DSNY,Department of Sanitation,Dirty Condition,Trash,,,,,,Closed,The Department of Sanitation investigated this complaint and found no condition at the location.,2023-09-16T11:21:29.000,0 Unspecified,,Unspecified,976534,168182,MOBILE,Unspecified,Unspecified,40.62829390690583,-74.02779748605204,"{'latitude': '40.62829390690583', 'longitude': '-74.02779748605204', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",Sidewalk,,,,,,,,,,,,,,
58822698,2023-09-15T15:00:17.000,2023-09-26T14:30:23.000,HPD,Department of Housing Preservation and Development,PAINT/PLASTER,WALL,11233,187 HULL STREET,HULL STREET,ADDRESS,BROOKLYN,Closed,The Department of Housing Preservation and Development inspected the following conditions. No violations were issued. The complaint has been closed.,2023-09-26T00:00:00.000,16 BROOKLYN,3015340048,BROOKLYN,1009367,186926,PHONE,Unspecified,BROOKLYN,40.67970981814832,-73.90944428910173,"{'latitude': '40.67970981814832', 'longitude': '-73.90944428910173', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",RESIDENTIAL BUILDING,,,,,,,,,,,,,,
58867185,2023-09-15T15:00:16.000,2023-09-15T15:06:44.000,NYPD,New York City Police Department,Illegal Parking,Posted Parking Sign Violation,,,,,,Closed,The Police Department responded to the complaint and took action to fix the condition.,2023-09-15T15:06:46.000,0 Unspecified,,Unspecified,981800,208536,ONLINE,Unspecified,Unspecified,40.73905943859385,-74.00884098723466,"{'latitude': '40.73905943859385', 'longitude': '-74.00884098723466', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",Street/Sidewalk,,,,,,,,,,,,,,
58861063,2023-09-15T15:00:12.000,2023-09-19T08:59:00.000,DOT,Department of Transportation,Street Sign - Damaged,Bus Stop,,,,,,Closed,"The Department of Transportation inspected the condition you reported. You can find additional information in the ""Notes to Customer"" field.",2023-09-19T08:59:05.000,0 Unspecified,,Unspecified,990360,225561,ONLINE,Unspecified,Unspecified,40.78578690946501,-73.97793618646264,"{'latitude': '40.78578690946501', 'longitude': '-73.97793618646264', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",Street,,,,,,,,,,,,,,
58821004,2023-09-15T15:00:11.000,2023-11-16T07:36:45.000,HPD,Department of Housing Preservation and Development,UNSANITARY CONDITION,MOLD,11249,103 NORTH    3 STREET,NORTH    3 STREET,ADDRESS,BROOKLYN,Closed,The Department of Housing Preservation and Development inspected the following conditions. No violations were issued. The complaint has been closed.,2023-11-16T00:00:00.000,01 BROOKLYN,3023500026,BROOKLYN,994763,200428,PHONE,Unspecified,BROOKLYN,40.716799048719714,-73.96207581260552,"{'latitude': '40.716799048719714', 'longitude': '-73.96207581260552', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",RESIDENTIAL BUILDING,,,,,,,,,,,,,,
58865757,2023-09-15T15:00:09.000,2023-09-15T15:17:56.000,NYPD,New York City Police Department,Noise - Street/Sidewalk,Loud Talking,,,,,,Closed,The Police Department responded to the complaint and took action to fix the condition.,2023-09-15T15:18:00.000,0 Unspecified,,Unspecified,1002077,248215,MOBILE,Unspecified,Unspecified,40.84794989741764,-73.93556477716565,"{'latitude': '40.84794989741764', 'longitude': '-73.93556477716565', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",Street/Sidewalk,,,,,,,,,,,,,,
58821787,2023-09-15T15:00:09.000,2023-09-17T07:41:37.000,HPD,Department of Housing Preservation and Development,HEAT/HOT WATER,APARTMENT ONLY,11234,1901 EAST   52 STREET,EAST   52 STREET,ADDRESS,BROOKLYN,Closed,The Department of Housing Preservation and Development inspected the following conditions. No violations were issued. The complaint has been closed.,2023-09-17T00:00:00.000,18 BROOKLYN,3085300023,BROOKLYN,1005268,162665,PHONE,Unspecified,BROOKLYN,40.61312932395231,-73.92429822408646,"{'latitude': '40.61312932395231', 'longitude': '-73.92429822408646', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",RESIDENTIAL BUILDING,,,,,,,,,,,,,,
58822664,2023-09-15T15:00:08.000,2023-09-20T19:32:13.000,HPD,Department of Housing Preservation and Development,GENERAL,COOKING GAS,10453,2261 MORRIS AVENUE,MORRIS AVENUE,ADDRESS,BRONX,Closed,The Department of Housing Preservation and Development inspected the following conditions. Violations were issued. Information about specific violations is available at www.nyc.gov/hpd,2023-09-20T00:00:00.000,05 BRONX,2031820040,BRONX,1011258,251667,ONLINE,Unspecified,BRONX,40.857401296559736,-73.90236641012412,"{'latitude': '40.857401296559736', 'longitude': '-73.90236641012412', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",RESIDENTIAL BUILDING,,,,,,,,,,,,,,
58860375,2023-09-15T15:00:05.000,,DPR,Department of Parks and Recreation,New Tree Request,For One Address,,,,,,In Progress,,,0 Unspecified,,Unspecified,1000544,190687,PHONE,Unspecified,Unspecified,40.69005353955679,-73.94124523240502,"{'latitude': '40.69005353955679', 'longitude': '-73.94124523240502', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",Street,,,,,,,,,,,,,,
58861452,2023-09-15T14:59:38.000,2023-09-15T15:44:21.000,NYPD,New York City Police Department,Blocked Driveway,No Access,,,,,,Closed,The Police Department issued a summons in response to the complaint.,2023-09-15T15:44:27.000,0 Unspecified,,Unspecified,982827,196622,MOBILE,Unspecified,Unspecified,40.70635861575932,-74.00513247073883,"{'latitude': '40.70635861575932', 'longitude': '-74.00513247073883', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",Street/Sidewalk,,,,,,,,,,,,,,
58862470,2023-09-15T14:59:35.000,,TLC,Taxi and Limousine Commission,For Hire Vehicle Complaint,Driver Complaint - Non Passenger,10128,EAST   94 STREET,EAST   94 STREET,INTERSECTION,,In Progress,"The Taxi and Limousine Commission (TLC) has received your complaint. Within 30 days, the TLC representative who will be handling your case will contact you.",2023-09-21T12:08:58.000,08 MANHATTAN,,MANHATTAN,998640,224528,MOBILE,Unspecified,MANHATTAN,40.78294199717857,-73.94803850631448,"{'latitude': '40.78294199717857', 'longitude': '-73.94803850631448', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,2 AVENUE,EAST   94 STREET,2 AVENUE,EAST   94 STREET,,,"2 AVENUE AND EAST   94 STREET, MANHATTAN, NY, 10128",,,,,,,
58824861,2023-09-15T14:59:33.000,2023-09-15T18:06:34.000,NYPD,New York City Police Department,Blocked Driveway,Partial Access,,,,,,Closed,The Police Department issued a summons in response to the complaint.,2023-09-15T18:06:38.000,0 Unspecified,,Unspecified,994238,167195,PHONE,Unspecified,Unspecified,40.62558252927845,-73.96401891979727,"{'latitude': '40.62558252927845', 'longitude': '-73.96401891979727', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",Street/Sidewalk,,,,,,,,,,,,,,
58823926,2023-09-15T14:59:31.000,2023-09-18T00:00:00.000,DOB,Department of Buildings,Emergency Response Team (ERT),Lights From Parking Lot Shining On Building,11102,1-09 26 AVENUE,26 AVENUE,ADDRESS,ASTORIA,Closed,The Department of Buildings investigated this complaint and determined that no further action was necessary.,2023-09-18T00:00:00.000,01 QUEENS,4009130001,QUEENS,1002193,222367,UNKNOWN,Unspecified,QUEENS,40.77700412645179,-73.93521459529559,"{'latitude': '40.77700412645179', 'longitude': '-73.93521459529559', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,N/A,,,,,,,,
58821426,2023-09-15T14:59:29.000,2023-09-26T00:00:00.000,DOB,Department of Buildings,Building/Use,Illegal Conversion Of Residential Building/Space,11379,58-10 77 PLACE,77 PLACE,ADDRESS,MIDDLE VILLAGE,Assigned,The Department of Buildings has attempted to conduct an inspection of this premises and was denied access. A second attempt will be made.,2023-09-26T00:00:00.000,05 QUEENS,4028230008,QUEENS,1016523,203901,UNKNOWN,Unspecified,QUEENS,40.726278968801296,-73.88356304295807,"{'latitude': '40.726278968801296', 'longitude': '-73.88356304295807', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,,,,,,,,
58863384,2023-09-15T14:59:29.000,2023-09-15T16:26:04.000,NYPD,New York City Police Department,Blocked Driveway,No Access,,,,,,Closed,The Police Department issued a summons in response to the complaint.,2023-09-15T16:26:09.000,0 Unspecified,,Unspecified,,242828,MOBILE,Unspecified,Unspecified,,,,Street/Sidewalk,,,,,,,,,,,,,,
58822213,2023-09-15T14:59:29.000,2023-09-15T14:59:29.000,DOB,Department of Buildings,General Construction/Plumbing,Working Contrary To Stop Work Order,11216,74 MACON STREET,MACON STREET,ADDRESS,BROOKLYN,Closed,The Department of Buildings reviewed this complaint and determined that no further action was necessary.,2023-09-15T00:00:00.000,03 BROOKLYN,3018490022,BROOKLYN,998592,187471,UNKNOWN,Unspecified,BROOKLYN,40.681229735022754,-73.94829082092578,"{'latitude': '40.681229735022754', 'longitude': '-73.94829082092578', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,,,,,,,,
58863366,2023-09-15T14:59:27.000,2023-09-15T16:25:58.000,NYPD,New York City Police Department,Blocked Driveway,No Access,,,,,,Closed,The Police Department issued a summons in response to the complaint.,2023-09-15T16:26:04.000,0 Unspecified,,Unspecified,,242828,MOBILE,Unspecified,Unspecified,,,,Street/Sidewalk,,,,,,,,,,,,,,
58833273,2023-09-15T14:59:17.000,2023-09-16T13:37:17.000,DPR,Department of Parks and Recreation,Damaged Tree,Branch Cracked and Will Fall,,,,,,Closed,NYC Parks visited the site and inspected the condition. No work is necessary at this time.,2023-09-16T13:37:21.000,0 Unspecified,,Unspecified,1012780,207965,UNKNOWN,Unspecified,Unspecified,40.73744650822344,-73.89705007446781,"{'latitude': '40.73744650822344', 'longitude': '-73.89705007446781', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",Street,,,,,,,,,,,,,,
58859683,2023-09-15T14:59:05.000,2023-09-15T15:17:56.000,NYPD,New York City Police Department,Noise - Commercial,Loud Music/Party,,,,,,Closed,The Police Department responded to the complaint and took action to fix the condition.,2023-09-15T15:18:00.000,0 Unspecified,,Unspecified,987573,206184,ONLINE,Unspecified,Unspecified,40.732603494261014,-73.9880098962193,"{'latitude': '40.732603494261014', 'longitude': '-73.9880098962193', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",Club/Bar/Restaurant,,,,,,,,,,,,,,
58822204,2023-09-15T14:59:00.000,2023-09-19T07:59:00.000,DEP,Department of Environmental Protection,Air Quality,"Air: Smoke, Vehicular (AA4)",11366,78-15 PARSONS BOULEVARD,PARSONS BOULEVARD,ADDRESS,FRESH MEADOWS,Closed,The Department of Environmental Protection determined that this complaint is a duplicate of a previously filed complaint. The original complaint is being addressed.,2023-09-19T07:59:00.000,08 QUEENS,4068290001,QUEENS,1037000,202363,ONLINE,Unspecified,QUEENS,40.72195913199264,-73.80969682426189,"{'latitude': '40.72195913199264', 'longitude': '-73.80969682426189', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,78 AVE,78 RD,,N/A,,,,,,,,
58820473,2023-09-15T14:59:00.000,2023-09-15T17:20:00.000,DEP,Department of Environmental Protection,Sewer,Sewer Backup (Use Comments) (SA),11216,770 SAINT MARKS AVENUE,SAINT MARKS AVENUE,ADDRESS,BROOKLYN,Closed,The Department of Environmental Protection investigated this complaint and found there was no sewer back up in the city system at the time of the inspection.,2023-09-15T17:20:00.000,08 BROOKLYN,3012270036,BROOKLYN,998713,185230,PHONE,Unspecified,BROOKLYN,40.67507850110179,-73.94785937247916,"{'latitude': '40.67507850110179', 'longitude': '-73.94785937247916', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,NOSTRAND AVE,NEW YORK AVE,,,,,,,,,,
58827501,2023-09-15T14:58:53.000,2023-09-16T11:12:33.000,DSNY,Department of Sanitation,Dirty Condition,Trash,,,,,,Closed,The Department of Sanitation investigated this complaint and issued a Notice of Violation.,2023-09-16T11:12:36.000,0 Unspecified,,Unspecified,1009856,197248,MOBILE,Unspecified,Unspecified,40.70803990123522,-73.90764203462152,"{'latitude': '40.70803990123522', 'longitude': '-73.90764203462152', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",Sidewalk,,,,,,,,,,,,,,
58868740,2023-09-15T14:58:33.000,,DOHMH,Department of Health and Mental Hygiene,Food Establishment,Food Contaminated,,,,,,In Progress,"The Department of Health and Mental Hygiene has sent official written notification to the Owner/Landlord warning them of potential violations and instructing them to correct the situation. If the situation persists 21 days after your initial complaint, please make a new complaint.",2023-09-19T12:17:19.000,0 Unspecified,,Unspecified,1005894,233728,PHONE,Unspecified,Unspecified,40.808178705202856,-73.92181507418587,"{'latitude': '40.808178705202856', 'longitude': '-73.92181507418587', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",Restaurant/Bar/Deli/Bakery,,,,,,,,,,,,,,
58855681,2023-09-15T14:58:23.000,2023-09-15T15:15:57.000,NYPD,New York City Police Department,Noise - Vehicle,Engine Idling,,,,,,Closed,The Police Department responded to the complaint and took action to fix the condition.,2023-09-15T15:16:00.000,0 Unspecified,,Unspecified,994407,216715,ONLINE,Unspecified,Unspecified,40.76150323379822,-73.96333544141018,"{'latitude': '40.76150323379822', 'longitude': '-73.96333544141018', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",Street/Sidewalk,,,,,,,,,,,,,,
58857332,2023-09-15T14:58:21.000,2023-09-15T15:01:54.000,NYPD,New York City Police Department,Illegal Parking,Blocked Hydrant,,,,,,Closed,The Police Department responded to the complaint and took action to fix the condition.,2023-09-15T15:02:00.000,0 Unspecified,,Unspecified,977275,164000,MOBILE,Unspecified,Unspecified,40.61681580544353,-74.02512365541007,"{'latitude': '40.61681580544353', 'longitude': '-74.02512365541007', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",Street/Sidewalk,,,,,,,,,,,,,,
58822741,2023-09-15T14:57:39.000,2023-09-18T20:48:58.000,HPD,Department of Housing Preservation and Development,UNSANITARY CONDITION,MOLD,11434,114-05 170 STREET,170 STREET,ADDRESS,JAMAICA,Closed,The Department of Housing Preservation and Development inspected the following conditions. No violations were issued. The complaint has been closed.,2023-09-18T00:00:00.000,12 QUEENS,4123340273,QUEENS,1045326,191122,PHONE,Unspecified,QUEENS,40.691051772028466,-73.77976166554551,"{'latitude': '40.691051772028466', 'longitude': '-73.77976166554551', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",RESIDENTIAL BUILDING,,,,,,,,,,,,,,
