unique_key,created_date,closed_date,agency,agency_name,complaint_type,descriptor,location_type,incident_zip,incident_address,street_name,cross_street_1,cross_street_2,intersection_street_1,intersection_street_2,address_type,city,landmark,status,resolution_description,resolution_action_updated_date,community_board,bbl,borough,x_coordinate_state_plane,y_coordinate_state_plane,open_data_channel_type,park_facility_name,park_borough,latitude,longitude,location,bridge_highway_name,bridge_highway_direction,bridge_highway_segment,facility_type,due_date,taxi_pick_up_location
58805106,2023-09-13T06:58:22.000,2023-09-16T13:01:23.000,DSNY,Department of Sanitation,Missed Collection,Recycling - Paper/Metal/Glass/Rigid Plastic,Street,10306,315 AMBER STREET,AMBER STREET,WEST CEDARVIEW AVENUE,CLARKE AVENUE,WEST CEDARVIEW AVENUE,CLARKE AVENUE,ADDRESS,STATEN ISLAND,AMBER STREET,Closed,The Department of Sanitation investigated this complaint and found no condition at the location.,2023-09-16T04:48:00.000,03 STATEN ISLAND,5044210014,STATEN ISLAND,946026,145830,ONLINE,Unspecified,STATEN ISLAND,40.566863154428034,-74.1375783336146,"{'latitude': '40.566863154428034', 'longitude': '-74.1375783336146', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,
58808285,2023-09-13T06:58:01.000,2023-09-13T07:52:32.000,NYPD,New York City Police Department,Noise - Street/Sidewalk,Loud Music/Party,Street/Sidewalk,10040,24 ARDEN STREET,ARDEN STREET,NAGLE AVENUE,SHERMAN AVENUE,NAGLE AVENUE,SHERMAN AVENUE,ADDRESS,NEW YORK,ARDEN STREET,Closed,The Police Department responded and upon arrival those responsible for the condition were gone.,2023-09-13T07:52:36.000,12 MANHATTAN,1021740175,MANHATTAN,1004441,253235,MOBILE,Unspecified,MANHATTAN,40.86172320639038,-73.92700504505966,"{'latitude': '40.86172320639038', 'longitude': '-73.92700504505966', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,
58804118,2023-09-13T06:57:42.000,2023-09-13T11:21:18.000,NYPD,New York City Police Department,Illegal Parking,Posted Parking Sign Violation,Street/Sidewalk,10452,153 MARCY PLACE,MARCY PLACE,WALTON AVENUE,GRAND CONCOURSE,WALTON AVENUE,GRAND CONCOURSE,ADDRESS,BRONX,MARCY PLACE,Closed,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,2023-09-13T11:21:23.000,04 BRONX,2028410070,BRONX,1007565,244556,MOBILE,Unspecified,BRONX,40.83789423182594,-73.91574127755041,"{'latitude': '40.83789423182594', 'longitude': '-73.91574127755041', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,
58809352,2023-09-13T06:57:20.000,2023-09-13T16:59:29.000,NYPD,New York City Police Department,Illegal Parking,Posted Parking Sign Violation,Street/Sidewalk,11417,87-04 SUTTER AVENUE,SUTTER AVENUE,87 STREET,88 STREET,87 STREET,88 STREET,ADDRESS,OZONE PARK,SUTTER AVENUE,Closed,The Police Department responded and upon arrival those responsible for the condition were gone.,2023-09-13T16:59:34.000,10 QUEENS,4113500002,QUEENS,1025976,185597,MOBILE,Unspecified,QUEENS,40.67599930947288,-73.84957126437365,"{'latitude': '40.67599930947288', 'longitude': '-73.84957126437365', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,
58804230,2023-09-13T06:57:18.000,2023-09-13T08:15:50.000,NYPD,New York City Police Department,Blocked Driveway,No Access,Street/Sidewalk,11358,40-29 194 STREET,194 STREET,STATION ROAD,42 AVENUE,STATION ROAD,42 AVENUE,ADDRESS,FLUSHING,194 STREET,Closed,The Police Department responded and upon arrival those responsible for the condition were gone.,2023-09-13T08:15:55.000,11 QUEENS,4053590038,QUEENS,1042975,216577,PHONE,Unspecified,QUEENS,40.76093526184115,-73.78801714271218,"{'latitude': '40.76093526184115', 'longitude': '-73.78801714271218', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,
58800845,2023-09-13T06:57:16.000,2023-09-13T07:03:31.000,NYPD,New York City Police Department,Abandoned Vehicle,With License Plate,Street/Sidewalk,10467,3245 PARKSIDE PLACE,PARKSIDE PLACE,EAST  207 STREET,EAST  209 STREET,EAST  207 STREET,EAST  209 STREET,ADDRESS,BRONX,PARKSIDE PLACE,Closed,The Police Department issued a summons in response to the complaint.,2023-09-13T07:03:34.000,07 BRONX,2033557501,BRONX,1019183,258094,ONLINE,Unspecified,BRONX,40.875013640296345,-73.87368416430434,"{'latitude': '40.875013640296345', 'longitude': '-73.87368416430434', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,
58801123,2023-09-13T06:57:14.000,,DHS,Department of Homeless Services,Homeless Person Assistance,,Other,10027,129 WEST  131 STREET,WEST  131 STREET,LENOX AVENUE,ADAM CLAYTON POWELL JR BOULEVARD,LENOX AVENUE,ADAM CLAYTON POWELL JR BOULEVARD,ADDRESS,NEW YORK,WEST  131 STREET,Closed,The mobile outreach response team went to the location provided but could not find the individual that you reported.,2023-09-13T10:15:19.000,10 MANHATTAN,1019160019,MANHATTAN,999820,235119,PHONE,Unspecified,MANHATTAN,40.812009405606425,-73.9437530362406,"{'latitude': '40.812009405606425', 'longitude': '-73.9437530362406', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,
58808023,2023-09-13T06:57:10.000,2023-09-13T07:03:18.000,NYPD,New York City Police Department,Illegal Parking,Posted Parking Sign Violation,Street/Sidewalk,10468,2519 CRESTON AVENUE,CRESTON AVENUE,EAST  190 STREET,EAST  191 STREET,EAST  190 STREET,EAST  191 STREET,ADDRESS,BRONX,CRESTON AVENUE,Closed,The Police Department reviewed your complaint and provided additional information below.,2023-09-13T07:03:24.000,07 BRONX,2031757501,BRONX,1012552,253854,ONLINE,Unspecified,BRONX,40.86339989603282,-73.89767938528355,"{'latitude': '40.86339989603282', 'longitude': '-73.89767938528355', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,
58809078,2023-09-13T06:56:51.000,2023-09-15T08:09:34.000,DSNY,Department of Sanitation,Obstruction,Weeds or Grass,Sidewalk,10461,1186 PELHAM PARKWAY SOUTH,PELHAM PARKWAY SOUTH,HERING AVENUE,TENBROECK AVENUE,HERING AVENUE,TENBROECK AVENUE,ADDRESS,BRONX,PELHAM PARKWAY SOUTH,Closed,The Department of Sanitation investigated this complaint and no DSNY related conditions/violations were observed. Location will be referred to the appropriate agency for further action.,2023-09-14T12:44:17.000,11 BRONX,2043120003,BRONX,1024805,251603,PHONE,Unspecified,BRONX,40.85717379975568,-73.85339463409632,"{'latitude': '40.85717379975568', 'longitude': '-73.85339463409632', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,
58810351,2023-09-13T06:56:42.000,2023-09-13T08:03:43.000,DSNY,Department of Sanitation,Vendor Enforcement,Food Vendor,Street,11201,27 CADMAN PLAZA WEST,CADMAN PLAZA WEST,ELIZABETH PLACE,FRONT STREET,ELIZABETH PLACE,FRONT STREET,ADDRESS,BROOKLYN,CADMAN PLAZA WEST,Closed,N/A,2023-09-13T08:03:49.000,02 BROOKLYN,3000350001,BROOKLYN,986087,195206,ONLINE,Unspecified,BROOKLYN,40.702471952598245,-73.99337470199114,"{'latitude': '40.702471952598245', 'longitude': '-73.99337470199114', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,
58802728,2023-09-13T06:56:39.000,2023-09-13T08:02:39.000,NYPD,New York City Police Department,Illegal Parking,Unauthorized Bus Layover,Street/Sidewalk,11226,416 OCEAN AVENUE,OCEAN AVENUE,CROOKE AVENUE,CATON AVENUE,CROOKE AVENUE,CATON AVENUE,ADDRESS,BROOKLYN,OCEAN AVENUE,Closed,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,2023-09-13T08:02:44.000,14 BROOKLYN,3050610040,BROOKLYN,994927,177080,MOBILE,Unspecified,BROOKLYN,40.652713934532365,-73.96152120278896,"{'latitude': '40.652713934532365', 'longitude': '-73.96152120278896', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,
58810369,2023-09-13T06:56:32.000,2023-09-18T15:32:27.000,DSNY,Department of Sanitation,Dumpster Complaint,Blocking Sidewalk or Street,Street,10018,70 WEST   39 STREET,WEST   39 STREET,5 AVENUE,AVENUE OF THE AMERICAS,5 AVENUE,AVENUE OF THE AMERICAS,ADDRESS,NEW YORK,WEST   39 STREET,Unspecified,The Department of Sanitation investigated this complaint and found no violation at the location.,2023-09-06T23:25:47.000,05 MANHATTAN,1008400087,MANHATTAN,988584,213414,ONLINE,Unspecified,MANHATTAN,40.752447603076824,-73.98435733074275,"{'latitude': '40.752447603076824', 'longitude': '-73.98435733074275', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,
58804076,2023-09-13T06:56:01.000,2023-09-13T07:05:44.000,NYPD,New York City Police Department,Illegal Parking,Blocked Sidewalk,Street/Sidewalk,11230,1720 AVENUE J,AVENUE J,EAST   17 STREET,EAST   18 STREET,EAST   17 STREET,EAST   18 STREET,ADDRESS,BROOKLYN,AVENUE J,Closed,The Police Department responded to the complaint and took action to fix the condition.,2023-09-13T07:05:48.000,14 BROOKLYN,3067190037,BROOKLYN,995571,167133,MOBILE,Unspecified,BROOKLYN,40.62541074913844,-73.95921698399714,"{'latitude': '40.62541074913844', 'longitude': '-73.95921698399714', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,
58801363,2023-09-13T06:56:00.000,2023-09-13T09:10:00.000,DEP,Department of Environmental Protection,Sewer,Manhole Cover Missing (Emergency) (SA3),,11414,,,,,87 STREET,164 AVENUE,INTERSECTION,QUEENS,,Closed,"The Department of Environment Protection inspected your complaint but could not find the problem you reported. If the condition persists, please call 311 (or 212-639-9675 if calling from a non-New York City area code) with more detailed information to submit a new complaint.",2023-09-13T09:10:00.000,10 QUEENS,,QUEENS,1027706,176132,PHONE,Unspecified,QUEENS,40.65001169655104,-73.84339536169396,"{'latitude': '40.65001169655104', 'longitude': '-73.84339536169396', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,
58800242,2023-09-13T06:55:40.000,2023-09-13T07:29:51.000,NYPD,New York City Police Department,Illegal Parking,Posted Parking Sign Violation,Street/Sidewalk,10030,30 BRADHURST AVENUE,BRADHURST AVENUE,WEST  143 STREET,WEST  144 STREET,WEST  143 STREET,WEST  144 STREET,ADDRESS,NEW YORK,BRADHURST AVENUE,Closed,The Police Department responded to the complaint and took action to fix the condition.,2023-09-13T07:29:53.000,10 MANHATTAN,1020440022,MANHATTAN,999808,238874,ONLINE,Unspecified,MANHATTAN,40.8223158457629,-73.9437876816361,"{'latitude': '40.8223158457629', 'longitude': '-73.9437876816361', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,
58807212,2023-09-13T06:54:53.000,2023-09-14T11:00:00.000,DOT,Department of Transportation,Street Condition,Pothole,,10453,SEDGWICK AVENUE,SEDGWICK AVENUE,WEST  179 STREET,WEST TREMONT AVENUE,,,BLOCKFACE,BRONX,,Closed,The Department of Transportation inspected this complaint and repaired the problem.,2023-09-14T11:00:00.000,05 BRONX,,BRONX,,,UNKNOWN,Unspecified,BRONX,,,,,,,N/A,,
58808024,2023-09-13T06:54:42.000,2023-09-13T07:14:05.000,NYPD,New York City Police Department,Illegal Parking,Posted Parking Sign Violation,Street/Sidewalk,10455,564 JACKSON AVENUE,JACKSON AVENUE,EAST  149 STREET,PONTIAC PLACE,EAST  149 STREET,PONTIAC PLACE,ADDRESS,BRONX,JACKSON AVENUE,Closed,The Police Department responded to the complaint and took action to fix the condition.,2023-09-13T07:14:09.000,01 BRONX,2026420001,BRONX,1009471,235753,MOBILE,Unspecified,BRONX,40.81372727745244,-73.90888622681445,"{'latitude': '40.81372727745244', 'longitude': '-73.90888622681445', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,
58807562,2023-09-13T06:54:39.000,2023-09-21T09:32:22.000,DHS,Department of Homeless Services,Encampment,N/A,Street/Sidewalk,10011,47 WEST    8 STREET,WEST    8 STREET,MAC DOUGAL STREET,AVENUE OF THE AMERICAS,MAC DOUGAL STREET,AVENUE OF THE AMERICAS,ADDRESS,NEW YORK,WEST    8 STREET,Closed,"The Department of Homeless Services (DHS) visited the location but could not find the condition you reported. If it still exists, please submit a new Service Request.",2023-09-21T09:32:25.000,02 MANHATTAN,1005720066,MANHATTAN,984680,206384,MOBILE,Unspecified,MANHATTAN,40.73315305888683,-73.99844845406808,"{'latitude': '40.73315305888683', 'longitude': '-73.99844845406808', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,
58801115,2023-09-13T06:54:39.000,2023-09-13T07:21:17.000,NYPD,New York City Police Department,Encampment,N/A,Street/Sidewalk,10011,47 WEST    8 STREET,WEST    8 STREET,MAC DOUGAL STREET,AVENUE OF THE AMERICAS,MAC DOUGAL STREET,AVENUE OF THE AMERICAS,ADDRESS,NEW YORK,WEST    8 STREET,Closed,The Police Department visited the location and has referred the complaint to the Department of Homeless Services (DHS) for further action. DHS will inspect the condition and update your Service Request with more information.,2023-09-13T07:21:20.000,02 MANHATTAN,1005720066,MANHATTAN,984680,206384,MOBILE,Unspecified,MANHATTAN,40.73315305888683,-73.99844845406808,"{'latitude': '40.73315305888683', 'longitude': '-73.99844845406808', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,
58802909,2023-09-13T06:53:58.000,2023-09-13T09:06:19.000,NYPD,New York City Police Department,Blocked Driveway,No Access,Street/Sidewalk,11418,134-01 87 AVENUE,87 AVENUE,134 STREET,135 STREET,134 STREET,135 STREET,ADDRESS,RICHMOND HILL,87 AVENUE,Closed,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,2023-09-13T09:06:22.000,09 QUEENS,4096300015,QUEENS,1033947,196096,PHONE,Unspecified,QUEENS,40.70477542548104,-73.820757190103,"{'latitude': '40.70477542548104', 'longitude': '-73.820757190103', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,
58805129,2023-09-13T06:53:47.000,2023-09-13T07:16:27.000,NYPD,New York City Police Department,Illegal Parking,Blocked Crosswalk,Street/Sidewalk,10032,709 WEST  169 STREET,WEST  169 STREET,FORT WASHINGTON AVENUE,HAVEN AVENUE,FORT WASHINGTON AVENUE,HAVEN AVENUE,ADDRESS,NEW YORK,WEST  169 STREET,Closed,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,2023-09-13T07:16:29.000,12 MANHATTAN,1021390140,MANHATTAN,1000242,246373,MOBILE,Unspecified,MANHATTAN,40.842897663640535,-73.94220172736742,"{'latitude': '40.842897663640535', 'longitude': '-73.94220172736742', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,
58806652,2023-09-13T06:53:03.000,2023-09-13T10:23:22.000,NYPD,New York City Police Department,Illegal Parking,Blocked Sidewalk,Street/Sidewalk,11385,71-05 64 STREET,64 STREET,CENTRAL AVENUE,MYRTLE AVENUE,CENTRAL AVENUE,MYRTLE AVENUE,ADDRESS,RIDGEWOOD,64 STREET,Closed,The Police Department responded to the complaint and took action to fix the condition.,2023-09-13T10:23:27.000,05 QUEENS,4036390001,QUEENS,1013999,194916,PHONE,Unspecified,QUEENS,40.70162615543057,-73.89270901524978,"{'latitude': '40.70162615543057', 'longitude': '-73.89270901524978', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,
