unique_key,created_date,closed_date,agency,agency_name,complaint_type,descriptor,location_type,incident_zip,incident_address,street_name,cross_street_1,cross_street_2,intersection_street_1,intersection_street_2,address_type,city,landmark,status,resolution_description,resolution_action_updated_date,community_board,bbl,borough,x_coordinate_state_plane,y_coordinate_state_plane,open_data_channel_type,park_facility_name,park_borough,latitude,longitude,location,facility_type,taxi_pick_up_location,bridge_highway_name,bridge_highway_direction,bridge_highway_segment,road_ramp
58879537,2023-09-20T22:00:22.000,2023-09-21T03:50:32.000,NYPD,New York City Police Department,Illegal Parking,Blocked Hydrant,Street/Sidewalk,11214,8732 BAY PARKWAY,BAY PARKWAY,BENSON AVENUE,BATH AVENUE,BENSON AVENUE,BATH AVENUE,ADDRESS,BROOKLYN,BAY PARKWAY,Closed,The Police Department responded and upon arrival those responsible for the condition were gone.,2023-09-21T03:50:39.000,11 BROOKLYN,3064140057,BROOKLYN,985208,157627,ONLINE,Unspecified,BROOKLYN,40.599325919526294,-73.99655022839774,"{'latitude': '40.599325919526294', 'longitude': '-73.99655022839774', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,
58871046,2023-09-20T22:00:21.000,2023-09-20T22:25:26.000,NYPD,New York City Police Department,Noise - Commercial,Car/Truck Music,Store/Commercial,10001,107 WEST   25 STREET,WEST   25 STREET,AVENUE OF THE AMERICAS,7 AVENUE,AVENUE OF THE AMERICAS,7 AVENUE,ADDRESS,NEW YORK,WEST   25 STREET,Closed,The Police Department responded to the complaint and took action to fix the condition.,2023-09-20T22:25:29.000,04 MANHATTAN,1008010030,MANHATTAN,986353,210491,MOBILE,Unspecified,MANHATTAN,40.744425515906904,-73.99241057401285,"{'latitude': '40.744425515906904', 'longitude': '-73.99241057401285', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,
58871746,2023-09-20T22:00:10.000,,DOHMH,Department of Health and Mental Hygiene,Day Care,Day Care Facility,Public School,10457,4143 3 AVENUE,3 AVENUE,EAST  175 STREET,EAST  176 STREET,EAST  175 STREET,EAST  176 STREET,ADDRESS,BRONX,3 AVENUE,In Progress,,,06 BRONX,2029230018,BRONX,1012734,247135,PHONE,Unspecified,BRONX,40.84495766991092,-73.89704994747407,"{'latitude': '40.84495766991092', 'longitude': '-73.89704994747407', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,
58877717,2023-09-20T22:00:09.000,2023-09-21T00:07:33.000,NYPD,New York City Police Department,Noise - Residential,Loud Talking,Residential Building/House,11204,1761 66 STREET,66 STREET,17 AVENUE,18 AVENUE,17 AVENUE,18 AVENUE,ADDRESS,BROOKLYN,66 STREET,Closed,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,2023-09-21T00:07:40.000,11 BROOKLYN,3055530056,BROOKLYN,986538,164836,MOBILE,Unspecified,BROOKLYN,40.619112901936504,-73.99175843712085,"{'latitude': '40.619112901936504', 'longitude': '-73.99175843712085', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,
58876132,2023-09-20T21:59:39.000,2023-09-20T22:41:08.000,NYPD,New York City Police Department,Illegal Parking,Commercial Overnight Parking,Street/Sidewalk,11235,1521 BRIGHTWATER AVENUE,BRIGHTWATER AVENUE,BRIGHTON   15 STREET,DEAD END,BRIGHTON   15 STREET,DEAD END,ADDRESS,BROOKLYN,BRIGHTWATER AVENUE,Closed,The Police Department responded to the complaint and took action to fix the condition.,2023-09-20T22:41:17.000,13 BROOKLYN,3087230410,BROOKLYN,996913,149034,PHONE,Unspecified,BROOKLYN,40.575730855894754,-73.95441646357214,"{'latitude': '40.575730855894754', 'longitude': '-73.95441646357214', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,
58871665,2023-09-20T21:59:06.000,2023-09-21T04:12:56.000,NYPD,New York City Police Department,Illegal Parking,Commercial Overnight Parking,Street/Sidewalk,11379,58-48 76 STREET,76 STREET,58 ROAD,CALDWELL AVENUE,58 ROAD,CALDWELL AVENUE,ADDRESS,MIDDLE VILLAGE,76 STREET,Closed,The Police Department issued a summons in response to the complaint.,2023-09-21T04:13:00.000,05 QUEENS,4028220036,QUEENS,1016323,203602,MOBILE,Unspecified,QUEENS,40.72545901461423,-73.88428604217012,"{'latitude': '40.72545901461423', 'longitude': '-73.88428604217012', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,
58880191,2023-09-20T21:59:04.000,2023-09-20T22:26:58.000,NYPD,New York City Police Department,Blocked Driveway,No Access,Street/Sidewalk,11201,93 JORALEMON STREET,JORALEMON STREET,HICKS STREET,GARDEN PLACE,HICKS STREET,GARDEN PLACE,ADDRESS,BROOKLYN,JORALEMON STREET,Closed,The Police Department responded and upon arrival those responsible for the condition were gone.,2023-09-20T22:27:03.000,02 BROOKLYN,3002530011,BROOKLYN,985328,191880,MOBILE,Unspecified,BROOKLYN,40.69334298237849,-73.99611263289817,"{'latitude': '40.69334298237849', 'longitude': '-73.99611263289817', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,
58878911,2023-09-20T21:59:00.000,2023-09-20T23:05:00.000,DOT,Department of Transportation,Traffic Signal Condition,Controller,,,,,,,BOAT BASIN RD,MERIDIAN RD,INTERSECTION,,,Closed,Service Request status for this request is available on the Department of Transportationâs website. Please click the âLearn Moreâ link below.,2023-09-20T23:05:00.000,Unspecified QUEENS,,QUEENS,,,UNKNOWN,Unspecified,QUEENS,,,,N/A,,,,,
58871032,2023-09-20T21:59:00.000,2023-09-21T00:40:00.000,DOT,Department of Transportation,Traffic Signal Condition,Controller,,11229,,,,,AVENUE R,EAST 12 STREET,INTERSECTION,BROOKLYN,,Closed,Service Request status for this request is available on the Department of Transportationâs website. Please click the âLearn Moreâ link below.,2023-09-21T00:40:00.000,15 BROOKLYN,,BROOKLYN,995154,159868,UNKNOWN,Unspecified,BROOKLYN,40.6054703522568,-73.96073092613477,"{'latitude': '40.6054703522568', 'longitude': '-73.96073092613477', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",N/A,,,,,
58877301,2023-09-20T21:59:00.000,2023-09-21T01:46:00.000,DEP,Department of Environmental Protection,Noise,Noise: Construction Before/After Hours (NM1),,10038,100 MAIDEN LANE,MAIDEN LANE,GOLD ST,PEARL ST,,,ADDRESS,NEW YORK,,Closed,The Department of Environmental Protection determined that this complaint is a duplicate of a previously filed complaint. The original complaint is being addressed.,2023-09-21T01:46:00.000,01 MANHATTAN,1000420001,MANHATTAN,982312,196807,ONLINE,Unspecified,MANHATTAN,40.706866299284606,-74.00699002392852,"{'latitude': '40.706866299284606', 'longitude': '-74.00699002392852', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",N/A,,,,,
58875882,2023-09-20T21:58:54.000,2023-09-20T23:01:43.000,DSNY,Department of Sanitation,Vendor Enforcement,Food Vendor,Street,11356,13-03 COLLEGE POINT BOULEVARD,COLLEGE POINT BOULEVARD,13 AVENUE,14 AVENUE,13 AVENUE,14 AVENUE,ADDRESS,COLLEGE POINT,COLLEGE POINT BOULEVARD,Closed,N/A,2023-09-20T23:01:49.000,07 QUEENS,4039970022,QUEENS,1026978,225915,ONLINE,Unspecified,QUEENS,40.786657368852936,-73.84570287600172,"{'latitude': '40.786657368852936', 'longitude': '-73.84570287600172', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,
58877430,2023-09-20T21:58:52.000,2023-09-20T22:25:07.000,NYPD,New York City Police Department,Illegal Parking,Commercial Overnight Parking,Street/Sidewalk,11235,2675 EAST    7 STREET,EAST    7 STREET,MONTAUK COURT,SHORE PARKWAY,MONTAUK COURT,SHORE PARKWAY,ADDRESS,BROOKLYN,EAST    7 STREET,Closed,The Police Department issued a summons in response to the complaint.,2023-09-20T22:25:09.000,13 BROOKLYN,3072440105,BROOKLYN,994891,152522,MOBILE,Unspecified,BROOKLYN,40.58530738343484,-73.9616896501558,"{'latitude': '40.58530738343484', 'longitude': '-73.9616896501558', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,
58872460,2023-09-20T21:58:51.000,2023-09-21T01:07:07.000,NYPD,New York City Police Department,Noise - Street/Sidewalk,Loud Music/Party,Street/Sidewalk,10473,502 SOUNDVIEW AVENUE,SOUNDVIEW AVENUE,LELAND AVENUE,THIERIOT AVENUE,LELAND AVENUE,THIERIOT AVENUE,ADDRESS,BRONX,SOUNDVIEW AVENUE,Closed,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,2023-09-21T01:07:12.000,09 BRONX,2035240012,BRONX,1023003,236435,ONLINE,Unspecified,BRONX,40.81555017796527,-73.85999644603105,"{'latitude': '40.81555017796527', 'longitude': '-73.85999644603105', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,
58877740,2023-09-20T21:58:42.000,2023-09-20T22:24:52.000,NYPD,New York City Police Department,Noise - Street/Sidewalk,Loud Music/Party,Street/Sidewalk,10001,107 WEST   25 STREET,WEST   25 STREET,AVENUE OF THE AMERICAS,7 AVENUE,AVENUE OF THE AMERICAS,7 AVENUE,ADDRESS,NEW YORK,WEST   25 STREET,Closed,The Police Department responded to the complaint and took action to fix the condition.,2023-09-20T22:24:58.000,04 MANHATTAN,1008010030,MANHATTAN,986353,210491,ONLINE,Unspecified,MANHATTAN,40.744425515906904,-73.99241057401285,"{'latitude': '40.744425515906904', 'longitude': '-73.99241057401285', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,
58872893,2023-09-20T21:58:40.000,2023-09-21T12:05:47.000,DOHMH,Department of Health and Mental Hygiene,Rodent,Rat Sighting,3+ Family Apt. Building,11206,301 WALLABOUT STREET,WALLABOUT STREET,HARRISON AVENUE,THROOP AVENUE,HARRISON AVENUE,THROOP AVENUE,ADDRESS,BROOKLYN,WALLABOUT STREET,Closed,This service request was closed because the Department of Health and Mental Hygiene received an earlier complaint about the same location.  You can find inspection results for this address by going to the online Rat Portal at www.nyc.gov/rats.,2023-09-20T21:58:40.000,01 BROOKLYN,3022500043,BROOKLYN,998735,195127,PHONE,Unspecified,BROOKLYN,40.70224345138861,-73.94775878153551,"{'latitude': '40.70224345138861', 'longitude': '-73.94775878153551', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,
58881020,2023-09-20T21:58:39.000,,DHS,Department of Homeless Services,Homeless Person Assistance,,Residential Building/House,10027,103 WEST  131 STREET,WEST  131 STREET,LENOX AVENUE,ADAM CLAYTON POWELL JR BOULEVARD,LENOX AVENUE,ADAM CLAYTON POWELL JR BOULEVARD,ADDRESS,NEW YORK,WEST  131 STREET,Closed,"The mobile outreach response team offered services to the individual, but the individual did not accept assistance.",2023-09-20T22:45:10.000,10 MANHATTAN,1019160028,MANHATTAN,999968,235038,PHONE,Unspecified,MANHATTAN,40.81178682111867,-73.94321857284515,"{'latitude': '40.81178682111867', 'longitude': '-73.94321857284515', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,
58877768,2023-09-20T21:58:34.000,2023-09-20T22:36:55.000,NYPD,New York City Police Department,Noise - Street/Sidewalk,Loud Music/Party,Street/Sidewalk,10031,3495 BROADWAY,BROADWAY,WEST  142 STREET,WEST  143 STREET,WEST  142 STREET,WEST  143 STREET,ADDRESS,NEW YORK,BROADWAY,Closed,The Police Department responded to the complaint and took action to fix the condition.,2023-09-20T22:36:58.000,09 MANHATTAN,1020890033,MANHATTAN,997661,239832,ONLINE,Unspecified,MANHATTAN,40.82494880432053,-73.95154305067291,"{'latitude': '40.82494880432053', 'longitude': '-73.95154305067291', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,
58872401,2023-09-20T21:58:13.000,2023-09-20T22:33:07.000,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,Residential Building/House,11208,183 ATKINS AVENUE,ATKINS AVENUE,GLENMORE AVENUE,PITKIN AVENUE,GLENMORE AVENUE,PITKIN AVENUE,ADDRESS,BROOKLYN,ATKINS AVENUE,Closed,The Police Department responded to the complaint and took action to fix the condition.,2023-09-20T22:33:13.000,05 BROOKLYN,3040070044,BROOKLYN,1017807,185109,ONLINE,Unspecified,BROOKLYN,40.67469459637322,-73.87902417071653,"{'latitude': '40.67469459637322', 'longitude': '-73.87902417071653', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,
58876263,2023-09-20T21:57:58.000,2023-09-20T22:11:29.000,NYPD,New York City Police Department,Blocked Driveway,No Access,Street/Sidewalk,11212,42 EAST   95 STREET,EAST   95 STREET,EAST NEW YORK AVENUE,RUTLAND ROAD,EAST NEW YORK AVENUE,RUTLAND ROAD,ADDRESS,BROOKLYN,EAST   95 STREET,Closed,The Police Department responded and upon arrival those responsible for the condition were gone.,2023-09-20T22:11:33.000,17 BROOKLYN,3045970024,BROOKLYN,1004643,181288,PHONE,Unspecified,BROOKLYN,40.66424692100493,-73.92649303629338,"{'latitude': '40.66424692100493', 'longitude': '-73.92649303629338', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,
58876426,2023-09-20T21:57:54.000,2023-09-20T22:03:43.000,NYPD,New York City Police Department,Noise - Street/Sidewalk,Loud Music/Party,Street/Sidewalk,10001,6 AVENUE,6 AVENUE,6 AVENUE,WEST   34 STREET,6 AVENUE,WEST   34 STREET,INTERSECTION,,,Closed,The Police Department responded to the complaint and took action to fix the condition.,2023-09-20T22:03:47.000,05 MANHATTAN,,MANHATTAN,987639,212445,ONLINE,Unspecified,MANHATTAN,40.74978835571634,-73.98776859948752,"{'latitude': '40.74978835571634', 'longitude': '-73.98776859948752', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,
58878225,2023-09-20T21:57:42.000,2023-09-21T02:40:49.000,NYPD,New York City Police Department,Illegal Parking,Blocked Hydrant,Street/Sidewalk,11378,66-21 53 ROAD,53 ROAD,66 STREET,68 STREET,66 STREET,68 STREET,ADDRESS,MASPETH,53 ROAD,Closed,The Police Department responded and upon arrival those responsible for the condition were gone.,2023-09-21T02:40:55.000,05 QUEENS,4024060048,QUEENS,1012281,205502,ONLINE,Unspecified,QUEENS,40.73068777960759,-73.89886096586127,"{'latitude': '40.73068777960759', 'longitude': '-73.89886096586127', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,
58880402,2023-09-20T21:57:38.000,2023-09-20T22:33:48.000,NYPD,New York City Police Department,Noise - Street/Sidewalk,Loud Music/Party,Street/Sidewalk,10458,2356 GRAND CONCOURSE,GRAND CONCOURSE,FIELD PLACE,EAST  184 STREET,FIELD PLACE,EAST  184 STREET,ADDRESS,BRONX,GRAND CONCOURSE,Closed,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,2023-09-20T22:33:53.000,05 BRONX,2031590040,BRONX,1012168,252211,MOBILE,Unspecified,BRONX,40.85889158173821,-73.89907450833981,"{'latitude': '40.85889158173821', 'longitude': '-73.89907450833981', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,
58876350,2023-09-20T21:57:16.000,2023-09-20T22:22:17.000,NYPD,New York City Police Department,Noise - Park,Loud Music/Party,Park/Playground,11212,BETSY HEAD PARK,BETSY HEAD PARK,HERZL STREET,AMBOY STREET,HERZL STREET,AMBOY STREET,UNRECOGNIZED,BROOKLYN,BETSY HEAD PARK,Closed,The Police Department responded to the complaint and took action to fix the condition.,2023-09-20T22:22:23.000,16 BROOKLYN,3035700001,BROOKLYN,1008255,180767,ONLINE,Betsy Head Park,BROOKLYN,40.6628078358559,-73.91347537508494,"{'latitude': '40.6628078358559', 'longitude': '-73.91347537508494', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,
58880070,2023-09-20T21:57:14.000,2023-09-20T22:10:43.000,NYPD,New York City Police Department,Illegal Parking,Commercial Overnight Parking,Street/Sidewalk,11220,330 49 STREET,49 STREET,3 AVENUE,4 AVENUE,3 AVENUE,4 AVENUE,ADDRESS,BROOKLYN,49 STREET,Closed,The Police Department issued a summons in response to the complaint.,2023-09-20T22:10:48.000,07 BROOKLYN,3007820019,BROOKLYN,980591,175265,ONLINE,Unspecified,BROOKLYN,40.64773783445796,-74.01318567147986,"{'latitude': '40.64773783445796', 'longitude': '-74.01318567147986', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,
58874746,2023-09-20T21:56:41.000,2023-09-20T22:28:57.000,NYPD,New York City Police Department,Illegal Parking,Blocked Hydrant,Street/Sidewalk,11436,137-26 131 AVENUE,131 AVENUE,VAN WYCK EXPRESSWAY,DEAD END,VAN WYCK EXPRESSWAY,DEAD END,ADDRESS,JAMAICA,131 AVENUE,Closed,The Police Department issued a summons in response to the complaint.,2023-09-20T22:29:03.000,12 QUEENS,4120740216,QUEENS,1039599,183647,MOBILE,Unspecified,QUEENS,40.67057231648543,-73.80047438710932,"{'latitude': '40.67057231648543', 'longitude': '-73.80047438710932', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,
58875327,2023-09-20T21:56:40.000,2023-09-27T15:17:02.000,HPD,Department of Housing Preservation and Development,UNSANITARY CONDITION,PESTS,RESIDENTIAL BUILDING,10026,320 MANHATTAN AVENUE,MANHATTAN AVENUE,,,,,ADDRESS,NEW YORK,,Closed,The Department of Housing Preservation and Development inspected the following conditions. No violations were issued. The complaint has been closed.,2023-09-27T00:00:00.000,10 MANHATTAN,1018470068,MANHATTAN,995876,231985,PHONE,Unspecified,MANHATTAN,40.80341351354489,-73.9580062470463,"{'latitude': '40.80341351354489', 'longitude': '-73.9580062470463', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,
58874947,2023-09-20T21:56:16.000,2023-09-20T22:18:12.000,NYPD,New York City Police Department,Blocked Driveway,Partial Access,Street/Sidewalk,11206,22A PULASKI STREET,PULASKI STREET,NOSTRAND AVENUE,MARCY AVENUE,NOSTRAND AVENUE,MARCY AVENUE,ADDRESS,BROOKLYN,PULASKI STREET,Closed,The Police Department responded to the complaint and took action to fix the condition.,2023-09-20T22:18:18.000,03 BROOKLYN,3017740017,BROOKLYN,997907,191462,ONLINE,Unspecified,BROOKLYN,40.69218519744888,-73.95075245508869,"{'latitude': '40.69218519744888', 'longitude': '-73.95075245508869', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,
58876596,2023-09-20T21:56:02.000,2023-10-12T06:57:45.000,HPD,Department of Housing Preservation and Development,PLUMBING,SEWER,RESIDENTIAL BUILDING,11378,58-15 58 AVENUE,58 AVENUE,,,,,ADDRESS,MASPETH,,Closed,"The Department of Housing Preservation and Development was not able to gain access to inspect the following conditions. The complaint has been closed. If the condition still exists, please file a new complaint.",2023-10-12T00:00:00.000,05 QUEENS,4026760058,QUEENS,1008820,201961,PHONE,Unspecified,QUEENS,40.72097889126309,-73.9113615663182,"{'latitude': '40.72097889126309', 'longitude': '-73.9113615663182', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,
58872715,2023-09-20T21:56:02.000,2023-10-12T06:57:45.000,HPD,Department of Housing Preservation and Development,OUTSIDE BUILDING,PAVEMENT,RESIDENTIAL BUILDING,11378,58-15 58 AVENUE,58 AVENUE,,,,,ADDRESS,MASPETH,,Closed,"The Department of Housing Preservation and Development was not able to gain access to inspect the following conditions. The complaint has been closed. If the condition still exists, please file a new complaint.",2023-10-12T00:00:00.000,05 QUEENS,4026760058,QUEENS,1008820,201961,PHONE,Unspecified,QUEENS,40.72097889126309,-73.9113615663182,"{'latitude': '40.72097889126309', 'longitude': '-73.9113615663182', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,
