unique_key,created_date,closed_date,agency,agency_name,complaint_type,descriptor,location_type,incident_zip,incident_address,street_name,cross_street_1,cross_street_2,intersection_street_1,intersection_street_2,address_type,city,landmark,status,resolution_description,resolution_action_updated_date,community_board,bbl,borough,x_coordinate_state_plane,y_coordinate_state_plane,open_data_channel_type,park_facility_name,park_borough,latitude,longitude,location,taxi_pick_up_location,facility_type,taxi_company_borough,bridge_highway_name,bridge_highway_direction,road_ramp,bridge_highway_segment,due_date
58915025,2023-09-24T17:49:52.000,2023-09-24T19:12:26.000,NYPD,New York City Police Department,Blocked Driveway,No Access,Street/Sidewalk,11378,60-43 56 STREET,56 STREET,NURGE AVENUE,ARNOLD AVENUE,NURGE AVENUE,ARNOLD AVENUE,ADDRESS,MASPETH,56 STREET,Closed,The Police Department responded and upon arrival those responsible for the condition were gone.,2023-09-24T19:12:30.000,05 QUEENS,4026430025,QUEENS,1009130,200001,MOBILE,Unspecified,QUEENS,40.71559829856009,-73.91025045946468,"{'latitude': '40.71559829856009', 'longitude': '-73.91025045946468', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,
58910268,2023-09-24T17:49:49.000,2023-09-24T19:48:59.000,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,Residential Building/House,11419,104-35 125 STREET,125 STREET,LIBERTY AVENUE,107 AVENUE,LIBERTY AVENUE,107 AVENUE,ADDRESS,SOUTH RICHMOND HILL,125 STREET,Closed,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,2023-09-24T19:49:04.000,10 QUEENS,4095790077,QUEENS,1034409,189890,MOBILE,Unspecified,QUEENS,40.68773882705397,-73.81913710834745,"{'latitude': '40.68773882705397', 'longitude': '-73.81913710834745', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,
58912502,2023-09-24T17:49:38.000,2023-09-24T20:24:21.000,NYPD,New York City Police Department,Illegal Parking,Posted Parking Sign Violation,Street/Sidewalk,11102,26-42 29 STREET,29 STREET,ASTORIA BOULEVARD,DEAD END,ASTORIA BOULEVARD,DEAD END,ADDRESS,ASTORIA,29 STREET,Closed,The Police Department responded to the complaint and determined that police action was not necessary.,2023-09-24T20:24:29.000,01 QUEENS,4005960062,QUEENS,1006404,219934,MOBILE,Unspecified,QUEENS,40.770316630134175,-73.920018291303,"{'latitude': '40.770316630134175', 'longitude': '-73.920018291303', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,
58910067,2023-09-24T17:49:37.000,2023-09-24T20:12:17.000,NYPD,New York City Police Department,Illegal Parking,Posted Parking Sign Violation,Street/Sidewalk,11357,7-06 160 STREET,160 STREET,POWELLS COVE BOULEVARD,9 AVENUE,POWELLS COVE BOULEVARD,9 AVENUE,ADDRESS,WHITESTONE,160 STREET,Closed,The Police Department responded to the complaint and took action to fix the condition.,2023-09-24T20:12:21.000,07 QUEENS,4045540073,QUEENS,1039231,228665,MOBILE,Unspecified,QUEENS,40.79413762680677,-73.80143310550639,"{'latitude': '40.79413762680677', 'longitude': '-73.80143310550639', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,
58913806,2023-09-24T17:49:14.000,2023-10-05T11:07:38.000,HPD,Department of Housing Preservation and Development,WATER LEAK,SLOW LEAK,RESIDENTIAL BUILDING,10452,1112 GERARD AVENUE,GERARD AVENUE,,,,,ADDRESS,BRONX,,Closed,The Department of Housing Preservation and Development inspected the following conditions. No violations were issued. The complaint has been closed.,2023-10-05T00:00:00.000,04 BRONX,2024780024,BRONX,1005952,242848,PHONE,Unspecified,BRONX,40.83321037861189,-73.9215760657553,"{'latitude': '40.83321037861189', 'longitude': '-73.9215760657553', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,
58915916,2023-09-24T17:49:02.000,2023-09-25T01:51:20.000,NYPD,New York City Police Department,Blocked Driveway,No Access,Street/Sidewalk,11385,508 SENECA AVENUE,SENECA AVENUE,GREENE AVENUE,BLEECKER STREET,GREENE AVENUE,BLEECKER STREET,ADDRESS,RIDGEWOOD,SENECA AVENUE,Closed,The Police Department issued a summons in response to the complaint.,2023-09-25T01:51:28.000,05 QUEENS,4034360034,QUEENS,1008663,196255,PHONE,Unspecified,QUEENS,40.705317724041386,-73.91194864883458,"{'latitude': '40.705317724041386', 'longitude': '-73.91194864883458', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,
58915507,2023-09-24T17:48:59.000,2023-09-27T09:42:07.000,DPR,Department of Parks and Recreation,Overgrown Tree/Branches,Hitting Building,Street,10310,26 DAVIS COURT,DAVIS COURT,DAVIS AVENUE,DEAD END,DAVIS AVENUE,DEAD END,ADDRESS,STATEN ISLAND,DAVIS COURT,Closed,"The Service Request submitted did not have sufficient location or complaint information for NYC Parks to respond.  Please submit a new Service Request with adequate site details, including a full street address and descriptive location information.",2023-09-27T09:42:11.000,01 STATEN ISLAND,5001497501,STATEN ISLAND,953496,173028,PHONE,Unspecified,STATEN ISLAND,40.641545113514844,-74.110815690845,"{'latitude': '40.641545113514844', 'longitude': '-74.110815690845', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,
58915667,2023-09-24T17:47:57.000,,DSNY,Department of Sanitation,Lot Condition,Trash,Lot,10032,467 WEST  157 STREET,WEST  157 STREET,ST NICHOLAS AVENUE,AMSTERDAM AVENUE,ST NICHOLAS AVENUE,AMSTERDAM AVENUE,ADDRESS,NEW YORK,WEST  157 STREET,In Progress,,,12 MANHATTAN,1021080071,MANHATTAN,1000528,242590,ONLINE,Unspecified,MANHATTAN,40.832513905750616,-73.94117724800353,"{'latitude': '40.832513905750616', 'longitude': '-73.94117724800353', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,
58914384,2023-09-24T17:47:44.000,2023-09-24T18:33:54.000,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,Residential Building/House,11373,83-32 CORNISH AVENUE,CORNISH AVENUE,POYER STREET,BROADWAY,POYER STREET,BROADWAY,ADDRESS,ELMHURST,CORNISH AVENUE,Closed,The Police Department responded to the complaint and took action to fix the condition.,2023-09-24T18:33:59.000,04 QUEENS,4015440019,QUEENS,1017254,209028,ONLINE,Unspecified,QUEENS,40.74034861301943,-73.88090053961655,"{'latitude': '40.74034861301943', 'longitude': '-73.88090053961655', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,
58913386,2023-09-24T17:47:38.000,2023-09-24T18:00:28.000,NYPD,New York City Police Department,Noise - Vehicle,Car/Truck Horn,Street/Sidewalk,10024,175 WEST   90 STREET,WEST   90 STREET,COLUMBUS AVENUE,AMSTERDAM AVENUE,COLUMBUS AVENUE,AMSTERDAM AVENUE,ADDRESS,NEW YORK,WEST   90 STREET,Closed,The Police Department responded to the complaint and took action to fix the condition.,2023-09-24T18:00:34.000,07 MANHATTAN,1012210001,MANHATTAN,991800,227126,ONLINE,Unspecified,MANHATTAN,40.79008130221697,-73.97273444547737,"{'latitude': '40.79008130221697', 'longitude': '-73.97273444547737', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,
58910512,2023-09-24T17:47:34.000,2023-09-24T18:18:53.000,NYPD,New York City Police Department,Abandoned Vehicle,With License Plate,Street/Sidewalk,10469,2460 GUNTHER AVENUE,GUNTHER AVENUE,WARING AVENUE,MACE AVENUE,WARING AVENUE,MACE AVENUE,ADDRESS,BRONX,GUNTHER AVENUE,Closed,This complaint does not fall under the Police Department's jurisdiction.,2023-09-24T18:18:59.000,11 BRONX,2044910029,BRONX,1029580,253312,ONLINE,Unspecified,BRONX,40.86184125729604,-73.83612160228938,"{'latitude': '40.86184125729604', 'longitude': '-73.83612160228938', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,
58914800,2023-09-24T17:47:13.000,2023-09-25T13:21:58.000,DSNY,Department of Sanitation,Residential Disposal Complaint,Waste Left in Front of Other Residence,Sidewalk,10002,120 FORSYTH STREET,FORSYTH STREET,BROOME STREET,DELANCEY STREET,BROOME STREET,DELANCEY STREET,ADDRESS,NEW YORK,FORSYTH STREET,Closed,The Department of Sanitation investigated this complaint and found no violation at the location.,2023-09-25T13:22:03.000,03 MANHATTAN,1004190046,MANHATTAN,986354,201313,ONLINE,Unspecified,MANHATTAN,40.71923415734852,-73.99240983513386,"{'latitude': '40.71923415734852', 'longitude': '-73.99240983513386', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,
58914726,2023-09-24T17:47:00.000,2023-09-27T10:54:00.000,DSNY,Department of Sanitation,Electronics Waste Appointment,Ewaste appointment,Sidewalk,10308,189 MAYBURY AVENUE,MAYBURY AVENUE,KEEGANS LANE,FIELDWAY AVENUE,,,ADDRESS,STATEN ISLAND,,Closed,The Department of Sanitation collected the E-waste.,2023-09-27T10:54:00.000,03 STATEN ISLAND,5051160061,STATEN ISLAND,945443,139650,PHONE,Unspecified,STATEN ISLAND,40.54989773113077,-74.13964124310378,"{'latitude': '40.54989773113077', 'longitude': '-74.13964124310378', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,
58912409,2023-09-24T17:47:00.000,2023-09-26T08:10:00.000,DEP,Department of Environmental Protection,Water System,Dirty Water (WE),,11208,627 EMERALD STREET,EMERALD STREET,LORING AVE,STANLEY AVE,,,ADDRESS,BROOKLYN,,Closed,The Department of Environmental Protection resolved this complaint by speaking to the complainant on the phone.,2023-09-26T08:10:00.000,05 BROOKLYN,3045180132,BROOKLYN,1023520,182442,PHONE,Unspecified,BROOKLYN,40.66735078836692,-73.85844389206451,"{'latitude': '40.66735078836692', 'longitude': '-73.85844389206451', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,
58914821,2023-09-24T17:46:46.000,2023-09-26T13:31:50.000,DSNY,Department of Sanitation,Litter Basket Complaint,Overflowing,Sidewalk,11201,20 CADMAN PLAZA WEST,CADMAN PLAZA WEST,EVERIT STREET,ELIZABETH PLACE,EVERIT STREET,ELIZABETH PLACE,ADDRESS,BROOKLYN,CADMAN PLAZA WEST,Closed,The Department of Sanitation investigated this complaint and found no condition at the location.,2023-09-25T15:17:45.000,02 BROOKLYN,3002010005,BROOKLYN,985872,195320,ONLINE,Unspecified,BROOKLYN,40.7027848978745,-73.9941500904659,"{'latitude': '40.7027848978745', 'longitude': '-73.9941500904659', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,
58916338,2023-09-24T17:46:23.000,2023-09-25T07:01:03.000,DPR,Department of Parks and Recreation,Damaged Tree,Branch or Limb Has Fallen Down,Street,10003,115 EAST    9 STREET,EAST    9 STREET,4 AVENUE,3 AVENUE,4 AVENUE,3 AVENUE,ADDRESS,NEW YORK,EAST    9 STREET,Closed,NYC Parks visited the location but could not find the tree condition you reported.,2023-09-25T07:01:10.000,03 MANHATTAN,1005550028,MANHATTAN,987032,205361,PHONE,Unspecified,MANHATTAN,40.73034474775498,-73.98996228166473,"{'latitude': '40.73034474775498', 'longitude': '-73.98996228166473', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,
58913499,2023-09-24T17:46:07.000,2023-09-24T18:25:52.000,NYPD,New York City Police Department,Noise - Commercial,Loud Music/Party,Club/Bar/Restaurant,11232,163 26 STREET,26 STREET,3 AVENUE,4 AVENUE,3 AVENUE,4 AVENUE,ADDRESS,BROOKLYN,26 STREET,Closed,The Police Department responded to the complaint and took action to fix the condition.,2023-09-24T18:25:57.000,07 BROOKLYN,3006540001,BROOKLYN,984305,179968,ONLINE,Unspecified,BROOKLYN,40.660647297930005,-73.99980176215517,"{'latitude': '40.660647297930005', 'longitude': '-73.99980176215517', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,
58914998,2023-09-24T17:46:05.000,2023-09-24T20:11:57.000,NYPD,New York City Police Department,Illegal Parking,Posted Parking Sign Violation,Street/Sidewalk,11357,7-12 160 STREET,160 STREET,POWELLS COVE BOULEVARD,9 AVENUE,POWELLS COVE BOULEVARD,9 AVENUE,ADDRESS,WHITESTONE,160 STREET,Closed,The Police Department responded to the complaint and took action to fix the condition.,2023-09-24T20:12:01.000,07 QUEENS,4045540077,QUEENS,1039231,228663,MOBILE,Unspecified,QUEENS,40.79413213736191,-73.8014331218798,"{'latitude': '40.79413213736191', 'longitude': '-73.8014331218798', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,
58911000,2023-09-24T17:46:00.000,2023-09-24T20:00:00.000,DOT,Department of Transportation,Traffic Signal Condition,Controller,,10312,,,,,RICHMOND AVENUE,ARTHUR KILL ROAD,INTERSECTION,STATEN ISLAND,,Closed,Service Request status for this request is available on the Department of Transportationâs website. Please click the âLearn Moreâ link below.,2023-09-24T20:00:00.000,02 STATEN ISLAND,,STATEN ISLAND,937062,143743,UNKNOWN,Unspecified,STATEN ISLAND,40.56109157965003,-74.16982751543821,"{'latitude': '40.56109157965003', 'longitude': '-74.16982751543821', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,N/A,,,,,,
58915019,2023-09-24T17:45:56.000,2023-10-10T00:00:00.000,DOB,Department of Buildings,Special Projects Inspection Team (SPIT),Illegal Conversion Of Manufacturing/Industrial Space,,11103,24-32 44 STREET,44 STREET,,,,,ADDRESS,ASTORIA,,Closed,The Department of Buildings reviewed this complaint and referred it to the Department of Environmental Protection for further action.,2023-10-10T00:00:00.000,01 QUEENS,4006890037,QUEENS,1009776,218821,UNKNOWN,Unspecified,QUEENS,40.7672526423028,-73.90784872877327,"{'latitude': '40.7672526423028', 'longitude': '-73.90784872877327', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,N/A,,,,,,
58913744,2023-09-24T17:45:46.000,2023-09-25T20:52:14.000,HPD,Department of Housing Preservation and Development,HEAT/HOT WATER,ENTIRE BUILDING,RESIDENTIAL BUILDING,10075,1475 1 AVENUE,1 AVENUE,,,,,ADDRESS,NEW YORK,,Closed,"The Department of Housing Preservation and Development responded to a complaint of no heat or hot water and was advised by a tenant in the building that heat and hot water had been restored. If the condition still exists, please file a new complaint.",2023-09-25T00:00:00.000,08 MANHATTAN,1014510030,MANHATTAN,997064,220146,ONLINE,Unspecified,MANHATTAN,40.770916987781405,-73.953737710584,"{'latitude': '40.770916987781405', 'longitude': '-73.953737710584', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,
58910036,2023-09-24T17:45:42.000,2023-09-24T17:53:31.000,NYPD,New York City Police Department,Illegal Parking,Blocked Sidewalk,Street/Sidewalk,11231,191 UNION STREET,UNION STREET,HICKS STREET,HENRY STREET,HICKS STREET,HENRY STREET,ADDRESS,BROOKLYN,UNION STREET,Closed,The Police Department responded to the complaint and took action to fix the condition.,2023-09-24T17:53:33.000,06 BROOKLYN,3003370027,BROOKLYN,984166,188346,ONLINE,Unspecified,BROOKLYN,40.68364302931577,-74.00030286766025,"{'latitude': '40.68364302931577', 'longitude': '-74.00030286766025', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,
58912173,2023-09-24T17:45:38.000,2023-11-20T11:31:29.000,DPR,Department of Parks and Recreation,Maintenance or Facility,Structure - Outdoors,Park,11229,MARINE PARK,MARINE PARK,BURNETT STREET,EAST   33 STREET,BURNETT STREET,EAST   33 STREET,UNRECOGNIZED,BROOKLYN,MARINE PARK,Closed,NYC Parks has completed the requested work order and corrected the problem.,2023-11-20T11:31:35.000,18 BROOKLYN,3085900600,BROOKLYN,1006747,156658,MOBILE,Marine Park,BROOKLYN,40.59663770945727,-73.91899123356184,"{'latitude': '40.59663770945727', 'longitude': '-73.91899123356184', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,
58913184,2023-09-24T17:45:13.000,2023-09-25T06:40:18.000,DSNY,Department of Sanitation,Obstruction,Cone,Street,10034,597 WEST  207 STREET,WEST  207 STREET,VERMILYEA AVENUE,BROADWAY,VERMILYEA AVENUE,BROADWAY,ADDRESS,NEW YORK,WEST  207 STREET,Closed,"The Department of Sanitation has investigated the complaint and addressed the issue. If the problem persists, call 311 to enter a new complaint. If you are outside of New York City, please call (212) NEW-YORK (212-639-9675).",2023-09-25T06:40:18.000,12 MANHATTAN,1022360001,MANHATTAN,1006124,255250,PHONE,Unspecified,MANHATTAN,40.86724975911811,-73.92091405211963,"{'latitude': '40.86724975911811', 'longitude': '-73.92091405211963', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,
58912143,2023-09-24T17:44:54.000,2023-09-25T08:13:47.000,DPR,Department of Parks and Recreation,Damaged Tree,Branch Cracked and Will Fall,Street,11238,406 VANDERBILT AVENUE,VANDERBILT AVENUE,GREENE AVENUE,GATES AVENUE,GREENE AVENUE,GATES AVENUE,ADDRESS,BROOKLYN,VANDERBILT AVENUE,Closed,"NYC Parks created a work order for the tree condition.  Please note that addressing this work can take up to a year or more depending on the higher priority work identified during this period and resources available to address this work.    NYC Parks work priority categories range from Category A through D, with A being the most critical and time-sensitive. We will complete all work in Category A first and address work in lower priority categories in accordance with available resources. For more information about the Tree Risk Management Program, visit the NYC Urban Forest page on the NYC Parks website at nyc.gov/parks/trees.   Alternatively, you may choose complete the work yourself by hiring an independent contractor. The contractor must complete a Tree Work Permit application on the NYC Parks website at nyc.gov/parks/trees.",2023-09-25T08:13:52.000,02 BROOKLYN,3019590056,BROOKLYN,993049,188937,ONLINE,Unspecified,BROOKLYN,40.685260816214765,-73.96827384220533,"{'latitude': '40.685260816214765', 'longitude': '-73.96827384220533', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,
58912141,2023-09-24T17:44:42.000,2023-10-05T11:51:10.000,TLC,Taxi and Limousine Commission,For Hire Vehicle Complaint,Driver Complaint - Passenger,Street,10029,1761 3 AVENUE,3 AVENUE,EAST   97 STREET,EAST   98 STREET,EAST   97 STREET,EAST   98 STREET,ADDRESS,NEW YORK,3 AVENUE,Closed,"Based on the information provided by the customer, the Taxi and Limousine Commission has determined that a hearing is not necessary or not possible.",2023-10-05T11:51:12.000,11 MANHATTAN,1016470001,MANHATTAN,998477,225691,ONLINE,Unspecified,MANHATTAN,40.786134385666685,-73.94862462715466,"{'latitude': '40.786134385666685', 'longitude': '-73.94862462715466', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}","1761 3 AVENUE, MANHATTAN (NEW YORK), NY, 10029",,MANHATTAN,,,,,
58916130,2023-09-24T17:44:32.000,2023-09-24T20:12:40.000,NYPD,New York City Police Department,Noise - Street/Sidewalk,Loud Music/Party,Street/Sidewalk,11420,110-00 ROCKAWAY BOULEVARD,ROCKAWAY BOULEVARD,110 STREET,111 STREET,110 STREET,111 STREET,ADDRESS,SOUTH OZONE PARK,ROCKAWAY BOULEVARD,Closed,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,2023-09-24T20:12:46.000,10 QUEENS,4115430002,QUEENS,1031748,186217,MOBILE,Unspecified,QUEENS,40.67767197798516,-73.82875798470205,"{'latitude': '40.67767197798516', 'longitude': '-73.82875798470205', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,
