unique_key,created_date,closed_date,agency,agency_name,complaint_type,descriptor,location_type,incident_zip,incident_address,street_name,address_type,city,status,resolution_description,resolution_action_updated_date,community_board,bbl,borough,x_coordinate_state_plane,y_coordinate_state_plane,open_data_channel_type,park_facility_name,park_borough,latitude,longitude,location,cross_street_1,cross_street_2,intersection_street_1,intersection_street_2,landmark,facility_type,bridge_highway_name,bridge_highway_segment,due_date,bridge_highway_direction,road_ramp,taxi_pick_up_location
58777393,2023-09-11T19:17:00.000,2023-09-12T13:35:00.000,DEP,Department of Environmental Protection,Sewer,Culvert Blocked/Needs Cleaning (SE),,11236,,,INTERSECTION,BROOKLYN,Closed,The Department of Environmental Protection has investigated this complaint and found that debris was obstructing the catch basin.,2023-09-12T13:35:00.000,18 BROOKLYN,,BROOKLYN,1011865,168704,PHONE,Unspecified,BROOKLYN,40.629687004378994,-73.90051273290729,"{'latitude': '40.629687004378994', 'longitude': '-73.90051273290729', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,AVENUE N,EAST 85 STREET,,,,,,,,
58787269,2023-09-11T19:17:00.000,2023-09-12T02:00:00.000,DEP,Department of Environmental Protection,Sewer,Sewer Backup (Use Comments) (SA),,11218,34 EAST   10 STREET,EAST   10 STREET,ADDRESS,BROOKLYN,Closed,The Department of Environmental Protection has investigated this complaint. Surcharge conditions have been confirmed due to rain intensity or volume.,2023-09-12T02:00:00.000,14 BROOKLYN,3050700017,BROOKLYN,992425,175230,ONLINE,Unspecified,BROOKLYN,40.64763874977474,-73.97054039193969,"{'latitude': '40.64763874977474', 'longitude': '-73.97054039193969', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",CATON AVE,CHURCH AVE,,,,,,,,,,
58782988,2023-09-11T19:17:00.000,2023-09-11T20:50:00.000,DEP,Department of Environmental Protection,Sewer,Street Flooding (SJ),,11226,50 PARKSIDE AVENUE,PARKSIDE AVENUE,ADDRESS,BROOKLYN,Closed,"The Department of Environment Protection inspected your complaint but could not find the problem you reported. If the condition persists, please call 311 (or 212-639-9675 if calling from a non-New York City area code) with more detailed information to submit a new complaint.",2023-09-11T20:50:00.000,14 BROOKLYN,3050510001,BROOKLYN,992921,176888,PHONE,Unspecified,BROOKLYN,40.6521891278227,-73.96875086425224,"{'latitude': '40.6521891278227', 'longitude': '-73.96875086425224', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",BEND,PARADE PL,,,,,,,,,,
58781573,2023-09-11T19:17:00.000,2023-09-11T20:45:00.000,DEP,Department of Environmental Protection,Sewer,Sewer Backup (Use Comments) (SA),,11214,153 BAY   26 STREET,BAY   26 STREET,ADDRESS,BROOKLYN,Closed,The Department of Environmental Protection has investigated this complaint. Surcharge conditions have been confirmed due to rain intensity or volume.,2023-09-11T20:45:00.000,11 BROOKLYN,3064117501,BROOKLYN,984299,158166,ONLINE,Unspecified,BROOKLYN,40.60080541694496,-73.99982354639438,"{'latitude': '40.60080541694496', 'longitude': '-73.99982354639438', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",BENSON AVE,BATH AVE,,,,,,,,,,
58785504,2023-09-11T19:16:59.000,2023-09-22T13:59:28.000,DOT,Department of Transportation,Street Condition,"Rough, Pitted or Cracked Roads",Street,11238,ATLANTIC AVENUE,ATLANTIC AVENUE,INTERSECTION,,Closed,"The Department of Transportation inspected the condition and issued a Corrective Action Repair (CAR) to the contractor or utility company. The responsible party has a maximum of 30 days to correct the condition. If the condition still exists, a summons will be issued. In some cases, the Department of Transportation will make the repairs and charge the responsible party for the costs.",2023-09-22T13:59:33.000,02 BROOKLYN,,BROOKLYN,993816,187510,ONLINE,Unspecified,BROOKLYN,40.681343231030795,-73.96551033099024,"{'latitude': '40.681343231030795', 'longitude': '-73.96551033099024', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",ATLANTIC AVENUE,WAVERLY AVENUE,ATLANTIC AVENUE,WAVERLY AVENUE,,,,,,,,
58783262,2023-09-11T19:16:59.000,2023-09-11T20:11:48.000,NYPD,New York City Police Department,Blocked Driveway,No Access,Street/Sidewalk,10467,2759 CRUGER AVENUE,CRUGER AVENUE,ADDRESS,BRONX,Closed,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,2023-09-11T20:11:52.000,11 BRONX,2045090039,BRONX,1021223,254926,PHONE,Unspecified,BRONX,40.866310149767784,-73.86632512694302,"{'latitude': '40.866310149767784', 'longitude': '-73.86632512694302', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",ALLERTON AVENUE,ARNOW AVENUE,ALLERTON AVENUE,ARNOW AVENUE,CRUGER AVENUE,,,,,,,
58787462,2023-09-11T19:16:18.000,2023-09-11T20:18:59.000,NYPD,New York City Police Department,Illegal Parking,Double Parked Blocking Vehicle,Street/Sidewalk,11416,97-34 104 STREET,104 STREET,ADDRESS,OZONE PARK,Closed,The Police Department responded to the complaint and took action to fix the condition.,2023-09-11T20:19:05.000,09 QUEENS,4094050021,QUEENS,1028689,189847,ONLINE,Unspecified,QUEENS,40.687651369906874,-73.83976246990134,"{'latitude': '40.687651369906874', 'longitude': '-73.83976246990134', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",97 AVENUE,101 AVENUE,97 AVENUE,101 AVENUE,104 STREET,,,,,,,
58781341,2023-09-11T19:16:09.000,,DHS,Department of Homeless Services,Homeless Person Assistance,,Subway,,,,ADDRESS,,Closed,"The mobile outreach response team offered services to the individual, but the individual did not accept assistance.",2023-10-13T10:43:25.000,Unspecified MANHATTAN,,MANHATTAN,988886,213987,MOBILE,Unspecified,MANHATTAN,40.75402018955593,-73.98326692968377,"{'latitude': '40.75402018955593', 'longitude': '-73.98326692968377', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,F,Mezzanine,,,,
58778626,2023-09-11T19:16:08.000,2023-09-11T21:34:30.000,NYPD,New York City Police Department,Illegal Parking,Blocked Crosswalk,Street/Sidewalk,10468,2822 WEBB AVENUE,WEBB AVENUE,ADDRESS,BRONX,Closed,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,2023-09-11T21:34:36.000,08 BRONX,2032500059,BRONX,1011682,257252,MOBILE,Unspecified,BRONX,40.872729111271745,-73.9008107951519,"{'latitude': '40.872729111271745', 'longitude': '-73.9008107951519', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",WEST  197 STREET,RESERVOIR AVENUE,WEST  197 STREET,RESERVOIR AVENUE,WEBB AVENUE,,,,,,,
58779433,2023-09-11T19:15:46.000,,HPD,Department of Housing Preservation and Development,WATER LEAK,HEAVY FLOW,RESIDENTIAL BUILDING,10453,135 WEST  183 STREET,WEST  183 STREET,ADDRESS,BRONX,Open,The following complaint conditions are still open. HPD may attempt to contact you to verify the correction of the condition or may conduct an inspection.,2023-09-11T00:00:00.000,07 BRONX,2032250052,BRONX,1009011,252742,PHONE,Unspecified,BRONX,40.86035843536973,-73.91048531057184,"{'latitude': '40.86035843536973', 'longitude': '-73.91048531057184', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,,,,,
58781387,2023-09-11T19:15:37.000,2023-09-12T11:41:55.000,DSNY,Department of Sanitation,Obstruction,Trash or Recycling,Sidewalk,10036,622 10 AVENUE,10 AVENUE,ADDRESS,NEW YORK,Closed,The Department of Sanitation investigated this complaint and found no condition at the location.,2023-09-12T11:41:59.000,04 MANHATTAN,1010540001,MANHATTAN,985817,216589,ONLINE,Unspecified,MANHATTAN,40.761163091653515,-73.99434350021946,"{'latitude': '40.761163091653515', 'longitude': '-73.99434350021946', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",WEST   44 STREET,WEST   45 STREET,WEST   44 STREET,WEST   45 STREET,10 AVENUE,,,,,,,
58784836,2023-09-11T19:15:36.000,2023-09-11T19:56:23.000,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,Residential Building/House,11369,26-48 91 STREET,91 STREET,ADDRESS,EAST ELMHURST,Closed,The Police Department responded to the complaint and took action to fix the condition.,2023-09-11T19:56:26.000,03 QUEENS,4013640042,QUEENS,1018014,217108,MOBILE,Unspecified,QUEENS,40.76252327925288,-73.87811740882856,"{'latitude': '40.76252327925288', 'longitude': '-73.87811740882856', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",ASTORIA BOULEVARD,30 AVENUE,ASTORIA BOULEVARD,30 AVENUE,91 STREET,,,,,,,
58785736,2023-09-11T19:15:36.000,2023-09-13T03:33:23.000,DSNY,Department of Sanitation,Illegal Dumping,Chronic Dumping,Street,11215,433 CARROLL STREET,CARROLL STREET,ADDRESS,BROOKLYN,Closed,The Department of Sanitation investigated this complaint and found no condition at the location.,2023-09-13T03:33:25.000,06 BROOKLYN,3004470059,BROOKLYN,987648,186162,MOBILE,Unspecified,BROOKLYN,40.67764779333199,-73.9877493833793,"{'latitude': '40.67764779333199', 'longitude': '-73.9877493833793', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",NEVINS STREET,3 AVENUE,NEVINS STREET,3 AVENUE,CARROLL STREET,,,,,,,
58784981,2023-09-11T19:15:35.000,2023-09-27T19:10:40.000,HPD,Department of Housing Preservation and Development,PAINT/PLASTER,DOOR/FRAME,RESIDENTIAL BUILDING,10472,1337 BEACH AVENUE,BEACH AVENUE,ADDRESS,BRONX,Closed,The Department of Housing Preservation and Development inspected the following conditions. No violations were issued. The complaint has been closed.,2023-09-27T00:00:00.000,09 BRONX,2038760058,BRONX,1021123,243214,PHONE,Unspecified,BRONX,40.834164632291376,-73.86675108600352,"{'latitude': '40.834164632291376', 'longitude': '-73.86675108600352', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,,,,,
58785052,2023-09-11T19:15:31.000,2023-09-12T19:35:19.000,HPD,Department of Housing Preservation and Development,UNSANITARY CONDITION,MOLD,RESIDENTIAL BUILDING,10469,3025 PAULDING AVENUE,PAULDING AVENUE,ADDRESS,BRONX,Closed,The Department of Housing Preservation and Development was unable to access the rooms where the following  conditions were reported. No violations were issued. The complaint has been closed.,2023-09-12T00:00:00.000,12 BRONX,2045760041,BRONX,1023374,256258,ONLINE,Unspecified,BRONX,40.8699568077562,-73.85854048128442,"{'latitude': '40.8699568077562', 'longitude': '-73.85854048128442', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,,,,,
58785061,2023-09-11T19:15:31.000,2023-09-12T19:35:20.000,HPD,Department of Housing Preservation and Development,UNSANITARY CONDITION,PESTS,RESIDENTIAL BUILDING,10469,3025 PAULDING AVENUE,PAULDING AVENUE,ADDRESS,BRONX,Closed,The Department of Housing Preservation and Development inspected the following conditions. Violations were issued. Information about specific violations is available at www.nyc.gov/hpd,2023-09-12T00:00:00.000,12 BRONX,2045760041,BRONX,1023374,256258,ONLINE,Unspecified,BRONX,40.8699568077562,-73.85854048128442,"{'latitude': '40.8699568077562', 'longitude': '-73.85854048128442', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,,,,,
58780636,2023-09-11T19:15:31.000,2023-09-17T10:46:17.000,HPD,Department of Housing Preservation and Development,ELECTRIC,POWER OUTAGE,RESIDENTIAL BUILDING,10469,3025 PAULDING AVENUE,PAULDING AVENUE,ADDRESS,BRONX,Closed,The Department of Housing Preservation and Development inspected the following conditions. No violations were issued. The complaint has been closed.,2023-09-17T00:00:00.000,12 BRONX,2045760041,BRONX,1023374,256258,ONLINE,Unspecified,BRONX,40.8699568077562,-73.85854048128442,"{'latitude': '40.8699568077562', 'longitude': '-73.85854048128442', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,,,,,
58780232,2023-09-11T19:14:55.000,2023-09-11T19:17:39.000,NYPD,New York City Police Department,Illegal Parking,Blocked Hydrant,Street/Sidewalk,11208,276 ETNA STREET,ETNA STREET,ADDRESS,BROOKLYN,Closed,The Police Department responded to the complaint and determined that police action was not necessary.,2023-09-11T19:17:44.000,05 BROOKLYN,3041180020,BROOKLYN,1019290,189529,MOBILE,Unspecified,BROOKLYN,40.686820734410475,-73.87365485433169,"{'latitude': '40.686820734410475', 'longitude': '-73.87365485433169', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",PINE STREET,CRESCENT STREET,PINE STREET,CRESCENT STREET,ETNA STREET,,,,,,,
58782405,2023-09-11T19:14:54.000,2023-09-12T00:01:38.000,NYPD,New York City Police Department,Animal-Abuse,Neglected,Residential Building/House,10467,652 EAST  219 STREET,EAST  219 STREET,ADDRESS,BRONX,Closed,The Police Department responded to the complaint and determined that police action was not necessary.,2023-09-12T00:01:41.000,12 BRONX,2046500046,BRONX,1021697,261417,ONLINE,Unspecified,BRONX,40.88412392498993,-73.86457511414902,"{'latitude': '40.88412392498993', 'longitude': '-73.86457511414902', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",OLINVILLE AVENUE,WILLETT AVENUE,OLINVILLE AVENUE,WILLETT AVENUE,EAST  219 STREET,,,,,,,
58785684,2023-09-11T19:14:48.000,2023-09-11T19:50:50.000,NYPD,New York City Police Department,Illegal Parking,Paper License Plates,Street/Sidewalk,10040,563 WEST  193 STREET,WEST  193 STREET,ADDRESS,NEW YORK,Closed,The Police Department responded and upon arrival those responsible for the condition were gone.,2023-09-11T19:50:54.000,12 MANHATTAN,1021610033,MANHATTAN,1004253,251361,MOBILE,Unspecified,MANHATTAN,40.85658006885021,-73.92769029911618,"{'latitude': '40.85658006885021', 'longitude': '-73.92769029911618', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",AUDUBON AVENUE,FORT GEORGE AVENUE,AUDUBON AVENUE,FORT GEORGE AVENUE,WEST  193 STREET,,,,,,,
58781645,2023-09-11T19:14:32.000,2023-09-11T19:26:42.000,NYPD,New York City Police Department,Illegal Parking,Blocked Hydrant,Street/Sidewalk,11215,313 12 STREET,12 STREET,ADDRESS,BROOKLYN,Closed,The Police Department responded to the complaint and determined that police action was not necessary.,2023-09-11T19:26:45.000,06 BROOKLYN,3010230067,BROOKLYN,987954,182218,MOBILE,Unspecified,BROOKLYN,40.66682227503063,-73.9866483462417,"{'latitude': '40.66682227503063', 'longitude': '-73.9866483462417', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",5 AVENUE,6 AVENUE,5 AVENUE,6 AVENUE,12 STREET,,,,,,,
58784135,2023-09-11T19:14:17.000,2023-09-11T19:34:53.000,NYPD,New York City Police Department,Encampment,N/A,Street/Sidewalk,11374,98-02 QUEENS BOULEVARD,QUEENS BOULEVARD,ADDRESS,REGO PARK,Closed,The Police Department visited the location and no Encampment was found.,2023-09-11T19:34:56.000,06 QUEENS,4030860007,QUEENS,1023609,204730,ONLINE,Unspecified,QUEENS,40.72852567802005,-73.85799283119037,"{'latitude': '40.72852567802005', 'longitude': '-73.85799283119037', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",65 AVENUE,65 ROAD,65 AVENUE,65 ROAD,QUEENS BOULEVARD,,,,,,,
58782975,2023-09-11T19:14:00.000,2023-09-11T19:50:00.000,DEP,Department of Environmental Protection,Sewer,Sewer Backup (Use Comments) (SA),,10305,15 HOPE AVENUE,HOPE AVENUE,ADDRESS,STATEN ISLAND,Closed,The Department of Environmental Protection has investigated this complaint. Surcharge conditions have been confirmed due to rain intensity or volume.,2023-09-11T19:50:00.000,01 STATEN ISLAND,5028620114,STATEN ISLAND,966390,161682,ONLINE,Unspecified,STATEN ISLAND,40.61043812022529,-74.06432482475483,"{'latitude': '40.61043812022529', 'longitude': '-74.06432482475483', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",BAY ST,HOME AVE,,,,,,,,,,
58780118,2023-09-11T19:14:00.000,2023-09-12T21:45:00.000,DEP,Department of Environmental Protection,Noise,Noise: Construction Before/After Hours (NM1),,11101,34-44 43 STREET,43 STREET,ADDRESS,LONG ISLAND CITY,Closed,"The Department of Environmental Protection (DEP) didn't observe a violation of the NYC Air or Noise Code at the time of inspection and couldn't issue a summons.  If the problem still exists, please go to nyc.gov/311 or call 311 to file a new Service Request. If you're outside of New York City, please call (212) NEW-YORK (212-639-9675).",2023-09-12T21:45:00.000,01 QUEENS,4006750049,QUEENS,1006599,214175,ONLINE,Unspecified,QUEENS,40.75450917267871,-73.91933343739068,"{'latitude': '40.75450917267871', 'longitude': '-73.91933343739068', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",34 AVE,35 AVE,,,,N/A,,,,,,
58785819,2023-09-11T19:14:00.000,2023-09-12T21:00:00.000,DEP,Department of Environmental Protection,Noise,Noise: Construction Before/After Hours (NM1),,11102,30-25 30 STREET,30 STREET,ADDRESS,ASTORIA,Closed,"The Department of Environmental Protection (DEP) didn't observe a violation of the NYC Air or Noise Code at the time of inspection and couldn't issue a summons.  If the problem still exists, please go to nyc.gov/311 or call 311 to file a new Service Request. If you're outside of New York City, please call (212) NEW-YORK (212-639-9675).",2023-09-12T21:00:00.000,01 QUEENS,,QUEENS,1005656,218582,ONLINE,Unspecified,QUEENS,40.76660758566804,-73.92272307065524,"{'latitude': '40.76660758566804', 'longitude': '-73.92272307065524', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",30 AVE,30 DR,,,,N/A,,,,,,
58787260,2023-09-11T19:14:00.000,2023-09-11T21:05:00.000,DEP,Department of Environmental Protection,Sewer,Manhole Cover Missing (Emergency) (SA3),,11232,914 3 AVENUE,3 AVENUE,ADDRESS,BROOKLYN,Closed,The Department of Environmental Protection investigated this complaint and resolved the issue with the sewer manhole cover.,2023-09-11T21:05:00.000,07 BROOKLYN,3006870001,BROOKLYN,982751,178465,ONLINE,Unspecified,BROOKLYN,40.65652176658661,-74.00540254823487,"{'latitude': '40.65652176658661', 'longitude': '-74.00540254823487', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",34 ST,35 ST,,,,,,,,,,
58785608,2023-09-11T19:13:58.000,2023-09-12T10:22:37.000,DSNY,Department of Sanitation,Dirty Condition,Trash,Sidewalk,11215,433 CARROLL STREET,CARROLL STREET,ADDRESS,BROOKLYN,Closed,The Department of Sanitation cleaned the location.,2023-09-12T10:22:42.000,06 BROOKLYN,3004470059,BROOKLYN,987648,186162,MOBILE,Unspecified,BROOKLYN,40.67764779333199,-73.9877493833793,"{'latitude': '40.67764779333199', 'longitude': '-73.9877493833793', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",NEVINS STREET,3 AVENUE,NEVINS STREET,3 AVENUE,CARROLL STREET,,,,,,,
58781172,2023-09-11T19:13:31.000,2023-09-12T02:26:26.000,NYPD,New York City Police Department,Illegal Parking,Double Parked Blocking Traffic,Street/Sidewalk,10461,1782 SEDDON STREET,SEDDON STREET,ADDRESS,BRONX,Closed,The Police Department responded and upon arrival those responsible for the condition were gone.,2023-09-12T02:27:04.000,10 BRONX,,BRONX,1025433,246267,PHONE,Unspecified,BRONX,40.84252517221985,-73.85115720946212,"{'latitude': '40.84252517221985', 'longitude': '-73.85115720946212', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",FULLER STREET,EAST TREMONT AVENUE,FULLER STREET,EAST TREMONT AVENUE,SEDDON STREET,,,,,,,
58777571,2023-09-11T19:13:28.000,2023-09-11T20:41:39.000,NYPD,New York City Police Department,Illegal Parking,Posted Parking Sign Violation,Street/Sidewalk,11416,101 AVENUE,101 AVENUE,INTERSECTION,,Closed,The Police Department responded and upon arrival those responsible for the condition were gone.,2023-09-11T20:41:42.000,09 QUEENS,,QUEENS,1025304,187988,PHONE,Unspecified,QUEENS,40.68256519539673,-73.85197935867201,"{'latitude': '40.68256519539673', 'longitude': '-73.85197935867201', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",101 AVENUE,ROCKAWAY BOULEVARD,101 AVENUE,ROCKAWAY BOULEVARD,,,,,,,,
