unique_key,created_date,closed_date,agency,agency_name,complaint_type,descriptor,location_type,incident_zip,incident_address,street_name,cross_street_1,cross_street_2,intersection_street_1,intersection_street_2,address_type,city,landmark,status,resolution_description,resolution_action_updated_date,community_board,borough,x_coordinate_state_plane,y_coordinate_state_plane,open_data_channel_type,park_facility_name,park_borough,latitude,longitude,location,bbl,facility_type,taxi_pick_up_location,bridge_highway_name,bridge_highway_segment,due_date,bridge_highway_direction
58836796,2023-09-16T13:21:59.000,2023-09-16T13:40:40.000,NYPD,New York City Police Department,Illegal Parking,Blocked Crosswalk,Street/Sidewalk,10451,891 BROOK AVENUE,BROOK AVENUE,3 AVENUE,EAST  161 STREET,3 AVENUE,EAST  161 STREET,ADDRESS,BRONX,BROOK AVENUE,Closed,The Police Department responded to the complaint and took action to fix the condition.,2023-09-16T13:40:43.000,03 BRONX,BRONX,1009028,239157,PHONE,Unspecified,BRONX,40.8230715489424,-73.91047404621315,"{'latitude': '40.8230715489424', 'longitude': '-73.91047404621315', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
58829835,2023-09-16T13:21:52.000,2023-11-24T00:00:00.000,DOB,Department of Buildings,Elevator,Elevator - Single Device On Property/No Alternate Service,,10460,2078 CROTONA PARKWAY,CROTONA PARKWAY,,,,,ADDRESS,BRONX,,Closed,The Department of Buildings investigated this complaint and determined that no further action was necessary.,2023-11-24T00:00:00.000,06 BRONX,BRONX,1016172,247228,UNKNOWN,Unspecified,BRONX,40.845201167942456,-73.88462351495433,"{'latitude': '40.845201167942456', 'longitude': '-73.88462351495433', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",2031180056,,,,,,
58829142,2023-09-16T13:21:52.000,2023-09-25T00:00:00.000,DOB,Department of Buildings,Building/Use,Illegal. Commercial Use In Resident Zone,,10308,226 WIMAN AVENUE,WIMAN AVENUE,,,,,ADDRESS,STATEN ISLAND,,Closed,The Department of Buildings investigated this complaint and determined that no further action was necessary.,2023-09-25T00:00:00.000,03 STATEN ISLAND,STATEN ISLAND,944023,135684,UNKNOWN,Unspecified,STATEN ISLAND,40.53900549847996,-74.14472731520438,"{'latitude': '40.53900549847996', 'longitude': '-74.14472731520438', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",5053060065,N/A,,,,,
58832224,2023-09-16T13:21:35.000,2023-09-16T13:36:25.000,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,Residential Building/House,11212,327 EAST   93 STREET,EAST   93 STREET,CLARKSON AVENUE,LENOX ROAD,CLARKSON AVENUE,LENOX ROAD,ADDRESS,BROOKLYN,EAST   93 STREET,Closed,The Police Department responded to the complaint and took action to fix the condition.,2023-09-16T13:36:28.000,17 BROOKLYN,BROOKLYN,1005845,179078,ONLINE,Unspecified,BROOKLYN,40.658178110891335,-73.92216748421076,"{'latitude': '40.658178110891335', 'longitude': '-73.92216748421076', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",3046480059,,,,,,
58833404,2023-09-16T13:21:33.000,2023-09-16T15:06:49.000,NYPD,New York City Police Department,Noise - Residential,Banging/Pounding,Residential Building/House,10308,226 WIMAN AVENUE,WIMAN AVENUE,SWEETWATER AVENUE,TENNYSON DRIVE,SWEETWATER AVENUE,TENNYSON DRIVE,ADDRESS,STATEN ISLAND,WIMAN AVENUE,Closed,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,2023-09-16T15:06:53.000,03 STATEN ISLAND,STATEN ISLAND,944023,135684,PHONE,Unspecified,STATEN ISLAND,40.53900549847996,-74.14472731520438,"{'latitude': '40.53900549847996', 'longitude': '-74.14472731520438', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",5053060065,,,,,,
58827533,2023-09-16T13:21:31.000,2023-09-23T13:26:27.000,DSNY,Department of Sanitation,Missed Collection,Bulky Recycling,Street,11222,88 GREEN STREET,GREEN STREET,WEST STREET,FRANKLIN STREET,WEST STREET,FRANKLIN STREET,ADDRESS,BROOKLYN,GREEN STREET,Closed,The Department of Sanitation collected the requested items.,2023-09-18T12:06:58.000,01 BROOKLYN,BROOKLYN,995773,206475,ONLINE,Unspecified,BROOKLYN,40.73339533590763,-73.95842202453767,"{'latitude': '40.73339533590763', 'longitude': '-73.95842202453767', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",3025217501,,,,,,
58829874,2023-09-16T13:21:05.000,2023-09-18T10:59:20.000,DPR,Department of Parks and Recreation,Damaged Tree,Branch or Limb Has Fallen Down,Street,11367,139-16 73 TERRACE,73 TERRACE,139 STREET,141 STREET,139 STREET,141 STREET,ADDRESS,FLUSHING,73 TERRACE,Closed,NYC Parks visited the site and inspected the condition. No work is necessary at this time.,2023-09-18T10:59:26.000,08 QUEENS,QUEENS,1033105,202986,PHONE,Unspecified,QUEENS,40.72369148093438,-73.82374403250883,"{'latitude': '40.72369148093438', 'longitude': '-73.82374403250883', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",4066040022,,,,,,
58827926,2023-09-16T13:20:58.000,2023-09-16T14:18:18.000,NYPD,New York City Police Department,Blocked Driveway,Partial Access,Street/Sidewalk,11236,1320 EAST   86 STREET,EAST   86 STREET,AVENUE M,AVENUE N,AVENUE M,AVENUE N,ADDRESS,BROOKLYN,EAST   86 STREET,Closed,The Police Department responded to the complaint and took action to fix the condition.,2023-09-16T14:18:22.000,18 BROOKLYN,BROOKLYN,1011711,169297,PHONE,Unspecified,BROOKLYN,40.63131514182636,-73.9010651281398,"{'latitude': '40.63131514182636', 'longitude': '-73.9010651281398', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",3080760013,,,,,,
58836818,2023-09-16T13:20:50.000,2023-09-18T12:44:59.000,DSNY,Department of Sanitation,Residential Disposal Complaint,Mattress or Box Spring Uncovered,Street,11236,611 EAST   87 STREET,EAST   87 STREET,FARRAGUT ROAD,GLENWOOD ROAD,FARRAGUT ROAD,GLENWOOD ROAD,ADDRESS,BROOKLYN,EAST   87 STREET,Closed,The Department of Sanitation removed the items.,2023-09-18T12:45:04.000,18 BROOKLYN,BROOKLYN,1008889,173031,ONLINE,Unspecified,BROOKLYN,40.64157247011659,-73.91121842149592,"{'latitude': '40.64157247011659', 'longitude': '-73.91121842149592', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",3079920033,,,,,,
58829899,2023-09-16T13:20:47.000,2023-09-16T13:20:47.000,DOHMH,Department of Health and Mental Hygiene,Rodent,Rat Sighting,3+ Family Apt. Building,11691,18-24 CORNAGA AVENUE,CORNAGA AVENUE,MOTT AVENUE,MORSE COURT,MOTT AVENUE,MORSE COURT,ADDRESS,FAR ROCKAWAY,CORNAGA AVENUE,Closed,The Department of Health and Mental Hygiene found violations on the property you reported. Follow-up inspections will be scheduled.,2023-09-16T13:20:47.000,14 QUEENS,QUEENS,1053527,158851,PHONE,Unspecified,QUEENS,40.60241482471961,-73.75052066064782,"{'latitude': '40.60241482471961', 'longitude': '-73.75052066064782', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",4155600041,,,,,,
58826472,2023-09-16T13:20:40.000,2023-09-16T13:39:09.000,NYPD,New York City Police Department,Illegal Parking,Blocked Sidewalk,Street/Sidewalk,11231,191 UNION STREET,UNION STREET,HICKS STREET,HENRY STREET,HICKS STREET,HENRY STREET,ADDRESS,BROOKLYN,UNION STREET,Closed,The Police Department responded to the complaint and determined that police action was not necessary.,2023-09-16T13:39:11.000,06 BROOKLYN,BROOKLYN,984166,188346,ONLINE,Unspecified,BROOKLYN,40.68364302931577,-74.00030286766025,"{'latitude': '40.68364302931577', 'longitude': '-74.00030286766025', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",3003370027,,,,,,
58828898,2023-09-16T13:20:30.000,2023-09-16T15:01:27.000,DSNY,Department of Sanitation,Vendor Enforcement,Food Vendor,Street,11220,4524 5 AVENUE,5 AVENUE,45 STREET,46 STREET,45 STREET,46 STREET,ADDRESS,BROOKLYN,5 AVENUE,Closed,N/A,2023-09-16T15:01:30.000,07 BROOKLYN,BROOKLYN,982141,175262,PHONE,Unspecified,BROOKLYN,40.647730104866746,-74.00760004860872,"{'latitude': '40.647730104866746', 'longitude': '-74.00760004860872', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",3007470045,,,,,,
58830523,2023-09-16T13:20:21.000,2023-09-16T16:09:41.000,NYPD,New York City Police Department,Blocked Driveway,No Access,Street/Sidewalk,10467,862 EAST  216 STREET,EAST  216 STREET,BARNES AVENUE,BRONXWOOD AVENUE,BARNES AVENUE,BRONXWOOD AVENUE,ADDRESS,BRONX,EAST  216 STREET,Closed,The Police Department responded and upon arrival those responsible for the condition were gone.,2023-09-16T16:09:44.000,12 BRONX,BRONX,1023130,259917,PHONE,Unspecified,BRONX,40.88000070075054,-73.85940146906198,"{'latitude': '40.88000070075054', 'longitude': '-73.85940146906198', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",2046740084,,,,,,
58831268,2023-09-16T13:20:00.000,,DPR,Department of Parks and Recreation,New Tree Request,For One Address,Street,10012,105 WEST    3 STREET,WEST    3 STREET,SULLIVAN STREET,MAC DOUGAL STREET,SULLIVAN STREET,MAC DOUGAL STREET,ADDRESS,NEW YORK,WEST    3 STREET,In Progress,,,02 MANHATTAN,MANHATTAN,984309,205335,MOBILE,Unspecified,MANHATTAN,40.730273821418436,-73.9997871226635,"{'latitude': '40.730273821418436', 'longitude': '-73.9997871226635', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",1005410001,,,,,,
58830005,2023-09-16T13:19:56.000,2023-09-22T08:01:48.000,DOT,Department of Transportation,Street Condition,Defective Hardware,Street,11229,1701 AVENUE R,AVENUE R,EAST   17 STREET,EAST   18 STREET,EAST   17 STREET,EAST   18 STREET,ADDRESS,BROOKLYN,AVENUE R,Closed,"The Department of Transportation inspected the condition and issued a Corrective Action Repair (CAR) to the contractor or utility company. The responsible party has a maximum of 30 days to correct the condition. If the condition still exists, a summons will be issued. In some cases, the Department of Transportation will make the repairs and charge the responsible party for the costs.",2023-09-22T08:01:52.000,15 BROOKLYN,BROOKLYN,996555,160073,ONLINE,Unspecified,BROOKLYN,40.60603120069483,-73.95568506808618,"{'latitude': '40.60603120069483', 'longitude': '-73.95568506808618', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",3068000050,,,,,,
58830806,2023-09-16T13:19:50.000,2023-09-16T13:37:39.000,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,Residential Building/House,11203,609 EAST   42 STREET,EAST   42 STREET,AVENUE D,FOSTER AVENUE,AVENUE D,FOSTER AVENUE,ADDRESS,BROOKLYN,EAST   42 STREET,Closed,The Police Department responded to the complaint and took action to fix the condition.,2023-09-16T13:37:43.000,17 BROOKLYN,BROOKLYN,1001764,172591,ONLINE,Unspecified,BROOKLYN,40.64038171987182,-73.93689302784881,"{'latitude': '40.64038171987182', 'longitude': '-73.93689302784881', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",3049760065,,,,,,
58835185,2023-09-16T13:19:42.000,2023-09-16T14:19:48.000,NYPD,New York City Police Department,Abandoned Vehicle,With License Plate,Street/Sidewalk,10304,78 RHINE AVENUE,RHINE AVENUE,MARY STREET,STEUBEN STREET,MARY STREET,STEUBEN STREET,ADDRESS,STATEN ISLAND,RHINE AVENUE,Closed,The Police Department responded to the complaint and took action to fix the condition.,2023-09-16T14:19:52.000,01 STATEN ISLAND,STATEN ISLAND,960210,162140,PHONE,Unspecified,STATEN ISLAND,40.61168062411919,-74.08658441666273,"{'latitude': '40.61168062411919', 'longitude': '-74.08658441666273', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",5028820016,,,,,,
58834156,2023-09-16T13:19:26.000,2023-09-19T08:43:32.000,DOT,Department of Transportation,Outdoor Dining,Site Setup Condition,Street,10014,19 GREENWICH AVENUE,GREENWICH AVENUE,CHRISTOPHER STREET,WEST   10 STREET,CHRISTOPHER STREET,WEST   10 STREET,ADDRESS,NEW YORK,GREENWICH AVENUE,Closed,"The Department of Transportation inspected the condition you reported. You can find additional information in the ""Notes to Customer.""",2023-09-19T08:43:35.000,02 MANHATTAN,MANHATTAN,984277,206886,ONLINE,Unspecified,MANHATTAN,40.734530935772995,-73.9999025753339,"{'latitude': '40.734530935772995', 'longitude': '-73.9999025753339', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",1006100054,,,,,,
58831181,2023-09-16T13:19:25.000,2023-09-20T10:45:00.000,DOT,Department of Transportation,Street Condition,Pothole,,11414,102 STREET,102 STREET,158 AVENUE,159 AVENUE,,,BLOCKFACE,QUEENS,,Closed,The Department of Transportation inspected this complaint and did not find the reported problem.,2023-09-20T10:45:00.000,10 QUEENS,QUEENS,,,UNKNOWN,Unspecified,QUEENS,,,,,N/A,,,,,
58831823,2023-09-16T13:19:24.000,2023-09-16T14:10:15.000,NYPD,New York City Police Department,Illegal Parking,Posted Parking Sign Violation,Street/Sidewalk,11231,142 SECOND STREET,SECOND STREET,BOND STREET,DEAD END,BOND STREET,DEAD END,ADDRESS,BROOKLYN,2 STREET,Closed,The Police Department responded to the complaint and determined that police action was not necessary.,2023-09-16T14:10:20.000,06 BROOKLYN,BROOKLYN,986809,186018,MOBILE,Unspecified,BROOKLYN,40.677252828169635,-73.99077423713167,"{'latitude': '40.677252828169635', 'longitude': '-73.99077423713167', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",3004620012,,,,,,
58826568,2023-09-16T13:18:35.000,2023-09-16T14:01:02.000,NYPD,New York City Police Department,Blocked Driveway,No Access,Street/Sidewalk,10470,4619 RICHARDSON AVENUE,RICHARDSON AVENUE,EAST  240 STREET,EAST  241 STREET,EAST  240 STREET,EAST  241 STREET,ADDRESS,BRONX,RICHARDSON AVENUE,Closed,The Police Department responded and upon arrival those responsible for the condition were gone.,2023-09-16T14:01:05.000,12 BRONX,BRONX,1025107,268256,MOBILE,Unspecified,BRONX,40.90287965396204,-73.85220134044813,"{'latitude': '40.90287965396204', 'longitude': '-73.85220134044813', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",2050820055,,,,,,
58836002,2023-09-16T13:18:26.000,2023-09-16T13:38:49.000,NYPD,New York City Police Department,Noise - Residential,Banging/Pounding,Residential Building/House,11432,175-39 DALNY ROAD,DALNY ROAD,HIGHLAND AVENUE,DEVONSHIRE ROAD,HIGHLAND AVENUE,DEVONSHIRE ROAD,ADDRESS,JAMAICA,DALNY ROAD,Closed,The Police Department responded to the complaint and took action to fix the condition.,2023-09-16T13:38:53.000,08 QUEENS,QUEENS,1043158,199445,ONLINE,Unspecified,QUEENS,40.713911083213944,-73.7875065770043,"{'latitude': '40.713911083213944', 'longitude': '-73.7875065770043', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",4098840001,,,,,,
58833072,2023-09-16T13:18:19.000,2023-09-16T14:16:45.000,NYPD,New York City Police Department,Illegal Parking,Blocked Hydrant,Street/Sidewalk,10468,2890 SEDGWICK AVENUE,SEDGWICK AVENUE,WEST  229 STREET,RESERVOIR AVENUE,WEST  229 STREET,RESERVOIR AVENUE,ADDRESS,BRONX,SEDGWICK AVENUE,Closed,The Police Department responded to the complaint and took action to fix the condition.,2023-09-16T14:16:49.000,08 BRONX,BRONX,1011704,258302,MOBILE,Unspecified,BRONX,40.875610967981835,-73.90072694449508,"{'latitude': '40.875610967981835', 'longitude': '-73.90072694449508', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",2032500200,,,,,,
58828123,2023-09-16T13:18:16.000,2023-09-16T16:34:14.000,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,Residential Building/House,11420,111-14 117 STREET,117 STREET,111 AVENUE,LINDEN BOULEVARD,111 AVENUE,LINDEN BOULEVARD,ADDRESS,SOUTH OZONE PARK,117 STREET,Closed,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,2023-09-16T16:34:17.000,10 QUEENS,QUEENS,1033366,186973,MOBILE,Unspecified,QUEENS,40.67973819304783,-73.82291920109579,"{'latitude': '40.67973819304783', 'longitude': '-73.82291920109579', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",4116210014,,,,,,
58829816,2023-09-16T13:18:01.000,2023-09-16T13:19:03.000,NYPD,New York City Police Department,Drug Activity,Use Outside,Street/Sidewalk,11366,78-15 PARSONS BOULEVARD,PARSONS BOULEVARD,78 AVENUE,78 ROAD,78 AVENUE,78 ROAD,ADDRESS,FRESH MEADOWS,PARSONS BOULEVARD,Closed,The Police Department responded to the complaint and determined that police action was not necessary.,2023-09-16T13:19:06.000,08 QUEENS,QUEENS,1037000,202363,ONLINE,Unspecified,QUEENS,40.72195913199264,-73.80969682426189,"{'latitude': '40.72195913199264', 'longitude': '-73.80969682426189', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",4068290001,,,,,,
