unique_key,created_date,closed_date,agency,agency_name,complaint_type,descriptor,location_type,incident_zip,incident_address,street_name,address_type,city,status,resolution_description,resolution_action_updated_date,community_board,bbl,borough,x_coordinate_state_plane,y_coordinate_state_plane,open_data_channel_type,park_facility_name,park_borough,latitude,longitude,location,cross_street_1,cross_street_2,intersection_street_1,intersection_street_2,landmark,bridge_highway_name,bridge_highway_direction,bridge_highway_segment,taxi_pick_up_location,facility_type,due_date,road_ramp
58922658,2023-09-25T07:52:25.000,2023-09-28T12:31:58.000,HPD,Department of Housing Preservation and Development,DOOR/WINDOW,DOOR,RESIDENTIAL BUILDING,10037,7 WEST  137 STREET,WEST  137 STREET,ADDRESS,NEW YORK,Closed,The Department of Housing Preservation and Development inspected the following conditions. No violations were issued. The complaint has been closed.,2023-09-28T00:00:00.000,10 MANHATTAN,1017350031,MANHATTAN,1001608,235957,PHONE,Unspecified,MANHATTAN,40.814306149210644,-73.9372916822807,"{'latitude': '40.814306149210644', 'longitude': '-73.9372916822807', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,,,,,
58919746,2023-09-25T07:52:21.000,2023-09-25T12:18:53.000,DSNY,Department of Sanitation,Dirty Condition,Trash,Sidewalk,10035,77 EAST  125 STREET,EAST  125 STREET,ADDRESS,NEW YORK,Closed,The Department of Sanitation cleaned the location.,2023-09-25T12:18:57.000,11 MANHATTAN,1017500031,MANHATTAN,1000911,232710,MOBILE,Unspecified,MANHATTAN,40.80539537900893,-73.93981775515725,"{'latitude': '40.80539537900893', 'longitude': '-73.93981775515725', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",MADISON AVENUE,PARK AVENUE,MADISON AVENUE,PARK AVENUE,EAST  125 STREET,,,,,,,
58922573,2023-09-25T07:51:52.000,2023-09-25T14:37:16.000,NYPD,New York City Police Department,Noise - Residential,Banging/Pounding,Residential Building/House,11418,86-30 108 STREET,108 STREET,ADDRESS,RICHMOND HILL,Closed,The Police Department responded to the complaint and took action to fix the condition.,2023-09-25T14:37:21.000,09 QUEENS,4092030018,QUEENS,1028550,193278,ONLINE,Unspecified,QUEENS,40.697069353466254,-73.84024111016426,"{'latitude': '40.697069353466254', 'longitude': '-73.84024111016426', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",86 AVENUE,JAMAICA AVENUE,86 AVENUE,JAMAICA AVENUE,108 STREET,,,,,,,
58918690,2023-09-25T07:51:46.000,2023-09-26T11:32:26.000,DSNY,Department of Sanitation,Dirty Condition,Trash,Sidewalk,11378,57-46 65 STREET,65 STREET,ADDRESS,MASPETH,Closed,The Department of Sanitation investigated this complaint and found no condition at the location.,2023-09-26T11:32:31.000,05 QUEENS,4027510054,QUEENS,1011845,202419,MOBILE,Unspecified,QUEENS,40.72222707108219,-73.90044674413684,"{'latitude': '40.72222707108219', 'longitude': '-73.90044674413684', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",FLUSHING AVENUE,DEAD END,FLUSHING AVENUE,DEAD END,65 STREET,,,,,,,
58917694,2023-09-25T07:51:06.000,2023-09-26T15:08:51.000,DCWP,Department of Consumer and Worker Protection,Consumer Complaint,Tobacco Sales,Business,11229,2636 GERRITSEN AVENUE,GERRITSEN AVENUE,ADDRESS,BROOKLYN,Closed,"The Department of Consumer and Worker Protection (DCWP) provided information about your complaint. You can find it in the Notes to Customer section of your NYC311 Service Request.  If you didn't get the information, call DCWP Consumer Services at (212) 487-4110. You must provide your NYC311 Service Request number.",2023-09-26T15:08:56.000,15 BROOKLYN,3089390841,BROOKLYN,1004537,155864,ONLINE,Unspecified,BROOKLYN,40.59446367437809,-73.9269515360188,"{'latitude': '40.59446367437809', 'longitude': '-73.9269515360188', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",CHANNEL AVENUE,DEVON AVENUE,CHANNEL AVENUE,DEVON AVENUE,GERRITSEN AVENUE,,,,,,,
58923434,2023-09-25T07:50:48.000,2023-09-25T08:30:12.000,NYPD,New York City Police Department,Illegal Parking,Blocked Hydrant,Street/Sidewalk,10036,460 WEST   42 STREET,WEST   42 STREET,ADDRESS,NEW YORK,Closed,The Police Department responded to the complaint and took action to fix the condition.,2023-09-25T08:30:17.000,04 MANHATTAN,1010517502,MANHATTAN,985746,215892,ONLINE,Unspecified,MANHATTAN,40.759250017655226,-73.99459994854693,"{'latitude': '40.759250017655226', 'longitude': '-73.99459994854693', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",DYER AVENUE,10 AVENUE,DYER AVENUE,10 AVENUE,WEST   42 STREET,,,,,,,
58918590,2023-09-25T07:50:26.000,2023-10-23T11:58:28.000,DPR,Department of Parks and Recreation,Maintenance or Facility,Structure - Outdoors,Park,11214,17 COURT,17 COURT,INTERSECTION,,Closed,NYC Parks has completed the requested work order and corrected the problem.,2023-10-23T11:58:34.000,11 BROOKLYN,,BROOKLYN,981265,158935,PHONE,Unspecified,BROOKLYN,40.60291566315603,-74.01074960534362,"{'latitude': '40.60291566315603', 'longitude': '-74.01074960534362', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",17 COURT,17 AVENUE,17 COURT,17 AVENUE,,,,,,,,
58920959,2023-09-25T07:50:17.000,2023-09-27T14:16:44.000,DSNY,Department of Sanitation,Dead Animal,Cat,Sidewalk,11419,127-20 103 AVENUE,103 AVENUE,ADDRESS,SOUTH RICHMOND HILL,Closed,The Department of Sanitation investigated this complaint and found no condition at the location.,2023-09-26T03:32:48.000,10 QUEENS,4095640012,QUEENS,1034729,190694,ONLINE,Unspecified,QUEENS,40.68994379826217,-73.81797723431634,"{'latitude': '40.68994379826217', 'longitude': '-73.81797723431634', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",127 STREET,129 STREET,127 STREET,129 STREET,103 AVENUE,,,,,,,
58920282,2023-09-25T07:50:15.000,2023-09-25T08:46:37.000,NYPD,New York City Police Department,Non-Emergency Police Matter,Other (complaint details),Residential Building/House,11362,240-02 70 AVENUE,70 AVENUE,ADDRESS,LITTLE NECK,Closed,The Police Department responded to the complaint and took action to fix the condition.,2023-09-25T08:46:43.000,11 QUEENS,4082867503,QUEENS,1056835,212405,ONLINE,Unspecified,QUEENS,40.74938130955182,-73.73803124756508,"{'latitude': '40.74938130955182', 'longitude': '-73.73803124756508', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",DOUGLASTON PARKWAY,242 STREET,DOUGLASTON PARKWAY,242 STREET,70 AVENUE,,,,,,,
58917077,2023-09-25T07:50:03.000,2023-09-25T15:49:11.000,HPD,Department of Housing Preservation and Development,HEAT/HOT WATER,ENTIRE BUILDING,RESIDENTIAL BUILDING,10457,2105 RYER AVENUE,RYER AVENUE,ADDRESS,BRONX,Closed,The Department of Housing Preservation and Development conducted or attempted to conduct an inspection.  More information about inspection results can be found through HPD's website at www.nyc.gov/hpd by using HPDONLINE (enter your address on the home page) and entering your SR number under the complaint status option.,2023-09-25T00:00:00.000,05 BRONX,2031560155,BRONX,1011723,250206,MOBILE,Unspecified,BRONX,40.85338985543013,-73.90069142984217,"{'latitude': '40.85338985543013', 'longitude': '-73.90069142984217', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,,,,,
58922075,2023-09-25T07:49:53.000,2023-09-25T08:21:32.000,DHS,Department of Homeless Services,Homeless Person Assistance,,Subway,,,,ADDRESS,,Closed,The Department of Homeless Services did not have enough information to act on your request.,2023-09-25T08:21:32.000,Unspecified MANHATTAN,,MANHATTAN,999500,243145,MOBILE,Unspecified,MANHATTAN,40.83403905549454,-73.94489080211983,"{'latitude': '40.83403905549454', 'longitude': '-73.94489080211983', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,1,1 Uptown & The Bronx,Platform,,,,
58919745,2023-09-25T07:49:30.000,2023-09-25T11:22:11.000,DSNY,Department of Sanitation,Dirty Condition,Trash,Sidewalk,11212,1223 EAST NEW YORK AVENUE,EAST NEW YORK AVENUE,ADDRESS,BROOKLYN,Closed,The Department of Sanitation investigated this complaint and found no condition at the location.,2023-09-25T11:22:16.000,16 BROOKLYN,3014770001,BROOKLYN,1005989,182508,PHONE,Unspecified,BROOKLYN,40.66759234612014,-73.92163742179766,"{'latitude': '40.66759234612014', 'longitude': '-73.92163742179766', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",UNION STREET,TAPSCOTT STREET,UNION STREET,TAPSCOTT STREET,EAST NEW YORK AVENUE,,,,,,,
58922095,2023-09-25T07:49:23.000,2023-09-28T16:35:42.000,DSNY,Department of Sanitation,Illegal Dumping,Removal Request,Sidewalk,10452,1434 OGDEN AVENUE,OGDEN AVENUE,ADDRESS,BRONX,Closed,The Department of Sanitation cleaned the location.,2023-09-26T03:34:45.000,04 BRONX,2025220070,BRONX,1005351,246549,PHONE,Unspecified,BRONX,40.843370001565646,-73.92373623836734,"{'latitude': '40.843370001565646', 'longitude': '-73.92373623836734', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",WEST  171 STREET,UNIVERSITY AVENUE,WEST  171 STREET,UNIVERSITY AVENUE,OGDEN AVENUE,,,,,,,
58920403,2023-09-25T07:49:18.000,2023-10-23T09:46:44.000,HPD,Department of Housing Preservation and Development,PAINT/PLASTER,WALL,RESIDENTIAL BUILDING,11691,10-36 NEILSON STREET,NEILSON STREET,ADDRESS,FAR ROCKAWAY,Closed,The Department of Housing Preservation and Development inspected the following conditions. Violations were issued. Information about specific violations is available at www.nyc.gov/hpd,2023-10-23T00:00:00.000,14 QUEENS,4155550018,QUEENS,1054276,159359,PHONE,Unspecified,QUEENS,40.60380328881302,-73.74781812079314,"{'latitude': '40.60380328881302', 'longitude': '-73.74781812079314', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,,,,,
58922809,2023-09-25T07:49:18.000,2023-10-23T09:46:45.000,HPD,Department of Housing Preservation and Development,UNSANITARY CONDITION,MOLD,RESIDENTIAL BUILDING,11691,10-36 NEILSON STREET,NEILSON STREET,ADDRESS,FAR ROCKAWAY,Closed,The Department of Housing Preservation and Development inspected the following conditions. Violations were issued. Information about specific violations is available at www.nyc.gov/hpd,2023-10-23T00:00:00.000,14 QUEENS,4155550018,QUEENS,1054276,159359,PHONE,Unspecified,QUEENS,40.60380328881302,-73.74781812079314,"{'latitude': '40.60380328881302', 'longitude': '-73.74781812079314', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,,,,,
58918265,2023-09-25T07:49:18.000,2023-10-20T11:40:40.000,HPD,Department of Housing Preservation and Development,PLUMBING,WATER SUPPLY,RESIDENTIAL BUILDING,11691,10-36 NEILSON STREET,NEILSON STREET,ADDRESS,FAR ROCKAWAY,Closed,The Department of Housing Preservation and Development inspected the following conditions. No violations were issued. The complaint has been closed.,2023-10-20T00:00:00.000,14 QUEENS,4155550018,QUEENS,1054276,159359,PHONE,Unspecified,QUEENS,40.60380328881302,-73.74781812079314,"{'latitude': '40.60380328881302', 'longitude': '-73.74781812079314', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,,,,,
58925337,2023-09-25T07:49:04.000,2023-09-25T14:59:52.000,NYPD,New York City Police Department,Illegal Parking,Double Parked Blocking Vehicle,Street/Sidewalk,10453,160 HALL OF FAME TERRACE,HALL OF FAME TERRACE,ADDRESS,BRONX,Closed,The Police Department responded and upon arrival those responsible for the condition were gone.,2023-09-25T14:59:55.000,05 BRONX,2032220062,BRONX,1008739,252236,ONLINE,Unspecified,BRONX,40.858970376855154,-73.91147047899537,"{'latitude': '40.858970376855154', 'longitude': '-73.91147047899537', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",LORING PLACE NORTH,SEDGWICK AVENUE,LORING PLACE NORTH,SEDGWICK AVENUE,HALL OF FAME TERRACE,,,,,,,
58924544,2023-09-25T07:48:59.000,2023-09-25T08:59:24.000,NYPD,New York City Police Department,Illegal Parking,Blocked Sidewalk,Street/Sidewalk,11101,43-24 21 STREET,21 STREET,ADDRESS,LONG ISLAND CITY,Closed,The Police Department responded and upon arrival those responsible for the condition were gone.,2023-09-25T08:59:28.000,02 QUEENS,4004420028,QUEENS,999232,212655,MOBILE,Unspecified,QUEENS,40.75035271015205,-73.94592729242979,"{'latitude': '40.75035271015205', 'longitude': '-73.94592729242979', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",43 AVENUE,44 AVENUE,43 AVENUE,44 AVENUE,21 STREET,,,,,,,
58919672,2023-09-25T07:48:51.000,2023-10-02T10:40:39.000,DOT,Department of Transportation,Street Condition,Defective Hardware,Street,11420,114-18 130 STREET,130 STREET,ADDRESS,SOUTH OZONE PARK,Closed,"The Department of Transportation inspected the condition and determined it was in compliance with their standards, not hazardous, or a valid permit exists.",2023-10-02T10:40:43.000,10 QUEENS,4116550016,QUEENS,1036564,187361,PHONE,Unspecified,QUEENS,40.68078484028622,-73.81138628640385,"{'latitude': '40.68078484028622', 'longitude': '-73.81138628640385', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",LINDEN BOULEVARD,115 AVENUE,LINDEN BOULEVARD,115 AVENUE,130 STREET,,,,,,,
58924095,2023-09-25T07:47:41.000,2023-09-26T10:21:48.000,DPR,Department of Parks and Recreation,Damaged Tree,Branch Cracked and Will Fall,Street,11385,88-07 AUBREY AVENUE,AUBREY AVENUE,ADDRESS,RIDGEWOOD,Closed,"NYC Parks created a work order for the tree condition.  Please note that addressing this work can take up to a year or more depending on the higher priority work identified during this period and resources available to address this work.    NYC Parks work priority categories range from Category A through D, with A being the most critical and time-sensitive. We will complete all work in Category A first and address work in lower priority categories in accordance with available resources. For more information about the Tree Risk Management Program, visit the NYC Urban Forest page on the NYC Parks website at nyc.gov/parks/trees.   Alternatively, you may choose complete the work yourself by hiring an independent contractor. The contractor must complete a Tree Work Permit application on the NYC Parks website at nyc.gov/parks/trees.",2023-09-26T10:21:54.000,05 QUEENS,4038510178,QUEENS,1021921,198073,ONLINE,Unspecified,QUEENS,40.71026118705604,-73.86412037781623,"{'latitude': '40.71026118705604', 'longitude': '-73.86412037781623', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",88 STREET,METROPOLITAN AVENUE,88 STREET,METROPOLITAN AVENUE,AUBREY AVENUE,,,,,,,
58917744,2023-09-25T07:47:00.000,2023-09-30T17:55:00.000,DEP,Department of Environmental Protection,Sewer,Catch Basin Clogged/Flooding (Use Comments) (SC),,10460,765 GARDEN STREET,GARDEN STREET,ADDRESS,BRONX,Closed,The Department of Environmental Protection has investigated this complaint and found that debris was obstructing the catch basin.,2023-09-30T17:55:00.000,06 BRONX,2031000018,BRONX,1016238,248974,PHONE,Unspecified,BRONX,40.84999318032301,-73.88437664013274,"{'latitude': '40.84999318032301', 'longitude': '-73.88437664013274', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",PROSPECT AVE,CROTONA PKWY,,,,,,,,,,
58919573,2023-09-25T07:46:53.000,2023-10-04T15:18:43.000,DPR,Department of Parks and Recreation,Overgrown Tree/Branches,Blocking Street,Street,11422,240-17 WELLER AVENUE,WELLER AVENUE,ADDRESS,ROSEDALE,Closed,"Under NYC Parksâ Tree Risk Management Program, work is prioritized to address the conditions with the highest risk first.  NYC Parks determined that the issue will be addressed in the next pruning cycle through the routine block pruning program.  For more information about the Tree Risk Management Program, visit the NYC Urban Forest page on the NYC Parks website at nyc.gov/parks/trees.   To learn more about the trees in your neighborhood, visit the NYC Tree Map at nyc.gov/parks/treemap.",2023-10-04T15:18:50.000,13 QUEENS,4135540054,QUEENS,1056161,180797,UNKNOWN,Unspecified,QUEENS,40.662630698161095,-73.74080133941824,"{'latitude': '40.662630698161095', 'longitude': '-73.74080133941824', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",BROOKVILLE BOULEVARD,241 STREET,BROOKVILLE BOULEVARD,241 STREET,WELLER AVENUE,,,,,,,
58917764,2023-09-25T07:46:52.000,2023-09-25T18:03:23.000,DPR,Department of Parks and Recreation,Damaged Tree,Branch or Limb Has Fallen Down,Street,10028,157 EAST   82 STREET,EAST   82 STREET,ADDRESS,NEW YORK,Closed,NYC Parks performed the work necessary to correct the condition.,2023-09-25T18:03:28.000,08 MANHATTAN,1015110026,MANHATTAN,996190,222243,UNKNOWN,Unspecified,MANHATTAN,40.776673926533455,-73.95688937986097,"{'latitude': '40.776673926533455', 'longitude': '-73.95688937986097', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",LEXINGTON AVENUE,3 AVENUE,LEXINGTON AVENUE,3 AVENUE,EAST   82 STREET,,,,,,,
58917395,2023-09-25T07:46:39.000,2023-09-25T07:46:39.000,DOHMH,Department of Health and Mental Hygiene,Rodent,Rat Sighting,Vacant Building,11238,535 GRAND AVENUE,GRAND AVENUE,ADDRESS,BROOKLYN,Closed,The Department of Health and Mental Hygiene found violations on the property you reported. Follow-up inspections will be scheduled.,2023-09-25T07:46:39.000,08 BROOKLYN,3011330004,BROOKLYN,994832,186730,MOBILE,Unspecified,BROOKLYN,40.679201151906184,-73.96184842603677,"{'latitude': '40.679201151906184', 'longitude': '-73.96184842603677', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",PACIFIC STREET,DEAN STREET,PACIFIC STREET,DEAN STREET,GRAND AVENUE,,,,,,,
58917294,2023-09-25T07:46:11.000,2023-09-25T08:20:35.000,NYPD,New York City Police Department,Abandoned Vehicle,With License Plate,Street/Sidewalk,11236,1021 EAST   87 STREET,EAST   87 STREET,ADDRESS,BROOKLYN,Closed,This complaint does not fall under the Police Department's jurisdiction.,2023-09-25T08:20:40.000,18 BROOKLYN,3080397501,BROOKLYN,1010376,171282,ONLINE,Unspecified,BROOKLYN,40.63676758030713,-73.90586709862852,"{'latitude': '40.63676758030713', 'longitude': '-73.90586709862852', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",AVENUE J,CHURCH LANE,AVENUE J,CHURCH LANE,EAST   87 STREET,,,,,,,
58919945,2023-09-25T07:45:38.000,2023-09-25T08:40:05.000,NYPD,New York City Police Department,Illegal Parking,Blocked Hydrant,Street/Sidewalk,10303,193 PULASKI AVENUE,PULASKI AVENUE,ADDRESS,STATEN ISLAND,Closed,The Police Department responded to the complaint and took action to fix the condition.,2023-09-25T08:40:11.000,01 STATEN ISLAND,5011520007,STATEN ISLAND,943434,170048,MOBILE,Unspecified,STATEN ISLAND,40.633325006627246,-74.14705394504405,"{'latitude': '40.633325006627246', 'longitude': '-74.14705394504405', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",DEAD END,KALVER PLACE,DEAD END,KALVER PLACE,PULASKI AVENUE,,,,,,,
