unique_key,created_date,closed_date,agency,agency_name,complaint_type,descriptor,location_type,incident_zip,incident_address,street_name,address_type,city,status,resolution_description,resolution_action_updated_date,community_board,bbl,borough,x_coordinate_state_plane,y_coordinate_state_plane,open_data_channel_type,park_facility_name,park_borough,latitude,longitude,location,cross_street_1,cross_street_2,intersection_street_1,intersection_street_2,landmark,facility_type,taxi_pick_up_location,due_date,bridge_highway_name,bridge_highway_segment,bridge_highway_direction,taxi_company_borough,road_ramp
58943486,2023-09-27T08:59:48.000,2023-09-27T09:18:36.000,NYPD,New York City Police Department,Illegal Parking,Posted Parking Sign Violation,Street/Sidewalk,10001,460 WEST   35 STREET,WEST   35 STREET,ADDRESS,NEW YORK,Closed,The Police Department issued a summons in response to the complaint.,2023-09-27T09:18:42.000,04 MANHATTAN,1007320069,MANHATTAN,984795,214336,MOBILE,Unspecified,MANHATTAN,40.75497930442704,-73.99803286139453,"{'latitude': '40.75497930442704', 'longitude': '-73.99803286139453', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",DYER AVENUE UNDERPASS   31 ST,10 AVENUE,DYER AVENUE UNDERPASS   31 ST,10 AVENUE,WEST   35 STREET,,,,,,,,
58943166,2023-09-27T08:59:47.000,2023-09-28T14:53:10.000,DSNY,Department of Sanitation,Missed Collection,Recycling - Metal/Glass/Rigid Plastic,Street,11230,1312 OCEAN PARKWAY,OCEAN PARKWAY,ADDRESS,BROOKLYN,Closed,The Department of Sanitation collected the requested items.,2023-09-28T04:39:52.000,12 BROOKLYN,3065680013,BROOKLYN,992853,163864,ONLINE,Unspecified,BROOKLYN,40.616441082468555,-73.96901253108153,"{'latitude': '40.616441082468555', 'longitude': '-73.96901253108153', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",AVENUE M,AVENUE N,AVENUE M,AVENUE N,OCEAN PARKWAY,,,,,,,,
58940953,2023-09-27T08:59:29.000,2023-09-27T09:21:53.000,NYPD,New York City Police Department,Illegal Parking,Posted Parking Sign Violation,Street/Sidewalk,10023,120 WEST   76 STREET,WEST   76 STREET,ADDRESS,NEW YORK,Closed,The Police Department responded to the complaint and took action to fix the condition.,2023-09-27T09:21:56.000,07 MANHATTAN,1011470042,MANHATTAN,990415,223577,MOBILE,Unspecified,MANHATTAN,40.78034131879051,-73.97773939669301,"{'latitude': '40.78034131879051', 'longitude': '-73.97773939669301', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",COLUMBUS AVENUE,AMSTERDAM AVENUE,COLUMBUS AVENUE,AMSTERDAM AVENUE,WEST   76 STREET,,,,,,,,
58936803,2023-09-27T08:59:20.000,2023-09-29T10:12:30.000,DSNY,Department of Sanitation,Missed Collection,Trash,Street,11208,56 PINE STREET,PINE STREET,ADDRESS,BROOKLYN,Closed,The Department of Sanitation collected the requested items.,2023-09-28T14:06:43.000,05 BROOKLYN,3041170045,BROOKLYN,1019267,189044,PHONE,Unspecified,BROOKLYN,40.68548961282304,-73.87374030688405,"{'latitude': '40.68548961282304', 'longitude': '-73.87374030688405', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",ETNA STREET,RIDGEWOOD AVENUE,ETNA STREET,RIDGEWOOD AVENUE,PINE STREET,,,,,,,,
58944403,2023-09-27T08:59:04.000,2023-09-28T12:25:48.000,DSNY,Department of Sanitation,Dirty Condition,Trash,Sidewalk,10308,9 DAVID STREET,DAVID STREET,ADDRESS,STATEN ISLAND,Closed,The Department of Sanitation investigated this complaint and found no condition at the location.,2023-09-28T12:25:59.000,03 STATEN ISLAND,5052690046,STATEN ISLAND,943029,137421,ONLINE,Unspecified,STATEN ISLAND,40.54376866614234,-74.14831406835953,"{'latitude': '40.54376866614234', 'longitude': '-74.14831406835953', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",NELSON AVENUE,WIMAN AVENUE,NELSON AVENUE,WIMAN AVENUE,DAVID STREET,,,,,,,,
58943340,2023-09-27T08:59:00.000,2023-09-27T09:55:00.000,DEP,Department of Environmental Protection,Asbestos,Asbestos Complaint (B1),,11373,51-63 CODWISE PLACE,CODWISE PLACE,ADDRESS,ELMHURST,Closed,The Department of Environmental Protection (DEP) found asbestos during the inspection. DEP issued a violation.,2023-09-27T09:55:00.000,04 QUEENS,4024730073,QUEENS,1016677,207329,ONLINE,Unspecified,QUEENS,40.735687417404286,-73.88299091040527,"{'latitude': '40.735687417404286', 'longitude': '-73.88299091040527', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",BEND,KNEELAND AVE,,,,N/A,,,,,,,
58940256,2023-09-27T08:58:51.000,2023-09-27T09:39:00.000,NYPD,New York City Police Department,Illegal Parking,Blocked Bike Lane,Street/Sidewalk,11215,193 9 STREET,9 STREET,ADDRESS,BROOKLYN,Closed,The Police Department responded and upon arrival those responsible for the condition were gone.,2023-09-27T09:39:03.000,06 BROOKLYN,3010030064,BROOKLYN,986900,183810,MOBILE,Unspecified,BROOKLYN,40.67119233795047,-73.99044703005907,"{'latitude': '40.67119233795047', 'longitude': '-73.99044703005907', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",3 AVENUE,4 AVENUE,3 AVENUE,4 AVENUE,9 STREET,,,,,,,,
58942177,2023-09-27T08:58:42.000,2023-09-27T09:56:41.000,NYPD,New York City Police Department,Illegal Parking,Blocked Hydrant,Street/Sidewalk,11226,335 EAST   32 STREET,EAST   32 STREET,ADDRESS,BROOKLYN,Closed,The Police Department responded to the complaint and took action to fix the condition.,2023-09-27T09:56:40.000,17 BROOKLYN,3049490073,BROOKLYN,999028,173346,ONLINE,Unspecified,BROOKLYN,40.64245902015487,-73.94674980902765,"{'latitude': '40.64245902015487', 'longitude': '-73.94674980902765', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",CLARENDON ROAD,AVENUE D,CLARENDON ROAD,AVENUE D,EAST   32 STREET,,,,,,,,
58941465,2023-09-27T08:58:37.000,,HPD,Department of Housing Preservation and Development,UNSANITARY CONDITION,SEWAGE,RESIDENTIAL BUILDING,10451,341 EAST  146 STREET,EAST  146 STREET,ADDRESS,BRONX,Open,The following complaint conditions are still open. HPD may attempt to contact you to verify the correction of the condition or may conduct an inspection.,2023-09-27T00:00:00.000,01 BRONX,2023290094,BRONX,1006119,236267,PHONE,Unspecified,BRONX,40.81514699696815,-73.92099403182274,"{'latitude': '40.81514699696815', 'longitude': '-73.92099403182274', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,,,,,,
58938267,2023-09-27T08:58:37.000,2023-09-27T16:54:15.000,NYPD,New York City Police Department,Illegal Parking,Blocked Hydrant,Street/Sidewalk,11418,127-02 88 AVENUE,88 AVENUE,ADDRESS,RICHMOND HILL,Closed,The Police Department responded and upon arrival those responsible for the condition were gone.,2023-09-27T16:54:19.000,09 QUEENS,4093350200,QUEENS,1033294,194326,MOBILE,Unspecified,QUEENS,40.69992084385314,-73.82312525736882,"{'latitude': '40.69992084385314', 'longitude': '-73.82312525736882', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",127 STREET,129 STREET,127 STREET,129 STREET,88 AVENUE,,,,,,,,
58944029,2023-09-27T08:58:37.000,,HPD,Department of Housing Preservation and Development,PAINT/PLASTER,WALL,RESIDENTIAL BUILDING,10451,341 EAST  146 STREET,EAST  146 STREET,ADDRESS,BRONX,Open,The following complaint conditions are still open. HPD may attempt to contact you to verify the correction of the condition or may conduct an inspection.,2023-09-27T00:00:00.000,01 BRONX,2023290094,BRONX,1006119,236267,PHONE,Unspecified,BRONX,40.81514699696815,-73.92099403182274,"{'latitude': '40.81514699696815', 'longitude': '-73.92099403182274', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,,,,,,
58936163,2023-09-27T08:58:27.000,2023-10-06T17:29:31.000,HPD,Department of Housing Preservation and Development,APPLIANCE,ELECTRIC/GAS RANGE,RESIDENTIAL BUILDING,10128,527 EAST   88 STREET,EAST   88 STREET,ADDRESS,NEW YORK,Closed,The Department of Housing Preservation and Development inspected the following conditions. No violations were issued. The complaint has been closed.,2023-10-06T00:00:00.000,08 MANHATTAN,1015850016,MANHATTAN,999398,222318,PHONE,Unspecified,MANHATTAN,40.776874866212474,-73.9453063935912,"{'latitude': '40.776874866212474', 'longitude': '-73.9453063935912', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,,,,,,
58942606,2023-09-27T08:58:27.000,2023-10-06T17:29:30.000,HPD,Department of Housing Preservation and Development,FLOORING/STAIRS,FLOOR,RESIDENTIAL BUILDING,10128,527 EAST   88 STREET,EAST   88 STREET,ADDRESS,NEW YORK,Closed,The Department of Housing Preservation and Development inspected the following conditions. No violations were issued. The complaint has been closed.,2023-10-06T00:00:00.000,08 MANHATTAN,1015850016,MANHATTAN,999398,222318,PHONE,Unspecified,MANHATTAN,40.776874866212474,-73.9453063935912,"{'latitude': '40.776874866212474', 'longitude': '-73.9453063935912', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,,,,,,
58940184,2023-09-27T08:58:27.000,2023-10-06T17:29:31.000,HPD,Department of Housing Preservation and Development,UNSANITARY CONDITION,PESTS,RESIDENTIAL BUILDING,10128,527 EAST   88 STREET,EAST   88 STREET,ADDRESS,NEW YORK,Closed,The Department of Housing Preservation and Development inspected the following conditions. No violations were issued. The complaint has been closed.,2023-10-06T00:00:00.000,08 MANHATTAN,1015850016,MANHATTAN,999398,222318,PHONE,Unspecified,MANHATTAN,40.776874866212474,-73.9453063935912,"{'latitude': '40.776874866212474', 'longitude': '-73.9453063935912', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,,,,,,
58940282,2023-09-27T08:58:27.000,2023-09-28T00:00:00.000,DOB,Department of Buildings,Elevator,Elevator - Multiple Devices On Property,,11210,777 EAST   31 STREET,EAST   31 STREET,ADDRESS,BROOKLYN,Closed,The Department of Buildings investigated this complaint and determined that no further action was necessary.,2023-09-28T00:00:00.000,14 BROOKLYN,3075590011,BROOKLYN,999059,169780,UNKNOWN,Unspecified,BROOKLYN,40.6326710608679,-73.94664593188172,"{'latitude': '40.6326710608679', 'longitude': '-73.94664593188172', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,,,,,,
58944670,2023-09-27T08:58:27.000,2023-09-28T00:00:00.000,DOB,Department of Buildings,General Construction/Plumbing,Cons - Contrary/Beyond Approved Plans/Permits,,11228,1072 70 STREET,70 STREET,ADDRESS,BROOKLYN,Assigned,The Department of Buildings reviewed this complaint and assigned it to the Construction Division for further action.,2023-09-28T00:00:00.000,10 BROOKLYN,3058980036,BROOKLYN,981578,167434,UNKNOWN,Unspecified,BROOKLYN,40.6262437615891,-74.0096257905779,"{'latitude': '40.6262437615891', 'longitude': '-74.0096257905779', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,,,,,,
58935996,2023-09-27T08:58:19.000,2023-09-27T09:11:16.000,TLC,Taxi and Limousine Commission,Lost Property,Other,Taxi,11375,107-60 QUEENS BOULEVARD,QUEENS BOULEVARD,ADDRESS,FOREST HILLS,Closed,See notes for information.,2023-09-27T09:11:20.000,06 QUEENS,4032390013,QUEENS,1027390,202216,UNKNOWN,Unspecified,QUEENS,40.72160773708049,-73.8443671359886,"{'latitude': '40.72160773708049', 'longitude': '-73.8443671359886', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",70 ROAD,71 AVENUE,70 ROAD,71 AVENUE,QUEENS BOULEVARD,,"107-60 QUEENS BOULEVARD, QUEENS (FOREST HILLS), NY, 11375",,,,,,
58936377,2023-09-27T08:58:16.000,2023-09-28T09:45:00.000,DOT,Department of Transportation,Street Condition,Pothole,,11357,24 AVENUE,24 AVENUE,BLOCKFACE,QUEENS,Closed,The Department of Transportation inspected this complaint and repaired the problem.,2023-09-28T09:45:00.000,07 QUEENS,,QUEENS,,,UNKNOWN,Unspecified,QUEENS,,,,BERNARD L SHAPIRO BOULEVARD,146 STREET,,,,N/A,,,,,,,
58938089,2023-09-27T08:58:15.000,2023-09-27T10:01:22.000,DSNY,Department of Sanitation,Vendor Enforcement,Food Vendor,Street,10034,449 WEST  206 STREET,WEST  206 STREET,ADDRESS,NEW YORK,Closed,N/A,2023-09-27T10:01:26.000,12 MANHATTAN,1022030001,MANHATTAN,1006802,253851,PHONE,Unspecified,MANHATTAN,40.86340822395463,-73.91846743691285,"{'latitude': '40.86340822395463', 'longitude': '-73.91846743691285', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",9 AVENUE,10 AVENUE,9 AVENUE,10 AVENUE,WEST  206 STREET,,,,,,,,
58949502,2023-09-27T08:58:13.000,2023-09-28T13:08:15.000,DSNY,Department of Sanitation,Dirty Condition,Trash,Gutter,10472,1025 MORRISON AVENUE,MORRISON AVENUE,ADDRESS,BRONX,Closed,The Department of Sanitation will address the situation at the location by providing educational outreach about proper sanitation procedures.,2023-09-28T13:08:19.000,09 BRONX,2037180001,BRONX,1019214,240019,PHONE,Unspecified,BRONX,40.825403045463545,-73.87366633040435,"{'latitude': '40.825403045463545', 'longitude': '-73.87366633040435', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",BRUCKNER BOULEVARD,BRONX RIVER PY SB EN MORRISON AV,BRUCKNER BOULEVARD,BRONX RIVER PY SB EN MORRISON AV,MORRISON AVENUE,,,,,,,,
58937040,2023-09-27T08:58:10.000,2023-09-27T09:15:00.000,NYPD,New York City Police Department,Illegal Parking,Blocked Hydrant,Street/Sidewalk,10025,301 WEST   92 STREET,WEST   92 STREET,ADDRESS,NEW YORK,Closed,The Police Department responded to the complaint and took action to fix the condition.,2023-09-27T09:15:05.000,07 MANHATTAN,1012520015,MANHATTAN,991091,228116,MOBILE,Unspecified,MANHATTAN,40.792799162722226,-73.9752938711645,"{'latitude': '40.792799162722226', 'longitude': '-73.9752938711645', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",WEST END AVENUE,RIVERSIDE DRIVE,WEST END AVENUE,RIVERSIDE DRIVE,WEST   92 STREET,,,,,,,,
58937747,2023-09-27T08:58:03.000,,DPR,Department of Parks and Recreation,Damaged Tree,Tree Leaning/Uprooted,Street,11385,69-37 66 PLACE,66 PLACE,ADDRESS,RIDGEWOOD,In Progress,"NYC Parks reviewed this request and will visit the location to investigate the condition.  Under NYC Parksâ Tree Risk Management Program, all trees under the agency's jurisdiction are assessed for risk, and work is prioritized to address the conditions with the highest risk first.  For more information about the Tree Risk Management Program, visit the NYC Urban Forest page on the NYC Parks website at nyc.gov/parks/trees.   To learn more about the trees in your neighborhood, visit the NYC Tree Map at nyc.gov/parks/treemap.",2023-09-28T06:31:34.000,05 QUEENS,4036470027,QUEENS,1015052,196186,PHONE,Unspecified,QUEENS,40.705108401675744,-73.8889055227676,"{'latitude': '40.705108401675744', 'longitude': '-73.8889055227676', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",OTTO ROAD,70 AVENUE,OTTO ROAD,70 AVENUE,66 PLACE,,,,,,,,
59008549,2023-09-27T08:57:31.000,2023-10-07T13:35:05.000,DSNY,Department of Sanitation,Obstruction,Trash or Recycling,Sidewalk,11203,1253 UTICA AVENUE,UTICA AVENUE,ADDRESS,BROOKLYN,Closed,The Department of Sanitation investigated this complaint and found no violation at the location.,2023-10-07T13:35:09.000,17 BROOKLYN,3047810080,BROOKLYN,1003871,173077,ONLINE,Unspecified,BROOKLYN,40.64171126825239,-73.92929961174433,"{'latitude': '40.64171126825239', 'longitude': '-73.92929961174433', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",AVENUE D,FOSTER AVENUE,AVENUE D,FOSTER AVENUE,UTICA AVENUE,,,,,,,,
58935864,2023-09-27T08:57:28.000,2023-09-27T09:18:28.000,NYPD,New York City Police Department,Illegal Parking,Posted Parking Sign Violation,Street/Sidewalk,10001,460 WEST   35 STREET,WEST   35 STREET,ADDRESS,NEW YORK,Closed,The Police Department issued a summons in response to the complaint.,2023-09-27T09:18:35.000,04 MANHATTAN,1007320069,MANHATTAN,984795,214336,MOBILE,Unspecified,MANHATTAN,40.75497930442704,-73.99803286139453,"{'latitude': '40.75497930442704', 'longitude': '-73.99803286139453', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",DYER AVENUE UNDERPASS   31 ST,10 AVENUE,DYER AVENUE UNDERPASS   31 ST,10 AVENUE,WEST   35 STREET,,,,,,,,
58941133,2023-09-27T08:57:18.000,2023-09-27T10:27:28.000,NYPD,New York City Police Department,Panhandling,N/A,Street/Sidewalk,10019,640 5 AVENUE,5 AVENUE,ADDRESS,NEW YORK,Closed,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,2023-09-27T10:27:31.000,05 MANHATTAN,1012670034,MANHATTAN,990588,215959,MOBILE,Unspecified,MANHATTAN,40.759431770352215,-73.97712191185279,"{'latitude': '40.759431770352215', 'longitude': '-73.97712191185279', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",5 AVENUE,ROCKEFELLER PLAZA,5 AVENUE,ROCKEFELLER PLAZA,5 AVENUE,,,,,,,,
