unique_key,created_date,agency,agency_name,complaint_type,location_type,incident_zip,incident_address,street_name,cross_street_1,cross_street_2,intersection_street_1,intersection_street_2,address_type,city,landmark,status,resolution_description,resolution_action_updated_date,community_board,bbl,borough,x_coordinate_state_plane,y_coordinate_state_plane,open_data_channel_type,park_facility_name,park_borough,latitude,longitude,location,closed_date,descriptor,facility_type,due_date,bridge_highway_name,bridge_highway_direction,road_ramp,bridge_highway_segment,taxi_pick_up_location,taxi_company_borough
58835172,2023-09-16T11:20:55.000,NYPD,New York City Police Department,Illegal Parking,Street/Sidewalk,10016,76 EAST   29 STREET,EAST   29 STREET,MADISON AVENUE,PARK AVENUE SOUTH,MADISON AVENUE,PARK AVENUE SOUTH,ADDRESS,NEW YORK,EAST   29 STREET,Closed,The Police Department responded to the complaint and determined that police action was not necessary.,2023-09-16T11:36:42.000,05 MANHATTAN,,MANHATTAN,988615,210408,MOBILE,Unspecified,MANHATTAN,40.74419687446043,-73.98424739377995,"{'latitude': '40.74419687446043', 'longitude': '-73.98424739377995', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",2023-09-16T11:36:39.000,Blocked Bike Lane,,,,,,,,
58829906,2023-09-16T11:20:54.000,DOT,Department of Transportation,Street Sign - Dangling,Street,11232,1 AVENUE,1 AVENUE,1 AVENUE,42 STREET,1 AVENUE,42 STREET,INTERSECTION,,,Closed,The Department of Transportation contacted the customer and resolved the service request or provided the information requested.,2023-09-19T09:56:53.000,07 BROOKLYN,,BROOKLYN,980229,177883,ONLINE,Unspecified,BROOKLYN,40.654923517923336,-74.0144917452327,"{'latitude': '40.654923517923336', 'longitude': '-74.0144917452327', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",2023-09-19T09:57:25.000,Bus Stop,,,,,,,,
58829903,2023-09-16T11:20:46.000,DPR,Department of Parks and Recreation,Root/Sewer/Sidewalk Condition,Street,10035,1441 5 AVENUE,5 AVENUE,EAST  117 STREET,EAST  118 STREET,EAST  117 STREET,EAST  118 STREET,ADDRESS,NEW YORK,5 AVENUE,Closed,"NYC Parks inspected the requested repair site. This site meets the criteria for repair under the Trees & Sidewalks Program. The timeframe for repair work depends on available funding for the program, the severity of damage, and the other sidewalk requests in the surrounding district.",2023-11-22T11:40:01.000,11 MANHATTAN,1016230001,MANHATTAN,999231,231265,PHONE,Unspecified,MANHATTAN,40.80143225977067,-73.94588941131173,"{'latitude': '40.80143225977067', 'longitude': '-73.94588941131173', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",2023-11-22T11:39:56.000,Trees and Sidewalks Program,,,,,,,,
58827850,2023-09-16T11:20:45.000,NYPD,New York City Police Department,Illegal Parking,Street/Sidewalk,11204,1372 DAHILL ROAD,DAHILL ROAD,60 STREET,61 STREET,60 STREET,61 STREET,ADDRESS,BROOKLYN,DAHILL ROAD,Closed,The Police Department responded to the complaint and took action to fix the condition.,2023-09-16T18:26:44.000,12 BROOKLYN,3065550024,BROOKLYN,991163,163079,MOBILE,Unspecified,BROOKLYN,40.61428789969733,-73.97510060892648,"{'latitude': '40.61428789969733', 'longitude': '-73.97510060892648', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",2023-09-16T18:26:41.000,Posted Parking Sign Violation,,,,,,,,
58829016,2023-09-16T11:20:37.000,NYPD,New York City Police Department,Illegal Parking,Street/Sidewalk,10462,BRADY AVENUE,BRADY AVENUE,BRADY AVENUE,HOLLAND AVENUE,BRADY AVENUE,HOLLAND AVENUE,INTERSECTION,,,Closed,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,2023-09-16T18:22:29.000,11 BRONX,,BRONX,1021371,249849,PHONE,Unspecified,BRONX,40.85237470500174,-73.86581815522422,"{'latitude': '40.85237470500174', 'longitude': '-73.86581815522422', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",2023-09-16T18:22:26.000,Blocked Hydrant,,,,,,,,
58835791,2023-09-16T11:20:37.000,NYPD,New York City Police Department,Illegal Parking,Street/Sidewalk,10452,101 MARCY PLACE,MARCY PLACE,WALTON AVENUE,GRAND CONCOURSE,WALTON AVENUE,GRAND CONCOURSE,ADDRESS,BRONX,MARCY PLACE,Closed,The Police Department issued a summons in response to the complaint.,2023-09-16T20:55:23.000,04 BRONX,2028410041,BRONX,1007414,244631,MOBILE,Unspecified,BRONX,40.83810048233108,-73.91628672126092,"{'latitude': '40.83810048233108', 'longitude': '-73.91628672126092', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",2023-09-16T20:55:17.000,Posted Parking Sign Violation,,,,,,,,
58831276,2023-09-16T11:20:34.000,DPR,Department of Parks and Recreation,Overgrown Tree/Branches,Street,11357,13-40 143 STREET,143 STREET,DEAD END,14 AVENUE,DEAD END,14 AVENUE,ADDRESS,WHITESTONE,143 STREET,Closed,NYC Parks performed the work necessary to correct the condition.,2023-11-13T12:15:27.000,07 QUEENS,4044350079,QUEENS,1032296,226049,ONLINE,Unspecified,QUEENS,40.78699785150073,-73.82649788091035,"{'latitude': '40.78699785150073', 'longitude': '-73.82649788091035', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",2023-11-13T12:15:23.000,Dead Branches in Tree,,,,,,,,
58835649,2023-09-16T11:20:00.000,DEP,Department of Environmental Protection,Water System,,10037,,,,,LENOX AVENUE,WEST 141 STREET,INTERSECTION,MANHATTAN,,Closed,The Department of Environmental Protection investigated this complaint and shut the running hydrant.,2023-09-16T13:30:00.000,10 MANHATTAN,,MANHATTAN,1001386,237266,PHONE,Unspecified,MANHATTAN,40.817899419973365,-73.9380903473274,"{'latitude': '40.817899419973365', 'longitude': '-73.9380903473274', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",2023-09-16T13:30:00.000,Hydrant Running (WC3),,,,,,,,
58833012,2023-09-16T11:20:00.000,DEP,Department of Environmental Protection,Sewer,,11385,80-01 64 LANE,64 LANE,80 AVE,BEND,,,ADDRESS,RIDGEWOOD,,Closed,"The Department of Environment Protection inspected your complaint but could not find the problem you reported. If the condition persists, please call 311 (or 212-639-9675 if calling from a non-New York City area code) with more detailed information to submit a new complaint.",2023-09-16T14:10:00.000,05 QUEENS,4037320129,QUEENS,1014954,192865,PHONE,Unspecified,QUEENS,40.69599338123414,-73.8892741223918,"{'latitude': '40.69599338123414', 'longitude': '-73.8892741223918', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",2023-09-16T14:10:00.000,Catch Basin Sunken/Damaged/Raised (SC1),,,,,,,,
58828814,2023-09-16T11:19:48.000,DSNY,Department of Sanitation,Dirty Condition,Sidewalk,11217,152 FOURTH AVENUE,FOURTH AVENUE,BUTLER STREET,DOUGLASS STREET,BUTLER STREET,DOUGLASS STREET,ADDRESS,BROOKLYN,4 AVENUE,Closed,The Department of Sanitation investigated this complaint and issued a Notice of Violation.,2023-09-18T18:44:42.000,06 BROOKLYN,3004137501,BROOKLYN,989386,186922,MOBILE,Unspecified,BROOKLYN,40.67973298348718,-73.98148289153337,"{'latitude': '40.67973298348718', 'longitude': '-73.98148289153337', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",2023-09-18T18:44:38.000,Trash,,,,,,,,
58832607,2023-09-16T11:19:43.000,DPR,Department of Parks and Recreation,Damaged Tree,Street,11106,32-43 33 STREET,33 STREET,BROADWAY,34 AVENUE,BROADWAY,34 AVENUE,ADDRESS,ASTORIA,33 STREET,Closed,NYC Parks performed the work necessary to correct the condition.,2023-11-08T14:10:39.000,01 QUEENS,4006210018,QUEENS,1005274,216471,PHONE,Unspecified,QUEENS,40.76081435376715,-73.92410871504372,"{'latitude': '40.76081435376715', 'longitude': '-73.92410871504372', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",2023-11-08T14:10:34.000,Branch or Limb Has Fallen Down,,,,,,,,
58832887,2023-09-16T11:19:41.000,NYPD,New York City Police Department,Illegal Parking,Street/Sidewalk,11214,8217 24 AVENUE,24 AVENUE,82 STREET,83 STREET,82 STREET,83 STREET,ADDRESS,BROOKLYN,24 AVENUE,Closed,The Police Department issued a summons in response to the complaint.,2023-09-16T12:10:45.000,11 BROOKLYN,3068520001,BROOKLYN,987813,158376,MOBILE,Unspecified,BROOKLYN,40.601381108225624,-73.98716919142888,"{'latitude': '40.601381108225624', 'longitude': '-73.98716919142888', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",2023-09-16T12:10:37.000,Blocked Crosswalk,,,,,,,,
58831216,2023-09-16T11:19:36.000,NYPD,New York City Police Department,Abandoned Vehicle,Street/Sidewalk,11418,100-09 90 AVENUE,90 AVENUE,DEAD END,102 STREET,DEAD END,102 STREET,ADDRESS,RICHMOND HILL,90 AVENUE,Closed,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,2023-09-16T11:57:26.000,09 QUEENS,4092910029,QUEENS,1027187,191479,MOBILE,Unspecified,QUEENS,40.69213824120625,-73.84516794784003,"{'latitude': '40.69213824120625', 'longitude': '-73.84516794784003', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",2023-09-16T11:57:19.000,With License Plate,,,,,,,,
58828605,2023-09-16T11:19:34.000,DPR,Department of Parks and Recreation,Dead/Dying Tree,Street,10309,830 RATHBUN AVENUE,RATHBUN AVENUE,VERNON AVENUE,FOSTER ROAD,VERNON AVENUE,FOSTER ROAD,ADDRESS,STATEN ISLAND,RATHBUN AVENUE,Closed,NYC Parks visited the site and inspected the condition. No work is necessary at this time.,2023-11-14T11:00:30.000,03 STATEN ISLAND,5068850033,STATEN ISLAND,927692,135230,ONLINE,Unspecified,STATEN ISLAND,40.537670263632485,-74.20347844956753,"{'latitude': '40.537670263632485', 'longitude': '-74.20347844956753', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",2023-11-14T11:00:25.000,Planted More Than 2 Years Ago,,,,,,,,
58828551,2023-09-16T11:19:32.000,NYPD,New York City Police Department,Illegal Parking,Street/Sidewalk,10016,100 EAST   29 STREET,EAST   29 STREET,PARK AVENUE SOUTH,LEXINGTON AVENUE,PARK AVENUE SOUTH,LEXINGTON AVENUE,ADDRESS,NEW YORK,EAST   29 STREET,Closed,The Police Department responded to the complaint and determined that police action was not necessary.,2023-09-16T11:36:09.000,05 MANHATTAN,1008840084,MANHATTAN,988869,210268,MOBILE,Unspecified,MANHATTAN,40.74381248044466,-73.98333084344317,"{'latitude': '40.74381248044466', 'longitude': '-73.98333084344317', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",2023-09-16T11:36:06.000,Blocked Bike Lane,,,,,,,,
58836797,2023-09-16T11:19:26.000,NYPD,New York City Police Department,Illegal Parking,Street/Sidewalk,10019,640 FIFTH AVENUE,FIFTH AVENUE,5 AVENUE,ROCKEFELLER PLAZA,5 AVENUE,ROCKEFELLER PLAZA,ADDRESS,NEW YORK,5 AVENUE,Closed,The Police Department responded to the complaint and determined that police action was not necessary.,2023-09-16T11:39:44.000,05 MANHATTAN,1012670034,MANHATTAN,990588,215959,MOBILE,Unspecified,MANHATTAN,40.759431770352215,-73.97712191185279,"{'latitude': '40.759431770352215', 'longitude': '-73.97712191185279', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",2023-09-16T11:39:40.000,Blocked Crosswalk,,,,,,,,
58831277,2023-09-16T11:19:07.000,DPR,Department of Parks and Recreation,Overgrown Tree/Branches,Street,10035,1441 5 AVENUE,5 AVENUE,EAST  117 STREET,EAST  118 STREET,EAST  117 STREET,EAST  118 STREET,ADDRESS,NEW YORK,5 AVENUE,In Progress,,,11 MANHATTAN,1016230001,MANHATTAN,999231,231265,PHONE,Unspecified,MANHATTAN,40.80143225977067,-73.94588941131173,"{'latitude': '40.80143225977067', 'longitude': '-73.94588941131173', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,Hitting Building,,,,,,,,
58834859,2023-09-16T11:19:03.000,NYPD,New York City Police Department,Noise - Residential,Residential Building/House,11206,17 MEADOW STREET,MEADOW STREET,WATERBURY STREET,BOGART STREET,WATERBURY STREET,BOGART STREET,ADDRESS,BROOKLYN,MEADOW STREET,Closed,The Police Department responded to the complaint and took action to fix the condition.,2023-09-16T11:33:52.000,01 BROOKLYN,3030290115,BROOKLYN,1001845,198199,ONLINE,Unspecified,BROOKLYN,40.71066972695266,-73.93653431403719,"{'latitude': '40.71066972695266', 'longitude': '-73.93653431403719', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",2023-09-16T11:33:48.000,Loud Music/Party,,,,,,,,
58835792,2023-09-16T11:19:00.000,NYPD,New York City Police Department,Illegal Parking,Street/Sidewalk,11375,108-16 63 DRIVE,63 DRIVE,108 STREET,110 STREET,108 STREET,110 STREET,ADDRESS,FOREST HILLS,63 DRIVE,Closed,Your request can not be processed at this time because of insufficient contact information. Please create a new Service Request on NYC.gov and provide more detailed contact information.,2023-09-16T11:42:24.000,06 QUEENS,4021690013,QUEENS,1026015,206652,PHONE,Unspecified,QUEENS,40.73379005621601,-73.84930007609404,"{'latitude': '40.73379005621601', 'longitude': '-73.84930007609404', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",2023-09-16T11:42:14.000,Posted Parking Sign Violation,,,,,,,,
58836698,2023-09-16T11:18:59.000,DHS,Department of Homeless Services,Homeless Person Assistance,Street/Sidewalk,10036,1472 BROADWAY,BROADWAY,WEST 42 STREET,WEST 43 STREET,WEST   42 STREET,WEST   43 STREET,ADDRESS,NEW YORK,BROADWAY,Closed,"Based on the information you provided, the Department of Homeless Services has referred this request to the New York City Police Department.",2023-09-16T11:22:12.000,05 MANHATTAN,1009950005,MANHATTAN,988032,214678,ONLINE,Unspecified,MANHATTAN,40.755917215339224,-73.98634894864361,"{'latitude': '40.755917215339224', 'longitude': '-73.98634894864361', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",2023-09-16T11:22:12.000,,,,,,,,,
58826477,2023-09-16T11:18:58.000,NYPD,New York City Police Department,Illegal Parking,Street/Sidewalk,11429,112 AVENUE,112 AVENUE,112 AVENUE,207 STREET,112 AVENUE,207 STREET,INTERSECTION,,,Closed,The Police Department responded to the complaint and took action to fix the condition.,2023-09-16T19:32:01.000,13 QUEENS,,QUEENS,1053871,196054,PHONE,Unspecified,QUEENS,40.70452581427281,-73.74889781428078,"{'latitude': '40.70452581427281', 'longitude': '-73.74889781428078', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",2023-09-16T19:31:56.000,Commercial Overnight Parking,,,,,,,,
58829080,2023-09-16T11:18:46.000,NYPD,New York City Police Department,Illegal Parking,Street/Sidewalk,11106,34-09 31 STREET,31 STREET,34 AVENUE,35 AVENUE,34 AVENUE,35 AVENUE,ADDRESS,ASTORIA,31 STREET,Closed,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,2023-09-16T15:57:42.000,01 QUEENS,4006080124,QUEENS,1004336,215936,MOBILE,Unspecified,QUEENS,40.75934809717011,-73.9274962529969,"{'latitude': '40.75934809717011', 'longitude': '-73.9274962529969', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",2023-09-16T15:57:39.000,Double Parked Blocking Traffic,,,,,,,,
58827934,2023-09-16T11:18:20.000,NYPD,New York City Police Department,Blocked Driveway,Street/Sidewalk,10466,4216 BARNES AVENUE,BARNES AVENUE,EAST  233 STREET,EAST  234 STREET,EAST  233 STREET,EAST  234 STREET,ADDRESS,BRONX,BARNES AVENUE,Closed,The Police Department responded to the complaint and took action to fix the condition.,2023-09-16T14:01:44.000,12 BRONX,2050000056,BRONX,1024566,264663,PHONE,Unspecified,BRONX,40.893020520164946,-73.85418002046765,"{'latitude': '40.893020520164946', 'longitude': '-73.85418002046765', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",2023-09-16T14:01:40.000,Partial Access,,,,,,,,
58831768,2023-09-16T11:18:19.000,NYPD,New York City Police Department,Illegal Parking,Street/Sidewalk,10020,610 FIFTH AVENUE,FIFTH AVENUE,EAST   49 STREET,EAST   50 STREET,EAST   49 STREET,EAST   50 STREET,ADDRESS,NEW YORK,5 AVENUE,Closed,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,2023-09-16T11:36:30.000,05 MANHATTAN,1012650050,MANHATTAN,990457,215441,MOBILE,Unspecified,MANHATTAN,40.758010085833625,-73.97759525683652,"{'latitude': '40.758010085833625', 'longitude': '-73.97759525683652', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",2023-09-16T11:36:28.000,Blocked Sidewalk,,,,,,,,
58836890,2023-09-16T11:18:16.000,NYPD,New York City Police Department,Illegal Parking,Street/Sidewalk,10128,2 EAST   91 STREET,EAST   91 STREET,5 AVENUE,MADISON AVENUE,5 AVENUE,MADISON AVENUE,ADDRESS,NEW YORK,EAST   91 STREET,Closed,The Police Department responded to the complaint and took action to fix the condition.,2023-09-16T12:01:26.000,08 MANHATTAN,1015020001,MANHATTAN,995918,225133,MOBILE,Unspecified,MANHATTAN,40.78460657363493,-73.95786644520645,"{'latitude': '40.78460657363493', 'longitude': '-73.95786644520645', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",2023-09-16T12:01:22.000,License Plate Obscured,,,,,,,,
58828989,2023-09-16T11:18:05.000,DPR,Department of Parks and Recreation,Violation of Park Rules,Park,11360,202-12 WILLETS POINT BOULEVARD,WILLETS POINT BOULEVARD,CROSS ISLAND PARKWAY ET   33 SB,CLEARVIEW EP SB EN CROSS ISL PY,CROSS ISLAND PARKWAY ET   33 SB,CLEARVIEW EP SB EN CROSS ISL PY,ADDRESS,BAYSIDE,WILLETS POINT BOULEVARD,Closed,NYC Parks has reviewed the reported condition and corrected the problem.,2023-09-16T12:19:06.000,07 QUEENS,4058400100,QUEENS,1042073,226244,UNKNOWN,Unspecified,QUEENS,40.78747451279526,-73.7911899471642,"{'latitude': '40.78747451279526', 'longitude': '-73.7911899471642', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",2023-09-16T12:19:03.000,Unlicensed Vendors,,,,,,,,
58826727,2023-09-16T11:17:47.000,NYPD,New York City Police Department,Noise - Residential,Residential Building/House,11694,177 BEACH  134 STREET,BEACH  134 STREET,OCEAN PROMENADE,ROCKAWAY BEACH BOULEVARD,OCEAN PROMENADE,ROCKAWAY BEACH BOULEVARD,ADDRESS,FAR ROCKAWAY,BEACH  134 STREET,Closed,The Police Department responded to the complaint and took action to fix the condition.,2023-09-16T11:29:00.000,14 QUEENS,4162790018,QUEENS,1025470,148317,ONLINE,Unspecified,QUEENS,40.57367605296293,-73.85162312380362,"{'latitude': '40.57367605296293', 'longitude': '-73.85162312380362', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",2023-09-16T11:28:56.000,Banging/Pounding,,,,,,,,
58836529,2023-09-16T11:17:44.000,DOHMH,Department of Health and Mental Hygiene,Rodent,3+ Family Apt. Building,11215,234 4 STREET,4 STREET,DEAD END,5 AVENUE,DEAD END,5 AVENUE,ADDRESS,BROOKLYN,4 STREET,In Progress,,,06 BROOKLYN,3009817501,BROOKLYN,988446,184356,MOBILE,Unspecified,BROOKLYN,40.6726903878009,-73.98487352364941,"{'latitude': '40.6726903878009', 'longitude': '-73.98487352364941', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,Condition Attracting Rodents,,,,,,,,
58832063,2023-09-16T11:17:36.000,NYPD,New York City Police Department,Noise - Residential,Residential Building/House,11423,80 DRIVE,80 DRIVE,80 DRIVE,188 STREET,80 DRIVE,188 STREET,INTERSECTION,,,Closed,The Police Department responded to the complaint and determined that police action was not necessary.,2023-09-16T11:50:07.000,08 QUEENS,,QUEENS,1045092,204492,ONLINE,Unspecified,QUEENS,40.72775074901908,-73.78048464260324,"{'latitude': '40.72775074901908', 'longitude': '-73.78048464260324', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",2023-09-16T11:50:03.000,Banging/Pounding,,,,,,,,
