unique_key,created_date,closed_date,agency,agency_name,complaint_type,descriptor,location_type,incident_zip,incident_address,street_name,cross_street_1,cross_street_2,intersection_street_1,intersection_street_2,address_type,city,landmark,status,resolution_description,resolution_action_updated_date,community_board,bbl,borough,x_coordinate_state_plane,y_coordinate_state_plane,open_data_channel_type,park_facility_name,park_borough,latitude,longitude,location,vehicle_type,taxi_company_borough,taxi_pick_up_location,bridge_highway_name,road_ramp,bridge_highway_segment,facility_type,bridge_highway_direction,due_date
58909223,2023-09-23T14:32:38.000,2023-09-27T16:01:21.000,HPD,Department of Housing Preservation and Development,UNSANITARY CONDITION,MOLD,RESIDENTIAL BUILDING,11204,357 AVENUE P,AVENUE P,,,,,ADDRESS,BROOKLYN,,Closed,The Department of Housing Preservation and Development inspected the following conditions. Violations were issued. Information about specific violations is available at www.nyc.gov/hpd,2023-09-27T00:00:00.000,11 BROOKLYN,3066060021,BROOKLYN,991335,161029,PHONE,Unspecified,BROOKLYN,40.608660935889205,-73.97448324654154,"{'latitude': '40.608660935889205', 'longitude': '-73.97448324654154', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,,
58906024,2023-09-23T14:32:38.000,2023-09-27T16:01:20.000,HPD,Department of Housing Preservation and Development,PLUMBING,STEAM PIPE/RISER,RESIDENTIAL BUILDING,11204,357 AVENUE P,AVENUE P,,,,,ADDRESS,BROOKLYN,,Closed,The Department of Housing Preservation and Development inspected the following conditions. No violations were issued. The complaint has been closed.,2023-09-27T00:00:00.000,11 BROOKLYN,3066060021,BROOKLYN,991335,161029,PHONE,Unspecified,BROOKLYN,40.608660935889205,-73.97448324654154,"{'latitude': '40.608660935889205', 'longitude': '-73.97448324654154', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,,
58909149,2023-09-23T14:32:38.000,2023-09-27T16:01:21.000,HPD,Department of Housing Preservation and Development,ELECTRIC,OUTLET/SWITCH,RESIDENTIAL BUILDING,11204,357 AVENUE P,AVENUE P,,,,,ADDRESS,BROOKLYN,,Closed,The Department of Housing Preservation and Development inspected the following conditions. No violations were issued. The complaint has been closed.,2023-09-27T00:00:00.000,11 BROOKLYN,3066060021,BROOKLYN,991335,161029,PHONE,Unspecified,BROOKLYN,40.608660935889205,-73.97448324654154,"{'latitude': '40.608660935889205', 'longitude': '-73.97448324654154', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,,
58904992,2023-09-23T14:32:36.000,2023-09-23T17:17:54.000,NYPD,New York City Police Department,Noise - Residential,Banging/Pounding,Residential Building/House,10452,983 SUMMIT AVENUE,SUMMIT AVENUE,WEST  162 STREET,WEST  164 STREET,WEST  162 STREET,WEST  164 STREET,ADDRESS,BRONX,SUMMIT AVENUE,Closed,The Police Department responded to the complaint and took action to fix the condition.,2023-09-23T17:17:58.000,04 BRONX,2025230166,BRONX,1003494,242685,MOBILE,Unspecified,BRONX,40.832768688626544,-73.93045893794975,"{'latitude': '40.832768688626544', 'longitude': '-73.93045893794975', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,,
58905020,2023-09-23T14:32:24.000,2023-09-23T15:07:31.000,NYPD,New York City Police Department,Illegal Parking,Blocked Crosswalk,Street/Sidewalk,11238,417 PROSPECT PLACE,PROSPECT PLACE,GRAND AVENUE,CLASSON AVENUE,GRAND AVENUE,CLASSON AVENUE,ADDRESS,BROOKLYN,PROSPECT PLACE,Closed,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,2023-09-23T15:07:34.000,08 BROOKLYN,3011550001,BROOKLYN,994757,185658,MOBILE,Unspecified,BROOKLYN,40.67625884383291,-73.96212049684975,"{'latitude': '40.67625884383291', 'longitude': '-73.96212049684975', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,,
58905019,2023-09-23T14:32:18.000,2023-09-23T14:35:18.000,NYPD,New York City Police Department,Illegal Parking,Blocked Crosswalk,Street/Sidewalk,10301,30 DANIEL LOW TERRACE,DANIEL LOW TERRACE,BELMONT PLACE,FORT HILL CIRCLE,BELMONT PLACE,FORT HILL CIRCLE,ADDRESS,STATEN ISLAND,DANIEL LOW TERRACE,Closed,The Police Department responded to the complaint and took action to fix the condition.,2023-09-23T14:35:26.000,01 STATEN ISLAND,5000280077,STATEN ISLAND,961530,173878,ONLINE,Unspecified,STATEN ISLAND,40.64390243266814,-74.08186971257727,"{'latitude': '40.64390243266814', 'longitude': '-74.08186971257727', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,,
58905314,2023-09-23T14:32:03.000,2023-09-23T15:54:07.000,NYPD,New York City Police Department,Noise - Street/Sidewalk,Loud Talking,Street/Sidewalk,10466,EAST  232 STREET,EAST  232 STREET,EAST  232 STREET,WHITE PLAINS ROAD,EAST  232 STREET,WHITE PLAINS ROAD,INTERSECTION,,,Closed,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,2023-09-23T15:54:10.000,12 BRONX,,BRONX,1023584,264564,ONLINE,Unspecified,BRONX,40.892753229006566,-73.8577324168085,"{'latitude': '40.892753229006566', 'longitude': '-73.8577324168085', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,,
58905614,2023-09-23T14:32:00.000,2023-09-23T17:15:00.000,DEP,Department of Environmental Protection,Sewer,Sewer Backup (Use Comments) (SA),,11234,2261 EAST   70 STREET,EAST   70 STREET,AVENUE V,AVENUE W,,,ADDRESS,BROOKLYN,,Closed,The Department of Environmental Protection investigated this complaint and found there was no sewer back up in the city system at the time of the inspection.,2023-09-23T17:15:00.000,18 BROOKLYN,3084390011,BROOKLYN,1010546,164008,PHONE,Unspecified,BROOKLYN,40.616801487460165,-73.90528292177304,"{'latitude': '40.616801487460165', 'longitude': '-73.90528292177304', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,,
58906290,2023-09-23T14:32:00.000,2023-09-23T23:50:00.000,DOT,Department of Transportation,Street Light Condition,Street Light Out,,10024,302 WEST   86 STREET,WEST   86 STREET,RIVERSIDE DR,WEST END AVE,,,ADDRESS,NEW YORK,,Closed,Service Request status for this request is available on the Department of Transportationâs website. Please click the âLearn Moreâ link below.,2023-09-23T23:50:00.000,07 MANHATTAN,1012470037,MANHATTAN,990316,226721,UNKNOWN,Unspecified,MANHATTAN,40.78897082923102,-73.9780940272649,"{'latitude': '40.78897082923102', 'longitude': '-73.9780940272649', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,,
58905100,2023-09-23T14:31:47.000,,DHS,Department of Homeless Services,Homeless Person Assistance,,Store/Commercial,10038,214 BROADWAY,BROADWAY,FULTON STREET,ANN STREET,FULTON STREET,ANN STREET,ADDRESS,NEW YORK,BROADWAY,Closed,The mobile outreach response team went to the location provided but could not find the individual that you reported.,2023-09-24T01:51:54.000,01 MANHATTAN,1000890012,MANHATTAN,981778,198324,PHONE,Unspecified,MANHATTAN,40.71102997187911,-74.00891662461726,"{'latitude': '40.71102997187911', 'longitude': '-74.00891662461726', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,,
58908165,2023-09-23T14:31:45.000,2023-10-12T06:57:46.000,HPD,Department of Housing Preservation and Development,UNSANITARY CONDITION,PESTS,RESIDENTIAL BUILDING,11106,31-35 CRESCENT STREET,CRESCENT STREET,,,,,ADDRESS,ASTORIA,,Closed,"The Department of Housing Preservation and Development was not able to gain access to inspect the following conditions. The complaint has been closed. If the condition still exists, please file a new complaint.",2023-10-12T00:00:00.000,01 QUEENS,4005790036,QUEENS,1004421,217880,ONLINE,Unspecified,QUEENS,40.76468368198577,-73.92718359841146,"{'latitude': '40.76468368198577', 'longitude': '-73.92718359841146', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,,
58905061,2023-09-23T14:31:42.000,2023-09-23T14:48:03.000,NYPD,New York City Police Department,Noise - Street/Sidewalk,Loud Music/Party,Street/Sidewalk,11433,92-48 172 STREET,172 STREET,TIFF COURT,PAIGE COURT,TIFF COURT,PAIGE COURT,ADDRESS,JAMAICA,172 STREET,Closed,The Police Department responded to the complaint and took action to fix the condition.,2023-09-23T14:48:09.000,12 QUEENS,4102120037,QUEENS,1043160,196671,ONLINE,Unspecified,QUEENS,40.70629712049661,-73.78752363414172,"{'latitude': '40.70629712049661', 'longitude': '-73.78752363414172', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,,
