unique_key,created_date,closed_date,agency,agency_name,complaint_type,descriptor,location_type,incident_zip,incident_address,street_name,cross_street_1,cross_street_2,intersection_street_1,intersection_street_2,address_type,city,landmark,status,resolution_description,resolution_action_updated_date,community_board,bbl,borough,x_coordinate_state_plane,y_coordinate_state_plane,open_data_channel_type,park_facility_name,park_borough,latitude,longitude,location,facility_type,taxi_pick_up_location,bridge_highway_name,bridge_highway_segment,bridge_highway_direction,road_ramp,due_date
58856229,2023-09-19T16:54:29.000,2023-09-29T16:12:44.000,HPD,Department of Housing Preservation and Development,PAINT/PLASTER,CEILING,RESIDENTIAL BUILDING,10040,382 WADSWORTH AVENUE,WADSWORTH AVENUE,,,,,ADDRESS,NEW YORK,,Closed,The Department of Housing Preservation and Development inspected the following conditions. Violations were issued. Information about specific violations is available at www.nyc.gov/hpd,2023-09-29T00:00:00.000,12 MANHATTAN,1021700256,MANHATTAN,1003793,251400,PHONE,Unspecified,MANHATTAN,40.85668814238739,-73.92935305837368,"{'latitude': '40.85668814238739', 'longitude': '-73.92935305837368', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
58868649,2023-09-19T16:54:27.000,2023-09-20T11:46:59.000,DSNY,Department of Sanitation,Obstruction,Cone,Street,11434,114-43 155 STREET,155 STREET,114 ROAD,115 AVENUE,114 ROAD,115 AVENUE,ADDRESS,JAMAICA,155 STREET,Closed,The Department of Sanitation will address the situation at the location by providing educational outreach about proper sanitation procedures.,2023-09-20T11:45:44.000,12 QUEENS,4121870006,QUEENS,1042120,189275,ONLINE,Unspecified,QUEENS,40.68600373937734,-73.79133823126193,"{'latitude': '40.68600373937734', 'longitude': '-73.79133823126193', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
58864293,2023-09-19T16:54:25.000,,DOHMH,Department of Health and Mental Hygiene,Harboring Bees/Wasps,Bees/Wasps - Not a beekeper,1-2 Family Dwelling,11357,15-40 163 STREET,163 STREET,CROSS ISLAND PARKWAY,15 DRIVE,CROSS ISLAND PARKWAY,15 DRIVE,ADDRESS,WHITESTONE,163 STREET,In Progress,,,07 QUEENS,4047540001,QUEENS,1039680,225443,ONLINE,Unspecified,QUEENS,40.78529132040067,-73.79983811251304,"{'latitude': '40.78529132040067', 'longitude': '-73.79983811251304', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
58860346,2023-09-19T16:54:16.000,,DPR,Department of Parks and Recreation,Damaged Tree,Branch or Limb Has Fallen Down,Street,11364,58-51 211 STREET,211 STREET,58 AVENUE,HORACE HARDING EXPRESSWAY,58 AVENUE,HORACE HARDING EXPRESSWAY,ADDRESS,OAKLAND GARDENS,211 STREET,In Progress,"NYC Parks created a work order for the tree condition and expects to address the issue within 120 days from the date of the tree assessment, barring any weather-related requests.   NYC Parks work priority categories range from Category A through D, with A being the most critical and time-sensitive. We will complete all work in Category A first and address work in lower priority categories in accordance with available resources. For more information about the Tree Risk Management Program, visit the NYC Urban Forest page on the NYC Parks website at nyc.gov/parks/trees.",2023-09-20T06:40:22.000,11 QUEENS,4074620046,QUEENS,1048980,211663,PHONE,Unspecified,QUEENS,40.74740570212302,-73.76638796853804,"{'latitude': '40.74740570212302', 'longitude': '-73.76638796853804', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
58867882,2023-09-19T16:54:14.000,,HPD,Department of Housing Preservation and Development,UNSANITARY CONDITION,PESTS,RESIDENTIAL BUILDING,11237,417 MENAHAN STREET,MENAHAN STREET,,,,,ADDRESS,BROOKLYN,,Open,The following complaint conditions are still open. HPD may attempt to contact you to verify the correction of the condition or may conduct an inspection.,2023-09-19T00:00:00.000,04 BROOKLYN,3033120040,BROOKLYN,1008542,195367,PHONE,Unspecified,BROOKLYN,40.702880707059954,-73.91238826743476,"{'latitude': '40.702880707059954', 'longitude': '-73.91238826743476', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
58858196,2023-09-19T16:54:13.000,2023-10-12T06:57:42.000,HPD,Department of Housing Preservation and Development,UNSANITARY CONDITION,PESTS,RESIDENTIAL BUILDING,11210,837 EAST   22 STREET,EAST   22 STREET,,,,,ADDRESS,BROOKLYN,,Closed,"The Department of Housing Preservation and Development was not able to gain access to inspect the following conditions. The complaint has been closed. If the condition still exists, please file a new complaint.",2023-10-12T00:00:00.000,14 BROOKLYN,3075500019,BROOKLYN,996573,169603,PHONE,Unspecified,BROOKLYN,40.632189040681176,-73.95560284826348,"{'latitude': '40.632189040681176', 'longitude': '-73.95560284826348', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
58869723,2023-09-19T16:54:13.000,2023-10-12T06:57:42.000,HPD,Department of Housing Preservation and Development,FLOORING/STAIRS,FLOOR,RESIDENTIAL BUILDING,11210,837 EAST   22 STREET,EAST   22 STREET,,,,,ADDRESS,BROOKLYN,,Closed,"The Department of Housing Preservation and Development was not able to gain access to inspect the following conditions. The complaint has been closed. If the condition still exists, please file a new complaint.",2023-10-12T00:00:00.000,14 BROOKLYN,3075500019,BROOKLYN,996573,169603,PHONE,Unspecified,BROOKLYN,40.632189040681176,-73.95560284826348,"{'latitude': '40.632189040681176', 'longitude': '-73.95560284826348', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
58860189,2023-09-19T16:54:13.000,2023-10-12T06:57:42.000,HPD,Department of Housing Preservation and Development,APPLIANCE,REFRIGERATOR,RESIDENTIAL BUILDING,11210,837 EAST   22 STREET,EAST   22 STREET,,,,,ADDRESS,BROOKLYN,,Closed,"The Department of Housing Preservation and Development was not able to gain access to inspect the following conditions. The complaint has been closed. If the condition still exists, please file a new complaint.",2023-10-12T00:00:00.000,14 BROOKLYN,3075500019,BROOKLYN,996573,169603,PHONE,Unspecified,BROOKLYN,40.632189040681176,-73.95560284826348,"{'latitude': '40.632189040681176', 'longitude': '-73.95560284826348', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
58862024,2023-09-19T16:54:13.000,2023-10-12T06:57:42.000,HPD,Department of Housing Preservation and Development,PAINT/PLASTER,WALL,RESIDENTIAL BUILDING,11210,837 EAST   22 STREET,EAST   22 STREET,,,,,ADDRESS,BROOKLYN,,Closed,"The Department of Housing Preservation and Development was not able to gain access to inspect the following conditions. The complaint has been closed. If the condition still exists, please file a new complaint.",2023-10-12T00:00:00.000,14 BROOKLYN,3075500019,BROOKLYN,996573,169603,PHONE,Unspecified,BROOKLYN,40.632189040681176,-73.95560284826348,"{'latitude': '40.632189040681176', 'longitude': '-73.95560284826348', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
58858053,2023-09-19T16:54:12.000,2023-10-12T06:57:42.000,HPD,Department of Housing Preservation and Development,DOOR/WINDOW,WINDOW FRAME,RESIDENTIAL BUILDING,11210,837 EAST   22 STREET,EAST   22 STREET,,,,,ADDRESS,BROOKLYN,,Closed,"The Department of Housing Preservation and Development was not able to gain access to inspect the following conditions. The complaint has been closed. If the condition still exists, please file a new complaint.",2023-10-12T00:00:00.000,14 BROOKLYN,3075500019,BROOKLYN,996573,169603,PHONE,Unspecified,BROOKLYN,40.632189040681176,-73.95560284826348,"{'latitude': '40.632189040681176', 'longitude': '-73.95560284826348', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
58867934,2023-09-19T16:54:06.000,2023-11-25T22:03:54.000,HPD,Department of Housing Preservation and Development,WATER LEAK,HEAVY FLOW,RESIDENTIAL BUILDING,10040,565 WEST  190 STREET,WEST  190 STREET,,,,,ADDRESS,NEW YORK,,Closed,The Department of Housing Preservation and Development inspected the following conditions. No violations were issued. The complaint has been closed.,2023-11-25T00:00:00.000,12 MANHATTAN,1021610083,MANHATTAN,1003948,250624,PHONE,Unspecified,MANHATTAN,40.85455791031515,-73.92879502183422,"{'latitude': '40.85455791031515', 'longitude': '-73.92879502183422', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
58865826,2023-09-19T16:54:06.000,2023-09-23T16:31:11.000,HPD,Department of Housing Preservation and Development,ELECTRIC,NO LIGHTING,RESIDENTIAL BUILDING,11230,1256 EAST   13 STREET,EAST   13 STREET,,,,,ADDRESS,BROOKLYN,,Closed,The Department of Housing Preservation and Development inspected the following conditions. Violations were issued. Information about specific violations is available at www.nyc.gov/hpd,2023-09-23T00:00:00.000,14 BROOKLYN,3067320028,BROOKLYN,994764,164805,PHONE,Unspecified,BROOKLYN,40.61902187034261,-73.96212776376363,"{'latitude': '40.61902187034261', 'longitude': '-73.96212776376363', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
58859716,2023-09-19T16:53:50.000,2023-09-19T17:10:30.000,NYPD,New York City Police Department,Noise - Residential,Banging/Pounding,Residential Building/House,11691,10-11 NEILSON STREET,NEILSON STREET,CORNAGA AVENUE,DINSMORE AVENUE,CORNAGA AVENUE,DINSMORE AVENUE,ADDRESS,FAR ROCKAWAY,NEILSON STREET,Closed,The Police Department responded to the complaint and took action to fix the condition.,2023-09-19T17:10:35.000,14 QUEENS,4155560063,QUEENS,1054304,159237,ONLINE,Unspecified,QUEENS,40.60346820374366,-73.74771855139466,"{'latitude': '40.60346820374366', 'longitude': '-73.74771855139466', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
58856461,2023-09-19T16:53:28.000,2023-09-19T17:41:04.000,NYPD,New York City Police Department,Abandoned Vehicle,With License Plate,Street/Sidewalk,11420,125 STREET,125 STREET,125 STREET,149 AVENUE,125 STREET,149 AVENUE,INTERSECTION,,,Closed,The Police Department reviewed your complaint and provided additional information below.,2023-09-19T17:41:08.000,10 QUEENS,,QUEENS,1035566,182543,PHONE,Unspecified,QUEENS,40.667566385107136,-73.81502116241873,"{'latitude': '40.667566385107136', 'longitude': '-73.81502116241873', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
58863127,2023-09-19T16:53:16.000,2023-09-19T23:06:53.000,NYPD,New York City Police Department,Illegal Parking,Blocked Hydrant,Street/Sidewalk,11432,81-26 169 STREET,169 STREET,81 AVENUE,DEAD END,81 AVENUE,DEAD END,ADDRESS,JAMAICA,169 STREET,Closed,The Police Department responded and upon arrival those responsible for the condition were gone.,2023-09-19T23:06:56.000,08 QUEENS,4070290018,QUEENS,1040091,202154,PHONE,Unspecified,QUEENS,40.72136650756492,-73.79854737155088,"{'latitude': '40.72136650756492', 'longitude': '-73.79854737155088', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
58855378,2023-09-19T16:53:06.000,2023-09-22T00:00:00.000,DOB,Department of Buildings,General Construction/Plumbing,Egress - Doors Locked/Blocked/Improper/No Secondary Means,,10455,674 SAINT ANN'S AVENUE,SAINT ANN'S AVENUE,,,,,ADDRESS,BRONX,,Closed,The Department of Buildings investigated this complaint and issued an Office of Administrative Trials and Hearings (OATH) summons.,2023-09-22T00:00:00.000,01 BRONX,2026170022,BRONX,1008812,237174,UNKNOWN,Unspecified,BRONX,40.817629379394376,-73.91126173832384,"{'latitude': '40.817629379394376', 'longitude': '-73.91126173832384', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",N/A,,,,,,
58866550,2023-09-19T16:53:06.000,,DHS,Department of Homeless Services,Homeless Person Assistance,,Other,10128,3 AVENUE,3 AVENUE,3 AVENUE,EAST   92 STREET,3 AVENUE,EAST 92 STREET,INTERSECTION,MANHATTAN,,Closed,"The mobile outreach response team offered services to the individual, but the individual did not accept assistance.",2023-09-19T21:39:55.000,08 MANHATTAN,,MANHATTAN,997765,224415,PHONE,Unspecified,MANHATTAN,40.78263322355763,-73.95119830954191,"{'latitude': '40.78263322355763', 'longitude': '-73.95119830954191', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
58858284,2023-09-19T16:53:00.000,2023-09-19T16:53:00.000,DEP,Department of Environmental Protection,Water System,No Water (WNW),,10025,319 WEST  104 STREET,WEST  104 STREET,WEST END AVE,RIVERSIDE DR,,,ADDRESS,NEW YORK,,Closed,The Department of Environmental Protection investigated this complaint and found it to be a temporary condition.,2023-09-19T16:53:00.000,07 MANHATTAN,1018910008,MANHATTAN,992578,230927,ONLINE,Unspecified,MANHATTAN,40.80051331754804,-73.96992011602448,"{'latitude': '40.80051331754804', 'longitude': '-73.96992011602448', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
58862269,2023-09-19T16:52:56.000,2023-09-20T03:29:19.000,NYPD,New York City Police Department,Blocked Driveway,No Access,Street/Sidewalk,11355,41-51 150 STREET,150 STREET,BARCLAY AVENUE,SANFORD AVENUE,BARCLAY AVENUE,SANFORD AVENUE,ADDRESS,FLUSHING,150 STREET,Closed,The Police Department responded and upon arrival those responsible for the condition were gone.,2023-09-20T03:29:24.000,07 QUEENS,4050590010,QUEENS,1035943,216767,MOBILE,Unspecified,QUEENS,40.761500673291984,-73.81339939623913,"{'latitude': '40.761500673291984', 'longitude': '-73.81339939623913', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
58866722,2023-09-19T16:52:47.000,2023-09-19T16:52:47.000,DOB,Department of Buildings,Real Time Enforcement,Work Without A Permit - Occupied Multiple Dwelling,,10002,155 RIDGE STREET,RIDGE STREET,,,,,ADDRESS,NEW YORK,,Closed,"The Department of Buildings determined that the conditions described in this complaint were addressed under another service request number. Click on ""Learn More"" in the ""Did You Know"" section below for more information.",2023-09-19T00:00:00.000,03 MANHATTAN,1003450020,MANHATTAN,989101,201714,UNKNOWN,Unspecified,MANHATTAN,40.72033372596076,-73.98249976357808,"{'latitude': '40.72033372596076', 'longitude': '-73.98249976357808', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
58891544,2023-09-19T16:52:46.000,2023-09-21T13:15:41.000,DSNY,Department of Sanitation,Illegal Posting,Sticker or Decal,Sidewalk,11207,BELMONT AVENUE,BELMONT AVENUE,BELMONT AVENUE,CLEVELAND STREET,BELMONT AVENUE,CLEVELAND STREET,INTERSECTION,,,Closed,The Department of Sanitation has removed illegal postings from the location. The Department will issue a Notice of Violation to the responsible party once it is identified.,2023-09-21T13:15:45.000,05 BROOKLYN,,BROOKLYN,1016459,184255,ONLINE,Unspecified,BROOKLYN,40.67235556745508,-73.88388790010099,"{'latitude': '40.67235556745508', 'longitude': '-73.88388790010099', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
58862826,2023-09-19T16:52:42.000,2023-09-19T17:59:50.000,NYPD,New York City Police Department,Illegal Parking,Blocked Crosswalk,Street/Sidewalk,11373,90-31 WHITNEY AVENUE,WHITNEY AVENUE,ELBERTSON STREET,DENMAN STREET,ELBERTSON STREET,DENMAN STREET,ADDRESS,ELMHURST,WHITNEY AVENUE,Closed,The Police Department responded and upon arrival those responsible for the condition were gone.,2023-09-19T17:59:53.000,04 QUEENS,4015530035,QUEENS,1018808,211156,MOBILE,Unspecified,QUEENS,40.74618349996608,-73.87528179152856,"{'latitude': '40.74618349996608', 'longitude': '-73.87528179152856', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
58864345,2023-09-19T16:52:40.000,,DOHMH,Department of Health and Mental Hygiene,Rodent,Rat Sighting,Other (Explain Below),10014,11 MORTON STREET,MORTON STREET,BLEECKER STREET,7 AVENUE SOUTH,BLEECKER STREET,7 AVENUE SOUTH,ADDRESS,NEW YORK,MORTON STREET,In Progress,,,02 MANHATTAN,1005870030,MANHATTAN,983183,205692,PHONE,Unspecified,MANHATTAN,40.73125363482928,-74.00384988911811,"{'latitude': '40.73125363482928', 'longitude': '-74.00384988911811', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
58901347,2023-09-19T16:52:39.000,2023-10-14T13:14:58.000,DSNY,Department of Sanitation,Street Sweeping Complaint,Street Not Swept,Street,10002,300 BROOME STREET,BROOME STREET,ELDRIDGE STREET,FORSYTH STREET,ELDRIDGE STREET,FORSYTH STREET,ADDRESS,NEW YORK,BROOME STREET,Closed,The Department of Sanitation investigated this complaint and found no condition at the location.,2023-09-22T07:26:33.000,03 MANHATTAN,1004190075,MANHATTAN,986427,201124,ONLINE,Unspecified,MANHATTAN,40.718715380142996,-73.99214654928794,"{'latitude': '40.718715380142996', 'longitude': '-73.99214654928794', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
58891565,2023-09-19T16:52:22.000,2023-09-23T13:55:58.000,DSNY,Department of Sanitation,Illegal Dumping,Removal Request,Sidewalk,11434,122-18 SUTPHIN BOULEVARD,SUTPHIN BOULEVARD,122 AVENUE,123 AVENUE,122 AVENUE,123 AVENUE,ADDRESS,JAMAICA,SUTPHIN BOULEVARD,Closed,The Department of Sanitation investigated this complaint and found no condition at the location.,2023-09-21T10:14:20.000,12 QUEENS,4120450015,QUEENS,1042338,185810,MOBILE,Unspecified,QUEENS,40.676491700856715,-73.79058206062304,"{'latitude': '40.676491700856715', 'longitude': '-73.79058206062304', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
58858631,2023-09-19T16:51:53.000,2023-09-29T11:31:51.000,DOT,Department of Transportation,Sidewalk Condition,Sidewalk Violation,Sidewalk,11367,150-35 77 ROAD,77 ROAD,150 STREET,153 STREET,150 STREET,153 STREET,ADDRESS,FLUSHING,77 ROAD,Closed,A sidewalk dismissal inspection (work done by owner) has been scheduled. Department of Transportation is in direct contact with the responsible party.,2023-09-29T11:31:47.000,08 QUEENS,4067080019,QUEENS,1035786,202398,PHONE,Unspecified,QUEENS,40.72206235401241,-73.8140762217274,"{'latitude': '40.72206235401241', 'longitude': '-73.8140762217274', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
58860214,2023-09-19T16:51:53.000,2023-09-19T17:27:52.000,NYPD,New York City Police Department,Illegal Parking,Blocked Bike Lane,Street/Sidewalk,10029,1212 5 AVENUE,5 AVENUE,EAST  101 STREET,CENTRAL PARK ENTRANCE E  102 ST,EAST  101 STREET,CENTRAL PARK ENTRANCE E  102 ST,ADDRESS,NEW YORK,5 AVENUE,Closed,The Police Department responded and upon arrival those responsible for the condition were gone.,2023-09-19T17:27:58.000,11 MANHATTAN,1016077502,MANHATTAN,997231,227647,ONLINE,Unspecified,MANHATTAN,40.79150499816836,-73.9531202989106,"{'latitude': '40.79150499816836', 'longitude': '-73.9531202989106', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
