unique_key,created_date,closed_date,agency,agency_name,complaint_type,descriptor,location_type,incident_zip,incident_address,street_name,cross_street_1,cross_street_2,intersection_street_1,intersection_street_2,address_type,city,landmark,status,resolution_description,resolution_action_updated_date,community_board,bbl,borough,x_coordinate_state_plane,y_coordinate_state_plane,open_data_channel_type,park_facility_name,park_borough,latitude,longitude,location,facility_type,bridge_highway_name,bridge_highway_segment,due_date,taxi_pick_up_location,road_ramp,bridge_highway_direction,taxi_company_borough
58933229,2023-09-26T09:17:00.000,2023-09-26T09:27:00.000,DEP,Department of Environmental Protection,Water System,Hydrant Knocked Over/Missing (WC),,11365,71-01 PARSONS BOULEVARD,PARSONS BOULEVARD,71 AVE,72 AVE,,,ADDRESS,FRESH MEADOWS,,Closed,"The status of this Service Request is currently not available online. Please call 311 for further assistance. If you are outside of New York City, please call (212) NEW-YORK (212-639-9675).",2023-09-26T09:27:00.000,08 QUEENS,4067970040,QUEENS,1036658,205328,ONLINE,Unspecified,QUEENS,40.73009934988612,-73.81090754397326,"{'latitude': '40.73009934988612', 'longitude': '-73.81090754397326', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,
58930630,2023-09-26T09:17:00.000,2023-09-26T13:45:00.000,DEP,Department of Environmental Protection,Air Quality,"Air: Odor/Fumes, Vehicle Idling (AD3)",,10458,2389 ARTHUR AVENUE,ARTHUR AVENUE,E 186 ST,E 187 ST,,,ADDRESS,BRONX,,Closed,"The Department of Environmental Protection (DEP) didn't observe a violation of the NYC Air or Noise Code at the time of inspection and couldn't issue a summons.  If the problem still exists, please go to nyc.gov/311 or call 311 to file a new Service Request. If you're outside of New York City, please call (212) NEW-YORK (212-639-9675).",2023-09-26T13:45:00.000,06 BRONX,2030650046,BRONX,1015289,250905,ONLINE,Unspecified,BRONX,40.85529658428196,-73.88779793765293,"{'latitude': '40.85529658428196', 'longitude': '-73.88779793765293', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",N/A,,,,,,,
58931962,2023-09-26T09:17:00.000,2023-09-28T11:45:00.000,DEP,Department of Environmental Protection,Water System,Hydrant Running (WC3),,10453,2265 DAVIDSON AVENUE,DAVIDSON AVENUE,BUCHANAN PL,W 183 ST,,,ADDRESS,BRONX,,Closed,The Department of Environmental Protection investigated this complaint and shut the running hydrant.,2023-09-28T11:45:00.000,05 BRONX,2031960058,BRONX,1010529,252066,ONLINE,Unspecified,BRONX,40.85849863137478,-73.90500016984734,"{'latitude': '40.85849863137478', 'longitude': '-73.90500016984734', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,
58933079,2023-09-26T09:16:47.000,2023-09-27T13:08:42.000,DSNY,Department of Sanitation,Commercial Disposal Complaint,Private Carter Decal Not Posted,Street,11372,33-53 82 STREET,82 STREET,NORTHERN BOULEVARD,34 AVENUE,NORTHERN BOULEVARD,34 AVENUE,ADDRESS,JACKSON HEIGHTS,82 STREET,Closed,The Department of Sanitation investigated this complaint and found no violation at the location.,2023-09-27T13:08:45.000,03 QUEENS,4014300035,QUEENS,1016059,214227,ONLINE,Unspecified,QUEENS,40.75462292785195,-73.88518826596733,"{'latitude': '40.75462292785195', 'longitude': '-73.88518826596733', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,
58933244,2023-09-26T09:16:17.000,2023-10-04T00:00:00.000,DOB,Department of Buildings,General Construction/Plumbing,Building Permit - None,,11232,642 4 AVENUE,4 AVENUE,,,,,ADDRESS,BROOKLYN,,Closed,"The Department of Buildings attempted to investigate this complaint twice but could not gain access to the location. If the problem still exists, please call 311 and file a new complaint with additional access information. If you are outside of New York City, please call (212) NEW-YORK (212-639-9675).",2023-10-04T00:00:00.000,07 BROOKLYN,3006330037,BROOKLYN,985863,181249,UNKNOWN,Unspecified,BROOKLYN,40.66416321304357,-73.99418591821512,"{'latitude': '40.66416321304357', 'longitude': '-73.99418591821512', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",N/A,,,,,,,
58930092,2023-09-26T09:16:16.000,2023-10-26T00:00:00.000,DOB,Department of Buildings,Elevator,Elevator - Multiple Devices On Property,,10457,2271 WASHINGTON AVENUE,WASHINGTON AVENUE,,,,,ADDRESS,BRONX,,Closed,"The Department of Buildings reviewed this complaint and closed it. If the problem still exists, please call 311 and file a new complaint. If you are outside of New York City, please call (212) NEW-YORK (212-639-9675).",2023-10-26T00:00:00.000,06 BRONX,2030380029,BRONX,1013718,250746,UNKNOWN,Unspecified,BRONX,40.85486556034869,-73.89347759730605,"{'latitude': '40.85486556034869', 'longitude': '-73.89347759730605', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,
58930094,2023-09-26T09:16:16.000,2023-11-21T00:00:00.000,DOB,Department of Buildings,Elevator,Elevator - Single Device On Property/No Alternate Service,,11210,1411 NEW YORK AVENUE,NEW YORK AVENUE,,,,,ADDRESS,BROOKLYN,,Closed,"The Department of Buildings determined that the conditions described in this complaint were addressed under another service request number. Click on ""Learn More"" in the ""Did You Know"" section below for more information.",2023-11-21T00:00:00.000,17 BROOKLYN,3049810001,BROOKLYN,999430,171813,UNKNOWN,Unspecified,BROOKLYN,40.63825058438901,-73.945304714947,"{'latitude': '40.63825058438901', 'longitude': '-73.945304714947', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,
58931342,2023-09-26T09:16:08.000,,HPD,Department of Housing Preservation and Development,WATER LEAK,SLOW LEAK,RESIDENTIAL BUILDING,10027,545 WEST  133 STREET,WEST  133 STREET,,,,,ADDRESS,NEW YORK,,Open,The following complaint conditions are still open. HPD may attempt to contact you to verify the correction of the condition or may conduct an inspection.,2023-09-26T00:00:00.000,09 MANHATTAN,1019870012,MANHATTAN,996705,237433,PHONE,Unspecified,MANHATTAN,40.81836562812679,-73.95500174511872,"{'latitude': '40.81836562812679', 'longitude': '-73.95500174511872', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,
58928746,2023-09-26T09:16:07.000,2023-10-01T13:08:03.000,HPD,Department of Housing Preservation and Development,WATER LEAK,DAMP SPOT,RESIDENTIAL BUILDING,10469,901 EAST  217 STREET,EAST  217 STREET,,,,,ADDRESS,BRONX,,Closed,The Department of Housing Preservation and Development inspected the following conditions. Violations were issued. Information about specific violations is available at www.nyc.gov/hpd,2023-10-01T00:00:00.000,12 BRONX,2046880028,BRONX,1023668,259999,PHONE,Unspecified,BRONX,40.88022337848858,-73.85745546499932,"{'latitude': '40.88022337848858', 'longitude': '-73.85745546499932', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,
58931284,2023-09-26T09:16:07.000,2023-10-01T13:08:03.000,HPD,Department of Housing Preservation and Development,UNSANITARY CONDITION,MOLD,RESIDENTIAL BUILDING,10469,901 EAST  217 STREET,EAST  217 STREET,,,,,ADDRESS,BRONX,,Closed,The Department of Housing Preservation and Development inspected the following conditions. Violations were issued. Information about specific violations is available at www.nyc.gov/hpd,2023-10-01T00:00:00.000,12 BRONX,2046880028,BRONX,1023668,259999,PHONE,Unspecified,BRONX,40.88022337848858,-73.85745546499932,"{'latitude': '40.88022337848858', 'longitude': '-73.85745546499932', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,
58933802,2023-09-26T09:16:06.000,2023-10-18T09:43:16.000,HPD,Department of Housing Preservation and Development,PLUMBING,TOILET,RESIDENTIAL BUILDING,10031,618 WEST  136 STREET,WEST  136 STREET,,,,,ADDRESS,NEW YORK,,Closed,"The Department of Housing Preservation and Development contacted an occupant of the apartment and verified that the following conditions were corrected. The complaint has been closed. If the condition still exists, please file a new complaint.",2023-10-18T00:00:00.000,09 MANHATTAN,1020020091,MANHATTAN,996633,238410,ONLINE,Unspecified,MANHATTAN,40.82104731868181,-73.95526006866052,"{'latitude': '40.82104731868181', 'longitude': '-73.95526006866052', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,
58927390,2023-09-26T09:16:06.000,2023-10-12T13:43:12.000,HPD,Department of Housing Preservation and Development,PLUMBING,TOILET,RESIDENTIAL BUILDING,10031,618 WEST  136 STREET,WEST  136 STREET,,,,,ADDRESS,NEW YORK,,Closed,"The Department of Housing Preservation and Development contacted an occupant of the apartment and verified that the following conditions were corrected. The complaint has been closed. If the condition still exists, please file a new complaint.",2023-10-12T00:00:00.000,09 MANHATTAN,1020020091,MANHATTAN,996633,238410,ONLINE,Unspecified,MANHATTAN,40.82104731868181,-73.95526006866052,"{'latitude': '40.82104731868181', 'longitude': '-73.95526006866052', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,
58934465,2023-09-26T09:16:04.000,2023-10-27T00:00:45.000,DCWP,Department of Consumer and Worker Protection,Consumer Complaint,Employment Agency,Business,10461,2038 EASTCHESTER ROAD,EASTCHESTER ROAD,STILLWELL AVENUE,SEMINOLE STREET,STILLWELL AVENUE,SEMINOLE STREET,ADDRESS,BRONX,EASTCHESTER ROAD,Closed,The Department of Consumer and Worker Protection (DCWP) closed your complaint. It was closed because you didn't submit a completed complaint form or requested documents within 30 days of DCWP's request.,2023-10-27T00:00:48.000,11 BRONX,2042180013,BRONX,1027535,250541,PHONE,Unspecified,BRONX,40.854245968881905,-73.84353262644373,"{'latitude': '40.854245968881905', 'longitude': '-73.84353262644373', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,
58931001,2023-09-26T09:15:27.000,2023-09-26T09:40:01.000,NYPD,New York City Police Department,Noise - Commercial,Loud Music/Party,Store/Commercial,11211,548 DRIGGS AVENUE,DRIGGS AVENUE,NORTH    8 STREET,NORTH    7 STREET,NORTH    8 STREET,NORTH    7 STREET,ADDRESS,BROOKLYN,DRIGGS AVENUE,Closed,The Police Department responded to the complaint and took action to fix the condition.,2023-09-26T09:40:05.000,01 BROOKLYN,3023200025,BROOKLYN,996369,200571,ONLINE,Unspecified,BROOKLYN,40.71718949518574,-73.95628213410346,"{'latitude': '40.71718949518574', 'longitude': '-73.95628213410346', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,
58926572,2023-09-26T09:14:56.000,2023-09-26T09:51:48.000,NYPD,New York City Police Department,Encampment,N/A,Subway,,,,,,,,,,,Closed,The Police Department visited the location and no Encampment was found.,2023-09-26T09:51:51.000,Unspecified QUEENS,,QUEENS,999480,211485,MOBILE,Unspecified,QUEENS,40.74714093175865,-73.94503486613837,"{'latitude': '40.74714093175865', 'longitude': '-73.94503486613837', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,G,Passageway,,,,,
58932115,2023-09-26T09:14:52.000,2023-09-26T10:15:52.000,NYPD,New York City Police Department,Illegal Parking,Posted Parking Sign Violation,Street/Sidewalk,11418,91-58 117 STREET,117 STREET,91 AVENUE,ATLANTIC AVENUE,91 AVENUE,ATLANTIC AVENUE,ADDRESS,RICHMOND HILL,117 STREET,Closed,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,2023-09-26T10:15:57.000,09 QUEENS,4093480034,QUEENS,1031358,192314,ONLINE,Unspecified,QUEENS,40.69440890027352,-73.83012139904504,"{'latitude': '40.69440890027352', 'longitude': '-73.83012139904504', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,
58931815,2023-09-26T09:14:51.000,2023-09-26T11:01:39.000,DSNY,Department of Sanitation,Vendor Enforcement,Non-Food Vendor,Street,11375,70-58 AUSTIN STREET,AUSTIN STREET,70 ROAD,71 AVENUE,70 ROAD,71 AVENUE,ADDRESS,FOREST HILLS,AUSTIN STREET,Closed,N/A,2023-09-26T11:01:42.000,06 QUEENS,4032340185,QUEENS,1027100,201769,ONLINE,Unspecified,QUEENS,40.72038224128225,-73.84541619031509,"{'latitude': '40.72038224128225', 'longitude': '-73.84541619031509', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,
58928902,2023-09-26T09:14:46.000,2023-11-03T11:56:44.000,DPR,Department of Parks and Recreation,Damaged Tree,Tree Alive - in Poor Condition,Street,11230,771 EAST    9 STREET,EAST    9 STREET,FOSTER AVENUE,AVENUE H,FOSTER AVENUE,AVENUE H,ADDRESS,BROOKLYN,EAST    9 STREET,Closed,"NYC Parks created a work order for the tree condition.  Please note that addressing this work can take up to a year or more depending on the higher priority work identified during this period and resources available to address this work.    NYC Parks work priority categories range from Category A through D, with A being the most critical and time-sensitive. We will complete all work in Category A first and address work in lower priority categories in accordance with available resources. For more information about the Tree Risk Management Program, visit the NYC Urban Forest page on the NYC Parks website at nyc.gov/parks/trees.   Alternatively, you may choose complete the work yourself by hiring an independent contractor. The contractor must complete a Tree Work Permit application on the NYC Parks website at nyc.gov/parks/trees.",2023-11-03T11:56:48.000,14 BROOKLYN,3064970060,BROOKLYN,993095,168839,MOBILE,Unspecified,BROOKLYN,40.63009617795701,-73.96813434355408,"{'latitude': '40.63009617795701', 'longitude': '-73.96813434355408', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,
58934544,2023-09-26T09:14:31.000,2023-10-27T00:00:00.000,DSNY,Department of Sanitation,Graffiti,Graffiti,Mixed Use,11385,1866 FLUSHING AVENUE,FLUSHING AVENUE,,,,,ADDRESS,RIDGEWOOD,,Closed,The City has removed the graffiti from this property.,2023-10-30T07:21:12.000,05 QUEENS,4033940022,QUEENS,1006590,198647,UNKNOWN,Unspecified,QUEENS,40.71188867156105,-73.91941748062986,"{'latitude': '40.71188867156105', 'longitude': '-73.91941748062986', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",N/A,,,2023-10-26T09:14:31.000,,,,
58925844,2023-09-26T09:14:20.000,2023-09-26T10:39:57.000,NYPD,New York City Police Department,Blocked Driveway,Partial Access,Street/Sidewalk,11417,107-37 88 STREET,88 STREET,107 AVENUE,SUTTER AVENUE,107 AVENUE,SUTTER AVENUE,ADDRESS,OZONE PARK,88 STREET,Closed,The Police Department issued a summons in response to the complaint.,2023-09-26T10:40:03.000,10 QUEENS,4091510057,QUEENS,1025970,186226,ONLINE,Unspecified,QUEENS,40.67772579821198,-73.84958900155762,"{'latitude': '40.67772579821198', 'longitude': '-73.84958900155762', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,
58926840,2023-09-26T09:14:19.000,2023-09-26T10:18:15.000,DOT,Department of Transportation,Street Sign - Missing,Other/Unknown,Street,11365,71-01 PARSONS BOULEVARD,PARSONS BOULEVARD,71 AVENUE,72 AVENUE,71 AVENUE,72 AVENUE,ADDRESS,FRESH MEADOWS,PARSONS BOULEVARD,Closed,The Department of Transportation inspected the condition you reported and determined that this issue is not within its jurisdiction.,2023-09-26T10:18:19.000,08 QUEENS,4067970040,QUEENS,1036658,205328,ONLINE,Unspecified,QUEENS,40.73009934988612,-73.81090754397326,"{'latitude': '40.73009934988612', 'longitude': '-73.81090754397326', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,
58933060,2023-09-26T09:14:19.000,2023-09-26T11:44:31.000,DSNY,Department of Sanitation,Obstruction,Trash or Recycling,Street,10012,9 GREAT JONES STREET,GREAT JONES STREET,GREAT JONES ALLEY,LAFAYETTE STREET,GREAT JONES ALLEY,LAFAYETTE STREET,ADDRESS,NEW YORK,GREAT JONES STREET,Closed,The Department of Sanitation investigated and found this complaint to be out of jurisdiction. The Department of Sanitation reviewed this and found it not to be meeting the criteria for a complaint or service request.,2023-09-26T11:44:31.000,02 MANHATTAN,1005300012,MANHATTAN,985935,204295,ONLINE,Unspecified,MANHATTAN,40.727419115070845,-73.9939206280258,"{'latitude': '40.727419115070845', 'longitude': '-73.9939206280258', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,
58935464,2023-09-26T09:14:14.000,2023-10-03T13:42:32.000,DOT,Department of Transportation,Street Sign - Missing,"No Parking, Standing, Stopping",Street,11218,123 CLARA STREET,CLARA STREET,CHESTER AVENUE,36 STREET,CHESTER AVENUE,36 STREET,ADDRESS,BROOKLYN,CLARA STREET,Closed,The Department of Transportation has completed the request or corrected the condition.,2023-10-03T13:42:37.000,12 BROOKLYN,3053100001,BROOKLYN,988576,173477,PHONE,Unspecified,BROOKLYN,40.64282985942577,-73.98441185590424,"{'latitude': '40.64282985942577', 'longitude': '-73.98441185590424', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,
58928151,2023-09-26T09:14:00.000,2023-09-26T12:41:45.000,NYPD,New York City Police Department,Illegal Parking,Blocked Sidewalk,Street/Sidewalk,11355,43-45 MAIN STREET,MAIN STREET,DAHLIA AVENUE,BOTANICAL GARDEN ENTRANCE,DAHLIA AVENUE,BOTANICAL GARDEN ENTRANCE,ADDRESS,FLUSHING,MAIN STREET,Closed,The Police Department responded and upon arrival those responsible for the condition were gone.,2023-09-26T12:41:48.000,07 QUEENS,4051400047,QUEENS,1032424,213148,ONLINE,Unspecified,QUEENS,40.75158733526771,-73.82612812457656,"{'latitude': '40.75158733526771', 'longitude': '-73.82612812457656', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,
58930196,2023-09-26T09:13:55.000,2023-09-26T09:13:55.000,DOHMH,Department of Health and Mental Hygiene,Rodent,Mouse Sighting,Other (Explain Below),10455,560 BROOK AVENUE,BROOK AVENUE,EAST 149 STREET,WESTCHESTER AVENUE,EAST  149 STREET,WESTCHESTER AVENUE,ADDRESS,BRONX,BROOK AVENUE,Closed,"The Department of Health and Mental Hygiene tried to inspect the property you reported but could not access the site. If you have information that will help the inspector access the site, please go online to nyc.gov/311 or call 311 and refile your complaint with contact information.",2023-09-26T09:13:55.000,01 BRONX,2022760001,BRONX,1007943,236535,PHONE,Unspecified,BRONX,40.815877877937794,-73.91440353899131,"{'latitude': '40.815877877937794', 'longitude': '-73.91440353899131', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,
58934176,2023-09-26T09:13:49.000,2023-10-04T16:05:41.000,DOT,Department of Transportation,Street Condition,Blocked - Construction,Street,11432,89 AVENUE,89 AVENUE,89 AVENUE,150 STREET,89 AVENUE,150 STREET,INTERSECTION,,,Closed,"The Department of Transportation inspected the location for the condition you reported and could not find the problem. It you would like to pursue the complaint, please call 311 or (212) 639-9675 with additional information.",2023-10-04T16:05:47.000,12 QUEENS,,QUEENS,1038136,196067,PHONE,Unspecified,QUEENS,40.704671308952314,-73.80564894957463,"{'latitude': '40.704671308952314', 'longitude': '-73.80564894957463', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,
58932642,2023-09-26T09:13:48.000,2023-09-26T09:15:10.000,NYPD,New York City Police Department,Drug Activity,Use Outside,Street/Sidewalk,11365,71-01 PARSONS BOULEVARD,PARSONS BOULEVARD,71 AVENUE,72 AVENUE,71 AVENUE,72 AVENUE,ADDRESS,FRESH MEADOWS,PARSONS BOULEVARD,Closed,The Police Department responded to the complaint and determined that police action was not necessary.,2023-09-26T09:15:14.000,08 QUEENS,4067970040,QUEENS,1036658,205328,ONLINE,Unspecified,QUEENS,40.73009934988612,-73.81090754397326,"{'latitude': '40.73009934988612', 'longitude': '-73.81090754397326', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,
