unique_key,created_date,closed_date,agency,agency_name,complaint_type,descriptor,location_type,incident_zip,incident_address,street_name,cross_street_1,cross_street_2,intersection_street_1,intersection_street_2,address_type,city,landmark,status,resolution_description,resolution_action_updated_date,community_board,bbl,borough,x_coordinate_state_plane,y_coordinate_state_plane,open_data_channel_type,park_facility_name,park_borough,latitude,longitude,location,facility_type,bridge_highway_name,bridge_highway_direction,bridge_highway_segment,taxi_pick_up_location,road_ramp,due_date
58857184,2023-09-19T23:35:00.000,2023-09-20T10:39:00.000,DEP,Department of Environmental Protection,Lead,Lead Kit Request (Residential) (L10),,10002,9 ALLEN STREET,ALLEN STREET,DIVISION ST,CANAL ST,,,ADDRESS,NEW YORK,,Closed,The Department of Environmental Protection (DEP) mailed you the free lead test kit you requested. The kit includes instructions for collecting a water sample and contact information for DEP's Lead Program Unit if you have any questions. Please use the included pre-paid label to mail the sample to the lab for analysis. It may take the lab up to 30 days to complete their analysis and mail you the test results. This Service Request is closed and no further status will be available from 311.,2023-09-20T10:39:00.000,03 MANHATTAN,1002930017,MANHATTAN,986300,199723,ONLINE,Unspecified,MANHATTAN,40.71487000132079,-73.99260512396494,"{'latitude': '40.71487000132079', 'longitude': '-73.99260512396494', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",N/A,,,,,,
58867632,2023-09-19T23:34:55.000,2023-09-20T00:52:11.000,NYPD,New York City Police Department,Noise - Street/Sidewalk,Loud Music/Party,Street/Sidewalk,11237,421 SUYDAM STREET,SUYDAM STREET,WYCKOFF AVENUE,ST NICHOLAS AVENUE,WYCKOFF AVENUE,ST NICHOLAS AVENUE,ADDRESS,BROOKLYN,SUYDAM STREET,Closed,The Police Department responded to the complaint and took action to fix the condition.,2023-09-20T00:52:16.000,04 BROOKLYN,3032110033,BROOKLYN,1006448,196489,MOBILE,Unspecified,BROOKLYN,40.70596583256201,-73.91993680255952,"{'latitude': '40.70596583256201', 'longitude': '-73.91993680255952', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
58855880,2023-09-19T23:34:35.000,2023-09-20T00:11:08.000,NYPD,New York City Police Department,Noise - Residential,Banging/Pounding,Residential Building/House,11209,150 95 STREET,95 STREET,SHORE ROAD,MARINE AVENUE,SHORE ROAD,MARINE AVENUE,ADDRESS,BROOKLYN,95 STREET,Closed,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,2023-09-20T00:11:10.000,10 BROOKLYN,3061200023,BROOKLYN,973922,164036,MOBILE,Unspecified,BROOKLYN,40.61691134394201,-74.03720107364816,"{'latitude': '40.61691134394201', 'longitude': '-74.03720107364816', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
58867082,2023-09-19T23:34:33.000,2023-09-20T00:18:12.000,NYPD,New York City Police Department,Illegal Parking,Commercial Overnight Parking,Street/Sidewalk,10312,6 TRYON AVENUE,TRYON AVENUE,SHOTWELL AVENUE,GRANTWOOD AVENUE,SHOTWELL AVENUE,GRANTWOOD AVENUE,ADDRESS,STATEN ISLAND,TRYON AVENUE,Closed,The Police Department issued a summons in response to the complaint.,2023-09-20T00:18:15.000,03 STATEN ISLAND,5056680075,STATEN ISLAND,933775,140822,PHONE,Unspecified,STATEN ISLAND,40.553055911499506,-74.18163545153784,"{'latitude': '40.553055911499506', 'longitude': '-74.18163545153784', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
58862388,2023-09-19T23:34:33.000,2023-09-21T11:23:38.000,DOHMH,Department of Health and Mental Hygiene,Rodent,Rat Sighting,Vacant Lot,10017,708 3 AVENUE,3 AVENUE,EAST 44 STREET,EAST 45 STREET,EAST   44 STREET,EAST   45 STREET,ADDRESS,NEW YORK,3 AVENUE,Closed,This service request was closed because the Department of Health and Mental Hygiene received an earlier complaint about the same location.  You can find inspection results for this address by going to the online Rat Portal at www.nyc.gov/rats.,2023-09-19T23:34:33.000,06 MANHATTAN,1012990033,MANHATTAN,991641,213371,MOBILE,Unspecified,MANHATTAN,40.75232755216677,-73.97332377450489,"{'latitude': '40.75232755216677', 'longitude': '-73.97332377450489', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
58855751,2023-09-19T23:34:28.000,2023-09-20T00:27:18.000,NYPD,New York City Police Department,Blocked Driveway,No Access,Street/Sidewalk,11226,261 EAST   31 STREET,EAST   31 STREET,CORTELYOU ROAD,CLARENDON ROAD,CORTELYOU ROAD,CLARENDON ROAD,ADDRESS,BROOKLYN,EAST   31 STREET,Closed,The Police Department issued a summons in response to the complaint.,2023-09-20T00:27:22.000,17 BROOKLYN,3049310052,BROOKLYN,998717,173962,MOBILE,Unspecified,BROOKLYN,40.644150320845334,-73.94786912721976,"{'latitude': '40.644150320845334', 'longitude': '-73.94786912721976', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
58859714,2023-09-19T23:34:25.000,2023-09-19T23:58:46.000,NYPD,New York City Police Department,Noise - Residential,Banging/Pounding,Residential Building/House,10026,214 WEST  114 STREET,WEST  114 STREET,ADAM CLAYTON POWELL JR BOULEVARD,FREDERICK DOUGLASS BOULEVARD,ADAM CLAYTON POWELL JR BOULEVARD,FREDERICK DOUGLASS BOULEVARD,ADDRESS,NEW YORK,WEST  114 STREET,Closed,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,2023-09-19T23:58:50.000,10 MANHATTAN,1018290038,MANHATTAN,996943,231541,ONLINE,Unspecified,MANHATTAN,40.80219338709589,-73.9541530242738,"{'latitude': '40.80219338709589', 'longitude': '-73.9541530242738', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
58857402,2023-09-19T23:33:59.000,2023-09-20T01:45:38.000,NYPD,New York City Police Department,Illegal Parking,Commercial Overnight Parking,Street/Sidewalk,11378,52-54 69 STREET,69 STREET,52 DRIVE,53 AVENUE,52 DRIVE,53 AVENUE,ADDRESS,MASPETH,69 STREET,Closed,The Police Department issued a summons in response to the complaint.,2023-09-20T01:45:42.000,05 QUEENS,4024090012,QUEENS,1013115,205994,MOBILE,Unspecified,QUEENS,40.73203551572855,-73.89584969121422,"{'latitude': '40.73203551572855', 'longitude': '-73.89584969121422', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
58864645,2023-09-19T23:33:44.000,2023-09-19T23:54:20.000,DHS,Department of Homeless Services,Homeless Person Assistance,,Residential Building/House,11421,97-01 ATLANTIC AVENUE,ATLANTIC AVENUE,97 STREET,98 STREET,97 STREET,98 STREET,ADDRESS,WOODHAVEN,ATLANTIC AVENUE,Closed,The Department of Homeless Services did not have enough information to act on your request.,2023-09-19T23:54:20.000,09 QUEENS,4089940035,QUEENS,1027021,190348,MOBILE,Unspecified,QUEENS,40.68903471538596,-73.84577372793304,"{'latitude': '40.68903471538596', 'longitude': '-73.84577372793304', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
58858480,2023-09-19T23:33:34.000,2023-09-19T23:33:34.000,DOHMH,Department of Health and Mental Hygiene,Rodent,Signs of Rodents,Commercial Building,11203,690 ALBANY AVENUE,ALBANY AVENUE,WINTHROP STREET,CLARKSON AVENUE,WINTHROP STREET,CLARKSON AVENUE,ADDRESS,BROOKLYN,ALBANY AVENUE,Closed,The Department of Health and Mental Hygiene inspected the property you reported and did not find any violations at the time of the inspection. The property passed inspection.,2023-09-19T23:33:34.000,09 BROOKLYN,3048290004,BROOKLYN,1000992,178733,MOBILE,Unspecified,BROOKLYN,40.657241667515976,-73.93965947583904,"{'latitude': '40.657241667515976', 'longitude': '-73.93965947583904', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
58863513,2023-09-19T23:33:16.000,2023-09-20T00:19:48.000,NYPD,New York City Police Department,Noise - Commercial,Loud Music/Party,Club/Bar/Restaurant,11106,32-04 36 AVENUE,36 AVENUE,32 STREET,33 STREET,32 STREET,33 STREET,ADDRESS,ASTORIA,36 AVENUE,Closed,The Police Department responded to the complaint and took action to fix the condition.,2023-09-20T00:19:52.000,01 QUEENS,4006010132,QUEENS,1003971,214766,ONLINE,Unspecified,QUEENS,40.756137568718884,-73.92881721234559,"{'latitude': '40.756137568718884', 'longitude': '-73.92881721234559', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
58863448,2023-09-19T23:33:01.000,2023-09-20T00:12:06.000,NYPD,New York City Police Department,Non-Emergency Police Matter,Trespassing,Residential Building/House,10027,80 WEST  120 STREET,WEST  120 STREET,MOUNT MORRIS PARK WEST,LENOX AVENUE,MOUNT MORRIS PARK WEST,LENOX AVENUE,ADDRESS,NEW YORK,WEST  120 STREET,Closed,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,2023-09-20T00:12:10.000,10 MANHATTAN,1017180067,MANHATTAN,998890,232304,ONLINE,Unspecified,MANHATTAN,40.80428460082659,-73.94711881966009,"{'latitude': '40.80428460082659', 'longitude': '-73.94711881966009', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
58869228,2023-09-19T23:32:54.000,2023-09-20T01:55:12.000,NYPD,New York City Police Department,Blocked Driveway,No Access,Street/Sidewalk,11434,150-73 116 ROAD,116 ROAD,SUTPHIN BOULEVARD,155 STREET,SUTPHIN BOULEVARD,155 STREET,ADDRESS,JAMAICA,116 ROAD,Closed,The Police Department reviewed your complaint and provided additional information below.,2023-09-20T01:55:17.000,12 QUEENS,4122010062,QUEENS,1041946,187842,PHONE,Unspecified,QUEENS,40.68207162835518,-73.7919778906918,"{'latitude': '40.68207162835518', 'longitude': '-73.7919778906918', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
58869637,2023-09-19T23:32:53.000,2023-09-20T00:09:00.000,NYPD,New York City Police Department,Noise - Street/Sidewalk,Loud Talking,Street/Sidewalk,11210,970 EAST   34 STREET,EAST   34 STREET,GLENWOOD ROAD,AVENUE H,GLENWOOD ROAD,AVENUE H,ADDRESS,BROOKLYN,EAST   34 STREET,Closed,The Police Department responded to the complaint and took action to fix the condition.,2023-09-20T00:09:05.000,17 BROOKLYN,3075610071,BROOKLYN,999860,169801,MOBILE,Unspecified,BROOKLYN,40.63272732607455,-73.9437600303035,"{'latitude': '40.63272732607455', 'longitude': '-73.9437600303035', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
58865792,2023-09-19T23:32:44.000,2023-09-19T23:39:53.000,NYPD,New York City Police Department,Non-Emergency Police Matter,Other (complaint details),Street/Sidewalk,11375,108-20 62 DRIVE,62 DRIVE,108 STREET,110 STREET,108 STREET,110 STREET,ADDRESS,FOREST HILLS,62 DRIVE,Closed,The Police Department responded to the complaint and determined that police action was not necessary.,2023-09-19T23:39:56.000,06 QUEENS,4021660015,QUEENS,1025726,207403,ONLINE,Unspecified,QUEENS,40.73585272306802,-73.85033823795484,"{'latitude': '40.73585272306802', 'longitude': '-73.85033823795484', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
58856739,2023-09-19T23:32:43.000,2023-09-20T04:08:07.000,NYPD,New York City Police Department,Noise - Street/Sidewalk,Loud Music/Party,Street/Sidewalk,10453,2065 GRAND CONCOURSE,GRAND CONCOURSE,EAST BURNSIDE AVENUE,EAST  180 STREET,EAST BURNSIDE AVENUE,EAST  180 STREET,ADDRESS,BRONX,GRAND CONCOURSE,Closed,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,2023-09-20T04:08:09.000,05 BRONX,2031600024,BRONX,1011036,250052,ONLINE,Unspecified,BRONX,40.85296928246686,-73.90317538994582,"{'latitude': '40.85296928246686', 'longitude': '-73.90317538994582', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
58856916,2023-09-19T23:32:41.000,2023-10-08T08:00:45.000,DHS,Department of Homeless Services,Homeless Person Assistance,,Subway,,,,,,,,ADDRESS,,,Closed,The mobile outreach response team went to the location provided but could not find the individual that you reported.,2023-10-07T19:52:46.000,Unspecified MANHATTAN,,MANHATTAN,984886,203169,MOBILE,Unspecified,MANHATTAN,40.72432865638317,-73.99770545918592,"{'latitude': '40.72432865638317', 'longitude': '-73.99770545918592', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,R,R W Uptown & Queens,Platform,,,
58858575,2023-09-19T23:32:15.000,2023-09-20T21:42:35.000,NYPD,New York City Police Department,Illegal Parking,Blocked Sidewalk,Street/Sidewalk,10473,2144 LACOMBE AVENUE,LACOMBE AVENUE,TORRY AVENUE,HOWE AVENUE,TORRY AVENUE,HOWE AVENUE,ADDRESS,BRONX,LACOMBE AVENUE,Closed,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,2023-09-20T21:42:39.000,09 BRONX,2035090035,BRONX,1026024,236856,PHONE,Unspecified,BRONX,40.81669193426125,-73.84907983365765,"{'latitude': '40.81669193426125', 'longitude': '-73.84907983365765', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
58855523,2023-09-19T23:32:13.000,2023-09-20T01:43:06.000,NYPD,New York City Police Department,Illegal Parking,Commercial Overnight Parking,Street/Sidewalk,11229,AVENUE U,AVENUE U,AVENUE U,COYLE STREET,AVENUE U,COYLE STREET,INTERSECTION,,,Closed,The Police Department responded to the complaint and determined that police action was not necessary.,2023-09-20T01:43:12.000,15 BROOKLYN,,BROOKLYN,1001703,158225,PHONE,Unspecified,BROOKLYN,40.6009501744794,-73.93714996489857,"{'latitude': '40.6009501744794', 'longitude': '-73.93714996489857', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
58859760,2023-09-19T23:32:00.000,2023-09-19T23:58:05.000,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,Residential Building/House,11221,815 GREENE AVENUE,GREENE AVENUE,LEWIS AVENUE,STUYVESANT AVENUE,LEWIS AVENUE,STUYVESANT AVENUE,ADDRESS,BROOKLYN,GREENE AVENUE,Closed,The Police Department responded to the complaint but officers were unable to gain entry into the premises.,2023-09-19T23:58:10.000,03 BROOKLYN,3016150073,BROOKLYN,1002197,190754,ONLINE,Unspecified,BROOKLYN,40.690234241509394,-73.93528447964937,"{'latitude': '40.690234241509394', 'longitude': '-73.93528447964937', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
58862483,2023-09-19T23:31:57.000,2023-09-20T03:32:47.000,NYPD,New York City Police Department,Illegal Parking,Commercial Overnight Parking,Street/Sidewalk,11354,40-29 149 STREET,149 STREET,LIRR PORT WASHINGTON LINE,41 AVENUE,LIRR PORT WASHINGTON LINE,41 AVENUE,ADDRESS,FLUSHING,149 STREET,Closed,The Police Department responded to the complaint and determined that police action was not necessary.,2023-09-20T03:32:54.000,07 QUEENS,4050290009,QUEENS,1035220,217079,ONLINE,Unspecified,QUEENS,40.76236122892493,-73.81600689726437,"{'latitude': '40.76236122892493', 'longitude': '-73.81600689726437', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
58861745,2023-09-19T23:31:41.000,2023-09-20T00:26:47.000,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,Residential Building/House,11208,599 RIDGEWOOD AVENUE,RIDGEWOOD AVENUE,GRANT AVENUE,ELDERT LANE,GRANT AVENUE,ELDERT LANE,ADDRESS,BROOKLYN,RIDGEWOOD AVENUE,Closed,The Police Department responded to the complaint and took action to fix the condition.,2023-09-20T00:26:51.000,05 BROOKLYN,3041230022,BROOKLYN,1021089,189525,ONLINE,Unspecified,BROOKLYN,40.68680245045742,-73.86716815881871,"{'latitude': '40.68680245045742', 'longitude': '-73.86716815881871', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
58859817,2023-09-19T23:31:31.000,2023-09-20T00:02:06.000,NYPD,New York City Police Department,Noise - Residential,Loud Talking,Residential Building/House,10456,1260 WEBSTER AVENUE,WEBSTER AVENUE,EAST  168 STREET,EAST  169 STREET,EAST  168 STREET,EAST  169 STREET,ADDRESS,BRONX,WEBSTER AVENUE,Closed,The Police Department responded to the complaint and took action to fix the condition.,2023-09-20T00:02:10.000,03 BRONX,2023950001,BRONX,1009396,242823,ONLINE,Unspecified,BRONX,40.83313262646111,-73.90913067753257,"{'latitude': '40.83313262646111', 'longitude': '-73.90913067753257', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
58870050,2023-09-19T23:30:49.000,2023-09-20T02:29:11.000,NYPD,New York City Police Department,Blocked Driveway,Partial Access,Street/Sidewalk,11434,150-73 116 ROAD,116 ROAD,SUTPHIN BOULEVARD,155 STREET,SUTPHIN BOULEVARD,155 STREET,ADDRESS,JAMAICA,116 ROAD,Closed,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,2023-09-20T02:29:18.000,12 QUEENS,4122010062,QUEENS,1041946,187842,ONLINE,Unspecified,QUEENS,40.68207162835518,-73.7919778906918,"{'latitude': '40.68207162835518', 'longitude': '-73.7919778906918', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
58856550,2023-09-19T23:30:17.000,2023-09-25T13:28:54.000,TLC,Taxi and Limousine Commission,Lost Property,Bag/Wallet,Taxi,10016,37 PARK AVENUE,PARK AVENUE,EAST   35 STREET,EAST   36 STREET,EAST   35 STREET,EAST   36 STREET,ADDRESS,NEW YORK,PARK AVENUE,Closed,See notes for information.,2023-09-25T13:28:58.000,06 MANHATTAN,1008910003,MANHATTAN,989664,211892,PHONE,Unspecified,MANHATTAN,40.748269502117886,-73.98046052141233,"{'latitude': '40.748269502117886', 'longitude': '-73.98046052141233', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,"37 PARK AVENUE, MANHATTAN (NEW YORK), NY, 10016",,
58858406,2023-09-19T23:30:16.000,2023-10-30T15:46:26.000,DPR,Department of Parks and Recreation,Dead/Dying Tree,Planted Less Than 2 Years Ago,Street,10016,477 3 AVENUE,3 AVENUE,EAST   32 STREET,EAST   33 STREET,EAST   32 STREET,EAST   33 STREET,ADDRESS,NEW YORK,3 AVENUE,Closed,"NYC Parks created a work order for the tree condition.  Please note that addressing this work can take up to a year or more depending on the higher priority work identified during this period and resources available to address this work.    NYC Parks work priority categories range from Category A through D, with A being the most critical and time-sensitive. We will complete all work in Category A first and address work in lower priority categories in accordance with available resources. For more information about the Tree Risk Management Program, visit the NYC Urban Forest page on the NYC Parks website at nyc.gov/parks/trees.   Alternatively, you may choose complete the work yourself by hiring an independent contractor. The contractor must complete a Tree Work Permit application on the NYC Parks website at nyc.gov/parks/trees.",2023-10-30T15:46:30.000,06 MANHATTAN,1009130001,MANHATTAN,990107,210589,ONLINE,Unspecified,MANHATTAN,40.74469281187586,-73.97886284035903,"{'latitude': '40.74469281187586', 'longitude': '-73.97886284035903', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
58876223,2023-09-19T23:30:15.000,2023-09-29T00:00:00.000,DOB,Department of Buildings,Special Projects Inspection Team (SPIT),Sign/Awning/Marquee - Illegal/No Permit,,10314,6 FAIRVIEW AVENUE,FAIRVIEW AVENUE,,,,,ADDRESS,STATEN ISLAND,,Closed,The Department of Buildings investigated this complaint and determined that no further action was necessary.,2023-09-29T00:00:00.000,01 STATEN ISLAND,5003320151,STATEN ISLAND,951002,164972,UNKNOWN,Unspecified,STATEN ISLAND,40.61942410469728,-74.11976260712744,"{'latitude': '40.61942410469728', 'longitude': '-74.11976260712744', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",N/A,,,,,,
