unique_key,created_date,agency,agency_name,complaint_type,descriptor,location_type,incident_zip,incident_address,street_name,cross_street_1,cross_street_2,intersection_street_1,intersection_street_2,address_type,city,landmark,status,community_board,borough,x_coordinate_state_plane,y_coordinate_state_plane,open_data_channel_type,park_facility_name,park_borough,latitude,longitude,location,closed_date,resolution_description,resolution_action_updated_date,bbl,bridge_highway_name,bridge_highway_direction,road_ramp,bridge_highway_segment,facility_type,due_date,taxi_pick_up_location
58966117,2023-09-29T08:41:01.000,HPD,Department of Housing Preservation and Development,WATER LEAK,HEAVY FLOW,RESIDENTIAL BUILDING,11226,743 ROGERS AVENUE,ROGERS AVENUE,,,,,ADDRESS,BROOKLYN,,Closed,17 BROOKLYN,BROOKLYN,997371,177211,PHONE,Unspecified,BROOKLYN,40.65307021693439,-73.95271302774806,"{'latitude': '40.65307021693439', 'longitude': '-73.95271302774806', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",2023-09-30T23:38:39.000,The Department of Housing Preservation and Development inspected the following conditions. No violations were issued. The complaint has been closed.,2023-09-30T00:00:00.000,3050850008,,,,,,,
58965526,2023-09-29T08:41:01.000,DSNY,Department of Sanitation,Graffiti,Graffiti,Comercial,10025,2587 BROADWAY,BROADWAY,,,,,ADDRESS,NEW YORK,,Closed,07 MANHATTAN,MANHATTAN,992252,229137,UNKNOWN,Unspecified,MANHATTAN,40.79560055631562,-73.97109972762975,"{'latitude': '40.79560055631562', 'longitude': '-73.97109972762975', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",2023-10-02T00:00:00.000,"The City inspected the property for cleaning, but no graffiti was found.",2023-10-03T09:56:47.000,1018690013,,,,,N/A,2023-10-29T08:41:01.000,
58957626,2023-09-29T08:41:00.000,DEP,Department of Environmental Protection,Sewer,Sewer Backup (Use Comments) (SA),,11204,105 AVENUE P,AVENUE P,W 11 ST,W 10 ST,,,ADDRESS,BROOKLYN,,Closed,11 BROOKLYN,BROOKLYN,988619,160636,PHONE,Unspecified,BROOKLYN,40.60758398675019,-73.98426522279388,"{'latitude': '40.60758398675019', 'longitude': '-73.98426522279388', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",2023-09-29T10:15:00.000,The Department of Environmental Protection has investigated this complaint. Surcharge conditions have been confirmed due to rain intensity or volume.,2023-09-29T10:15:00.000,3065960050,,,,,,,
58966706,2023-09-29T08:41:00.000,DEP,Department of Environmental Protection,Sewer,Catch Basin Clogged/Flooding (Use Comments) (SC),,11228,1501 85 STREET,85 STREET,15 AVE,16 AVE,,,ADDRESS,BROOKLYN,,Closed,11 BROOKLYN,BROOKLYN,981877,162177,PHONE,Unspecified,BROOKLYN,40.6118144747138,-74.0085468053069,"{'latitude': '40.6118144747138', 'longitude': '-74.0085468053069', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",2023-10-01T14:45:00.000,"The Department of Environmental Protection inspected your complaint and cleaned the catch basin or inlet. If the condition returns, please call 311 (or 212-639-9675 if calling from a non-New York City area code) to submit a new complaint.",2023-10-01T14:45:00.000,3063240001,,,,,,,
58959464,2023-09-29T08:41:00.000,DOT,Department of Transportation,Traffic Signal Condition,Controller Cabinet,,11206,,,,,JOHNSON AVENUE,WHITE STREET,INTERSECTION,BROOKLYN,,Closed,01 BROOKLYN,BROOKLYN,1002023,196965,UNKNOWN,Unspecified,BROOKLYN,40.70728233438637,-73.93589552033274,"{'latitude': '40.70728233438637', 'longitude': '-73.93589552033274', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",2023-09-29T17:40:00.000,Service Request status for this request is available on the Department of Transportationâs website. Please click the âLearn Moreâ link below.,2023-09-29T17:40:00.000,,,,,,N/A,,
58958988,2023-09-29T08:41:00.000,DEP,Department of Environmental Protection,Sewer,Catch Basin Clogged/Flooding (Use Comments) (SC),,11433,160-02 111 AVENUE,111 AVENUE,160 ST,UNION HALL ST,,,ADDRESS,JAMAICA,,Closed,12 QUEENS,QUEENS,1042603,191113,PHONE,Unspecified,QUEENS,40.69104544153138,-73.78958076609702,"{'latitude': '40.69104544153138', 'longitude': '-73.78958076609702', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",2023-10-05T13:10:00.000,NYC DEP investigated and determined the sewer or catchbasin was overtaxed due to heavy rain and no further action is required.,2023-10-05T13:10:00.000,4121810010,,,,,,,
58966866,2023-09-29T08:41:00.000,DEP,Department of Environmental Protection,Sewer,Sewer Backup (Use Comments) (SA),,11214,8810 16 AVENUE,16 AVENUE,BATH AVE,CROPSEY AVE,,,ADDRESS,BROOKLYN,,Closed,11 BROOKLYN,BROOKLYN,980990,159999,PHONE,Unspecified,BROOKLYN,40.60583602938195,-74.01174045103461,"{'latitude': '40.60583602938195', 'longitude': '-74.01174045103461', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",2023-09-29T10:25:00.000,The Department of Environmental Protection has investigated this complaint. Surcharge conditions have been confirmed due to rain intensity or volume.,2023-09-29T10:25:00.000,3064290059,,,,,,,
58966942,2023-09-29T08:41:00.000,DEP,Department of Environmental Protection,Sewer,Street Flooding (SJ),,11214,1973 81 STREET,81 STREET,19 AVE,20 AVE,,,ADDRESS,BROOKLYN,,Closed,11 BROOKLYN,BROOKLYN,985351,160750,ONLINE,Unspecified,BROOKLYN,40.60789790205374,-73.99603477430168,"{'latitude': '40.60789790205374', 'longitude': '-73.99603477430168', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",2023-09-30T11:35:00.000,NYC DEP investigated and determined the sewer or catchbasin was overtaxed due to heavy rain and no further action is required.,2023-09-30T11:35:00.000,3062860043,,,,,,,
58963752,2023-09-29T08:41:00.000,DEP,Department of Environmental Protection,Sewer,Street Flooding (SJ),,11218,1221 CHURCH AVENUE,CHURCH AVENUE,WESTMINSTER RD,ARGYLE RD,,,ADDRESS,BROOKLYN,,Closed,14 BROOKLYN,BROOKLYN,993081,175160,PHONE,Unspecified,BROOKLYN,40.64744598508772,-73.96817650789362,"{'latitude': '40.64744598508772', 'longitude': '-73.96817650789362', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",2023-09-30T10:00:00.000,NYC DEP investigated and determined the sewer or catchbasin was overtaxed due to heavy rain and no further action is required.,2023-09-30T10:00:00.000,3050730035,,,,,,,
58966943,2023-09-29T08:41:00.000,DEP,Department of Environmental Protection,Sewer,Street Flooding (SJ),,11204,6620 BAY PARKWAY,BAY PARKWAY,SEA BEACH LINE,67 ST,,,ADDRESS,BROOKLYN,,Closed,11 BROOKLYN,BROOKLYN,989100,162544,ONLINE,Unspecified,BROOKLYN,40.612820804516105,-73.98253155042984,"{'latitude': '40.612820804516105', 'longitude': '-73.98253155042984', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",2023-09-30T10:10:00.000,NYC DEP investigated and determined the sewer or catchbasin was overtaxed due to heavy rain and no further action is required.,2023-09-30T10:10:00.000,3055640049,,,,,,,
58957625,2023-09-29T08:41:00.000,DEP,Department of Environmental Protection,Sewer,Sewer Backup (Use Comments) (SA),,11215,308 10 STREET,10 STREET,4 AVE,5 AVE,,,ADDRESS,BROOKLYN,,Closed,06 BROOKLYN,BROOKLYN,987448,183150,PHONE,Unspecified,BROOKLYN,40.669380604531426,-73.98847186111007,"{'latitude': '40.669380604531426', 'longitude': '-73.98847186111007', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",2023-09-29T20:25:00.000,The Department of Environmental Protection has investigated this complaint. Surcharge conditions have been confirmed due to rain intensity or volume.,2023-09-29T20:25:00.000,3010160008,,,,,,,
58959229,2023-09-29T08:41:00.000,DEP,Department of Environmental Protection,Water System,Possible Water Main Break (Use Comments) (WA1),,11201,,,,,ASHLAND PLACE,WILLOUGHBY STREET,INTERSECTION,BROOKLYN,,Closed,02 BROOKLYN,BROOKLYN,990088,191363,PHONE,Unspecified,BROOKLYN,40.69192207702148,-73.97894808374932,"{'latitude': '40.69192207702148', 'longitude': '-73.97894808374932', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",2023-09-29T08:55:00.000,The Department of Environmental Protection investigated this complaint and found it to be a temporary condition.,2023-09-29T08:55:00.000,,,,,,,,
58963442,2023-09-29T08:41:00.000,DEP,Department of Environmental Protection,Water System,Excessive Water In Basement (WEFB),,11210,2803 FARRAGUT ROAD,FARRAGUT ROAD,E 28 ST,E 29 ST,,,ADDRESS,BROOKLYN,,Closed,14 BROOKLYN,BROOKLYN,998192,171054,PHONE,Unspecified,BROOKLYN,40.63616932675852,-73.94976693850667,"{'latitude': '40.63616932675852', 'longitude': '-73.94976693850667', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",2023-09-29T09:20:00.000,The Department of Environmental Protection resolved this complaint by speaking to the complainant on the phone.,2023-09-29T09:20:00.000,3052300009,,,,,,,
58960732,2023-09-29T08:41:00.000,DEP,Department of Environmental Protection,Sewer,Street Flooding (SJ),,11223,416 QUENTIN ROAD,QUENTIN ROAD,E 2 ST,E 3 ST,,,ADDRESS,BROOKLYN,,Closed,15 BROOKLYN,BROOKLYN,992424,160384,ONLINE,Unspecified,BROOKLYN,40.606889605421436,-73.97056197461966,"{'latitude': '40.606889605421436', 'longitude': '-73.97056197461966', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",2023-09-30T07:35:00.000,NYC DEP investigated and determined the sewer or catchbasin was overtaxed due to heavy rain and no further action is required.,2023-09-30T07:35:00.000,3066590011,,,,,,,
58956098,2023-09-29T08:41:00.000,DEP,Department of Environmental Protection,Sewer,Street Flooding (SJ),,11215,7 STREET,7 STREET,5 AVENUE,6 AVENUE,,,BLOCKFACE,BROOKLYN,,Closed,06 BROOKLYN,BROOKLYN,,,PHONE,Unspecified,BROOKLYN,,,,2023-09-29T10:30:00.000,"The Department of Environment Protection inspected your complaint but could not find the problem you reported. If the condition persists, please call 311 (or 212-639-9675 if calling from a non-New York City area code) with more detailed information to submit a new complaint.",2023-09-29T10:30:00.000,,,,,,,,
58962230,2023-09-29T08:41:00.000,DEP,Department of Environmental Protection,Sewer,Street Flooding (SJ),,11208,995 CLEVELAND STREET,CLEVELAND STREET,STANLEY AVE,WORTMAN AVE,,,ADDRESS,BROOKLYN,,Closed,05 BROOKLYN,BROOKLYN,1018079,179945,PHONE,Unspecified,BROOKLYN,40.6605195449384,-73.87806950226438,"{'latitude': '40.6605195449384', 'longitude': '-73.87806950226438', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",2023-09-29T08:55:00.000,NYC DEP investigated and determined the sewer or catchbasin was overtaxed due to heavy rain and no further action is required.,2023-09-29T08:55:00.000,3043820045,,,,,,,
58960637,2023-09-29T08:41:00.000,DEP,Department of Environmental Protection,Sewer,Sewer Backup (Use Comments) (SA),,11218,10 STRATFORD ROAD,STRATFORD ROAD,CATON AVE,CHURCH AVE,,,ADDRESS,BROOKLYN,,Closed,14 BROOKLYN,BROOKLYN,992686,175530,PHONE,Unspecified,BROOKLYN,40.648461940001475,-73.96959947153924,"{'latitude': '40.648461940001475', 'longitude': '-73.96959947153924', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",2023-09-29T12:50:00.000,The Department of Environmental Protection has investigated this complaint. Surcharge conditions have been confirmed due to rain intensity or volume.,2023-09-29T12:50:00.000,3050710006,,,,,,,
58966867,2023-09-29T08:41:00.000,DEP,Department of Environmental Protection,Sewer,Street Flooding (SJ),,11236,458 EAST  101 STREET,EAST  101 STREET,AVENUE D,FOSTER AVE,,,ADDRESS,BROOKLYN,,Closed,18 BROOKLYN,BROOKLYN,1011015,176453,ONLINE,Unspecified,BROOKLYN,40.650958945953974,-73.90354424545139,"{'latitude': '40.650958945953974', 'longitude': '-73.90354424545139', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",2023-09-29T09:10:00.000,NYC DEP investigated and determined the sewer or catchbasin was overtaxed due to heavy rain and no further action is required.,2023-09-29T09:10:00.000,3081330064,,,,,,,
58965304,2023-09-29T08:41:00.000,DEP,Department of Environmental Protection,Sewer,Sewer Backup (Use Comments) (SA),,10301,115 ARLO ROAD,ARLO ROAD,BEND,BEND,,,ADDRESS,STATEN ISLAND,,Closed,01 STATEN ISLAND,STATEN ISLAND,958104,165236,PHONE,Unspecified,STATEN ISLAND,40.6201725343247,-74.09418154067336,"{'latitude': '40.6201725343247', 'longitude': '-74.09418154067336', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",2023-09-29T16:45:00.000,The Department of Environmental Protection has investigated this complaint. There was no indication of city sewer issue at time of the inspection and no further investigation needed.,2023-09-29T16:45:00.000,5005930590,,,,,,,
58960421,2023-09-29T08:41:00.000,DEP,Department of Environmental Protection,Water System,Excessive Water In Basement (WEFB),,11214,1973 81 STREET,81 STREET,19 AVE,20 AVE,,,ADDRESS,BROOKLYN,,Closed,11 BROOKLYN,BROOKLYN,985351,160750,PHONE,Unspecified,BROOKLYN,40.60789790205374,-73.99603477430168,"{'latitude': '40.60789790205374', 'longitude': '-73.99603477430168', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",2023-09-29T08:50:00.000,The Department of Environmental Protection resolved this complaint by speaking to the complainant on the phone.,2023-09-29T08:50:00.000,3062860043,,,,,,,
58965389,2023-09-29T08:41:00.000,DEP,Department of Environmental Protection,Sewer,Street Flooding (SJ),,11204,,,,,17 AVENUE,60 STREET,INTERSECTION,BROOKLYN,,Closed,12 BROOKLYN,BROOKLYN,987168,166387,PHONE,Unspecified,BROOKLYN,40.62336988839489,-73.98948845527158,"{'latitude': '40.62336988839489', 'longitude': '-73.98948845527158', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",2023-09-30T12:00:00.000,NYC DEP investigated and determined the sewer or catchbasin was overtaxed due to heavy rain and no further action is required.,2023-09-30T12:00:00.000,,,,,,,,
58963441,2023-09-29T08:41:00.000,DEP,Department of Environmental Protection,Water System,Excessive Water In Basement (WEFB),,11217,395 DOUGLAS STREET,DOUGLAS STREET,4 AVE,5 AVE,,,ADDRESS,BROOKLYN,,Closed,06 BROOKLYN,BROOKLYN,989768,186539,PHONE,Unspecified,BROOKLYN,40.678681505390415,-73.98010595918586,"{'latitude': '40.678681505390415', 'longitude': '-73.98010595918586', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",2023-09-29T09:20:00.000,The Department of Environmental Protection resolved this complaint by speaking to the complainant on the phone.,2023-09-29T09:20:00.000,3009430055,,,,,,,
58967175,2023-09-29T08:41:00.000,DOT,Department of Transportation,Traffic Signal Condition,Controller,,11377,,,,,QUEENS BOULEVARD,58 STREET,INTERSECTION,QUEENS,,Closed,02 QUEENS,QUEENS,1009881,209571,UNKNOWN,Unspecified,QUEENS,40.741863453510625,-73.90750492962665,"{'latitude': '40.741863453510625', 'longitude': '-73.90750492962665', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",2023-09-29T10:10:00.000,Service Request status for this request is available on the Department of Transportationâs website. Please click the âLearn Moreâ link below.,2023-09-29T10:10:00.000,,,,,,N/A,,
58957494,2023-09-29T08:41:00.000,DEP,Department of Environmental Protection,Sewer,Catch Basin Clogged/Flooding (Use Comments) (SC),,11221,,,,,EVERGREEN AVENUE,PALMETTO STREET,INTERSECTION,BROOKLYN,,Closed,04 BROOKLYN,BROOKLYN,1006818,191331,PHONE,Unspecified,BROOKLYN,40.691807396013836,-73.918619579898,"{'latitude': '40.691807396013836', 'longitude': '-73.918619579898', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",2023-09-30T13:05:00.000,NYC DEP investigated and determined the sewer or catchbasin was overtaxed due to heavy rain and no further action is required.,2023-09-30T13:05:00.000,,,,,,,,
58957952,2023-09-29T08:41:00.000,DOT,Department of Transportation,Traffic Signal Condition,Controller,,10031,,,,,AMSTERDAM AVENUE,WEST 150 STREET,INTERSECTION,MANHATTAN,,Closed,09 MANHATTAN,MANHATTAN,999389,241090,UNKNOWN,Unspecified,MANHATTAN,40.82839886247334,-73.94529656226905,"{'latitude': '40.82839886247334', 'longitude': '-73.94529656226905', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",2023-09-29T16:10:00.000,Service Request status for this request is available on the Department of Transportationâs website. Please click the âLearn Moreâ link below.,2023-09-29T16:10:00.000,,,,,,N/A,,
58956022,2023-09-29T08:41:00.000,DEP,Department of Environmental Protection,Sewer,Sewer Backup (Use Comments) (SA),,11230,1515 MCDONALD AVENUE,MCDONALD AVENUE,AVENUE M,24 AVE,,,ADDRESS,BROOKLYN,,Closed,12 BROOKLYN,BROOKLYN,991382,163622,PHONE,Unspecified,BROOKLYN,40.615778148791705,-73.97431123653814,"{'latitude': '40.615778148791705', 'longitude': '-73.97431123653814', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",2023-09-29T11:20:00.000,The Department of Environmental Protection has investigated this complaint. Surcharge conditions have been confirmed due to rain intensity or volume.,2023-09-29T11:20:00.000,3065640084,,,,,,,
58957716,2023-09-29T08:41:00.000,DEP,Department of Environmental Protection,Sewer,Street Flooding (SJ),,11206,40 MIDDLETON STREET,MIDDLETON STREET,LEE AVE,MARCY AVE,,,ADDRESS,BROOKLYN,,Closed,01 BROOKLYN,BROOKLYN,996958,194671,PHONE,Unspecified,BROOKLYN,40.700994568761885,-73.95416852201994,"{'latitude': '40.700994568761885', 'longitude': '-73.95416852201994', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",2023-09-29T17:40:00.000,The Department of Environmental Protection investigated this complaint and resolved the street flooding.,2023-09-29T17:40:00.000,3022407511,,,,,,,
