unique_key,created_date,agency,agency_name,complaint_type,descriptor,location_type,incident_zip,incident_address,street_name,address_type,city,status,resolution_description,resolution_action_updated_date,community_board,bbl,borough,x_coordinate_state_plane,y_coordinate_state_plane,open_data_channel_type,park_facility_name,park_borough,latitude,longitude,location,closed_date,intersection_street_1,intersection_street_2,facility_type,cross_street_1,cross_street_2,landmark,taxi_pick_up_location,due_date,bridge_highway_name,bridge_highway_direction,bridge_highway_segment,road_ramp
58824004,2023-09-15T11:38:17.000,DOB,Department of Buildings,Building/Use,Illegal Conversion Of Residential Building/Space,,11423,89-17 182 PLACE,182 PLACE,ADDRESS,HOLLIS,Assigned,The Department of Buildings attempted to investigate this complaint but could not gain access to the location. Please schedule an appointment for a follow up inspection by contacting the appropriate unit at Department of Buildings. You can find contact information at https://www1.nyc.gov/site/buildings/about/contact-us.page.,2023-10-23T00:00:00.000,12 QUEENS,4099220018,QUEENS,1045471,198737,UNKNOWN,Unspecified,QUEENS,40.71195209525112,-73.7791695773418,"{'latitude': '40.71195209525112', 'longitude': '-73.7791695773418', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",2023-10-23T00:00:00.000,,,,,,,,,,,,
58835514,2023-09-15T11:37:56.000,DSNY,Department of Sanitation,Dirty Condition,Debris from Car Accident,Traffic Island or Median,,,,,,Closed,The Department of Sanitation investigated this complaint and found no condition at the location.,2023-09-16T09:29:00.000,0 Unspecified,,Unspecified,,219337,ONLINE,Unspecified,Unspecified,,,,2023-09-16T15:30:29.000,,,,,,,,,,,,
58862773,2023-09-15T11:37:54.000,DSNY,Department of Sanitation,Illegal Dumping,Removal Request,Sidewalk,11207,581 GLENMORE AVENUE,GLENMORE AVENUE,ADDRESS,BROOKLYN,Closed,The Department of Sanitation cleaned the location.,2023-09-20T12:51:57.000,05 BROOKLYN,3039800036,BROOKLYN,1015122,184954,ONLINE,Unspecified,BROOKLYN,40.67427892732485,-73.88870452238679,"{'latitude': '40.67427892732485', 'longitude': '-73.88870452238679', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",2023-09-22T09:35:04.000,SCHENCK AVENUE,BARBEY STREET,,SCHENCK AVENUE,BARBEY STREET,GLENMORE AVENUE,,,,,,
58852404,2023-09-15T11:37:51.000,DPR,Department of Parks and Recreation,Overgrown Tree/Branches,Blocking Street,Street,,,,,,In Progress,"NYC Parks created a work order for the tree condition and expects to address the issue within 120 days from the date of the tree assessment, barring any weather-related requests.   NYC Parks work priority categories range from Category A through D, with A being the most critical and time-sensitive. We will complete all work in Category A first and address work in lower priority categories in accordance with available resources. For more information about the Tree Risk Management Program, visit the NYC Urban Forest page on the NYC Parks website at nyc.gov/parks/trees.",2023-09-18T07:57:23.000,0 Unspecified,,Unspecified,953359,149048,PHONE,Unspecified,Unspecified,40.5757245087718,-74.11119965289636,"{'latitude': '40.5757245087718', 'longitude': '-74.11119965289636', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,,,,,,
58858994,2023-09-15T11:37:44.000,DSNY,Department of Sanitation,Obstruction,Weeds or Grass,Sidewalk,,,,,,In Progress,,,0 Unspecified,,Unspecified,941753,145804,PHONE,Unspecified,Unspecified,40.56677233937227,-74.15295780302166,"{'latitude': '40.56677233937227', 'longitude': '-74.15295780302166', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,,,,,,
58864456,2023-09-15T11:37:39.000,DPR,Department of Parks and Recreation,Maintenance or Facility,Rodent Sighting,Park,11691,9-01 SEAGIRT BOULEVARD,SEAGIRT BOULEVARD,ADDRESS,FAR ROCKAWAY,In Progress,An inspection is currently in progress to determine whether the reported condition requires further action.,2023-10-03T12:43:05.000,14 QUEENS,4156490001,QUEENS,1055255,156671,ONLINE,Unspecified,QUEENS,40.596417514917285,-73.7443207609956,"{'latitude': '40.596417514917285', 'longitude': '-73.7443207609956', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,BEACH    9 STREET,HEYSON ROAD,,BEACH    9 STREET,HEYSON ROAD,SEAGIRT BOULEVARD,,,,,,
58853955,2023-09-15T11:37:33.000,DSNY,Department of Sanitation,Obstruction,Weeds or Grass,Sidewalk,,,,,,Closed,The Department of Sanitation investigated this complaint and found no condition at the location.,2023-09-18T12:00:27.000,0 Unspecified,,Unspecified,930349,,ONLINE,Unspecified,Unspecified,,,,2023-09-18T12:29:02.000,,,,,,,,,,,,
58869026,2023-09-15T11:37:29.000,NYPD,New York City Police Department,Illegal Parking,Double Parked Blocking Traffic,Street/Sidewalk,,,,,,Closed,The Police Department issued a summons in response to the complaint.,2023-09-15T11:59:12.000,0 Unspecified,,Unspecified,1001553,237821,MOBILE,Unspecified,Unspecified,40.819422412917135,-73.93748557201977,"{'latitude': '40.819422412917135', 'longitude': '-73.93748557201977', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",2023-09-15T11:59:06.000,,,,,,,,,,,,
58852712,2023-09-15T11:37:28.000,DSNY,Department of Sanitation,Missed Collection,Compost,Street,,,,,,Closed,The Department of Sanitation investigated this complaint and found no condition at the location.,2023-09-18T04:22:02.000,0 Unspecified,,Unspecified,999898,204257,ONLINE,Unspecified,Unspecified,40.72730113407977,-73.94354311528669,"{'latitude': '40.72730113407977', 'longitude': '-73.94354311528669', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",2023-09-19T12:58:30.000,,,,,,,,,,,,
58824488,2023-09-15T11:37:11.000,DOT,Department of Transportation,Street Condition,Pothole,,11377,,,INTERSECTION,QUEENS,Open,The Department of Transportation referred this complaint to the appropriate Maintenance Unit for repair.,2023-09-15T11:37:11.000,02 QUEENS,,QUEENS,1014094,207402,UNKNOWN,Unspecified,QUEENS,40.73589687720886,-73.89231103437326,"{'latitude': '40.73589687720886', 'longitude': '-73.89231103437326', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,51 AVENUE,72 STREET,N/A,,,,,,,,,
58864804,2023-09-15T11:37:10.000,DSNY,Department of Sanitation,Vendor Enforcement,Non-Food Vendor,Street,,,,,,Closed,N/A,2023-09-15T13:01:58.000,0 Unspecified,,Unspecified,983683,201133,PHONE,Unspecified,Unspecified,40.718740332666314,-74.0020454332638,"{'latitude': '40.718740332666314', 'longitude': '-74.0020454332638', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",2023-09-15T13:01:58.000,,,,,,,,,,,,
58836783,2023-09-15T11:37:10.000,DSNY,Department of Sanitation,Dirty Condition,Trash,Street,,,,,,Closed,The Department of Sanitation investigated this complaint and found no condition at the location.,2023-09-16T04:25:24.000,0 Unspecified,,Unspecified,985530,189123,PHONE,Unspecified,Unspecified,40.68577562470577,-73.9953847261476,"{'latitude': '40.68577562470577', 'longitude': '-73.9953847261476', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",2023-09-16T04:25:20.000,,,,,,,,,,,,
58821904,2023-09-15T11:37:09.000,HPD,Department of Housing Preservation and Development,WATER LEAK,DAMP SPOT,RESIDENTIAL BUILDING,11216,1409 FULTON STREET,FULTON STREET,ADDRESS,BROOKLYN,Closed,The Department of Housing Preservation and Development inspected the following conditions. Violations were issued. Information about specific violations is available at www.nyc.gov/hpd,2023-09-22T00:00:00.000,03 BROOKLYN,3018540057,BROOKLYN,999534,187077,PHONE,Unspecified,BROOKLYN,40.68014671827999,-73.94489539365118,"{'latitude': '40.68014671827999', 'longitude': '-73.94489539365118', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",2023-09-22T11:25:48.000,,,,,,,,,,,,
58823552,2023-09-15T11:37:09.000,HPD,Department of Housing Preservation and Development,UNSANITARY CONDITION,MOLD,RESIDENTIAL BUILDING,11216,1409 FULTON STREET,FULTON STREET,ADDRESS,BROOKLYN,Closed,The Department of Housing Preservation and Development inspected the following conditions. No violations were issued. The complaint has been closed.,2023-09-21T00:00:00.000,03 BROOKLYN,3018540057,BROOKLYN,999534,187077,PHONE,Unspecified,BROOKLYN,40.68014671827999,-73.94489539365118,"{'latitude': '40.68014671827999', 'longitude': '-73.94489539365118', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",2023-09-21T18:41:14.000,,,,,,,,,,,,
58822701,2023-09-15T11:37:09.000,HPD,Department of Housing Preservation and Development,PAINT/PLASTER,WALL,RESIDENTIAL BUILDING,11216,1409 FULTON STREET,FULTON STREET,ADDRESS,BROOKLYN,Closed,The Department of Housing Preservation and Development inspected the following conditions. No violations were issued. The complaint has been closed.,2023-10-10T00:00:00.000,03 BROOKLYN,3018540057,BROOKLYN,999534,187077,PHONE,Unspecified,BROOKLYN,40.68014671827999,-73.94489539365118,"{'latitude': '40.68014671827999', 'longitude': '-73.94489539365118', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",2023-10-10T09:50:08.000,,,,,,,,,,,,
58822677,2023-09-15T11:37:09.000,HPD,Department of Housing Preservation and Development,PAINT/PLASTER,CEILING,RESIDENTIAL BUILDING,11216,1409 FULTON STREET,FULTON STREET,ADDRESS,BROOKLYN,Closed,The Department of Housing Preservation and Development inspected the following conditions. No violations were issued. The complaint has been closed.,2023-10-10T00:00:00.000,03 BROOKLYN,3018540057,BROOKLYN,999534,187077,PHONE,Unspecified,BROOKLYN,40.68014671827999,-73.94489539365118,"{'latitude': '40.68014671827999', 'longitude': '-73.94489539365118', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",2023-10-10T09:50:08.000,,,,,,,,,,,,
58823603,2023-09-15T11:37:08.000,HPD,Department of Housing Preservation and Development,WATER LEAK,HEAVY FLOW,RESIDENTIAL BUILDING,11434,171-04 BAISLEY BOULEVARD,BAISLEY BOULEVARD,ADDRESS,JAMAICA,Closed,The Department of Housing Preservation and Development inspected the following conditions. Violations were issued. Information about specific violations is available at www.nyc.gov/hpd,2023-09-29T00:00:00.000,12 QUEENS,4125290239,QUEENS,1047247,187557,PHONE,Unspecified,QUEENS,40.6812532306968,-73.7728679568511,"{'latitude': '40.6812532306968', 'longitude': '-73.7728679568511', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",2023-09-29T20:20:09.000,,,,,,,,,,,,
58821809,2023-09-15T11:37:08.000,HPD,Department of Housing Preservation and Development,PAINT/PLASTER,CEILING,RESIDENTIAL BUILDING,11434,171-04 BAISLEY BOULEVARD,BAISLEY BOULEVARD,ADDRESS,JAMAICA,Closed,The Department of Housing Preservation and Development inspected the following conditions. Violations were issued. Information about specific violations is available at www.nyc.gov/hpd,2023-09-29T00:00:00.000,12 QUEENS,4125290239,QUEENS,1047247,187557,PHONE,Unspecified,QUEENS,40.6812532306968,-73.7728679568511,"{'latitude': '40.6812532306968', 'longitude': '-73.7728679568511', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",2023-09-29T20:20:09.000,,,,,,,,,,,,
58820988,2023-09-15T11:37:06.000,HPD,Department of Housing Preservation and Development,UNSANITARY CONDITION,GARBAGE/RECYCLING STORAGE,RESIDENTIAL BUILDING,10463,166 WEST KINGSBRIDGE ROAD,WEST KINGSBRIDGE ROAD,ADDRESS,BRONX,Closed,The Department of Housing Preservation and Development inspected the following conditions. No violations were issued. The complaint has been closed.,2023-09-21T00:00:00.000,07 BRONX,2032400059,BRONX,1010666,256576,PHONE,Unspecified,BRONX,40.87087679871244,-73.90448713160806,"{'latitude': '40.87087679871244', 'longitude': '-73.90448713160806', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",2023-09-21T11:43:36.000,,,,,,,,,,,,
58866576,2023-09-15T11:37:05.000,DHS,Department of Homeless Services,Homeless Person Assistance,,Residential Building/House,,,,ADDRESS,,Closed,"Based on the information you provided, the Department of Homeless Services has referred this request to the New York City Police Department.",2023-09-15T12:01:31.000,0 Unspecified,,Unspecified,981615,197886,MOBILE,Unspecified,Unspecified,40.70982771882021,-74.00950440214648,"{'latitude': '40.70982771882021', 'longitude': '-74.00950440214648', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",2023-09-15T12:01:31.000,,,,,,,,,,,,
58820654,2023-09-15T11:37:00.000,DOT,Department of Transportation,Traffic Signal Condition,Controller,,11249,,,INTERSECTION,BROOKLYN,Closed,Service Request status for this request is available on the Department of Transportationâs website. Please click the âLearn Moreâ link below.,2023-09-15T13:00:00.000,01 BROOKLYN,,BROOKLYN,992976,198249,UNKNOWN,Unspecified,BROOKLYN,40.710820157084164,-73.96852499067981,"{'latitude': '40.710820157084164', 'longitude': '-73.96852499067981', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",2023-09-15T13:00:00.000,KENT AVENUE,BROADWAY,N/A,,,,,,,,,
58855714,2023-09-15T11:36:21.000,NYPD,New York City Police Department,Blocked Driveway,No Access,Street/Sidewalk,,,,,,Closed,The Police Department responded to the complaint and took action to fix the condition.,2023-09-15T12:13:08.000,0 Unspecified,,Unspecified,,172383,MOBILE,Unspecified,Unspecified,,,,2023-09-15T12:13:04.000,,,,,,,,,,,,
58857625,2023-09-15T11:36:18.000,NYPD,New York City Police Department,Blocked Driveway,No Access,Street/Sidewalk,,,,,,Closed,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,2023-09-15T12:32:35.000,0 Unspecified,,Unspecified,1006132,245854,PHONE,Unspecified,Unspecified,40.84146052966728,-73.92091579792343,"{'latitude': '40.84146052966728', 'longitude': '-73.92091579792343', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",2023-09-15T12:32:32.000,,,,,,,,,,,,
58834205,2023-09-15T11:36:16.000,DSNY,Department of Sanitation,Missed Collection,Trash,Street,,,,,,Closed,The Department of Sanitation collected the requested items.,2023-09-16T12:16:15.000,0 Unspecified,,Unspecified,1007235,,ONLINE,Unspecified,Unspecified,,,,2023-09-18T11:05:21.000,,,,,,,,,,,,
58835524,2023-09-15T11:35:43.000,DSNY,Department of Sanitation,Missed Collection,Compost,Street,,,,,,Closed,The Department of Sanitation investigated this complaint and found no condition at the location.,2023-09-16T12:29:09.000,0 Unspecified,,Unspecified,993154,191177,ONLINE,Unspecified,Unspecified,40.69140899644473,-73.9678922880655,"{'latitude': '40.69140899644473', 'longitude': '-73.9678922880655', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",2023-09-18T11:03:32.000,,,,,,,,,,,,
58863284,2023-09-15T11:35:37.000,NYPD,New York City Police Department,Illegal Parking,Posted Parking Sign Violation,Street/Sidewalk,,,,,,Closed,The Police Department responded to the complaint and determined that police action was not necessary.,2023-09-15T13:47:09.000,0 Unspecified,,Unspecified,1016440,187773,PHONE,Unspecified,Unspecified,40.682011743521294,-73.88393959112236,"{'latitude': '40.682011743521294', 'longitude': '-73.88393959112236', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",2023-09-15T13:47:03.000,,,,,,,,,,,,
58869018,2023-09-15T11:35:37.000,NYPD,New York City Police Department,Illegal Parking,Double Parked Blocking Traffic,Street/Sidewalk,,,,,,Closed,The Police Department responded to the complaint and took action to fix the condition.,2023-09-15T11:49:49.000,0 Unspecified,,Unspecified,994978,186374,ONLINE,Unspecified,Unspecified,40.678223836848545,-73.96132261502308,"{'latitude': '40.678223836848545', 'longitude': '-73.96132261502308', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",2023-09-15T11:49:46.000,,,,,,,,,,,,
58857648,2023-09-15T11:35:33.000,NYPD,New York City Police Department,Blocked Driveway,Partial Access,Street/Sidewalk,,,,,,Closed,The Police Department responded and upon arrival those responsible for the condition were gone.,2023-09-15T11:48:19.000,0 Unspecified,,Unspecified,,241304,ONLINE,Unspecified,Unspecified,,,,2023-09-15T11:48:15.000,,,,,,,,,,,,
58868415,2023-09-15T11:35:32.000,DHS,Department of Homeless Services,Homeless Person Assistance,,Street/Sidewalk,,,,ADDRESS,,Closed,The Department of Homeless Services did not have enough information to act on your request.,2023-09-15T12:01:17.000,0 Unspecified,,Unspecified,989045,212134,MOBILE,Unspecified,Unspecified,40.74893408849108,-73.98269436011594,"{'latitude': '40.74893408849108', 'longitude': '-73.98269436011594', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",2023-09-15T12:01:17.000,,,,,,,,,,,,
58821964,2023-09-15T11:35:16.000,DOB,Department of Buildings,Elevator,Elevator - Single Device On Property/No Alternate Service,,10457,2001 ARTHUR AVENUE,ARTHUR AVENUE,ADDRESS,BRONX,Closed,"The Department of Buildings reviewed this complaint and closed it. If the problem still exists, please call 311 and file a new complaint. If you are outside of New York City, please call (212) NEW-YORK (212-639-9675).",2023-11-14T00:00:00.000,06 BRONX,2030680033,BRONX,1013909,248024,UNKNOWN,Unspecified,BRONX,40.847393843224864,-73.89279920326996,"{'latitude': '40.847393843224864', 'longitude': '-73.89279920326996', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",2023-11-14T00:00:00.000,,,,,,,,,,,,
58826146,2023-09-15T11:35:15.000,DOB,Department of Buildings,Elevator,Elevator - Multiple Devices On Property,,10454,285 EAST  138 STREET,EAST  138 STREET,ADDRESS,BRONX,Closed,The Department of Buildings investigated this complaint and determined that no further action was necessary.,2023-11-24T00:00:00.000,01 BRONX,2023140010,BRONX,1004600,234633,UNKNOWN,Unspecified,BRONX,40.81066575374958,-73.9264866628028,"{'latitude': '40.81066575374958', 'longitude': '-73.9264866628028', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",2023-11-24T00:00:00.000,,,,,,,,,,,,
58819627,2023-09-15T11:35:00.000,DEP,Department of Environmental Protection,Sewer,Sewer Backup (Use Comments) (SA),,10469,921A EAST  215 STREET,EAST  215 STREET,ADDRESS,BRONX,Closed,"The Department of Environmental Protection has investigated this complaint. Upon investigation, there was no indication of a city sewer issue and there is a suspected sewer backup due to an internal plumbing issue.",2023-09-15T13:35:00.000,12 BRONX,2046860026,BRONX,1023563,259472,PHONE,Unspecified,BRONX,40.878777397274035,-73.85783826127869,"{'latitude': '40.878777397274035', 'longitude': '-73.85783826127869', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",2023-09-15T13:35:00.000,,,,BRONXWOOD AVE,PAULDING AVE,,,,,,,
58864836,2023-09-15T11:34:57.000,DSNY,Department of Sanitation,Obstruction,Weeds or Grass,Sidewalk,,,,,,In Progress,,2023-09-15T12:07:48.000,0 Unspecified,,Unspecified,941940,146029,PHONE,Unspecified,Unspecified,40.567390814026965,-74.15228615041673,"{'latitude': '40.567390814026965', 'longitude': '-74.15228615041673', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,,,,,,
58863676,2023-09-15T11:34:49.000,NYPD,New York City Police Department,Noise - Residential,Loud Talking,Residential Building/House,,,,,,Closed,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,2023-09-15T12:03:32.000,0 Unspecified,,Unspecified,1003940,253416,ONLINE,Unspecified,Unspecified,40.86222112828015,-73.92881573891165,"{'latitude': '40.86222112828015', 'longitude': '-73.92881573891165', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",2023-09-15T12:03:28.000,,,,,,,,,,,,
58864210,2023-09-15T11:34:48.000,NYPD,New York City Police Department,Abandoned Vehicle,With License Plate,Street/Sidewalk,,,,,,Closed,The Police Department reviewed your complaint and provided additional information below.,2023-09-15T13:50:56.000,0 Unspecified,,Unspecified,1019401,185866,MOBILE,Unspecified,Unspecified,40.67676620277325,-73.87327372535262,"{'latitude': '40.67676620277325', 'longitude': '-73.87327372535262', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",2023-09-15T13:50:54.000,,,,,,,,,,,,
58862852,2023-09-15T11:34:41.000,DSNY,Department of Sanitation,Street Sweeping Complaint,Inadequate Sweeping,Street,,,,,,Closed,The Department of Sanitation cleaned the location.,2023-09-19T13:09:43.000,0 Unspecified,,Unspecified,,170006,PHONE,Unspecified,Unspecified,,,,2023-09-20T06:04:46.000,,,,,,,,,,,,
