unique_key,created_date,closed_date,agency,agency_name,complaint_type,descriptor,location_type,incident_zip,incident_address,street_name,address_type,city,status,resolution_description,resolution_action_updated_date,community_board,bbl,borough,x_coordinate_state_plane,y_coordinate_state_plane,open_data_channel_type,park_facility_name,park_borough,latitude,longitude,location,cross_street_1,cross_street_2,intersection_street_1,intersection_street_2,landmark,taxi_pick_up_location,facility_type,bridge_highway_name,bridge_highway_direction,road_ramp,bridge_highway_segment,due_date
58927885,2023-09-26T10:55:13.000,2023-09-26T20:57:19.000,DSNY,Department of Sanitation,Residential Disposal Complaint,Trash or Recycling Not Secure,Sidewalk,11237,1487 DEKALB AVENUE,DEKALB AVENUE,ADDRESS,BROOKLYN,Closed,The Department of Sanitation investigated this complaint and found no violation at the location.,2023-09-26T20:57:22.000,04 BROOKLYN,3032360054,BROOKLYN,1005897,194891,PHONE,Unspecified,BROOKLYN,40.70158106497976,-73.92192927147853,"{'latitude': '40.70158106497976', 'longitude': '-73.92192927147853', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",KNICKERBOCKER AVENUE,IRVING AVENUE,KNICKERBOCKER AVENUE,IRVING AVENUE,DEKALB AVENUE,,,,,,,
58929622,2023-09-26T10:55:00.000,2023-10-10T08:17:00.000,DOT,Department of Transportation,Street Light Condition,Lamppost Wire Exposed,,11238,,,INTERSECTION,BROOKLYN,Closed,Service Request status for this request is available on the Department of Transportationâs website. Please click the âLearn Moreâ link below.,2023-10-10T08:17:00.000,02 BROOKLYN,,BROOKLYN,991718,189120,UNKNOWN,Unspecified,BROOKLYN,40.685764332428434,-73.97307276576576,"{'latitude': '40.685764332428434', 'longitude': '-73.97307276576576', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,FULTON STREET,HANSON PLACE,,,,,,,,
58934849,2023-09-26T10:54:48.000,2023-09-26T11:36:58.000,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,Residential Building/House,10034,1795 RIVERSIDE DRIVE,RIVERSIDE DRIVE,ADDRESS,NEW YORK,Closed,The Police Department responded to the complaint and determined that police action was not necessary.,2023-09-26T11:37:06.000,12 MANHATTAN,1022460125,MANHATTAN,1003504,254931,ONLINE,Unspecified,MANHATTAN,40.866380304945174,-73.93038763440725,"{'latitude': '40.866380304945174', 'longitude': '-73.93038763440725', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",HENSHAW STREET,PAYSON AVENUE,HENSHAW STREET,PAYSON AVENUE,RIVERSIDE DRIVE,,,,,,,
58926473,2023-09-26T10:54:43.000,2023-09-27T16:06:36.000,TLC,Taxi and Limousine Commission,Lost Property,Bag/Wallet,Taxi,10028,FIRST AVENUE,FIRST AVENUE,INTERSECTION,,Closed,See notes for information.,2023-09-27T16:06:25.000,08 MANHATTAN,,MANHATTAN,998271,222318,PHONE,Unspecified,MANHATTAN,40.776876725758946,-73.94937555652666,"{'latitude': '40.776876725758946', 'longitude': '-73.94937555652666', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",FIRST AVENUE,EAST   86 STREET,FIRST AVENUE,EAST   86 STREET,,"FIRST AVENUE AND EAST   86 STREET, MANHATTAN, NY, 10028",,,,,,
58929205,2023-09-26T10:54:28.000,2023-09-28T11:10:07.000,DCWP,Department of Consumer and Worker Protection,Consumer Complaint,Stoop Line Stand,Business,11229,1928 KINGS HIGHWAY,KINGS HIGHWAY,ADDRESS,BROOKLYN,Closed,The Department of Consumer and Worker Protection (DCWP) determined this issue isn't within its jurisdiction.  You should contact the Department of Sanitation (DSNY). NYC311 can help you file a complaint or contact the agency for further assistance.,2023-09-28T11:10:11.000,15 BROOKLYN,3067820022,BROOKLYN,996942,161663,PHONE,Unspecified,BROOKLYN,40.610394878542685,-73.95428834766801,"{'latitude': '40.610394878542685', 'longitude': '-73.95428834766801', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",EAST   19 STREET,OCEAN AVENUE,EAST   19 STREET,OCEAN AVENUE,KINGS HIGHWAY,,,,,,,
58932021,2023-09-26T10:54:19.000,2023-09-26T12:14:22.000,NYPD,New York City Police Department,Illegal Parking,Blocked Hydrant,Street/Sidewalk,11201,123 DEKALB AVENUE,DEKALB AVENUE,ADDRESS,BROOKLYN,Closed,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,2023-09-26T12:14:27.000,02 BROOKLYN,3020970041,BROOKLYN,990397,190587,MOBILE,Unspecified,BROOKLYN,40.6897919267245,-73.97783453319394,"{'latitude': '40.6897919267245', 'longitude': '-73.97783453319394', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",ST FELIX STREET,FORT GREENE PLACE,ST FELIX STREET,FORT GREENE PLACE,DEKALB AVENUE,,,,,,,
58933426,2023-09-26T10:54:00.000,2023-09-30T00:00:00.000,DOB,Department of Buildings,General Construction/Plumbing,Sidewalk Shed/Pipe Scafford - Inadequate Defective/None,,11233,315 MCDONOUGH STREET,MCDONOUGH STREET,ADDRESS,BROOKLYN,Closed,The Department of Buildings investigated this complaint and determined that no further action was necessary.,2023-09-30T00:00:00.000,03 BROOKLYN,3016700071,BROOKLYN,1002652,187819,UNKNOWN,Unspecified,BROOKLYN,40.68217740628674,-73.93365180089486,"{'latitude': '40.68217740628674', 'longitude': '-73.93365180089486', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,,,,,
58931604,2023-09-26T10:53:58.000,2023-09-26T11:44:00.000,NYPD,New York City Police Department,Illegal Parking,Blocked Hydrant,Street/Sidewalk,11215,816 8 AVENUE,8 AVENUE,ADDRESS,BROOKLYN,Closed,The Police Department responded to the complaint and determined that police action was not necessary.,2023-09-26T11:44:02.000,06 BROOKLYN,3010900040,BROOKLYN,990115,181993,MOBILE,Unspecified,BROOKLYN,40.66620353226667,-73.97885887598554,"{'latitude': '40.66620353226667', 'longitude': '-73.97885887598554', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",8 STREET,9 STREET,8 STREET,9 STREET,8 AVENUE,,,,,,,
58932585,2023-09-26T10:53:57.000,,HPD,Department of Housing Preservation and Development,WATER LEAK,SLOW LEAK,RESIDENTIAL BUILDING,11237,399 LINDEN STREET,LINDEN STREET,ADDRESS,BROOKLYN,Open,The following complaint conditions are still open. HPD may attempt to contact you to verify the correction of the condition or may conduct an inspection.,2023-09-26T00:00:00.000,04 BROOKLYN,3033290030,BROOKLYN,1008612,194608,ONLINE,Unspecified,BROOKLYN,40.700797238515015,-73.91213855068382,"{'latitude': '40.700797238515015', 'longitude': '-73.91213855068382', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,,,,,
58928733,2023-09-26T10:53:57.000,,HPD,Department of Housing Preservation and Development,UNSANITARY CONDITION,PESTS,RESIDENTIAL BUILDING,11237,399 LINDEN STREET,LINDEN STREET,ADDRESS,BROOKLYN,Open,The following complaint conditions are still open. HPD may attempt to contact you to verify the correction of the condition or may conduct an inspection.,2023-09-26T00:00:00.000,04 BROOKLYN,3033290030,BROOKLYN,1008612,194608,ONLINE,Unspecified,BROOKLYN,40.700797238515015,-73.91213855068382,"{'latitude': '40.700797238515015', 'longitude': '-73.91213855068382', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,,,,,
58928118,2023-09-26T10:53:56.000,2023-09-26T11:25:37.000,NYPD,New York City Police Department,Illegal Parking,Blocked Hydrant,Street/Sidewalk,11210,658 EAST   24 STREET,EAST   24 STREET,ADDRESS,BROOKLYN,Closed,The Police Department issued a summons in response to the complaint.,2023-09-26T11:25:27.000,14 BROOKLYN,3052440067,BROOKLYN,996978,170394,MOBILE,Unspecified,BROOKLYN,40.634359594994,-73.95414222765014,"{'latitude': '40.634359594994', 'longitude': '-73.95414222765014', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",FARRAGUT ROAD,GLENWOOD ROAD,FARRAGUT ROAD,GLENWOOD ROAD,EAST   24 STREET,,,,,,,
58932498,2023-09-26T10:53:52.000,2023-10-05T21:15:51.000,HPD,Department of Housing Preservation and Development,PLUMBING,TOILET,RESIDENTIAL BUILDING,10468,2588 CRESTON AVENUE,CRESTON AVENUE,ADDRESS,BRONX,Closed,The Department of Housing Preservation and Development inspected the following conditions. No violations were issued. The complaint has been closed.,2023-10-05T00:00:00.000,07 BRONX,2031680003,BRONX,1012854,254438,PHONE,Unspecified,BRONX,40.86500182473163,-73.89658506889326,"{'latitude': '40.86500182473163', 'longitude': '-73.89658506889326', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,,,,,
58934041,2023-09-26T10:53:46.000,,DPR,Department of Parks and Recreation,Dead/Dying Tree,Planted More Than 2 Years Ago,Street,11385,2105 LINDEN STREET,LINDEN STREET,ADDRESS,RIDGEWOOD,In Progress,"NYC Parks created a work order for the tree condition and expects to address the issue within 120 days from the date of the tree assessment, barring any weather-related requests.   NYC Parks work priority categories range from Category A through D, with A being the most critical and time-sensitive. We will complete all work in Category A first and address work in lower priority categories in accordance with available resources. For more information about the Tree Risk Management Program, visit the NYC Urban Forest page on the NYC Parks website at nyc.gov/parks/trees.",2023-09-28T08:51:02.000,05 QUEENS,4033740001,QUEENS,1010681,197275,PHONE,Unspecified,QUEENS,40.70811158384666,-73.90466624862944,"{'latitude': '40.70811158384666', 'longitude': '-73.90466624862944', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",GRANDVIEW AVENUE,FOREST AVENUE,GRANDVIEW AVENUE,FOREST AVENUE,LINDEN STREET,,,,,,,
58933294,2023-09-26T10:53:40.000,2023-09-26T11:29:18.000,NYPD,New York City Police Department,Illegal Parking,Blocked Hydrant,Street/Sidewalk,11222,237 KENT STREET,KENT STREET,ADDRESS,BROOKLYN,Closed,The Police Department responded to the complaint and took action to fix the condition.,2023-09-26T11:29:25.000,01 BROOKLYN,3025520047,BROOKLYN,997887,205697,ONLINE,Unspecified,BROOKLYN,40.73125691049158,-73.95079574205397,"{'latitude': '40.73125691049158', 'longitude': '-73.95079574205397', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",MCGUINNESS BOULEVARD,PROVOST STREET,MCGUINNESS BOULEVARD,PROVOST STREET,KENT STREET,,,,,,,
58932235,2023-09-26T10:53:36.000,2023-09-27T00:00:00.000,DOB,Department of Buildings,General Construction/Plumbing,Adjacent Buildings Not Protected,,11222,140 HURON STREET,HURON STREET,ADDRESS,BROOKLYN,Closed,The Department of Buildings investigated this complaint and determined that no further action was necessary.,2023-09-27T00:00:00.000,01 BROOKLYN,3025320030,BROOKLYN,996428,206294,UNKNOWN,Unspecified,BROOKLYN,40.73289765787593,-73.95605894248976,"{'latitude': '40.73289765787593', 'longitude': '-73.95605894248976', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,N/A,,,,,
58933415,2023-09-26T10:53:36.000,2023-09-26T10:53:36.000,DOB,Department of Buildings,General Construction/Plumbing,"Building - Vacant, Open And Unguarded",,11230,1379 EAST    2 STREET,EAST    2 STREET,ADDRESS,BROOKLYN,Open,Your Service Request has been submitted to the Department of Buildings.  Please check back later for status.,2023-09-26T00:00:00.000,12 BROOKLYN,3065650083,BROOKLYN,991683,163666,UNKNOWN,Unspecified,BROOKLYN,40.61589867227962,-73.97322701573138,"{'latitude': '40.61589867227962', 'longitude': '-73.97322701573138', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,,,,,
58929902,2023-09-26T10:53:33.000,2023-10-12T06:57:39.000,HPD,Department of Housing Preservation and Development,PAINT/PLASTER,CEILING,RESIDENTIAL BUILDING,10474,754 MANIDA STREET,MANIDA STREET,ADDRESS,BRONX,Closed,"The Department of Housing Preservation and Development was not able to gain access to inspect the following conditions. The complaint has been closed. If the condition still exists, please file a new complaint.",2023-10-12T00:00:00.000,02 BRONX,2027630136,BRONX,1015056,236482,PHONE,Unspecified,BRONX,40.81571046698761,-73.88870644348789,"{'latitude': '40.81571046698761', 'longitude': '-73.88870644348789', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,,,,,
58931340,2023-09-26T10:53:26.000,2023-10-09T17:34:15.000,HPD,Department of Housing Preservation and Development,WATER LEAK,SLOW LEAK,RESIDENTIAL BUILDING,11212,469 EAST   98 STREET,EAST   98 STREET,ADDRESS,BROOKLYN,Closed,The Department of Housing Preservation and Development inspected the following conditions. No violations were issued. The complaint has been closed.,2023-10-09T00:00:00.000,16 BROOKLYN,3036080006,BROOKLYN,1008043,178731,PHONE,Unspecified,BROOKLYN,40.65722003921028,-73.91424670041373,"{'latitude': '40.65722003921028', 'longitude': '-73.91424670041373', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,,,,,
58926116,2023-09-26T10:53:26.000,2023-10-09T17:34:16.000,HPD,Department of Housing Preservation and Development,PAINT/PLASTER,CEILING,RESIDENTIAL BUILDING,11212,469 EAST   98 STREET,EAST   98 STREET,ADDRESS,BROOKLYN,Closed,The Department of Housing Preservation and Development inspected the following conditions. No violations were issued. The complaint has been closed.,2023-10-09T00:00:00.000,16 BROOKLYN,3036080006,BROOKLYN,1008043,178731,PHONE,Unspecified,BROOKLYN,40.65722003921028,-73.91424670041373,"{'latitude': '40.65722003921028', 'longitude': '-73.91424670041373', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,,,,,
58934061,2023-09-26T10:53:21.000,,DPR,Department of Parks and Recreation,Overgrown Tree/Branches,Blocking Street,Street,11223,361 AVENUE U,AVENUE U,ADDRESS,BROOKLYN,In Progress,,,15 BROOKLYN,3071040412,BROOKLYN,992338,156871,ONLINE,Unspecified,BROOKLYN,40.59724721365458,-73.97087590334505,"{'latitude': '40.59724721365458', 'longitude': '-73.97087590334505', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",WEST STREET,EAST    1 STREET,WEST STREET,EAST    1 STREET,AVENUE U,,,,,,,
58932206,2023-09-26T10:53:14.000,2023-09-26T11:22:04.000,NYPD,New York City Police Department,Blocked Driveway,Partial Access,Street/Sidewalk,11218,1215 DORCHESTER ROAD,DORCHESTER ROAD,ADDRESS,BROOKLYN,Closed,The Police Department issued a summons in response to the complaint.,2023-09-26T11:22:10.000,14 BROOKLYN,3051550039,BROOKLYN,993561,171770,ONLINE,Unspecified,BROOKLYN,40.63814067261443,-73.96645145324989,"{'latitude': '40.63814067261443', 'longitude': '-73.96645145324989', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",WESTMINSTER ROAD,ARGYLE ROAD,WESTMINSTER ROAD,ARGYLE ROAD,DORCHESTER ROAD,,,,,,,
58926151,2023-09-26T10:53:12.000,2023-11-27T19:14:44.000,HPD,Department of Housing Preservation and Development,PLUMBING,WATER SUPPLY,RESIDENTIAL BUILDING,10026,17 ST NICHOLAS AVENUE,ST NICHOLAS AVENUE,ADDRESS,NEW YORK,Closed,The Department of Housing Preservation and Development inspected the following conditions. No violations were issued. The complaint has been closed.,2023-11-27T00:00:00.000,10 MANHATTAN,1018210046,MANHATTAN,997419,230490,PHONE,Unspecified,MANHATTAN,40.79930798322807,-73.95243577915605,"{'latitude': '40.79930798322807', 'longitude': '-73.95243577915605', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,,,,,
58935451,2023-09-26T10:53:12.000,2023-10-03T12:56:47.000,DOT,Department of Transportation,Sidewalk Condition,Sidewalk Violation,Sidewalk,11211,148 RUTLEDGE STREET,RUTLEDGE STREET,ADDRESS,BROOKLYN,Closed,The Department of Transportation has approved the sidewalk re-inspection request. The property owner will be notified by mail within 120 days with the date of re-inspection.,2023-10-03T12:56:50.000,01 BROOKLYN,3022250023,BROOKLYN,996158,195054,PHONE,Unspecified,BROOKLYN,40.702046926636285,-73.95705304910898,"{'latitude': '40.702046926636285', 'longitude': '-73.95705304910898', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",BEDFORD AVENUE,LEE AVENUE,BEDFORD AVENUE,LEE AVENUE,RUTLEDGE STREET,,,,,,,
58933188,2023-09-26T10:53:00.000,2023-09-29T11:11:00.000,DEP,Department of Environmental Protection,Noise,"Noise, Barking Dog (NR5)",,10012,224 SULLIVAN STREET,SULLIVAN STREET,ADDRESS,NEW YORK,Closed,,2023-09-29T11:11:00.000,02 MANHATTAN,1005400025,MANHATTAN,984275,205028,ONLINE,Unspecified,MANHATTAN,40.729431181658256,-73.99990979887939,"{'latitude': '40.729431181658256', 'longitude': '-73.99990979887939', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",BLEECKER ST,W 3 ST,,,,,N/A,,,,,
58934513,2023-09-26T10:53:00.000,2023-09-26T12:50:00.000,DEP,Department of Environmental Protection,Sewer,Sewer Backup (Use Comments) (SA),,11220,560 60 STREET,60 STREET,ADDRESS,BROOKLYN,Closed,"The Department of Environmental Protection has investigated this complaint. Upon investigation, there was no indication of a city sewer issue and there is a suspected sewer backup due to an internal plumbing issue.",2023-09-26T12:50:00.000,07 BROOKLYN,3057830032,BROOKLYN,980116,171974,ONLINE,Unspecified,BROOKLYN,40.638704538242195,-74.01489537766872,"{'latitude': '40.638704538242195', 'longitude': '-74.01489537766872', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",5 AVE,6 AVE,,,,,,,,,,
58926826,2023-09-26T10:53:00.000,2023-09-26T12:10:00.000,DEP,Department of Environmental Protection,Sewer,Catch Basin Sunken/Damaged/Raised (SC1),,11364,69-47 226 STREET,226 STREET,ADDRESS,OAKLAND GARDENS,Closed,"The Department of Environment Protection inspected your complaint but could not find the problem you reported. If the condition persists, please call 311 (or 212-639-9675 if calling from a non-New York City area code) with more detailed information to submit a new complaint.",2023-09-26T12:10:00.000,11 QUEENS,4076850036,QUEENS,1053683,210619,ONLINE,Unspecified,QUEENS,40.74450451937895,-73.74942560273983,"{'latitude': '40.74450451937895', 'longitude': '-73.74942560273983', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",69 AVE,73 AVE,,,,,,,,,,
58935008,2023-09-26T10:52:53.000,2023-09-27T15:04:03.000,HPD,Department of Housing Preservation and Development,HEAT/HOT WATER,ENTIRE BUILDING,RESIDENTIAL BUILDING,11211,370 SOUTH    2 STREET,SOUTH    2 STREET,ADDRESS,BROOKLYN,Closed,The Department of Housing Preservation and Development inspected the following conditions. Violations were issued. Information about specific violations is available at www.nyc.gov/hpd,2023-09-27T00:00:00.000,01 BROOKLYN,3024240016,BROOKLYN,997309,197917,MOBILE,Unspecified,BROOKLYN,40.70990356167353,-73.95289634360928,"{'latitude': '40.70990356167353', 'longitude': '-73.95289634360928', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,,,,,
58928108,2023-09-26T10:52:52.000,2023-09-26T11:25:31.000,NYPD,New York City Police Department,Illegal Parking,Blocked Hydrant,Street/Sidewalk,11210,658 EAST   24 STREET,EAST   24 STREET,ADDRESS,BROOKLYN,Closed,The Police Department issued a summons in response to the complaint.,2023-09-26T11:25:27.000,14 BROOKLYN,3052440067,BROOKLYN,996978,170394,MOBILE,Unspecified,BROOKLYN,40.634359594994,-73.95414222765014,"{'latitude': '40.634359594994', 'longitude': '-73.95414222765014', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",FARRAGUT ROAD,GLENWOOD ROAD,FARRAGUT ROAD,GLENWOOD ROAD,EAST   24 STREET,,,,,,,
