unique_key,created_date,closed_date,agency,agency_name,complaint_type,descriptor,location_type,incident_zip,incident_address,street_name,cross_street_1,cross_street_2,intersection_street_1,intersection_street_2,address_type,status,resolution_description,resolution_action_updated_date,community_board,borough,x_coordinate_state_plane,y_coordinate_state_plane,open_data_channel_type,park_facility_name,park_borough,latitude,longitude,location,city,landmark,bbl,facility_type,taxi_pick_up_location,bridge_highway_name,bridge_highway_direction,bridge_highway_segment,road_ramp,due_date
58813543,2023-09-14T08:01:25.000,2023-09-14T08:36:58.000,NYPD,New York City Police Department,Illegal Parking,Parking Permit Improper Use,Street/Sidewalk,10065,304 EAST   65 STREET,EAST   65 STREET,2 AVENUE,1 AVENUE,2 AVENUE,1 AVENUE,ADDRESS,Closed,The Police Department responded to the complaint and took action to fix the condition.,2023-09-14T08:37:04.000,08 MANHATTAN,MANHATTAN,995001,217690,ONLINE,Unspecified,MANHATTAN,40.764178655163214,-73.9611896716642,"{'latitude': '40.764178655163214', 'longitude': '-73.9611896716642', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",NEW YORK,EAST   65 STREET,1014397501,,,,,,,
58819373,2023-09-14T08:01:17.000,2023-09-14T08:26:44.000,DHS,Department of Homeless Services,Homeless Person Assistance,,Store/Commercial,10011,400 SIXTH AVENUE,SIXTH AVENUE,GREENWICH AVENUE,CHRISTOPHER STREET,GREENWICH AVENUE,CHRISTOPHER STREET,ADDRESS,Closed,The Department of Homeless Services did not have enough information to act on your request.,2023-09-14T08:26:44.000,02 MANHATTAN,MANHATTAN,984391,206578,MOBILE,Unspecified,MANHATTAN,40.733685550509804,-73.99949123319853,"{'latitude': '40.733685550509804', 'longitude': '-73.99949123319853', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",NEW YORK,AVENUE OF THE AMERICAS,1005720001,,,,,,,
58817484,2023-09-14T08:01:14.000,2023-09-14T08:17:42.000,NYPD,New York City Police Department,Illegal Parking,Posted Parking Sign Violation,Street/Sidewalk,10025,610 WEST  112 STREET,WEST  112 STREET,BROADWAY,RIVERSIDE DRIVE,BROADWAY,RIVERSIDE DRIVE,ADDRESS,Closed,The Police Department issued a summons in response to the complaint.,2023-09-14T08:17:46.000,09 MANHATTAN,MANHATTAN,993608,232790,MOBILE,Unspecified,MANHATTAN,40.80562571015258,-73.9661972651231,"{'latitude': '40.80562571015258', 'longitude': '-73.9661972651231', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",NEW YORK,WEST  112 STREET,1018940056,,,,,,,
58812576,2023-09-14T08:01:13.000,2023-09-14T18:06:06.000,NYPD,New York City Police Department,Illegal Parking,Blocked Crosswalk,Street/Sidewalk,11379,83-45 62 AVENUE,62 AVENUE,CALDWELL AVENUE,84 STREET,CALDWELL AVENUE,84 STREET,ADDRESS,Closed,The Police Department responded and upon arrival those responsible for the condition were gone.,2023-09-14T18:06:10.000,05 QUEENS,QUEENS,1019402,203510,MOBILE,Unspecified,QUEENS,40.725194797647625,-73.87317802647337,"{'latitude': '40.725194797647625', 'longitude': '-73.87317802647337', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",MIDDLE VILLAGE,62 AVENUE,4029430001,,,,,,,
58813393,2023-09-14T08:00:59.000,,DPR,Department of Parks and Recreation,New Tree Request,For One Address,Street,11235,3024 BRIGHTON    4 STREET,BRIGHTON    4 STREET,OCEAN VIEW AVENUE,BRIGHTON BEACH AVENUE,OCEAN VIEW AVENUE,BRIGHTON BEACH AVENUE,ADDRESS,In Progress,"NYC Parks will inspect the site to determine if it is suitable for a new street tree, including a review of potential conflicts with other infrastructure. If the site is found to be suitable, a tree will be planted during the next available planting season. You may review recently completed and upcoming street tree plantings in your neighborhood by visiting the NYC Parks Tree Work Hub at nyc.gov/parks/treework.",2023-10-27T08:06:17.000,13 BROOKLYN,BROOKLYN,994318,150032,MOBILE,Unspecified,BROOKLYN,40.57847349610163,-73.96375630714383,"{'latitude': '40.57847349610163', 'longitude': '-73.96375630714383', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",BROOKLYN,BRIGHTON    4 STREET,3086730044,,,,,,,
58815945,2023-09-14T08:00:56.000,2023-09-18T10:58:46.000,DSNY,Department of Sanitation,Illegal Dumping,Removal Request,Sidewalk,11212,422 EAST   98 STREET,EAST   98 STREET,NEWPORT STREET,SARATOGA AVENUE,NEWPORT STREET,SARATOGA AVENUE,ADDRESS,Closed,The Department of Sanitation removed the items.,2023-09-15T10:43:01.000,17 BROOKLYN,BROOKLYN,1007774,179039,PHONE,Unspecified,BROOKLYN,40.65806614992471,-73.91521513899093,"{'latitude': '40.65806614992471', 'longitude': '-73.91521513899093', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",BROOKLYN,EAST   98 STREET,3046940052,,,,,,,
58813526,2023-09-14T08:00:55.000,2023-09-25T12:39:14.000,DOT,Department of Transportation,Street Condition,Cave-in,Street,11102,21-27 24 DRIVE,24 DRIVE,21 STREET,23 STREET,21 STREET,23 STREET,ADDRESS,Closed,The Department of Transportation inspected and has requested the Department of Environmental Protection address the issue. The condition will be re-inspected in 60 days.,2023-09-25T12:39:17.000,01 QUEENS,QUEENS,1005734,221768,PHONE,Unspecified,QUEENS,40.775352132219986,-73.92243130129195,"{'latitude': '40.775352132219986', 'longitude': '-73.92243130129195', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",ASTORIA,24 DRIVE,4008740144,,,,,,,
58812475,2023-09-14T08:00:45.000,,DHS,Department of Homeless Services,Homeless Person Assistance,,Store/Commercial,10036,1530 BROADWAY,BROADWAY,AVENUE OF THE AMERICAS,7 AVENUE,AVENUE OF THE AMERICAS,7 AVENUE,ADDRESS,Closed,The mobile outreach response team went to the location provided but could not find the individual that you reported.,2023-09-14T11:25:15.000,05 MANHATTAN,MANHATTAN,988372,215318,ONLINE,Unspecified,MANHATTAN,40.75767370013583,-73.98512133327421,"{'latitude': '40.75767370013583', 'longitude': '-73.98512133327421', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",NEW YORK,BROADWAY,1009970001,,,,,,,
58816225,2023-09-14T08:00:42.000,2023-09-14T14:11:36.000,NYPD,New York City Police Department,Illegal Parking,Blocked Hydrant,Street/Sidewalk,11228,1441 83 STREET,83 STREET,14 AVENUE,15 AVENUE,14 AVENUE,15 AVENUE,ADDRESS,Closed,The Police Department responded to the complaint and determined that police action was not necessary.,2023-09-14T14:11:39.000,11 BROOKLYN,BROOKLYN,981809,162895,MOBILE,Unspecified,BROOKLYN,40.613785218228216,-74.00879197963366,"{'latitude': '40.613785218228216', 'longitude': '-74.00879197963366', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",BROOKLYN,83 STREET,3063040065,,,,,,,
58810657,2023-09-14T08:00:11.000,2023-09-14T08:12:14.000,NYPD,New York City Police Department,Noise - Commercial,Car/Truck Horn,Store/Commercial,10025,247 WEST  109 STREET,WEST  109 STREET,AMSTERDAM AVENUE,BROADWAY,AMSTERDAM AVENUE,BROADWAY,ADDRESS,Closed,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,2023-09-14T08:12:21.000,07 MANHATTAN,MANHATTAN,993711,231843,MOBILE,Unspecified,MANHATTAN,40.80302634603102,-73.96582654561809,"{'latitude': '40.80302634603102', 'longitude': '-73.96582654561809', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",NEW YORK,WEST  109 STREET,1018810009,,,,,,,
58817414,2023-09-14T08:00:08.000,2023-09-14T08:23:01.000,NYPD,New York City Police Department,Illegal Parking,Blocked Sidewalk,Street/Sidewalk,10002,122 HENRY STREET,HENRY STREET,PIKE STREET,RUTGERS STREET,PIKE STREET,RUTGERS STREET,ADDRESS,Closed,The Police Department responded to the complaint and determined that police action was not necessary.,2023-09-14T08:23:06.000,03 MANHATTAN,MANHATTAN,986651,199141,ONLINE,Unspecified,MANHATTAN,40.7132724619643,-73.99133918447694,"{'latitude': '40.7132724619643', 'longitude': '-73.99133918447694', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",NEW YORK,HENRY STREET,1002730001,,,,,,,
58813397,2023-09-14T07:59:48.000,,DPR,Department of Parks and Recreation,New Tree Request,For One Address,Street,11235,3025 BRIGHTON    4 STREET,BRIGHTON    4 STREET,OCEAN VIEW AVENUE,BRIGHTON BEACH AVENUE,OCEAN VIEW AVENUE,BRIGHTON BEACH AVENUE,ADDRESS,In Progress,,,13 BROOKLYN,BROOKLYN,994325,150030,MOBILE,Unspecified,BROOKLYN,40.57846799854371,-73.96373111089748,"{'latitude': '40.57846799854371', 'longitude': '-73.96373111089748', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",BROOKLYN,BRIGHTON    4 STREET,3086740091,,,,,,,
58818960,2023-09-14T07:59:45.000,2023-09-27T19:47:20.000,HPD,Department of Housing Preservation and Development,UNSANITARY CONDITION,PESTS,RESIDENTIAL BUILDING,10472,1964 NEWBOLD AVENUE,NEWBOLD AVENUE,,,,,ADDRESS,Closed,The Department of Housing Preservation and Development inspected the following conditions. No violations were issued. The complaint has been closed.,2023-09-27T00:00:00.000,09 BRONX,BRONX,1023172,242534,PHONE,Unspecified,BRONX,40.83228943799676,-73.85935051967387,"{'latitude': '40.83228943799676', 'longitude': '-73.85935051967387', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",BRONX,,2037940013,,,,,,,
58813283,2023-09-14T07:59:29.000,2023-09-19T08:30:00.000,DOT,Department of Transportation,Street Condition,Pothole,,11385,COOPER AVENUE,COOPER AVENUE,69 ROAD,81 STREET,,,BLOCKFACE,Closed,The Department of Transportation inspected this complaint and repaired the problem.,2023-09-19T08:30:00.000,05 QUEENS,QUEENS,,,UNKNOWN,Unspecified,QUEENS,,,,QUEENS,,,N/A,,,,,,
58816713,2023-09-14T07:59:29.000,2023-09-27T20:32:42.000,HPD,Department of Housing Preservation and Development,PLUMBING,TOILET,RESIDENTIAL BUILDING,11210,2620 GLENWOOD ROAD,GLENWOOD ROAD,,,,,ADDRESS,Closed,The Department of Housing Preservation and Development inspected the following conditions. No violations were issued. The complaint has been closed.,2023-09-27T00:00:00.000,14 BROOKLYN,BROOKLYN,997648,170100,PHONE,Unspecified,BROOKLYN,40.633551639440206,-73.9517288656178,"{'latitude': '40.633551639440206', 'longitude': '-73.9517288656178', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",BROOKLYN,,3075540043,,,,,,,
58811992,2023-09-14T07:59:23.000,2023-09-14T20:36:31.000,HPD,Department of Housing Preservation and Development,HEAT/HOT WATER,ENTIRE BUILDING,RESIDENTIAL BUILDING,10467,3501 DECATUR AVENUE,DECATUR AVENUE,,,,,ADDRESS,Closed,"The Department of Housing Preservation and Development responded to a complaint of no heat or hot water and was advised by a tenant in the building that heat and hot water had been restored. If the condition still exists, please file a new complaint.",2023-09-14T00:00:00.000,07 BRONX,BRONX,1019519,259537,ONLINE,Unspecified,BRONX,40.878972888883,-73.8724616112776,"{'latitude': '40.878972888883', 'longitude': '-73.8724616112776', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",BRONX,,2033560164,,,,,,,
58818239,2023-09-14T07:59:08.000,2023-09-16T12:46:49.000,DSNY,Department of Sanitation,Dirty Condition,Trash,Sidewalk,10013,61 LISPENARD STREET,LISPENARD STREET,CHURCH STREET,BROADWAY,CHURCH STREET,BROADWAY,ADDRESS,Closed,The Department of Sanitation cleaned the location.,2023-09-16T12:46:52.000,01 MANHATTAN,MANHATTAN,983483,201407,MOBILE,Unspecified,MANHATTAN,40.71949238167482,-74.00276695770043,"{'latitude': '40.71949238167482', 'longitude': '-74.00276695770043', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",NEW YORK,LISPENARD STREET,1002100019,,,,,,,
58812847,2023-09-14T07:59:04.000,2023-09-14T17:12:30.000,NYPD,New York City Police Department,Illegal Parking,Commercial Overnight Parking,Street/Sidewalk,11385,70-19 60 LANE,60 LANE,70 AVENUE,71 AVENUE,70 AVENUE,71 AVENUE,ADDRESS,Closed,The Police Department reviewed your complaint and provided additional information below.,2023-09-14T17:12:34.000,05 QUEENS,QUEENS,1012843,195012,MOBILE,Unspecified,QUEENS,40.701893463544174,-73.89687776499127,"{'latitude': '40.701893463544174', 'longitude': '-73.89687776499127', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",RIDGEWOOD,60 LANE,4035370047,,,,,,,
58811190,2023-09-14T07:59:03.000,,DPR,Department of Parks and Recreation,New Tree Request,For One Address,Street,11228,1425 83 STREET,83 STREET,14 AVENUE,15 AVENUE,14 AVENUE,15 AVENUE,ADDRESS,In Progress,,,11 BROOKLYN,BROOKLYN,981674,163002,MOBILE,Unspecified,BROOKLYN,40.61407887291677,-74.0092782626672,"{'latitude': '40.61407887291677', 'longitude': '-74.0092782626672', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",BROOKLYN,83 STREET,3063040071,,,,,,,
58815012,2023-09-14T07:59:00.000,2023-09-25T10:53:00.000,DEP,Department of Environmental Protection,Noise,"Noise, Barking Dog (NR5)",,11221,258 MARCUS GARVEY BOULEVARD,MARCUS GARVEY BOULEVARD,LEXINGTON AVE,QUINCY ST,,,ADDRESS,Closed,The Department of Environmental Protection determined that this complaint is a duplicate of a previously filed complaint. The original complaint is being addressed.,2023-09-25T10:53:00.000,03 BROOKLYN,BROOKLYN,1001111,190218,ONLINE,Unspecified,BROOKLYN,40.68876518071085,-73.9392018534267,"{'latitude': '40.68876518071085', 'longitude': '-73.9392018534267', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",BROOKLYN,,3018060040,N/A,,,,,,
58818465,2023-09-14T07:59:00.000,2023-09-14T09:04:00.000,DEP,Department of Environmental Protection,Water System,Hydrant Running (WC3),,10467,3573 DE KALB AVENUE,DE KALB AVENUE,E 212 ST,E 213 ST,,,ADDRESS,Closed,The Department of Environmental Protection determined that this complaint is a duplicate of a previously filed complaint. The original complaint is being addressed.,2023-09-14T09:04:00.000,07 BRONX,BRONX,1017729,261460,PHONE,Unspecified,BRONX,40.88425789166829,-73.87892491982919,"{'latitude': '40.88425789166829', 'longitude': '-73.87892491982919', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",BRONX,,2033290060,,,,,,,
58814813,2023-09-14T07:58:45.000,2023-09-14T13:27:46.000,DSNY,Department of Sanitation,Dirty Condition,Trash,Sidewalk,11102,30-18 ASTORIA BOULEVARD,ASTORIA BOULEVARD,30 STREET,31 STREET,30 STREET,31 STREET,ADDRESS,Closed,The Department of Sanitation removed the items.,2023-09-14T13:27:49.000,01 QUEENS,QUEENS,1006756,219903,MOBILE,Unspecified,QUEENS,40.770230654084095,-73.91874758418031,"{'latitude': '40.770230654084095', 'longitude': '-73.91874758418031', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",ASTORIA,ASTORIA BOULEVARD,4005980037,,,,,,,
58816386,2023-09-14T07:58:38.000,2023-09-14T08:41:51.000,NYPD,New York City Police Department,Blocked Driveway,No Access,Street/Sidewalk,10458,2451 BEAUMONT AVENUE,BEAUMONT AVENUE,EAST  188 STREET,EAST  189 STREET,EAST  188 STREET,EAST  189 STREET,ADDRESS,Closed,The Police Department issued a summons in response to the complaint.,2023-09-14T08:41:54.000,06 BRONX,BRONX,1016427,251010,MOBILE,Unspecified,BRONX,40.85558070353718,-73.88368371221925,"{'latitude': '40.85558070353718', 'longitude': '-73.88368371221925', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",BRONX,BEAUMONT AVENUE,2030900057,,,,,,,
58817059,2023-09-14T07:58:34.000,,DHS,Department of Homeless Services,Homeless Person Assistance,,Store/Commercial,10036,1530 BROADWAY,BROADWAY,AVENUE OF THE AMERICAS,7 AVENUE,AVENUE OF THE AMERICAS,7 AVENUE,ADDRESS,Closed,The mobile outreach response team went to the location provided but could not find the individual that you reported.,2023-09-14T11:23:55.000,05 MANHATTAN,MANHATTAN,988372,215318,ONLINE,Unspecified,MANHATTAN,40.75767370013583,-73.98512133327421,"{'latitude': '40.75767370013583', 'longitude': '-73.98512133327421', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",NEW YORK,BROADWAY,1009970001,,,,,,,
58812845,2023-09-14T07:58:26.000,2023-09-14T09:23:29.000,NYPD,New York City Police Department,Illegal Parking,Commercial Overnight Parking,Street/Sidewalk,10458,2960 GRAND CONCOURSE,GRAND CONCOURSE,BEDFORD PARK BOULEVARD,EAST  201 STREET,BEDFORD PARK BOULEVARD,EAST  201 STREET,ADDRESS,Closed,The Police Department responded and upon arrival those responsible for the condition were gone.,2023-09-14T09:23:32.000,07 BRONX,BRONX,1015333,257131,ONLINE,Unspecified,BRONX,40.87238490161514,-73.8876100072395,"{'latitude': '40.87238490161514', 'longitude': '-73.8876100072395', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",BRONX,GRAND CONCOURSE,2033060011,,,,,,,
58818743,2023-09-14T07:58:26.000,2023-09-14T11:28:24.000,NYPD,New York City Police Department,Noise - Residential,Banging/Pounding,Residential Building/House,10466,3935 CARPENTER AVENUE,CARPENTER AVENUE,EAST  223 STREET,EAST  224 STREET,EAST  223 STREET,EAST  224 STREET,ADDRESS,Closed,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,2023-09-14T11:28:28.000,12 BRONX,BRONX,1021873,262708,ONLINE,Unspecified,BRONX,40.88766656235698,-73.86393136917474,"{'latitude': '40.88766656235698', 'longitude': '-73.86393136917474', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",BRONX,CARPENTER AVENUE,2048190005,,,,,,,
58811252,2023-09-14T07:58:06.000,2023-11-21T08:17:23.000,TLC,Taxi and Limousine Commission,For Hire Vehicle Complaint,Driver Complaint - Non Passenger,,11101,42-02 22 STREET,22 STREET,QUEENS PLAZA SOUTH,ED KOCH BR UPPER RDWY ET   21 ST,QUEENS PLAZA SOUTH,ED KOCH BR UPPER RDWY ET   21 ST,ADDRESS,Closed,"Based on the information provided by the customer, the Taxi and Limousine Commission has determined that a hearing is not necessary or not possible.",2023-11-21T08:17:26.000,02 QUEENS,QUEENS,999946,213025,MOBILE,Unspecified,QUEENS,40.75136702790006,-73.94334947628606,"{'latitude': '40.75136702790006', 'longitude': '-73.94334947628606', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",LONG ISLAND CITY,22 STREET,4004270060,,"42-02 22 STREET, QUEENS (LONG ISLAND CITY), NY, 11101",,,,,
58811842,2023-09-14T07:58:01.000,2023-09-14T07:58:01.000,DOB,Department of Buildings,General Construction/Plumbing,Egress - Doors Locked/Blocked/Improper/No Secondary Means,,10011,350 WEST   24 STREET,WEST   24 STREET,,,,,ADDRESS,Closed,The Department of Buildings investigated this complaint and determined that no further action was necessary.,2023-09-14T00:00:00.000,04 MANHATTAN,MANHATTAN,984126,211365,UNKNOWN,Unspecified,MANHATTAN,40.74682467606051,-74.00044751436617,"{'latitude': '40.74682467606051', 'longitude': '-74.00044751436617', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",NEW YORK,,1007470001,N/A,,,,,,
58818729,2023-09-14T07:58:00.000,,DOT,Department of Transportation,Street Light Condition,Lamppost Leaning,,10312,,,,,MYRNA LANE,EBEY LANE,INTERSECTION,Assigned,Service Request status for this request is available on the Department of Transportationâs website. Please click the âLearn Moreâ link below.,2023-09-27T11:19:00.000,03 STATEN ISLAND,STATEN ISLAND,929305,139198,UNKNOWN,Unspecified,STATEN ISLAND,40.54857178484657,-74.1977076072824,"{'latitude': '40.54857178484657', 'longitude': '-74.1977076072824', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",STATEN ISLAND,,,,,,,,,
