unique_key,created_date,agency,agency_name,complaint_type,descriptor,location_type,incident_zip,incident_address,street_name,address_type,city,facility_type,status,resolution_description,resolution_action_updated_date,community_board,bbl,borough,x_coordinate_state_plane,y_coordinate_state_plane,open_data_channel_type,park_facility_name,park_borough,latitude,longitude,location,closed_date,intersection_street_1,intersection_street_2,cross_street_1,cross_street_2,landmark,due_date,bridge_highway_name,bridge_highway_segment,taxi_pick_up_location,bridge_highway_direction,road_ramp
58856340,2023-09-19T11:51:04.000,HPD,Department of Housing Preservation and Development,WATER LEAK,HEAVY FLOW,RESIDENTIAL BUILDING,10002,248 BROOME STREET,BROOME STREET,ADDRESS,NEW YORK,,Closed,The Department of Housing Preservation and Development inspected the following conditions. Violations were issued. Information about specific violations is available at www.nyc.gov/hpd,2023-09-21T00:00:00.000,03 MANHATTAN,1004090027,MANHATTAN,987113,200850,PHONE,Unspecified,MANHATTAN,40.717963120574815,-73.98967194504654,"{'latitude': '40.717963120574815', 'longitude': '-73.98967194504654', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",2023-09-21T15:27:42.000,,,,,,,,,,,
58864029,2023-09-19T11:51:04.000,HPD,Department of Housing Preservation and Development,UNSANITARY CONDITION,MOLD,RESIDENTIAL BUILDING,10002,248 BROOME STREET,BROOME STREET,ADDRESS,NEW YORK,,Closed,The Department of Housing Preservation and Development inspected the following conditions. No violations were issued. The complaint has been closed.,2023-09-21T00:00:00.000,03 MANHATTAN,1004090027,MANHATTAN,987113,200850,PHONE,Unspecified,MANHATTAN,40.717963120574815,-73.98967194504654,"{'latitude': '40.717963120574815', 'longitude': '-73.98967194504654', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",2023-09-21T15:27:42.000,,,,,,,,,,,
58866740,2023-09-19T11:51:03.000,DSNY,Department of Sanitation,Litter Basket Request,Replacement Basket,Street,11238,CLASSON AVENUE,CLASSON AVENUE,INTERSECTION,,,Closed,The Department of Sanitation found an open service request already exists for the same location.,2023-09-19T12:23:06.000,08 BROOKLYN,,BROOKLYN,995502,185795,PHONE,Unspecified,BROOKLYN,40.6766339622816,-73.95943441812527,"{'latitude': '40.6766339622816', 'longitude': '-73.95943441812527', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",2023-09-22T09:40:29.000,CLASSON AVENUE,ST MARKS AVENUE,CLASSON AVENUE,ST MARKS AVENUE,,,,,,,
58861400,2023-09-19T11:51:02.000,DSNY,Department of Sanitation,Graffiti,Graffiti,Comercial,11222,233 BANKER STREET,BANKER STREET,ADDRESS,BROOKLYN,N/A,Closed,The City has removed the graffiti from this property.,2023-10-05T06:46:32.000,01 BROOKLYN,3026160001,BROOKLYN,996476,203661,UNKNOWN,Unspecified,BROOKLYN,40.72567065092779,-73.95589053130256,"{'latitude': '40.72567065092779', 'longitude': '-73.95589053130256', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",2023-10-04T00:00:00.000,,,,,,2023-10-19T11:51:02.000,,,,,
58858087,2023-09-19T11:50:56.000,HPD,Department of Housing Preservation and Development,GENERAL,COOKING GAS,RESIDENTIAL BUILDING,10012,25 MINETTA LANE,MINETTA LANE,ADDRESS,NEW YORK,,Closed,"The Department of Housing Preservation and Development was not able to gain access to inspect the following conditions. The complaint has been closed. If the condition still exists, please file a new complaint.",2023-10-20T00:00:00.000,02 MANHATTAN,1005420011,MANHATTAN,983846,205402,ONLINE,Unspecified,MANHATTAN,40.730457710990805,-74.00145767256406,"{'latitude': '40.730457710990805', 'longitude': '-74.00145767256406', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",2023-10-20T06:57:47.000,,,,,,,,,,,
58855912,2023-09-19T11:50:39.000,NYPD,New York City Police Department,Noise - Residential,Banging/Pounding,Residential Building/House,11372,35-14 94 STREET,94 STREET,ADDRESS,JACKSON HEIGHTS,,Closed,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,2023-09-19T15:13:10.000,03 QUEENS,4014670011,QUEENS,1019313,213439,ONLINE,Unspecified,QUEENS,40.752447765090594,-73.87344736931657,"{'latitude': '40.752447765090594', 'longitude': '-73.87344736931657', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",2023-09-19T15:13:05.000,35 AVENUE,37 AVENUE,35 AVENUE,37 AVENUE,94 STREET,,,,,,
58855812,2023-09-19T11:50:37.000,DOB,Department of Buildings,General Construction/Plumbing,Building Shaking/Vibrating/Structural Stability,,10475,140 DONIZETTI PLACE,DONIZETTI PLACE,ADDRESS,BRONX,N/A,Closed,"The Department of Buildings attempted to investigate this complaint but could not locate the premises. If the problem still exists, please call 311 and file a new complaint with additional information about how to locate the building. If you are outside of New York City, please call (212) NEW-YORK (212-639-9675).",2023-09-19T00:00:00.000,10 BRONX,2051410120,BRONX,1030576,258437,UNKNOWN,Unspecified,BRONX,40.87590262279607,-73.83248540974479,"{'latitude': '40.87590262279607', 'longitude': '-73.83248540974479', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",2023-09-19T11:50:37.000,,,,,,,,,,,
58868627,2023-09-19T11:50:33.000,DSNY,Department of Sanitation,Dirty Condition,Trash,Sidewalk,11222,529 MEEKER AVENUE,MEEKER AVENUE,ADDRESS,BROOKLYN,,Closed,The Department of Sanitation investigated this complaint and found no violation at the location.,2023-09-19T13:47:29.000,01 BROOKLYN,3027280001,BROOKLYN,999897,201866,ONLINE,Unspecified,BROOKLYN,40.72073842172192,-73.94355228217611,"{'latitude': '40.72073842172192', 'longitude': '-73.94355228217611', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",2023-09-19T13:47:23.000,RUSSELL STREET,NORTH HENRY STREET,RUSSELL STREET,NORTH HENRY STREET,MEEKER AVENUE,,,,,,
58856733,2023-09-19T11:50:12.000,EDC,Economic Development Corporation,Noise - Helicopter,Other,Above Address,10016,208 EAST   28 STREET,EAST   28 STREET,ADDRESS,NEW YORK,,Closed,The Department of Health and Mental Hygiene has determined that this issue is not within its jurisdiction; it cannot be determined if another agency would regulate the issue reported. This Service Request has been closed.,2023-10-04T10:10:19.000,06 MANHATTAN,1009080047,MANHATTAN,989655,209538,ONLINE,Unspecified,MANHATTAN,40.74180836717385,-73.98049489472714,"{'latitude': '40.74180836717385', 'longitude': '-73.98049489472714', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",2023-10-04T10:10:14.000,3 AVENUE,2 AVENUE,3 AVENUE,2 AVENUE,EAST   28 STREET,,,,,,
58860545,2023-09-19T11:50:06.000,DOHMH,Department of Health and Mental Hygiene,Mobile Food Vendor,Food Worker Activity,Mobile Food Vendor,11372,85 STREET,85 STREET,INTERSECTION,,,In Progress,The Department of Health and Mental Hygiene has received and processed your complaint. All restaurants and mobile food vendors are inspected annually. Restaurant inspection results can be found on WWW.NYC.GOV or a copy of the inspection can be requested from 311.,2023-09-20T07:55:55.000,03 QUEENS,,QUEENS,1017185,211789,PHONE,Unspecified,QUEENS,40.74792711794362,-73.88113601550491,"{'latitude': '40.74792711794362', 'longitude': '-73.88113601550491', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,85 STREET,ROOSEVELT AVENUE,85 STREET,ROOSEVELT AVENUE,,,,,,,
58863312,2023-09-19T11:49:51.000,DPR,Department of Parks and Recreation,Illegal Tree Damage,Unauthorized Tree Removal,Street,10304,438 TARGEE STREET,TARGEE STREET,ADDRESS,STATEN ISLAND,,Closed,NYC Parks visited the site and inspected the condition. No work is necessary at this time.,2023-09-19T12:00:17.000,01 STATEN ISLAND,5006450056,STATEN ISLAND,960715,163817,UNKNOWN,Unspecified,STATEN ISLAND,40.616284996425094,-74.08477141396294,"{'latitude': '40.616284996425094', 'longitude': '-74.08477141396294', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",2023-09-19T12:00:13.000,ROFF STREET,METCALFE STREET,ROFF STREET,METCALFE STREET,TARGEE STREET,,,,,,
58855643,2023-09-19T11:49:51.000,NYPD,New York City Police Department,Illegal Parking,Double Parked Blocking Vehicle,Street/Sidewalk,10452,1040 GERARD AVENUE,GERARD AVENUE,ADDRESS,BRONX,,Closed,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,2023-09-19T16:32:44.000,04 BRONX,2024770015,BRONX,1005678,242235,PHONE,Unspecified,BRONX,40.83152853960675,-73.92256816978937,"{'latitude': '40.83152853960675', 'longitude': '-73.92256816978937', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",2023-09-19T16:32:40.000,EAST  164 STREET,EAST  165 STREET,EAST  164 STREET,EAST  165 STREET,GERARD AVENUE,,,,,,
58866238,2023-09-19T11:49:32.000,DOHMH,Department of Health and Mental Hygiene,Indoor Air Quality,Chemical Vapors/Gases/Odors,3+ Family Apartment Building,11231,160 IMLAY STREET,IMLAY STREET,ADDRESS,BROOKLYN,,Closed,,2023-09-19T13:23:05.000,06 BROOKLYN,3005157501,BROOKLYN,981421,187259,PHONE,Unspecified,BROOKLYN,40.68065900995755,-74.01019969373112,"{'latitude': '40.68065900995755', 'longitude': '-74.01019969373112', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",2023-09-19T13:23:05.000,COMMERCE STREET,VERONA STREET,COMMERCE STREET,VERONA STREET,IMLAY STREET,,,,,,
58869039,2023-09-19T11:49:29.000,NYPD,New York City Police Department,Illegal Parking,Posted Parking Sign Violation,Street/Sidewalk,10304,988 WEST FINGERBOARD ROAD,WEST FINGERBOARD ROAD,ADDRESS,STATEN ISLAND,,Closed,The Police Department responded to the complaint and determined that police action was not necessary.,2023-09-19T12:17:47.000,02 STATEN ISLAND,5031940041,STATEN ISLAND,959568,158250,ONLINE,Unspecified,STATEN ISLAND,40.60100160949424,-74.08888247834167,"{'latitude': '40.60100160949424', 'longitude': '-74.08888247834167', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",2023-09-19T12:17:43.000,GLENDALE AVENUE,STANWICH STREET,GLENDALE AVENUE,STANWICH STREET,WEST FINGERBOARD ROAD,,,,,,
58870312,2023-09-19T11:49:00.000,DOT,Department of Transportation,Sidewalk Condition,Broken Sidewalk,Sidewalk,10454,375 EAST  143 STREET,EAST  143 STREET,ADDRESS,BRONX,,Closed,The City inspected the condition you reported and asked the Department of Environmental Protection to address the issue.,2023-10-02T07:46:39.000,01 BRONX,2023060009,BRONX,1005946,235376,ONLINE,Unspecified,BRONX,40.81270187828646,-73.92162190739309,"{'latitude': '40.81270187828646', 'longitude': '-73.92162190739309', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",2023-10-02T07:46:33.000,ALEXANDER AVENUE,WILLIS AVENUE,ALEXANDER AVENUE,WILLIS AVENUE,EAST  143 STREET,,,,,,
58861197,2023-09-19T11:48:52.000,NYPD,New York City Police Department,Illegal Parking,Blocked Sidewalk,Street/Sidewalk,11204,1759 BAY RIDGE PARKWAY,BAY RIDGE PARKWAY,ADDRESS,BROOKLYN,,Closed,The Police Department responded to the complaint and determined that police action was not necessary.,2023-09-19T16:32:10.000,11 BROOKLYN,3062150058,BROOKLYN,985108,162958,MOBILE,Unspecified,BROOKLYN,40.613958434916874,-73.99690965256504,"{'latitude': '40.613958434916874', 'longitude': '-73.99690965256504', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",2023-09-19T16:32:12.000,17 AVENUE,18 AVENUE,17 AVENUE,18 AVENUE,BAY RIDGE PARKWAY,,,,,,
58866212,2023-09-19T11:48:41.000,DPR,Department of Parks and Recreation,Damaged Tree,Branch or Limb Has Fallen Down,Street,11435,90-48 144 PLACE,144 PLACE,ADDRESS,JAMAICA,,In Progress,"NYC Parks reviewed this request and will visit the location to investigate the condition.  Under NYC Parksâ Tree Risk Management Program, all trees under the agency's jurisdiction are assessed for risk, and work is prioritized to address the conditions with the highest risk first.  For more information about the Tree Risk Management Program, visit the NYC Urban Forest page on the NYC Parks website at nyc.gov/parks/trees.   To learn more about the trees in your neighborhood, visit the NYC Tree Map at nyc.gov/parks/treemap.",2023-09-19T09:43:25.000,12 QUEENS,4099830028,QUEENS,1036787,194895,ONLINE,Unspecified,QUEENS,40.70146256389125,-73.81052352616918,"{'latitude': '40.70146256389125', 'longitude': '-73.81052352616918', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,JAMAICA AVENUE,91 AVENUE,JAMAICA AVENUE,91 AVENUE,144 PLACE,,,,,,
58866033,2023-09-19T11:48:02.000,HPD,Department of Housing Preservation and Development,WATER LEAK,HEAVY FLOW,RESIDENTIAL BUILDING,10457,154 EAST  175 STREET,EAST  175 STREET,ADDRESS,BRONX,,Closed,The Department of Housing Preservation and Development inspected the following conditions. Violations were previously issued for these conditions. Information about specific violations is available at www.nyc.gov/hpd.,2023-10-01T00:00:00.000,05 BRONX,2027960028,BRONX,1009673,247802,PHONE,Unspecified,BRONX,40.8467977313607,-73.90811081791232,"{'latitude': '40.8467977313607', 'longitude': '-73.90811081791232', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",2023-10-01T07:37:48.000,,,,,,,,,,,
58858193,2023-09-19T11:47:53.000,HPD,Department of Housing Preservation and Development,UNSANITARY CONDITION,PESTS,RESIDENTIAL BUILDING,10031,1681 AMSTERDAM AVENUE,AMSTERDAM AVENUE,ADDRESS,NEW YORK,,Closed,The Department of Housing Preservation and Development inspected the following conditions. Violations were issued. Information about specific violations is available at www.nyc.gov/hpd,2023-09-30T00:00:00.000,09 MANHATTAN,1020590001,MANHATTAN,998510,239498,ONLINE,Unspecified,MANHATTAN,40.82403073946979,-73.94847613387837,"{'latitude': '40.82403073946979', 'longitude': '-73.94847613387837', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",2023-09-30T10:06:53.000,,,,,,,,,,,
58860124,2023-09-19T11:47:53.000,HPD,Department of Housing Preservation and Development,UNSANITARY CONDITION,PESTS,RESIDENTIAL BUILDING,10031,1681 AMSTERDAM AVENUE,AMSTERDAM AVENUE,ADDRESS,NEW YORK,,Closed,The Department of Housing Preservation and Development inspected the following conditions. Violations were issued. Information about specific violations is available at www.nyc.gov/hpd,2023-09-30T00:00:00.000,09 MANHATTAN,1020590001,MANHATTAN,998510,239498,ONLINE,Unspecified,MANHATTAN,40.82403073946979,-73.94847613387837,"{'latitude': '40.82403073946979', 'longitude': '-73.94847613387837', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",2023-09-30T10:06:52.000,,,,,,,,,,,
58865911,2023-09-19T11:47:53.000,HPD,Department of Housing Preservation and Development,PAINT/PLASTER,WALL,RESIDENTIAL BUILDING,10031,1681 AMSTERDAM AVENUE,AMSTERDAM AVENUE,ADDRESS,NEW YORK,,Closed,The Department of Housing Preservation and Development inspected the following conditions. Violations were issued. Information about specific violations is available at www.nyc.gov/hpd,2023-09-30T00:00:00.000,09 MANHATTAN,1020590001,MANHATTAN,998510,239498,ONLINE,Unspecified,MANHATTAN,40.82403073946979,-73.94847613387837,"{'latitude': '40.82403073946979', 'longitude': '-73.94847613387837', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",2023-09-30T10:06:53.000,,,,,,,,,,,
58863943,2023-09-19T11:47:53.000,HPD,Department of Housing Preservation and Development,PAINT/PLASTER,CEILING,RESIDENTIAL BUILDING,10031,1681 AMSTERDAM AVENUE,AMSTERDAM AVENUE,ADDRESS,NEW YORK,,Closed,The Department of Housing Preservation and Development inspected the following conditions. Violations were issued. Information about specific violations is available at www.nyc.gov/hpd,2023-09-30T00:00:00.000,09 MANHATTAN,1020590001,MANHATTAN,998510,239498,ONLINE,Unspecified,MANHATTAN,40.82403073946979,-73.94847613387837,"{'latitude': '40.82403073946979', 'longitude': '-73.94847613387837', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",2023-09-30T10:06:53.000,,,,,,,,,,,
58865245,2023-09-19T11:47:42.000,NYPD,New York City Police Department,Noise - Vehicle,Car/Truck Horn,Street/Sidewalk,10471,257 WEST  261 STREET,WEST  261 STREET,ADDRESS,BRONX,,Closed,The Police Department responded to the complaint and determined that police action was not necessary.,2023-09-20T01:56:37.000,08 BRONX,2058821109,BRONX,1012425,270694,ONLINE,Unspecified,BRONX,40.90962078439613,-73.8980676847018,"{'latitude': '40.90962078439613', 'longitude': '-73.8980676847018', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",2023-09-20T01:56:32.000,HUXLEY AVENUE,SPENCER AVENUE,HUXLEY AVENUE,SPENCER AVENUE,WEST  261 STREET,,,,,,
58867031,2023-09-19T11:47:32.000,NYPD,New York City Police Department,Illegal Parking,Blocked Sidewalk,Street/Sidewalk,11231,191 UNION STREET,UNION STREET,ADDRESS,BROOKLYN,,Closed,The Police Department responded to the complaint and determined that police action was not necessary.,2023-09-19T12:05:29.000,06 BROOKLYN,3003370027,BROOKLYN,984166,188346,ONLINE,Unspecified,BROOKLYN,40.68364302931577,-74.00030286766025,"{'latitude': '40.68364302931577', 'longitude': '-74.00030286766025', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",2023-09-19T12:05:23.000,HICKS STREET,HENRY STREET,HICKS STREET,HENRY STREET,UNION STREET,,,,,,
58867658,2023-09-19T11:47:16.000,NYPD,New York City Police Department,Noise - Street/Sidewalk,Loud Talking,Street/Sidewalk,11106,31-09 31 AVENUE,31 AVENUE,ADDRESS,ASTORIA,,Closed,The Police Department responded and upon arrival those responsible for the condition were gone.,2023-09-19T12:39:57.000,01 QUEENS,4006150076,QUEENS,1005500,217733,ONLINE,Unspecified,QUEENS,40.76427767738644,-73.92328892366072,"{'latitude': '40.76427767738644', 'longitude': '-73.92328892366072', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",2023-09-19T12:39:54.000,31 STREET,32 STREET,31 STREET,32 STREET,31 AVENUE,,,,,,
58863259,2023-09-19T11:47:10.000,NYPD,New York City Police Department,Illegal Parking,Posted Parking Sign Violation,Street/Sidewalk,11204,4919 20 AVENUE,20 AVENUE,ADDRESS,BROOKLYN,,Closed,This complaint does not fall under the Police Department's jurisdiction.,2023-09-19T12:19:34.000,12 BROOKLYN,3054640072,BROOKLYN,990782,167231,MOBILE,Unspecified,BROOKLYN,40.625684564039204,-73.97646888552177,"{'latitude': '40.625684564039204', 'longitude': '-73.97646888552177', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",2023-09-19T12:19:31.000,AVENUE I,50 STREET,AVENUE I,50 STREET,20 AVENUE,,,,,,
58855336,2023-09-19T11:47:00.000,DEP,Department of Environmental Protection,Sewer,Street Flooding (SJ),,10307,7448 AMBOY ROAD,AMBOY ROAD,ADDRESS,STATEN ISLAND,,Closed,"The Department of Environment Protection inspected your complaint but could not find the problem you reported. If the condition persists, please call 311 (or 212-639-9675 if calling from a non-New York City area code) with more detailed information to submit a new complaint.",2023-09-20T12:45:00.000,03 STATEN ISLAND,5078990001,STATEN ISLAND,916252,125087,ONLINE,Unspecified,STATEN ISLAND,40.509749392232145,-74.24453401944704,"{'latitude': '40.509749392232145', 'longitude': '-74.24453401944704', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",2023-09-20T12:45:00.000,,,YETMAN AVE,BRIGHTON ST,,,,,,,
58867982,2023-09-19T11:47:00.000,DEP,Department of Environmental Protection,Water System,No Water (WNW),,11385,87-29 MYRTLE AVENUE,MYRTLE AVENUE,ADDRESS,RIDGEWOOD,,Closed,The Department of Environmental Protection investigated this complaint and found it to be a temporary condition.,2023-09-19T12:31:00.000,05 QUEENS,4038490035,QUEENS,1022983,195485,PHONE,Unspecified,QUEENS,40.703153161649794,-73.86030462790242,"{'latitude': '40.703153161649794', 'longitude': '-73.86030462790242', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",2023-09-19T12:31:00.000,,,J ROBINSON PKWY WB EN MYRTLE AVE,81 RD,,,,,,,
