unique_key,created_date,closed_date,agency,agency_name,complaint_type,descriptor,location_type,incident_zip,incident_address,street_name,cross_street_1,cross_street_2,intersection_street_1,intersection_street_2,address_type,city,landmark,status,resolution_description,resolution_action_updated_date,community_board,bbl,borough,x_coordinate_state_plane,y_coordinate_state_plane,open_data_channel_type,park_facility_name,park_borough,latitude,longitude,location,taxi_pick_up_location,facility_type,bridge_highway_name,bridge_highway_direction,road_ramp,bridge_highway_segment,vehicle_type,taxi_company_borough
58927240,2023-09-26T20:50:21.000,2023-09-26T20:58:58.000,NYPD,New York City Police Department,Noise - Street/Sidewalk,Loud Talking,Street/Sidewalk,11204,5709 19 AVENUE,19 AVENUE,55 STREET,58 STREET,55 STREET,58 STREET,ADDRESS,BROOKLYN,19 AVENUE,Closed,The Police Department responded and upon arrival those responsible for the condition were gone.,2023-09-26T20:59:02.000,12 BROOKLYN,3055060006,BROOKLYN,988836,165975,ONLINE,Unspecified,BROOKLYN,40.622238328097545,-73.98348007983238,"{'latitude': '40.622238328097545', 'longitude': '-73.98348007983238', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,
58925696,2023-09-26T20:50:20.000,2023-09-26T20:58:14.000,NYPD,New York City Police Department,Illegal Parking,Commercial Overnight Parking,Street/Sidewalk,11369,23-11 97 STREET,97 STREET,23 AVENUE,24 AVENUE,23 AVENUE,24 AVENUE,ADDRESS,EAST ELMHURST,97 STREET,Closed,The Police Department responded to the complaint and determined that police action was not necessary.,2023-09-26T20:58:17.000,03 QUEENS,4010910072,QUEENS,1019348,219085,MOBILE,Unspecified,QUEENS,40.767944432462336,-73.87329156761807,"{'latitude': '40.767944432462336', 'longitude': '-73.87329156761807', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,
58934074,2023-09-26T20:50:13.000,2023-09-26T20:50:13.000,DOHMH,Department of Health and Mental Hygiene,Rodent,Rat Sighting,1-2 Family Dwelling,10302,60 BURNSIDE AVENUE,BURNSIDE AVENUE,FOREST AVENUE,SHAW PLACE,FOREST AVENUE,SHAW PLACE,ADDRESS,STATEN ISLAND,BURNSIDE AVENUE,Closed,The Department of Health and Mental Hygiene inspected the property you reported and did not find any violations at the time of the inspection. The property passed inspection.,2023-09-26T20:50:13.000,01 STATEN ISLAND,5003900031,STATEN ISLAND,947063,166656,MOBILE,Unspecified,STATEN ISLAND,40.624030670528676,-74.13396053295463,"{'latitude': '40.624030670528676', 'longitude': '-74.13396053295463', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,
58932131,2023-09-26T20:50:10.000,2023-10-01T14:43:42.000,HPD,Department of Housing Preservation and Development,ELECTRIC,LIGHTING,RESIDENTIAL BUILDING,10457,2080 GRAND CONCOURSE,GRAND CONCOURSE,,,,,ADDRESS,BRONX,,Closed,The Department of Housing Preservation and Development inspected the following conditions. No violations were issued. The complaint has been closed.,2023-10-01T00:00:00.000,05 BRONX,2031560096,BRONX,1011176,250274,PHONE,Unspecified,BRONX,40.85357818021313,-73.90266843414821,"{'latitude': '40.85357818021313', 'longitude': '-73.90266843414821', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,
58929397,2023-09-26T20:50:06.000,2023-09-26T21:54:24.000,NYPD,New York City Police Department,Illegal Parking,Blocked Hydrant,Street/Sidewalk,11435,109-76 143 STREET,143 STREET,GLASSBORO AVENUE,110 AVENUE,GLASSBORO AVENUE,110 AVENUE,ADDRESS,JAMAICA,143 STREET,Closed,The Police Department responded and upon arrival those responsible for the condition were gone.,2023-09-26T21:54:27.000,12 QUEENS,4119280105,QUEENS,1039178,189553,MOBILE,Unspecified,QUEENS,40.686785530219616,-73.80194389258047,"{'latitude': '40.686785530219616', 'longitude': '-73.80194389258047', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,
58926805,2023-09-26T20:50:00.000,2023-09-29T03:00:00.000,DEP,Department of Environmental Protection,Noise,Noise: Construction Before/After Hours (NM1),,10010,120 EAST   23 STREET,EAST   23 STREET,PARK AVE S,LEXINGTON AVE,,,ADDRESS,NEW YORK,,Closed,"The Department of Environmental Protection (DEP) didn't observe a violation of the NYC Air or Noise Code at the time of inspection and couldn't issue a summons.  If the problem still exists, please go to nyc.gov/311 or call 311 to file a new Service Request. If you're outside of New York City, please call (212) NEW-YORK (212-639-9675).",2023-09-29T03:00:00.000,05 MANHATTAN,1008780065,MANHATTAN,988299,208796,ONLINE,Unspecified,MANHATTAN,40.73977248654612,-73.98538875897175,"{'latitude': '40.73977248654612', 'longitude': '-73.98538875897175', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,N/A,,,,,,
58928012,2023-09-26T20:50:00.000,2023-09-26T21:00:00.000,DEP,Department of Environmental Protection,Air Quality,"Air: Odor/Fumes, Vehicle Idling (AD3)",,10467,2922 BARNES AVENUE,BARNES AVENUE,ARNOW AVE,WILLIAMSBRIDGE RD,,,ADDRESS,BRONX,,Closed,The Department of Environmental Protection will keep the location under observation for idling commercial vehicles.Â Summonses will be issued when warranted.,2023-09-26T21:00:00.000,11 BRONX,2045500012,BRONX,1022026,255655,PHONE,Unspecified,BRONX,40.868307630679645,-73.86341779743378,"{'latitude': '40.868307630679645', 'longitude': '-73.86341779743378', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,N/A,,,,,,
58928476,2023-09-26T20:49:11.000,2023-09-26T20:58:57.000,NYPD,New York City Police Department,Noise - Street/Sidewalk,Loud Music/Party,Street/Sidewalk,11379,69-51 78 STREET,78 STREET,69 ROAD,COOPER AVENUE,69 ROAD,COOPER AVENUE,ADDRESS,MIDDLE VILLAGE,78 STREET,Closed,The Police Department responded to the complaint and took action to fix the condition.,2023-09-26T20:59:02.000,05 QUEENS,4037980111,QUEENS,1019120,197404,MOBILE,Unspecified,QUEENS,40.70843642478293,-73.87422705928498,"{'latitude': '40.70843642478293', 'longitude': '-73.87422705928498', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,
58934360,2023-09-26T20:49:10.000,2023-09-27T20:11:06.000,DSNY,Department of Sanitation,Commercial Disposal Complaint,Waste Left in Front of Residence,Sidewalk,10030,153 WEST  139 STREET,WEST  139 STREET,LENOX AVENUE,ADAM CLAYTON POWELL JR BOULEVARD,LENOX AVENUE,ADAM CLAYTON POWELL JR BOULEVARD,ADDRESS,NEW YORK,WEST  139 STREET,Closed,The Department of Sanitation investigated this complaint and issued a Notice of Violation.,2023-09-27T20:11:11.000,10 MANHATTAN,1020080006,MANHATTAN,1000494,237169,ONLINE,Unspecified,MANHATTAN,40.817634867584246,-73.94131323577753,"{'latitude': '40.817634867584246', 'longitude': '-73.94131323577753', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,
58932088,2023-09-26T20:49:00.000,2023-09-26T21:19:57.000,NYPD,New York City Police Department,Illegal Parking,Posted Parking Sign Violation,Street/Sidewalk,10040,570 WEST  190 STREET,WEST  190 STREET,AUDUBON AVENUE,ST NICHOLAS AVENUE,AUDUBON AVENUE,ST NICHOLAS AVENUE,ADDRESS,NEW YORK,WEST  190 STREET,Closed,The Police Department responded to the complaint and took action to fix the condition.,2023-09-26T21:20:02.000,12 MANHATTAN,1021580067,MANHATTAN,1003895,250647,ONLINE,Unspecified,MANHATTAN,40.85462115652687,-73.9289865404921,"{'latitude': '40.85462115652687', 'longitude': '-73.9289865404921', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,
58925952,2023-09-26T20:48:41.000,2023-09-26T21:44:33.000,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,Residential Building/House,10301,33 STANLEY AVENUE,STANLEY AVENUE,PINE STREET,KINGSLEY PLACE,PINE STREET,KINGSLEY PLACE,ADDRESS,STATEN ISLAND,STANLEY AVENUE,Closed,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,2023-09-26T21:44:38.000,01 STATEN ISLAND,5001060005,STATEN ISLAND,960073,170915,ONLINE,Unspecified,STATEN ISLAND,40.635765778244505,-74.0871092753565,"{'latitude': '40.635765778244505', 'longitude': '-74.0871092753565', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,
58934624,2023-09-26T20:48:40.000,2023-09-26T21:19:37.000,NYPD,New York City Police Department,Illegal Parking,Posted Parking Sign Violation,Street/Sidewalk,10040,570 WEST  190 STREET,WEST  190 STREET,AUDUBON AVENUE,ST NICHOLAS AVENUE,AUDUBON AVENUE,ST NICHOLAS AVENUE,ADDRESS,NEW YORK,WEST  190 STREET,Closed,The Police Department responded to the complaint and took action to fix the condition.,2023-09-26T21:19:40.000,12 MANHATTAN,1021580067,MANHATTAN,1003895,250647,ONLINE,Unspecified,MANHATTAN,40.85462115652687,-73.9289865404921,"{'latitude': '40.85462115652687', 'longitude': '-73.9289865404921', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,
58925676,2023-09-26T20:48:37.000,2023-09-26T22:51:21.000,NYPD,New York City Police Department,Illegal Parking,Blocked Sidewalk,Street/Sidewalk,11229,3710 BEDFORD AVENUE,BEDFORD AVENUE,KINGS HIGHWAY,AVENUE P,KINGS HIGHWAY,AVENUE P,ADDRESS,BROOKLYN,BEDFORD AVENUE,Closed,The Police Department responded to the complaint and determined that police action was not necessary.,2023-09-26T22:51:24.000,15 BROOKLYN,3067710044,BROOKLYN,998438,162188,MOBILE,Unspecified,BROOKLYN,40.61183362625817,-73.94889923507453,"{'latitude': '40.61183362625817', 'longitude': '-73.94889923507453', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,
58926467,2023-09-26T20:48:07.000,2023-09-27T04:42:15.000,NYPD,New York City Police Department,Illegal Parking,Commercial Overnight Parking,Street/Sidewalk,11417,94-14 108 AVENUE,108 AVENUE,CROSS BAY BOULEVARD,95 STREET,CROSS BAY BOULEVARD,95 STREET,ADDRESS,OZONE PARK,108 AVENUE,Closed,The Police Department issued a summons in response to the complaint.,2023-09-27T04:42:17.000,10 QUEENS,4091650247,QUEENS,1027577,186371,MOBILE,Unspecified,QUEENS,40.67811607017091,-73.84379444587775,"{'latitude': '40.67811607017091', 'longitude': '-73.84379444587775', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,
58928418,2023-09-26T20:48:02.000,2023-09-26T21:31:43.000,NYPD,New York City Police Department,Noise - Residential,Banging/Pounding,Residential Building/House,10033,615 WEST  183 STREET,WEST  183 STREET,ST NICHOLAS AVENUE,WADSWORTH AVENUE,ST NICHOLAS AVENUE,WADSWORTH AVENUE,ADDRESS,NEW YORK,WEST  183 STREET,Closed,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,2023-09-26T21:31:48.000,12 MANHATTAN,1021650053,MANHATTAN,1002686,249226,ONLINE,Unspecified,MANHATTAN,40.850723542254315,-73.93336078356981,"{'latitude': '40.850723542254315', 'longitude': '-73.93336078356981', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,
58933598,2023-09-26T20:47:59.000,2023-09-26T21:24:41.000,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,Residential Building/House,10467,740 EAST GUN HILL ROAD,EAST GUN HILL ROAD,WHITE PLAINS ROAD,HOLLAND AVENUE,WHITE PLAINS ROAD,HOLLAND AVENUE,ADDRESS,BRONX,EAST GUN HILL ROAD,Closed,The Police Department responded to the complaint and a report was prepared.,2023-09-26T21:24:45.000,12 BRONX,2046290050,BRONX,1021584,258791,PHONE,Unspecified,BRONX,40.87691685856387,-73.86499840745884,"{'latitude': '40.87691685856387', 'longitude': '-73.86499840745884', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,
58931016,2023-09-26T20:47:56.000,2023-09-26T22:20:11.000,NYPD,New York City Police Department,Noise - Residential,Banging/Pounding,Residential Building/House,10459,800 FREEMAN STREET,FREEMAN STREET,UNION AVENUE,PROSPECT AVENUE,UNION AVENUE,PROSPECT AVENUE,ADDRESS,BRONX,FREEMAN STREET,Closed,The Police Department responded to the complaint but officers were unable to gain entry into the premises.,2023-09-26T22:20:15.000,03 BRONX,2029680101,BRONX,1012447,241782,ONLINE,Unspecified,BRONX,40.83026616853271,-73.89810975823832,"{'latitude': '40.83026616853271', 'longitude': '-73.89810975823832', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,
58932329,2023-09-26T20:47:48.000,2023-09-26T22:50:36.000,NYPD,New York City Police Department,Noise - Street/Sidewalk,Loud Music/Party,Street/Sidewalk,10466,668 EAST  233 STREET,EAST  233 STREET,CARPENTER AVENUE,WHITE PLAINS ROAD,CARPENTER AVENUE,WHITE PLAINS ROAD,ADDRESS,BRONX,EAST  233 STREET,Closed,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,2023-09-26T22:50:42.000,12 BRONX,2048350070,BRONX,1023329,264942,PHONE,Unspecified,BRONX,40.893791850732775,-73.85865252143675,"{'latitude': '40.893791850732775', 'longitude': '-73.85865252143675', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,
58930286,2023-09-26T20:47:48.000,,EDC,Economic Development Corporation,Noise - Helicopter,Other,Above Address,11414,88-08 151 AVENUE,151 AVENUE,88 STREET,89 STREET,88 STREET,89 STREET,ADDRESS,HOWARD BEACH,151 AVENUE,In Progress,,,10 QUEENS,4114340007,QUEENS,1026720,182861,ONLINE,Unspecified,QUEENS,40.66848607627237,-73.84690627257683,"{'latitude': '40.66848607627237', 'longitude': '-73.84690627257683', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,
58933484,2023-09-26T20:47:33.000,2023-09-26T21:43:01.000,NYPD,New York City Police Department,Blocked Driveway,Partial Access,Street/Sidewalk,10460,1556 LELAND AVENUE,LELAND AVENUE,ARCHER STREET,GUERLAIN STREET,ARCHER STREET,GUERLAIN STREET,ADDRESS,BRONX,LELAND AVENUE,Closed,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,2023-09-26T21:43:05.000,09 BRONX,2039230067,BRONX,1021657,245131,ONLINE,Unspecified,BRONX,40.83942399011344,-73.8648106681679,"{'latitude': '40.83942399011344', 'longitude': '-73.8648106681679', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,
58930746,2023-09-26T20:47:32.000,2023-09-27T00:03:27.000,NYPD,New York City Police Department,Illegal Parking,Blocked Sidewalk,Street/Sidewalk,11378,66-17 HULL AVENUE,HULL AVENUE,66 STREET,68 STREET,66 STREET,68 STREET,ADDRESS,MASPETH,HULL AVENUE,Closed,The Police Department issued a summons in response to the complaint.,2023-09-27T00:03:31.000,05 QUEENS,4023970027,QUEENS,1012430,204117,PHONE,Unspecified,QUEENS,40.72688582187515,-73.89832915751155,"{'latitude': '40.72688582187515', 'longitude': '-73.89832915751155', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,
58931835,2023-09-26T20:47:14.000,2023-09-27T12:06:35.000,DSNY,Department of Sanitation,Dirty Condition,Trash,Gutter,11691,13-46 BEACH CHANNEL DRIVE,BEACH CHANNEL DRIVE,DIX AVENUE,BIRDSALL AVENUE,DIX AVENUE,BIRDSALL AVENUE,ADDRESS,FAR ROCKAWAY,BEACH CHANNEL DRIVE,Closed,The Department of Sanitation investigated this complaint and found no violation at the location.,2023-09-27T12:05:37.000,14 QUEENS,4155270001,QUEENS,1052379,160356,PHONE,Unspecified,QUEENS,40.60655462657996,-73.75463961917784,"{'latitude': '40.60655462657996', 'longitude': '-73.75463961917784', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,
58928565,2023-09-26T20:47:12.000,2023-10-09T16:31:15.000,HPD,Department of Housing Preservation and Development,GENERAL,CABINET,RESIDENTIAL BUILDING,10457,2080 GRAND CONCOURSE,GRAND CONCOURSE,,,,,ADDRESS,BRONX,,Closed,The Department of Housing Preservation and Development inspected the following conditions. Violations were issued. Information about specific violations is available at www.nyc.gov/hpd,2023-10-09T00:00:00.000,05 BRONX,2031560096,BRONX,1011176,250274,PHONE,Unspecified,BRONX,40.85357818021313,-73.90266843414821,"{'latitude': '40.85357818021313', 'longitude': '-73.90266843414821', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,
58935571,2023-09-26T20:47:05.000,2023-09-28T14:50:47.000,DSNY,Department of Sanitation,Missed Collection,Bulky Recycling,Street,11215,19 HOWARD PLACE,HOWARD PLACE,WINDSOR PLACE,PROSPECT AVENUE,WINDSOR PLACE,PROSPECT AVENUE,ADDRESS,BROOKLYN,HOWARD PLACE,Closed,The Department of Sanitation collected the requested items.,2023-09-28T11:25:32.000,07 BROOKLYN,3011140028,BROOKLYN,989669,179351,ONLINE,Unspecified,BROOKLYN,40.65895211075231,-73.98046866197065,"{'latitude': '40.65895211075231', 'longitude': '-73.98046866197065', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,
58932520,2023-09-26T20:47:03.000,2023-10-02T11:48:55.000,HPD,Department of Housing Preservation and Development,UNSANITARY CONDITION,MOLD,RESIDENTIAL BUILDING,11207,79 SUNNYSIDE AVENUE,SUNNYSIDE AVENUE,,,,,ADDRESS,BROOKLYN,,Closed,The Department of Housing Preservation and Development inspected the following conditions. Violations were issued. Information about specific violations is available at www.nyc.gov/hpd,2023-10-02T00:00:00.000,05 BROOKLYN,3038860119,BROOKLYN,1013817,187409,ONLINE,Unspecified,BROOKLYN,40.68102179726205,-73.89339835315747,"{'latitude': '40.68102179726205', 'longitude': '-73.89339835315747', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,
58930943,2023-09-26T20:47:00.000,2023-09-26T21:15:00.000,DOT,Department of Transportation,Traffic Signal Condition,Veh Signal Lamp,,10472,,,,,ROSEDALE AVENUE,BRUCKNER BOULEVARD,INTERSECTION,BRONX,,Closed,"Service Request status for this request is available on the Department of Transportation's website. Please click the ""Learn More"" link below.",2023-09-26T21:15:00.000,09 BRONX,,BRONX,1020864,239948,UNKNOWN,Unspecified,BRONX,40.82520148530588,-73.86770486437088,"{'latitude': '40.82520148530588', 'longitude': '-73.86770486437088', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,N/A,,,,,,
58930622,2023-09-26T20:47:00.000,2023-09-28T00:45:00.000,DEP,Department of Environmental Protection,Noise,Noise: air condition/ventilation equipment (NV1),,10003,146 EAST   16 STREET,EAST   16 STREET,IRVING PL,3 AVE,,,ADDRESS,NEW YORK,,Closed,"The Department of Environmental Protection (DEP) didn't observe a violation of the NYC Air or Noise Code at the time of inspection and couldn't issue a summons.  If the problem still exists, please go to nyc.gov/311 or call 311 to file a new Service Request. If you're outside of New York City, please call (212) NEW-YORK (212-639-9675).",2023-09-28T00:45:00.000,06 MANHATTAN,1008710047,MANHATTAN,987790,207070,PHONE,Unspecified,MANHATTAN,40.73503526204053,-73.98722644705303,"{'latitude': '40.73503526204053', 'longitude': '-73.98722644705303', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,N/A,,,,,,
