unique_key,created_date,closed_date,agency,agency_name,complaint_type,descriptor,location_type,incident_zip,incident_address,street_name,cross_street_1,cross_street_2,intersection_street_1,intersection_street_2,address_type,city,landmark,status,resolution_description,resolution_action_updated_date,community_board,bbl,borough,x_coordinate_state_plane,y_coordinate_state_plane,open_data_channel_type,park_facility_name,park_borough,latitude,longitude,location,facility_type,bridge_highway_name,bridge_highway_direction,bridge_highway_segment,taxi_pick_up_location,due_date,road_ramp
58846410,2023-09-18T18:13:07.000,2023-09-27T08:49:43.000,DSNY,Department of Sanitation,Illegal Dumping,Chronic Dumping,Street,11229,2185 COYLE STREET,COYLE STREET,AVENUE U,AVENUE V,AVENUE U,AVENUE V,ADDRESS,BROOKLYN,COYLE STREET,Closed,The Department of Sanitation cleaned the location.,2023-09-27T08:49:47.000,15 BROOKLYN,3073680017,BROOKLYN,1001792,157620,MOBILE,Unspecified,BROOKLYN,40.599289396798234,-73.93683103802272,"{'latitude': '40.599289396798234', 'longitude': '-73.93683103802272', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
58848403,2023-09-18T18:13:04.000,,HPD,Department of Housing Preservation and Development,UNSANITARY CONDITION,PESTS,RESIDENTIAL BUILDING,10040,160 BENNETT AVENUE,BENNETT AVENUE,,,,,ADDRESS,NEW YORK,,Open,The following complaint conditions are still open. HPD may attempt to contact you to verify the correction of the condition or may conduct an inspection.,2023-09-18T00:00:00.000,12 MANHATTAN,1021800340,MANHATTAN,1002414,250933,ONLINE,Unspecified,MANHATTAN,40.85540931212554,-73.93433933605257,"{'latitude': '40.85540931212554', 'longitude': '-73.93433933605257', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
58846866,2023-09-18T18:13:00.000,2023-09-18T19:50:00.000,DOT,Department of Transportation,Traffic Signal Condition,Controller,,10031,,,,,AMSTERDAM AVENUE,WEST 150 STREET,INTERSECTION,MANHATTAN,,Closed,Service Request status for this request is available on the Department of Transportationâs website. Please click the âLearn Moreâ link below.,2023-09-18T19:50:00.000,09 MANHATTAN,,MANHATTAN,999389,241090,UNKNOWN,Unspecified,MANHATTAN,40.82839886247334,-73.94529656226905,"{'latitude': '40.82839886247334', 'longitude': '-73.94529656226905', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",N/A,,,,,,
58846920,2023-09-18T18:12:04.000,2023-09-18T18:33:39.000,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,Residential Building/House,11416,74-30 95 AVENUE,95 AVENUE,DREW STREET,75 STREET,DREW STREET,75 STREET,ADDRESS,OZONE PARK,95 AVENUE,Closed,The Police Department responded to the complaint and took action to fix the condition.,2023-09-18T18:33:43.000,09 QUEENS,4089990019,QUEENS,1021977,187922,ONLINE,Unspecified,QUEENS,40.682398846268995,-73.8639752425665,"{'latitude': '40.682398846268995', 'longitude': '-73.8639752425665', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
58849402,2023-09-18T18:12:00.000,2023-09-18T21:00:00.000,DOT,Department of Transportation,Traffic Signal Condition,Controller,,11207,,,,,ATLANTIC AVENUE,MILLER AVENUE,INTERSECTION,BROOKLYN,,Closed,Service Request status for this request is available on the Department of Transportationâs website. Please click the âLearn Moreâ link below.,2023-09-18T21:00:00.000,05 BROOKLYN,,BROOKLYN,1014162,185682,UNKNOWN,Unspecified,BROOKLYN,40.676280417639255,-73.89216214755515,"{'latitude': '40.676280417639255', 'longitude': '-73.89216214755515', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",N/A,,,,,,
58846109,2023-09-18T18:11:48.000,,DPR,Department of Parks and Recreation,Overgrown Tree/Branches,Hitting Building,Street,11373,43-49 ELBERTSON STREET,ELBERTSON STREET,LAMONT AVENUE,43 AVENUE,LAMONT AVENUE,43 AVENUE,ADDRESS,ELMHURST,ELBERTSON STREET,In Progress,"NYC Parks reviewed this request and will visit the location to investigate the condition.  Under NYC Parksâ Tree Risk Management Program, all trees under the agency's jurisdiction are assessed for risk, and work is prioritized to address the conditions with the highest risk first.  For more information about the Tree Risk Management Program, visit the NYC Urban Forest page on the NYC Parks website at nyc.gov/parks/trees.   To learn more about the trees in your neighborhood, visit the NYC Tree Map at nyc.gov/parks/treemap.",2023-09-29T07:03:57.000,04 QUEENS,4015750039,QUEENS,1019623,210626,PHONE,Unspecified,QUEENS,40.74472556181224,-73.87234328616724,"{'latitude': '40.74472556181224', 'longitude': '-73.87234328616724', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
58853910,2023-09-18T18:11:37.000,,DHS,Department of Homeless Services,Homeless Person Assistance,,Subway,,,,,,,,ADDRESS,,,Closed,The mobile outreach response team went to the location provided but could not find the individual that you reported.,2023-09-19T08:41:46.000,Unspecified MANHATTAN,,MANHATTAN,998885,225029,MOBILE,Unspecified,MANHATTAN,40.78431670635453,-73.94715273366828,"{'latitude': '40.78431670635453', 'longitude': '-73.94715273366828', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,Q,Q platform,Platform,,,
58853092,2023-09-18T18:11:29.000,2023-09-18T21:08:42.000,NYPD,New York City Police Department,Blocked Driveway,No Access,Street/Sidewalk,11421,86-28 76 STREET,76 STREET,86 ROAD,JAMAICA AVENUE,86 ROAD,JAMAICA AVENUE,ADDRESS,WOODHAVEN,76 STREET,Closed,The Police Department issued a summons in response to the complaint.,2023-09-18T21:08:46.000,09 QUEENS,4088350010,QUEENS,1021449,191505,PHONE,Unspecified,QUEENS,40.69223558293631,-73.86585916182052,"{'latitude': '40.69223558293631', 'longitude': '-73.86585916182052', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
58853644,2023-09-18T18:11:03.000,2023-11-03T14:36:38.000,DPR,Department of Parks and Recreation,Damaged Tree,Branch or Limb Has Fallen Down,Street,11105,22-76 41 STREET,41 STREET,DITMARS BOULEVARD,23 AVENUE,DITMARS BOULEVARD,23 AVENUE,ADDRESS,ASTORIA,41 STREET,Closed,NYC Parks performed the work necessary to correct the condition.,2023-11-03T14:36:43.000,01 QUEENS,4007950064,QUEENS,1010054,220230,ONLINE,Unspecified,QUEENS,40.77111917165574,-73.90683971360725,"{'latitude': '40.77111917165574', 'longitude': '-73.90683971360725', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
58848617,2023-09-18T18:11:02.000,2023-09-19T09:59:31.000,DOHMH,Department of Health and Mental Hygiene,Rodent,Condition Attracting Rodents,3+ Family Apt. Building,10456,751 FOREST AVENUE,FOREST AVENUE,EAST 156 STREET,EAST 158 STREET,EAST  156 STREET,EAST  158 STREET,ADDRESS,BRONX,FOREST AVENUE,Closed,This service request was closed because the Department of Health and Mental Hygiene received an earlier complaint about the same location.  You can find inspection results for this address by going to the online Rat Portal at www.nyc.gov/rats.,2023-09-18T18:11:02.000,01 BRONX,2026460036,BRONX,1010233,237477,MOBILE,Unspecified,BRONX,40.81845696341895,-73.90612674157968,"{'latitude': '40.81845696341895', 'longitude': '-73.90612674157968', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
58851870,2023-09-18T18:11:00.000,2023-09-24T17:00:00.000,DOT,Department of Transportation,Traffic Signal Condition,Controller,,11216,,,,,HERKIMER STREET,NOSTRAND AVENUE,INTERSECTION,BROOKLYN,,Closed,Service Request status for this request is available on the Department of Transportationâs website. Please click the âLearn Moreâ link below.,2023-09-24T17:00:00.000,03 BROOKLYN,,BROOKLYN,998234,186890,UNKNOWN,Unspecified,BROOKLYN,40.67963559495174,-73.94958277277725,"{'latitude': '40.67963559495174', 'longitude': '-73.94958277277725', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",N/A,,,,,,
58853676,2023-09-18T18:11:00.000,,DPR,Department of Parks and Recreation,New Tree Request,For One Address,Street,11435,138-36 GRAND CENTRAL PARKWAY SR SOUTH,GRAND CENTRAL PARKWAY SR SOUTH,GRAND CENTRAL PY EB EN UNION TP,139 STREET,GRAND CENTRAL PY EB EN UNION TP,139 STREET,ADDRESS,JAMAICA,GRAND CENTRAL PARKWAY SR SOUTH,In Progress,,,08 QUEENS,4066370026,QUEENS,1033946,200232,UNKNOWN,Unspecified,QUEENS,40.71612774543414,-73.82073026812141,"{'latitude': '40.71612774543414', 'longitude': '-73.82073026812141', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
58852398,2023-09-18T18:11:00.000,,DPR,Department of Parks and Recreation,New Tree Request,For One Address,Street,11363,43-01 MORGAN STREET,MORGAN STREET,41 DRIVE,NORTHERN BOULEVARD,41 DRIVE,NORTHERN BOULEVARD,ADDRESS,LITTLE NECK,MORGAN STREET,In Progress,,,11 QUEENS,4081390028,QUEENS,1057461,220845,UNKNOWN,Unspecified,QUEENS,40.77254167689375,-73.7356800310383,"{'latitude': '40.77254167689375', 'longitude': '-73.7356800310383', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
58852394,2023-09-18T18:11:00.000,,DPR,Department of Parks and Recreation,New Tree Request,For One Address,Street,11435,141-35 HOOVER AVENUE,HOOVER AVENUE,141 STREET,MAIN STREET,141 STREET,MAIN STREET,ADDRESS,JAMAICA,HOOVER AVENUE,In Progress,,,08 QUEENS,4097210166,QUEENS,1034830,199554,UNKNOWN,Unspecified,QUEENS,40.714261791813556,-73.81754649423608,"{'latitude': '40.714261791813556', 'longitude': '-73.81754649423608', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
58848604,2023-09-18T18:10:59.000,,DPR,Department of Parks and Recreation,New Tree Request,For One Address,Street,11435,138-30 GRAND CENTRAL PARKWAY SR SOUTH,GRAND CENTRAL PARKWAY SR SOUTH,GRAND CENTRAL PY EB EN UNION TP,139 STREET,GRAND CENTRAL PY EB EN UNION TP,139 STREET,ADDRESS,JAMAICA,GRAND CENTRAL PARKWAY SR SOUTH,In Progress,,,08 QUEENS,4066370024,QUEENS,1033923,200237,UNKNOWN,Unspecified,QUEENS,40.71614159837406,-73.82081319951995,"{'latitude': '40.71614159837406', 'longitude': '-73.82081319951995', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
58848594,2023-09-18T18:10:59.000,,DPR,Department of Parks and Recreation,New Tree Request,For One Address,Street,11211,GRAHAM AVENUE,GRAHAM AVENUE,GRAHAM AVENUE,WITHERS STREET,GRAHAM AVENUE,WITHERS STREET,INTERSECTION,,,In Progress,,,01 BROOKLYN,,BROOKLYN,999538,200634,UNKNOWN,Unspecified,BROOKLYN,40.71735750641363,-73.94485019927168,"{'latitude': '40.71735750641363', 'longitude': '-73.94485019927168', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
58853680,2023-09-18T18:10:59.000,,DPR,Department of Parks and Recreation,New Tree Request,For One Address,Street,11435,141-31 HOOVER AVENUE,HOOVER AVENUE,141 STREET,MAIN STREET,141 STREET,MAIN STREET,ADDRESS,JAMAICA,HOOVER AVENUE,In Progress,,,08 QUEENS,4097210168,QUEENS,1034818,199555,UNKNOWN,Unspecified,QUEENS,40.71426460516436,-73.81758977331484,"{'latitude': '40.71426460516436', 'longitude': '-73.81758977331484', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
58854215,2023-09-18T18:10:42.000,2023-09-18T18:22:22.000,NYPD,New York City Police Department,Illegal Parking,Blocked Sidewalk,Street/Sidewalk,11231,191 UNION STREET,UNION STREET,HICKS STREET,HENRY STREET,HICKS STREET,HENRY STREET,ADDRESS,BROOKLYN,UNION STREET,Closed,The Police Department responded to the complaint and determined that police action was not necessary.,2023-09-18T18:22:28.000,06 BROOKLYN,3003370027,BROOKLYN,984166,188346,ONLINE,Unspecified,BROOKLYN,40.68364302931577,-74.00030286766025,"{'latitude': '40.68364302931577', 'longitude': '-74.00030286766025', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
58852067,2023-09-18T18:10:03.000,2023-09-19T13:07:15.000,HPD,Department of Housing Preservation and Development,HEAT/HOT WATER,APARTMENT ONLY,RESIDENTIAL BUILDING,11221,655 GREENE AVENUE,GREENE AVENUE,,,,,ADDRESS,BROOKLYN,,Closed,"The Department of Housing Preservation and Development contacted an occupant of the apartment and verified that the following conditions were corrected. The complaint has been closed. If the condition still exists, please file a new complaint.",2023-09-19T00:00:00.000,03 BROOKLYN,3017950053,BROOKLYN,1000086,190434,ONLINE,Unspecified,BROOKLYN,40.68935994425445,-73.9428973353849,"{'latitude': '40.68935994425445', 'longitude': '-73.9428973353849', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
58854373,2023-09-18T18:09:59.000,2023-09-18T19:27:33.000,NYPD,New York City Police Department,Blocked Driveway,Partial Access,Street/Sidewalk,10463,3484 FORT INDEPENDENCE STREET,FORT INDEPENDENCE STREET,BAILEY PLACE,ORLOFF AVENUE,BAILEY PLACE,ORLOFF AVENUE,ADDRESS,BRONX,FORT INDEPENDENCE STREET,Closed,The Police Department responded to the complaint and took action to fix the condition.,2023-09-18T19:27:36.000,08 BRONX,2032580130,BRONX,1012318,260626,MOBILE,Unspecified,BRONX,40.88198769211223,-73.89849699850814,"{'latitude': '40.88198769211223', 'longitude': '-73.89849699850814', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
58854068,2023-09-18T18:09:37.000,2023-09-19T09:56:05.000,DCWP,Department of Consumer and Worker Protection,Consumer Complaint,"Bodega, Deli, or Convenience Store",Business,11375,67-25 AUSTIN STREET,AUSTIN STREET,67 AVENUE,67 ROAD,67 AVENUE,67 ROAD,ADDRESS,FOREST HILLS,AUSTIN STREET,Closed,The Department of Consumer and Worker Protection (DCWP) determined this issue isn't within its jurisdiction.  You should contact the New York State Office of the Attorney General. Call (800) 771-7755 or visit ag.ny.gov.,2023-09-19T09:56:10.000,06 QUEENS,4031680001,QUEENS,1024525,203007,ONLINE,Unspecified,QUEENS,40.723792345220026,-73.85469822331824,"{'latitude': '40.723792345220026', 'longitude': '-73.85469822331824', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
58851214,2023-09-18T18:08:39.000,,DOHMH,Department of Health and Mental Hygiene,Food Establishment,No Permit or License,Restaurant/Bar/Deli/Bakery,10002,172 ALLEN STREET,ALLEN STREET,RIVINGTON STREET,STANTON STREET,RIVINGTON STREET,STANTON STREET,ADDRESS,NEW YORK,ALLEN STREET,In Progress,The Department of Health and Mental Hygiene has received and processed your complaint. All restaurants and mobile food vendors are inspected annually. Restaurant inspection results can be found on WWW.NYC.GOV or a copy of the inspection can be requested from 311.,2023-09-20T07:55:15.000,03 MANHATTAN,1004160053,MANHATTAN,987224,202080,MOBILE,Unspecified,MANHATTAN,40.721339137805806,-73.98927097751921,"{'latitude': '40.721339137805806', 'longitude': '-73.98927097751921', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
58846259,2023-09-18T18:08:35.000,,DHS,Department of Homeless Services,Homeless Person Assistance,,Street/Sidewalk,11217,164 NEVINS STREET,NEVINS STREET,BERGEN STREET,WYCKOFF STREET,BERGEN STREET,WYCKOFF STREET,ADDRESS,BROOKLYN,NEVINS STREET,Closed,The mobile outreach response team went to the location provided but could not find the individual that you reported.,2023-09-18T22:08:14.000,02 BROOKLYN,3003870048,BROOKLYN,988599,188347,MOBILE,Unspecified,BROOKLYN,40.68364470607534,-73.98431938696929,"{'latitude': '40.68364470607534', 'longitude': '-73.98431938696929', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
58847431,2023-09-18T18:08:15.000,2023-09-21T10:14:08.000,DPR,Department of Parks and Recreation,Maintenance or Facility,Unsecured Facility,Park,10028,1000 5 AVENUE,5 AVENUE,EAST   81 STREET,EAST   82 STREET,EAST   81 STREET,EAST   82 STREET,ADDRESS,NEW YORK,5 AVENUE,Closed,NYC Parks inspected the condition and determined that the issue is out of their jurisdiction.,2023-09-21T10:14:16.000,64 MANHATTAN,1011110001,MANHATTAN,994623,222956,ONLINE,Unspecified,MANHATTAN,40.77863290127972,-73.96254609596876,"{'latitude': '40.77863290127972', 'longitude': '-73.96254609596876', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
58854491,2023-09-18T18:08:02.000,2023-09-18T19:26:19.000,NYPD,New York City Police Department,Noise - Residential,Loud Talking,Residential Building/House,11201,90 SANDS STREET,SANDS STREET,PEARL STREET,JAY STREET,PEARL STREET,JAY STREET,ADDRESS,BROOKLYN,SANDS STREET,Closed,The Police Department responded to the complaint and took action to fix the condition.,2023-09-18T19:26:23.000,02 BROOKLYN,3000870009,BROOKLYN,987794,194331,ONLINE,Unspecified,BROOKLYN,40.70006976346633,-73.9872187206513,"{'latitude': '40.70006976346633', 'longitude': '-73.9872187206513', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
58851219,2023-09-18T18:07:50.000,2023-11-14T11:56:46.000,TLC,Taxi and Limousine Commission,For Hire Vehicle Complaint,Driver Complaint - Passenger,Street,11430,JFK BUILDING   59,JFK BUILDING   59,JFK ACCESS ROAD,JFK ACCESS ROAD,JFK ACCESS ROAD,JFK ACCESS ROAD,UNRECOGNIZED,JAMAICA,JFK BUILDING   59,Closed,"Based on the information provided by the customer, the Taxi and Limousine Commission has determined that a hearing is not necessary or not possible.",2023-11-14T11:56:49.000,83 QUEENS,4142600001,QUEENS,1044512,175854,ONLINE,Unspecified,QUEENS,40.64915023440445,-73.78283340618265,"{'latitude': '40.64915023440445', 'longitude': '-73.78283340618265', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,"JFK BUILDING   59, QUEENS (JAMAICA) ,NY, 11430",,
58850594,2023-09-18T18:07:49.000,2023-09-18T21:08:26.000,NYPD,New York City Police Department,Blocked Driveway,No Access,Street/Sidewalk,11421,86-28 76 STREET,76 STREET,86 ROAD,JAMAICA AVENUE,86 ROAD,JAMAICA AVENUE,ADDRESS,WOODHAVEN,76 STREET,Closed,The Police Department issued a summons in response to the complaint.,2023-09-18T21:08:29.000,09 QUEENS,4088350010,QUEENS,1021449,191505,PHONE,Unspecified,QUEENS,40.69223558293631,-73.86585916182052,"{'latitude': '40.69223558293631', 'longitude': '-73.86585916182052', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
58846964,2023-09-18T18:07:36.000,2023-09-18T19:05:15.000,NYPD,New York City Police Department,Noise - Street/Sidewalk,Loud Talking,Street/Sidewalk,10032,498 WEST  158 STREET,WEST  158 STREET,ST NICHOLAS AVENUE,AMSTERDAM AVENUE,ST NICHOLAS AVENUE,AMSTERDAM AVENUE,ADDRESS,NEW YORK,WEST  158 STREET,Closed,The Police Department responded to the complaint and took action to fix the condition.,2023-09-18T19:05:19.000,12 MANHATTAN,1021080059,MANHATTAN,1000454,242921,ONLINE,Unspecified,MANHATTAN,40.833422541343964,-73.94144385735437,"{'latitude': '40.833422541343964', 'longitude': '-73.94144385735437', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
58855178,2023-09-18T18:07:29.000,2023-09-18T20:02:48.000,DSNY,Department of Sanitation,Vendor Enforcement,Food Vendor,Street,11372,73 STREET,73 STREET,73 STREET,BROADWAY,73 STREET,BROADWAY,INTERSECTION,,,Closed,N/A,2023-09-18T20:02:51.000,03 QUEENS,,QUEENS,1014062,211497,PHONE,Unspecified,QUEENS,40.74713673194053,-73.89240835378462,"{'latitude': '40.74713673194053', 'longitude': '-73.89240835378462', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
