unique_key,created_date,closed_date,agency,agency_name,complaint_type,descriptor,location_type,incident_zip,incident_address,street_name,address_type,city,status,resolution_description,resolution_action_updated_date,community_board,bbl,borough,x_coordinate_state_plane,y_coordinate_state_plane,open_data_channel_type,park_facility_name,park_borough,latitude,longitude,location,facility_type,bridge_highway_name,bridge_highway_segment,cross_street_1,cross_street_2,intersection_street_1,intersection_street_2,landmark,taxi_pick_up_location,vehicle_type,bridge_highway_direction,road_ramp,taxi_company_borough
59455706,2023-09-30T11:22:58.000,,HPD,Department of Housing Preservation and Development,Plumbing,Toilet,Apartment,10003,345 EAST   12 STREET,EAST   12 STREET,ADDRESS,NEW YORK,In Progress,,,03 MANHATTAN,1004540047,MANHATTAN,988462,205438,ONLINE,Unspecified,MANHATTAN,40.730555528546695,-73.98480265870558,"{'latitude': '40.730555528546695', 'longitude': '-73.98480265870558', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,2 AVENUE,1 AVENUE,2 AVENUE,1 AVENUE,EAST   12 STREET,,,,,
59445352,2023-09-30T11:22:57.000,,HPD,Department of Housing Preservation and Development,Plumbing,Water Supply,Apartment,10003,345 EAST   12 STREET,EAST   12 STREET,ADDRESS,NEW YORK,In Progress,,,03 MANHATTAN,1004540047,MANHATTAN,988462,205438,ONLINE,Unspecified,MANHATTAN,40.730555528546695,-73.98480265870558,"{'latitude': '40.730555528546695', 'longitude': '-73.98480265870558', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,2 AVENUE,1 AVENUE,2 AVENUE,1 AVENUE,EAST   12 STREET,,,,,
59453230,2023-09-30T11:22:56.000,,HPD,Department of Housing Preservation and Development,Water Leak,Slow Leak,Apartment,10003,345 EAST   12 STREET,EAST   12 STREET,ADDRESS,NEW YORK,In Progress,,,03 MANHATTAN,1004540047,MANHATTAN,988462,205438,ONLINE,Unspecified,MANHATTAN,40.730555528546695,-73.98480265870558,"{'latitude': '40.730555528546695', 'longitude': '-73.98480265870558', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,2 AVENUE,1 AVENUE,2 AVENUE,1 AVENUE,EAST   12 STREET,,,,,
58970898,2023-09-30T11:22:55.000,2023-09-30T11:46:01.000,NYPD,New York City Police Department,Illegal Parking,Posted Parking Sign Violation,Street/Sidewalk,11205,31 KOSCIUSZKO STREET,KOSCIUSZKO STREET,ADDRESS,BROOKLYN,Closed,The Police Department issued a summons in response to the complaint.,2023-09-30T11:46:04.000,03 BROOKLYN,3017780031,BROOKLYN,997065,190795,ONLINE,Unspecified,BROOKLYN,40.690355695788206,-73.95379000016959,"{'latitude': '40.690355695788206', 'longitude': '-73.95379000016959', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,SPENCER COURT,NOSTRAND AVENUE,SPENCER COURT,NOSTRAND AVENUE,KOSCIUSZKO STREET,,,,,
59456512,2023-09-30T11:22:45.000,2023-11-03T00:00:00.000,HPD,Department of Housing Preservation and Development,Water Leak,Heavy Flow,Apartment,10009,432 EAST   13 STREET,EAST   13 STREET,ADDRESS,NEW YORK,Closed,,2023-11-03T00:00:00.000,03 MANHATTAN,1004400024,MANHATTAN,989173,205343,ONLINE,Unspecified,MANHATTAN,40.730294409657716,-73.98223736510921,"{'latitude': '40.730294409657716', 'longitude': '-73.98223736510921', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,1 AVENUE,AVENUE A,1 AVENUE,AVENUE A,EAST   13 STREET,,,,,
58972744,2023-09-30T11:22:41.000,2023-10-01T20:02:36.000,HPD,Department of Housing Preservation and Development,WATER LEAK,HEAVY FLOW,RESIDENTIAL BUILDING,10467,3371 DECATUR AVENUE,DECATUR AVENUE,ADDRESS,BRONX,Closed,The Department of Housing Preservation and Development inspected the following conditions. No violations were issued. The complaint has been closed.,2023-10-01T00:00:00.000,07 BRONX,2033520045,BRONX,1019400,259080,ONLINE,Unspecified,BRONX,40.87771904149627,-73.87289433179268,"{'latitude': '40.87771904149627', 'longitude': '-73.87289433179268', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,,,,,,
58976292,2023-09-30T11:22:41.000,2023-10-01T20:02:37.000,HPD,Department of Housing Preservation and Development,PAINT/PLASTER,CEILING,RESIDENTIAL BUILDING,10467,3371 DECATUR AVENUE,DECATUR AVENUE,ADDRESS,BRONX,Closed,The Department of Housing Preservation and Development inspected the following conditions. No violations were issued. The complaint has been closed.,2023-10-01T00:00:00.000,07 BRONX,2033520045,BRONX,1019400,259080,ONLINE,Unspecified,BRONX,40.87771904149627,-73.87289433179268,"{'latitude': '40.87771904149627', 'longitude': '-73.87289433179268', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,,,,,,
58971465,2023-09-30T11:22:41.000,2023-10-01T20:02:36.000,HPD,Department of Housing Preservation and Development,PAINT/PLASTER,WINDOW/FRAME,RESIDENTIAL BUILDING,10467,3371 DECATUR AVENUE,DECATUR AVENUE,ADDRESS,BRONX,Closed,The Department of Housing Preservation and Development inspected the following conditions. Violations were issued. Information about specific violations is available at www.nyc.gov/hpd,2023-10-01T00:00:00.000,07 BRONX,2033520045,BRONX,1019400,259080,ONLINE,Unspecified,BRONX,40.87771904149627,-73.87289433179268,"{'latitude': '40.87771904149627', 'longitude': '-73.87289433179268', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,,,,,,
58975184,2023-09-30T11:22:35.000,,HPD,Department of Housing Preservation and Development,WATER LEAK,SLOW LEAK,RESIDENTIAL BUILDING,10456,1107 CLAY AVENUE,CLAY AVENUE,ADDRESS,BRONX,Open,The following complaint conditions are still open. HPD may attempt to contact you to verify the correction of the condition or may conduct an inspection.,2023-09-30T00:00:00.000,04 BRONX,2024290034,BRONX,1008583,241596,ONLINE,Unspecified,BRONX,40.829767142893594,-73.91207303914179,"{'latitude': '40.829767142893594', 'longitude': '-73.91207303914179', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,,,,,,
59456713,2023-09-30T11:22:31.000,2023-10-01T21:40:00.000,DEP,Department of Environmental Protection,Water Maintenance,Leak,N/A,11434,146-42 177 STREET,177 STREET,ADDRESS,JAMAICA,Closed,,2023-10-01T21:40:00.000,13 QUEENS,4133060151,QUEENS,1048293,180510,ONLINE,Unspecified,QUEENS,40.66190335535401,-73.76916363548283,"{'latitude': '40.66190335535401', 'longitude': '-73.76916363548283', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,FARMERS BOULEVARD,146 DRIVE,FARMERS BOULEVARD,146 DRIVE,177 STREET,,,,,
59455620,2023-09-30T11:22:25.000,2023-10-01T00:00:00.000,HPD,Department of Housing Preservation and Development,Paint/Plaster,Window/Frame,Apartment,10467,3371 DECATUR AVENUE,DECATUR AVENUE,ADDRESS,BRONX,Closed,,2023-10-01T00:00:00.000,07 BRONX,2033520045,BRONX,1019400,259080,ONLINE,Unspecified,BRONX,40.87771904149627,-73.87289433179268,"{'latitude': '40.87771904149627', 'longitude': '-73.87289433179268', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,EAST  209 STREET,EAST GUN HILL ROAD,EAST  209 STREET,EAST GUN HILL ROAD,DECATUR AVENUE,,,,,
59445100,2023-09-30T11:22:24.000,2023-10-01T00:00:00.000,HPD,Department of Housing Preservation and Development,Paint/Plaster,Ceiling,Apartment,10467,3371 DECATUR AVENUE,DECATUR AVENUE,ADDRESS,BRONX,Closed,,2023-10-01T00:00:00.000,07 BRONX,2033520045,BRONX,1019400,259080,ONLINE,Unspecified,BRONX,40.87771904149627,-73.87289433179268,"{'latitude': '40.87771904149627', 'longitude': '-73.87289433179268', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,EAST  209 STREET,EAST GUN HILL ROAD,EAST  209 STREET,EAST GUN HILL ROAD,DECATUR AVENUE,,,,,
59446177,2023-09-30T11:22:23.000,2023-10-01T00:00:00.000,HPD,Department of Housing Preservation and Development,Water Leak,Heavy Flow,Apartment,10467,3371 DECATUR AVENUE,DECATUR AVENUE,ADDRESS,BRONX,Closed,,2023-10-01T00:00:00.000,07 BRONX,2033520045,BRONX,1019400,259080,ONLINE,Unspecified,BRONX,40.87771904149627,-73.87289433179268,"{'latitude': '40.87771904149627', 'longitude': '-73.87289433179268', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,EAST  209 STREET,EAST GUN HILL ROAD,EAST  209 STREET,EAST GUN HILL ROAD,DECATUR AVENUE,,,,,
58976873,2023-09-30T11:21:21.000,2023-09-30T12:07:35.000,NYPD,New York City Police Department,Illegal Parking,Blocked Sidewalk,Street/Sidewalk,11104,37-02 48 STREET,48 STREET,ADDRESS,SUNNYSIDE,Closed,The Police Department responded to the complaint and took action to fix the condition.,2023-09-30T12:07:39.000,01 QUEENS,4001420115,QUEENS,1007740,212933,MOBILE,Unspecified,QUEENS,40.7510972414423,-73.9152194490448,"{'latitude': '40.7510972414423', 'longitude': '-73.9152194490448', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,37 AVENUE,LIRR PENN CENTRAL LINE,37 AVENUE,LIRR PENN CENTRAL LINE,48 STREET,,,,,
58975276,2023-09-30T11:21:07.000,2023-10-02T06:55:16.000,DPR,Department of Parks and Recreation,Damaged Tree,Entire Tree Has Fallen Down,Street,11414,87-03 157 AVENUE,157 AVENUE,ADDRESS,HOWARD BEACH,Closed,"NYC Parks created a work order for the tree condition.  Please note that addressing this work can take up to a year or more depending on the higher priority work identified during this period and resources available to address this work.    NYC Parks work priority categories range from Category A through D, with A being the most critical and time-sensitive. We will complete all work in Category A first and address work in lower priority categories in accordance with available resources. For more information about the Tree Risk Management Program, visit the NYC Urban Forest page on the NYC Parks website at nyc.gov/parks/trees.   Alternatively, you may choose complete the work yourself by hiring an independent contractor. The contractor must complete a Tree Work Permit application on the NYC Parks website at nyc.gov/parks/trees.",2023-10-02T06:55:23.000,10 QUEENS,4139520038,QUEENS,1026934,180407,UNKNOWN,Unspecified,QUEENS,40.66174937204279,-73.84615039425911,"{'latitude': '40.66174937204279', 'longitude': '-73.84615039425911', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,87 STREET,88 STREET,87 STREET,88 STREET,157 AVENUE,,,,,
58972256,2023-09-30T11:21:07.000,2023-09-30T15:59:09.000,DPR,Department of Parks and Recreation,Damaged Tree,Branch or Limb Has Fallen Down,Street,11365,188-19 UNDERHILL AVENUE,UNDERHILL AVENUE,ADDRESS,FRESH MEADOWS,Closed,NYC Parks visited the site and inspected the condition. No work is necessary at this time.,2023-09-30T15:59:11.000,11 QUEENS,4056590006,QUEENS,1042808,211011,UNKNOWN,Unspecified,QUEENS,40.74565915569357,-73.78866844178764,"{'latitude': '40.74565915569357', 'longitude': '-73.78866844178764', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,53 AVENUE,189 STREET,53 AVENUE,189 STREET,UNDERHILL AVENUE,,,,,
58970656,2023-09-30T11:21:06.000,2023-09-30T11:33:15.000,NYPD,New York City Police Department,Illegal Parking,Blocked Crosswalk,Street/Sidewalk,11357,147-01 16 ROAD,16 ROAD,ADDRESS,WHITESTONE,Closed,The Police Department issued a summons in response to the complaint.,2023-09-30T11:33:19.000,07 QUEENS,4046480005,QUEENS,1034600,225400,ONLINE,Unspecified,QUEENS,40.78520369780284,-73.81818264048226,"{'latitude': '40.78520369780284', 'longitude': '-73.81818264048226', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,147 STREET,149 STREET,147 STREET,149 STREET,16 ROAD,,,,,
59456025,2023-09-30T11:21:06.000,2023-09-30T14:30:00.000,DEP,Department of Environmental Protection,Sewer Maintenance,Backup,Sewer,11215,299 15 STREET,15 STREET,ADDRESS,BROOKLYN,Closed,,2023-09-30T14:30:00.000,06 BROOKLYN,3010430076,BROOKLYN,988118,181191,ONLINE,Unspecified,BROOKLYN,40.66400331792089,-73.98605777153465,"{'latitude': '40.66400331792089', 'longitude': '-73.98605777153465', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,6 AVENUE,7 AVENUE,6 AVENUE,7 AVENUE,15 STREET,,,,,
58968392,2023-09-30T11:20:35.000,2023-09-30T11:28:46.000,NYPD,New York City Police Department,Illegal Parking,Posted Parking Sign Violation,Street/Sidewalk,11201,28 OLD FULTON STREET,OLD FULTON STREET,ADDRESS,BROOKLYN,Closed,The Police Department responded to the complaint and took action to fix the condition.,2023-09-30T11:28:49.000,02 BROOKLYN,3002020001,BROOKLYN,985984,195260,MOBILE,Unspecified,BROOKLYN,40.70262019071403,-73.99374616641713,"{'latitude': '40.70262019071403', 'longitude': '-73.99374616641713', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,ELIZABETH PLACE,FRONT STREET,ELIZABETH PLACE,FRONT STREET,CADMAN PLAZA WEST,,,,,
58971593,2023-09-30T11:20:29.000,2023-09-30T11:20:29.000,DOB,Department of Buildings,Elevator,Elevator - Multiple Devices On Property,,10451,831 GERARD AVENUE,GERARD AVENUE,ADDRESS,BRONX,Open,Your Service Request has been submitted to the Department of Buildings.  Please check back later for status.,2023-09-30T00:00:00.000,04 BRONX,2024830059,BRONX,1004873,240441,UNKNOWN,Unspecified,BRONX,40.82660644099667,-73.92548261645547,"{'latitude': '40.82660644099667', 'longitude': '-73.92548261645547', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,,,,,,
58974000,2023-09-30T11:20:15.000,2023-10-31T00:00:00.000,DOB,Department of Buildings,Elevator,Elevator - Multiple Devices On Property,,11224,2980 WEST   28 STREET,WEST   28 STREET,ADDRESS,BROOKLYN,Closed,"The Department of Buildings reviewed this complaint and closed it. If the problem still exists, please call 311 and file a new complaint. If you are outside of New York City, please call (212) NEW-YORK (212-639-9675).",2023-10-31T00:00:00.000,13 BROOKLYN,3070520034,BROOKLYN,985931,148251,UNKNOWN,Unspecified,BROOKLYN,40.57359055854324,-73.99394902740013,"{'latitude': '40.57359055854324', 'longitude': '-73.99394902740013', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,,,,,,
58969586,2023-09-30T11:20:10.000,2023-10-01T00:00:00.000,DOB,Department of Buildings,General Construction/Plumbing,Working Contrary To Stop Work Order,,11207,372 BRADFORD STREET,BRADFORD STREET,ADDRESS,BROOKLYN,Closed,The Department of Buildings investigated this complaint and determined that no further action was necessary.,2023-10-01T00:00:00.000,05 BROOKLYN,3037750125,BROOKLYN,1014368,183283,UNKNOWN,Unspecified,BROOKLYN,40.66969500771951,-73.89143020274042,"{'latitude': '40.66969500771951', 'longitude': '-73.89143020274042', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",N/A,,,,,,,,,,,,
58970999,2023-09-30T11:20:10.000,2023-09-30T12:11:22.000,NYPD,New York City Police Department,Urinating in Public,N/A,Street/Sidewalk,11373,87-26 56 AVENUE,56 AVENUE,ADDRESS,ELMHURST,Closed,The Police Department responded to the complaint and took action to fix the condition.,2023-09-30T12:11:25.000,04 QUEENS,4028550010,QUEENS,1018784,206771,ONLINE,Unspecified,QUEENS,40.73414787054272,-73.87539091807392,"{'latitude': '40.73414787054272', 'longitude': '-73.87539091807392', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,SEABURY STREET,QUEENS BOULEVARD,SEABURY STREET,QUEENS BOULEVARD,56 AVENUE,,,,,
58969440,2023-09-30T11:20:09.000,2023-09-30T13:03:15.000,NYPD,New York City Police Department,Illegal Parking,Blocked Crosswalk,Street/Sidewalk,11222,1125 LORIMER STREET,LORIMER STREET,ADDRESS,BROOKLYN,Closed,The Police Department responded to the complaint and determined that police action was not necessary.,2023-09-30T13:03:19.000,01 BROOKLYN,3025690035,BROOKLYN,996847,204724,ONLINE,Unspecified,BROOKLYN,40.72858780611507,-73.95455003252155,"{'latitude': '40.72858780611507', 'longitude': '-73.95455003252155', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,CALYER STREET,NOBLE STREET,CALYER STREET,NOBLE STREET,LORIMER STREET,,,,,
59436038,2023-09-30T11:20:04.000,,HPD,Department of Housing Preservation and Development,Water Leak,Slow Leak,Apartment,10456,1109 CLAY AVENUE,CLAY AVENUE,ADDRESS,BRONX,In Progress,,,04 BRONX,2024290034,BRONX,1008588,241607,ONLINE,Unspecified,BRONX,40.82979732095139,-73.91205493181651,"{'latitude': '40.82979732095139', 'longitude': '-73.91205493181651', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,EAST  166 STREET,EAST  167 STREET,EAST  166 STREET,EAST  167 STREET,CLAY AVENUE,,,,,
58969329,2023-09-30T11:19:44.000,2023-11-09T12:43:11.000,TLC,Taxi and Limousine Commission,For Hire Vehicle Complaint,Driver Complaint - Non Passenger,Street,10472,EAST  172 STREET,EAST  172 STREET,INTERSECTION,,Closed,"Based on the information provided by the customer, the Taxi and Limousine Commission has determined that a hearing is not necessary or not possible.",2023-11-09T12:43:14.000,09 BRONX,,BRONX,1019609,242482,PHONE,Unspecified,BRONX,40.832161696586816,-73.87222611753623,"{'latitude': '40.832161696586816', 'longitude': '-73.87222611753623', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,EAST  172 STREET,FTELEY AVENUE,EAST  172 STREET,FTELEY AVENUE,,"EAST  172 STREET AND FTELEY AVENUE, BRONX, NY, 10472",,,,
58968979,2023-09-30T11:19:36.000,2023-10-15T11:35:54.000,HPD,Department of Housing Preservation and Development,PAINT/PLASTER,CEILING,RESIDENTIAL BUILDING,10468,2477 AQUEDUCT AVENUE WEST,AQUEDUCT AVENUE WEST,ADDRESS,BRONX,Closed,The Department of Housing Preservation and Development was unable to access the rooms where the following  conditions were reported. No violations were issued. The complaint has been closed.,2023-10-15T00:00:00.000,07 BRONX,2032130068,BRONX,1011101,254203,PHONE,Unspecified,BRONX,40.864362327539915,-73.9029238030999,"{'latitude': '40.864362327539915', 'longitude': '-73.9029238030999', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,,,,,,
58976331,2023-09-30T11:19:36.000,2023-10-15T11:35:54.000,HPD,Department of Housing Preservation and Development,UNSANITARY CONDITION,MOLD,RESIDENTIAL BUILDING,10468,2477 AQUEDUCT AVENUE WEST,AQUEDUCT AVENUE WEST,ADDRESS,BRONX,Closed,The Department of Housing Preservation and Development was unable to access the rooms where the following  conditions were reported. No violations were issued. The complaint has been closed.,2023-10-15T00:00:00.000,07 BRONX,2032130068,BRONX,1011101,254203,PHONE,Unspecified,BRONX,40.864362327539915,-73.9029238030999,"{'latitude': '40.864362327539915', 'longitude': '-73.9029238030999', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,,,,,,
