unique_key,created_date,closed_date,agency,agency_name,complaint_type,descriptor,location_type,incident_zip,incident_address,street_name,cross_street_1,cross_street_2,intersection_street_1,intersection_street_2,address_type,city,landmark,status,resolution_description,resolution_action_updated_date,community_board,bbl,borough,x_coordinate_state_plane,y_coordinate_state_plane,open_data_channel_type,park_facility_name,park_borough,latitude,longitude,location,facility_type,taxi_pick_up_location,due_date,bridge_highway_name,bridge_highway_direction,road_ramp,bridge_highway_segment
58841778,2023-09-17T11:02:26.000,2023-09-22T00:11:30.000,HPD,Department of Housing Preservation and Development,SAFETY,FIRE ESCAPE,RESIDENTIAL BUILDING,10472,1742 EAST  172 STREET,EAST  172 STREET,,,,,ADDRESS,BRONX,,Closed,The Department of Housing Preservation and Development inspected the following conditions. Violations were issued. Information about specific violations is available at www.nyc.gov/hpd,2023-09-22T00:00:00.000,09 BRONX,2037840021,BRONX,1020446,242637,PHONE,Unspecified,BRONX,40.83258373587881,-73.86920068822464,"{'latitude': '40.83258373587881', 'longitude': '-73.86920068822464', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
58840256,2023-09-17T11:02:26.000,2023-09-17T13:27:07.000,NYPD,New York City Police Department,Blocked Driveway,No Access,Street/Sidewalk,11212,2100 STRAUSS STREET,STRAUSS STREET,DUMONT AVENUE,LIVONIA AVENUE,DUMONT AVENUE,LIVONIA AVENUE,ADDRESS,BROOKLYN,STRAUSS STREET,Closed,The Police Department responded to the complaint and took action to fix the condition.,2023-09-17T13:27:10.000,16 BROOKLYN,3035690041,BROOKLYN,1007900,180684,PHONE,Unspecified,BROOKLYN,40.66258097466469,-73.91475524223695,"{'latitude': '40.66258097466469', 'longitude': '-73.91475524223695', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
58840071,2023-09-17T11:02:00.000,2023-09-24T15:45:00.000,DEP,Department of Environmental Protection,Noise,Noise: Construction Before/After Hours (NM1),,10023,34 WEST   71 STREET,WEST   71 STREET,CENTRAL PARK W,COLUMBUS AVE,,,ADDRESS,NEW YORK,,Closed,"The Department of Environmental Protection (DEP) didn't observe a violation of the NYC Air or Noise Code at the time of inspection and couldn't issue a summons.  If the problem still exists, please go to nyc.gov/311 or call 311 to file a new Service Request. If you're outside of New York City, please call (212) NEW-YORK (212-639-9675).",2023-09-24T15:45:00.000,07 MANHATTAN,1011230049,MANHATTAN,990350,222055,ONLINE,Unspecified,MANHATTAN,40.776163875494866,-73.97797548067389,"{'latitude': '40.776163875494866', 'longitude': '-73.97797548067389', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",N/A,,,,,,
58839739,2023-09-17T11:01:29.000,,DPR,Department of Parks and Recreation,New Tree Request,For One Address,Street,11385,976 SENECA AVENUE,SENECA AVENUE,CENTRE STREET,GEORGE STREET,CENTRE STREET,GEORGE STREET,ADDRESS,RIDGEWOOD,SENECA AVENUE,In Progress,,,05 QUEENS,4035630023,QUEENS,1011385,194144,MOBILE,Unspecified,QUEENS,40.6995155990858,-73.90213961535707,"{'latitude': '40.6995155990858', 'longitude': '-73.90213961535707', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
58839061,2023-09-17T11:01:01.000,2023-09-17T12:07:00.000,NYPD,New York City Police Department,Illegal Parking,Blocked Sidewalk,Street/Sidewalk,10306,6 GARIBALDI AVENUE,GARIBALDI AVENUE,ROMA AVENUE,CEDAR GROVE AVENUE,ROMA AVENUE,CEDAR GROVE AVENUE,ADDRESS,STATEN ISLAND,GARIBALDI AVENUE,Closed,The Police Department responded to the complaint and determined that police action was not necessary.,2023-09-17T12:07:03.000,02 STATEN ISLAND,5040880032,STATEN ISLAND,955861,144257,MOBILE,Unspecified,STATEN ISLAND,40.5625825205339,-74.1021729890271,"{'latitude': '40.5625825205339', 'longitude': '-74.1021729890271', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
58845124,2023-09-17T11:00:56.000,2023-09-25T14:43:36.000,DSNY,Department of Sanitation,Missed Collection,Trash,Street,10031,612 WEST  144 STREET,WEST  144 STREET,BROADWAY,RIVERSIDE DRIVE,BROADWAY,RIVERSIDE DRIVE,ADDRESS,NEW YORK,WEST  144 STREET,Closed,The Department of Sanitation collected the requested items.,2023-09-18T13:56:40.000,09 MANHATTAN,1020900040,MANHATTAN,997599,240249,ONLINE,Unspecified,MANHATTAN,40.82609344445307,-73.95176624088222,"{'latitude': '40.82609344445307', 'longitude': '-73.95176624088222', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
58844143,2023-09-17T11:00:56.000,2023-09-18T09:44:47.000,DSNY,Department of Sanitation,Residential Disposal Complaint,Waste Set Out Too Early or Too Late,Sidewalk,11412,114-33 194 STREET,194 STREET,114 ROAD,114 DRIVE,114 ROAD,114 DRIVE,ADDRESS,SAINT ALBANS,194 STREET,Closed,The Department of Sanitation investigated this complaint and issued a Notice of Violation.,2023-09-18T09:44:55.000,12 QUEENS,4110110005,QUEENS,1050786,193496,ONLINE,Unspecified,QUEENS,40.69752846431072,-73.76004970442298,"{'latitude': '40.69752846431072', 'longitude': '-73.76004970442298', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
58841255,2023-09-17T11:00:50.000,2023-09-17T11:25:35.000,NYPD,New York City Police Department,Illegal Parking,Double Parked Blocking Vehicle,Street/Sidewalk,10006,97 CEDAR STREET,CEDAR STREET,BROADWAY,TRINITY PLACE,BROADWAY,TRINITY PLACE,ADDRESS,NEW YORK,CEDAR STREET,Closed,The Police Department responded and upon arrival those responsible for the condition were gone.,2023-09-17T11:25:41.000,01 MANHATTAN,1000627501,MANHATTAN,981129,197584,ONLINE,Unspecified,MANHATTAN,40.70899864232484,-74.01125725623595,"{'latitude': '40.70899864232484', 'longitude': '-74.01125725623595', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
58839975,2023-09-17T11:00:43.000,2023-09-17T11:06:34.000,NYPD,New York City Police Department,Illegal Parking,Blocked Crosswalk,Street/Sidewalk,10453,WEST  175 STREET,WEST  175 STREET,MONTGOMERY AVENUE,WEST  175 STREET,MONTGOMERY AVENUE,WEST  175 STREET,INTERSECTION,,,Closed,This complaint does not fall under the Police Department's jurisdiction.,2023-09-17T11:06:37.000,05 BRONX,,BRONX,1006250,248333,MOBILE,Unspecified,BRONX,40.84826436124956,-73.92048119869857,"{'latitude': '40.84826436124956', 'longitude': '-73.92048119869857', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
58839157,2023-09-17T11:00:32.000,2023-09-17T15:47:14.000,NYPD,New York City Police Department,Blocked Driveway,No Access,Street/Sidewalk,11223,1714 WEST    5 STREET,WEST    5 STREET,QUENTIN ROAD,KINGS HIGHWAY,QUENTIN ROAD,KINGS HIGHWAY,ADDRESS,BROOKLYN,WEST    5 STREET,Closed,The Police Department responded to the complaint and determined that police action was not necessary.,2023-09-17T15:47:19.000,11 BROOKLYN,3066510012,BROOKLYN,990296,159929,PHONE,Unspecified,BROOKLYN,40.60564243082645,-73.9782262080865,"{'latitude': '40.60564243082645', 'longitude': '-73.9782262080865', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
58844936,2023-09-17T11:00:25.000,2023-09-18T13:23:46.000,DPR,Department of Parks and Recreation,Dead/Dying Tree,Planted More Than 2 Years Ago,Street,10464,306 WILLIAM AVENUE,WILLIAM AVENUE,HAWKINS STREET,FORDHAM STREET,HAWKINS STREET,FORDHAM STREET,ADDRESS,BRONX,WILLIAM AVENUE,Closed,"NYC Parks created a work order for the tree condition.  Please note that addressing this work can take up to a year or more depending on the higher priority work identified during this period and resources available to address this work.    NYC Parks work priority categories range from Category A through D, with A being the most critical and time-sensitive. We will complete all work in Category A first and address work in lower priority categories in accordance with available resources. For more information about the Tree Risk Management Program, visit the NYC Urban Forest page on the NYC Parks website at nyc.gov/parks/trees.   Alternatively, you may choose complete the work yourself by hiring an independent contractor. The contractor must complete a Tree Work Permit application on the NYC Parks website at nyc.gov/parks/trees.",2023-09-18T13:23:50.000,10 BRONX,2056300078,BRONX,1042738,247796,ONLINE,Unspecified,BRONX,40.84662415462009,-73.78860068878309,"{'latitude': '40.84662415462009', 'longitude': '-73.78860068878309', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
58842306,2023-09-17T10:59:58.000,2023-09-17T13:47:33.000,NYPD,New York City Police Department,Illegal Parking,Posted Parking Sign Violation,Street/Sidewalk,11208,2624 PITKIN AVENUE,PITKIN AVENUE,LOGAN STREET,FOUNTAIN AVENUE,LOGAN STREET,FOUNTAIN AVENUE,ADDRESS,BROOKLYN,PITKIN AVENUE,Closed,The Police Department responded to the complaint and determined that police action was not necessary.,2023-09-17T13:47:36.000,05 BROOKLYN,3042280017,BROOKLYN,1018810,185182,MOBILE,Unspecified,BROOKLYN,40.67489110588897,-73.87540790119259,"{'latitude': '40.67489110588897', 'longitude': '-73.87540790119259', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
58836919,2023-09-17T10:59:00.000,,DEP,Department of Environmental Protection,Sewer,Catch Basin Clogged/Flooding (Use Comments) (SC),,10038,,,,,BEEKMAN STREET,NASSAU STREET,INTERSECTION,MANHATTAN,,Open,,,01 MANHATTAN,,MANHATTAN,982454,198397,PHONE,Unspecified,MANHATTAN,40.71123050257566,-74.00647827911699,"{'latitude': '40.71123050257566', 'longitude': '-74.00647827911699', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
58841996,2023-09-17T10:58:55.000,2023-09-18T10:54:46.000,DSNY,Department of Sanitation,Abandoned Bike,Chained to Public Property,Street,11205,246 HALL STREET,HALL STREET,WILLOUGHBY AVENUE,DEKALB AVENUE,WILLOUGHBY AVENUE,DEKALB AVENUE,ADDRESS,BROOKLYN,HALL STREET,Closed,The Department of Sanitation investigated and found that the bike did not meet the criteria to be classified as derelict.,2023-09-18T05:16:22.000,02 BROOKLYN,3019180054,BROOKLYN,993846,190950,ONLINE,Unspecified,BROOKLYN,40.69078521058417,-73.96539726837312,"{'latitude': '40.69078521058417', 'longitude': '-73.96539726837312', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
58845155,2023-09-17T10:58:53.000,2023-09-18T11:51:42.000,DSNY,Department of Sanitation,Street Sweeping Complaint,Inadequate Sweeping,Street,11238,173 LAFAYETTE AVENUE,LAFAYETTE AVENUE,ADELPHI STREET,CLERMONT AVENUE,ADELPHI STREET,CLERMONT AVENUE,ADDRESS,BROOKLYN,LAFAYETTE AVENUE,Closed,The Department of Sanitation investigated this complaint and issued a Notice of Violation.,2023-09-18T05:12:04.000,02 BROOKLYN,3021040064,BROOKLYN,992436,189818,PHONE,Unspecified,BROOKLYN,40.687679547503414,-73.9704830381202,"{'latitude': '40.687679547503414', 'longitude': '-73.9704830381202', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
58841297,2023-09-17T10:58:20.000,2023-09-17T17:49:16.000,NYPD,New York City Police Department,Blocked Driveway,No Access,Street/Sidewalk,11419,133-02 95 AVENUE,95 AVENUE,133 STREET,134 STREET,133 STREET,134 STREET,ADDRESS,SOUTH RICHMOND HILL,95 AVENUE,Closed,The Police Department responded and upon arrival those responsible for the condition were gone.,2023-09-17T17:49:20.000,09 QUEENS,4094790001,QUEENS,1035394,192782,PHONE,Unspecified,QUEENS,40.69567104509004,-73.81556345811485,"{'latitude': '40.69567104509004', 'longitude': '-73.81556345811485', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
58837751,2023-09-17T10:58:19.000,2023-11-13T07:31:08.000,TLC,Taxi and Limousine Commission,For Hire Vehicle Complaint,Driver Complaint - Non Passenger,Street,10030,574 ST NICHOLAS AVENUE,ST NICHOLAS AVENUE,WEST  138 STREET,WEST  139 STREET,WEST  138 STREET,WEST  139 STREET,ADDRESS,NEW YORK,ST NICHOLAS AVENUE,Closed,The Taxi and Limousine Commission (TLC) reviewed your complaint. The driver or owner pled guilty to a violation and paid a fine. TLC has sent you a written confirmation of this outcome.,2023-11-13T07:31:10.000,10 MANHATTAN,1020480016,MANHATTAN,998982,237938,ONLINE,Unspecified,MANHATTAN,40.81974820679466,-73.94677414088508,"{'latitude': '40.81974820679466', 'longitude': '-73.94677414088508', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,"574 ST NICHOLAS AVENUE, MANHATTAN (NEW YORK), NY, 10030",,,,,
58844045,2023-09-17T10:58:04.000,2023-09-17T11:53:38.000,NYPD,New York City Police Department,Encampment,N/A,Park/Playground,11363,221 35 AVENUE,35 AVENUE,CENTER DRIVE,EAST DRIVE,CENTER DRIVE,EAST DRIVE,ADDRESS,LITTLE NECK,35 AVENUE,Closed,The Police Department visited the location and no Encampment was found.,2023-09-17T11:53:43.000,11 QUEENS,4080470055,QUEENS,1053548,221795,ONLINE,Unspecified,QUEENS,40.775180709148096,-73.74979759578623,"{'latitude': '40.775180709148096', 'longitude': '-73.74979759578623', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
58842029,2023-09-17T10:58:02.000,2023-09-18T15:11:16.000,DSNY,Department of Sanitation,Missed Collection,Recycling - Metal/Glass/Rigid Plastic,Street,11236,1477 REMSEN AVENUE,REMSEN AVENUE,AVENUE L,AVENUE M,AVENUE L,AVENUE M,ADDRESS,BROOKLYN,REMSEN AVENUE,Closed,The Department of Sanitation investigated this complaint and found no condition at the location.,2023-09-18T12:27:51.000,18 BROOKLYN,3082550026,BROOKLYN,1012032,170565,ONLINE,Unspecified,BROOKLYN,40.634794529851845,-73.8999034291395,"{'latitude': '40.634794529851845', 'longitude': '-73.8999034291395', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
58837698,2023-09-17T10:57:58.000,,DPR,Department of Parks and Recreation,Maintenance or Facility,Structure - Outdoors,Park,11215,95 PROSPECT PARK WEST,PROSPECT PARK WEST,4 STREET,5 STREET,4 STREET,5 STREET,ADDRESS,BROOKLYN,PROSPECT PARK WEST,In Progress,,,55 BROOKLYN,3011170001,BROOKLYN,991322,182426,ONLINE,Unspecified,BROOKLYN,40.66739113906443,-73.97450763994523,"{'latitude': '40.66739113906443', 'longitude': '-73.97450763994523', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
58839785,2023-09-17T10:57:55.000,,TLC,Taxi and Limousine Commission,For Hire Vehicle Report,Car Service Company Report,,11430,JFK,JFK,BEND,AIRTRAIN-HOWARD BCH/JAMAICA LINE,BEND,AIRTRAIN-HOWARD BCH/JAMAICA LINE,UNRECOGNIZED,JAMAICA,JOHN F KENNEDY AIRPORT,In Progress,,,83 QUEENS,4142600001,QUEENS,1043001,175548,PHONE,Unspecified,QUEENS,40.64832048620134,-73.78828125130184,"{'latitude': '40.64832048620134', 'longitude': '-73.78828125130184', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,"JOHN F KENNEDY AIRPORT, QUEENS (JAMAICA) ,NY, 11430",,,,,
58838908,2023-09-17T10:57:52.000,2023-09-19T14:02:55.000,DSNY,Department of Sanitation,Dirty Condition,Syringes,Sidewalk,11217,582 SACKETT STREET,SACKETT STREET,NEVINS STREET,3 AVENUE,NEVINS STREET,3 AVENUE,ADDRESS,BROOKLYN,SACKETT STREET,Closed,The Department of Sanitation investigated this complaint and found no condition at the location.,2023-09-18T11:08:02.000,06 BROOKLYN,3004330026,BROOKLYN,988201,186751,PHONE,Unspecified,BROOKLYN,40.679264235484126,-73.98575533857344,"{'latitude': '40.679264235484126', 'longitude': '-73.98575533857344', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
58837582,2023-09-17T10:57:46.000,2023-09-17T11:16:37.000,NYPD,New York City Police Department,Illegal Parking,Blocked Bike Lane,Street/Sidewalk,10030,574 ST NICHOLAS AVENUE,ST NICHOLAS AVENUE,WEST  138 STREET,WEST  139 STREET,WEST  138 STREET,WEST  139 STREET,ADDRESS,NEW YORK,ST NICHOLAS AVENUE,Closed,The Police Department responded and upon arrival those responsible for the condition were gone.,2023-09-17T11:16:41.000,10 MANHATTAN,1020480016,MANHATTAN,998982,237938,ONLINE,Unspecified,MANHATTAN,40.81974820679466,-73.94677414088508,"{'latitude': '40.81974820679466', 'longitude': '-73.94677414088508', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
58837800,2023-09-17T10:57:18.000,2023-09-21T09:27:23.000,DSNY,Department of Sanitation,Dirty Condition,Trash,Sidewalk,11235,2668 FORD STREET,FORD STREET,KOUWENHOVEN LANE,VOORHIES AVENUE,KOUWENHOVEN LANE,VOORHIES AVENUE,ADDRESS,BROOKLYN,FORD STREET,Closed,The Department of Sanitation investigated this complaint and found no condition at the location.,2023-09-21T09:27:30.000,15 BROOKLYN,3074780042,BROOKLYN,1002085,153683,PHONE,Unspecified,BROOKLYN,40.58848254124446,-73.93578633439155,"{'latitude': '40.58848254124446', 'longitude': '-73.93578633439155', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
58844952,2023-09-17T10:57:18.000,,DPR,Department of Parks and Recreation,Overgrown Tree/Branches,Dead Branches in Tree,Park,11222,178 BAYARD STREET,BAYARD STREET,GRAHAM AVENUE,BQE WB EN MC GUINNESS BLVD S,GRAHAM AVENUE,BQE WB EN MC GUINNESS BLVD S,ADDRESS,BROOKLYN,BAYARD STREET,In Progress,"NYC Parks created a work order for the tree condition and expects to address the issue within 120 days from the date of the tree assessment, barring any weather-related requests.   NYC Parks work priority categories range from Category A through D, with A being the most critical and time-sensitive. We will complete all work in Category A first and address work in lower priority categories in accordance with available resources. For more information about the Tree Risk Management Program, visit the NYC Urban Forest page on the NYC Parks website at nyc.gov/parks/trees.",2023-10-11T16:00:36.000,01 BROOKLYN,3027260014,BROOKLYN,999438,201829,ONLINE,Unspecified,BROOKLYN,40.72063766560069,-73.94520824191352,"{'latitude': '40.72063766560069', 'longitude': '-73.94520824191352', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
58839080,2023-09-17T10:57:16.000,2023-09-17T12:35:51.000,NYPD,New York City Police Department,Illegal Parking,Double Parked Blocking Traffic,Street/Sidewalk,10468,2265 UNIVERSITY AVENUE,UNIVERSITY AVENUE,WEST  183 STREET,WEST FORDHAM ROAD,WEST  183 STREET,WEST FORDHAM ROAD,ADDRESS,BRONX,UNIVERSITY AVENUE,Closed,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,2023-09-17T12:35:54.000,07 BRONX,2032180074,BRONX,1009941,252738,ONLINE,Unspecified,BRONX,40.860344799149814,-73.90712324037,"{'latitude': '40.860344799149814', 'longitude': '-73.90712324037', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
58840670,2023-09-17T10:57:08.000,2023-09-21T10:19:33.000,HPD,Department of Housing Preservation and Development,PAINT/PLASTER,CEILING,RESIDENTIAL BUILDING,10458,441 EAST  187 STREET,EAST  187 STREET,,,,,ADDRESS,BRONX,,Closed,The Department of Housing Preservation and Development inspected the following conditions. Violations were issued. Information about specific violations is available at www.nyc.gov/hpd,2023-09-21T00:00:00.000,06 BRONX,2030410001,BRONX,1014020,251929,PHONE,Unspecified,BRONX,40.85811152604721,-73.89238065985437,"{'latitude': '40.85811152604721', 'longitude': '-73.89238065985437', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
