unique_key,created_date,agency,agency_name,complaint_type,descriptor,location_type,incident_zip,incident_address,street_name,cross_street_1,cross_street_2,intersection_street_1,intersection_street_2,address_type,city,landmark,status,resolution_description,resolution_action_updated_date,community_board,bbl,borough,x_coordinate_state_plane,y_coordinate_state_plane,open_data_channel_type,park_facility_name,park_borough,latitude,longitude,location,closed_date,facility_type,bridge_highway_name,bridge_highway_segment,taxi_pick_up_location,vehicle_type,bridge_highway_direction,road_ramp
58853843,2023-09-18T14:09:36.000,DOHMH,Department of Health and Mental Hygiene,Day Care,Day Care Facility,Apartment,10462,2181 BARNES AVENUE,BARNES AVENUE,LYDIG AVENUE,PELHAM PARKWAY SOUTH,LYDIG AVENUE,PELHAM PARKWAY SOUTH,ADDRESS,BRONX,BARNES AVENUE,In Progress,,,11 BRONX,2043210050,BRONX,1021918,251165,PHONE,Unspecified,BRONX,40.85598441190991,-73.8638335146332,"{'latitude': '40.85598441190991', 'longitude': '-73.8638335146332', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,
58846413,2023-09-18T14:09:08.000,DSNY,Department of Sanitation,Missed Collection,Trash and Bulky Trash,Street,11355,54-29 153 STREET,153 STREET,PECK AVENUE,56 AVENUE,PECK AVENUE,56 AVENUE,ADDRESS,FLUSHING,153 STREET,Closed,The Department of Sanitation collected the requested items.,2023-09-19T09:49:11.000,07 QUEENS,4051790035,QUEENS,1035625,210878,ONLINE,Unspecified,QUEENS,40.7453387520248,-73.8145922988724,"{'latitude': '40.7453387520248', 'longitude': '-73.8145922988724', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",2023-09-25T09:05:32.000,,,,,,,
58848839,2023-09-18T14:09:08.000,DCWP,Department of Consumer and Worker Protection,Consumer Complaint,Locksmith,Business,11249,193 BERRY STREET,BERRY STREET,NORTH    4 STREET,NORTH    3 STREET,NORTH    4 STREET,NORTH    3 STREET,ADDRESS,BROOKLYN,BERRY STREET,In Progress,,,01 BROOKLYN,3023510006,BROOKLYN,995046,200397,ONLINE,Unspecified,BROOKLYN,40.71671362033998,-73.96105497926085,"{'latitude': '40.71671362033998', 'longitude': '-73.96105497926085', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,
58852682,2023-09-18T14:09:03.000,DSNY,Department of Sanitation,Illegal Dumping,Removal Request,Sidewalk,11223,4 CORSO COURT,CORSO COURT,VAN SICKLEN STREET,DEAD END,VAN SICKLEN STREET,DEAD END,ADDRESS,BROOKLYN,CORSO COURT,Closed,The Department of Sanitation will address the situation at the location by providing educational outreach about proper sanitation procedures.,2023-09-23T11:42:40.000,15 BROOKLYN,3071460108,BROOKLYN,991150,155974,ONLINE,Unspecified,BROOKLYN,40.59478613407975,-73.97515469099116,"{'latitude': '40.59478613407975', 'longitude': '-73.97515469099116', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",2023-09-25T11:40:56.000,,,,,,,
58853160,2023-09-18T14:09:00.000,DOT,Department of Transportation,Traffic Signal Condition,Blank Out Matrix Sgn,,11379,,,,,WOODHAVEN BOULEVARD,PENELOPE AVENUE,INTERSECTION,QUEENS,,Closed,Service Request status for this request is available on the Department of Transportationâs website. Please click the âLearn Moreâ link below.,2023-09-19T00:05:00.000,05 QUEENS,,QUEENS,1020933,202589,UNKNOWN,Unspecified,QUEENS,40.72266066232036,-73.86765948732558,"{'latitude': '40.72266066232036', 'longitude': '-73.86765948732558', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",2023-09-19T00:05:00.000,N/A,,,,,,
58853155,2023-09-18T14:09:00.000,DOT,Department of Transportation,Traffic Signal Condition,Pedestrian Signal,,11434,,,,,LINDEN BOULEVARD,MERRICK BOULEVARD,INTERSECTION,QUEENS,,Closed,Service Request status for this request is available on the Department of Transportationâs website. Please click the âLearn Moreâ link below.,2023-09-18T19:10:00.000,12 QUEENS,,QUEENS,1045482,191341,UNKNOWN,Unspecified,QUEENS,40.69165179668416,-73.77919714574149,"{'latitude': '40.69165179668416', 'longitude': '-73.77919714574149', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",2023-09-18T19:10:00.000,N/A,,,,,,
58851115,2023-09-18T14:08:40.000,DPR,Department of Parks and Recreation,Damaged Tree,Branch or Limb Has Fallen Down,Street,11234,4624 AVENUE K,AVENUE K,EAST   46 STREET,SCHENECTADY AVENUE,EAST   46 STREET,SCHENECTADY AVENUE,ADDRESS,BROOKLYN,AVENUE K,In Progress,"NYC Parks reviewed this request and will visit the location to investigate the condition.  Under NYC Parksâ Tree Risk Management Program, all trees under the agency's jurisdiction are assessed for risk, and work is prioritized to address the conditions with the highest risk first.  For more information about the Tree Risk Management Program, visit the NYC Urban Forest page on the NYC Parks website at nyc.gov/parks/trees.   To learn more about the trees in your neighborhood, visit the NYC Tree Map at nyc.gov/parks/treemap.",2023-10-16T11:54:01.000,18 BROOKLYN,3078260051,BROOKLYN,1003354,167208,PHONE,Unspecified,BROOKLYN,40.62560324359161,-73.93117913286798,"{'latitude': '40.62560324359161', 'longitude': '-73.93117913286798', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,
58853591,2023-09-18T14:08:39.000,DOB,Department of Buildings,Elevator,Elevator - Single Device On Property/No Alternate Service,,11235,711 BRIGHTWATER COURT,BRIGHTWATER COURT,,,,,ADDRESS,BROOKLYN,,Closed,The Department of Buildings investigated this complaint and determined that no further action was necessary.,2023-10-06T00:00:00.000,13 BROOKLYN,3086920083,BROOKLYN,995381,149081,UNKNOWN,Unspecified,BROOKLYN,40.5758619174886,-73.95993119052511,"{'latitude': '40.5758619174886', 'longitude': '-73.95993119052511', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",2023-10-06T00:00:00.000,,,,,,,
58869291,2023-09-18T14:08:34.000,DOT,Department of Transportation,Street Condition,Pothole,,11233,,,,,HALSEY STREET,SARATOGA AVENUE,INTERSECTION,BROOKLYN,,Closed,The Department of Transportation inspected this complaint and repaired the problem.,2023-09-19T10:00:00.000,03 BROOKLYN,,BROOKLYN,1007075,189033,UNKNOWN,Unspecified,BROOKLYN,40.685499257645425,-73.91770062146085,"{'latitude': '40.685499257645425', 'longitude': '-73.91770062146085', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",2023-09-19T10:00:00.000,N/A,,,,,,
58845514,2023-09-18T14:08:32.000,NYPD,New York City Police Department,Blocked Driveway,Partial Access,Street/Sidewalk,11368,105-10 OTIS AVENUE,OTIS AVENUE,GRANGER STREET,PENROD STREET,GRANGER STREET,PENROD STREET,ADDRESS,CORONA,OTIS AVENUE,Closed,The Police Department responded and upon arrival those responsible for the condition were gone.,2023-09-18T17:08:18.000,04 QUEENS,4019580005,QUEENS,1024414,208488,PHONE,Unspecified,QUEENS,40.738836830828554,-73.8550659647601,"{'latitude': '40.738836830828554', 'longitude': '-73.8550659647601', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",2023-09-18T17:08:14.000,,,,,,,
58853882,2023-09-18T14:08:25.000,DHS,Department of Homeless Services,Homeless Person Assistance,,Store/Commercial,10467,271 EAST  205 STREET,EAST  205 STREET,BAINBRIDGE AVENUE,PERRY AVENUE,BAINBRIDGE AVENUE,PERRY AVENUE,ADDRESS,BRONX,EAST  205 STREET,Closed,The mobile outreach response team went to the location provided but could not find the individual that you reported.,2023-09-18T16:41:01.000,07 BRONX,2033410030,BRONX,1017734,257704,ONLINE,Unspecified,BRONX,40.87394882736949,-73.87892561215816,"{'latitude': '40.87394882736949', 'longitude': '-73.87892561215816', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,
58855108,2023-09-18T14:08:22.000,DSNY,Department of Sanitation,Dirty Condition,Trash,Sidewalk,10460,1796 VYSE AVENUE,VYSE AVENUE,EAST  174 STREET,BOSTON ROAD,EAST  174 STREET,BOSTON ROAD,ADDRESS,BRONX,VYSE AVENUE,Closed,The Department of Sanitation cleaned the location.,2023-09-24T15:39:44.000,03 BRONX,2029980014,BRONX,1015941,244452,ONLINE,Unspecified,BRONX,40.837582696561796,-73.88547154114725,"{'latitude': '40.837582696561796', 'longitude': '-73.88547154114725', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",2023-09-24T15:39:39.000,,,,,,,
58854307,2023-09-18T14:08:00.000,DOT,Department of Transportation,Traffic Signal Condition,Conduit,,11427,,,,,HILLSIDE AVENUE,235 COURT,INTERSECTION,QUEENS,,Assigned,Service Request status for this request is available on the Department of Transportationâs website. Please click the âLearn Moreâ link below.,2023-09-18T16:20:00.000,13 QUEENS,,QUEENS,1058473,206393,UNKNOWN,Unspecified,QUEENS,40.73286634572275,-73.73218586605608,"{'latitude': '40.73286634572275', 'longitude': '-73.73218586605608', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",2023-09-18T16:20:00.000,N/A,,,,,,
58854547,2023-09-18T14:07:26.000,HPD,Department of Housing Preservation and Development,DOOR/WINDOW,DOOR,RESIDENTIAL BUILDING,10037,637 LENOX AVENUE,LENOX AVENUE,,,,,ADDRESS,NEW YORK,,Closed,The Department of Housing Preservation and Development inspected the following conditions. Violations were issued. Information about specific violations is available at www.nyc.gov/hpd,2023-10-05T00:00:00.000,10 MANHATTAN,1020100036,MANHATTAN,1001478,237439,PHONE,Unspecified,MANHATTAN,40.81837407728048,-73.93775752190614,"{'latitude': '40.81837407728048', 'longitude': '-73.93775752190614', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",2023-10-05T10:11:03.000,,,,,,,
58849626,2023-09-18T14:07:23.000,HPD,Department of Housing Preservation and Development,PAINT/PLASTER,CEILING,RESIDENTIAL BUILDING,11216,586 LINCOLN PLACE,LINCOLN PLACE,,,,,ADDRESS,BROOKLYN,,Closed,The Department of Housing Preservation and Development inspected the following conditions. Violations were previously issued for these conditions. Information about specific violations is available at www.nyc.gov/hpd.,2023-10-06T00:00:00.000,08 BROOKLYN,3012590014,BROOKLYN,996170,183887,ONLINE,Unspecified,BROOKLYN,40.67139605754957,-73.95702952684958,"{'latitude': '40.67139605754957', 'longitude': '-73.95702952684958', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",2023-10-06T08:47:08.000,,,,,,,
58850852,2023-09-18T14:07:22.000,HPD,Department of Housing Preservation and Development,HEAT/HOT WATER,APARTMENT ONLY,RESIDENTIAL BUILDING,10467,2523 BARNES AVENUE,BARNES AVENUE,,,,,ADDRESS,BRONX,,Closed,The Department of Housing Preservation and Development inspected the following conditions. Violations were issued. Information about specific violations is available at www.nyc.gov/hpd,2023-09-19T00:00:00.000,11 BRONX,2044390025,BRONX,1021982,254002,ONLINE,Unspecified,BRONX,40.863770841286026,-73.86358618994818,"{'latitude': '40.863770841286026', 'longitude': '-73.86358618994818', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",2023-09-19T20:47:11.000,,,,,,,
58854899,2023-09-18T14:07:10.000,DOHMH,Department of Health and Mental Hygiene,Rodent,Rat Sighting,3+ Family Mixed Use Building,11377,31-48 69 STREET,69 STREET,31 AVENUE,32 AVENUE,31 AVENUE,32 AVENUE,ADDRESS,WOODSIDE,69 STREET,Closed,This service request was closed because the Department of Health and Mental Hygiene received an earlier complaint about the same location.  You can find inspection results for this address by going to the online Rat Portal at www.nyc.gov/rats.,2023-09-18T14:07:10.000,03 QUEENS,4011390031,QUEENS,1012491,215157,PHONE,Unspecified,QUEENS,40.757187655190364,-73.89806272349433,"{'latitude': '40.757187655190364', 'longitude': '-73.89806272349433', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",2023-09-28T16:32:33.000,,,,,,,
58851467,2023-09-18T14:06:51.000,DSNY,Department of Sanitation,Dirty Condition,Trash,Yard,11426,248-27 JERICHO TURNPIKE,JERICHO TURNPIKE,COMMONWEALTH BOULEVARD,CITY LIMIT,COMMONWEALTH BOULEVARD,CITY LIMIT,ADDRESS,BELLEROSE,JERICHO TURNPIKE,In Progress,,,13 QUEENS,4086640056,QUEENS,1062602,204012,PHONE,Unspecified,QUEENS,40.726295504030496,-73.71731528305,"{'latitude': '40.726295504030496', 'longitude': '-73.71731528305', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,
58851427,2023-09-18T14:06:35.000,NYPD,New York City Police Department,Illegal Parking,Blocked Crosswalk,Street/Sidewalk,11415,AUSTIN STREET,AUSTIN STREET,84 ROAD,AUSTIN STREET,84 ROAD,AUSTIN STREET,INTERSECTION,,,Closed,The Police Department responded and upon arrival those responsible for the condition were gone.,2023-09-18T16:53:32.000,09 QUEENS,,QUEENS,1031898,197253,MOBILE,Unspecified,QUEENS,40.70796238211409,-73.82813913830218,"{'latitude': '40.70796238211409', 'longitude': '-73.82813913830218', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",2023-09-18T16:53:27.000,,,,,,,
58849909,2023-09-18T14:06:32.000,DOHMH,Department of Health and Mental Hygiene,Rodent,Condition Attracting Rodents,3+ Family Apt. Building,11106,34-07 34 AVENUE,34 AVENUE,34 STREET,35 STREET,34 STREET,35 STREET,ADDRESS,ASTORIA,34 AVENUE,Closed,This service request was closed because the Department of Health and Mental Hygiene received an earlier complaint about the same location.  You can find inspection results for this address by going to the online Rat Portal at www.nyc.gov/rats.,2023-09-18T14:06:32.000,01 QUEENS,4006220001,QUEENS,1005112,215622,ONLINE,Unspecified,QUEENS,40.75848445085174,-73.92469612806939,"{'latitude': '40.75848445085174', 'longitude': '-73.92469612806939', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",2023-09-20T15:18:01.000,,,,,,,
58847601,2023-09-18T14:06:31.000,DSNY,Department of Sanitation,Obstruction,Trash or Recycling,Sidewalk,11421,77-01 JAMAICA AVENUE,JAMAICA AVENUE,77 STREET,78 STREET,77 STREET,78 STREET,ADDRESS,WOODHAVEN,JAMAICA AVENUE,Closed,The Department of Sanitation investigated this complaint and found no condition at the location.,2023-09-19T04:17:43.000,09 QUEENS,4088410152,QUEENS,1021785,191324,PHONE,Unspecified,QUEENS,40.691737361676935,-73.86464854501313,"{'latitude': '40.691737361676935', 'longitude': '-73.86464854501313', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",2023-09-19T04:17:37.000,,,,,,,
58855189,2023-09-18T14:06:05.000,DSNY,Department of Sanitation,Dirty Condition,Trash,Yard,11106,34-07 34 AVENUE,34 AVENUE,34 STREET,35 STREET,34 STREET,35 STREET,ADDRESS,ASTORIA,34 AVENUE,Closed,The Department of Sanitation investigated this complaint and found no violation at the location.,2023-09-19T10:55:46.000,01 QUEENS,4006220001,QUEENS,1005112,215622,ONLINE,Unspecified,QUEENS,40.75848445085174,-73.92469612806939,"{'latitude': '40.75848445085174', 'longitude': '-73.92469612806939', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",2023-09-19T10:55:42.000,,,,,,,
58853913,2023-09-18T14:06:00.000,DOT,Department of Transportation,Outdoor Dining,Site Setup Condition,Street,10014,19 GREENWICH AVENUE,GREENWICH AVENUE,CHRISTOPHER STREET,WEST   10 STREET,CHRISTOPHER STREET,WEST   10 STREET,ADDRESS,NEW YORK,GREENWICH AVENUE,Closed,"The Department of Transportation inspected the condition you reported. You can find additional information in the ""Notes to Customer.""",2023-09-19T08:43:30.000,02 MANHATTAN,1006100054,MANHATTAN,984277,206886,ONLINE,Unspecified,MANHATTAN,40.734530935772995,-73.9999025753339,"{'latitude': '40.734530935772995', 'longitude': '-73.9999025753339', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",2023-09-19T08:43:38.000,,,,,,,
58852260,2023-09-18T14:05:59.000,NYPD,New York City Police Department,Drug Activity,Use Outside,Street/Sidewalk,10473,700 HAVEMEYER AVENUE,HAVEMEYER AVENUE,SEWARD AVENUE,HOMER AVENUE,SEWARD AVENUE,HOMER AVENUE,ADDRESS,BRONX,HAVEMEYER AVENUE,Closed,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,2023-09-18T14:39:19.000,09 BRONX,2036160030,BRONX,1027019,238662,ONLINE,Unspecified,BRONX,40.82164412682761,-73.84547361755851,"{'latitude': '40.82164412682761', 'longitude': '-73.84547361755851', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",2023-09-18T14:39:14.000,,,,,,,
58851475,2023-09-18T14:05:56.000,DSNY,Department of Sanitation,Illegal Posting,Poster or Sign,Street,10466,BRONX BOULEVARD,BRONX BOULEVARD,BRONX BOULEVARD,EAST  233 STREET,BRONX BOULEVARD,EAST  233 STREET,INTERSECTION,,,Closed,The Department of Sanitation observed illegal postings at the location. The Department will issue a Summons to the responsible party once it is identified.,2023-09-22T13:13:50.000,12 BRONX,,BRONX,1022580,265258,PHONE,Unspecified,BRONX,40.894662454630165,-73.86135981666922,"{'latitude': '40.894662454630165', 'longitude': '-73.86135981666922', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",2023-09-22T13:13:47.000,,,,,,,
58854287,2023-09-18T14:05:49.000,NYPD,New York City Police Department,Noise - Vehicle,Car/Truck Horn,Street/Sidewalk,11215,575 6 STREET,6 STREET,8 AVENUE,PROSPECT PARK WEST,8 AVENUE,PROSPECT PARK WEST,ADDRESS,BROOKLYN,6 STREET,Closed,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,2023-09-18T14:37:40.000,06 BROOKLYN,3010857504,BROOKLYN,990709,182319,ONLINE,Unspecified,BROOKLYN,40.66709791632156,-73.97671741666144,"{'latitude': '40.66709791632156', 'longitude': '-73.97671741666144', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",2023-09-18T14:37:34.000,,,,,,,
58848497,2023-09-18T14:05:38.000,DOB,Department of Buildings,Elevator,Elevator - Single Device On Property/No Alternate Service,,11432,87-15 165 STREET,165 STREET,,,,,ADDRESS,JAMAICA,,Closed,"The Department of Buildings reviewed this complaint and closed it. If the problem still exists, please call 311 and file a new complaint. If you are outside of New York City, please call (212) NEW-YORK (212-639-9675).",2023-10-26T00:00:00.000,08 QUEENS,4098370044,QUEENS,1040137,198092,UNKNOWN,Unspecified,QUEENS,40.71021702880862,-73.79841514502967,"{'latitude': '40.71021702880862', 'longitude': '-73.79841514502967', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",2023-10-26T00:00:00.000,,,,,,,
58848088,2023-09-18T14:05:38.000,DOB,Department of Buildings,Building/Use,Illegal. Commercial Use In Resident Zone,,11223,2320 WEST   11 STREET,WEST   11 STREET,,,,,ADDRESS,BROOKLYN,,Closed,"The Department of Buildings attempted to investigate this complaint twice but could not gain access to the location. If the problem still exists, please call 311 and file a new complaint with additional access information. If you are outside of New York City, please call (212) NEW-YORK (212-639-9675).",2023-10-03T00:00:00.000,13 BROOKLYN,3071620016,BROOKLYN,989450,154665,UNKNOWN,Unspecified,BROOKLYN,40.591194352389614,-73.98127700623249,"{'latitude': '40.591194352389614', 'longitude': '-73.98127700623249', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",2023-10-03T00:00:00.000,N/A,,,,,,
