unique_key,created_date,closed_date,agency,agency_name,complaint_type,descriptor,location_type,incident_zip,incident_address,street_name,cross_street_1,cross_street_2,intersection_street_1,intersection_street_2,address_type,city,landmark,status,resolution_description,resolution_action_updated_date,community_board,bbl,borough,x_coordinate_state_plane,y_coordinate_state_plane,open_data_channel_type,park_facility_name,park_borough,latitude,longitude,location,facility_type,taxi_pick_up_location,due_date,bridge_highway_name,bridge_highway_direction,bridge_highway_segment
58838358,2023-09-17T15:56:53.000,2023-09-17T16:23:50.000,NYPD,New York City Police Department,Noise - Residential,Loud Talking,Residential Building/House,10025,311 WEST   97 STREET,WEST   97 STREET,WEST END AVENUE,RIVERSIDE DRIVE,WEST END AVENUE,RIVERSIDE DRIVE,ADDRESS,NEW YORK,WEST   97 STREET,Closed,The Police Department responded to the complaint and took action to fix the condition.,2023-09-17T16:23:54.000,07 MANHATTAN,1018870045,MANHATTAN,991715,229310,MOBILE,Unspecified,MANHATTAN,40.7960758643292,-73.97303898111709,"{'latitude': '40.7960758643292', 'longitude': '-73.97303898111709', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,
58839588,2023-09-17T15:56:48.000,2023-09-18T17:19:56.000,HPD,Department of Housing Preservation and Development,ELECTRIC,POWER OUTAGE,RESIDENTIAL BUILDING,10467,3435 OLINVILLE AVENUE,OLINVILLE AVENUE,,,,,ADDRESS,BRONX,,Closed,The complaint you filed is a duplicate of a condition already reported by another tenant for a building-wide condition. The original complaint is still open. HPD may attempt to contact you to verify the correction of the condition or may conduct an inspection of your unit if the original complainant is not available for verification.,2023-09-18T00:00:00.000,12 BRONX,2046270029,BRONX,1020724,258615,ONLINE,Unspecified,BRONX,40.876437389391874,-73.86810916351783,"{'latitude': '40.876437389391874', 'longitude': '-73.86810916351783', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,
58840201,2023-09-17T15:56:43.000,2023-09-17T16:24:09.000,NYPD,New York City Police Department,Illegal Parking,Posted Parking Sign Violation,Street/Sidewalk,11234,SCHENECTADY AVENUE,SCHENECTADY AVENUE,FLATLANDS AVENUE,AVENUE L,FLATLANDS AVENUE,AVENUE L,BLOCKFACE,,,Closed,The Police Department issued a summons in response to the complaint.,2023-09-17T16:24:14.000,Unspecified BROOKLYN,,BROOKLYN,,,PHONE,Unspecified,BROOKLYN,,,,,,,,,
58844073,2023-09-17T15:56:37.000,2023-09-21T05:21:26.000,DSNY,Department of Sanitation,Illegal Dumping,Removal Request,Sidewalk,11420,131-09 ROCKAWAY BOULEVARD,ROCKAWAY BOULEVARD,131 STREET,132 STREET,131 STREET,132 STREET,ADDRESS,SOUTH OZONE PARK,ROCKAWAY BOULEVARD,Closed,The Department of Sanitation cleaned the location.,2023-09-18T04:26:46.000,10 QUEENS,4116950020,QUEENS,1037724,185214,PHONE,Unspecified,QUEENS,40.67488489330232,-73.80722105316462,"{'latitude': '40.67488489330232', 'longitude': '-73.80722105316462', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,
58841549,2023-09-17T15:56:27.000,2023-09-17T16:29:30.000,NYPD,New York City Police Department,Noise - Street/Sidewalk,Loud Music/Party,Street/Sidewalk,10012,544 BROADWAY,BROADWAY,SPRING STREET,PRINCE STREET,SPRING STREET,PRINCE STREET,ADDRESS,NEW YORK,BROADWAY,Closed,The Police Department responded to the complaint and took action to fix the condition.,2023-09-17T16:29:34.000,02 MANHATTAN,1004977503,MANHATTAN,984702,202878,MOBILE,Unspecified,MANHATTAN,40.72352994321862,-73.99836930814763,"{'latitude': '40.72352994321862', 'longitude': '-73.99836930814763', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,
58836936,2023-09-17T15:56:00.000,2023-09-18T08:32:00.000,DEP,Department of Environmental Protection,Water Conservation,Illegal Use Of A Hydrant (CIN),,11378,73-51 52 ROAD,52 ROAD,73 ST,74 ST,,,ADDRESS,MASPETH,,Closed,The Department of Environmental Protection researched this complaint and determined that it could be closed.,2023-09-18T08:32:00.000,05 QUEENS,4024860025,QUEENS,1014916,206447,PHONE,Unspecified,QUEENS,40.7332728276881,-73.88934928902555,"{'latitude': '40.7332728276881', 'longitude': '-73.88934928902555', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,
58842170,2023-09-17T15:56:00.000,2023-09-17T20:16:00.000,DEP,Department of Environmental Protection,Water System,Hydrant Running Full (WA4),,11378,,,,,GRANDVIEW AVENUE,METROPOLITAN AVENUE,INTERSECTION,QUEENS,,Closed,The Department of Environmental Protection determined that this complaint is a duplicate of a previously filed complaint. The original complaint is being addressed.,2023-09-17T20:16:00.000,05 QUEENS,,QUEENS,1008358,199175,ONLINE,Unspecified,QUEENS,40.71333326430659,-73.91303824862597,"{'latitude': '40.71333326430659', 'longitude': '-73.91303824862597', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,
58841849,2023-09-17T15:55:57.000,,DPR,Department of Parks and Recreation,Dead/Dying Tree,Planted More Than 2 Years Ago,Street,11206,225 JOHNSON AVENUE,JOHNSON AVENUE,HUMBOLDT STREET,BUSHWICK AVENUE,HUMBOLDT STREET,BUSHWICK AVENUE,ADDRESS,BROOKLYN,JOHNSON AVENUE,In Progress,"NYC Parks created a work order for the tree condition and expects to address the issue within 120 days from the date of the tree assessment, barring any weather-related requests.   NYC Parks work priority categories range from Category A through D, with A being the most critical and time-sensitive. We will complete all work in Category A first and address work in lower priority categories in accordance with available resources. For more information about the Tree Risk Management Program, visit the NYC Urban Forest page on the NYC Parks website at nyc.gov/parks/trees.",2023-09-21T08:02:19.000,01 BROOKLYN,3030630026,BROOKLYN,1000721,196804,ONLINE,Unspecified,BROOKLYN,40.706842946974184,-73.94059202657517,"{'latitude': '40.706842946974184', 'longitude': '-73.94059202657517', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,
58842250,2023-09-17T15:55:37.000,2023-09-17T16:29:15.000,NYPD,New York City Police Department,Illegal Parking,Blocked Sidewalk,Street/Sidewalk,11231,191 UNION STREET,UNION STREET,HICKS STREET,HENRY STREET,HICKS STREET,HENRY STREET,ADDRESS,BROOKLYN,UNION STREET,Closed,The Police Department responded to the complaint and determined that police action was not necessary.,2023-09-17T16:29:19.000,06 BROOKLYN,3003370027,BROOKLYN,984166,188346,ONLINE,Unspecified,BROOKLYN,40.68364302931577,-74.00030286766025,"{'latitude': '40.68364302931577', 'longitude': '-74.00030286766025', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,
58844580,2023-09-17T15:55:20.000,2023-09-17T20:07:28.000,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,Residential Building/House,11433,155-01 109 AVENUE,109 AVENUE,155 STREET,156 STREET,155 STREET,156 STREET,ADDRESS,JAMAICA,109 AVENUE,Closed,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,2023-09-17T20:07:37.000,12 QUEENS,4101440045,QUEENS,1040859,191654,ONLINE,Unspecified,QUEENS,40.69254168445434,-73.7958650104744,"{'latitude': '40.69254168445434', 'longitude': '-73.7958650104744', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,
58839238,2023-09-17T15:55:08.000,2023-09-17T16:38:25.000,NYPD,New York City Police Department,Noise - Commercial,Car/Truck Music,Store/Commercial,10027,2474B 8 AVENUE,8 AVENUE,WEST  132 STREET,WEST  133 STREET,WEST  132 STREET,WEST  133 STREET,ADDRESS,NEW YORK,8 AVENUE,Closed,The Police Department responded to the complaint and took action to fix the condition.,2023-09-17T16:38:30.000,10 MANHATTAN,1019380001,MANHATTAN,998702,236128,ONLINE,Unspecified,MANHATTAN,40.81478072827349,-73.947789662032,"{'latitude': '40.81478072827349', 'longitude': '-73.947789662032', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,
58840969,2023-09-17T15:55:03.000,2023-09-18T10:03:47.000,DSNY,Department of Sanitation,Dirty Condition,Trash,Sidewalk,11385,64-04 MADISON STREET,MADISON STREET,64 STREET,DEAD END,64 STREET,DEAD END,ADDRESS,RIDGEWOOD,MADISON STREET,Closed,The Department of Sanitation cleaned the location.,2023-09-18T10:03:56.000,05 QUEENS,,QUEENS,1013795,197254,PHONE,Unspecified,QUEENS,40.70804409381676,-73.89343449089131,"{'latitude': '40.70804409381676', 'longitude': '-73.89343449089131', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,
58842080,2023-09-17T15:54:57.000,2023-09-20T14:37:35.000,DSNY,Department of Sanitation,Illegal Dumping,Chronic Dumping,Sidewalk,11377,51-23 31 AVENUE,31 AVENUE,51 STREET,54 STREET,51 STREET,54 STREET,ADDRESS,WOODSIDE,31 AVENUE,Closed,The Department of Sanitation cleaned the location.,2023-09-20T14:37:39.000,01 QUEENS,,QUEENS,1009806,215087,ONLINE,Unspecified,QUEENS,40.7570036915535,-73.9077546213975,"{'latitude': '40.7570036915535', 'longitude': '-73.9077546213975', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,
58845065,2023-09-17T15:54:39.000,,DHS,Department of Homeless Services,Homeless Person Assistance,,Store/Commercial,10036,401 WEST   44 STREET,WEST   44 STREET,9 AVENUE,10 AVENUE,9 AVENUE,10 AVENUE,ADDRESS,NEW YORK,WEST   44 STREET,Closed,The mobile outreach response team went to the location provided but could not find the individual that you reported.,2023-09-18T01:43:09.000,04 MANHATTAN,1010540029,MANHATTAN,986437,216135,PHONE,Unspecified,MANHATTAN,40.75991684649015,-73.99210559440537,"{'latitude': '40.75991684649015', 'longitude': '-73.99210559440537', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,
58839597,2023-09-17T15:53:53.000,2023-09-22T16:10:24.000,HPD,Department of Housing Preservation and Development,GENERAL,COOKING GAS,RESIDENTIAL BUILDING,10467,3435 OLINVILLE AVENUE,OLINVILLE AVENUE,,,,,ADDRESS,BRONX,,Closed,The complaint you filed is a duplicate of a condition already reported by another tenant for a building-wide condition. The original complaint is still open. HPD may attempt to contact you to verify the correction of the condition or may conduct an inspection of your unit if the original complainant is not available for verification.,2023-09-22T00:00:00.000,12 BRONX,2046270029,BRONX,1020724,258615,ONLINE,Unspecified,BRONX,40.876437389391874,-73.86810916351783,"{'latitude': '40.876437389391874', 'longitude': '-73.86810916351783', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,
58837820,2023-09-17T15:53:38.000,2023-09-21T05:21:14.000,DSNY,Department of Sanitation,Missed Collection,Recycling - Paper/Metal/Glass/Rigid Plastic,Street,11420,131-09 ROCKAWAY BOULEVARD,ROCKAWAY BOULEVARD,131 STREET,132 STREET,131 STREET,132 STREET,ADDRESS,SOUTH OZONE PARK,ROCKAWAY BOULEVARD,Closed,The Department of Sanitation found an open service request already exists for the same location.,2023-09-18T04:27:52.000,10 QUEENS,4116950020,QUEENS,1037724,185214,PHONE,Unspecified,QUEENS,40.67488489330232,-73.80722105316462,"{'latitude': '40.67488489330232', 'longitude': '-73.80722105316462', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,
58837428,2023-09-17T15:53:06.000,2023-09-17T16:27:48.000,NYPD,New York City Police Department,Noise - Street/Sidewalk,Loud Music/Party,Street/Sidewalk,10019,767 10 AVENUE,10 AVENUE,WEST   51 STREET,WEST   52 STREET,WEST   51 STREET,WEST   52 STREET,ADDRESS,NEW YORK,10 AVENUE,Closed,The Police Department responded to the complaint and took action to fix the condition.,2023-09-17T16:27:53.000,04 MANHATTAN,1010800028,MANHATTAN,986745,218275,ONLINE,Unspecified,MANHATTAN,40.76579051395917,-73.99099301370252,"{'latitude': '40.76579051395917', 'longitude': '-73.99099301370252', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,
58837344,2023-09-17T15:52:50.000,2023-09-17T16:35:51.000,NYPD,New York City Police Department,Noise - Street/Sidewalk,Loud Music/Party,Street/Sidewalk,11208,265 EUCLID AVENUE,EUCLID AVENUE,FULTON STREET,ATLANTIC AVENUE,FULTON STREET,ATLANTIC AVENUE,ADDRESS,BROOKLYN,EUCLID AVENUE,Closed,The Police Department responded to the complaint and took action to fix the condition.,2023-09-17T16:35:55.000,05 BROOKLYN,3041450019,BROOKLYN,1019245,187789,MOBILE,Unspecified,BROOKLYN,40.68204501462856,-73.87382614938845,"{'latitude': '40.68204501462856', 'longitude': '-73.87382614938845', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,
58837426,2023-09-17T15:52:46.000,2023-09-17T18:13:04.000,NYPD,New York City Police Department,Noise - Street/Sidewalk,Loud Music/Party,Street/Sidewalk,11435,83 AVENUE,83 AVENUE,83 AVENUE,MANTON STREET,83 AVENUE,MANTON STREET,INTERSECTION,,,Closed,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,2023-09-17T18:13:07.000,08 QUEENS,,QUEENS,1033851,198924,ONLINE,Unspecified,QUEENS,40.71253813840487,-73.821082600539,"{'latitude': '40.71253813840487', 'longitude': '-73.821082600539', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,
58839951,2023-09-17T15:52:39.000,2023-09-18T12:09:04.000,DSNY,Department of Sanitation,Missed Collection,Trash,Street,11206,179 BOERUM STREET,BOERUM STREET,HUMBOLDT STREET,BUSHWICK AVENUE,HUMBOLDT STREET,BUSHWICK AVENUE,ADDRESS,BROOKLYN,BOERUM STREET,Closed,The Department of Sanitation collected the requested items.,2023-09-18T11:51:37.000,01 BROOKLYN,3030720001,BROOKLYN,1000546,196516,ONLINE,Unspecified,BROOKLYN,40.70605277913761,-73.94122391731396,"{'latitude': '40.70605277913761', 'longitude': '-73.94122391731396', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,
58837409,2023-09-17T15:52:37.000,2023-09-17T15:55:43.000,NYPD,New York City Police Department,Noise - Street/Sidewalk,Loud Music/Party,Street/Sidewalk,11211,HAVEMEYER STREET,HAVEMEYER STREET,HAVEMEYER STREET,SOUTH    3 STREET,HAVEMEYER STREET,SOUTH    3 STREET,INTERSECTION,,,Closed,The Police Department responded to the complaint and determined that police action was not necessary.,2023-09-17T15:55:48.000,01 BROOKLYN,,BROOKLYN,995893,198266,ONLINE,Unspecified,BROOKLYN,40.710863460346204,-73.95800323427233,"{'latitude': '40.710863460346204', 'longitude': '-73.95800323427233', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,
58840459,2023-09-17T15:52:34.000,2023-09-17T17:52:05.000,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,Residential Building/House,11421,87-14 85 STREET,85 STREET,87 AVENUE,87 ROAD,87 AVENUE,87 ROAD,ADDRESS,WOODHAVEN,85 STREET,Closed,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,2023-09-17T17:52:10.000,09 QUEENS,4089180033,QUEENS,1023433,191239,ONLINE,Unspecified,QUEENS,40.691496913830726,-73.85870635074636,"{'latitude': '40.691496913830726', 'longitude': '-73.85870635074636', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,
58839172,2023-09-17T15:52:33.000,2023-09-17T17:07:07.000,NYPD,New York City Police Department,Blocked Driveway,No Access,Street/Sidewalk,11368,48-10 111 STREET,111 STREET,48 AVENUE,49 AVENUE,48 AVENUE,49 AVENUE,ADDRESS,CORONA,111 STREET,Closed,The Police Department issued a summons in response to the complaint.,2023-09-17T17:07:11.000,04 QUEENS,4020040043,QUEENS,1024929,211346,PHONE,Unspecified,QUEENS,40.74667896298704,-73.85319027736543,"{'latitude': '40.74667896298704', 'longitude': '-73.85319027736543', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,
58845075,2023-09-17T15:52:14.000,2023-09-17T16:27:08.000,NYPD,New York City Police Department,Encampment,N/A,Street/Sidewalk,10016,3 PARK AVENUE,PARK AVENUE,EAST   33 STREET,EAST   34 STREET,EAST   33 STREET,EAST   34 STREET,ADDRESS,NEW YORK,PARK AVENUE,Closed,The Police Department visited the location and has referred the complaint to the Department of Homeless Services (DHS) for further action. DHS will inspect the condition and update your Service Request with more information.,2023-09-17T16:27:14.000,05 MANHATTAN,1008897501,MANHATTAN,989355,211336,MOBILE,Unspecified,MANHATTAN,40.746743605682106,-73.98157614454799,"{'latitude': '40.746743605682106', 'longitude': '-73.98157614454799', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,
