unique_key,created_date,closed_date,agency,agency_name,complaint_type,descriptor,location_type,incident_zip,incident_address,street_name,cross_street_1,cross_street_2,intersection_street_1,intersection_street_2,address_type,city,landmark,status,resolution_description,resolution_action_updated_date,community_board,bbl,borough,x_coordinate_state_plane,y_coordinate_state_plane,open_data_channel_type,park_facility_name,park_borough,latitude,longitude,location,facility_type,bridge_highway_name,bridge_highway_segment,road_ramp,bridge_highway_direction,taxi_pick_up_location
58940505,2023-09-27T06:42:00.000,2023-09-28T11:14:00.000,DSNY,Department of Sanitation,Electronics Waste Appointment,Ewaste appointment,Sidewalk,10314,59 RACAL COURT,RACAL COURT,RICHMOND HILL ROAD,BEND,,,ADDRESS,STATEN ISLAND,,Closed,The Department of Sanitation collected the E-waste.,2023-09-28T11:14:00.000,02 STATEN ISLAND,5024010158,STATEN ISLAND,938566,152833,PHONE,Unspecified,STATEN ISLAND,40.58604968147429,-74.16447612520382,"{'latitude': '40.58604968147429', 'longitude': '-74.16447612520382', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,
58937068,2023-09-27T06:41:46.000,2023-09-27T07:09:40.000,NYPD,New York City Police Department,Illegal Parking,Blocked Sidewalk,Street/Sidewalk,11203,EAST   59 STREET,EAST   59 STREET,EAST   59 STREET,TILDEN AVENUE,EAST   59 STREET,TILDEN AVENUE,INTERSECTION,,,Closed,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,2023-09-27T07:09:46.000,17 BROOKLYN,,BROOKLYN,1006066,175631,PHONE,Unspecified,BROOKLYN,40.648716310050304,-73.92138210844425,"{'latitude': '40.648716310050304', 'longitude': '-73.92138210844425', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,
58938811,2023-09-27T06:41:45.000,2023-09-29T08:42:23.000,HPD,Department of Housing Preservation and Development,HEAT/HOT WATER,ENTIRE BUILDING,RESIDENTIAL BUILDING,11225,1254 UNION STREET,UNION STREET,,,,,ADDRESS,BROOKLYN,,Closed,The complaint you filed is a duplicate of a condition already reported by another tenant for a building-wide condition. The original complaint is still open. HPD may attempt to contact you to verify the correction of the condition or may conduct an inspection of your unit if the original complainant is not available for verification.,2023-09-29T00:00:00.000,09 BROOKLYN,3012760023,BROOKLYN,998310,182969,MOBILE,Unspecified,BROOKLYN,40.66887321314201,-73.94931694547995,"{'latitude': '40.66887321314201', 'longitude': '-73.94931694547995', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,
58941422,2023-09-27T06:41:44.000,,HPD,Department of Housing Preservation and Development,UNSANITARY CONDITION,GARBAGE/RECYCLING STORAGE,RESIDENTIAL BUILDING,10309,6321 AMBOY ROAD,AMBOY ROAD,,,,,ADDRESS,STATEN ISLAND,,Open,The following complaint conditions are still open. HPD may attempt to contact you to verify the correction of the condition or may conduct an inspection.,2023-09-27T00:00:00.000,03 STATEN ISLAND,5075330151,STATEN ISLAND,924201,130081,ONLINE,Unspecified,STATEN ISLAND,40.52351431404294,-74.21599227769808,"{'latitude': '40.52351431404294', 'longitude': '-74.21599227769808', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,
58943422,2023-09-27T06:41:14.000,2023-09-27T20:58:46.000,NYPD,New York City Police Department,Illegal Parking,Blocked Hydrant,Street/Sidewalk,11421,85-31 90 STREET,90 STREET,85 ROAD,86 ROAD,85 ROAD,86 ROAD,ADDRESS,WOODHAVEN,90 STREET,Closed,The Police Department responded and upon arrival those responsible for the condition were gone.,2023-09-27T20:58:50.000,09 QUEENS,4088730037,QUEENS,1024388,192639,MOBILE,Unspecified,QUEENS,40.69533530507937,-73.85525429104614,"{'latitude': '40.69533530507937', 'longitude': '-73.85525429104614', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,
58943225,2023-09-27T06:40:54.000,2023-09-27T13:20:51.000,DSNY,Department of Sanitation,Dead Animal,Bird,Sidewalk,11234,DAKOTA PLACE,DAKOTA PLACE,DAKOTA PLACE,EAST   66 STREET,DAKOTA PLACE,EAST   66 STREET,INTERSECTION,,,Closed,The Department of Sanitation removed the items.,2023-09-27T10:13:25.000,18 BROOKLYN,,BROOKLYN,1009508,160567,PHONE,Unspecified,BROOKLYN,40.60735967604368,-73.9090346219635,"{'latitude': '40.60735967604368', 'longitude': '-73.9090346219635', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,
58938496,2023-09-27T06:40:50.000,2023-09-27T06:45:18.000,NYPD,New York City Police Department,Blocked Driveway,Partial Access,Street/Sidewalk,11385,60-54 LINDEN STREET,LINDEN STREET,60 PLACE,FRESH POND ROAD,60 PLACE,FRESH POND ROAD,ADDRESS,RIDGEWOOD,LINDEN STREET,Closed,The Police Department reviewed your complaint and provided additional information below.,2023-09-27T06:45:26.000,05 QUEENS,4035260050,QUEENS,1011902,197727,MOBILE,Unspecified,QUEENS,40.70934848442885,-73.90026038142949,"{'latitude': '40.70934848442885', 'longitude': '-73.90026038142949', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,
58943096,2023-09-27T06:40:44.000,2023-09-27T07:07:21.000,NYPD,New York City Police Department,Encampment,N/A,Subway,,,,,,,,,,,Closed,The Police Department visited the location and no Encampment was found.,2023-09-27T07:07:25.000,Unspecified QUEENS,,QUEENS,1018274,207814,MOBILE,Unspecified,QUEENS,40.73701262197117,-73.87722587461296,"{'latitude': '40.73701262197117', 'longitude': '-73.87722587461296', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,R,Mezzanine,,,
58944968,2023-09-27T06:40:35.000,2023-09-27T07:08:19.000,NYPD,New York City Police Department,Noise - Residential,Banging/Pounding,Residential Building/House,11216,1069 BEDFORD AVENUE,BEDFORD AVENUE,GREENE AVENUE,LEXINGTON AVENUE,GREENE AVENUE,LEXINGTON AVENUE,ADDRESS,BROOKLYN,BEDFORD AVENUE,Closed,The Police Department responded to the complaint and determined that police action was not necessary.,2023-09-27T07:08:22.000,03 BROOKLYN,3017970001,BROOKLYN,996815,189702,ONLINE,Unspecified,BROOKLYN,40.68735602081516,-73.95469352112596,"{'latitude': '40.68735602081516', 'longitude': '-73.95469352112596', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,
58945695,2023-09-27T06:40:32.000,2023-09-27T11:24:57.000,DSNY,Department of Sanitation,Dirty Condition,Trash,Sidewalk,11206,243 MELROSE STREET,MELROSE STREET,CENTRAL AVENUE,WILSON AVENUE,CENTRAL AVENUE,WILSON AVENUE,ADDRESS,BROOKLYN,MELROSE STREET,Closed,The Department of Sanitation investigated this complaint and issued a Notice of Violation.,2023-09-27T11:25:02.000,04 BROOKLYN,3031570150,BROOKLYN,1003643,194922,MOBILE,Unspecified,BROOKLYN,40.70167137950033,-73.93005831525171,"{'latitude': '40.70167137950033', 'longitude': '-73.93005831525171', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,
58940379,2023-09-27T06:40:00.000,,DPR,Department of Parks and Recreation,Overgrown Tree/Branches,Blocking Street,Street,11221,140 HIMROD STREET,HIMROD STREET,CENTRAL AVENUE,WILSON AVENUE,CENTRAL AVENUE,WILSON AVENUE,ADDRESS,BROOKLYN,HIMROD STREET,In Progress,,,04 BROOKLYN,3032760001,BROOKLYN,1005707,193319,ONLINE,Unspecified,BROOKLYN,40.697266756427595,-73.922619521571,"{'latitude': '40.697266756427595', 'longitude': '-73.922619521571', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,
58942183,2023-09-27T06:39:52.000,2023-09-27T06:55:49.000,NYPD,New York City Police Department,Illegal Parking,Blocked Hydrant,Street/Sidewalk,11234,5401 AVENUE I,AVENUE I,EAST   54 STREET,EAST   55 STREET,EAST   54 STREET,EAST   55 STREET,ADDRESS,BROOKLYN,AVENUE I,Closed,The Police Department responded to the complaint and took action to fix the condition.,2023-09-27T06:55:52.000,18 BROOKLYN,3077580001,BROOKLYN,1005318,169090,MOBILE,Unspecified,BROOKLYN,40.63076448246442,-73.9240980845663,"{'latitude': '40.63076448246442', 'longitude': '-73.9240980845663', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,
58939006,2023-09-27T06:39:42.000,2023-09-27T17:03:14.000,NYPD,New York City Police Department,Abandoned Vehicle,With License Plate,Street/Sidewalk,11420,130-37 129 STREET,129 STREET,SUTTER AVENUE,133 AVENUE,SUTTER AVENUE,133 AVENUE,ADDRESS,SOUTH OZONE PARK,129 STREET,Closed,The Police Department responded to the complaint and took action to fix the condition.,2023-09-27T17:03:20.000,10 QUEENS,4117670016,QUEENS,1037022,184183,ONLINE,Unspecified,QUEENS,40.67205924918762,-73.80975989521609,"{'latitude': '40.67205924918762', 'longitude': '-73.80975989521609', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,
58943731,2023-09-27T06:38:47.000,2023-09-27T06:53:29.000,NYPD,New York City Police Department,Noise - Residential,Banging/Pounding,Residential Building/House,11201,177 SANDS STREET,SANDS STREET,BQE WESTBOUND ENTRANCE SANDS ST,BIKE PATH,BQE WESTBOUND ENTRANCE SANDS ST,BIKE PATH,ADDRESS,BROOKLYN,SANDS STREET,Closed,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,2023-09-27T06:53:32.000,02 BROOKLYN,3000680001,BROOKLYN,988793,194233,ONLINE,Unspecified,BROOKLYN,40.699800319891985,-73.98361593748928,"{'latitude': '40.699800319891985', 'longitude': '-73.98361593748928', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,
58945002,2023-09-27T06:38:45.000,2023-09-27T06:55:13.000,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,Residential Building/House,11226,700 OCEAN AVENUE,OCEAN AVENUE,ALBEMARLE ROAD,REGENT PLACE,ALBEMARLE ROAD,REGENT PLACE,ADDRESS,BROOKLYN,OCEAN AVENUE,Closed,The Police Department responded to the complaint and took action to fix the condition.,2023-09-27T06:55:16.000,14 BROOKLYN,3051230025,BROOKLYN,995282,174638,ONLINE,Unspecified,BROOKLYN,40.64601073977878,-73.9602458139157,"{'latitude': '40.64601073977878', 'longitude': '-73.9602458139157', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,
58935952,2023-09-27T06:38:34.000,2023-09-27T07:14:35.000,NYPD,New York City Police Department,Blocked Driveway,No Access,Street/Sidewalk,11101,48-09 34 STREET,34 STREET,48 AVENUE,HUNTERS POINT AVENUE,48 AVENUE,HUNTERS POINT AVENUE,ADDRESS,LONG ISLAND CITY,34 STREET,Closed,The Police Department responded to the complaint and took action to fix the condition.,2023-09-27T07:14:41.000,02 QUEENS,4002540036,QUEENS,1003210,209016,ONLINE,Unspecified,QUEENS,40.74035693506587,-73.93158024527926,"{'latitude': '40.74035693506587', 'longitude': '-73.93158024527926', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,
58944846,2023-09-27T06:38:04.000,2023-09-27T06:58:20.000,NYPD,New York City Police Department,Blocked Driveway,No Access,Street/Sidewalk,11236,1554 EAST   96 STREET,EAST   96 STREET,AVENUE M,AVENUE N,AVENUE M,AVENUE N,ADDRESS,BROOKLYN,EAST   96 STREET,Closed,The Police Department issued a summons in response to the complaint.,2023-09-27T06:58:24.000,18 BROOKLYN,3082790078,BROOKLYN,1013989,170786,MOBILE,Unspecified,BROOKLYN,40.63539477321542,-73.8928515301075,"{'latitude': '40.63539477321542', 'longitude': '-73.8928515301075', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,
58939356,2023-09-27T06:38:01.000,2023-10-02T08:11:06.000,DSNY,Department of Sanitation,Sanitation Worker or Vehicle Complaint,Noise,Street,10031,560 WEST  144 STREET,WEST  144 STREET,AMSTERDAM AVENUE,BROADWAY,AMSTERDAM AVENUE,BROADWAY,ADDRESS,NEW YORK,WEST  144 STREET,Closed,The Department of Sanitation will address the situation at the location by providing educational outreach about proper sanitation procedures.,2023-09-28T14:08:20.000,09 MANHATTAN,1020750056,MANHATTAN,998173,239932,ONLINE,Unspecified,MANHATTAN,40.82522248363238,-73.94969287279021,"{'latitude': '40.82522248363238', 'longitude': '-73.94969287279021', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,
58944078,2023-09-27T06:38:00.000,2023-10-03T12:30:00.000,DEP,Department of Environmental Protection,Water System,No Water (WNW),,11210,1828 ALBANY AVENUE,ALBANY AVENUE,AVENUE I,AVENUE J,,,ADDRESS,BROOKLYN,,Closed,"The Department of Environmental Protection has investigated this complaint and a leak, not a city issue, has been resolved by homeowner.",2023-10-03T12:30:00.000,18 BROOKLYN,3077660068,BROOKLYN,1001839,168307,PHONE,Unspecified,BROOKLYN,40.628622904247,-73.93663395194196,"{'latitude': '40.628622904247', 'longitude': '-73.93663395194196', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,
58938111,2023-09-27T06:37:55.000,2023-10-11T13:16:20.000,DSNY,Department of Sanitation,Dumpster Complaint,Blocking Sidewalk or Street,Street,10001,213 WEST   30 STREET,WEST   30 STREET,7 AVENUE,8 AVENUE,7 AVENUE,8 AVENUE,ADDRESS,NEW YORK,WEST   30 STREET,Closed,The Department of Sanitation investigated this complaint and found no condition at the location.,2023-09-27T11:14:12.000,05 MANHATTAN,1007800026,MANHATTAN,986155,212070,ONLINE,Unspecified,MANHATTAN,40.74875951945905,-73.99312468041497,"{'latitude': '40.74875951945905', 'longitude': '-73.99312468041497', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,
58937317,2023-09-27T06:37:42.000,2023-09-27T06:53:49.000,NYPD,New York City Police Department,Noise - Residential,Banging/Pounding,Residential Building/House,11201,177 SANDS STREET,SANDS STREET,BQE WESTBOUND ENTRANCE SANDS ST,BIKE PATH,BQE WESTBOUND ENTRANCE SANDS ST,BIKE PATH,ADDRESS,BROOKLYN,SANDS STREET,Closed,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,2023-09-27T06:53:54.000,02 BROOKLYN,3000680001,BROOKLYN,988793,194233,ONLINE,Unspecified,BROOKLYN,40.699800319891985,-73.98361593748928,"{'latitude': '40.699800319891985', 'longitude': '-73.98361593748928', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,
58937095,2023-09-27T06:36:42.000,2023-09-27T07:11:31.000,NYPD,New York City Police Department,Illegal Parking,Posted Parking Sign Violation,Street/Sidewalk,11205,156 SANFORD STREET,SANFORD STREET,MYRTLE AVENUE,WILLOUGHBY AVENUE,MYRTLE AVENUE,WILLOUGHBY AVENUE,ADDRESS,BROOKLYN,SANDFORD STREET,Closed,Your request can not be processed at this time because of insufficient contact information. Please create a new Service Request on NYC.gov and provide more detailed contact information.,2023-09-27T07:11:36.000,03 BROOKLYN,3017520035,BROOKLYN,997212,192141,PHONE,Unspecified,BROOKLYN,40.6940499403329,-73.95325733856615,"{'latitude': '40.6940499403329', 'longitude': '-73.95325733856615', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,
58943112,2023-09-27T06:36:40.000,,DHS,Department of Homeless Services,Homeless Person Assistance,,Subway,,,,,,,,ADDRESS,,,Closed,The mobile outreach response team went to the location provided but could not find the individual that you reported.,2023-10-01T23:27:15.000,Unspecified MANHATTAN,,MANHATTAN,1002621,248782,MOBILE,Unspecified,MANHATTAN,40.84950502947927,-73.93359695065767,"{'latitude': '40.84950502947927', 'longitude': '-73.93359695065767', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,1,Mezzanine,,,
58942847,2023-09-27T06:35:18.000,2023-09-27T09:54:28.000,NYPD,New York City Police Department,Abandoned Vehicle,With License Plate,Street/Sidewalk,11421,88-23 85 STREET,85 STREET,88 AVENUE,88 ROAD,88 AVENUE,88 ROAD,ADDRESS,WOODHAVEN,85 STREET,Closed,The Police Department responded to the complaint and took action to fix the condition.,2023-09-27T09:54:31.000,09 QUEENS,4089200037,QUEENS,1023582,190728,MOBILE,Unspecified,QUEENS,40.69009367751666,-73.85817204206707,"{'latitude': '40.69009367751666', 'longitude': '-73.85817204206707', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,
58945744,2023-09-27T06:35:02.000,2023-09-27T10:24:33.000,DSNY,Department of Sanitation,Dirty Condition,Trash,Yard,10314,2655 RICHMOND AVENUE,RICHMOND AVENUE,STATEN ISLAND MALL ACCESS ROAD,STATEN ISLAND MALL ACCESS ROAD,STATEN ISLAND MALL ACCESS ROAD,STATEN ISLAND MALL ACCESS ROAD,ADDRESS,STATEN ISLAND,RICHMOND AVENUE,Closed,The Department of Sanitation investigated this complaint and found no condition at the location.,2023-09-27T10:24:37.000,02 STATEN ISLAND,5024000180,STATEN ISLAND,937292,151471,ONLINE,Unspecified,STATEN ISLAND,40.5823046113327,-74.16905343328875,"{'latitude': '40.5823046113327', 'longitude': '-74.16905343328875', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,
58943390,2023-09-27T06:35:00.000,2023-09-27T11:25:00.000,DEP,Department of Environmental Protection,Water System,Hydrant Running (WC3),,11385,82 AVENUE,82 AVENUE,WOODHAVEN BOULEVARD,MARGARET PLACE,,,BLOCKFACE,QUEENS,,Closed,"The Department of Environment Protection inspected your complaint but could not find the problem you reported. If the condition persists, please call 311 (or 212-639-9675 if calling from a non-New York City area code) with more detailed information to submit a new complaint.",2023-09-27T11:25:00.000,06 QUEENS,,QUEENS,,,PHONE,Unspecified,QUEENS,,,,,,,,,
58937789,2023-09-27T06:34:53.000,,DPR,Department of Parks and Recreation,Root/Sewer/Sidewalk Condition,Trees and Sidewalks Program,Street,11375,108-14 67 AVENUE,67 AVENUE,108 STREET,110 STREET,108 STREET,110 STREET,ADDRESS,FOREST HILLS,67 AVENUE,In Progress,,,06 QUEENS,4021760011,QUEENS,1026584,204920,ONLINE,Unspecified,QUEENS,40.729033442913526,-73.84725786465239,"{'latitude': '40.729033442913526', 'longitude': '-73.84725786465239', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,
58938588,2023-09-27T06:34:35.000,2023-09-27T07:08:42.000,NYPD,New York City Police Department,Noise - Residential,Banging/Pounding,Residential Building/House,10027,430 WEST  125 STREET,WEST  125 STREET,MORNINGSIDE AVENUE,AMSTERDAM AVENUE,MORNINGSIDE AVENUE,AMSTERDAM AVENUE,ADDRESS,NEW YORK,WEST  125 STREET,Closed,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,2023-09-27T07:08:45.000,09 MANHATTAN,1019640001,MANHATTAN,996723,235054,ONLINE,Unspecified,MANHATTAN,40.81183591406579,-73.95494113468926,"{'latitude': '40.81183591406579', 'longitude': '-73.95494113468926', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,
58945827,2023-09-27T06:34:16.000,2023-09-27T18:30:11.000,DSNY,Department of Sanitation,Commercial Disposal Complaint,Private Carter Decal Not Posted,Street,10022,610 LEXINGTON AVENUE,LEXINGTON AVENUE,EAST   52 STREET,EAST   53 STREET,EAST   52 STREET,EAST   53 STREET,ADDRESS,NEW YORK,LEXINGTON AVENUE,Closed,The Department of Sanitation investigated this complaint and found no violation at the location.,2023-09-27T18:30:18.000,05 MANHATTAN,1013077502,MANHATTAN,992244,215505,ONLINE,Unspecified,MANHATTAN,40.75818431436619,-73.97114483863147,"{'latitude': '40.75818431436619', 'longitude': '-73.97114483863147', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,
