unique_key,created_date,closed_date,agency,agency_name,complaint_type,descriptor,location_type,incident_zip,incident_address,street_name,cross_street_1,cross_street_2,intersection_street_1,intersection_street_2,address_type,city,landmark,status,resolution_description,resolution_action_updated_date,community_board,bbl,borough,x_coordinate_state_plane,y_coordinate_state_plane,open_data_channel_type,park_facility_name,park_borough,latitude,longitude,location,taxi_pick_up_location,facility_type,vehicle_type,taxi_company_borough,bridge_highway_name,bridge_highway_direction,bridge_highway_segment,road_ramp,due_date
58825384,2023-09-15T19:53:00.000,,DPR,Department of Parks and Recreation,Dead/Dying Tree,Planted More Than 2 Years Ago,Street,10301,129 CHESHIRE PLACE,CHESHIRE PLACE,MELROSE AVENUE,CLOVE ROAD,MELROSE AVENUE,CLOVE ROAD,ADDRESS,STATEN ISLAND,CHESHIRE PLACE,In Progress,"NYC Parks created a work order for the tree condition and expects to address the issue within 120 days from the date of the tree assessment, barring any weather-related requests.   NYC Parks work priority categories range from Category A through D, with A being the most critical and time-sensitive. We will complete all work in Category A first and address work in lower priority categories in accordance with available resources. For more information about the Tree Risk Management Program, visit the NYC Urban Forest page on the NYC Parks website at nyc.gov/parks/trees.",2023-11-01T16:03:43.000,01 STATEN ISLAND,5002410029,STATEN ISLAND,955242,164693,ONLINE,Unspecified,STATEN ISLAND,40.61867320500387,-74.1044885216416,"{'latitude': '40.61867320500387', 'longitude': '-74.1044885216416', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,,
58820564,2023-09-15T19:52:31.000,2023-09-15T20:18:43.000,NYPD,New York City Police Department,Illegal Parking,Posted Parking Sign Violation,Street/Sidewalk,11220,518 61 STREET,61 STREET,5 AVENUE,6 AVENUE,5 AVENUE,6 AVENUE,ADDRESS,BROOKLYN,61 STREET,Closed,The Police Department responded to the complaint and took action to fix the condition.,2023-09-15T20:18:45.000,07 BROOKLYN,3057920014,BROOKLYN,979764,171908,PHONE,Unspecified,BROOKLYN,40.638523211059635,-74.01616363877714,"{'latitude': '40.638523211059635', 'longitude': '-74.01616363877714', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,,
58824621,2023-09-15T19:52:12.000,2023-09-15T20:52:18.000,NYPD,New York City Police Department,Illegal Parking,Blocked Crosswalk,Street/Sidewalk,11103,40-17 28 AVENUE,28 AVENUE,STEINWAY STREET,41 STREET,STEINWAY STREET,41 STREET,ADDRESS,ASTORIA,28 AVENUE,Closed,The Police Department responded and upon arrival those responsible for the condition were gone.,2023-09-15T20:52:24.000,01 QUEENS,,QUEENS,1008216,218140,MOBILE,Unspecified,QUEENS,40.765387841255254,-73.91348290051054,"{'latitude': '40.765387841255254', 'longitude': '-73.91348290051054', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,,
58822066,2023-09-15T19:51:27.000,2023-09-16T11:52:25.000,DSNY,Department of Sanitation,Dirty Condition,Trash,Sidewalk,10468,3168 JEROME AVENUE,JEROME AVENUE,WEST  205 STREET,VAN CORTLANDT AVENUE EAST,WEST  205 STREET,VAN CORTLANDT AVENUE EAST,ADDRESS,BRONX,JEROME AVENUE,Closed,The Department of Sanitation investigated this complaint and found no condition at the location.,2023-09-16T11:52:29.000,07 BRONX,2033220019,BRONX,1015218,258588,ONLINE,Unspecified,BRONX,40.87638431916437,-73.88801908939604,"{'latitude': '40.87638431916437', 'longitude': '-73.88801908939604', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,,
58825812,2023-09-15T19:51:24.000,2023-09-15T23:04:36.000,NYPD,New York City Police Department,Noise - Residential,Banging/Pounding,Residential Building/House,11217,573 WARREN STREET,WARREN STREET,3 AVENUE,4 AVENUE,3 AVENUE,4 AVENUE,ADDRESS,BROOKLYN,WARREN STREET,Closed,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,2023-09-15T23:04:42.000,02 BROOKLYN,3003950051,BROOKLYN,989352,187630,ONLINE,Unspecified,BROOKLYN,40.681676302367485,-73.98160493760015,"{'latitude': '40.681676302367485', 'longitude': '-73.98160493760015', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,,
58824154,2023-09-15T19:51:13.000,2023-09-15T20:17:36.000,NYPD,New York City Police Department,Noise - Residential,Banging/Pounding,Residential Building/House,10452,1265 GERARD AVENUE,GERARD AVENUE,EAST  167 STREET,EAST  168 STREET,EAST  167 STREET,EAST  168 STREET,ADDRESS,BRONX,GERARD AVENUE,Closed,This complaint does not fall under the Police Department's jurisdiction.,2023-09-15T20:17:40.000,04 BRONX,2024890054,BRONX,1006494,244079,MOBILE,Unspecified,BRONX,40.836587768244534,-73.91961337374968,"{'latitude': '40.836587768244534', 'longitude': '-73.91961337374968', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,,
58824399,2023-09-15T19:51:01.000,2023-10-04T20:12:39.000,HPD,Department of Housing Preservation and Development,PAINT/PLASTER,WALL,RESIDENTIAL BUILDING,10462,2060 WHITE PLAINS ROAD,WHITE PLAINS ROAD,,,,,ADDRESS,BRONX,,Closed,The Department of Housing Preservation and Development inspected the following conditions. No violations were issued. The complaint has been closed.,2023-10-04T00:00:00.000,11 BRONX,2042847501,BRONX,1020831,249757,ONLINE,Unspecified,BRONX,40.85212444644305,-73.8677706004667,"{'latitude': '40.85212444644305', 'longitude': '-73.8677706004667', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,,
58821753,2023-09-15T19:51:01.000,2023-10-02T08:17:54.000,HPD,Department of Housing Preservation and Development,ELECTRIC,OUTLET/SWITCH,RESIDENTIAL BUILDING,10462,2060 WHITE PLAINS ROAD,WHITE PLAINS ROAD,,,,,ADDRESS,BRONX,,Closed,"The Department of Housing Preservation and Development was not able to gain access to inspect the following conditions. The complaint has been closed. If the condition still exists, please file a new complaint.",2023-10-02T00:00:00.000,11 BRONX,2042847501,BRONX,1020831,249757,ONLINE,Unspecified,BRONX,40.85212444644305,-73.8677706004667,"{'latitude': '40.85212444644305', 'longitude': '-73.8677706004667', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,,
58820127,2023-09-15T19:51:01.000,2023-10-02T08:17:54.000,HPD,Department of Housing Preservation and Development,PLUMBING,BASIN/SINK,RESIDENTIAL BUILDING,10462,2060 WHITE PLAINS ROAD,WHITE PLAINS ROAD,,,,,ADDRESS,BRONX,,Closed,"The Department of Housing Preservation and Development was not able to gain access to inspect the following conditions. The complaint has been closed. If the condition still exists, please file a new complaint.",2023-10-02T00:00:00.000,11 BRONX,2042847501,BRONX,1020831,249757,ONLINE,Unspecified,BRONX,40.85212444644305,-73.8677706004667,"{'latitude': '40.85212444644305', 'longitude': '-73.8677706004667', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,,
58823458,2023-09-15T19:51:01.000,2023-10-02T08:17:54.000,HPD,Department of Housing Preservation and Development,DOOR/WINDOW,DOOR,RESIDENTIAL BUILDING,10462,2060 WHITE PLAINS ROAD,WHITE PLAINS ROAD,,,,,ADDRESS,BRONX,,Closed,"The Department of Housing Preservation and Development was not able to gain access to inspect the following conditions. The complaint has been closed. If the condition still exists, please file a new complaint.",2023-10-02T00:00:00.000,11 BRONX,2042847501,BRONX,1020831,249757,ONLINE,Unspecified,BRONX,40.85212444644305,-73.8677706004667,"{'latitude': '40.85212444644305', 'longitude': '-73.8677706004667', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,,
58821827,2023-09-15T19:51:01.000,2023-10-02T08:17:54.000,HPD,Department of Housing Preservation and Development,PAINT/PLASTER,WALL,RESIDENTIAL BUILDING,10462,2060 WHITE PLAINS ROAD,WHITE PLAINS ROAD,,,,,ADDRESS,BRONX,,Closed,"The Department of Housing Preservation and Development was not able to gain access to inspect the following conditions. The complaint has been closed. If the condition still exists, please file a new complaint.",2023-10-02T00:00:00.000,11 BRONX,2042847501,BRONX,1020831,249757,ONLINE,Unspecified,BRONX,40.85212444644305,-73.8677706004667,"{'latitude': '40.85212444644305', 'longitude': '-73.8677706004667', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,,
58822613,2023-09-15T19:51:01.000,2023-10-02T08:17:54.000,HPD,Department of Housing Preservation and Development,DOOR/WINDOW,DOOR,RESIDENTIAL BUILDING,10462,2060 WHITE PLAINS ROAD,WHITE PLAINS ROAD,,,,,ADDRESS,BRONX,,Closed,"The Department of Housing Preservation and Development was not able to gain access to inspect the following conditions. The complaint has been closed. If the condition still exists, please file a new complaint.",2023-10-02T00:00:00.000,11 BRONX,2042847501,BRONX,1020831,249757,ONLINE,Unspecified,BRONX,40.85212444644305,-73.8677706004667,"{'latitude': '40.85212444644305', 'longitude': '-73.8677706004667', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,,
58821770,2023-09-15T19:51:01.000,2023-10-02T08:17:54.000,HPD,Department of Housing Preservation and Development,FLOORING/STAIRS,FLOOR,RESIDENTIAL BUILDING,10462,2060 WHITE PLAINS ROAD,WHITE PLAINS ROAD,,,,,ADDRESS,BRONX,,Closed,"The Department of Housing Preservation and Development was not able to gain access to inspect the following conditions. The complaint has been closed. If the condition still exists, please file a new complaint.",2023-10-02T00:00:00.000,11 BRONX,2042847501,BRONX,1020831,249757,ONLINE,Unspecified,BRONX,40.85212444644305,-73.8677706004667,"{'latitude': '40.85212444644305', 'longitude': '-73.8677706004667', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,,
58822384,2023-09-15T19:51:00.000,2023-09-18T12:50:00.000,DOT,Department of Transportation,Street Light Condition,Street Light Out,,10473,SOUNDVIEW PARK,SOUNDVIEW PARK,BRONX RIVER AVE,LAFAYETTE AVE,,,PLACENAME,BRONX,,Closed,Service Request status for this request is available on the Department of Transportationâs website. Please click the âLearn Moreâ link below.,2023-09-18T12:50:00.000,09 BRONX,2035430105,BRONX,1018772,237244,UNKNOWN,Unspecified,BRONX,40.81778820113692,-73.87527766095268,"{'latitude': '40.81778820113692', 'longitude': '-73.87527766095268', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,,
58819665,2023-09-15T19:50:55.000,2023-09-15T20:36:16.000,NYPD,New York City Police Department,Illegal Parking,Blocked Hydrant,Street/Sidewalk,11228,7508 10 AVENUE,10 AVENUE,BAY RIDGE PARKWAY,76 STREET,BAY RIDGE PARKWAY,76 STREET,ADDRESS,BROOKLYN,10 AVENUE,Closed,The Police Department responded to the complaint and took action to fix the condition.,2023-09-15T20:36:19.000,10 BROOKLYN,3059450046,BROOKLYN,980316,166680,ONLINE,Unspecified,BROOKLYN,40.624173719174856,-74.01417166383456,"{'latitude': '40.624173719174856', 'longitude': '-74.01417166383456', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,,
58821393,2023-09-15T19:50:45.000,2023-09-15T22:21:59.000,NYPD,New York City Police Department,Illegal Parking,Double Parked Blocking Traffic,Street/Sidewalk,11385,65-20 68 AVENUE,68 AVENUE,65 STREET,65 PLACE,65 STREET,65 PLACE,ADDRESS,RIDGEWOOD,68 AVENUE,Closed,The Police Department responded and upon arrival those responsible for the condition were gone.,2023-09-15T22:22:06.000,05 QUEENS,4036340033,QUEENS,1014072,196595,MOBILE,Unspecified,QUEENS,40.706234366570435,-73.8924383025564,"{'latitude': '40.706234366570435', 'longitude': '-73.8924383025564', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,,
58823671,2023-09-15T19:50:28.000,2023-09-19T10:49:45.000,DPR,Department of Parks and Recreation,Maintenance or Facility,Rodent Sighting,Park,10034,269 DYCKMAN STREET,DYCKMAN STREET,PAYSON AVENUE,HENSHAW STREET,PAYSON AVENUE,HENSHAW STREET,ADDRESS,NEW YORK,DYCKMAN STREET,Closed,NYC Parks has completed the requested work order and corrected the problem.,2023-09-19T10:49:39.000,12 MANHATTAN,1022552000,MANHATTAN,1003940,255093,MOBILE,Inwood Hill Park,MANHATTAN,40.86682398380518,-73.92881081177171,"{'latitude': '40.86682398380518', 'longitude': '-73.92881081177171', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,,
58825171,2023-09-15T19:50:23.000,2023-09-20T12:54:29.000,HPD,Department of Housing Preservation and Development,DOOR/WINDOW,WINDOW FRAME,RESIDENTIAL BUILDING,11360,28-45 CORPORAL KENNEDY STREET,CORPORAL KENNEDY STREET,,,,,ADDRESS,BAYSIDE,,Closed,The Department of Housing Preservation and Development contacted an occupant of the apartment or building and verified that the complaint was addressed.  The complaint has been closed.,2023-09-20T00:00:00.000,11 QUEENS,,QUEENS,1044810,221454,PHONE,Unspecified,QUEENS,40.774308941230835,-73.78134932650558,"{'latitude': '40.774308941230835', 'longitude': '-73.78134932650558', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,,
58825628,2023-09-15T19:50:16.000,2023-09-15T20:36:25.000,NYPD,New York City Police Department,Illegal Parking,Blocked Hydrant,Street/Sidewalk,10469,3227 PEARSALL AVENUE,PEARSALL AVENUE,BURKE AVENUE,EAST GUN HILL ROAD,BURKE AVENUE,EAST GUN HILL ROAD,ADDRESS,BRONX,PEARSALL AVENUE,Closed,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,2023-09-15T20:36:29.000,11 BRONX,2046170051,BRONX,1025249,256887,PHONE,Unspecified,BRONX,40.8716747079884,-73.8517572617227,"{'latitude': '40.8716747079884', 'longitude': '-73.8517572617227', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,,
58823855,2023-09-15T19:50:00.000,2023-09-19T18:29:00.000,DEP,Department of Environmental Protection,Noise,Noise: air condition/ventilation equipment (NV1),,11105,20-48 42 STREET,42 STREET,20 AVE,20 RD,,,ADDRESS,ASTORIA,,Closed,The Department of Environmental Protection requires contact with the complainant to investigate this complaint. A message was left for the complainant at the phone number provided.,2023-09-19T18:29:00.000,01 QUEENS,4007980051,QUEENS,1011572,221469,ONLINE,Unspecified,QUEENS,40.77451533901896,-73.9013542391638,"{'latitude': '40.77451533901896', 'longitude': '-73.9013542391638', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,N/A,,,,,,,
58821400,2023-09-15T19:49:31.000,2023-09-15T20:35:10.000,NYPD,New York City Police Department,Illegal Parking,Posted Parking Sign Violation,Street/Sidewalk,11229,2374 EAST   17 STREET,EAST   17 STREET,AVENUE W,AVENUE X,AVENUE W,AVENUE X,ADDRESS,BROOKLYN,EAST   17 STREET,Closed,This complaint does not fall under the Police Department's jurisdiction.,2023-09-15T20:35:14.000,15 BROOKLYN,3074010031,BROOKLYN,997212,155225,PHONE,Unspecified,BROOKLYN,40.59272348747414,-73.95332826686928,"{'latitude': '40.59272348747414', 'longitude': '-73.95332826686928', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,,
58821698,2023-09-15T19:48:51.000,2023-09-15T20:29:36.000,NYPD,New York City Police Department,Noise - Street/Sidewalk,Loud Talking,Street/Sidewalk,11103,31-02 STEINWAY STREET,STEINWAY STREET,31 AVENUE,BROADWAY,31 AVENUE,BROADWAY,ADDRESS,ASTORIA,STEINWAY STREET,Closed,The Police Department responded to the complaint and determined that police action was not necessary.,2023-09-15T20:29:44.000,01 QUEENS,4006580042,QUEENS,1007129,216518,ONLINE,Unspecified,QUEENS,40.760938750943666,-73.91741248138457,"{'latitude': '40.760938750943666', 'longitude': '-73.91741248138457', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,,
58819972,2023-09-15T19:48:39.000,2023-09-15T21:03:09.000,NYPD,New York City Police Department,Noise - Street/Sidewalk,Loud Music/Party,Street/Sidewalk,11207,242 COOPER STREET,COOPER STREET,WILSON AVENUE,KNICKERBOCKER AVENUE,WILSON AVENUE,KNICKERBOCKER AVENUE,ADDRESS,BROOKLYN,COOPER STREET,Closed,The Police Department responded to the complaint and took action to fix the condition.,2023-09-15T21:03:14.000,04 BROOKLYN,3034420001,BROOKLYN,1010650,190805,ONLINE,Unspecified,BROOKLYN,40.690353047062686,-73.90480342328435,"{'latitude': '40.690353047062686', 'longitude': '-73.90480342328435', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,,
58820606,2023-09-15T19:48:30.000,2023-09-15T20:13:43.000,NYPD,New York City Police Department,Blocked Driveway,No Access,Street/Sidewalk,10453,1714 TOWNSEND AVENUE,TOWNSEND AVENUE,CLIFFORD PLACE,EAST  175 STREET,CLIFFORD PLACE,EAST  175 STREET,ADDRESS,BRONX,TOWNSEND AVENUE,Closed,The Police Department responded and upon arrival those responsible for the condition were gone.,2023-09-15T20:13:48.000,05 BRONX,2028490056,BRONX,1008610,247739,PHONE,Unspecified,BRONX,40.84662781157915,-73.91195316350742,"{'latitude': '40.84662781157915', 'longitude': '-73.91195316350742', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,,
58825366,2023-09-15T19:48:12.000,2023-09-16T03:34:16.000,NYPD,New York City Police Department,Abandoned Vehicle,With License Plate,Street/Sidewalk,11420,133-23 135 PLACE,135 PLACE,133 AVENUE,135 AVENUE,133 AVENUE,135 AVENUE,ADDRESS,SOUTH OZONE PARK,135 PLACE,Closed,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,2023-09-16T03:34:23.000,10 QUEENS,4117960040,QUEENS,1039002,182997,MOBILE,Unspecified,QUEENS,40.668791928490506,-73.8026317629901,"{'latitude': '40.668791928490506', 'longitude': '-73.8026317629901', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,,
58825494,2023-09-15T19:48:11.000,2023-09-18T13:22:36.000,DCWP,Department of Consumer and Worker Protection,Consumer Complaint,Home Improvement Contractor,Business,10128,1220 PARK AVENUE,PARK AVENUE,EAST   95 STREET,EAST   96 STREET,EAST   95 STREET,EAST   96 STREET,ADDRESS,NEW YORK,PARK AVENUE,Closed,The Department of Consumer and Worker Protection (DCWP) determined this issue isn't within its jurisdiction.  You should contact the Department of Buildings (DOB). NYC311 can help you file a complaint or contact the agency for further assistance.,2023-09-18T13:22:40.000,08 MANHATTAN,1015070033,MANHATTAN,997271,225633,ONLINE,Unspecified,MANHATTAN,40.785977050281566,-73.95297974676343,"{'latitude': '40.785977050281566', 'longitude': '-73.95297974676343', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,,
58820985,2023-09-15T19:48:07.000,,HPD,Department of Housing Preservation and Development,UNSANITARY CONDITION,GARBAGE/RECYCLING STORAGE,RESIDENTIAL BUILDING,10463,1 JACOBUS PLACE,JACOBUS PLACE,,,,,ADDRESS,NEW YORK,,Open,The following complaint conditions are still open. HPD may attempt to contact you to verify the correction of the condition or may conduct an inspection.,2023-09-15T00:00:00.000,08 BRONX,1022150339,MANHATTAN,1008544,258129,PHONE,Unspecified,MANHATTAN,40.875145400143914,-73.91215405363715,"{'latitude': '40.875145400143914', 'longitude': '-73.91215405363715', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,,
