unique_key,created_date,closed_date,agency,agency_name,complaint_type,descriptor,location_type,incident_zip,incident_address,street_name,cross_street_1,cross_street_2,intersection_street_1,intersection_street_2,address_type,city,landmark,status,resolution_description,resolution_action_updated_date,community_board,borough,x_coordinate_state_plane,y_coordinate_state_plane,open_data_channel_type,park_facility_name,park_borough,taxi_pick_up_location,latitude,longitude,location,bbl,facility_type,bridge_highway_name,bridge_highway_segment,bridge_highway_direction,road_ramp,due_date
58952122,2023-09-28T19:47:00.000,2023-09-28T20:03:00.000,DEP,Department of Environmental Protection,Water System,Dirty Water (WE),,11374,68-97 ALDERTON STREET,ALDERTON STREET,YELLOWSTONE BLVD,TROTTING COURSE LN,,,ADDRESS,REGO PARK,,Closed,The Department of Environmental Protection determined that this complaint is a duplicate of a previously filed complaint. The original complaint is being addressed.,2023-09-28T20:03:00.000,06 QUEENS,QUEENS,1023502,199377,ONLINE,Unspecified,QUEENS,,40.71383347948818,-73.85841010422845,"{'latitude': '40.71383347948818', 'longitude': '-73.85841010422845', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",4031800023,,,,,,
58952341,2023-09-28T19:46:35.000,2023-09-28T21:30:52.000,NYPD,New York City Police Department,Blocked Driveway,No Access,Street/Sidewalk,11225,353 WINTHROP STREET,WINTHROP STREET,NOSTRAND AVENUE,NEW YORK AVENUE,NOSTRAND AVENUE,NEW YORK AVENUE,ADDRESS,BROOKLYN,WINTHROP STREET,Closed,The Police Department responded to the complaint and took action to fix the condition.,2023-09-28T21:30:55.000,09 BROOKLYN,BROOKLYN,998527,178721,MOBILE,Unspecified,BROOKLYN,,40.657213047667646,-73.94854370593276,"{'latitude': '40.657213047667646', 'longitude': '-73.94854370593276', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
58947918,2023-09-28T19:46:21.000,2023-09-28T19:49:31.000,NYPD,New York City Police Department,Animal-Abuse,Neglected,Residential Building/House,11224,2975 WEST   33 STREET,WEST   33 STREET,MERMAID AVENUE,SURF AVENUE,MERMAID AVENUE,SURF AVENUE,ADDRESS,BROOKLYN,WEST   33 STREET,Closed,The Police Department responded to the complaint and took action to fix the condition.,2023-09-28T19:49:35.000,13 BROOKLYN,BROOKLYN,984474,148060,ONLINE,Unspecified,BROOKLYN,,40.573066457463426,-73.99919368993085,"{'latitude': '40.573066457463426', 'longitude': '-73.99919368993085', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",3070480015,,,,,,
58954740,2023-09-28T19:46:15.000,2023-09-28T19:58:02.000,NYPD,New York City Police Department,Illegal Parking,Posted Parking Sign Violation,Street/Sidewalk,11435,145-66 LAKEWOOD AVENUE,LAKEWOOD AVENUE,PRINCETON STREET,LIVERPOOL STREET,PRINCETON STREET,LIVERPOOL STREET,ADDRESS,JAMAICA,LAKEWOOD AVENUE,Closed,The Police Department responded to the complaint and took action to fix the condition.,2023-09-28T19:58:06.000,12 QUEENS,QUEENS,1039117,191178,MOBILE,Unspecified,QUEENS,,40.691246148678445,-73.80215060798605,"{'latitude': '40.691246148678445', 'longitude': '-73.80215060798605', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
58953414,2023-09-28T19:46:13.000,2023-09-28T20:24:52.000,NYPD,New York City Police Department,Illegal Parking,Blocked Sidewalk,Street/Sidewalk,11205,298 CLASSON AVENUE,CLASSON AVENUE,DEKALB AVENUE,LAFAYETTE AVENUE,DEKALB AVENUE,LAFAYETTE AVENUE,ADDRESS,BROOKLYN,CLASSON AVENUE,Closed,The Police Department responded to the complaint and determined that police action was not necessary.,2023-09-28T20:24:56.000,02 BROOKLYN,BROOKLYN,995261,190775,ONLINE,Unspecified,BROOKLYN,,40.690303228634036,-73.96029513058312,"{'latitude': '40.690303228634036', 'longitude': '-73.96029513058312', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
58953567,2023-09-28T19:45:48.000,2023-09-28T21:39:52.000,NYPD,New York City Police Department,Blocked Driveway,No Access,Street/Sidewalk,11418,87-70 125 STREET,125 STREET,JAMAICA AVENUE,89 AVENUE,JAMAICA AVENUE,89 AVENUE,ADDRESS,RICHMOND HILL,125 STREET,Closed,The Police Department responded and upon arrival those responsible for the condition were gone.,2023-09-28T21:39:56.000,09 QUEENS,QUEENS,1032791,194183,ONLINE,Unspecified,QUEENS,,40.6995311164587,-73.82494032760417,"{'latitude': '40.6995311164587', 'longitude': '-73.82494032760417', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",4093330039,,,,,,
58948103,2023-09-28T19:45:30.000,2023-10-07T13:13:28.000,DOT,Department of Transportation,Street Sign - Damaged,St Name - Attached to Pole,Street,10463,2201 JOHNSON AVENUE,JOHNSON AVENUE,EDSALL AVENUE,BEND,EDSALL AVENUE,BEND,ADDRESS,BRONX,JOHNSON AVENUE,Closed,The Department of Transportation has determined that this issue is not within its jurisdiction. It has been referred to the Department of Parks and Recreation.,2023-10-07T13:13:33.000,08 BRONX,BRONX,1006475,259385,MOBILE,Unspecified,BRONX,,40.87859818297194,-73.91963128779386,"{'latitude': '40.87859818297194', 'longitude': '-73.91963128779386', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
58947994,2023-09-28T19:45:18.000,2023-10-04T16:59:15.000,DOHMH,Department of Health and Mental Hygiene,Rodent,Rat Sighting,3+ Family Apt. Building,11369,32-30 93 STREET,93 STREET,32 AVENUE,NORTHERN BOULEVARD,32 AVENUE,NORTHERN BOULEVARD,ADDRESS,EAST ELMHURST,93 STREET,Closed,This service request was closed because the Department of Health and Mental Hygiene received an earlier complaint about the same location.  You can find inspection results for this address by going to the online Rat Portal at www.nyc.gov/rats.,2023-09-28T19:45:18.000,03 QUEENS,QUEENS,1018773,215437,PHONE,Unspecified,QUEENS,,40.75793388610345,-73.87538612601276,"{'latitude': '40.75793388610345', 'longitude': '-73.87538612601276', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",4014220019,,,,,,
58952479,2023-09-28T19:45:02.000,2023-09-28T20:16:49.000,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,Residential Building/House,10467,3422 KNOX PLACE,KNOX PLACE,WEST MOSHOLU PARKWAY NORTH,WEST GUN HILL ROAD,WEST MOSHOLU PARKWAY NORTH,WEST GUN HILL ROAD,ADDRESS,BRONX,KNOX PLACE,Closed,The Police Department responded to the complaint and took action to fix the condition.,2023-09-28T20:16:56.000,07 BRONX,BRONX,1016437,260572,ONLINE,Unspecified,BRONX,,40.88182541778601,-73.88360163299659,"{'latitude': '40.88182541778601', 'longitude': '-73.88360163299659', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
58947748,2023-09-28T19:45:01.000,2023-10-01T11:41:29.000,HPD,Department of Housing Preservation and Development,PLUMBING,WATER SUPPLY,RESIDENTIAL BUILDING,10024,483 WEST END AVENUE,WEST END AVENUE,,,,,ADDRESS,NEW YORK,,Closed,"The Department of Housing Preservation and Development contacted an occupant of the apartment and verified that the following conditions were corrected. The complaint has been closed. If the condition still exists, please file a new complaint.",2023-10-01T00:00:00.000,07 MANHATTAN,MANHATTAN,990010,226029,PHONE,Unspecified,MANHATTAN,,40.78707167940748,-73.97919966968996,"{'latitude': '40.78707167940748', 'longitude': '-73.97919966968996', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",1012450070,,,,,,
58949822,2023-09-28T19:44:45.000,2023-09-28T19:54:48.000,NYPD,New York City Police Department,Noise - Vehicle,Car/Truck Horn,Street/Sidewalk,10002,383 GRAND STREET,GRAND STREET,NORFOLK STREET,SUFFOLK STREET,NORFOLK STREET,SUFFOLK STREET,ADDRESS,NEW YORK,GRAND STREET,Closed,The Police Department responded to the complaint and determined that police action was not necessary.,2023-09-28T19:54:53.000,03 MANHATTAN,MANHATTAN,987509,200281,ONLINE,Unspecified,MANHATTAN,,40.716401215045174,-73.98824368063315,"{'latitude': '40.716401215045174', 'longitude': '-73.98824368063315', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
58947663,2023-09-28T19:44:45.000,2023-10-01T13:58:18.000,HPD,Department of Housing Preservation and Development,ELECTRIC,POWER OUTAGE,RESIDENTIAL BUILDING,10002,179 ESSEX STREET,ESSEX STREET,,,,,ADDRESS,NEW YORK,,Closed,The Department of Housing Preservation and Development inspected the following conditions. No violations were issued. The complaint has been closed.,2023-10-01T00:00:00.000,03 MANHATTAN,MANHATTAN,987991,202268,PHONE,Unspecified,MANHATTAN,,40.72185486130175,-73.9865038386843,"{'latitude': '40.72185486130175', 'longitude': '-73.9865038386843', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",1004120062,,,,,,
58948937,2023-09-28T19:44:44.000,2023-10-02T15:54:44.000,HPD,Department of Housing Preservation and Development,DOOR/WINDOW,DOOR,RESIDENTIAL BUILDING,10029,168 EAST  105 STREET,EAST  105 STREET,,,,,ADDRESS,NEW YORK,,Closed,The Department of Housing Preservation and Development inspected the following conditions. No violations were issued. The complaint has been closed.,2023-10-02T00:00:00.000,11 MANHATTAN,MANHATTAN,999192,227556,PHONE,Unspecified,MANHATTAN,,40.79125212962297,-73.94603852985273,"{'latitude': '40.79125212962297', 'longitude': '-73.94603852985273', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",1016320044,,,,,,
58952627,2023-09-28T19:44:44.000,2023-09-29T12:55:28.000,HPD,Department of Housing Preservation and Development,HEAT/HOT WATER,ENTIRE BUILDING,RESIDENTIAL BUILDING,11209,8202 3 AVENUE,3 AVENUE,,,,,ADDRESS,BROOKLYN,,Closed,The Department of Housing Preservation and Development inspected the following conditions. No violations were issued. The complaint has been closed.,2023-09-29T00:00:00.000,10 BROOKLYN,BROOKLYN,975943,167443,MOBILE,Unspecified,BROOKLYN,,40.62626497292973,-74.02992569952757,"{'latitude': '40.62626497292973', 'longitude': '-74.02992569952757', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",3060060037,,,,,,
58952596,2023-09-28T19:44:44.000,2023-10-02T15:54:45.000,HPD,Department of Housing Preservation and Development,FLOORING/STAIRS,FLOOR,RESIDENTIAL BUILDING,10029,168 EAST  105 STREET,EAST  105 STREET,,,,,ADDRESS,NEW YORK,,Closed,The Department of Housing Preservation and Development inspected the following conditions. No violations were issued. The complaint has been closed.,2023-10-02T00:00:00.000,11 MANHATTAN,MANHATTAN,999192,227556,PHONE,Unspecified,MANHATTAN,,40.79125212962297,-73.94603852985273,"{'latitude': '40.79125212962297', 'longitude': '-73.94603852985273', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",1016320044,,,,,,
58955159,2023-09-28T19:44:44.000,2023-10-02T15:54:44.000,HPD,Department of Housing Preservation and Development,PAINT/PLASTER,WALL,RESIDENTIAL BUILDING,10029,168 EAST  105 STREET,EAST  105 STREET,,,,,ADDRESS,NEW YORK,,Closed,The Department of Housing Preservation and Development inspected the following conditions. No violations were issued. The complaint has been closed.,2023-10-02T00:00:00.000,11 MANHATTAN,MANHATTAN,999192,227556,PHONE,Unspecified,MANHATTAN,,40.79125212962297,-73.94603852985273,"{'latitude': '40.79125212962297', 'longitude': '-73.94603852985273', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",1016320044,,,,,,
58947717,2023-09-28T19:44:44.000,2023-10-02T15:54:44.000,HPD,Department of Housing Preservation and Development,PAINT/PLASTER,CEILING,RESIDENTIAL BUILDING,10029,168 EAST  105 STREET,EAST  105 STREET,,,,,ADDRESS,NEW YORK,,Closed,The Department of Housing Preservation and Development inspected the following conditions. No violations were issued. The complaint has been closed.,2023-10-02T00:00:00.000,11 MANHATTAN,MANHATTAN,999192,227556,PHONE,Unspecified,MANHATTAN,,40.79125212962297,-73.94603852985273,"{'latitude': '40.79125212962297', 'longitude': '-73.94603852985273', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",1016320044,,,,,,
58952163,2023-09-28T19:44:42.000,2023-09-28T20:13:26.000,NYPD,New York City Police Department,Illegal Parking,Blocked Hydrant,Street/Sidewalk,11220,549 SENATOR STREET,SENATOR STREET,5 AVENUE,6 AVENUE,5 AVENUE,6 AVENUE,ADDRESS,BROOKLYN,SENATOR STREET,Closed,The Police Department issued a summons in response to the complaint.,2023-09-28T20:13:30.000,10 BROOKLYN,BROOKLYN,978909,170345,MOBILE,Unspecified,BROOKLYN,,40.63423263471,-74.0192430772262,"{'latitude': '40.63423263471', 'longitude': '-74.0192430772262', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
58946854,2023-09-28T19:44:34.000,2023-10-12T16:44:15.000,DOT,Department of Transportation,Sidewalk Condition,Broken Sidewalk,Sidewalk,11249,450 BEDFORD AVENUE,BEDFORD AVENUE,SOUTH    9 STREET,SOUTH   10 STREET,SOUTH    9 STREET,SOUTH   10 STREET,ADDRESS,BROOKLYN,BEDFORD AVENUE,Closed,"The Department of Transportation inspected the location more than six months ago and has notified the property owner of any defective sidewalk conditions. The property owner is responsible for maintaining, repairing and installing sidewalks adjoining their property, according to Section 19-152 of the New York City Administrative Code.",2023-10-12T16:44:18.000,01 BROOKLYN,BROOKLYN,994163,197395,ONLINE,Unspecified,BROOKLYN,,40.70847487948608,-73.96424469495851,"{'latitude': '40.70847487948608', 'longitude': '-73.96424469495851', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
58953387,2023-09-28T19:44:24.000,2023-09-28T20:39:38.000,NYPD,New York City Police Department,Illegal Parking,Blocked Hydrant,Street/Sidewalk,11214,1819 77 STREET,77 STREET,18 AVENUE,19 AVENUE,18 AVENUE,19 AVENUE,ADDRESS,BROOKLYN,77 STREET,Closed,The Police Department issued a summons in response to the complaint.,2023-09-28T20:39:42.000,11 BROOKLYN,BROOKLYN,985191,162203,MOBILE,Unspecified,BROOKLYN,,40.61188610714911,-73.99661080808555,"{'latitude': '40.61188610714911', 'longitude': '-73.99661080808555', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",3062380063,,,,,,
58954950,2023-09-28T19:43:58.000,2023-09-28T20:11:40.000,NYPD,New York City Police Department,Noise - Residential,Banging/Pounding,Residential Building/House,10305,210 NAUGHTON AVENUE,NAUGHTON AVENUE,HUSSON STREET,VERA STREET,HUSSON STREET,VERA STREET,ADDRESS,STATEN ISLAND,NAUGHTON AVENUE,Closed,The Police Department responded to the complaint and determined that police action was not necessary.,2023-09-28T20:11:45.000,02 STATEN ISLAND,STATEN ISLAND,957333,152541,MOBILE,Unspecified,STATEN ISLAND,,40.585325054073735,-74.09690819820324,"{'latitude': '40.585325054073735', 'longitude': '-74.09690819820324', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",5035460029,,,,,,
58948500,2023-09-28T19:43:33.000,2023-09-28T21:18:56.000,NYPD,New York City Police Department,Illegal Parking,Blocked Hydrant,Street/Sidewalk,11419,110 STREET,110 STREET,110 STREET,ATLANTIC AVENUE,110 STREET,ATLANTIC AVENUE,INTERSECTION,,,Closed,The Police Department responded and upon arrival those responsible for the condition were gone.,2023-09-28T21:18:58.000,09 QUEENS,QUEENS,1029789,191384,PHONE,Unspecified,QUEENS,,40.6918644824971,-73.83578572485052,"{'latitude': '40.6918644824971', 'longitude': '-73.83578572485052', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
58949880,2023-09-28T19:43:30.000,2023-09-28T19:54:55.000,NYPD,New York City Police Department,Blocked Driveway,No Access,Street/Sidewalk,11374,62-83 BOOTH STREET,BOOTH STREET,62 AVENUE,63 AVENUE,62 AVENUE,63 AVENUE,ADDRESS,REGO PARK,BOOTH STREET,Closed,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,2023-09-28T19:55:00.000,06 QUEENS,QUEENS,1021330,205171,PHONE,Unspecified,QUEENS,,40.72974596098671,-73.86621301391438,"{'latitude': '40.72974596098671', 'longitude': '-73.86621301391438', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",4030790058,,,,,,
58947249,2023-09-28T19:43:11.000,2023-09-28T20:04:43.000,NYPD,New York City Police Department,Illegal Parking,Blocked Hydrant,Street/Sidewalk,10031,517 WEST  144 STREET,WEST  144 STREET,AMSTERDAM AVENUE,BROADWAY,AMSTERDAM AVENUE,BROADWAY,ADDRESS,NEW YORK,WEST  144 STREET,Closed,The Police Department responded and upon arrival those responsible for the condition were gone.,2023-09-28T20:04:46.000,09 MANHATTAN,MANHATTAN,998415,239805,MOBILE,Unspecified,MANHATTAN,,40.82487352001085,-73.94881873725379,"{'latitude': '40.82487352001085', 'longitude': '-73.94881873725379', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
58946387,2023-09-28T19:43:10.000,2023-09-28T19:50:13.000,NYPD,New York City Police Department,Non-Emergency Police Matter,Other (complaint details),Street/Sidewalk,10019,306 WEST   54 STREET,WEST   54 STREET,8 AVENUE,9 AVENUE,8 AVENUE,9 AVENUE,ADDRESS,NEW YORK,WEST   54 STREET,Closed,The Police Department responded to the complaint and determined that police action was not necessary.,2023-09-28T19:50:15.000,04 MANHATTAN,MANHATTAN,988451,217993,ONLINE,Unspecified,MANHATTAN,,40.76501585078629,-73.98483450522959,"{'latitude': '40.76501585078629', 'longitude': '-73.98483450522959', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",1010440038,,,,,,
58953652,2023-09-28T19:43:00.000,,DOT,Department of Transportation,Street Light Condition,Street Light Out,,10024,,,,,RIVERSIDE DRIVE,WEST 86 STREET,INTERSECTION,MANHATTAN,,Open,,,07 MANHATTAN,MANHATTAN,989689,227074,UNKNOWN,Unspecified,MANHATTAN,,40.7899401275489,-73.98035800855153,"{'latitude': '40.7899401275489', 'longitude': '-73.98035800855153', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
58949255,2023-09-28T19:42:33.000,2023-09-28T19:42:33.000,DOHMH,Department of Health and Mental Hygiene,Rodent,Condition Attracting Rodents,Other (Explain Below),10304,614 RICHMOND ROAD,RICHMOND ROAD,LONGVIEW ROAD,PIERCE STREET,LONGVIEW ROAD,PIERCE STREET,ADDRESS,STATEN ISLAND,RICHMOND ROAD,Closed,The Department of Health and Mental Hygiene inspected the property you reported and did not find any violations at the time of the inspection. The property passed inspection.,2023-09-28T19:42:33.000,01 STATEN ISLAND,STATEN ISLAND,959705,162091,PHONE,Unspecified,STATEN ISLAND,,40.61154474478718,-74.08840308635351,"{'latitude': '40.61154474478718', 'longitude': '-74.08840308635351', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",5028840039,,,,,,
58951752,2023-09-28T19:42:29.000,2023-10-19T08:14:46.000,DOT,Department of Transportation,Curb Condition,Defacement,Curb,10025,50 WEST   97 STREET,WEST   97 STREET,CENTRAL PARK WEST,COLUMBUS AVENUE,CENTRAL PARK WEST,COLUMBUS AVENUE,ADDRESS,NEW YORK,WEST   97 STREET,Closed,The Department of Transportation inspected the condition you reported and issued a notice to the responsible party to correct the condition.,2023-10-19T08:14:51.000,07 MANHATTAN,MANHATTAN,993581,228278,ONLINE,Unspecified,MANHATTAN,,40.79324153055708,-73.96630106378632,"{'latitude': '40.79324153055708', 'longitude': '-73.96630106378632', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",1018320043,,,,,,
