unique_key,created_date,closed_date,agency,agency_name,complaint_type,descriptor,location_type,incident_zip,incident_address,street_name,address_type,city,status,resolution_description,resolution_action_updated_date,community_board,bbl,borough,x_coordinate_state_plane,y_coordinate_state_plane,open_data_channel_type,park_facility_name,park_borough,latitude,longitude,location,cross_street_1,cross_street_2,intersection_street_1,intersection_street_2,landmark,facility_type,bridge_highway_name,bridge_highway_segment,taxi_pick_up_location,bridge_highway_direction,road_ramp,due_date
58872787,2023-09-20T19:53:27.000,2023-09-20T20:23:03.000,NYPD,New York City Police Department,Abandoned Vehicle,With License Plate,Street/Sidewalk,10032,563 WEST  169 STREET,WEST  169 STREET,ADDRESS,NEW YORK,Closed,This complaint does not fall under the Police Department's jurisdiction.,2023-09-20T20:23:07.000,12 MANHATTAN,1021260027,MANHATTAN,1001182,245853,MOBILE,Unspecified,MANHATTAN,40.84146866353716,-73.93880569416444,"{'latitude': '40.84146866353716', 'longitude': '-73.93880569416444', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",AUDUBON AVENUE,BROADWAY,AUDUBON AVENUE,BROADWAY,WEST  169 STREET,,,,,,,
58875424,2023-09-20T19:53:13.000,2023-09-20T20:41:35.000,NYPD,New York City Police Department,Illegal Parking,Blocked Bike Lane,Street/Sidewalk,10457,2256 GRAND CONCOURSE,GRAND CONCOURSE,ADDRESS,BRONX,Closed,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,2023-09-20T20:41:41.000,05 BRONX,2031580016,BRONX,1011808,251409,ONLINE,Unspecified,BRONX,40.8566914645503,-73.90037922922777,"{'latitude': '40.8566914645503', 'longitude': '-73.90037922922777', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",EAST  182 STREET,EAST  183 STREET,EAST  182 STREET,EAST  183 STREET,GRAND CONCOURSE,,,,,,,
58876443,2023-09-20T19:53:05.000,2023-09-20T20:21:58.000,NYPD,New York City Police Department,Noise - Street/Sidewalk,Loud Music/Party,Street/Sidewalk,11210,1350 NEW YORK AVENUE,NEW YORK AVENUE,ADDRESS,BROOKLYN,Closed,The Police Department responded to the complaint and took action to fix the condition.,2023-09-20T20:22:02.000,17 BROOKLYN,3049640040,BROOKLYN,999372,172435,ONLINE,Unspecified,BROOKLYN,40.639957940304036,-73.94551230151636,"{'latitude': '40.639957940304036', 'longitude': '-73.94551230151636', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",NEWKIRK AVENUE,FOSTER AVENUE,NEWKIRK AVENUE,FOSTER AVENUE,NEW YORK AVENUE,,,,,,,
58879616,2023-09-20T19:53:00.000,2023-09-22T11:30:00.000,DSNY,Department of Sanitation,Electronics Waste Appointment,Ewaste appointment,Sidewalk,10307,379 MANHATTAN STREET,MANHATTAN STREET,ADDRESS,STATEN ISLAND,Closed,The E-Waste collection appointment was cancelled.,2023-09-22T11:30:00.000,03 STATEN ISLAND,5078830068,STATEN ISLAND,917161,121858,PHONE,Unspecified,STATEN ISLAND,40.500893323502254,-74.24123311708362,"{'latitude': '40.500893323502254', 'longitude': '-74.24123311708362', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",CLERMONT AVENUE,BILLOP AVENUE,,,,,,,,,,
58880687,2023-09-20T19:53:00.000,2023-09-21T10:25:00.000,DOT,Department of Transportation,Street Condition,Pothole,,10467,WHITE PLAINS ROAD,WHITE PLAINS ROAD,BLOCKFACE,BRONX,Closed,The Department of Transportation inspected this complaint and repaired the problem.,2023-09-21T10:25:00.000,12 BRONX,,BRONX,,,UNKNOWN,Unspecified,BRONX,,,,EAST  219 STREET,EAST  220 STREET,,,,N/A,,,,,,
58872946,2023-09-20T19:52:43.000,,DOHMH,Department of Health and Mental Hygiene,Food Establishment,Food Worker Hygiene,Restaurant/Bar/Deli/Bakery,11236,1031 EAST   92 STREET,EAST   92 STREET,ADDRESS,BROOKLYN,In Progress,"The Department of Health and Mental Hygiene has sent official written notification to the Owner/Landlord warning them of potential violations and instructing them to correct the situation. If the situation persists 21 days after your initial complaint, please make a new complaint.",2023-09-21T13:02:45.000,18 BROOKLYN,3081610036,BROOKLYN,1009834,173862,ONLINE,Unspecified,BROOKLYN,40.64385070599477,-73.90781015913122,"{'latitude': '40.64385070599477', 'longitude': '-73.90781015913122', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",FARRAGUT ROAD,BAY VIEW PLACE,FARRAGUT ROAD,BAY VIEW PLACE,EAST   92 STREET,,,,,,,
58880156,2023-09-20T19:52:36.000,2023-09-20T20:02:25.000,NYPD,New York City Police Department,Noise - Vehicle,Engine Idling,Street/Sidewalk,10001,107 WEST   25 STREET,WEST   25 STREET,ADDRESS,NEW YORK,Closed,The Police Department responded to the complaint and determined that police action was not necessary.,2023-09-20T20:02:30.000,04 MANHATTAN,1008010030,MANHATTAN,986353,210491,MOBILE,Unspecified,MANHATTAN,40.744425515906904,-73.99241057401285,"{'latitude': '40.744425515906904', 'longitude': '-73.99241057401285', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",AVENUE OF THE AMERICAS,7 AVENUE,AVENUE OF THE AMERICAS,7 AVENUE,WEST   25 STREET,,,,,,,
58879321,2023-09-20T19:52:35.000,2023-09-20T20:40:59.000,NYPD,New York City Police Department,Illegal Parking,Blocked Bike Lane,Street/Sidewalk,10457,2256 GRAND CONCOURSE,GRAND CONCOURSE,ADDRESS,BRONX,Closed,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,2023-09-20T20:41:02.000,05 BRONX,2031580016,BRONX,1011808,251409,ONLINE,Unspecified,BRONX,40.8566914645503,-73.90037922922777,"{'latitude': '40.8566914645503', 'longitude': '-73.90037922922777', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",EAST  182 STREET,EAST  183 STREET,EAST  182 STREET,EAST  183 STREET,GRAND CONCOURSE,,,,,,,
58874241,2023-09-20T19:52:32.000,2023-09-21T08:12:54.000,DOHMH,Department of Health and Mental Hygiene,Rodent,Rat Sighting,3+ Family Mixed Use Building,10029,1966 1 AVENUE,1 AVENUE,ADDRESS,NEW YORK,Closed,This service request was closed because the Department of Health and Mental Hygiene received an earlier complaint about the same location.  You can find inspection results for this address by going to the online Rat Portal at www.nyc.gov/rats.,2023-09-20T19:52:32.000,11 MANHATTAN,1016940005,MANHATTAN,1000227,225831,PHONE,Unspecified,MANHATTAN,40.786515657816174,-73.94230483976352,"{'latitude': '40.786515657816174', 'longitude': '-73.94230483976352', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",EAST 101 STREET,EAST 102 STREET,EAST  101 STREET,EAST  102 STREET,1 AVENUE,,,,,,,
58873180,2023-09-20T19:52:25.000,2023-09-21T21:19:38.000,DSNY,Department of Sanitation,Obstruction,Sign,Sidewalk,11220,4530 5 AVENUE,5 AVENUE,ADDRESS,BROOKLYN,Closed,The Department of Sanitation investigated this complaint and found no violation at the location.,2023-09-21T21:19:42.000,07 BROOKLYN,,BROOKLYN,982134,175254,ONLINE,Unspecified,BROOKLYN,40.64770814492828,-74.0076252714856,"{'latitude': '40.64770814492828', 'longitude': '-74.0076252714856', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",45 STREET,46 STREET,45 STREET,46 STREET,5 AVENUE,,,,,,,
58875859,2023-09-20T19:52:18.000,2023-09-20T20:04:13.000,NYPD,New York City Police Department,Illegal Parking,Paper License Plates,Street/Sidewalk,10468,66 EAST  190 STREET,EAST  190 STREET,ADDRESS,BRONX,Closed,The Police Department responded to the complaint and took action to fix the condition.,2023-09-20T20:04:17.000,07 BRONX,2031740026,BRONX,1012352,253701,ONLINE,Unspecified,BRONX,40.8629805964983,-73.89840308896326,"{'latitude': '40.8629805964983', 'longitude': '-73.89840308896326', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",MORRIS AVENUE,CRESTON AVENUE,MORRIS AVENUE,CRESTON AVENUE,EAST  190 STREET,,,,,,,
58879702,2023-09-20T19:52:04.000,,DHS,Department of Homeless Services,Homeless Person Assistance,,Subway,,,,ADDRESS,,Closed,The mobile outreach response team went to the location provided but could not find the individual that you reported.,2023-10-08T15:39:35.000,Unspecified QUEENS,,QUEENS,1007006,219913,MOBILE,Unspecified,QUEENS,40.77025746144904,-73.9178449869106,"{'latitude': '40.77025746144904', 'longitude': '-73.9178449869106', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,N,Stairway,,,,
58872622,2023-09-20T19:52:02.000,2023-09-23T16:31:12.000,HPD,Department of Housing Preservation and Development,PAINT/PLASTER,WALL,RESIDENTIAL BUILDING,11226,2343 NEWKIRK AVENUE,NEWKIRK AVENUE,ADDRESS,BROOKLYN,Closed,The Department of Housing Preservation and Development inspected the following conditions. Violations were issued. Information about specific violations is available at www.nyc.gov/hpd,2023-09-23T00:00:00.000,14 BROOKLYN,3052100009,BROOKLYN,996839,172316,PHONE,Unspecified,BROOKLYN,40.639635273270194,-73.95463944546147,"{'latitude': '40.639635273270194', 'longitude': '-73.95463944546147', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,,,,,
58876655,2023-09-20T19:52:02.000,2023-09-23T16:31:12.000,HPD,Department of Housing Preservation and Development,UNSANITARY CONDITION,PESTS,RESIDENTIAL BUILDING,11226,2343 NEWKIRK AVENUE,NEWKIRK AVENUE,ADDRESS,BROOKLYN,Closed,The Department of Housing Preservation and Development inspected the following conditions. Violations were issued. Information about specific violations is available at www.nyc.gov/hpd,2023-09-23T00:00:00.000,14 BROOKLYN,3052100009,BROOKLYN,996839,172316,PHONE,Unspecified,BROOKLYN,40.639635273270194,-73.95463944546147,"{'latitude': '40.639635273270194', 'longitude': '-73.95463944546147', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,,,,,
58875231,2023-09-20T19:52:02.000,2023-09-23T16:31:12.000,HPD,Department of Housing Preservation and Development,GENERAL,CABINET,RESIDENTIAL BUILDING,11226,2343 NEWKIRK AVENUE,NEWKIRK AVENUE,ADDRESS,BROOKLYN,Closed,The Department of Housing Preservation and Development inspected the following conditions. No violations were issued. The complaint has been closed.,2023-09-23T00:00:00.000,14 BROOKLYN,3052100009,BROOKLYN,996839,172316,PHONE,Unspecified,BROOKLYN,40.639635273270194,-73.95463944546147,"{'latitude': '40.639635273270194', 'longitude': '-73.95463944546147', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,,,,,
58879234,2023-09-20T19:52:02.000,2023-09-23T16:31:12.000,HPD,Department of Housing Preservation and Development,UNSANITARY CONDITION,MOLD,RESIDENTIAL BUILDING,11226,2343 NEWKIRK AVENUE,NEWKIRK AVENUE,ADDRESS,BROOKLYN,Closed,The Department of Housing Preservation and Development inspected the following conditions. Violations were issued. Information about specific violations is available at www.nyc.gov/hpd,2023-09-23T00:00:00.000,14 BROOKLYN,3052100009,BROOKLYN,996839,172316,PHONE,Unspecified,BROOKLYN,40.639635273270194,-73.95463944546147,"{'latitude': '40.639635273270194', 'longitude': '-73.95463944546147', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,,,,,
58875425,2023-09-20T19:51:54.000,2023-09-20T20:40:23.000,NYPD,New York City Police Department,Illegal Parking,Blocked Bike Lane,Street/Sidewalk,10457,1872 MONROE AVENUE,MONROE AVENUE,ADDRESS,BRONX,Closed,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,2023-09-20T20:40:27.000,05 BRONX,2028040001,BRONX,1010260,248435,ONLINE,Unspecified,BRONX,40.848533419181855,-73.90598670450618,"{'latitude': '40.848533419181855', 'longitude': '-73.90598670450618', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",MOUNT HOPE PLACE,EAST TREMONT AVENUE,MOUNT HOPE PLACE,EAST TREMONT AVENUE,MONROE AVENUE,,,,,,,
58873200,2023-09-20T19:51:50.000,2023-09-21T12:56:24.000,DSNY,Department of Sanitation,Missed Collection,Compost,Street,11231,315 COURT STREET,COURT STREET,ADDRESS,BROOKLYN,Closed,The Department of Sanitation collected the requested items.,2023-09-21T10:27:41.000,06 BROOKLYN,3004210005,BROOKLYN,985526,188249,ONLINE,Unspecified,BROOKLYN,40.68337669485548,-73.995399314391,"{'latitude': '40.68337669485548', 'longitude': '-73.995399314391', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",DEGRAW STREET,SACKETT STREET,DEGRAW STREET,SACKETT STREET,COURT STREET,,,,,,,
58875819,2023-09-20T19:51:47.000,2023-09-23T09:34:00.000,DSNY,Department of Sanitation,Missed Collection,Recycling - Paper/Metal/Glass/Rigid Plastic,Street,11234,1955 FLATBUSH AVENUE,FLATBUSH AVENUE,ADDRESS,BROOKLYN,Closed,The Department of Sanitation investigated this complaint and found no condition at the location.,2023-09-21T10:58:53.000,18 BROOKLYN,3078200050,BROOKLYN,1001943,165917,ONLINE,Unspecified,BROOKLYN,40.622062650075726,-73.93626554682203,"{'latitude': '40.622062650075726', 'longitude': '-73.93626554682203', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",KINGS HIGHWAY,LOTT PLACE,KINGS HIGHWAY,LOTT PLACE,FLATBUSH AVENUE,,,,,,,
58889512,2023-09-20T19:51:33.000,2023-09-25T00:00:00.000,DOB,Department of Buildings,General Construction/Plumbing,Building Permit - None,,10314,39 DREYER AVENUE,DREYER AVENUE,ADDRESS,STATEN ISLAND,Closed,The Department of Buildings investigated this complaint and issued a partial stop work order violation.,2023-09-25T00:00:00.000,02 STATEN ISLAND,5020867501,STATEN ISLAND,942538,160625,UNKNOWN,Unspecified,STATEN ISLAND,40.60745669858423,-74.15022387128175,"{'latitude': '40.60745669858423', 'longitude': '-74.15022387128175', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,N/A,,,,,,
58871427,2023-09-20T19:51:15.000,,DOT,Department of Transportation,Street Condition,Pothole,,11207,BARBEY STREET,BARBEY STREET,BLOCKFACE,BROOKLYN,Open,The Department of Transportation referred this complaint to the appropriate Maintenance Unit for repair.,2023-09-20T19:51:15.000,05 BROOKLYN,,BROOKLYN,,,UNKNOWN,Unspecified,BROOKLYN,,,,JAMAICA AVENUE,SUNNYSIDE AVENUE,,,,N/A,,,,,,
58877535,2023-09-20T19:51:14.000,2023-09-20T21:04:20.000,NYPD,New York City Police Department,Blocked Driveway,No Access,Street/Sidewalk,10036,305 WEST   48 STREET,WEST   48 STREET,ADDRESS,NEW YORK,Closed,The Police Department responded to the complaint and took action to fix the condition.,2023-09-20T21:04:23.000,04 MANHATTAN,1010390027,MANHATTAN,987761,216594,MOBILE,Unspecified,MANHATTAN,40.76117625709336,-73.98732611696842,"{'latitude': '40.76117625709336', 'longitude': '-73.98732611696842', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",8 AVENUE,9 AVENUE,8 AVENUE,9 AVENUE,WEST   48 STREET,,,,,,,
58874125,2023-09-20T19:51:13.000,2023-09-20T20:20:42.000,NYPD,New York City Police Department,Abandoned Vehicle,With License Plate,Street/Sidewalk,10032,565 WEST  169 STREET,WEST  169 STREET,ADDRESS,NEW YORK,Closed,The Police Department responded to the complaint and determined that police action was not necessary.,2023-09-20T20:20:46.000,12 MANHATTAN,1021260001,MANHATTAN,1001123,245885,MOBILE,Unspecified,MANHATTAN,40.841556607107115,-73.93901884675451,"{'latitude': '40.841556607107115', 'longitude': '-73.93901884675451', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",AUDUBON AVENUE,BROADWAY,AUDUBON AVENUE,BROADWAY,WEST  169 STREET,,,,,,,
58874392,2023-09-20T19:51:09.000,,TLC,Taxi and Limousine Commission,For Hire Vehicle Complaint,Driver Complaint - Non Passenger,Street,10019,152 WEST   52 STREET,WEST   52 STREET,ADDRESS,NEW YORK,In Progress,"The Taxi and Limousine Commission (TLC) has received your complaint. Within 30 days, the TLC representative who will be handling your case will contact you.",2023-09-21T12:13:43.000,05 MANHATTAN,1010040020,MANHATTAN,989356,216896,ONLINE,Unspecified,MANHATTAN,40.76200439219983,-73.9815683134098,"{'latitude': '40.76200439219983', 'longitude': '-73.9815683134098', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",6 1/2 AVENUE,7 AVENUE,6 1/2 AVENUE,7 AVENUE,WEST   52 STREET,,,,"152 WEST   52 STREET, MANHATTAN (NEW YORK), NY, 10019",,,
58876368,2023-09-20T19:50:34.000,2023-09-20T20:01:43.000,NYPD,New York City Police Department,Noise - Residential,Banging/Pounding,Residential Building/House,11234,1770 EAST   53 STREET,EAST   53 STREET,ADDRESS,BROOKLYN,Closed,The Police Department responded to the complaint and took action to fix the condition.,2023-09-20T20:01:47.000,18 BROOKLYN,3084920066,BROOKLYN,1005464,163502,MOBILE,Unspecified,BROOKLYN,40.61542624810689,-73.92358964995634,"{'latitude': '40.61542624810689', 'longitude': '-73.92358964995634', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",AVENUE O,FILLMORE AVENUE,AVENUE O,FILLMORE AVENUE,EAST   53 STREET,,,,,,,
58878753,2023-09-20T19:50:32.000,2023-09-20T20:09:15.000,NYPD,New York City Police Department,Illegal Parking,Posted Parking Sign Violation,Street/Sidewalk,10019,152 WEST   52 STREET,WEST   52 STREET,ADDRESS,NEW YORK,Closed,The Police Department responded to the complaint and took action to fix the condition.,2023-09-20T20:09:20.000,05 MANHATTAN,1010040020,MANHATTAN,989356,216896,ONLINE,Unspecified,MANHATTAN,40.76200439219983,-73.9815683134098,"{'latitude': '40.76200439219983', 'longitude': '-73.9815683134098', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",6 1/2 AVENUE,7 AVENUE,6 1/2 AVENUE,7 AVENUE,WEST   52 STREET,,,,,,,
58871688,2023-09-20T19:50:31.000,2023-09-21T02:41:44.000,NYPD,New York City Police Department,Noise - Residential,Loud Talking,Residential Building/House,10472,1118 OLMSTEAD AVENUE,OLMSTEAD AVENUE,ADDRESS,BRONX,Closed,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,2023-09-21T02:41:48.000,09 BRONX,2038090009,BRONX,1024740,241636,MOBILE,Unspecified,BRONX,40.82981763975472,-73.8536897873431,"{'latitude': '40.82981763975472', 'longitude': '-73.8536897873431', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",WATSON AVENUE,HAVILAND AVENUE,WATSON AVENUE,HAVILAND AVENUE,OLMSTEAD AVENUE,,,,,,,
58873713,2023-09-20T19:50:30.000,2023-09-20T19:54:47.000,NYPD,New York City Police Department,Noise - Residential,Banging/Pounding,Residential Building/House,11373,40-26 BENHAM STREET,BENHAM STREET,ADDRESS,ELMHURST,Closed,The Police Department responded to the complaint and determined that police action was not necessary.,2023-09-20T19:54:50.000,04 QUEENS,4015510024,QUEENS,1018899,211926,ONLINE,Unspecified,QUEENS,40.74829659827454,-73.87494941017859,"{'latitude': '40.74829659827454', 'longitude': '-73.87494941017859', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",ROOSEVELT AVENUE,WHITNEY AVENUE,ROOSEVELT AVENUE,WHITNEY AVENUE,BENHAM STREET,,,,,,,
58879887,2023-09-20T19:50:02.000,2023-10-31T10:46:25.000,DCWP,Department of Consumer and Worker Protection,Consumer Complaint,Supermarket or Grocery Store,Business,11372,37-08 73 STREET,73 STREET,ADDRESS,JACKSON HEIGHTS,Closed,The Department of Consumer and Worker Protection (DCWP) closed your complaint. It was closed because you didn't submit a completed complaint form or requested documents within 30 days of DCWP's request.,2023-10-31T10:46:35.000,03 QUEENS,4012830009,QUEENS,1013995,211976,PHONE,Unspecified,QUEENS,40.74845169112677,-73.89264803828516,"{'latitude': '40.74845169112677', 'longitude': '-73.89264803828516', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",37 AVENUE,37 ROAD,37 AVENUE,37 ROAD,73 STREET,,,,,,,
