unique_key,created_date,closed_date,agency,agency_name,complaint_type,descriptor,location_type,incident_zip,incident_address,street_name,cross_street_1,cross_street_2,intersection_street_1,intersection_street_2,address_type,city,landmark,status,resolution_description,resolution_action_updated_date,community_board,bbl,borough,x_coordinate_state_plane,y_coordinate_state_plane,open_data_channel_type,park_facility_name,park_borough,latitude,longitude,location,facility_type,taxi_pick_up_location,due_date,bridge_highway_name,road_ramp,bridge_highway_segment,bridge_highway_direction
58807912,2023-09-13T15:34:28.000,2023-09-13T16:17:00.000,NYPD,New York City Police Department,Illegal Parking,Blocked Hydrant,Street/Sidewalk,10028,45 EAST   82 STREET,EAST   82 STREET,MADISON AVENUE,PARK AVENUE,MADISON AVENUE,PARK AVENUE,ADDRESS,NEW YORK,EAST   82 STREET,Closed,The Police Department issued a summons in response to the complaint.,2023-09-13T16:17:03.000,08 MANHATTAN,1014940023,MANHATTAN,995258,222760,MOBILE,Unspecified,MANHATTAN,40.77809416502118,-73.96025361597272,"{'latitude': '40.77809416502118', 'longitude': '-73.96025361597272', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
58806380,2023-09-13T15:34:26.000,2023-09-15T10:02:30.000,DSNY,Department of Sanitation,Missed Collection,Recycling - Metal/Glass/Rigid Plastic,Street,11434,155-34 115 ROAD,115 ROAD,155 STREET,157 STREET,155 STREET,157 STREET,ADDRESS,JAMAICA,115 ROAD,Closed,The Department of Sanitation collected the requested items.,2023-09-14T10:38:25.000,12 QUEENS,4121910023,QUEENS,1042445,188969,ONLINE,Unspecified,QUEENS,40.68516171088145,-73.79016902669073,"{'latitude': '40.68516171088145', 'longitude': '-73.79016902669073', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
58804808,2023-09-13T15:34:20.000,,DPR,Department of Parks and Recreation,Dead/Dying Tree,Planted More Than 2 Years Ago,Street,11385,80-15 88 STREET,88 STREET,UNION TURNPIKE,81 AVENUE,UNION TURNPIKE,81 AVENUE,ADDRESS,RIDGEWOOD,88 STREET,In Progress,"NYC Parks reviewed this request and will visit the location to investigate the condition.  Under NYC Parksâ Tree Risk Management Program, all trees under the agency's jurisdiction are assessed for risk, and work is prioritized to address the conditions with the highest risk first.  For more information about the Tree Risk Management Program, visit the NYC Urban Forest page on the NYC Parks website at nyc.gov/parks/trees.   To learn more about the trees in your neighborhood, visit the NYC Tree Map at nyc.gov/parks/treemap.",2023-09-14T09:03:45.000,05 QUEENS,4038610005,QUEENS,1023073,195990,PHONE,Unspecified,QUEENS,40.704538871781885,-73.85997712089285,"{'latitude': '40.704538871781885', 'longitude': '-73.85997712089285', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
58806032,2023-09-13T15:34:19.000,2023-11-17T00:00:00.000,DOB,Department of Buildings,Elevator,Elevator - Single Device On Property/No Alternate Service,,10454,461 EAST  136 STREET,EAST  136 STREET,,,,,ADDRESS,BRONX,,Closed,The Department of Buildings investigated this complaint and determined that no further action was necessary.,2023-11-17T00:00:00.000,01 BRONX,2022810021,BRONX,1005865,233303,UNKNOWN,Unspecified,BRONX,40.80701226912716,-73.92192119965112,"{'latitude': '40.80701226912716', 'longitude': '-73.92192119965112', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
58800816,2023-09-13T15:34:19.000,2023-11-20T00:00:00.000,DOB,Department of Buildings,Elevator,Elevator - Single Device On Property/No Alternate Service,,10035,1997 LEXINGTON AVENUE,LEXINGTON AVENUE,,,,,ADDRESS,NEW YORK,,Closed,The Department of Buildings investigated this complaint and determined that no further action was necessary.,2023-11-20T00:00:00.000,11 MANHATTAN,1017700053,MANHATTAN,1001147,231559,UNKNOWN,Unspecified,MANHATTAN,40.80223575279979,-73.93896818173756,"{'latitude': '40.80223575279979', 'longitude': '-73.93896818173756', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
58809953,2023-09-13T15:34:14.000,2023-09-13T18:18:11.000,NYPD,New York City Police Department,Abandoned Vehicle,With License Plate,Street/Sidewalk,11239,516 SCHROEDERS AVENUE,SCHROEDERS AVENUE,ASHFORD STREET,ELTON STREET,ASHFORD STREET,ELTON STREET,ADDRESS,BROOKLYN,SCHROEDERS AVENUE,Closed,The Police Department responded to the complaint and determined that police action was not necessary.,2023-09-13T18:18:15.000,05 BROOKLYN,3044520423,BROOKLYN,1019422,177846,ONLINE,Unspecified,BROOKLYN,40.65475302381683,-73.87323985668276,"{'latitude': '40.65475302381683', 'longitude': '-73.87323985668276', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
58807491,2023-09-13T15:34:11.000,2023-09-19T07:06:27.000,DOT,Department of Transportation,Street Sign - Dangling,One Way,Street,10310,66 ELIZABETH AVENUE,ELIZABETH AVENUE,HOWARD COURT,RICHMOND TERRACE,HOWARD COURT,RICHMOND TERRACE,ADDRESS,STATEN ISLAND,ELIZABETH AVENUE,Closed,The Department of Transportation has completed the request or corrected the condition.,2023-09-19T07:06:36.000,01 STATEN ISLAND,5001500015,STATEN ISLAND,952978,173488,PHONE,Unspecified,STATEN ISLAND,40.64280589989987,-74.11268432709083,"{'latitude': '40.64280589989987', 'longitude': '-74.11268432709083', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
58809888,2023-09-13T15:34:07.000,2023-09-13T15:34:38.000,NYPD,New York City Police Department,Drug Activity,Use Outside,Street/Sidewalk,11366,78-15 PARSONS BOULEVARD,PARSONS BOULEVARD,78 AVENUE,78 ROAD,78 AVENUE,78 ROAD,ADDRESS,FRESH MEADOWS,PARSONS BOULEVARD,Closed,The Police Department responded to the complaint and determined that police action was not necessary.,2023-09-13T15:34:42.000,08 QUEENS,4068290001,QUEENS,1037000,202363,ONLINE,Unspecified,QUEENS,40.72195913199264,-73.80969682426189,"{'latitude': '40.72195913199264', 'longitude': '-73.80969682426189', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
58801150,2023-09-13T15:34:06.000,2023-09-14T12:27:50.000,DSNY,Department of Sanitation,Dirty Condition,Trash,Sidewalk,11369,100-10 ASTORIA BOULEVARD,ASTORIA BOULEVARD,100 STREET,101 STREET,100 STREET,101 STREET,ADDRESS,EAST ELMHURST,ASTORIA BOULEVARD,Closed,The Department of Sanitation investigated this complaint and found no condition at the location.,2023-09-14T12:27:54.000,03 QUEENS,4016880002,QUEENS,1020512,216900,PHONE,Unspecified,QUEENS,40.76194248055553,-73.86910116692567,"{'latitude': '40.76194248055553', 'longitude': '-73.86910116692567', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
58805105,2023-09-13T15:34:02.000,2023-09-14T15:07:14.000,DSNY,Department of Sanitation,Missed Collection,Recycling - Paper/Metal/Glass/Rigid Plastic,Street,11214,8657 18 AVENUE,18 AVENUE,86 STREET,BENSON AVENUE,86 STREET,BENSON AVENUE,ADDRESS,BROOKLYN,18 AVENUE,Closed,The Department of Sanitation collected the requested items.,2023-09-14T07:20:57.000,11 BROOKLYN,3063690023,BROOKLYN,983224,160149,PHONE,Unspecified,BROOKLYN,40.60624828898882,-74.00369502365393,"{'latitude': '40.60624828898882', 'longitude': '-74.00369502365393', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
58810319,2023-09-13T15:33:53.000,2023-09-14T12:46:58.000,DSNY,Department of Sanitation,Residential Disposal Complaint,Trash or Recycling Not Secure,Sidewalk,10025,BROADWAY,BROADWAY,BROADWAY,WEST  111 STREET,BROADWAY,WEST  111 STREET,INTERSECTION,,,Closed,The Department of Sanitation investigated this complaint and found no violation at the location.,2023-09-14T12:47:02.000,09 MANHATTAN,,MANHATTAN,993603,232499,ONLINE,Unspecified,MANHATTAN,40.80482700063083,-73.96621573139899,"{'latitude': '40.80482700063083', 'longitude': '-73.96621573139899', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
58807378,2023-09-13T15:33:50.000,,DPR,Department of Parks and Recreation,Overgrown Tree/Branches,Hitting Building,Street,11207,695 SHEFFIELD AVENUE,SHEFFIELD AVENUE,NEW LOTS AVENUE,HEGEMAN AVENUE,NEW LOTS AVENUE,HEGEMAN AVENUE,ADDRESS,BROOKLYN,SHEFFIELD AVENUE,In Progress,,,05 BROOKLYN,3042980053,BROOKLYN,1013958,179828,UNKNOWN,Unspecified,BROOKLYN,40.66021319158111,-73.89292339933905,"{'latitude': '40.66021319158111', 'longitude': '-73.89292339933905', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
58803488,2023-09-13T15:33:48.000,,DPR,Department of Parks and Recreation,New Tree Request,For One Address,Street,11101,5-25 47 ROAD,47 ROAD,5 STREET,VERNON BOULEVARD,5 STREET,VERNON BOULEVARD,ADDRESS,LONG ISLAND CITY,47 ROAD,In Progress,,,02 QUEENS,4000297506,QUEENS,996614,210773,UNKNOWN,Unspecified,QUEENS,40.74519114216852,-73.95537957907185,"{'latitude': '40.74519114216852', 'longitude': '-73.95537957907185', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
58800232,2023-09-13T15:33:47.000,2023-09-13T16:12:57.000,NYPD,New York City Police Department,Illegal Parking,Posted Parking Sign Violation,Street/Sidewalk,11237,190 MORGAN AVENUE,MORGAN AVENUE,SCHOLES STREET,STAGG STREET,SCHOLES STREET,STAGG STREET,ADDRESS,BROOKLYN,MORGAN AVENUE,Closed,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,2023-09-13T16:13:00.000,01 BROOKLYN,3029420221,BROOKLYN,1002684,198134,PHONE,Unspecified,BROOKLYN,40.7104896092004,-73.93350819529914,"{'latitude': '40.7104896092004', 'longitude': '-73.93350819529914', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
58802313,2023-09-13T15:33:40.000,2023-09-26T09:54:03.000,DPR,Department of Parks and Recreation,Maintenance or Facility,Garbage or Litter,Park,11207,84 SCHAEFER STREET,SCHAEFER STREET,BUSHWICK AVENUE,EVERGREEN AVENUE,BUSHWICK AVENUE,EVERGREEN AVENUE,ADDRESS,BROOKLYN,SCHAEFER STREET,Closed,NYC Parks has completed the requested work order and corrected the problem.,2023-09-26T09:54:01.000,04 BROOKLYN,3034270011,BROOKLYN,1009018,189489,MOBILE,Evergreen Playground,BROOKLYN,40.68674564882287,-73.91069313637917,"{'latitude': '40.68674564882287', 'longitude': '-73.91069313637917', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
58800872,2023-09-13T15:33:26.000,2023-09-24T10:00:56.000,DPR,Department of Parks and Recreation,Damaged Tree,Branch or Limb Has Fallen Down,Street,10463,3600 BAILEY AVENUE,BAILEY AVENUE,BAILEY PLACE,WEST  238 STREET,BAILEY PLACE,WEST  238 STREET,ADDRESS,BRONX,BAILEY AVENUE,Closed,NYC Parks performed the work necessary to correct the condition.,2023-09-24T10:00:59.000,08 BRONX,2032620041,BRONX,1012150,260898,ONLINE,Unspecified,BRONX,40.88273477952664,-73.89910340753762,"{'latitude': '40.88273477952664', 'longitude': '-73.89910340753762', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
58807072,2023-09-13T15:32:49.000,2023-09-14T17:06:49.000,HPD,Department of Housing Preservation and Development,HEAT/HOT WATER,ENTIRE BUILDING,RESIDENTIAL BUILDING,10467,300 RESERVOIR PLACE,RESERVOIR PLACE,,,,,ADDRESS,BRONX,,Closed,"The Department of Housing Preservation and Development responded to a complaint of no heat or hot water and was advised by a tenant in the building that heat and hot water had been restored. If the condition still exists, please file a new complaint.",2023-09-14T00:00:00.000,07 BRONX,2033430155,BRONX,1018929,259545,PHONE,Unspecified,BRONX,40.87899718439812,-73.8745951020196,"{'latitude': '40.87899718439812', 'longitude': '-73.8745951020196', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
58812980,2023-09-13T15:32:46.000,2023-09-14T12:05:00.000,DOT,Department of Transportation,Street Condition,Pothole,,11417,,,,,95 STREET,LINDEN BOULEVARD,INTERSECTION,QUEENS,,Closed,The Department of Transportation inspected this complaint and repaired the problem.,2023-09-14T12:05:00.000,10 QUEENS,,QUEENS,1028200,184860,UNKNOWN,Unspecified,QUEENS,40.67396565142161,-73.84155822052071,"{'latitude': '40.67396565142161', 'longitude': '-73.84155822052071', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",N/A,,,,,,
58809266,2023-09-13T15:32:46.000,2023-09-13T15:43:41.000,NYPD,New York City Police Department,Illegal Parking,Blocked Sidewalk,Street/Sidewalk,11231,191 UNION STREET,UNION STREET,HICKS STREET,HENRY STREET,HICKS STREET,HENRY STREET,ADDRESS,BROOKLYN,UNION STREET,Closed,The Police Department responded to the complaint and determined that police action was not necessary.,2023-09-13T15:43:45.000,06 BROOKLYN,3003370027,BROOKLYN,984166,188346,ONLINE,Unspecified,BROOKLYN,40.68364302931577,-74.00030286766025,"{'latitude': '40.68364302931577', 'longitude': '-74.00030286766025', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
58805865,2023-09-13T15:32:43.000,2023-09-28T11:23:34.000,HPD,Department of Housing Preservation and Development,PAINT/PLASTER,WALL,RESIDENTIAL BUILDING,10003,222 EAST   19 STREET,EAST   19 STREET,,,,,ADDRESS,NEW YORK,,Closed,The Department of Housing Preservation and Development inspected the following conditions. Violations were issued. Information about specific violations is available at www.nyc.gov/hpd,2023-09-28T00:00:00.000,06 MANHATTAN,1008990040,MANHATTAN,988705,207400,PHONE,Unspecified,MANHATTAN,40.73594061706384,-73.98392458991265,"{'latitude': '40.73594061706384', 'longitude': '-73.98392458991265', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
58803207,2023-09-13T15:32:43.000,2023-09-27T18:55:14.000,HPD,Department of Housing Preservation and Development,PAINT/PLASTER,WALL,RESIDENTIAL BUILDING,10003,222 EAST   19 STREET,EAST   19 STREET,,,,,ADDRESS,NEW YORK,,Closed,The Department of Housing Preservation and Development inspected the following conditions. Violations were issued. Information about specific violations is available at www.nyc.gov/hpd,2023-09-27T00:00:00.000,06 MANHATTAN,1008990040,MANHATTAN,988705,207400,PHONE,Unspecified,MANHATTAN,40.73594061706384,-73.98392458991265,"{'latitude': '40.73594061706384', 'longitude': '-73.98392458991265', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
58808431,2023-09-13T15:32:43.000,2023-09-15T17:35:47.000,HPD,Department of Housing Preservation and Development,PLUMBING,BASIN/SINK,RESIDENTIAL BUILDING,10032,1941 AMSTERDAM AVENUE,AMSTERDAM AVENUE,,,,,ADDRESS,NEW YORK,,Closed,"The Department of Housing Preservation and Development contacted an occupant of the apartment and verified that the following conditions were corrected. The complaint has been closed. If the condition still exists, please file a new complaint.",2023-09-15T00:00:00.000,12 MANHATTAN,1021070059,MANHATTAN,1000189,242532,ONLINE,Unspecified,MANHATTAN,40.832355330775925,-73.94240240775395,"{'latitude': '40.832355330775925', 'longitude': '-73.94240240775395', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
58808345,2023-09-13T15:32:42.000,2023-11-12T09:15:18.000,HPD,Department of Housing Preservation and Development,APPLIANCE,ELECTRIC/GAS RANGE,RESIDENTIAL BUILDING,10040,20 SHERMAN AVENUE,SHERMAN AVENUE,,,,,ADDRESS,NEW YORK,,Closed,The Department of Housing Preservation and Development inspected the following conditions. No violations were issued. The complaint has been closed.,2023-11-12T00:00:00.000,12 MANHATTAN,1021750100,MANHATTAN,1004033,253579,ONLINE,Unspecified,MANHATTAN,40.86266830600508,-73.92847903972765,"{'latitude': '40.86266830600508', 'longitude': '-73.92847903972765', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
58810384,2023-09-13T15:32:24.000,2023-09-14T11:01:11.000,DSNY,Department of Sanitation,Residential Disposal Complaint,Waste Set Out Too Early or Too Late,Sidewalk,11210,1009 EAST   37 STREET,EAST   37 STREET,GLENWOOD ROAD,AVENUE H,GLENWOOD ROAD,AVENUE H,ADDRESS,BROOKLYN,EAST   37 STREET,Closed,The Department of Sanitation investigated this complaint and issued a Notice of Violation.,2023-09-14T11:01:15.000,17 BROOKLYN,3075650107,BROOKLYN,1000676,169705,ONLINE,Unspecified,BROOKLYN,40.63246235090286,-73.94082036636169,"{'latitude': '40.63246235090286', 'longitude': '-73.94082036636169', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
58805161,2023-09-13T15:32:04.000,2023-09-13T17:04:14.000,DSNY,Department of Sanitation,Vendor Enforcement,Non-Food Vendor,Street,11691,233 BEACH   20 STREET,BEACH   20 STREET,SEAGIRT BOULEVARD,PLAINVIEW AVENUE,SEAGIRT BOULEVARD,PLAINVIEW AVENUE,ADDRESS,FAR ROCKAWAY,BEACH   20 STREET,Closed,N/A,2023-09-13T17:04:19.000,14 QUEENS,4157800075,QUEENS,1052537,156515,ONLINE,Unspecified,QUEENS,40.59601068660218,-73.75410942954504,"{'latitude': '40.59601068660218', 'longitude': '-73.75410942954504', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
58802456,2023-09-13T15:31:56.000,2023-09-19T11:02:48.000,DOT,Department of Transportation,Outdoor Dining,Site Setup Condition,Street,10007,22 LAFAYETTE STREET,LAFAYETTE STREET,DUANE STREET,WORTH STREET,DUANE STREET,WORTH STREET,ADDRESS,NEW YORK,LAFAYETTE STREET,Closed,"The Department of Transportation's inspectors could not find the address you reported. If you would like to pursue the complaint, please check the address and submit a new Service Request.",2023-09-19T11:02:52.000,01 MANHATTAN,1001560001,MANHATTAN,983356,199634,ONLINE,Unspecified,MANHATTAN,40.7146259099223,-74.00322487558958,"{'latitude': '40.7146259099223', 'longitude': '-74.00322487558958', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
58803764,2023-09-13T15:31:54.000,2023-09-28T16:29:36.000,DSNY,Department of Sanitation,Illegal Dumping,Removal Request,Sidewalk,10455,2856 3 AVENUE,3 AVENUE,EAST  149 STREET,EAST  150 STREET,EAST  149 STREET,EAST  150 STREET,ADDRESS,BRONX,3 AVENUE,Closed,The Department of Sanitation investigated this complaint and found no condition at the location.,2023-09-14T05:20:53.000,01 BRONX,2022940002,BRONX,1007124,236656,ONLINE,Unspecified,BRONX,40.816212147508466,-73.91736195237984,"{'latitude': '40.816212147508466', 'longitude': '-73.91736195237984', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
58803047,2023-09-13T15:31:45.000,2023-09-13T15:47:58.000,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,Residential Building/House,10456,1465 WASHINGTON AVENUE,WASHINGTON AVENUE,ST PAULS PLACE,EAST  171 STREET,ST PAULS PLACE,EAST  171 STREET,ADDRESS,BRONX,WASHINGTON AVENUE,Closed,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,2023-09-13T15:48:02.000,03 BRONX,2029020036,BRONX,1010885,244212,ONLINE,Unspecified,BRONX,40.83694066292417,-73.90374441298103,"{'latitude': '40.83694066292417', 'longitude': '-73.90374441298103', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
