unique_key,created_date,closed_date,agency,agency_name,complaint_type,descriptor,incident_zip,incident_address,street_name,cross_street_1,cross_street_2,address_type,city,status,resolution_description,resolution_action_updated_date,community_board,bbl,borough,x_coordinate_state_plane,y_coordinate_state_plane,open_data_channel_type,park_facility_name,park_borough,latitude,longitude,location,intersection_street_1,intersection_street_2,location_type,landmark,facility_type,taxi_pick_up_location,bridge_highway_name,bridge_highway_direction,bridge_highway_segment,due_date,road_ramp
58967477,2023-09-29T09:13:47.000,,HPD,Department of Housing Preservation and Development,OUTSIDE BUILDING,ROOFING,11238,580 VANDERBILT AVENUE,VANDERBILT AVENUE,,,ADDRESS,BROOKLYN,Open,The following complaint conditions are still open. HPD may attempt to contact you to verify the correction of the condition or may conduct an inspection.,2023-09-29T00:00:00.000,08 BROOKLYN,3011440053,BROOKLYN,993030,186701,PHONE,Unspecified,BROOKLYN,40.67912352424983,-73.9683452630711,"{'latitude': '40.67912352424983', 'longitude': '-73.9683452630711', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,RESIDENTIAL BUILDING,,,,,,,,
58958197,2023-09-29T09:13:44.000,,HPD,Department of Housing Preservation and Development,GENERAL,JANITOR/SUPER,10474,700 FAILE STREET,FAILE STREET,,,ADDRESS,BRONX,Open,The following complaint conditions are still open. HPD may attempt to contact you to verify the correction of the condition or may conduct an inspection.,2023-09-29T00:00:00.000,02 BRONX,2027630185,BRONX,1015671,236072,PHONE,Unspecified,BRONX,40.814582966589676,-73.88648654051426,"{'latitude': '40.814582966589676', 'longitude': '-73.88648654051426', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,RESIDENTIAL BUILDING,,,,,,,,
59442221,2023-09-29T09:13:43.000,2023-09-29T10:30:00.000,DEP,Department of Environmental Protection,Sewer Maintenance,Flooding on Street,11215,224 9 STREET,9 STREET,3 AVENUE,4 AVENUE,ADDRESS,BROOKLYN,Closed,,2023-09-29T10:30:00.000,06 BROOKLYN,3010090021,BROOKLYN,987058,183705,PHONE,Unspecified,BROOKLYN,40.67090408774954,-73.98987750050192,"{'latitude': '40.67090408774954', 'longitude': '-73.98987750050192', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",3 AVENUE,4 AVENUE,Street,9 STREET,,,,,,,
58965952,2023-09-29T09:13:42.000,2023-10-12T06:57:40.000,HPD,Department of Housing Preservation and Development,PAINT/PLASTER,WALL,10462,1604 METROPOLITAN AVENUE,METROPOLITAN AVENUE,,,ADDRESS,BRONX,Closed,"The Department of Housing Preservation and Development was not able to gain access to inspect the following conditions. The complaint has been closed. If the condition still exists, please file a new complaint.",2023-10-12T00:00:00.000,09 BRONX,2039437501,BRONX,1023866,245409,PHONE,Unspecified,BRONX,40.84017738474189,-73.85682568823603,"{'latitude': '40.84017738474189', 'longitude': '-73.85682568823603', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,RESIDENTIAL BUILDING,,,,,,,,
58967649,2023-09-29T09:13:42.000,2023-10-12T06:57:39.000,HPD,Department of Housing Preservation and Development,WATER LEAK,DAMP SPOT,10462,1604 METROPOLITAN AVENUE,METROPOLITAN AVENUE,,,ADDRESS,BRONX,Closed,"The Department of Housing Preservation and Development was not able to gain access to inspect the following conditions. The complaint has been closed. If the condition still exists, please file a new complaint.",2023-10-12T00:00:00.000,09 BRONX,2039437501,BRONX,1023866,245409,PHONE,Unspecified,BRONX,40.84017738474189,-73.85682568823603,"{'latitude': '40.84017738474189', 'longitude': '-73.85682568823603', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,RESIDENTIAL BUILDING,,,,,,,,
58967810,2023-09-29T09:13:41.000,2023-10-04T21:45:44.000,HPD,Department of Housing Preservation and Development,WATER LEAK,HEAVY FLOW,11203,637 HAWTHORNE STREET,HAWTHORNE STREET,,,ADDRESS,BROOKLYN,Closed,The Department of Housing Preservation and Development inspected the following conditions. No violations were issued. The complaint has been closed.,2023-10-04T00:00:00.000,09 BROOKLYN,3048180069,BROOKLYN,1001144,179216,ONLINE,Unspecified,BROOKLYN,40.65856710744187,-73.93911043657886,"{'latitude': '40.65856710744187', 'longitude': '-73.93911043657886', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,RESIDENTIAL BUILDING,,,,,,,,
58961426,2023-09-29T09:13:39.000,,HPD,Department of Housing Preservation and Development,UNSANITARY CONDITION,PESTS,11238,542 ST MARKS AVENUE,ST MARKS AVENUE,,,ADDRESS,BROOKLYN,Open,The following complaint conditions are still open. HPD may attempt to contact you to verify the correction of the condition or may conduct an inspection.,2023-09-29T00:00:00.000,08 BROOKLYN,3011560045,BROOKLYN,996321,185567,ONLINE,Unspecified,BROOKLYN,40.67600707488465,-73.95648217750619,"{'latitude': '40.67600707488465', 'longitude': '-73.95648217750619', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,RESIDENTIAL BUILDING,,,,,,,,
58958589,2023-09-29T09:13:38.000,2023-10-05T10:37:00.000,HPD,Department of Housing Preservation and Development,WATER LEAK,SLOW LEAK,10461,3439 BRUCKNER BOULEVARD,BRUCKNER BOULEVARD,,,ADDRESS,BRONX,Closed,"The Department of Housing Preservation and Development contacted an occupant of the apartment and verified that the following conditions were corrected. The complaint has been closed. If the condition still exists, please file a new complaint.",2023-10-05T00:00:00.000,10 BRONX,2041740010,BRONX,1032310,247506,ONLINE,Unspecified,BRONX,40.8458911070739,-73.82629367163656,"{'latitude': '40.8458911070739', 'longitude': '-73.82629367163656', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,RESIDENTIAL BUILDING,,,,,,,,
58967799,2023-09-29T09:13:37.000,2023-10-17T20:55:18.000,HPD,Department of Housing Preservation and Development,WATER LEAK,HEAVY FLOW,11225,348 EMPIRE BOULEVARD,EMPIRE BOULEVARD,,,ADDRESS,BROOKLYN,Closed,The Department of Housing Preservation and Development inspected the following conditions. Violations were issued. Information about specific violations is available at www.nyc.gov/hpd,2023-10-17T00:00:00.000,09 BROOKLYN,3013160010,BROOKLYN,997958,181165,PHONE,Unspecified,BROOKLYN,40.66392218699363,-73.95058949206947,"{'latitude': '40.66392218699363', 'longitude': '-73.95058949206947', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,RESIDENTIAL BUILDING,,,,,,,,
58967776,2023-09-29T09:13:36.000,2023-10-06T16:17:37.000,HPD,Department of Housing Preservation and Development,WATER LEAK,HEAVY FLOW,11210,2004 GLENWOOD ROAD,GLENWOOD ROAD,,,ADDRESS,BROOKLYN,Closed,The Department of Housing Preservation and Development inspected the following conditions. Violations were issued. Information about specific violations is available at www.nyc.gov/hpd,2023-10-06T00:00:00.000,14 BROOKLYN,3075480043,BROOKLYN,996029,169865,PHONE,Unspecified,BROOKLYN,40.63290891518187,-73.95756230711028,"{'latitude': '40.63290891518187', 'longitude': '-73.95756230711028', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,RESIDENTIAL BUILDING,,,,,,,,
58958553,2023-09-29T09:13:36.000,2023-10-06T16:17:37.000,HPD,Department of Housing Preservation and Development,WATER LEAK,SLOW LEAK,11210,2004 GLENWOOD ROAD,GLENWOOD ROAD,,,ADDRESS,BROOKLYN,Closed,The Department of Housing Preservation and Development inspected the following conditions. Violations were issued. Information about specific violations is available at www.nyc.gov/hpd,2023-10-06T00:00:00.000,14 BROOKLYN,3075480043,BROOKLYN,996029,169865,PHONE,Unspecified,BROOKLYN,40.63290891518187,-73.95756230711028,"{'latitude': '40.63290891518187', 'longitude': '-73.95756230711028', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,RESIDENTIAL BUILDING,,,,,,,,
59010246,2023-09-29T09:13:36.000,2023-09-29T10:41:33.000,NYPD,New York City Police Department,Illegal Parking,Blocked Hydrant,11229,2365 EAST   13 STREET,EAST   13 STREET,GRAVESEND NECK ROAD,AVENUE X,ADDRESS,BROOKLYN,Closed,The Police Department responded and upon arrival those responsible for the condition were gone.,2023-09-29T10:41:36.000,15 BROOKLYN,3073980027,BROOKLYN,996172,155119,MOBILE,Unspecified,BROOKLYN,40.59243399868675,-73.95707313793193,"{'latitude': '40.59243399868675', 'longitude': '-73.95707313793193', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",GRAVESEND NECK ROAD,AVENUE X,Street/Sidewalk,EAST   13 STREET,,,,,,,
58965835,2023-09-29T09:13:36.000,2023-10-06T16:17:37.000,HPD,Department of Housing Preservation and Development,ELECTRIC,LIGHTING,11210,2004 GLENWOOD ROAD,GLENWOOD ROAD,,,ADDRESS,BROOKLYN,Closed,The Department of Housing Preservation and Development inspected the following conditions. Violations were issued. Information about specific violations is available at www.nyc.gov/hpd,2023-10-06T00:00:00.000,14 BROOKLYN,3075480043,BROOKLYN,996029,169865,PHONE,Unspecified,BROOKLYN,40.63290891518187,-73.95756230711028,"{'latitude': '40.63290891518187', 'longitude': '-73.95756230711028', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,RESIDENTIAL BUILDING,,,,,,,,
59459400,2023-09-29T09:13:29.000,2023-09-29T09:30:00.000,DEP,Department of Environmental Protection,Sewer Maintenance,Backup,11226,3212 CHURCH AVENUE,CHURCH AVENUE,EAST   32 STREET,NEW YORK AVENUE,ADDRESS,BROOKLYN,Closed,,2023-09-29T09:30:00.000,17 BROOKLYN,3048860005,BROOKLYN,998839,176422,PHONE,Unspecified,BROOKLYN,40.650902287301776,-73.94742418799953,"{'latitude': '40.650902287301776', 'longitude': '-73.94742418799953', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",EAST   32 STREET,NEW YORK AVENUE,Sewer,CHURCH AVENUE,,,,,,,
58961531,2023-09-29T09:13:23.000,2023-10-01T17:50:23.000,HPD,Department of Housing Preservation and Development,WATER LEAK,HEAVY FLOW,11201,57 JAY STREET,JAY STREET,,,ADDRESS,BROOKLYN,Closed,The Department of Housing Preservation and Development inspected the following conditions. No violations were issued. The complaint has been closed.,2023-10-01T00:00:00.000,02 BROOKLYN,3000410007,BROOKLYN,987952,195379,ONLINE,Unspecified,BROOKLYN,40.702946213299796,-73.98664832455788,"{'latitude': '40.702946213299796', 'longitude': '-73.98664832455788', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,RESIDENTIAL BUILDING,,,,,,,,
59455391,2023-09-29T09:13:22.000,2023-10-12T00:00:00.000,HPD,Department of Housing Preservation and Development,Paint/Plaster,Wall,10462,1604 METROPOLITAN AVENUE,METROPOLITAN AVENUE,RED OAK DRIVE,LINDEN DRIVE,ADDRESS,BRONX,Closed,,2023-10-12T00:00:00.000,09 BRONX,2039437501,BRONX,1023866,245409,PHONE,Unspecified,BRONX,40.84017738474189,-73.85682568823603,"{'latitude': '40.84017738474189', 'longitude': '-73.85682568823603', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",RED OAK DRIVE,LINDEN DRIVE,Apartment,METROPOLITAN AVENUE,,,,,,,
58964228,2023-09-29T09:13:21.000,2023-10-29T16:37:33.000,HPD,Department of Housing Preservation and Development,ELECTRIC,LIGHTING,11203,743 FENIMORE STREET,FENIMORE STREET,,,ADDRESS,BROOKLYN,Closed,The Department of Housing Preservation and Development inspected the following conditions. No violations were issued. The complaint has been closed.,2023-10-29T00:00:00.000,09 BROOKLYN,,BROOKLYN,1001511,179552,ONLINE,Unspecified,BROOKLYN,40.65948864549636,-73.93778683100162,"{'latitude': '40.65948864549636', 'longitude': '-73.93778683100162', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,RESIDENTIAL BUILDING,,,,,,,,
58962687,2023-09-29T09:13:21.000,2023-10-29T16:37:33.000,HPD,Department of Housing Preservation and Development,ELECTRIC,LIGHTING,11203,743 FENIMORE STREET,FENIMORE STREET,,,ADDRESS,BROOKLYN,Closed,The Department of Housing Preservation and Development inspected the following conditions. Violations were issued. Information about specific violations is available at www.nyc.gov/hpd,2023-10-29T00:00:00.000,09 BROOKLYN,,BROOKLYN,1001511,179552,ONLINE,Unspecified,BROOKLYN,40.65948864549636,-73.93778683100162,"{'latitude': '40.65948864549636', 'longitude': '-73.93778683100162', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,RESIDENTIAL BUILDING,,,,,,,,
58956770,2023-09-29T09:13:19.000,2023-10-06T13:34:40.000,HPD,Department of Housing Preservation and Development,UNSANITARY CONDITION,GARBAGE/RECYCLING STORAGE,11207,1114 HALSEY STREET,HALSEY STREET,,,ADDRESS,BROOKLYN,Closed,The Department of Housing Preservation and Development inspected the following conditions. No violations were issued. The complaint has been closed.,2023-10-06T00:00:00.000,04 BROOKLYN,3034100021,BROOKLYN,1008735,190414,ONLINE,Unspecified,BROOKLYN,40.68928534764101,-73.91171019723333,"{'latitude': '40.68928534764101', 'longitude': '-73.91171019723333', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,RESIDENTIAL BUILDING,,,,,,,,
58961347,2023-09-29T09:13:19.000,2023-10-06T13:34:40.000,HPD,Department of Housing Preservation and Development,PLUMBING,WATER SUPPLY,11207,1114 HALSEY STREET,HALSEY STREET,,,ADDRESS,BROOKLYN,Closed,The Department of Housing Preservation and Development inspected the following conditions. No violations were issued. The complaint has been closed.,2023-10-06T00:00:00.000,04 BROOKLYN,3034100021,BROOKLYN,1008735,190414,ONLINE,Unspecified,BROOKLYN,40.68928534764101,-73.91171019723333,"{'latitude': '40.68928534764101', 'longitude': '-73.91171019723333', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,RESIDENTIAL BUILDING,,,,,,,,
58961481,2023-09-29T09:13:17.000,2023-10-12T06:57:44.000,HPD,Department of Housing Preservation and Development,WATER LEAK,HEAVY FLOW,11207,445 NEW LOTS AVENUE,NEW LOTS AVENUE,,,ADDRESS,BROOKLYN,Closed,"The Department of Housing Preservation and Development was not able to gain access to inspect the following conditions. The complaint has been closed. If the condition still exists, please file a new complaint.",2023-10-12T00:00:00.000,05 BROOKLYN,3038420030,BROOKLYN,1014453,180738,PHONE,Unspecified,BROOKLYN,40.66270926416329,-73.89113519548634,"{'latitude': '40.66270926416329', 'longitude': '-73.89113519548634', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,RESIDENTIAL BUILDING,,,,,,,,
58958125,2023-09-29T09:13:16.000,2023-10-02T09:25:30.000,HPD,Department of Housing Preservation and Development,DOOR/WINDOW,DOOR,10001,286 8 AVENUE,8 AVENUE,,,ADDRESS,NEW YORK,Closed,The Department of Housing Preservation and Development inspected the following conditions. No violations were issued. The complaint has been closed.,2023-10-02T00:00:00.000,04 MANHATTAN,1007740004,MANHATTAN,984857,211140,ONLINE,Unspecified,MANHATTAN,40.74620708756184,-73.99780936530539,"{'latitude': '40.74620708756184', 'longitude': '-73.99780936530539', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,RESIDENTIAL BUILDING,,,,,,,,
58961332,2023-09-29T09:13:16.000,2023-10-02T09:25:30.000,HPD,Department of Housing Preservation and Development,PLUMBING,BATHTUB/SHOWER,10001,286 8 AVENUE,8 AVENUE,,,ADDRESS,NEW YORK,Closed,The Department of Housing Preservation and Development inspected the following conditions. No violations were issued. The complaint has been closed.,2023-10-02T00:00:00.000,04 MANHATTAN,1007740004,MANHATTAN,984857,211140,ONLINE,Unspecified,MANHATTAN,40.74620708756184,-73.99780936530539,"{'latitude': '40.74620708756184', 'longitude': '-73.99780936530539', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,RESIDENTIAL BUILDING,,,,,,,,
58958264,2023-09-29T09:13:16.000,2023-10-02T09:25:30.000,HPD,Department of Housing Preservation and Development,PAINT/PLASTER,CEILING,10001,286 8 AVENUE,8 AVENUE,,,ADDRESS,NEW YORK,Closed,The Department of Housing Preservation and Development inspected the following conditions. No violations were issued. The complaint has been closed.,2023-10-02T00:00:00.000,04 MANHATTAN,1007740004,MANHATTAN,984857,211140,ONLINE,Unspecified,MANHATTAN,40.74620708756184,-73.99780936530539,"{'latitude': '40.74620708756184', 'longitude': '-73.99780936530539', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,RESIDENTIAL BUILDING,,,,,,,,
59439092,2023-09-29T09:13:16.000,2023-10-12T00:00:00.000,HPD,Department of Housing Preservation and Development,Water Leak,Damp Spot,10462,1604 METROPOLITAN AVENUE,METROPOLITAN AVENUE,RED OAK DRIVE,LINDEN DRIVE,ADDRESS,BRONX,Closed,,2023-10-12T00:00:00.000,09 BRONX,2039437501,BRONX,1023866,245409,PHONE,Unspecified,BRONX,40.84017738474189,-73.85682568823603,"{'latitude': '40.84017738474189', 'longitude': '-73.85682568823603', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",RED OAK DRIVE,LINDEN DRIVE,Apartment,METROPOLITAN AVENUE,,,,,,,
59456020,2023-09-29T09:13:08.000,2023-09-29T09:30:00.000,DEP,Department of Environmental Protection,Sewer Maintenance,Backup,10474,1251 EAST BAY AVENUE,EAST BAY AVENUE,BARRETTO STREET,MANIDA STREET,ADDRESS,BRONX,Closed,,2023-09-29T09:30:00.000,02 BRONX,2027710219,BRONX,1015467,233812,ONLINE,Unspecified,BRONX,40.80838062348626,-73.88723403328578,"{'latitude': '40.80838062348626', 'longitude': '-73.88723403328578', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",BARRETTO STREET,MANIDA STREET,Sewer,EAST BAY AVENUE,,,,,,,
59445622,2023-09-29T09:13:06.000,2023-09-29T19:50:00.000,DEP,Department of Environmental Protection,Sewer Maintenance,Backup,11215,287 1 STREET,1 STREET,4 AVENUE,5 AVENUE,ADDRESS,BROOKLYN,Closed,,2023-09-29T19:50:00.000,06 BROOKLYN,,BROOKLYN,988886,185015,PHONE,Unspecified,BROOKLYN,40.67449897523158,-73.98328688128719,"{'latitude': '40.67449897523158', 'longitude': '-73.98328688128719', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",4 AVENUE,5 AVENUE,Sewer,1 STREET,,,,,,,
59452601,2023-09-29T09:13:04.000,2023-09-29T11:45:00.000,DEP,Department of Environmental Protection,Sewer Maintenance,Catch Basin Clogged,11357,164-20 CRYDERS LANE,CRYDERS LANE,164 STREET,165 STREET,ADDRESS,WHITESTONE,Closed,,2023-09-29T11:45:00.000,07 QUEENS,4045990066,QUEENS,1040138,226615,ONLINE,Unspecified,QUEENS,40.78850525410544,-73.7981744949928,"{'latitude': '40.78850525410544', 'longitude': '-73.7981744949928', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",164 STREET,165 STREET,Sewer,CRYDERS LANE,,,,,,,
59436010,2023-09-29T09:13:03.000,,HPD,Department of Housing Preservation and Development,Water Leak,Heavy Flow,11201,57 JAY STREET,JAY STREET,WATER STREET,FRONT STREET,ADDRESS,BROOKLYN,In Progress,,,02 BROOKLYN,,BROOKLYN,987952,195379,ONLINE,Unspecified,BROOKLYN,40.702946213299796,-73.98664832455788,"{'latitude': '40.702946213299796', 'longitude': '-73.98664832455788', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",WATER STREET,FRONT STREET,Public Area,JAY STREET,,,,,,,
58956357,2023-09-29T09:13:00.000,2023-09-29T10:20:00.000,DOT,Department of Transportation,Traffic Signal Condition,Controller,11219,,,,,INTERSECTION,BROOKLYN,Closed,Service Request status for this request is available on the Department of Transportationâs website. Please click the âLearn Moreâ link below.,2023-09-29T10:20:00.000,10 BROOKLYN,,BROOKLYN,980880,168323,UNKNOWN,Unspecified,BROOKLYN,40.62868364156365,-74.01214075606083,"{'latitude': '40.62868364156365', 'longitude': '-74.01214075606083', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",FORT HAMILTON PARKWAY,BAY RIDGE AVENUE,,,N/A,,,,,,
