unique_key,created_date,closed_date,agency,agency_name,complaint_type,descriptor,location_type,incident_zip,incident_address,street_name,cross_street_1,cross_street_2,intersection_street_1,intersection_street_2,address_type,city,landmark,status,resolution_description,resolution_action_updated_date,community_board,bbl,borough,x_coordinate_state_plane,y_coordinate_state_plane,open_data_channel_type,park_facility_name,park_borough,latitude,longitude,location,facility_type,taxi_pick_up_location,bridge_highway_name,bridge_highway_direction,bridge_highway_segment,taxi_company_borough,road_ramp,due_date
58969798,2023-09-30T20:45:00.000,2023-10-11T00:00:00.000,DOT,Department of Transportation,Street Light Condition,Traffic Signal Light,,,,,,,COLUMBUS AVE,98 ST W,INTERSECTION,,,Closed,Service Request status for this request is available on the Department of Transportationâs website. Please click the âLearn Moreâ link below.,2023-10-11T00:00:00.000,Unspecified MANHATTAN,,MANHATTAN,,,UNKNOWN,Unspecified,MANHATTAN,,,,,,,,,,,
58972244,2023-09-30T20:45:00.000,2023-09-30T21:15:00.000,DOT,Department of Transportation,Traffic Signal Condition,Push Button,,,,,,,CROSS BX EXPY S S/R,WATSON AVE,INTERSECTION,,,Closed,Service Request status for this request is available on the Department of Transportationâs website. Please click the âLearn Moreâ link below.,2023-09-30T21:15:00.000,Unspecified BRONX,,BRONX,,,UNKNOWN,Unspecified,BRONX,,,,N/A,,,,,,,
58970136,2023-09-30T20:44:59.000,2023-09-30T20:52:49.000,NYPD,New York City Police Department,Noise - Street/Sidewalk,Loud Music/Party,Street/Sidewalk,10016,143 EAST   35 STREET,EAST   35 STREET,LEXINGTON AVENUE,3 AVENUE,LEXINGTON AVENUE,3 AVENUE,ADDRESS,NEW YORK,EAST   35 STREET,Closed,The Police Department responded to the complaint and determined that police action was not necessary.,2023-09-30T20:52:53.000,06 MANHATTAN,1008910029,MANHATTAN,990092,211408,ONLINE,Unspecified,MANHATTAN,40.74694077142552,-73.97891626202974,"{'latitude': '40.74694077142552', 'longitude': '-73.97891626202974', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,
58970466,2023-09-30T20:44:56.000,,DOHMH,Department of Health and Mental Hygiene,Food Establishment,Food Contains Foreign Object,Restaurant/Bar/Deli/Bakery,11237,428 KNICKERBOCKER AVENUE,KNICKERBOCKER AVENUE,HIMROD STREET,HARMAN STREET,HIMROD STREET,HARMAN STREET,ADDRESS,BROOKLYN,KNICKERBOCKER AVENUE,In Progress,The Department of Health and Mental Hygiene has received and processed your complaint. All restaurants and mobile food vendors are inspected annually. Restaurant inspection results can be found on WWW.NYC.GOV or a copy of the inspection can be requested from 311.,2023-10-02T10:14:00.000,04 BROOKLYN,3032780032,BROOKLYN,1006546,194135,PHONE,Unspecified,BROOKLYN,40.699504411230365,-73.91959113239699,"{'latitude': '40.699504411230365', 'longitude': '-73.91959113239699', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,
58969618,2023-09-30T20:44:56.000,2023-09-30T22:23:29.000,NYPD,New York City Police Department,Illegal Parking,Blocked Hydrant,Street/Sidewalk,11370,32-22 75 STREET,75 STREET,32 AVENUE,NORTHERN BOULEVARD,32 AVENUE,NORTHERN BOULEVARD,ADDRESS,EAST ELMHURST,75 STREET,Closed,The Police Department responded and upon arrival those responsible for the condition were gone.,2023-09-30T22:23:32.000,03 QUEENS,4011700019,QUEENS,1014128,214850,ONLINE,Unspecified,QUEENS,40.7563396388794,-73.89215526167129,"{'latitude': '40.7563396388794', 'longitude': '-73.89215526167129', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,
58975427,2023-09-30T20:44:54.000,,TLC,Taxi and Limousine Commission,For Hire Vehicle Complaint,Driver Complaint - Non Passenger,Street,10019,696 10 AVENUE,10 AVENUE,WEST   48 STREET,WEST   49 STREET,WEST   48 STREET,WEST   49 STREET,ADDRESS,NEW YORK,10 AVENUE,In Progress,,,04 MANHATTAN,1010580063,MANHATTAN,986338,217528,ONLINE,Unspecified,MANHATTAN,40.76374029735735,-73.9924625216569,"{'latitude': '40.76374029735735', 'longitude': '-73.9924625216569', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,"696 10 AVENUE, MANHATTAN (NEW YORK), NY, 10019",,,,,,
58971326,2023-09-30T20:44:53.000,2023-09-30T21:15:40.000,NYPD,New York City Police Department,Noise - Street/Sidewalk,Loud Music/Party,Street/Sidewalk,10128,1612 3 AVENUE,3 AVENUE,EAST   90 STREET,EAST   91 STREET,EAST   90 STREET,EAST   91 STREET,ADDRESS,NEW YORK,3 AVENUE,Closed,The Police Department responded to the complaint and took action to fix the condition.,2023-09-30T21:15:44.000,08 MANHATTAN,1015197501,MANHATTAN,997570,224076,ONLINE,Unspecified,MANHATTAN,40.781703054704884,-73.95190311245557,"{'latitude': '40.781703054704884', 'longitude': '-73.95190311245557', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,
58975777,2023-09-30T20:44:43.000,2023-09-30T21:01:46.000,NYPD,New York City Police Department,Noise - Vehicle,Engine Idling,Street/Sidewalk,11101,46-36 11 STREET,11 STREET,46 ROAD,47 AVENUE,46 ROAD,47 AVENUE,ADDRESS,LONG ISLAND CITY,11 STREET,Closed,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,2023-09-30T21:01:49.000,02 QUEENS,4000470025,QUEENS,997939,210914,MOBILE,Unspecified,QUEENS,40.74557620000608,-73.9505975025573,"{'latitude': '40.74557620000608', 'longitude': '-73.9505975025573', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,
58970326,2023-09-30T20:44:41.000,2023-10-15T17:55:30.000,HPD,Department of Housing Preservation and Development,UNSANITARY CONDITION,PESTS,RESIDENTIAL BUILDING,11224,2970 WEST   27 STREET,WEST   27 STREET,,,,,ADDRESS,BROOKLYN,,Closed,The Department of Housing Preservation and Development inspected the following conditions. No violations were issued. The complaint has been closed.,2023-10-15T00:00:00.000,13 BROOKLYN,3070520034,BROOKLYN,986240,148216,PHONE,Unspecified,BROOKLYN,40.573494426424446,-73.99283675303543,"{'latitude': '40.573494426424446', 'longitude': '-73.99283675303543', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,
58973250,2023-09-30T20:44:29.000,2023-09-30T21:39:45.000,NYPD,New York City Police Department,Illegal Parking,Blocked Hydrant,Street/Sidewalk,11101,38-49 12 STREET,12 STREET,38 AVENUE,40 AVENUE,38 AVENUE,40 AVENUE,ADDRESS,LONG ISLAND CITY,12 STREET,Closed,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,2023-09-30T21:39:49.000,01 QUEENS,4004720640,QUEENS,1000538,215346,MOBILE,Unspecified,QUEENS,40.757736510987264,-73.94120718845643,"{'latitude': '40.757736510987264', 'longitude': '-73.94120718845643', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,
58973327,2023-09-30T20:44:22.000,2023-09-30T21:16:20.000,NYPD,New York City Police Department,Illegal Parking,Posted Parking Sign Violation,Street/Sidewalk,10019,696 10 AVENUE,10 AVENUE,WEST   48 STREET,WEST   49 STREET,WEST   48 STREET,WEST   49 STREET,ADDRESS,NEW YORK,10 AVENUE,Closed,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,2023-09-30T21:16:24.000,04 MANHATTAN,1010580063,MANHATTAN,986338,217528,ONLINE,Unspecified,MANHATTAN,40.76374029735735,-73.9924625216569,"{'latitude': '40.76374029735735', 'longitude': '-73.9924625216569', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,
58970084,2023-09-30T20:44:09.000,2023-09-30T21:26:52.000,NYPD,New York City Police Department,Noise - Street/Sidewalk,Loud Music/Party,Street/Sidewalk,11205,133 HALL STREET,HALL STREET,PARK AVENUE,MYRTLE AVENUE,PARK AVENUE,MYRTLE AVENUE,ADDRESS,BROOKLYN,HALL STREET,Closed,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,2023-09-30T21:26:59.000,02 BROOKLYN,3018910001,BROOKLYN,993675,192127,MOBILE,Unspecified,BROOKLYN,40.69401598718377,-73.96601223963786,"{'latitude': '40.69401598718377', 'longitude': '-73.96601223963786', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,
58973477,2023-09-30T20:44:09.000,2023-09-30T20:45:34.000,NYPD,New York City Police Department,Noise - Commercial,Loud Music/Party,Store/Commercial,11375,69 AVENUE,69 AVENUE,69 AVENUE,BURNS STREET,69 AVENUE,BURNS STREET,INTERSECTION,,,Closed,The Police Department responded to the complaint and determined that police action was not necessary.,2023-09-30T20:45:38.000,06 QUEENS,,QUEENS,1025818,201903,ONLINE,Unspecified,QUEENS,40.7207561551753,-73.85004024141683,"{'latitude': '40.7207561551753', 'longitude': '-73.85004024141683', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,
58976806,2023-09-30T20:44:00.000,2023-10-01T14:10:00.000,DEP,Department of Environmental Protection,Water System,Dirty Water (WE),,11222,2 NORTH HENRY STREET,NORTH HENRY STREET,RICHARDSON ST,HERBERT ST,,,ADDRESS,BROOKLYN,,Closed,"The Department of Environment Protection inspected your complaint but could not find the problem you reported. If the condition persists, please call 311 (or 212-639-9675 if calling from a non-New York City area code) with more detailed information to submit a new complaint.",2023-10-01T14:10:00.000,01 BROOKLYN,3028320027,BROOKLYN,1000191,201310,ONLINE,Unspecified,BROOKLYN,40.71921181108512,-73.94249297238446,"{'latitude': '40.71921181108512', 'longitude': '-73.94249297238446', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,
59457316,2023-09-30T20:43:52.000,2023-10-01T00:00:00.000,HPD,Department of Housing Preservation and Development,Heat/Hot Water,Entire Building,Apartment,11105,21-47 33 STREET,33 STREET,21 AVENUE,DITMARS BOULEVARD,21 AVENUE,DITMARS BOULEVARD,ADDRESS,ASTORIA,33 STREET,Closed,,2023-10-01T00:00:00.000,01 QUEENS,4008307501,QUEENS,1009608,222123,ONLINE,Unspecified,QUEENS,40.776316248692595,-73.90844276478124,"{'latitude': '40.776316248692595', 'longitude': '-73.90844276478124', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,
58968876,2023-09-30T20:43:32.000,2023-09-30T21:29:20.000,NYPD,New York City Police Department,Noise - Vehicle,Car/Truck Music,Street/Sidewalk,10455,410 EAST  153 STREET,EAST  153 STREET,MELROSE AVENUE,ELTON AVENUE,MELROSE AVENUE,ELTON AVENUE,ADDRESS,BRONX,EAST  153 STREET,Closed,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,2023-09-30T21:29:24.000,01 BRONX,2023740078,BRONX,1007468,237589,ONLINE,Unspecified,BRONX,40.81877207191979,-73.91611593925789,"{'latitude': '40.81877207191979', 'longitude': '-73.91611593925789', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,
58972443,2023-09-30T20:43:28.000,2023-09-30T22:40:35.000,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,Residential Building/House,10463,3419 IRWIN AVENUE,IRWIN AVENUE,WEST  234 STREET,WEST  236 STREET,WEST  234 STREET,WEST  236 STREET,ADDRESS,BRONX,IRWIN AVENUE,Closed,The Police Department responded to the complaint and took action to fix the condition.,2023-09-30T22:40:39.000,08 BRONX,2057590573,BRONX,1010283,261459,ONLINE,Unspecified,BRONX,40.88428025325919,-73.90585297573108,"{'latitude': '40.88428025325919', 'longitude': '-73.90585297573108', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,
58976634,2023-09-30T20:43:24.000,2023-09-30T21:02:13.000,NYPD,New York City Police Department,Encampment,N/A,Subway,,,,,,,,,,,Closed,The Police Department visited the location and no Encampment was found.,2023-09-30T21:02:18.000,Unspecified BROOKLYN,,BROOKLYN,998414,174307,MOBILE,Unspecified,BROOKLYN,40.64509776111472,-73.94896024296865,"{'latitude': '40.64509776111472', 'longitude': '-73.94896024296865', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,2,2 5 to Flatbush,Platform,,,
58968903,2023-09-30T20:43:20.000,2023-10-01T18:11:12.000,HPD,Department of Housing Preservation and Development,ELECTRIC,POWER OUTAGE,RESIDENTIAL BUILDING,11224,2980 WEST   28 STREET,WEST   28 STREET,,,,,ADDRESS,BROOKLYN,,Closed,The complaint you filed is a duplicate of a condition already reported by another tenant for a building-wide condition. The original complaint is still open. HPD may attempt to contact you to verify the correction of the condition or may conduct an inspection of your unit if the original complainant is not available for verification.,2023-10-01T00:00:00.000,13 BROOKLYN,3070520034,BROOKLYN,985931,148251,PHONE,Unspecified,BROOKLYN,40.57359055854324,-73.99394902740013,"{'latitude': '40.57359055854324', 'longitude': '-73.99394902740013', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,
59460958,2023-09-30T20:43:12.000,2023-10-01T00:00:00.000,HPD,Department of Housing Preservation and Development,Heat/Hot Water,Entire Building,Building-Wide,10031,420 WEST  146 STREET,WEST  146 STREET,ST NICHOLAS AVENUE,CONVENT AVENUE,ST NICHOLAS AVENUE,CONVENT AVENUE,ADDRESS,NEW YORK,WEST  146 STREET,Closed,,2023-10-01T00:00:00.000,09 MANHATTAN,1020600044,MANHATTAN,999463,239858,ONLINE,Unspecified,MANHATTAN,40.825017247091196,-73.94503196337824,"{'latitude': '40.825017247091196', 'longitude': '-73.94503196337824', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,
59453947,2023-09-30T20:42:56.000,2023-10-02T00:00:00.000,HPD,Department of Housing Preservation and Development,Heat/Hot Water,Entire Building,Building-Wide,11237,268 HIMROD STREET,HIMROD STREET,KNICKERBOCKER AVENUE,IRVING AVENUE,KNICKERBOCKER AVENUE,IRVING AVENUE,ADDRESS,BROOKLYN,HIMROD STREET,Closed,,2023-10-02T00:00:00.000,04 BROOKLYN,3032790020,BROOKLYN,1006615,194537,MOBILE,Unspecified,BROOKLYN,40.70060763270241,-73.91934095421162,"{'latitude': '40.70060763270241', 'longitude': '-73.91934095421162', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,
58972319,2023-09-30T20:42:53.000,2023-09-30T21:13:20.000,NYPD,New York City Police Department,Noise - Residential,Banging/Pounding,Residential Building/House,10458,2707 BRIGGS AVENUE,BRIGGS AVENUE,EAST  194 STREET,EAST  196 STREET,EAST  194 STREET,EAST  196 STREET,ADDRESS,BRONX,BRIGGS AVENUE,Closed,The Police Department responded to the complaint and took action to fix the condition.,2023-09-30T21:13:29.000,07 BRONX,2033000056,BRONX,1014205,254922,ONLINE,Unspecified,BRONX,40.866325775799574,-73.89169850352053,"{'latitude': '40.866325775799574', 'longitude': '-73.89169850352053', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,
59459288,2023-09-30T20:42:40.000,2023-10-11T00:00:00.000,HPD,Department of Housing Preservation and Development,Safety,Fire Escape,Public Area,10024,40 WEST   86 STREET,WEST   86 STREET,CENTRAL PARK WEST,COLUMBUS AVENUE,CENTRAL PARK WEST,COLUMBUS AVENUE,ADDRESS,NEW YORK,WEST   86 STREET,Closed,,2023-10-11T00:00:00.000,07 MANHATTAN,1011990055,MANHATTAN,992296,225624,PHONE,Unspecified,MANHATTAN,40.78595827715962,-73.97094502421947,"{'latitude': '40.78595827715962', 'longitude': '-73.97094502421947', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,
58977091,2023-09-30T20:42:38.000,2023-09-30T20:44:21.000,NYPD,New York City Police Department,Noise - Commercial,Loud Music/Party,Store/Commercial,11375,1 TENNIS PLACE,TENNIS PLACE,DARTMOUTH STREET,BURNS STREET,DARTMOUTH STREET,BURNS STREET,ADDRESS,FOREST HILLS,TENNIS PLACE,Closed,The Police Department responded to the complaint and determined that police action was not necessary.,2023-09-30T20:44:26.000,06 QUEENS,4032190001,QUEENS,1026762,201267,ONLINE,Unspecified,QUEENS,40.719006004974794,-73.84663871262093,"{'latitude': '40.719006004974794', 'longitude': '-73.84663871262093', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,
59443535,2023-09-30T20:42:37.000,2023-10-01T00:00:00.000,HPD,Department of Housing Preservation and Development,Heat/Hot Water,Entire Building,Building-Wide,10304,185 PARKHILL AVENUE,PARKHILL AVENUE,OSGOOD AVENUE,SOBEL COURT,OSGOOD AVENUE,SOBEL COURT,ADDRESS,STATEN ISLAND,PARK HILL AVENUE,Closed,,2023-10-01T00:00:00.000,01 STATEN ISLAND,5029220150,STATEN ISLAND,961374,163026,PHONE,Unspecified,STATEN ISLAND,40.61411559192989,-74.08239506383015,"{'latitude': '40.61411559192989', 'longitude': '-74.08239506383015', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,
58970030,2023-09-30T20:42:34.000,2023-09-30T21:08:34.000,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,Residential Building/House,10005,95 WALL STREET,WALL STREET,GOUVERNEUR LANE,WALL STREET,GOUVERNEUR LANE,WALL STREET,ADDRESS,NEW YORK,WALL STREET,Closed,The Police Department responded to the complaint and took action to fix the condition.,2023-09-30T21:08:38.000,01 MANHATTAN,1000330011,MANHATTAN,982174,196102,ONLINE,Unspecified,MANHATTAN,40.704931209203224,-74.00748754821632,"{'latitude': '40.704931209203224', 'longitude': '-74.00748754821632', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,
58970993,2023-09-30T20:42:32.000,2023-09-30T20:53:19.000,NYPD,New York City Police Department,Non-Emergency Police Matter,Trespassing,Residential Building/House,11212,365 THATFORD AVENUE,THATFORD AVENUE,THATFORD AVENUE,OSBORN STREET,THATFORD AVENUE,OSBORN STREET,ADDRESS,BROOKLYN,THATFORD AVENUE,Closed,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,2023-09-30T20:53:23.000,16 BROOKLYN,3035900011,BROOKLYN,1010017,180240,ONLINE,Unspecified,BROOKLYN,40.661356385690354,-73.90712636722496,"{'latitude': '40.661356385690354', 'longitude': '-73.90712636722496', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,
58972307,2023-09-30T20:42:29.000,2023-09-30T20:53:16.000,NYPD,New York City Police Department,Noise - Commercial,Loud Music/Party,Store/Commercial,10472,1528 WATSON AVENUE,WATSON AVENUE,ELDER AVENUE,BOYNTON AVENUE,ELDER AVENUE,BOYNTON AVENUE,ADDRESS,BRONX,WATSON AVENUE,Closed,The Police Department responded to the complaint and took action to fix the condition.,2023-09-30T20:53:22.000,09 BRONX,2037140030,BRONX,1017972,240263,ONLINE,Unspecified,BRONX,40.82607758447021,-73.87815275454255,"{'latitude': '40.82607758447021', 'longitude': '-73.87815275454255', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,
58976234,2023-09-30T20:42:17.000,2023-10-24T18:56:58.000,HPD,Department of Housing Preservation and Development,GENERAL,BELL/BUZZER/INTERCOM,RESIDENTIAL BUILDING,11433,107-03 GUY R BREWER BOULEVARD,GUY R BREWER BOULEVARD,,,,,ADDRESS,JAMAICA,,Closed,The Department of Housing Preservation and Development inspected the following conditions. No violations were issued. The complaint has been closed.,2023-10-24T00:00:00.000,12 QUEENS,4101660029,QUEENS,1041870,193607,PHONE,Unspecified,QUEENS,40.697895676823336,-73.79220259919381,"{'latitude': '40.697895676823336', 'longitude': '-73.79220259919381', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,
