unique_key,created_date,agency,agency_name,complaint_type,descriptor,location_type,incident_zip,incident_address,street_name,cross_street_1,cross_street_2,intersection_street_1,intersection_street_2,address_type,city,landmark,status,resolution_action_updated_date,community_board,borough,x_coordinate_state_plane,y_coordinate_state_plane,open_data_channel_type,park_facility_name,park_borough,taxi_pick_up_location,latitude,longitude,location,closed_date,resolution_description,bbl,facility_type,bridge_highway_name,bridge_highway_direction,bridge_highway_segment,due_date,road_ramp,vehicle_type,taxi_company_borough
58975073,2023-09-30T16:38:20.000,HPD,Department of Housing Preservation and Development,HEAT/HOT WATER,ENTIRE BUILDING,RESIDENTIAL BUILDING,10035,2336 1 AVENUE,1 AVENUE,,,,,ADDRESS,NEW YORK,,Closed,2023-10-01T00:00:00.000,11 MANHATTAN,MANHATTAN,1002628,230174,ONLINE,Unspecified,MANHATTAN,,40.798431350980074,-73.93362261523545,"{'latitude': '40.798431350980074', 'longitude': '-73.93362261523545', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",2023-10-01T13:48:12.000,"The Department of Housing Preservation and Development was not able to gain access to your apartment to inspect for a lack of heat or hot water. However, HPD was able to verify that heat or hot water was inadequate by inspecting another apartment and a violation was issued. Information about specific violations is available at www.nyc.gov/hpd.",1018070046,,,,,,,,
58975125,2023-09-30T16:38:18.000,HPD,Department of Housing Preservation and Development,UNSANITARY CONDITION,GARBAGE/RECYCLING STORAGE,RESIDENTIAL BUILDING,10467,3333 HULL AVENUE,HULL AVENUE,,,,,ADDRESS,BRONX,,Closed,2023-10-03T00:00:00.000,07 BRONX,BRONX,1019091,258960,PHONE,Unspecified,BRONX,,40.87739090417556,-73.87401232708118,"{'latitude': '40.87739090417556', 'longitude': '-73.87401232708118', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",2023-10-03T15:06:31.000,"The Department of Housing Preservation and Development contacted a tenant in the building and verified that the following conditions were corrected. The complaint has been closed. If the condition still exists, please file a new complaint.",2033480167,,,,,,,,
58970430,2023-09-30T16:38:15.000,DPR,Department of Parks and Recreation,Damaged Tree,Branch Cracked and Will Fall,Street,11422,257-04 144 AVENUE,144 AVENUE,MEMPHIS AVENUE,FRANCIS LEWIS BOULEVARD,MEMPHIS AVENUE,FRANCIS LEWIS BOULEVARD,ADDRESS,ROSEDALE,144 AVENUE,Closed,2023-11-14T09:00:34.000,13 QUEENS,QUEENS,1058783,179384,ONLINE,Unspecified,QUEENS,,40.658730659489265,-73.73136618296166,"{'latitude': '40.658730659489265', 'longitude': '-73.73136618296166', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",2023-11-14T14:02:07.000,NYC Parks performed the work necessary to correct the condition.,4135890008,,,,,,,,
58968252,2023-09-30T16:38:00.000,DEP,Department of Environmental Protection,Sewer,Sewer Backup (Use Comments) (SA),,11411,115-27 224 STREET,224 STREET,115 AVE,115 RD,,,ADDRESS,CAMBRIA HEIGHTS,,Closed,2023-10-01T13:50:00.000,13 QUEENS,QUEENS,1057903,193813,ONLINE,Unspecified,QUEENS,,40.69834217992658,-73.73438018808237,"{'latitude': '40.69834217992658', 'longitude': '-73.73438018808237', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",2023-10-01T13:50:00.000,The Department of Environmental Protection investigated this complaint and found there was no sewer back up in the city system at the time of the inspection.,4112880022,,,,,,,,
58976790,2023-09-30T16:38:00.000,DEP,Department of Environmental Protection,Sewer,Sewer Backup (Use Comments) (SA),,11218,345 STRATFORD ROAD,STRATFORD ROAD,SLOCUM PL,CORTELYOU RD,,,ADDRESS,BROOKLYN,,Closed,2023-09-30T22:20:00.000,14 BROOKLYN,BROOKLYN,993121,172571,ONLINE,Unspecified,BROOKLYN,,40.6403396978089,-73.96803576787701,"{'latitude': '40.6403396978089', 'longitude': '-73.96803576787701', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",2023-09-30T22:20:00.000,The Department of Environmental Protection has investigated this complaint. Surcharge conditions have been confirmed due to rain intensity or volume.,3051420095,,,,,,,,
58973219,2023-09-30T16:38:00.000,DEP,Department of Environmental Protection,Water System,Hydrant Running (WC3),,11373,,,,,SAINT JAMES AVENUE,88 STREET,INTERSECTION,QUEENS,,Closed,2023-09-30T17:10:00.000,04 QUEENS,QUEENS,1018346,209277,PHONE,Unspecified,QUEENS,,40.74102791284205,-73.87695865082588,"{'latitude': '40.74102791284205', 'longitude': '-73.87695865082588', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",2023-09-30T17:10:00.000,The Department of Environmental Protection determined that this complaint is a duplicate of a previously filed complaint. The original complaint is being addressed.,,,,,,,,,
58977086,2023-09-30T16:36:57.000,NYPD,New York City Police Department,Noise - Commercial,Loud Music/Party,Store/Commercial,10455,457 EAST  147 STREET,EAST  147 STREET,BERGEN AVENUE,BROOK AVENUE,BERGEN AVENUE,BROOK AVENUE,ADDRESS,BRONX,EAST  147 STREET,Closed,2023-09-30T20:05:18.000,01 BRONX,BRONX,1007321,235828,ONLINE,Unspecified,BRONX,,40.81393900784644,-73.91665308723432,"{'latitude': '40.81393900784644', 'longitude': '-73.91665308723432', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",2023-09-30T20:05:14.000,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,2022927501,,,,,,,,
58972096,2023-09-30T16:36:56.000,NYPD,New York City Police Department,Illegal Parking,Blocked Sidewalk,Street/Sidewalk,11226,123 LINDEN BOULEVARD,LINDEN BOULEVARD,BEDFORD AVENUE,ROGERS AVENUE,BEDFORD AVENUE,ROGERS AVENUE,ADDRESS,BROOKLYN,LINDEN BOULEVARD,Closed,2023-09-30T17:00:40.000,17 BROOKLYN,BROOKLYN,996951,176972,MOBILE,Unspecified,BROOKLYN,,40.6524148264688,-73.95422712196176,"{'latitude': '40.6524148264688', 'longitude': '-73.95422712196176', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",2023-09-30T17:00:37.000,The Police Department responded to the complaint and took action to fix the condition.,3050840084,,,,,,,,
58974776,2023-09-30T16:36:45.000,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,Residential Building/House,10467,3216 PERRY AVENUE,PERRY AVENUE,EAST  206 STREET,EAST  207 STREET,EAST  206 STREET,EAST  207 STREET,ADDRESS,BRONX,PERRY AVENUE,Closed,2023-09-30T16:54:00.000,07 BRONX,BRONX,1018350,258162,MOBILE,Unspecified,BRONX,,40.87520353675158,-73.87669589704095,"{'latitude': '40.87520353675158', 'longitude': '-73.87669589704095', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",2023-09-30T16:53:56.000,The Police Department reviewed your complaint and provided additional information below.,2033460015,,,,,,,,
59450475,2023-09-30T16:36:40.000,HPD,Department of Housing Preservation and Development,Heat/Hot Water,Entire Building,Building-Wide,10035,400 EAST  120 STREET,EAST  120 STREET,1 AVENUE,PLEASANT AVENUE,1 AVENUE,PLEASANT AVENUE,ADDRESS,NEW YORK,EAST  120 STREET,Closed,2023-10-01T00:00:00.000,11 MANHATTAN,MANHATTAN,1002707,230198,ONLINE,Unspecified,MANHATTAN,,40.79849705976357,-73.93333721836333,"{'latitude': '40.79849705976357', 'longitude': '-73.93333721836333', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",2023-10-01T00:00:00.000,,1018070046,,,,,,,,
58972086,2023-09-30T16:36:35.000,NYPD,New York City Police Department,Illegal Parking,Blocked Hydrant,Street/Sidewalk,11419,103-14 109 STREET,109 STREET,103 AVENUE,LIBERTY AVENUE,103 AVENUE,LIBERTY AVENUE,ADDRESS,SOUTH RICHMOND HILL,109 STREET,Closed,2023-09-30T19:49:47.000,10 QUEENS,QUEENS,1030495,188958,ONLINE,Unspecified,QUEENS,,40.68520202091877,-73.83325653738714,"{'latitude': '40.68520202091877', 'longitude': '-73.83325653738714', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",2023-09-30T19:49:42.000,The Police Department responded to the complaint and determined that police action was not necessary.,4095130011,,,,,,,,
58977865,2023-09-30T16:36:30.000,DSNY,Department of Sanitation,Dirty Condition,Trash,Sidewalk,10011,215 8 AVENUE,8 AVENUE,WEST   20 STREET,WEST   21 STREET,WEST   20 STREET,WEST   21 STREET,ADDRESS,NEW YORK,8 AVENUE,Closed,2023-10-02T09:53:35.000,04 MANHATTAN,MANHATTAN,984392,210308,MOBILE,Unspecified,MANHATTAN,,40.74392347557637,-73.99948754618742,"{'latitude': '40.74392347557637', 'longitude': '-73.99948754618742', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",2023-10-02T09:53:31.000,The Department of Sanitation investigated this complaint and found no condition at the location.,1007440043,,,,,,,,
58968401,2023-09-30T16:36:30.000,NYPD,New York City Police Department,Illegal Parking,Double Parked Blocking Vehicle,Street/Sidewalk,10037,LENOX AVENUE,LENOX AVENUE,LENOX AVENUE,WEST  144 STREET,LENOX AVENUE,WEST  144 STREET,INTERSECTION,,,Closed,2023-09-30T17:08:24.000,10 MANHATTAN,MANHATTAN,1001765,237948,PHONE,Unspecified,MANHATTAN,,40.81977057423681,-73.93671930087815,"{'latitude': '40.81977057423681', 'longitude': '-73.93671930087815', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",2023-09-30T17:08:20.000,The Police Department issued a summons in response to the complaint.,,,,,,,,,
58973980,2023-09-30T16:36:11.000,DOT,Department of Transportation,Street Condition,Pothole,,11385,,,,,SENECA AVENUE,STANHOPE STREET,INTERSECTION,QUEENS,,Closed,2023-10-02T08:28:00.000,05 QUEENS,QUEENS,1007994,196778,UNKNOWN,Unspecified,QUEENS,,40.70675505550174,-73.91435971235853,"{'latitude': '40.70675505550174', 'longitude': '-73.91435971235853', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",2023-10-02T08:28:00.000,The Department of Transportation inspected this complaint and repaired the problem.,,N/A,,,,,,,
58975451,2023-09-30T16:36:00.000,DHS,Department of Homeless Services,Homeless Person Assistance,,Subway,,,,,,,,ADDRESS,,,Closed,2023-10-11T09:00:36.000,Unspecified MANHATTAN,MANHATTAN,985453,210365,PHONE,Unspecified,MANHATTAN,,40.7440798456439,-73.99565856772038,"{'latitude': '40.7440798456439', 'longitude': '-73.99565856772038', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,The mobile outreach response team went to the location provided but could not find the individual that you reported.,,,1,1 Downtown,Platform,,,,
59006620,2023-09-30T16:36:00.000,DOE,Department of Education,School Maintenance,Other School Condition,School,10028,311 EAST   82 STREET,EAST   82 STREET,2 AVENUE,1 AVENUE,2 AVENUE,1 AVENUE,ADDRESS,NEW YORK,EAST   82 STREET,Closed,2023-11-08T14:47:24.000,08 MANHATTAN,MANHATTAN,997241,221662,PHONE,P.S. 290 Manhattan New School,MANHATTAN,,40.77507775225699,-73.95309575826893,"{'latitude': '40.77507775225699', 'longitude': '-73.95309575826893', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",2023-11-08T14:47:22.000,The Department of Education completed the work and corrected the condition.,1015450005,,,,,,,,
58968293,2023-09-30T16:35:55.000,DSNY,Department of Sanitation,Graffiti,Graffiti,Mixed Use,11102,27-29 21 STREET,21 STREET,,,,,ADDRESS,ASTORIA,,Open,2023-11-16T09:14:57.000,01 QUEENS,QUEENS,1004611,220372,UNKNOWN,Unspecified,QUEENS,,40.771523137138026,-73.92649015802084,"{'latitude': '40.771523137138026', 'longitude': '-73.92649015802084', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,The graffiti on this property has been scheduled to be removed by the City.,4005430005,N/A,,,,2023-12-16T09:14:57.000,,,
58971526,2023-09-30T16:35:55.000,HPD,Department of Housing Preservation and Development,WATER LEAK,DAMP SPOT,RESIDENTIAL BUILDING,11691,446 BEACH   48 STREET,BEACH   48 STREET,,,,,ADDRESS,FAR ROCKAWAY,,Closed,2023-10-21T00:00:00.000,14 QUEENS,QUEENS,1045594,156562,PHONE,Unspecified,QUEENS,,40.59619046667384,-73.77910952387518,"{'latitude': '40.59619046667384', 'longitude': '-73.77910952387518', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",2023-10-21T14:22:15.000,The Department of Housing Preservation and Development inspected the following conditions. No violations were issued. The complaint has been closed.,4159720018,,,,,,,,
58968984,2023-09-30T16:35:54.000,HPD,Department of Housing Preservation and Development,PAINT/PLASTER,CEILING,RESIDENTIAL BUILDING,10467,708 EAST  215 STREET,EAST  215 STREET,,,,,ADDRESS,BRONX,,Closed,2023-10-11T00:00:00.000,12 BRONX,BRONX,1021918,260048,PHONE,Unspecified,BRONX,,40.880365510719585,-73.86378358066686,"{'latitude': '40.880365510719585', 'longitude': '-73.86378358066686', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",2023-10-11T20:16:02.000,The Department of Housing Preservation and Development inspected the following conditions. No violations were issued. The complaint has been closed.,2046620007,,,,,,,,
58973239,2023-09-30T16:35:49.000,NYPD,New York City Police Department,Illegal Parking,Blocked Hydrant,Street/Sidewalk,11234,2754 EAST   64 STREET,EAST   64 STREET,56 DRIVE,NATIONAL DRIVE,56 DRIVE,NATIONAL DRIVE,ADDRESS,BROOKLYN,EAST   64 STREET,Closed,2023-09-30T17:00:18.000,18 BROOKLYN,BROOKLYN,1008279,160195,MOBILE,Unspecified,BROOKLYN,,40.606342030444736,-73.91346212235483,"{'latitude': '40.606342030444736', 'longitude': '-73.91346212235483', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",2023-09-30T17:00:15.000,The Police Department responded to the complaint and determined that police action was not necessary.,3085950056,,,,,,,,
58976595,2023-09-30T16:35:42.000,DOT,Department of Transportation,Street Sign - Dangling,"No Parking, Standing, Stopping",Street,11362,64-23 DOUGLASTON PARKWAY,DOUGLASTON PARKWAY,,65 AVENUE,,65 AVENUE,ADDRESS,LITTLE NECK,DOUGLASTON PARKWAY,Closed,2023-10-04T10:48:45.000,11 QUEENS,QUEENS,1055815,213807,MOBILE,Unspecified,QUEENS,,40.753237742130004,-73.74169761875841,"{'latitude': '40.753237742130004', 'longitude': '-73.74169761875841', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",2023-10-04T10:48:40.000,The Department of Transportation has completed the request or corrected the condition.,4082860136,,,,,,,,
58975048,2023-09-30T16:35:42.000,HPD,Department of Housing Preservation and Development,HEAT/HOT WATER,APARTMENT ONLY,RESIDENTIAL BUILDING,11225,415 LEFFERTS AVENUE,LEFFERTS AVENUE,,,,,ADDRESS,BROOKLYN,,Closed,2023-10-02T00:00:00.000,09 BROOKLYN,BROOKLYN,998864,180676,PHONE,Unspecified,BROOKLYN,,40.66257854139589,-73.94732487429349,"{'latitude': '40.66257854139589', 'longitude': '-73.94732487429349', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",2023-10-02T11:05:49.000,"The Department of Housing Preservation and Development contacted an occupant of the apartment and verified that the following conditions were corrected. The complaint has been closed. If the condition still exists, please file a new complaint.",3013220046,,,,,,,,
58977552,2023-09-30T16:35:27.000,HPD,Department of Housing Preservation and Development,UNSANITARY CONDITION,SEWAGE,RESIDENTIAL BUILDING,10455,674 ST ANNS AVENUE,ST ANNS AVENUE,,,,,ADDRESS,BRONX,,Closed,2023-10-10T00:00:00.000,01 BRONX,BRONX,1008812,237174,ONLINE,Unspecified,BRONX,,40.817629379394376,-73.91126173832384,"{'latitude': '40.817629379394376', 'longitude': '-73.91126173832384', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",2023-10-10T11:17:58.000,The Department of Housing Preservation and Development inspected the following conditions. Violations were issued. Information about specific violations is available at www.nyc.gov/hpd,2026170022,,,,,,,,
58971396,2023-09-30T16:35:27.000,HPD,Department of Housing Preservation and Development,ELECTRIC,POWER OUTAGE,RESIDENTIAL BUILDING,10455,674 ST ANNS AVENUE,ST ANNS AVENUE,,,,,ADDRESS,BRONX,,Closed,2023-10-04T00:00:00.000,01 BRONX,BRONX,1008812,237174,ONLINE,Unspecified,BRONX,,40.817629379394376,-73.91126173832384,"{'latitude': '40.817629379394376', 'longitude': '-73.91126173832384', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",2023-10-04T13:37:45.000,The Department of Housing Preservation and Development inspected the following conditions. No violations were issued. The complaint has been closed.,2026170022,,,,,,,,
58969046,2023-09-30T16:35:27.000,HPD,Department of Housing Preservation and Development,UNSANITARY CONDITION,MOLD,RESIDENTIAL BUILDING,10455,674 ST ANNS AVENUE,ST ANNS AVENUE,,,,,ADDRESS,BRONX,,Closed,2023-10-04T00:00:00.000,01 BRONX,BRONX,1008812,237174,ONLINE,Unspecified,BRONX,,40.817629379394376,-73.91126173832384,"{'latitude': '40.817629379394376', 'longitude': '-73.91126173832384', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",2023-10-04T13:37:45.000,The Department of Housing Preservation and Development inspected the following conditions. No violations were issued. The complaint has been closed.,2026170022,,,,,,,,
58977421,2023-09-30T16:35:27.000,HPD,Department of Housing Preservation and Development,GENERAL,COOKING GAS,RESIDENTIAL BUILDING,10455,674 ST ANNS AVENUE,ST ANNS AVENUE,,,,,ADDRESS,BRONX,,Closed,2023-10-04T00:00:00.000,01 BRONX,BRONX,1008812,237174,ONLINE,Unspecified,BRONX,,40.817629379394376,-73.91126173832384,"{'latitude': '40.817629379394376', 'longitude': '-73.91126173832384', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",2023-10-04T13:37:45.000,The Department of Housing Preservation and Development inspected the following conditions. No violations were issued. The complaint has been closed.,2026170022,,,,,,,,
58970365,2023-09-30T16:35:27.000,HPD,Department of Housing Preservation and Development,WATER LEAK,HEAVY FLOW,RESIDENTIAL BUILDING,10455,674 ST ANNS AVENUE,ST ANNS AVENUE,,,,,ADDRESS,BRONX,,Closed,2023-10-04T00:00:00.000,01 BRONX,BRONX,1008812,237174,ONLINE,Unspecified,BRONX,,40.817629379394376,-73.91126173832384,"{'latitude': '40.817629379394376', 'longitude': '-73.91126173832384', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",2023-10-04T13:37:46.000,The Department of Housing Preservation and Development inspected the following conditions. No violations were issued. The complaint has been closed.,2026170022,,,,,,,,
58973844,2023-09-30T16:35:27.000,HPD,Department of Housing Preservation and Development,PAINT/PLASTER,WALL,RESIDENTIAL BUILDING,10455,674 ST ANNS AVENUE,ST ANNS AVENUE,,,,,ADDRESS,BRONX,,Closed,2023-10-04T00:00:00.000,01 BRONX,BRONX,1008812,237174,ONLINE,Unspecified,BRONX,,40.817629379394376,-73.91126173832384,"{'latitude': '40.817629379394376', 'longitude': '-73.91126173832384', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",2023-10-04T13:37:45.000,The Department of Housing Preservation and Development inspected the following conditions. No violations were issued. The complaint has been closed.,2026170022,,,,,,,,
58972775,2023-09-30T16:35:27.000,HPD,Department of Housing Preservation and Development,APPLIANCE,REFRIGERATOR,RESIDENTIAL BUILDING,10455,674 ST ANNS AVENUE,ST ANNS AVENUE,,,,,ADDRESS,BRONX,,Closed,2023-10-10T00:00:00.000,01 BRONX,BRONX,1008812,237174,ONLINE,Unspecified,BRONX,,40.817629379394376,-73.91126173832384,"{'latitude': '40.817629379394376', 'longitude': '-73.91126173832384', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",2023-10-10T11:17:58.000,The Department of Housing Preservation and Development inspected the following conditions. Violations were issued. Information about specific violations is available at www.nyc.gov/hpd,2026170022,,,,,,,,
