unique_key,created_date,closed_date,agency,agency_name,complaint_type,descriptor,location_type,incident_zip,incident_address,street_name,cross_street_1,cross_street_2,intersection_street_1,intersection_street_2,address_type,city,landmark,status,resolution_description,resolution_action_updated_date,community_board,bbl,borough,x_coordinate_state_plane,y_coordinate_state_plane,open_data_channel_type,park_facility_name,park_borough,latitude,longitude,location,facility_type,taxi_pick_up_location,bridge_highway_name,bridge_highway_direction,road_ramp,bridge_highway_segment,due_date,taxi_company_borough
58874382,2023-09-20T12:00:00.000,2023-09-26T12:00:00.000,DSNY,Department of Sanitation,Derelict Vehicles,Derelict Vehicles,Street,11432,89-24 168 PLACE,168 PLACE,89 AVENUE,90 AVENUE,,,ADDRESS,JAMAICA,,Closed,The owner claimed the vehicle.Â Your request is now closed and no further action will be taken.,2023-09-26T12:00:00.000,12 QUEENS,4098010002,QUEENS,1041665,197523,PHONE,Unspecified,QUEENS,40.708645479591645,-73.79290850920776,"{'latitude': '40.708645479591645', 'longitude': '-73.79290850920776', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,
58879656,2023-09-20T12:00:00.000,2023-09-21T12:00:00.000,DSNY,Department of Sanitation,Derelict Vehicles,Derelict Vehicles,Street,10454,602 OAK TERRACE,OAK TERRACE,DEAD END,BEEKMAN AVENUE,,,ADDRESS,BRONX,,Closed,The owner claimed the vehicle.Â Your request is now closed and no further action will be taken.,2023-09-21T12:00:00.000,01 BRONX,2025550018,BRONX,1007985,233972,PHONE,Unspecified,BRONX,40.80884304736626,-73.91426086736098,"{'latitude': '40.80884304736626', 'longitude': '-73.91426086736098', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,
58881003,2023-09-20T12:00:00.000,2023-09-22T12:00:00.000,DSNY,Department of Sanitation,Derelict Vehicles,Derelict Vehicles,Street,11412,187-22 JORDAN AVENUE,JORDAN AVENUE,MAYVILLE STREET,HANNIBAL STREET,,,ADDRESS,SAINT ALBANS,,Closed,The vehicle you reported exceeds the monetary value eligible for collection as junk. The Department of Sanitation has forwarded the request to the NYPD for further action.,2023-09-22T12:00:00.000,12 QUEENS,4104260011,QUEENS,1048722,194325,PHONE,Unspecified,QUEENS,40.69981914562282,-73.76748518364126,"{'latitude': '40.69981914562282', 'longitude': '-73.76748518364126', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,
58878317,2023-09-20T12:00:00.000,2023-09-20T12:00:00.000,DSNY,Department of Sanitation,Derelict Vehicles,Derelict Vehicles,Street,10470,601 EAST  240 STREET,EAST  240 STREET,BRONX BOULEVARD,CARPENTER AVENUE,,,ADDRESS,BRONX,,Closed,The vehicle you reported exceeds the monetary value eligible for collection as junk. The Department of Sanitation has forwarded the request to the NYPD for further action.,2023-09-20T12:00:00.000,12 BRONX,2050780008,BRONX,1024415,268482,PHONE,Unspecified,BRONX,40.903503127723724,-73.85470326371299,"{'latitude': '40.903503127723724', 'longitude': '-73.85470326371299', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,
58879641,2023-09-20T12:00:00.000,2023-09-21T12:00:00.000,DSNY,Department of Sanitation,Derelict Vehicles,Derelict Vehicles,Street,10467,3350 BRONX BOULEVARD,BRONX BOULEVARD,ROSEWOOD STREET,MAGENTA STREET,,,ADDRESS,BRONX,,Closed,DSNY already has a request to investigate this reportedly abandoned vehicle and cannot open multiple service requests for the same vehicle at once. Your request is being closed while we action the prior report.,2023-09-21T12:00:00.000,12 BRONX,2046220019,BRONX,1020110,257845,PHONE,Unspecified,BRONX,40.87432649509254,-73.87033352013222,"{'latitude': '40.87432649509254', 'longitude': '-73.87033352013222', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,
58880998,2023-09-20T12:00:00.000,2023-09-22T12:00:00.000,DSNY,Department of Sanitation,Derelict Vehicles,Derelict Vehicles,Street,11234,1795 EAST   54 STREET,EAST   54 STREET,FILLMORE AVENUE,AVENUE S,,,ADDRESS,BROOKLYN,,Closed,The owner claimed the vehicle.Â Your request is now closed and no further action will be taken.,2023-09-22T12:00:00.000,18 BROOKLYN,3085150024,BROOKLYN,1005790,162914,PHONE,Unspecified,BROOKLYN,40.613811523719875,-73.92241731242237,"{'latitude': '40.613811523719875', 'longitude': '-73.92241731242237', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,
58877031,2023-09-20T12:00:00.000,2023-09-21T12:00:00.000,DSNY,Department of Sanitation,Derelict Vehicles,Derelict Vehicles,Street,11354,134-28 33 AVENUE,33 AVENUE,PRINCE STREET,FARRINGTON STREET,,,ADDRESS,FLUSHING,,Closed,The Department of Sanitation (DSNY) couldn't find the condition. Please file a new Service Request with more details about the location.,2023-09-21T12:00:00.000,07 QUEENS,4049490001,QUEENS,1030450,218620,PHONE,Unspecified,QUEENS,40.76661708160509,-73.83321515748855,"{'latitude': '40.76661708160509', 'longitude': '-73.83321515748855', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,
58880995,2023-09-20T12:00:00.000,2023-09-21T12:00:00.000,DSNY,Department of Sanitation,Derelict Vehicles,Derelict Vehicles,Street,10128,518 EAST   89 STREET,EAST   89 STREET,YORK AVENUE,EAST END AVENUE,,,ADDRESS,NEW YORK,,Closed,The Department of Sanitation (DSNY) couldn't find the condition. Please file a new Service Request with more details about the location.,2023-09-21T12:00:00.000,08 MANHATTAN,1015850043,MANHATTAN,999493,222558,PHONE,Unspecified,MANHATTAN,40.777533439563726,-73.94496284074093,"{'latitude': '40.777533439563726', 'longitude': '-73.94496284074093', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,
58877009,2023-09-20T12:00:00.000,2023-09-20T12:00:00.000,DSNY,Department of Sanitation,Derelict Vehicles,Derelict Vehicles,Street,11369,101-10 ASTORIA BOULEVARD,ASTORIA BOULEVARD,101 STREET,102 STREET,,,ADDRESS,EAST ELMHURST,,Closed,The Department of Sanitation does NOT have jurisdiction over vehicles (abandoned or otherwise) that have license plates affixed to them. Your request will be referred to the NYPD for further action.,2023-09-20T12:00:00.000,03 QUEENS,,QUEENS,1020801,216836,PHONE,Unspecified,QUEENS,40.761765627137386,-73.86805828216247,"{'latitude': '40.761765627137386', 'longitude': '-73.86805828216247', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,
58878328,2023-09-20T12:00:00.000,2023-09-21T12:00:00.000,DSNY,Department of Sanitation,Derelict Vehicles,Derelict Vehicles,Street,11236,1350 RALPH AVENUE,RALPH AVENUE,DITMAS AVENUE,CANARSIE LANE,,,ADDRESS,BROOKLYN,,Closed,The owner claimed the vehicle.Â Your request is now closed and no further action will be taken.,2023-09-21T12:00:00.000,17 BROOKLYN,3079320084,BROOKLYN,1006467,174118,PHONE,Unspecified,BROOKLYN,40.64456245678493,-73.91994201649933,"{'latitude': '40.64456245678493', 'longitude': '-73.91994201649933', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,
58881004,2023-09-20T12:00:00.000,2023-09-23T12:00:00.000,DSNY,Department of Sanitation,Derelict Vehicles,Derelict Vehicles,Street,11216,1434 BEDFORD AVENUE,BEDFORD AVENUE,PROSPECT PLACE,PARK PLACE,,,ADDRESS,BROOKLYN,,Closed,The Department of Sanitation (DSNY) couldn't find the condition. Please file a new Service Request with more details about the location.,2023-09-23T12:00:00.000,08 BROOKLYN,3012310047,BROOKLYN,997058,184892,PHONE,Unspecified,BROOKLYN,40.67415331647757,-73.95382646167931,"{'latitude': '40.67415331647757', 'longitude': '-73.95382646167931', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",DSNY Garage,,,,,,,
58874389,2023-09-20T12:00:00.000,2023-09-21T12:00:00.000,DSNY,Department of Sanitation,Derelict Vehicles,Derelict Vehicles,Street,11230,965 EAST    2 STREET,EAST    2 STREET,ELMWOOD AVENUE,AVENUE I,,,ADDRESS,BROOKLYN,,Closed,The Department of Sanitation does NOT have jurisdiction over vehicles (abandoned or otherwise) that have license plates affixed to them. Your request will be referred to the NYPD for further action.,2023-09-21T12:00:00.000,12 BROOKLYN,,BROOKLYN,991130,167670,PHONE,Unspecified,BROOKLYN,40.62688926338481,-73.9752147902553,"{'latitude': '40.62688926338481', 'longitude': '-73.9752147902553', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",DSNY Garage,,,,,,,
58860646,2023-09-20T12:00:00.000,2023-09-21T12:00:00.000,DSNY,Department of Sanitation,Derelict Vehicles,Derelict Vehicles,Street,11385,1722 GATES AVENUE,GATES AVENUE,CYPRESS AVENUE,SENECA AVENUE,,,ADDRESS,RIDGEWOOD,,Closed,The owner claimed the vehicle.Â Your request is now closed and no further action will be taken.,2023-09-21T12:00:00.000,05 QUEENS,4034530020,QUEENS,1009420,195216,PHONE,Unspecified,QUEENS,40.70246379384839,-73.90922223181106,"{'latitude': '40.70246379384839', 'longitude': '-73.90922223181106', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,
58881007,2023-09-20T12:00:00.000,2023-09-21T12:00:00.000,DSNY,Department of Sanitation,Derelict Vehicles,Derelict Vehicles,Street,11225,492 CROWN STREET,CROWN STREET,BROOKLYN AVENUE,KINGSTON AVENUE,,,ADDRESS,BROOKLYN,,Closed,DSNY already has a request to investigate this reportedly abandoned vehicle and cannot open multiple service requests for the same vehicle at once. Your request is being closed while we action the prior report.,2023-09-21T12:00:00.000,09 BROOKLYN,3012990041,BROOKLYN,1000157,181864,PHONE,Unspecified,BROOKLYN,40.6658371088929,-73.94266154594142,"{'latitude': '40.6658371088929', 'longitude': '-73.94266154594142', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",DSNY Garage,,,,,,,
58873060,2023-09-20T12:00:00.000,2023-09-21T12:00:00.000,DSNY,Department of Sanitation,Derelict Vehicles,Derelict Vehicles,Street,,,,,,GRACE AVENUE,GRACE AVENUE,INTERSECTION,,,Closed,The Department of Sanitation does NOT have jurisdiction over vehicles (abandoned or otherwise) that have license plates affixed to them. Your request will be referred to the NYPD for further action.,2023-09-21T12:00:00.000,12 BRONX,,BRONX,,,PHONE,Unspecified,BRONX,,,,,,,,,,,
58874387,2023-09-20T12:00:00.000,2023-09-21T12:00:00.000,DSNY,Department of Sanitation,Derelict Vehicles,Derelict Vehicles,Street,,,,,,BOSTON ROAD,BOSTON ROAD,INTERSECTION,,,Closed,The Department of Sanitation (DSNY) couldn't find the condition. Please file a new Service Request with more details about the location.,2023-09-21T12:00:00.000,11 BRONX,,BRONX,,,PHONE,Unspecified,BRONX,,,,DSNY Garage,,,,,,,
58874379,2023-09-20T12:00:00.000,2023-09-20T12:00:00.000,DSNY,Department of Sanitation,Derelict Vehicles,Derelict Vehicles,Street,10466,1920 PITMAN AVENUE,PITMAN AVENUE,ELY AVENUE,GRACE AVENUE,,,ADDRESS,BRONX,,Closed,The Department of Sanitation does NOT have jurisdiction over vehicles (abandoned or otherwise) that have license plates affixed to them. Your request will be referred to the NYPD for further action.,2023-09-20T12:00:00.000,12 BRONX,2050170026,BRONX,1026549,265848,PHONE,Unspecified,BRONX,40.896263680264525,-73.84700018475945,"{'latitude': '40.896263680264525', 'longitude': '-73.84700018475945', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,
58877008,2023-09-20T12:00:00.000,2023-09-20T12:00:00.000,DSNY,Department of Sanitation,Derelict Vehicles,Derelict Vehicles,Street,11420,126-02 116 AVENUE,116 AVENUE,126 STREET,127 STREET,,,ADDRESS,SOUTH OZONE PARK,,Closed,The owner claimed the vehicle.Â Your request is now closed and no further action will be taken.,2023-09-20T12:00:00.000,10 QUEENS,4116830001,QUEENS,1036271,185996,PHONE,Unspecified,QUEENS,40.67703995974023,-73.81245320669575,"{'latitude': '40.67703995974023', 'longitude': '-73.81245320669575', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,
58873052,2023-09-20T12:00:00.000,2023-09-21T12:00:00.000,DSNY,Department of Sanitation,Derelict Vehicles,Derelict Vehicles,Street,10467,3350 BRONX BOULEVARD,BRONX BOULEVARD,ROSEWOOD STREET,MAGENTA STREET,,,ADDRESS,BRONX,,Closed,DSNY already has a request to investigate this reportedly abandoned vehicle and cannot open multiple service requests for the same vehicle at once. Your request is being closed while we action the prior report.,2023-09-21T12:00:00.000,12 BRONX,2046220019,BRONX,1020110,257845,PHONE,Unspecified,BRONX,40.87432649509254,-73.87033352013222,"{'latitude': '40.87432649509254', 'longitude': '-73.87033352013222', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,
58878329,2023-09-20T12:00:00.000,2023-09-22T12:00:00.000,DSNY,Department of Sanitation,Derelict Vehicles,Derelict Vehicles,Street,11234,5923 STRICKLAND AVENUE,STRICKLAND AVENUE,NATIONAL DRIVE,56 DRIVE,,,ADDRESS,BROOKLYN,,Closed,The owner claimed the vehicle.Â Your request is now closed and no further action will be taken.,2023-09-22T12:00:00.000,18 BROOKLYN,3084707501,BROOKLYN,1007752,160776,PHONE,Unspecified,BROOKLYN,40.60793816919136,-73.91535803356905,"{'latitude': '40.60793816919136', 'longitude': '-73.91535803356905', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,
58874377,2023-09-20T12:00:00.000,2023-09-20T12:00:00.000,DSNY,Department of Sanitation,Derelict Vehicles,Derelict Vehicles,Street,10453,2243 WALTON AVENUE,WALTON AVENUE,EAST 182 STREET,EAST 183 STREET,,,ADDRESS,BRONX,,Closed,The vehicle you reported exceeds the monetary value eligible for collection as junk. The Department of Sanitation has forwarded the request to the NYPD for further action.,2023-09-20T12:00:00.000,05 BRONX,2031860078,BRONX,1010976,251672,PHONE,Unspecified,BRONX,40.85741587823667,-73.90338581591058,"{'latitude': '40.85741587823667', 'longitude': '-73.90338581591058', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",DSNY Garage,,,,,,,
58877025,2023-09-20T12:00:00.000,2023-09-22T12:00:00.000,DSNY,Department of Sanitation,Derelict Vehicles,Derelict Vehicles,Street,10032,508 WEST  166 STREET,WEST  166 STREET,AMSTERDAM AVENUE,AUDUBON AVENUE,,,ADDRESS,NEW YORK,,Closed,The vehicle you reported exceeds the monetary value eligible for collection as junk. The Department of Sanitation has forwarded the request to the NYPD for further action.,2023-09-22T12:00:00.000,12 MANHATTAN,1021230031,MANHATTAN,1001323,244915,PHONE,Unspecified,MANHATTAN,40.83889385586689,-73.93829849106721,"{'latitude': '40.83889385586689', 'longitude': '-73.93829849106721', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,
58877019,2023-09-20T12:00:00.000,2023-09-21T12:00:00.000,DSNY,Department of Sanitation,Derelict Vehicles,Derelict Vehicles,Street,11229,2267 EAST   13 STREET,EAST   13 STREET,AVENUE V,GRAVESEND NECK ROAD,,,ADDRESS,BROOKLYN,,Closed,The Department of Sanitation (DSNY) couldn't find the condition. Please file a new Service Request with more details about the location.,2023-09-21T12:00:00.000,15 BROOKLYN,3073740060,BROOKLYN,996037,156056,PHONE,Unspecified,BROOKLYN,40.59500605565067,-73.95755758995082,"{'latitude': '40.59500605565067', 'longitude': '-73.95755758995082', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,
58878331,2023-09-20T12:00:00.000,2023-09-21T12:00:00.000,DSNY,Department of Sanitation,Derelict Vehicles,Derelict Vehicles,Street,11356,22-14 126 STREET,126 STREET,22 AVENUE,23 AVENUE,,,ADDRESS,COLLEGE POINT,,Closed,The owner claimed the vehicle.Â Your request is now closed and no further action will be taken.,2023-09-21T12:00:00.000,07 QUEENS,4042010025,QUEENS,1027888,223406,PHONE,Unspecified,QUEENS,40.77976639563523,-73.84243303597415,"{'latitude': '40.77976639563523', 'longitude': '-73.84243303597415', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,
58873066,2023-09-20T12:00:00.000,2023-09-25T12:00:00.000,DSNY,Department of Sanitation,Derelict Vehicles,Derelict Vehicles,Street,10465,3083 WISSMAN AVENUE,WISSMAN AVENUE,THROGS NECK EXPRESSWAY,PRENTISS AVENUE,,,ADDRESS,BRONX,,Closed,The Department of Sanitation (DSNY) couldn't find the condition. Please file a new Service Request with more details about the location.,2023-09-25T12:00:00.000,10 BRONX,2055180020,BRONX,1036746,238120,PHONE,Unspecified,BRONX,40.82010404125314,-73.81033385472934,"{'latitude': '40.82010404125314', 'longitude': '-73.81033385472934', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,
58873063,2023-09-20T12:00:00.000,2023-09-21T12:00:00.000,DSNY,Department of Sanitation,Derelict Vehicles,Derelict Vehicles,Street,11226,232 EAST   18 STREET,EAST   18 STREET,ALBEMARLE ROAD,BEVERLEY ROAD,,,ADDRESS,BROOKLYN,,Closed,The Department of Sanitation (DSNY) couldn't find the condition. Please file a new Service Request with more details about the location.,2023-09-21T12:00:00.000,14 BROOKLYN,3051217501,BROOKLYN,994695,174494,PHONE,Unspecified,BROOKLYN,40.64561620264362,-73.96236131101685,"{'latitude': '40.64561620264362', 'longitude': '-73.96236131101685', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",DSNY Garage,,,,,,,
58879644,2023-09-20T12:00:00.000,2023-09-21T12:00:00.000,DSNY,Department of Sanitation,Derelict Vehicles,Derelict Vehicles,Street,10467,3350 BRONX BOULEVARD,BRONX BOULEVARD,ROSEWOOD STREET,MAGENTA STREET,,,ADDRESS,BRONX,,Closed,The owner claimed the vehicle.Â Your request is now closed and no further action will be taken.,2023-09-21T12:00:00.000,12 BRONX,2046220019,BRONX,1020110,257845,PHONE,Unspecified,BRONX,40.87432649509254,-73.87033352013222,"{'latitude': '40.87432649509254', 'longitude': '-73.87033352013222', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,
58873057,2023-09-20T12:00:00.000,2023-09-22T12:00:00.000,DSNY,Department of Sanitation,Derelict Vehicles,Derelict Vehicles,Street,,,,,,34 AVENUE,34 AVENUE,INTERSECTION,,,Closed,The owner claimed the vehicle.Â Your request is now closed and no further action will be taken.,2023-09-22T12:00:00.000,07 QUEENS,,QUEENS,,,PHONE,Unspecified,QUEENS,,,,,,,,,,,
58873067,2023-09-20T12:00:00.000,2023-09-22T12:00:00.000,DSNY,Department of Sanitation,Derelict Vehicles,Derelict Vehicles,Street,10468,2307 MORRIS AVENUE,MORRIS AVENUE,EAST 183 STREET,FIELD PLACE,,,ADDRESS,BRONX,,Closed,The Department of Sanitation (DSNY) couldn't find the condition. Please file a new Service Request with more details about the location.,2023-09-22T12:00:00.000,05 BRONX,2031830072,BRONX,1011446,252066,PHONE,Unspecified,BRONX,40.85849585416589,-73.90168517413494,"{'latitude': '40.85849585416589', 'longitude': '-73.90168517413494', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",DSNY Garage,,,,,,,
58877029,2023-09-20T12:00:00.000,2023-09-21T12:00:00.000,DSNY,Department of Sanitation,Derelict Vehicles,Derelict Vehicles,Street,10467,3350 BRONX BOULEVARD,BRONX BOULEVARD,ROSEWOOD STREET,MAGENTA STREET,,,ADDRESS,BRONX,,Closed,The owner claimed the vehicle.Â Your request is now closed and no further action will be taken.,2023-09-21T12:00:00.000,12 BRONX,2046220019,BRONX,1020110,257845,PHONE,Unspecified,BRONX,40.87432649509254,-73.87033352013222,"{'latitude': '40.87432649509254', 'longitude': '-73.87033352013222', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,
